年度,区分レベル１,区分レベル２,区分レベル３,金額
2017,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,838
2017,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,36
2017,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,9
2017,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,476
2017,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2017,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2017,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"1,152"
2017,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2017,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"3,451"
2017,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,0
2017,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,54
2017,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,0
2017,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,"1,184"
2017,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"2,200"
2017,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,890
2017,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2017,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"2,044"
2017,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,21
2017,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2017,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,345
2017,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,537
2017,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,586"
2017,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,3
2017,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,5
2017,05_財務活動（収入）,20_財務活動収入,56_都債,"1,368"
2017,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,8
2017,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2017,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2017,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"4,864"
2017,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,37
2017,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2017,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,2
2017,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,3786
2016,01_行政サービス活動（収入）,01_税収等,01_地方税,"53,179"
2016,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,"2,355"
2016,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,48
2016,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2016,01_行政サービス活動（収入）,01_税収等,05_税諸収入,1
2016,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"2,678"
2016,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,29
2016,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,0
2016,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,76
2016,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,528"
2016,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,110
2016,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,515
2016,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,133"
2016,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,0
2016,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,33
2016,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,155
2016,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"13,676"
2016,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,308"
2016,02_行政サービス活動（支出）,06_行政支出,19_物件費,"2,739"
2016,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,038"
2016,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,277"
2016,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"11,152"
2016,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,759
2016,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,337"
2016,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,509
2016,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,307
2016,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"1,987"
2016,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,781
2016,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,1
2016,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,30
2016,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,0
2016,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,811
2016,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,34
2016,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,15
2016,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,63
2016,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2016,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2016,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,571
2016,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2016,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"3,811"
2016,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,1
2016,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,44
2016,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,25
2016,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,"1,262"
2016,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"2,480"
2016,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,26
2016,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2016,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"3,653"
2016,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,23
2016,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,51
2016,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,0
2016,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,446
2016,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,513"
2016,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,2
2016,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,2
2016,05_財務活動（収入）,20_財務活動収入,56_都債,"1,526"
2016,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,25
2016,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2016,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2016,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"3,977"
2016,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,21
2016,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2016,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,0
2016,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,2515
2015,01_行政サービス活動（収入）,01_税収等,01_地方税,"51,624"
2015,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,"2,719"
2015,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,47
2015,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2015,01_行政サービス活動（収入）,01_税収等,05_税諸収入,1
2015,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"2,846"
2015,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,31
2015,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,1
2015,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,76
2015,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,479"
2015,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,90
2015,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,510
2015,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,054"
2015,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,0
2015,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,29
2015,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,153
2015,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"14,394"
2015,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,102"
2015,02_行政サービス活動（支出）,06_行政支出,19_物件費,"2,604"
2015,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,993
2015,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,253"
2015,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"10,966"
2015,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,782
2015,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"2,910"
2015,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,357
2015,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,271
2015,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"1,977"
2015,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,891
2015,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,1
2015,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,27
2015,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,△ 1
2015,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,910
2015,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,20
2015,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,29
2015,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,156
2015,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2015,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2015,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"1,235"
2015,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,2
2015,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"4,248"
2015,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,0
2015,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,36
2015,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,126
2015,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,"1,403"
2015,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"1,945"
2015,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,584
2015,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2015,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"5,275"
2015,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,26
2015,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,59
2015,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,0
2015,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,488
2015,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,430"
2015,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,1
2015,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,△ 1
2015,05_財務活動（収入）,20_財務活動収入,56_都債,"1,563"
2015,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,34
2015,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2015,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2015,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"4,421"
2015,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,15
2015,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2015,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,1
2015,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,2994
