年度,区分レベル１,区分レベル２,区分レベル３,区分レベル４,金額
2016,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"13,676"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,389"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"2,742"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,039"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,279"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"11,157"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,759
2016,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,325"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,509
2016,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,307
2016,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,0
2016,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"1,978"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"1,711"
2016,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2016,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,88
2016,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2016,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,856
2016,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,641
2016,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2016,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,33
2016,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,7
2016,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,155
2016,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,763
2016,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,15
2016,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,3
2016,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,1
2016,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,2
2016,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,65
2016,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,439
2016,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,1
2016,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,84
2016,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,261
2016,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,30
2016,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,14
2016,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,1
2016,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,246
2016,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,1
2015,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"51,567"
2015,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,"2,719"
2015,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,47
2015,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2015,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,1
2015,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"2,840"
2015,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,31
2015,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,1
2015,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,77
2015,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,487"
2015,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,119
2015,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,510
2015,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,066"
2015,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,0
2015,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,29
2015,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,0
2015,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,7
2015,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"14,394"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,140"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"2,607"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,994
2015,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,254"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"10,978"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,782
2015,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"2,895"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,357
2015,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,271
2015,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,0
2015,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"1,968"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"1,690"
2015,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2015,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,102
2015,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2015,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,834
2015,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,846
2015,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2015,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,38
2015,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,10
2015,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,153
2015,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,868
2015,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,22
2015,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,1
2015,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,1
2015,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,2
2015,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,67
2015,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,127
2015,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,1
2015,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,14
2015,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,146
2015,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,27
2015,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,9
2015,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,0
2015,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,165
2015,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,2
