回答者(or No.),問１　あなたの性別を教えてください。,問２　あなたのふだんからよく遊んだり、やりとりする友だちは、どのような友だちですか。,問３　放課後に過ごす場所／A自分の家,問３　放課後に過ごす場所／B友だちの家,問３　放課後に過ごす場所／C塾や習い事,問３　放課後に過ごす場所／D児童館・児童センター,問３　放課後に過ごす場所／E学校（部活など）,問３　放課後に過ごす場所／F民間等スポーツクラブの活動の場,問３　放課後に過ごす場所／G公園,問３　放課後に過ごす場所／H図書館,問３　放課後に過ごす場所／I商店街やショッピングモール,問３　放課後に過ごす場所／Jゲームセンター,問３　放課後に過ごす場所／Kインターネット上の仮想空間（メタバースなど）,問３　放課後に過ごす場所／Lその他,問３　Lその他／記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問３　休日に一番多く過ごす場所（複数回答５）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、学校の部活動に参加していますか。,問５―１　参加しない理由は何ですか。（複数回答１）,問５―１　参加しない理由は何ですか。（複数回答２）,問５―１　参加しない理由は何ですか。（複数回答３）,問５―１　参加しない理由は何ですか。（複数回答４）,問５―１　６　その他,問６　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問７　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問９　あなたは、自分の健康状態についてどう感じていますか。,問10　全体として、あなたは最近の生活に、どのくらい満足していますか。,問11　あなたは、学校の授業がわからないことがありますか。,問11１　いつごろから、授業がわからなくなりましたか。,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問13　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問14　５　その他,問15　あなたは、将来、どの段階まで進学したいですか。あなたの考えにもっとも近いものに〇をつけてください。,問16　問15で選んだ理由は何ですか（複数回答１）,問16　問15で選んだ理由は何ですか（複数回答２）,問16　問15で選んだ理由は何ですか（複数回答３）,問16　問15で選んだ理由は何ですか（複数回答４）,問17　Aがんばれば、むくわれると思う,問17　B自分は価値のある人間だと思う,問17　C自分は家族に大事にされていると思う,問17　Ｄ不安に感じることはないと思う,問17　Ｅ孤独を感じることはないと思う,問17　Ｆ自分の将来が楽しみだと思う,問17　Ｇ自分のことが好きだと思う,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問18　10　その他,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問19　14　その他,問20　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問21　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問22　あなたは「子どもの権利条約」について知っていますか。,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問23　11　その他,問24　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問25　A（家以外で）平日の放課後に夜までいることができる場所,問25　B（家以外で）休日にいることができる場所,問25　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問25　D家で勉強できないとき、静かに勉強ができる場所,問25　E大学生のボランティアが、勉強を無料でみてくれる場所,問25　F（学校以外で）勉強、進学、家族のことなど、何でも相談できる場所,問25　G子どもに寄りそう人がいる居場所,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問27　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
75,1,1,3,4,4,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,4,1,1,,,2,3,2,,3,4,6,,,4,1,2,3,4,,5,9,,,,2,2,1,2,2,3,3,11,,,,,,1,4,,,,,,,,,,,,3,3,4,1,,,,,,,,2,3,5,5,2,5,5,5,7,8,9,,,,,,・狛江市に古着屋を誘致してください。（たくさん）　・すいどう道路の歩道を広くしてください。めっちゃ不便です。　・土曜日にある授業をなくしてください。
76,2,1,1,3,4,4,2,4,4,4,4,4,3,4,,1,,,,,1,1,,,,,,4,1,1,,,1,3,2,,1,2,3,,,3,2,3,4,,,4,9,,,,2,2,2,3,3,3,2,11,,,,,,1,2,4,12,,,,,,,,,,1,2,4,1,,,,,,,,2,5,5,5,2,5,5,5,3,7,8,,,,,,町や道が暗くて、帰り道が怖いので、街灯を増やしてほしい。
77,1,1,,,,,2,,,,,,,,,1,,,,,1,1,,,,,,4,,,,,,,,,,,,,,,,,,,,4,9,,,,2,3,1,3,2,3,2,11,,,,,,4,,,,,,,,,,,,,1,2,4,1,,,,,,,,1,3,2,5,2,2,5,3,1,3,4,,,,,,
78,2,1,1,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,3,1,1,,,3,5,2,,1,6,,,,4,1,,,,,4,1,,,,2,3,1,4,2,3,3,11,,,,,,4,6,,,,,,,,,,,,1,2,4,1,3,,,,,,,2,3,3,5,5,3,3,3,1,6,9,,,,,,
79,1,1,3,4,3,,2,3,4,4,4,4,4,,,5,,,,,1,1,,,,,,5,1,1,,,1,5,2,,1,3,4,6,,3,1,2,3,,,4,1,5,,,1,2,1,2,2,1,2,11,,,,,,1,2,3,4,5,6,,,,,,,,3,2,4,1,2,3,,,,,,2,5,3,5,5,5,3,5,7,8,9,,,,,,
80,2,1,1,4,1,4,4,3,3,3,3,4,4,4,,1,,,,,3,2,4,,,,,2,1,1,2,3,3,4,2,,1,3,4,6,,6,1,3,4,,,5,1,,,,2,2,2,3,2,3,3,2,4,8,,,,1,7,,,,,,,,,,,,,,,1,4,,,,,,,2,2,2,3,2,3,3,3,5,8,9,,,,,,芸能事務所作ってほしい。スタバを作ってほしい。
81,1,1,1,3,4,2,2,4,3,4,4,4,4,4,,1,,,,,1,1,,,,,,5,1,1,2,3,1,3,2,,4,6,,,,4,1,3,,,,4,1,8,,,1,2,2,2,1,1,2,4,,,,,,1,3,4,6,,,,,,,,,,1,2,3,1,2,,,,,,,2,1,1,3,3,1,5,5,5,7,8,,,,,,・学校の校庭にバスケットボールリングをつけてほしい（狛江二中）　・部活動の時間を増やして欲しい　・気軽に狛江市内の体育館を使えるようにしてほしい（団体で）　・大規模なお祭りなどイベントを企画してほしい　・給食が少なく、腹が満たされないので、量を増やしてほしい
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,1,5,2,,3,4,6,,,4,1,2,3,4,,4,1,,,,1,2,1,3,2,1,2,11,,,,,,1,3,4,5,6,7,10,13,,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,・吹奏楽部に楽器の購入金が欲しい
83,1,1,1,4,3,4,3,4,4,4,4,4,3,4,,,,,,,1,1,,,,,,1,1,1,2,5,2,3,2,,3,4,,,,3,1,5,,,宿題,5,9,,,,2,2,2,3,3,3,3,10,,,,,将来が不安,1,4,6,9,10,11,,,,,,,,3,2,4,12,,,,,,,,3,5,5,5,5,3,3,5,1,7,9,,,,,,道を広げて欲しい。ごみ袋を無料にして欲しい。
84,3,1,1,4,4,2,1,4,4,4,4,4,4,4,,5,,,,,1,1,,,,,,5,2,1,,,2,3,2,,1,3,6,,,2,3,4,,,,5,2,,,,2,3,2,2,2,2,3,7,8,,,,,1,4,6,,,,,,,,,,,2,3,4,1,3,,,,,,,2,1,1,2,3,3,3,3,1,3,6,,,,,,
85,2,1,1,3,2,4,1,4,3,3,3,3,3,2,百均,1,,,,,1,1,,,,,,4,1,1,,,1,4,3,,1,2,3,4,6,4,1,3,4,,,4,3,,,,1,2,1,3,1,1,2,8,,,,,,1,4,6,,,,,,,,,,,3,2,3,1,3,,,,,,,1,3,2,2,2,3,3,3,1,2,3,,,,,,・学校で使っているタブレットをアンドロイドではなく、アップルにしてほしい。　・狛江市に遊べる場所を作ってほしい。
86,2,1,3,4,3,4,2,4,4,4,4,4,4,,,1,,,,,3,1,,,,,,3,1,2,,,3,3,3,,4,,,,,4,1,3,,,,5,2,,,,2,2,2,2,2,2,2,11,,,,,,6,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,狛江第二中学校のテニスコートの横をテニス部にください。
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,1,2,2,,3,4,6,,,5,1,3,5,,学校の復習や課題,5,8,,,,3,3,4,1,1,3,4,1,2,,,,,1,3,6,15,,,,,,,,,,,,,1,2,,,,,,,2,3,2,3,2,3,3,5,5,7,9,,,,,,・本屋をおいて下さい　・子供だけが入れる施設で色々な人と交流してみたい　・体育館を無料開放してほしい　・バスケットコートを作って下さい
88,1,1,1,4,4,3,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,5,1,1,2,,1,5,3,,2,6,,,,3,3,,,,,2,3,,,,1,2,1,3,1,2,2,1,4,,,,,1,4,,,,,,,,,,,,3,3,4,1,,,,,,,,1,2,2,2,2,3,3,4,3,5,7,,,,,,
89,2,1,2,4,3,4,,4,3,4,3,3,4,,,1,,,,,,1,,,,,,3,2,5,,,4,,3,,3,4,,,,4,1,,,,,4,7,,,,3,4,3,3,3,4,4,2,4,,,,,4,,,,,,,,,,,,,3,3,2,4,,,,,,,,3,2,2,3,3,5,5,5,1,3,4,,,,,,いじめを減らす。
90,1,1,3,3,3,3,1,4,3,4,3,4,4,,,5,,,,,2,1,,,,,,5,1,1,,,2,4,2,,1,3,4,6,,3,1,3,,,,4,1,2,,,1,1,1,2,1,1,1,11,,,,,,1,2,3,4,5,9,13,,,,,,,1,2,3,1,2,6,10,,,,,2,2,2,2,2,2,3,1,5,8,9,,,,,,駒井公園をスケートボードパークなどの子供が運動しながら遊べる場所がほしいです。
91,1,1,1,3,3,4,1,3,4,4,3,4,4,4,,1,,,,,1,1,,,,,,3,1,1,2,,2,4,1,,1,3,4,6,,4,1,,,,,4,3,,,,1,1,1,2,2,1,1,11,,,,,,1,4,6,,,,,,,,,,,2,2,4,1,2,3,,,,,,1,5,5,5,5,5,5,5,3,4,5,,,,,,特にない
92,2,1,1,3,,4,1,4,4,4,3,4,4,4,,,,,,,1,1,,,,,,3,1,1,,,2,3,4,5,3,6,,,,4,2,3,,,,5,2,,,,1,2,2,3,3,3,3,11,,,,,,1,2,4,6,7,8,,,,,,,,1,2,4,12,,,,,,,,3,3,4,3,2,2,3,3,5,8,9,,,,,,
93,2,1,3,4,4,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,3,1,1,,,1,4,2,,1,3,4,6,,3,1,,,,,4,1,,,,1,1,1,3,3,1,2,11,,,,,,1,4,6,,,,,,,,,,,3,3,4,1,2,3,,,,,,1,5,5,5,5,3,5,5,3,5,9,,,,,,
94,1,1,2,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,1,1,1,2,,2,4,1,,1,3,6,,,2,3,4,5,,オンライン英会話,5,9,,,,4,,2,1,1,4,,11,,,,,,6,,,,,,,,,,,,,3,2,4,1,3,,,,,,,2,5,5,5,5,5,5,5,,,,,,,,,予算オーバーにならないように頑張ってほしい。紙がもったいないのでこういうのはインターネットでやった方がいいのではないでしょうか。
95,1,1,2,,,,,,,,,,,,,1,,,,,1,1,,,,,,2,1,1,2,,2,4,2,,1,3,6,,,5,1,,,,,5,2,3,,,1,2,1,1,2,1,1,8,,,,,,1,3,4,6,,,,,,,,,,3,3,4,1,2,3,4,,,,,1,2,2,1,1,3,2,3,3,6,8,,,,,,子供が楽しめるイベントを増やしてほしい。
96,1,1,1,4,4,4,2,4,4,4,3,4,4,,,1,,,,,1,1,,,,,,3,1,1,,,2,3,2,,3,6,,,,2,6,,,,,3,1,,,,1,2,2,2,2,2,2,1,4,,,,,4,6,8,,,,,,,,,,,3,2,3,1,3,5,,,,,,2,3,4,1,4,3,2,2,1,3,,,,,,,
97,1,1,2,4,2,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,4,1,1,,,2,4,2,,1,3,4,6,,5,1,3,,,,4,1,3,5,,2,2,2,2,2,2,2,11,,,,,,1,4,,,,,,,,,,,,3,2,4,1,,,,,,,,1,3,3,3,2,4,3,3,3,4,5,,,,,,駅の近くに無料の駐輪場がほしい。
98,1,,1,4,4,2,3,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,2,1,1,,,2,2,2,,1,3,6,,,5,1,3,4,,,4,1,3,5,,1,1,3,2,3,2,3,2,8,,,,,1,2,4,7,,,,,,,,,,1,2,3,1,4,,,,,,,2,5,5,5,5,5,5,5,1,3,4,5,6,7,8,9,狛江二中の吹奏楽部の楽器が古く、錆びてしまっているのがあるので買い換えてほしいこと。
99,1,1,2,4,2,4,1,4,4,4,3,3,4,4,,,,,,,1,1,,,,,,1,1,1,2,,1,3,2,,1,3,4,6,,3,1,,,,,4,7,,,,2,3,2,1,1,1,1,4,8,,,,,1,2,4,6,8,10,,,,,,,,3,2,3,1,3,5,7,,,,,2,2,1,1,2,3,2,2,3,4,5,,,,,,冬のイルミネーションをもう少し広い範囲でやってほしい。（ロータリーの木など）
100,1,,1,3,4,2,1,4,2,4,4,4,4,,,,,,,,1,1,,,,,,5,3,1,2,3,2,2,3,,3,6,,,,1,6,,,,,2,1,2,7,,2,2,2,2,2,1,2,11,,,,,,4,,,,,,,,,,,,,3,3,4,10,,,,,,,,2,2,5,3,2,3,3,5,3,,,,,,,,もう少し経済があってほしい。
101,1,,1,4,4,,2,4,3,4,3,4,1,,,1,,,,,1,1,,,,,,2,1,1,2,,3,4,2,,1,3,6,,,5,2,3,,,,4,1,,,,1,2,1,2,2,1,2,6,8,,,,,1,4,6,12,,,,,,,,,,3,3,4,1,2,3,9,,,,,2,4,4,5,4,4,4,2,4,5,,,,,,,公園が少ない気がするので作ってほしいです。
102,2,1,1,,,,,,,,,,,,,1,,,,,1,2,1,,,,,1,1,1,2,3,2,4,2,,2,3,6,,,4,3,,,,,3,4,,,,1,1,1,2,1,1,2,4,,,,,,1,2,4,,,,,,,,,,,2,3,4,1,3,,,,,,,2,3,5,3,2,3,2,3,5,7,8,,,,,,室内で遊べる施設がもっとあってほしい。（家の近くに）（例）・冬に遊べるような温かい部屋　・ダンス室　など
103,2,1,3,3,3,4,2,4,2,4,1,4,4,4,,5,,,,,9,1,,,,,,2,1,1,2,,1,5,2,,1,3,4,6,,4,1,3,4,,,3,1,,,,1,1,1,1,1,1,1,11,,,,,,1,2,4,6,7,,,,,,,,,1,2,2,1,2,3,4,,,,,1,5,5,5,3,5,5,4,3,5,8,,,,,,・ベンチがある公園を作ってほしい　・バスケットコートがほしい　・公園をもっと作ってほしい　・ショッピングセンターがほしい　・カフェが少ないから作ってほしい
104,2,1,1,4,4,4,4,4,4,4,3,4,4,4,,,,,,,1,2,4,,,,,4,4,1,2,,2,2,5,4,6,,,,,4,3,,,,,2,2,,,,3,4,2,4,3,4,4,11,,,,,,4,,,,,,,,,,,,,3,2,3,1,,,,,,,,2,3,5,5,5,3,3,3,4,5,8,,,,,,家を広くしてほしいです。部屋数も多くしてほしいです。
105,1,1,2,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,3,1,1,2,5,2,4,2,,6,,,,,3,1,4,5,,タブレット,4,1,,,,3,1,2,1,1,1,1,,,,,,,1,4,6,7,13,,,,,,,,,1,2,3,1,3,10,,,,,,2,4,4,4,3,3,4,4,6,8,9,,,,,,税金を減らす。学年の先生を途中で変えないようにする。
106,1,1,1,4,3,4,2,4,4,3,4,4,4,4,,1,,,,,1,1,,,,,,3,1,1,2,,1,5,2,,1,2,3,4,6,4,1,3,,,,4,1,2,3,4,2,1,1,1,1,2,2,11,,,,,,1,2,3,4,5,,,,,,,,,3,2,4,1,2,3,,,,,,1,3,3,5,3,5,5,5,4,5,9,,,,,,医療費を市が負担してくれる。
107,1,1,2,4,3,4,3,4,4,4,4,4,4,3,線路の近く,1,,,,,12,1,,,,,,3,1,1,,,1,4,2,,1,3,6,,,4,2,3,4,,,2,1,3,,,2,2,1,3,3,1,1,11,,,,,,1,4,5,6,12,,,,,,,,,1,2,4,1,3,,,,,,,2,5,5,5,5,5,5,5,,,,,,,,,車通りの多い横断歩道に信号機を設置していただきたいです。
108,2,1,1,4,3,4,4,4,4,4,3,4,4,,,1,,,,,1,2,1,,,,,1,2,1,2,,1,5,2,,4,,,,,5,1,,,,,3,1,,,,1,1,1,3,1,2,1,11,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,3,4,4,4,3,2,2,2,1,6,9,,,,,,いじめのない生活になるようにしてほしいです。
109,2,2,1,4,4,4,4,4,3,4,4,4,1,4,,1,,,,,1,2,5,,,,,1,4,1,2,,3,3,5,4,3,5,,,,1,6,,,,,5,9,,,,3,4,3,4,3,4,4,11,,,,,,5,,,,,,,,,,,,,3,3,4,11,,,,,,,分からない,3,3,5,4,5,4,4,4,4,,,,,,,,・本屋さんがほしい。
110,1,1,1,3,4,2,2,4,4,4,4,4,4,4,,,,,,,2,1,,,,,,5,1,5,,,3,2,4,4,3,,,,,2,6,,,,,2,3,,,,4,3,2,4,3,4,3,4,8,9,,,,1,4,,,,,,,,,,,,3,3,4,1,2,3,,,,,,3,3,3,5,2,5,2,5,1,,,,,,,,カラーコピーをさせて下さい。
111,1,1,2,4,3,4,3,4,3,4,3,3,4,,,1,,,,,1,1,,,,,,1,1,1,,,1,4,1,,4,6,,,,6,1,,,,,4,9,,,,2,3,2,2,3,2,3,11,,,,,,4,12,,,,,,,,,,,,3,2,4,12,,,,,,,,2,1,2,2,1,5,5,5,4,5,8,,,,,,
112,2,1,3,4,3,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,1,1,1,2,,1,3,2,,2,3,6,,,1,3,,,,,5,9,,,,2,2,1,4,3,2,1,11,,,,,,1,4,7,,,,,,,,,,,2,2,2,1,,,,,,,,2,5,3,5,3,5,3,3,5,7,9,,,,,,学校指定のタブレットの性能をよくしてほしいです。
113,1,1,3,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,4,1,1,,,4,2,1,,3,4,6,,,5,1,,,,,4,1,,,,2,3,1,4,3,1,2,10,,,,,部活がつらいと感じる時がある。,1,6,9,10,,,,,,,,,,3,2,3,1,3,,,,,,,2,4,4,3,1,3,2,3,5,6,7,,,,,,みんなが遊べる場所を作る。
114,1,1,3,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,4,1,1,,,1,5,1,,6,,,,,4,1,,,,,4,1,,,,1,1,1,1,1,1,1,11,,,,,,1,3,4,6,,,,,,,,,,1,2,4,1,3,,,,,,,1,5,5,5,5,5,5,5,5,,,,,,,,ボール遊びができる公園がほしい。
115,1,1,1,3,2,4,2,4,4,4,3,4,4,,,1,,,,,1,,,,,,,5,1,1,2,,1,4,1,,1,2,3,4,6,4,1,3,,,,4,1,5,,,1,1,1,1,1,1,1,11,,,,,,1,2,4,5,6,13,,,,,,,,1,2,4,1,3,10,,,,,,1,2,2,2,2,2,2,2,3,4,5,6,7,8,9,,もっと歩道を広くしてほしい。もっと盛えてほしい。高い建物を建ててほしい。富士山とよみうりランドと多摩川が見れる最高の地域だから景色が見れる展望台がほしい。
116,,,2,4,3,3,3,4,4,4,3,4,4,,,1,,,,,1,1,,,,,,4,2,1,2,,2,4,2,,1,3,6,,,4,1,,,,,4,1,,,,2,1,1,1,1,3,1,11,,,,,,1,2,4,6,,,,,,,,,,2,2,2,11,,,,,,,友達,2,2,2,5,2,3,2,5,1,5,9,,,,,,勉強・読書・ゲームなどができる施設を市で2～3つほしい。他校での関わりを増やしてほしい。
117,1,1,1,4,3,4,2,4,4,4,3,4,4,4,,1,,,,,1,1,,,,,,3,1,1,5,,1,4,2,,2,3,6,,,4,1,3,,,,4,1,,,,1,2,1,1,3,1,1,11,,,,,,2,4,6,,,,,,,,,,,2,2,4,1,3,,,,,,,2,3,3,2,2,2,2,3,5,,,,,,,,二中前の通りをもっと明るくしてください。
118,1,3,1,3,2,4,3,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,2,1,1,5,,1,5,1,,4,6,,,,6,1,,,,,4,1,,,,1,1,1,2,2,1,1,11,,,,,,1,4,5,,,,,,,,,,,3,2,4,1,3,,,,,,,1,2,2,5,2,2,3,3,1,8,9,,,,,,豊かな町にしてほしい。
119,2,1,2,3,3,4,2,4,4,4,3,3,4,,,1,,,,,1,1,,,,,,5,4,1,2,,3,4,2,,3,4,6,,,4,1,3,4,,,5,2,,,,3,2,1,2,2,3,2,11,,,,,,1,,,,,,,,,,,,,1,2,4,1,2,,,,,,,1,2,2,5,1,2,2,3,4,5,,,,,,,60歳を超えた先生方の授業が分かりづらすきます。周りにいるのは若い先生だけで誰も何も言えていない状態なので困っています。どうにかしてほしいです。
120,1,,1,4,2,4,2,3,3,4,3,3,4,4,,1,,,,,1,1,,,,,,5,1,1,,,1,5,1,,1,3,4,6,,4,1,,,,,4,1,2,3,,1,1,1,1,1,1,1,11,,,,,,1,3,4,5,6,,,,,,,,,3,3,4,1,2,3,,,,,,1,2,2,5,5,5,5,5,1,2,3,,,,,,体育館の設置
121,2,1,2,4,2,4,1,4,4,4,3,4,3,4,,1,,,,,3,1,,,,,,2,1,1,2,5,3,3,2,,1,3,4,6,,4,1,3,4,,,4,1,7,,,2,4,1,3,3,2,4,4,,,,,,1,4,6,12,,,,,,,,,,3,2,3,1,3,,,,,,,2,2,2,2,2,3,2,2,1,5,6,,,,,,狛江市内で帰宅後、生徒が気軽に立ち寄れる、夜までやっている集中して勉強できたり、話せる所がほしい。
122,1,1,4,4,4,4,2,4,4,4,4,4,4,4,,5,,,,,1,1,,,,,,3,1,1,,,3,2,2,,6,,,,,1,6,,,,,5,2,,,,3,3,2,3,4,4,3,11,,,,,,4,,,,,,,,,,,,,2,2,4,12,,,,,,,,2,4,4,4,4,4,4,4,1,4,9,,,,,,
123,2,1,2,3,3,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,5,1,1,2,,1,5,3,,3,6,,,,3,3,4,,,,4,1,,,,3,2,1,4,2,2,2,11,,,,,,1,2,4,6,7,8,,,,,,,,3,2,4,1,3,4,5,,,,,1,5,5,4,2,3,3,4,3,4,5,,,,,,学校の部活道具を新しくしてほしい。
124,1,1,4,3,4,3,4,4,4,4,4,4,3,,スケートパーク,12,,,,,1,1,,,,,,5,1,1,,,3,4,3,,1,2,6,,,2,2,4,,,,3,2,3,,,2,3,4,3,3,2,2,11,,,,,,4,5,,,,,,,,,,,,2,2,4,1,11,,,,,,プレーパークの人,4,2,2,4,4,3,5,5,5,,,,,,,,スケートパークが欲しい。バスケコート（下コンクリート）
125,2,1,1,3,3,4,2,3,4,4,3,4,4,4,,1,5,,,,1,1,,,,,,5,1,1,2,,4,3,4,3,4,6,,,,1,1,,,,,,9,,,,2,1,1,3,2,1,1,11,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,2,2,2,2,2,2,2,2,1,5,9,,,,,,もっと都会になってほしい。色々な飲食店をつくってほしい。
126,2,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,3,1,1,2,3,3,3,4,4,3,4,6,,,4,1,,,,,2,9,,,,3,3,2,4,3,3,3,11,,,,,,15,,,,,,,,,,,,,3,2,4,4,,,,,,,,3,,,,,,,3,5,9,,,,,,,
127,2,1,3,4,4,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,3,2,1,2,,3,2,2,,3,6,,,,2,3,4,,,,3,1,,,,3,3,2,4,3,3,4,4,6,,,,,4,,,,,,,,,,,,,1,1,4,4,,,,,,,,5,2,2,1,2,2,3,3,7,8,9,,,,,,静かに勉強できる場所がほしい。
