回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
38,2,1,1,3,4,4,1,4,4,4,4,4,4,3,りんかんの施設,1,,,,1,1,1,1,2,,,,2,2,1,,1,,,,,,5,2,,,,,4,4,2,4,4,4,4,7,10,,,,,欲しい物が買えない。,15,,,,,,,,,,,,,3,3,2,1,,,,,,,,,,3,4,4,5,5,4,4,4,5,,,,,,,,,・狛江市を広くしてほしい（道路）　・家を安くしてほしい　・ランドセルを軽くしてほしい　・授業時間を減らしてほしい　・狛江の特産品を増やしてほしい
39,2,,2,3,4,4,2,4,3,4,3,4,4,,,1,,,,1,3,1,1,2,3,,,1,4,2,,1,2,3,7,,,4,2,3,,,,1,1,1,,,1,1,11,,,,,,,1,2,3,4,6,8,,,,,,,,1,2,2,1,2,3,,,,,,,,1,2,5,3,3,3,5,3,3,5,6,,,,,,,
40,2,1,2,,,,,,,,,,,,,1,,,,1,2,1,1,,,,,3,5,2,,1,3,5,7,,,4,1,,,,,2,1,1,1,,2,2,11,,,,,,,1,4,6,7,,,,,,,,,,1,2,4,1,3,4,,,,,,,,1,5,3,5,,5,3,5,3,4,5,6,,,,,,子どもたちが安全に遊べる場所を作ってほしい。
41,1,3,1,4,2,4,4,3,4,4,4,4,4,1,祖父母の家,1,,,,12,3,2,1,3,,,,5,2,1,,1,2,5,7,,,6,1,4,5,,中学受験の過去問題,2,4,2,2,1,4,4,1,,,,,,,1,3,4,5,7,8,,,,,,,,1,2,1,1,2,4,5,,,,,,,2,3,5,2,5,5,3,2,2,6,9,,,,,,,自分もそうだけど、学校が得意ではない子供たちが集まったら思っていることが同じなので、子供で話して解決できることもあるのでそれを各学校に作ってほしいと思います。
42,1,1,2,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,3,2,1,,7,,,,,,5,1,,,,,2,1,2,3,2,1,3,11,,,,,,,4,,,,,,,,,,,,,1,2,4,1,,,,,,,,,,3,5,5,5,5,5,5,5,9,,,,,,,,,学校をもっと面白くしてほしい。　子どもだけの帝国を作りたい。
43,2,,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,2,4,1,,1,,,,,,6,1,4,,,,1,1,1,4,2,3,1,11,,,,,,,1,2,4,5,,,,,,,,,,1,2,4,1,2,,,,,,,,,1,5,5,3,5,5,3,3,4,8,9,,,,,,,・私の通学路の道がガタガタ（コンクリートにひびが入っている）ので、転びやすく、そこに水たまりができ通りにくくなったりするので、そういった道を整備してほしいです。　・同じく私の通学路ですが、私が一年生だった時は畑があって、緑や自然を感じることができていました。でも今はそのほとんどが家になってしまい、さみしいです。
44,1,1,,3,,,,3,,,,,,,,1,,,,1,3,1,1,2,,,,3,4,2,,7,,,,,,2,3,,,,,2,2,1,2,1,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,3,4,1,3,,,,,,,,,,3,3,3,5,5,5,5,5,,,,,,,,,6時にもチャイムを鳴らしてほしい。
45,2,1,3,4,2,1,4,3,2,4,4,4,3,,,4,,,,1,3,1,1,2,,,,2,3,3,,1,3,6,7,,,4,3,4,5,,ユーチューブ,2,3,2,3,3,2,3,11,,,,,,,1,3,4,6,7,8,,,,,,,,1,2,3,1,2,3,4,5,,,,,,2,2,1,5,1,2,3,3,3,6,9,,,,,,,・いじめをなくしてほしい。
46,2,1,3,4,2,4,4,4,3,4,3,4,4,,,1,,,,1,2,1,1,2,,,,1,3,1,,1,3,,,,,5,1,4,,,,1,2,1,1,1,2,2,11,,,,,,,1,2,4,6,,,,,,,,,,1,2,4,1,2,,,,,,,,,1,5,5,5,5,5,5,5,1,3,4,,,,,,,
47,1,1,1,4,3,4,4,4,3,4,4,4,1,4,,,,,,1,1,1,1,2,,,,1,4,2,,3,5,,,,,2,1,,,,,2,3,2,3,3,3,3,8,,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,5,5,5,3,5,5,5,3,4,9,,,,,,,きれいなプールを用意してほしい。
48,2,1,,,,,,,,,,,,3,おばあちゃん家,,,,,1,1,1,1,2,5,,,3,5,3,,1,2,,,,,2,6,,,,,2,3,1,4,2,3,4,3,4,8,,,,,4,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,4,1,4,2,5,4,5,3,4,,,,,,,,スロープをつけてほしい。
49,1,1,2,4,2,4,4,4,4,3,4,4,4,4,,1,,,,1,2,1,1,5,,,,1,4,1,,1,3,5,,,,6,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,6,7,,,,,,,,,,1,2,1,1,2,,,,,,,,,1,2,5,5,2,3,5,4,8,9,,,,,,,,一教科ずつ担当の先生が欲しい。
50,2,1,1,3,3,3,1,4,3,4,3,4,4,,,1,,,,1,2,1,1,,,,,3,4,3,,1,7,,,,,2,3,,,,,2,3,1,2,2,3,2,11,,,,,,,1,4,8,,,,,,,,,,,2,2,4,1,4,,,,,,,,,1,1,1,3,3,4,4,3,3,5,9,,,,,,,・子どもが楽しめるところがほしい。
51,2,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,3,2,1,2,,,,3,2,2,,3,5,7,,,,1,1,,,,,2,3,2,2,1,1,3,8,,,,,,,1,2,4,6,7,9,,,,,,,,3,2,4,1,,,,,,,,,,2,4,3,,5,5,5,3,4,9,,,,,,,,カルパスを10円にもどして～!うまいぼうも10円にして～!
52,1,1,3,3,3,2,4,4,3,4,4,4,4,,,4,,,,1,5,1,1,2,,,,4,2,2,,1,3,7,,,,4,4,,,,,2,3,2,2,2,3,4,11,,,,,,,4,,,,,,,,,,,,,3,3,2,1,,,,,,,,,,2,2,1,2,2,2,3,3,5,6,9,,,,,,,親が心配せずに「何時まででもいていいよ」と言ってくれる施設がほしい。
53,1,4,2,4,3,4,4,3,3,4,4,4,4,3,サバイバルゲーム,1,,,,1,2,1,1,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,2,2,3,1,3,,,,,,,,,1,3,5,5,5,3,1,1,3,4,8,,,,,,,子どももできるサバゲー会場。ラウンド1。
54,1,1,1,3,2,2,4,2,4,3,3,4,4,,,1,,,,1,5,1,1,,,,,1,3,2,,1,3,5,,,,3,1,,,,,1,2,1,2,1,1,2,11,,,,,,,1,3,6,8,,,,,,,,,,3,3,3,1,2,,,,,,,,,1,2,1,3,3,3,2,1,3,4,8,,,,,,,・こまっこ児童館を日曜日もあけてほしい。　・貧乏な人が少しでも楽になれるように手助けしたい。　・みんなが楽しく暮らせるようにしたい。　・狛江のでこぼこ道をなおしてほしい。
55,1,1,1,3,3,4,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,3,5,1,,1,,,,,,2,6,,,,,2,1,1,3,3,2,2,11,,,,,,,1,3,7,,,,,,,,,,,3,2,4,2,,,,,,,,,,2,5,5,5,5,5,3,5,1,4,5,,,,,,,
56,2,1,3,4,2,4,4,4,4,4,4,4,4,,,1,,,,1,1,1,1,2,4,,,4,4,1,,1,5,,,,,6,1,4,,,,1,2,1,1,1,1,2,11,,,,,,,1,4,5,8,,,,,,,,,,2,3,2,1,5,,,,,,,,,2,5,5,5,3,5,5,3,3,8,,,,,,,,・静かに勉強ができる所。
57,2,1,,2,,,,,,,,,,,,2,,,,2,4,1,1,2,,,,1,5,2,,1,5,7,,,,5,1,5,,,塾,1,,,,,,,11,,,,,,,1,4,5,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,2,,,,,,,3,4,5,,,,,,,
58,1,1,3,3,2,4,4,4,4,4,4,4,4,,,3,,,,1,1,1,1,2,,,,3,3,2,,1,5,,,,,6,1,,,,,3,3,1,3,3,3,4,11,,,,,,,1,3,,,,,,,,,,,,2,2,4,1,2,,,,,,,,,2,5,1,5,1,5,5,5,3,4,5,,,,,,,
59,1,1,2,3,3,4,4,2,3,4,4,4,4,4,,1,6,,,1,5,1,1,2,,,,2,4,1,,1,3,5,,,,4,1,,,,,1,1,1,2,1,2,1,9,,,,,,,1,4,8,,,,,,,,,,,1,2,3,2,5,,,,,,,,,2,,,,,,,,,,,,,,,,,
60,1,1,2,,3,,,,,1,,,4,,,1,,,,1,2,1,1,2,,,,1,3,2,,1,,,,,,3,3,4,,,,2,2,2,2,2,2,2,11,,,,,,,1,4,,,,,,,,,,,,2,2,3,1,,,,,,,,,,1,3,4,3,2,4,4,3,1,5,9,,,,,,,狛江市に緑をふやしてほしい。ゲームショップを建ててほしい。
61,1,1,1,3,2,4,3,2,3,4,4,4,4,3,祖父と祖母の家,12,,,,12,5,1,1,2,,,,1,4,2,,1,3,5,7,,,5,5,,,,自習学習,1,1,1,2,1,2,1,10,,,,,,自分的に習い事が少し多い,1,2,3,4,5,6,7,,,,,,,2,2,3,1,2,3,4,,,,,,,1,1,1,1,1,3,1,1,5,7,8,,,,,,,犯罪や事故などがい●おきない狛江市　みんなの暮らしが平等な狛江市
62,2,1,,,1,,,,,,,,,,,8,,,,8,3,1,1,,,,,1,5,1,,1,3,5,,,,5,1,,,,,,1,,,,,,11,,,,,,,1,3,4,5,6,7,8,9,11,,,,,1,2,1,1,2,3,4,5,6,8,,,,1,,1,,,,,,1,3,8,,,,,,,貧乏な人に支援をする。
63,2,1,2,3,3,4,4,4,3,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,2,,1,,,,,,4,6,,,,,2,3,2,2,2,1,3,11,,,,,,,1,4,,,,,,,,,,,,3,2,4,1,2,3,,,,,,,,1,3,3,2,2,2,3,3,3,5,8,,,,,,,・子どもがいつでも集まれて遊べる施設を作る。
64,2,1,3,4,4,,4,4,2,4,4,4,4,,,1,,,,1,5,2,1,2,,,,3,4,2,,1,2,,,,,2,6,,,,,2,2,1,2,2,2,2,11,,,,,,,1,2,4,,,,,,,,,,,1,2,4,1,,,,,,,,,,3,5,3,5,5,5,3,3,3,5,9,,,,,,,
65,2,1,,,2,,,,3,,,,,,,1,,,,1,2,1,1,,,,,1,5,2,,1,5,7,,,,3,3,,,,,2,2,1,2,1,1,2,11,,,,,,,4,7,,,,,,,,,,,,2,2,4,1,,,,,,,,,,2,5,5,5,2,2,5,5,9,,,,,,,,,とくにない。
66,2,1,1,3,3,3,4,4,2,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,2,2,,1,3,7,,,,2,2,4,,,,3,3,2,4,3,1,3,11,,,,,,,1,2,4,,,,,,,,,,,1,2,3,1,,,,,,,,,,2,2,2,2,4,3,2,1,1,4,6,,,,,,,ブレボーやキックボードなどをしてもいい広い芝生がついている公園が欲しい。畑をこわして家をつくるのをやめてほしい。畑から公園や、幼稚園などを作ってほしい。
67,2,1,3,4,2,2,4,4,4,4,4,4,4,4,,1,,,,1,4,1,1,2,,,,1,3,2,,3,7,,,,,6,4,,,,,1,2,2,2,2,3,1,1,3,8,9,,,,13,,,,,,,,,,,,,3,3,4,1,10,,,,,,,,,3,4,4,4,4,4,4,4,3,5,8,,,,,,,学習塾に行けるお金や大学に行けるお金。医療費が安くなる、無料になってほしい。
68,1,1,3,3,3,4,4,3,3,4,4,4,4,,,,,,,1,3,1,1,2,,,,2,5,2,,1,2,3,,,,3,5,,,,英語教室,1,1,1,1,1,1,1,11,,,,,,,14,,,,,,,,,,,,相談することがない。,3,2,2,1,3,,,,,,,,,1,5,1,5,5,5,5,5,3,4,9,,,,,,,
69,2,1,3,2,3,4,4,4,2,4,4,4,4,4,,,,,,1,5,1,1,2,,,,2,4,2,,1,7,,,,,4,4,,,,,2,2,1,2,2,2,2,11,,,,,,,1,4,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,1,1,2,3,4,4,4,4,4,4,4,1,4,,1,,,,1,1,1,1,,,,,1,5,2,,5,,,,,,2,1,,,,,1,1,1,3,1,3,2,11,,,,,,,8,,,,,,,,,,,,,3,2,4,5,,,,,,,,,,1,2,5,5,5,5,2,2,5,8,9,,,,,,,やりたいことを体験できる場所を作ってほしい。
71,1,1,1,4,1,4,4,3,3,3,3,4,4,4,,3,,,,8,2,1,1,2,,,,2,3,1,,5,,,,,,6,1,4,,,,1,1,1,1,1,1,1,10,,,,,,あまり外に出ない。,1,4,6,7,9,,,,,,,,,1,2,1,1,,,,,,,,,,2,3,3,4,3,3,3,3,1,8,9,,,,,,,美術や音楽などの様々な体験ができる場を誰にも気軽に使えるという仕組みがほしい。
72,1,1,1,3,2,4,4,4,3,4,4,4,4,,,1,,,,1,2,2,1,2,4,,,2,4,1,,1,5,,,,,4,1,3,,,,1,2,1,2,2,1,2,11,,,,,,,1,2,8,,,,,,,,,,,1,2,4,1,,,,,,,,,,2,3,5,5,3,2,5,5,2,4,8,,,,,,,補助金
73,1,3,3,4,2,4,4,,3,4,4,4,4,,,6,,,,1,3,1,1,2,3,,,1,5,2,,1,2,3,7,,,5,1,3,,,,1,1,1,1,1,1,1,,,,,,,,1,2,3,4,5,,,,,,,,,1,2,2,1,2,,,,,,,,,1,5,5,5,5,2,3,5,5,8,9,,,,,,,ぼくは、スケートボードをやっています。いつもは自転車や車で遠くのスケートパークへ行かなければいけません。狛江市にはスケートパークがありません。オリンピックの競技にもなったのに、見向きもされずにいて、サッカーや野球はやる場所があるのに、スケートボードは路上でやると怒られたりして、スケートボードができません。どうか小さくてもいいので、ぜひスケートボードが安全にできる場所を狛江市に作って下さい。
74,2,1,2,3,4,4,4,4,3,4,4,4,4,,,1,,,,1,2,1,1,2,,,,3,3,2,,1,,,,,,4,1,,,,,1,2,1,2,1,3,2,11,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,2,3,3,5,4,,,,,,,,,
75,1,1,3,3,4,4,,3,2,3,4,3,4,4,,6,,,,5,1,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,6,7,13,14,,,,,サッカーのコーチ,3,3,2,1,2,3,10,11,,,,,友だち,1,2,3,2,5,4,2,2,1,3,4,5,6,7,8,9,,もっと公園を増やしてほしい。（ボールが蹴れるところ）
76,2,1,,,,,4,,,,,,,,,3,,,,9,4,1,1,,,,,3,2,1,,5,,,,,,6,1,2,5,,ユーチューブ,3,3,2,3,2,2,2,10,,,,,,しつこい,14,,,,,,,,,,,,相談しようと思ってもすぐ忘れる。,3,3,4,11,,,,,,,,,わからない,2,1,2,5,4,3,3,4,4,5,7,,,,,,,いろんな学校と学校が会話したりする。
77,2,,3,3,3,3,4,3,3,3,4,4,4,4,,1,,,,13,3,1,1,2,3,,,1,4,2,,1,2,5,7,,,4,2,3,4,,,3,,2,3,2,1,3,4,,,,,,,1,4,5,,,,,,,,,,,2,2,3,,,,,,,,,,,3,2,3,5,2,5,3,3,5,9,,,,,,,,１年ごとに先生だけ変わる。小学生の高学年さん用の公園がほしい。
78,1,1,1,4,4,4,4,4,3,4,3,4,1,2,,,,,,1,3,1,1,2,,,,3,4,2,,1,2,,,,,3,4,,,,,2,2,1,2,2,2,2,3,9,,,,,,1,2,3,4,6,,,,,,,,,3,2,3,1,,,,,,,,,,2,5,3,5,5,5,5,5,3,4,8,,,,,,,教室を広くしてほしい。
79,2,1,2,3,2,4,4,4,4,4,4,3,4,4,,1,,,,1,3,1,1,,,,,1,4,2,,1,,,,,,3,3,,,,,2,2,1,1,2,1,3,11,,,,,,,1,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,1,1,1,3,3,2,3,1,3,4,,,,,,,・もっと公園をつくってほしい。
80,1,1,2,4,3,4,4,4,2,4,4,4,4,,,1,,,,1,3,1,4,,,,,2,4,3,,1,7,,,,,2,6,,,,,3,3,2,2,2,3,3,11,,,,,,,15,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,4,5,5,5,5,5,5,5,5,7,8,9,,,,,,安全な公園
81,2,4,2,4,2,4,4,4,4,3,2,3,4,,,3,,,,3,4,2,1,2,,,,1,4,2,,1,7,,,,,2,3,,,,,2,3,1,2,1,1,1,11,,,,,,,1,2,3,5,,,,,,,,,,2,2,4,1,11,,,,,,,,親戚,1,5,5,5,3,5,5,5,3,5,8,,,,,,,・もっと運動できるところを作ってほしい。
82,2,1,1,3,3,4,4,4,3,4,3,4,4,4,,,,,,1,3,1,1,,,,,1,5,2,,1,,,,,,4,1,,,,,2,2,1,1,3,1,1,11,,,,,,,1,,,,,,,,,,,,,3,2,3,1,,,,,,,,,,1,1,,,,,,,8,,,,,,,,,楽しい公園を作って小さい子に楽しんでもらいたいです。イベントを出してやること。
83,2,1,4,4,2,3,4,4,4,4,4,4,4,,,1,,,,1,2,1,1,2,,,,1,5,1,,1,2,,,,,5,5,,,,そろばん、ECC,1,1,1,1,1,1,1,8,,,,,,,1,2,4,5,6,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,5,3,5,5,5,4,8,,,,,,,,・ボール遊びをしてもいい公園を増やす。　・冬にも入ることができるプールを作ってほしい。
84,1,1,4,2,3,4,4,3,3,4,4,4,4,,,6,,,,1,5,1,1,2,,,,1,2,2,,1,3,7,,,,3,3,,,,,3,1,1,3,1,1,1,11,,,,,,,1,4,5,6,,,,,,,,,,3,2,3,1,3,,,,,,,,,1,2,2,3,2,3,2,2,4,5,7,,,,,,,公園を増やしてほしい。
85,2,1,2,4,2,4,4,4,4,4,3,4,3,,,1,,,,1,2,1,1,,,,,3,4,1,,1,5,,,,,5,1,,,,,1,1,1,2,1,1,1,11,,,,,,,1,2,4,5,6,7,8,13,,,,,,3,2,4,1,3,4,5,10,11,,,,姉,1,5,2,1,1,3,3,3,6,7,9,,,,,,,
86,2,1,1,4,4,4,4,4,3,4,4,4,4,4,,,,,,1,4,1,1,2,,,,1,5,2,,1,7,,,,,3,2,,,,,2,3,1,2,1,1,4,11,,,,,,,1,4,8,,,,,,,,,,,3,2,4,1,5,,,,,,,,,1,5,5,5,5,3,5,5,4,5,9,,,,,,,子どもたちが安全に、公園を使える場所を増やす。
87,1,1,2,3,,,,3,,,,,,,,,,,,1,5,1,1,2,,,,1,5,1,,1,,,,,,2,6,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,4,6,7,,,,,,,,,1,2,4,1,3,,,,,,,,,1,1,1,5,5,5,5,5,3,5,9,,,,,,,ボールを使用できる公園を増やしてほしい。
88,2,1,,,1,,,,,,,,,,,1,,,,1,2,1,1,2,3,,,3,4,1,,1,,,,,,6,1,3,,,,1,2,1,2,1,2,2,10,,,,,,お父さんが仕事でつかれている。,1,15,,,,,,,,,,,,1,2,4,1,2,,,,,,,,,1,5,5,5,1,5,5,5,6,7,8,,,,,,,
89,,,2,3,3,4,3,4,3,4,3,3,4,4,,1,,,,2,5,1,1,,,,,1,4,1,,1,3,7,,,,3,1,3,,,,2,2,2,1,,,2,11,,,,,,,4,5,6,,,,,,,,,,,1,2,2,1,3,,,,,,,,,2,5,5,5,5,5,5,5,1,3,6,,,,,,,・殺人事件などがおきない町にしたい。
90,2,1,,,2,,,,,,,,,,,,,,,1,2,1,1,2,,,,3,3,1,,1,5,,,,,6,1,,,,,2,2,2,2,1,1,2,11,,,,,,,1,,,,,,,,,,,,,1,3,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,4,,,,,,,,,
91,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,5,4,1,2,5,,,3,3,3,,2,,,,,,2,3,,,,,2,2,2,2,2,2,2,11,,,,,,,1,2,3,8,,,,,,,,,,3,2,4,1,2,,,,,,,,,2,5,5,5,5,5,5,5,3,6,9,,,,,,,遊園地がほしい。
92,2,1,1,3,2,4,4,3,4,4,3,4,1,,,1,,,,1,2,1,1,2,,,,1,5,3,,1,7,,,,,4,1,3,,,,2,2,1,2,1,1,1,4,8,,,,,,1,4,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,4,5,,,,,,,大きいショッピングモール、いっぱいお菓子があるお店。
93,1,1,1,3,2,4,4,3,3,4,4,4,4,4,,6,,,,1,4,4,1,,,,,1,4,2,,1,3,7,,,,2,3,4,,,,1,2,1,2,2,1,2,11,,,,,,,1,,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,,,,,,,,1,2,4,8,9,,,,,
94,1,1,2,4,2,4,4,4,4,4,4,4,4,4,,1,,,,3,1,1,1,,,,,3,3,2,,1,5,,,,,6,1,,,,,1,1,1,1,1,1,1,8,,,,,,,1,2,4,5,,,,,,,,,,3,3,4,1,,,,,,,,,,3,1,1,5,2,2,4,4,3,4,7,,,,,,,
95,,1,2,3,3,4,4,3,4,4,4,4,4,4,,1,,,,1,3,1,1,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,,,,,,,,,,,3,2,4,1,3,,,,,,,,,1,2,3,2,4,3,5,5,3,4,5,6,,,,,,
