回答者(or No.),問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。,問１　５　その他,問２　あなたの年齢を教えてください。,問２　あなたの年齢を教えてください。,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　３　祖父／人数,問３　４　祖母／人数,問３　５　兄／人数,問３　６　姉／人数,問３　７　弟／人数,問３　８　妹／人数,問３　９　その他の親戚／人数,問３　10　その他／人数,問４　現在のあなたの婚姻状況を教えてください。,問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。,問８　両親の国籍／A　母親,問８　両親の国籍／B　父親,問９　両親の就労状況／A　母親,問９　両親の就労状況／B　父親,問９1　働いていない最も主な理由／A　母親,問９1　働いていない最も主な理由／B　父親,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親,問９3　平日の日中以外の勤務／A　母親（複数回答１）,問９3　平日の日中以外の勤務／A　母親（複数回答２）,問９3　平日の日中以外の勤務／A　母親（複数回答３）,問９3　平日の日中以外の勤務／A　母親（複数回答４）,問９3　平日の日中以外の勤務／A　母親（複数回答５）,問９3　平日の日中以外の勤務／A　母親　６　その他,問９3　平日の日中以外の勤務／B　父親（複数回答１）,問９3　平日の日中以外の勤務／B　父親（複数回答２）,問９3　平日の日中以外の勤務／B　父親（複数回答３）,問９3　平日の日中以外の勤務／B　父親（複数回答４）,問９3　平日の日中以外の勤務／B　父親（複数回答５）,問９3　平日の日中以外の勤務／B　父親（複数回答６）,問９3　平日の日中以外の勤務／B　父親　６　その他,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか,問111　問11で回答した理由を教えてください。（複数回答１）,問111　問11で回答した理由を教えてください。（複数回答２）,問111　問11で回答した理由を教えてください。（複数回答３）,問111　問11で回答した理由を教えてください。（複数回答４）,問111　問11で回答した理由を教えてください。（複数回答５）,問111　５　その他,問12　健康状態／①　あなた（回答者）,問12　健康状態／②　お子さん,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。,問141　受け取っていない理由を教えてください。,問141　７　その他,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。,問16　A　お子さんの勉強をみる,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする,問16　E　お子さんと一緒に家事など（料理等）をする,問16　F　お子さんと一緒に買い物等外出をする,問17　A　海水浴・登山などに行く,問17　B　博物館・科学館・美術館などに行く,問17　C　キャンプやバーベキューなどに行く,問17　D　スポーツ観戦や映画・コンサートなどに行く,問17　E　遊園地やテーマパークなどに行く,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。,問19　買えなかったこと／①食料,問19　買えなかったこと／②衣類,問20　Ａ　電話料金,問20　Ｂ　電気料金,問20　Ｃ　ガス料金,問20　Ｄ　水道料金,問20　Ｅ　家賃,問20　Ｆ　住宅ローン,問20　Ｇ　その他の債務,問21　Ａ　毎月お小遣いを渡す,問21　Ｂ　毎年新しい洋服・靴を買う,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）,問21　Ｅ　お誕生日のお祝いをする,問21　Ｆ　１年に１回くらい家族旅行に行く,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる,問21　Ｈ　子どもの学校行事などに親が参加する,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答１）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答２）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答３）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答４）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答５）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答６）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答７）,問23　最後に通った学校／A　母親,問23　最後に通った学校／B　父親,問231　学校を卒業したか／A　母親,問231　学校を卒業したか／A　母親　3　その他,問231　学校を卒業したか／B　父親,問231　学校を卒業したか／B　父親　3　その他,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答１）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答２）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答３）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答４）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答５）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答１）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答２）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答３）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答４）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答５）,問27　A　現在の受け取り方法（複数回答１）,問27　A　現在の受け取り方法（複数回答２）,問27　A　現在の受け取り方法（複数回答３）,問27　A　現在の受け取り方法（複数回答４）,問27　A　現在の受け取り方法（複数回答５）,問27　A　現在の受け取り方法（複数回答６）,問27　A　現在の受け取り方法（複数回答７）,問27　A　７　その他,問27　B　今後、受け取りたい方法（複数回答１）,問27　B　今後、受け取りたい方法（複数回答２）,問27　B　今後、受け取りたい方法（複数回答３）,問27　B　今後、受け取りたい方法（複数回答４）,問27　B　今後、受け取りたい方法（複数回答５）,問27　B　今後、受け取りたい方法（複数回答６）,問27　B　今後、受け取りたい方法（複数回答７）,問27　B　７　その他,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。,問29　Ａ　市役所の窓口,問29　Ｂ　子ども家庭支援センター,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど,問29　Ｄ　民生委員・児童委員,問29　Ｅ　児童相談所,問29　Ｆ　ハローワーク,問29　Ｇ　上記以外の公的機関,問30　あなたは「子どもの権利条約」について知っていますか。,問31　あなたが狛江市に期待することなどがありましたら、ご自由にお書きください。,学年,生活困難度,世帯タイプ,生活困難度（統合）,世帯タイプ（統合）,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親
242,2,,51,3,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,2,1,1,4,4,,,25,35,,,,,,,,,,,,,,5,12,,4,2,,,,,,5,3,1,2,4,,1,1,4,4,1,4,2,3,3,3,3,3,2,4,4,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,3,,,,,1,4,,,,2,3,,,,,,,2,3,,,,,,,2,2,1,2,2,2,2,2,4,,1,3,1,2,1,3,4
243,2,,46,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,23,55,7,,,,,,2,,,,,,,4,11,,4,1,2,,,,,1,1,4,2,4,,1,3,4,3,1,4,3,1,4,1,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,6,8,1,,1,,3,2,4,5,,,,,,,,4,,,,,,,,4,,,,,,,,1,2,1,2,2,2,1,2,4,,1,3,1,2,1,3,6
244,2,,45,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,3,1,,,16,46,1,4,5,,,,4,,,,,,,3,11,,4,2,3,4,,,,3,1,3,2,6,,1,1,4,4,1,3,3,4,1,4,1,1,1,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,3,4,5,,,,,1,3,4,5,,,,,1,2,2,1,2,2,1,5,3,教育に熱心な地域だと住んだ後に分かりました。少し後悔しています。ここまで教育に力を入れないで欲しいです。お金の面も大変ですし、子どもにプレッシャーをかけている自分が時々嫌になります。ですので、お母さんも子どもものびのびと過ごせる狛江市になっていってほしいです。,1,3,1,2,1,2,5
245,2,,40,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,2,1,1,3,1,,,14,45,4,,,,,,1,,,,,,,3,12,,3,3,,,,,,1,1,2,2,4,,1,2,2,1,1,1,2,1,1,1,1,1,1,,,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,7,8,1,,1,,3,8,,,,,5,,,,,3,4,5,,,,,,3,4,5,,,,,,1,1,1,1,1,1,1,,4,,1,,1,,1,2,5
246,2,,42,2,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,10,40,7,,,,,,1,2,3,4,5,,,4,12,1,4,2,3,5,,,私（母）が大学へ経済的な理由で行かず苦労したから。,2,1,4,2,4,,1,1,3,2,1,2,2,1,1,4,1,1,2,4,4,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,3,8,1,,1,,4,4,,,,,5,,,,,2,4,5,7,,,,テレビ、ネットニュース,2,3,4,5,7,,,テレビ、ネットニュース,1,2,2,1,2,2,2,2,4,,1,3,1,2,1,2,5
247,2,,40,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,20,45,7,,,,,,7,,,,,,,2,12,,4,2,,,,,,1,1,4,2,6,,1,4,4,4,1,2,3,1,1,1,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,,,,,,,,8,9,1,,1,,2,8,,,,,7,,,,,1,2,4,6,,,,,1,2,3,4,6,,,,1,2,1,1,2,2,1,2,3,8月に狛江市に転入しましたが、放課後のKOKOAがあることが大変ありがたいです。これからも続いてほしいと思います。,1,3,1,2,1,3,5
248,2,,44,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,2,1,1,2,1,,,40,40,7,,,,,,7,,,,,,,7,12,,4,2,,,,,,1,1,3,2,1,,3,2,3,2,1,3,2,4,1,1,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,1,5,5,5,5,5,5,4,,1,3,1,2,1,5,5
249,2,,50,3,1,,,,,,,1,,,,,,,,,,,,,,,1,,2,2,1,1,1,1,,,8,10,7,,,,,,7,,,,,,,9,12,,4,6,,,,,,1,1,4,3,,,1,1,4,2,1,4,3,3,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,6,8,1,,1,,4,8,,,,,7,,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,1,1,1,2,2,2,2,2,18才未満の子どもの医療費の軽減（年収制限なしで）。,1,,,,,1,2
250,2,,46,2,1,,,,,,,1,,,,,,,,,,,,,,,1,,2,2,1,1,1,1,,,40,40,7,,,,,,7,,,,,,,6,6,,2,3,,,,,,1,1,4,2,4,,1,4,3,2,1,3,3,3,3,3,1,4,2,4,4,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,8,,,,,,,6,8,1,,1,,4,5,,,,,7,,,,,1,4,5,,,,,,1,3,5,6,,,,,1,2,1,1,2,2,4,,4,,1,,,,,5,5
251,2,,39,1,2,8,,,,,,2,8,,,,,,,,,,,1,,,2,3,2,2,1,,3,7,,,31,,4,,,,,,,,,,,,,5,,,4,5,,,,,吸収力のある時期に、知識や経験をたくさんしてほしいから。,2,1,4,1,,,4,4,4,4,1,1,3,4,1,1,1,1,2,4,4,2,2,2,2,3,2,3,1,1,2,2,1,1,1,1,8,,,,,,,8,,3,現在、大学の通信学部に在学中、最終卒業は専門学校。,,,3,8,,,,,2,4,5,6,,1,2,3,4,5,,,,2,3,5,,,,,,2,1,1,1,2,2,1,1,1,一年中利用できるプールがあるとうれしいです。これまで妊娠、出産、育児、離婚、離職など様々な場面がありましたが、困った時に話を聞いてくださったり、弁護士さんとつなげてくださったり、フードバンクにつなげてもらえて食いつなげたり、今現在も市役所の窓口で助けてもらえて一人じゃなくやってこれています。本当にありがとうございます。,1,3,3,2,2,4,
252,2,,42,2,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,4,40,2,4,,,,,7,,,,,,,2,10,,4,1,3,,,,,1,1,4,2,1,,1,1,2,2,1,1,2,1,1,1,1,1,2,4,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,8,,,,,,,7,8,1,,1,,2,8,,,,,7,,,,,1,2,4,5,6,,,,3,4,5,6,,,,,1,1,1,1,2,2,1,2,2,・小学校がいくつかある市なのに、夏休みの宿題の量がかなり違うと感じています。（小1の頃からずっと。）学力、学習での差が市内で出ないといいと思います。,1,3,1,2,1,1,5
253,2,,45,2,1,6,,,,,,1,6,,,,,,,,,1,,,,,1,,2,1,1,1,1,1,,,40,50,1,6,,,,時差出勤,7,,,,,,,,,,4,2,,,,,,1,1,4,2,7,該当しないため。,2,2,4,4,1,1,2,1,1,1,1,1,1,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,2,4,5,7,,,,,2,4,5,7,,,,,1,2,2,2,2,2,2,2,2,・学校以外で子どもたちが集まれる場所（そういう場所がないため、いつもマンションの遊べるスペースにマンション以外の子どもたちが集まっている）　・運動ができる場所　・室内プール。,1,,,,,5,6
254,1,,48,2,2,7,,,,,,2,7,,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,10,50,7,,,,,,1,2,3,4,5,,,3,12,1,4,2,,,,,,3,1,3,2,1,,3,1,2,2,1,2,3,1,1,4,4,1,1,4,4,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,4,8,,,,,7,,,,,1,3,4,5,,,,,1,3,4,5,,,,,1,2,2,2,2,2,2,2,3,給食費の無償化を一律にお願いできたら、すべての子が気がねなく、たくさん食べられると思います。,1,,,,,2,6
255,2,,,,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,1,1,,,40,40,7,,,,,,7,,,,,,,,,,4,2,,,,,,3,1,3,2,1,,1,1,3,3,1,3,3,1,3,1,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,6,,,,,,,8,7,1,,1,,3,,,,,,,,,,,1,3,4,,,,,,4,,,,,,,,1,2,1,2,2,2,2,2,1,保育園、学校、学童、児童館への指導や支援補助が結果的に子どもの生活を豊かにすることにつながります。又、先生方の研修など知識をアップデートできるようにしていただきたいです。市のリードを期待しています。,1,,1,,1,5,5
256,2,,46,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,5,1,1,,,40,,,,,,,7,,,,,,,,9,,4,2,,,,,,3,1,3,2,4,,1,2,4,2,1,3,2,1,1,4,1,1,1,4,4,2,2,2,2,2,3,3,1,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,4,5,,,,,,1,2,3,4,5,6,,,1,1,1,1,5,2,5,2,3,,1,3,1,2,1,,5
257,2,,51,3,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,2,1,1,4,4,,,25,35,7,,,,,,7,,,,,,,5,12,,4,2,,,,,,5,1,1,2,4,,1,1,4,4,1,4,2,3,3,3,3,3,2,4,4,2,2,2,2,3,2,3,2,1,2,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,3,,,,,1,4,,,,2,3,,,,,,,2,3,,,,,,,2,2,1,2,2,2,2,2,4,インフルエンザワクチン助成を小中学生まで広げてほしい。,1,3,1,2,1,3,4
258,2,,48,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,1,1,,,35,50,7,,,,,,1,2,4,5,,,,6,9,,4,2,,,,,,1,1,3,2,4,,1,2,2,4,1,3,2,1,1,3,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,8,7,1,,1,,2,8,,,,,7,,,,,1,3,4,6,,,,,3,5,6,,,,,,1,2,2,2,2,2,2,2,3,・子どもがのびのびと遊べる広場公園をもっと増して欲しい。（ボール遊び、キャッチボール、サッカーなど）　・野球のグラウンドを作って下さい。,1,3,1,2,1,4,6
259,2,,51,3,1,2,5,,,,,1,2,5,,,,,,,2,,,,,,1,,2,1,1,1,5,1,2,,,,,,,,,,,,,,,,,1,12,,4,1,,,,,,1,1,4,2,1,,1,3,4,4,1,3,3,3,1,3,1,3,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,4,5,7,,7,8,1,,1,,2,8,,,,,7,,,,,1,2,4,,,,,,1,2,4,,,,,,1,2,1,1,2,2,1,2,2,,1,2,1,1,1,,
260,2,,32,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,2,1,1,5,1,1,,,50,,,,,,,4,,,,,,,1,12,1,4,2,,,,,,4,3,4,2,4,,1,1,4,2,1,1,2,4,1,1,4,1,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,6,7,1,,1,,3,1,,,,,7,,,,,3,4,5,6,,,,,3,4,5,6,,,,,1,2,1,1,2,2,2,2,4,給食費無償化。,1,3,1,2,1,,6
261,2,,50,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,2,1,1,5,1,2,,,,,,,,,,,,,,,,,1,11,,4,2,,,,,,3,3,3,3,,,1,1,4,1,1,2,2,4,1,4,1,4,2,4,4,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,,,,,,,,3,3,1,,1,,3,8,,,,,7,,,,,4,5,6,,,,,,4,5,6,,,,,,1,2,5,1,5,2,2,2,2,18才までの医療費無料にしてほしいです。,1,3,1,2,1,,
262,2,,44,2,1,2,7,8,,,,1,2,7,8,,,,,,,,1,1,,,1,,2,1,1,1,3,1,,,16,60,7,,,,,,7,,,,,,,2,12,,4,2,,,,,,1,1,4,2,4,,1,3,4,4,1,4,3,4,4,4,1,1,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,3,4,,,,,,,3,4,,,,,,,1,2,1,2,2,2,2,2,2,子どもたちが心身ともに健やかに育つよう、ハード面、ソフト面両方からの支援をしていただけるよう、お願いしたいです。具体的には18歳までの医療費補助、給食費への補助、また治安が良く、子どもたちへの悪い影響が少ない街づくりがされるとありがたいなと思っています。,1,3,1,2,1,2,7
263,2,,51,3,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,1,1,,,50,50,1,4,,,,,6,,,,,,時々、土・日・祝も仕事の入る時が有る。,10,8,,4,5,,,,,将来の選択肢を考えて。,3,1,4,2,,,1,2,4,3,1,1,2,1,1,1,1,1,1,4,4,2,2,2,2,3,2,3,2,1,1,1,1,1,1,1,,,,,,,,8,9,1,,1,,3,1,,,,,7,,,,,1,2,3,4,5,6,,,1,2,3,4,5,6,,,1,2,1,1,2,1,2,2,2,・公教育の質を上げて頂きたい。（設備投資及び人的投資）　・図書館が駄倉地域センターに移るというのはとんでもない話。文学をないがしろにしていますということを世間にさらすようなもの。恥。　・イベントが多いのは良い。住みたいと思われる魅力を発信できている。　・小学生にはipadは早かった。我が子をみても、授業公開で学校をのぞいても、オモチャとして使ったり、アプリを使って先生の目を盗んで人の悪口を言っていたり、変な動画を撮ったり…。嫌でも中学校からは活用することになるのだろうし、その頃には弁えることもおぼえるであろうし、コロナも終わって小学生からは取り上げて良いと思う。先生でもipadばかり使って生徒の姿をろくに見ていないと感じる場面が多い。機械に振り廻されるより、子どもたちにはまずコミュニケーション能力を高めてほしい、市で考えてもらえないものか。,1,3,1,2,1,6,6
264,2,,42,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,1,1,,,8,10,5,,,,,,2,4,5,,,,,9,10,,4,2,,,,,,1,1,5,2,,,1,3,3,2,1,3,3,1,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,1,8,,,,,7,,,,,3,4,5,6,,,,,6,,,,,,,,1,1,1,1,2,2,2,2,2,,1,3,1,2,1,1,2
265,2,,44,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,2,1,,,40,40,7,,,,,,7,,,,,,,6,10,,4,2,,,,,,1,1,3,2,4,,1,2,4,2,1,3,3,4,1,4,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,2,4,6,,,,,,3,,,,,,,,1,2,2,1,2,2,1,2,4,,1,3,1,2,1,5,5
266,2,,43,2,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,20,60,7,,,,,,4,,,,,,,3,10,,4,2,,,,,,3,1,3,2,4,,1,2,3,3,1,3,3,1,1,1,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,2,3,4,5,6,,,,2,3,4,5,6,,,,1,2,2,1,2,2,2,2,4,,1,3,1,2,1,3,7
267,2,,44,2,1,2,6,8,,,,1,2,6,8,,,,,,,1,,1,,,1,,2,1,1,1,1,4,,,,,4,,,,,,1,4,5,,,,,,12,,4,2,,,,,,3,1,4,2,4,,3,3,3,3,1,4,3,1,4,4,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,8,,,,,,,7,8,1,,1,,3,8,,,,,5,,,,,3,4,5,6,,,,,3,5,6,,,,,,1,2,2,1,2,2,2,2,2,,1,3,1,2,1,,
268,2,,50,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,1,1,1,1,2,1,,,20,45,7,,,,,,7,,,,,,,3,12,,4,5,,,,,社会に出て働く前に、色んな経験をして欲しい。勉強だけではなく運動や読書、映画や舞台観覧、旅行等々。,3,3,3,2,4,,2,3,3,3,1,3,3,1,1,4,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,4,8,,,,,7,,,,,1,2,3,4,5,6,,,,,,,,,,,1,1,1,1,1,,,,2,狛江市は住みやすいいい街だと思います。音楽絵手紙市民まつりいかだレース色々子どもたちと共に盛り上げて活気のある魅力的な狛江市にますますなって行くことを期待しています。最近、畑が少なくなってきたな…と感じています。子どもたちが収穫体験など出来る場所を作り管理して頂く、又は減らさないようお願いいたします。,1,3,1,2,1,3,5
269,2,,44,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,3,1,,,15,37,7,,,,,,7,,,,,,,3,10,,4,2,,,,,,3,3,3,2,4,,1,1,4,2,2,2,2,4,1,4,4,4,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,1,8,,,,,7,,,,,2,3,4,,,,,,1,2,4,5,,,,,1,5,1,1,2,1,1,5,3,公園をつくってほしい。,1,3,1,2,1,2,4
270,1,,55,3,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,4,,,19,,4,5,6,,,シフト勤務,7,,,,,,,3,8,,4,2,,,,,,1,1,3,2,4,,1,1,4,4,2,4,3,4,1,1,1,1,3,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,2,8,1,,1,,1,,,,,,,,,,,1,4,,,,,,,1,4,,,,,,,1,2,2,2,2,2,1,2,3,,1,3,1,2,1,2,
271,2,,39,1,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,3,1,,,20,40,4,5,,,,,4,5,,,,,,3,9,2,4,2,,,,,,1,1,3,2,4,,1,3,4,3,2,3,3,4,4,1,1,2,2,4,3,2,2,2,2,3,2,3,1,1,1,1,1,3,1,1,8,,,,,,,2,8,1,,1,,4,8,,,,,4,,,,,1,3,4,5,6,,,,3,7,,,,,,掲示板,1,2,2,2,2,2,2,2,4,・ゴミ袋を無料にしてほしい。できないのであれば、もう少し安くしてほしい。　・病児保育ができる施設を増やしてほしい。,1,3,1,2,1,3,5
272,2,,,,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,1,1,,,84,97,1,3,4,5,,,1,3,4,5,,,,,,,4,1,2,5,,,稼がないと生きていけず、大学以上出ていないとある程度の就職は厳しいと思うから。,1,1,4,2,4,,1,1,3,2,2,2,2,1,4,1,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,6,,,,,,,,4,,,,,,,,1,3,2,1,2,2,2,3,4,「学校公開日を増やしてほしい」です。1時間の制限をなくしてほしい!!現在狛江第一小学校に子供を通わせていますが、狛江第一小学校は「1学期に1時間、2学期に1時間、3学期は授業公開はなし」です。とても短く、子供がどんな様子で過ごしているかがわかりません。コロナが収束しつつあるのに、狛江第一小学校だけ厳しく、なんとかお力になっていただきたいです。学期に1家庭2名、それぞれ1時間までの制限ありは、ひどいと思います…。例えば子供からは「得意な体育を見てほしい」と言われると、先生から「算数が…」と教えていただいても1教科しか見られず困っています。3学期は「発表会=参観日」と学校側は思っているのかもしれませんが、並段の様子を知ることで、子供を理解できることがあると思います。1小は学校評価アンケートに自由記述欄がなく、直接意見を言うと目立ち、クレーマーのように思われそうで（クレームを言う気はなく、見たいだけです）言えません…。,1,,1,,1,6,8
273,2,,47,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,4,1,,,32,50,1,2,3,4,5,,7,,,,,,,,,,4,2,,,,,,1,1,4,2,4,,1,4,4,3,2,4,3,3,4,1,1,1,3,4,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,4,5,6,,,,,,4,,,,,,,,1,1,1,1,2,2,1,2,2,給食費無償化、高校生までの医療費無料化の実現をお願い致します。,1,,1,,1,4,6
