年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
34,7,5,15,11,13,12,12,19,14,10,5,6,26,17,12,7,13,6,3,3,1,2,5,5,11,7,13,15,56,44,4,3,12,8,16,11,10,6,16,20,14,10,7,7,16,12,8,6,9,5,7,2,16,4,6,8,8,11,13,6,11,11,3,7,0,0,14,12,31,30,3,4,11,11,11,14,22,17,32,26,34,41,7,3,11,9,2,0,15,17,33,25,15,11,20,12,5,5,8,9,0,0,9,14,15,15,2,5,3,4,2,2,16,26,12,19,5,7,4,3,4,7,5,7,38,32,10,21,19,16,11,12,15,7,9,6,21,24,15,14,22,24,0,1,10,13,14,10,0,0,10,5,7,8,2,1,3,7,2,3,8,4,1,1,10,13,960,883,"1,843"
35,5,8,15,14,10,8,12,18,9,13,8,5,19,21,10,11,19,18,4,5,2,0,5,6,10,13,21,15,64,75,4,6,5,5,12,11,13,10,24,13,17,10,2,8,14,10,13,12,10,5,5,3,6,9,6,6,13,16,16,11,13,9,5,2,0,1,20,12,32,29,3,0,5,4,8,14,17,20,19,24,35,43,4,4,10,11,1,3,18,10,26,32,21,22,24,12,7,8,6,9,0,0,13,9,17,21,6,1,3,7,2,4,24,20,18,21,4,12,0,2,5,6,4,5,33,31,22,27,9,18,6,9,8,5,3,8,23,14,8,10,21,20,2,3,8,11,11,11,0,0,11,3,3,3,0,2,6,1,4,3,4,5,0,2,16,17,941,945,"1,886"
36,3,5,19,21,15,6,15,19,15,10,7,7,15,27,11,11,14,9,8,0,1,1,8,3,10,8,14,9,55,44,8,9,11,3,13,15,8,10,10,16,17,13,11,10,18,10,8,8,7,8,3,5,11,9,7,3,18,11,8,12,12,14,4,7,0,3,13,17,41,23,4,2,11,5,9,11,17,18,38,24,42,43,5,5,4,9,1,2,17,12,20,23,20,17,23,13,11,12,7,5,0,0,16,18,20,16,5,4,6,7,2,2,22,25,15,7,8,7,3,4,2,3,2,7,27,23,18,20,18,17,13,9,10,8,12,10,30,26,6,7,23,21,4,2,9,14,5,10,0,0,10,12,7,5,0,3,4,4,1,3,3,6,1,5,14,13,983,905,"1,888"
37,5,3,24,14,9,9,16,7,12,13,9,1,29,23,12,13,7,8,1,3,2,0,8,2,11,9,25,19,77,68,4,4,13,3,10,13,13,14,25,8,11,8,14,12,17,14,8,12,3,9,6,5,8,10,4,4,13,11,5,6,16,12,3,9,2,2,24,23,39,26,6,3,8,5,17,24,14,15,27,18,48,46,7,6,9,7,5,2,12,20,31,23,15,19,14,17,7,10,3,7,0,0,8,6,26,14,5,4,6,4,6,2,21,22,19,9,5,9,5,3,8,7,3,4,28,27,22,22,25,15,8,19,10,12,7,14,18,18,12,7,18,26,6,5,10,14,5,10,0,0,8,5,6,7,1,3,1,3,6,2,4,3,2,1,12,11,"1,029",927,"1,956"
38,3,1,30,21,7,10,18,10,13,16,3,7,26,32,25,13,12,10,5,3,4,1,5,5,10,9,12,19,69,49,9,9,12,14,15,17,9,10,20,15,12,9,8,11,17,9,14,6,6,10,7,6,5,8,5,4,14,9,6,16,10,11,5,5,1,0,15,13,37,16,2,4,13,5,19,20,11,19,25,30,42,36,4,5,10,8,3,3,18,14,24,29,25,17,21,14,7,4,14,10,0,0,10,16,16,17,6,5,1,5,2,5,29,20,15,6,8,2,2,2,7,7,5,1,28,26,34,28,27,22,18,19,12,10,11,11,16,21,7,14,27,37,7,8,11,6,16,13,0,0,13,4,10,5,1,0,1,5,1,2,2,1,5,2,13,13,"1,068",955,"2,023"
39,9,3,22,20,8,16,20,8,20,15,2,8,43,43,8,15,14,7,3,6,3,1,9,7,16,16,17,18,85,65,6,5,8,7,12,11,9,10,23,17,10,7,4,5,15,13,8,13,10,6,6,5,9,3,9,13,11,12,16,13,12,9,9,4,2,0,17,14,23,23,9,4,6,8,14,15,15,11,30,24,41,34,1,3,6,12,2,4,5,6,35,29,23,27,13,21,16,13,9,8,0,0,17,14,27,15,3,10,4,3,2,3,27,19,24,23,10,7,2,1,7,6,2,6,33,30,22,23,22,17,15,9,5,15,10,23,24,21,14,11,34,40,8,3,11,8,14,14,0,0,4,4,9,7,2,3,1,3,1,3,5,4,1,4,18,17,"1,101","1,023","2,124"
40,5,9,25,16,11,4,14,5,15,13,9,2,31,47,13,14,16,8,2,3,3,3,11,4,10,13,24,19,100,71,12,4,14,10,19,9,11,7,16,14,12,18,9,5,12,14,13,8,11,7,8,8,8,9,8,8,10,13,9,10,8,17,10,13,0,1,18,19,30,29,2,1,7,4,20,17,19,12,26,22,29,44,13,8,9,12,1,1,17,7,20,13,27,29,16,15,10,14,2,8,0,0,13,13,17,27,4,7,9,5,3,4,31,16,18,21,9,7,5,2,6,10,6,1,32,26,32,34,24,20,14,15,18,15,28,14,27,23,21,17,39,48,4,5,13,16,17,11,0,0,5,10,6,9,3,3,5,6,5,5,8,5,5,5,27,20,"1,199","1,081","2,280"
41,4,5,21,19,5,8,17,16,16,8,5,6,39,48,17,14,9,10,5,5,3,2,3,0,15,13,29,21,82,74,10,5,15,14,15,15,8,6,27,15,10,13,9,5,10,14,13,8,5,9,8,12,8,11,9,5,12,14,11,10,16,11,8,9,1,0,13,13,22,19,6,1,11,8,20,13,17,21,21,32,36,38,2,6,10,8,2,2,15,18,20,13,22,22,13,22,10,17,10,9,0,0,13,9,21,25,5,8,8,5,5,3,30,21,16,21,9,8,0,3,6,7,5,2,24,31,34,20,29,21,14,13,21,16,21,20,17,27,23,12,48,49,1,5,13,10,13,10,0,0,10,6,14,11,0,1,3,6,4,6,6,3,3,5,17,7,"1,148","1,078","2,226"
42,4,5,16,19,8,9,15,19,18,15,5,11,38,46,24,23,20,12,3,4,2,0,10,3,15,13,26,22,85,91,3,10,10,10,13,17,7,14,29,13,11,7,7,5,14,15,9,9,1,5,5,5,14,7,8,4,13,10,12,11,18,19,4,7,0,0,16,15,14,15,1,9,8,8,29,18,10,11,33,34,36,33,9,7,5,10,2,3,16,19,26,16,22,29,15,19,10,11,8,13,0,0,26,13,31,25,4,7,10,7,4,3,22,24,11,18,9,16,7,8,9,4,2,5,31,25,23,16,29,12,17,19,12,13,10,14,28,33,13,23,46,64,4,5,12,14,9,7,0,0,8,8,16,10,2,2,4,6,6,5,6,5,7,4,16,16,"1,161","1,161","2,322"
43,11,5,22,23,13,12,17,22,12,15,11,6,56,50,15,23,11,11,6,5,1,1,12,9,10,10,25,19,90,101,9,5,10,7,15,9,15,8,15,14,14,12,7,4,23,8,13,15,9,11,10,7,10,8,18,9,8,10,13,12,12,10,12,2,0,1,16,11,20,22,5,4,11,8,15,24,8,9,35,33,46,37,8,6,13,9,2,4,20,12,31,31,30,27,26,20,15,14,8,5,0,0,15,13,28,33,9,11,4,9,6,2,27,18,26,30,14,13,7,7,9,13,4,4,30,26,30,27,25,25,27,23,16,5,19,18,22,26,12,16,53,63,6,10,12,16,5,14,0,0,10,6,8,5,1,4,5,7,6,8,5,5,3,2,13,18,"1,291","1,217","2,508"
44,7,6,21,19,11,12,16,13,12,15,6,7,41,48,22,23,13,23,7,2,3,3,5,5,15,14,33,30,96,80,7,13,7,14,18,8,11,14,17,11,15,13,9,11,19,16,14,16,7,9,4,9,15,5,12,12,8,11,7,12,17,9,9,9,2,2,11,20,20,24,5,5,8,7,24,13,14,19,31,26,32,27,10,10,5,14,1,4,17,20,37,23,22,25,27,23,18,15,15,9,0,0,20,10,29,33,9,7,6,11,9,6,26,22,35,17,6,9,2,2,6,7,2,5,27,29,22,27,22,13,17,24,13,21,27,16,39,30,16,19,58,49,9,5,14,12,9,18,0,0,10,6,7,9,0,2,7,13,9,3,13,7,6,4,13,24,"1,291","1,238","2,529"
45,3,10,27,20,9,21,19,22,15,7,2,7,48,52,25,32,16,13,2,7,5,1,7,7,13,14,26,23,86,61,11,9,15,10,12,14,10,9,18,16,13,12,4,10,17,12,17,15,7,6,7,4,9,12,9,5,11,11,11,8,21,18,4,7,0,1,13,15,24,29,4,3,9,12,16,18,19,17,40,50,29,30,13,13,9,13,1,8,15,28,34,34,41,37,39,28,18,20,12,10,0,0,19,13,21,27,11,6,12,10,1,3,27,23,20,37,9,9,11,4,16,12,5,4,27,30,21,19,19,28,20,15,16,18,16,17,28,25,10,12,53,57,3,6,18,9,20,11,0,0,6,8,6,10,2,6,6,6,3,5,8,8,3,4,17,18,"1,289","1,301","2,590"
46,3,7,22,19,11,17,20,21,14,14,10,6,49,36,23,30,14,9,8,5,3,1,14,2,14,9,26,18,104,91,6,6,9,11,19,13,12,11,23,13,13,12,9,6,17,11,11,15,15,7,11,12,9,10,17,4,9,10,9,6,10,19,2,6,2,2,23,14,32,20,5,3,5,4,10,17,14,11,52,41,20,26,10,8,10,17,5,8,19,22,19,26,28,37,36,22,21,15,11,7,0,0,18,11,22,22,10,6,8,6,2,6,24,25,25,24,9,14,6,3,8,12,3,14,25,32,19,21,23,30,15,18,16,11,9,18,36,19,22,17,44,34,6,4,14,11,9,12,0,0,9,5,6,8,2,4,8,3,7,8,9,9,6,3,21,22,"1,299","1,189","2,488"
47,6,6,15,24,14,14,21,30,12,7,5,11,48,32,28,31,11,14,6,6,2,3,11,10,7,11,21,21,97,83,10,4,10,9,17,16,5,9,14,12,21,10,8,4,16,18,8,16,4,7,8,10,12,12,10,9,9,20,6,12,11,13,3,4,1,0,10,11,18,21,6,6,13,12,13,14,11,12,53,38,37,35,9,9,18,21,7,7,17,13,34,23,23,21,30,16,13,11,8,12,0,0,14,13,13,29,7,6,13,5,2,4,22,22,24,23,7,15,7,6,11,6,4,2,30,26,20,17,18,26,27,13,11,21,13,14,35,22,19,16,32,30,6,7,7,11,8,12,0,0,10,7,11,8,4,3,9,13,4,8,6,2,4,3,14,20,"1,209","1,180","2,389"
48,6,11,21,38,27,22,29,21,7,8,9,10,33,34,33,30,11,16,6,3,3,3,7,5,6,8,19,17,86,75,10,2,11,10,16,10,6,14,16,13,11,11,3,9,13,7,19,12,3,5,9,14,9,10,16,15,15,18,4,13,16,20,3,4,1,1,15,10,22,19,2,0,11,7,15,10,16,10,36,46,28,20,6,11,11,17,8,4,26,15,25,31,34,30,23,30,7,13,12,9,0,0,22,17,20,13,7,11,8,11,10,3,24,26,19,23,10,6,3,3,1,11,6,7,23,21,21,19,24,18,14,22,12,14,17,16,22,28,13,15,44,30,3,6,8,14,14,13,0,0,8,13,10,8,4,0,6,8,5,3,10,4,6,5,10,11,"1,185","1,170","2,355"
49,2,8,25,28,14,2,21,19,13,14,13,10,44,39,25,24,14,17,8,3,3,1,7,7,10,8,20,22,91,84,8,5,13,15,19,13,8,7,16,14,16,12,7,5,14,16,15,16,6,9,10,4,11,14,13,6,10,18,9,11,17,10,4,2,1,1,16,14,23,18,2,2,7,8,9,10,19,10,49,43,22,20,7,5,16,23,5,8,31,17,26,31,34,33,25,20,14,18,13,7,0,0,12,16,19,18,4,16,4,3,0,5,33,30,27,21,11,20,6,6,12,8,8,4,30,19,19,26,19,21,22,17,21,12,9,9,22,27,16,15,30,31,5,5,13,11,9,12,0,0,15,5,7,9,3,4,3,6,5,7,4,9,4,3,18,17,"1,235","1,163","2,398"
50,5,9,23,21,16,6,25,14,8,9,6,5,30,35,37,35,25,19,5,2,1,0,6,7,12,10,31,31,89,72,11,8,13,9,15,7,7,8,11,11,13,10,7,7,15,14,10,18,9,10,7,10,12,11,12,8,12,13,8,10,15,14,4,8,5,2,14,5,31,20,6,3,7,4,9,14,11,16,47,39,20,19,8,15,6,14,7,11,19,17,30,21,31,24,23,15,15,15,8,9,0,0,22,9,16,14,5,15,8,10,3,4,26,26,16,25,13,12,4,4,14,10,3,6,29,23,20,12,20,22,9,16,13,13,23,7,28,19,19,11,36,22,4,3,13,13,15,13,0,0,6,5,4,5,0,5,10,6,3,5,11,5,3,5,12,27,"1,205","1,086","2,291"
51,4,4,22,17,11,9,11,19,10,14,9,4,25,26,27,25,14,14,5,0,4,2,6,0,6,4,12,14,72,62,6,3,8,2,8,7,12,4,17,10,17,7,5,7,12,15,7,12,3,10,13,2,10,11,9,3,7,13,4,8,7,16,3,1,1,0,14,15,22,9,5,4,11,9,11,7,7,14,30,34,18,15,8,4,10,11,3,10,16,12,22,17,17,19,17,15,7,9,6,7,0,0,17,14,14,13,0,5,5,8,2,2,16,21,13,13,5,11,3,1,7,9,4,3,16,4,11,9,27,17,10,12,5,7,12,8,18,21,9,11,26,18,1,4,9,11,9,17,0,0,5,6,4,4,1,2,6,8,5,5,6,7,1,2,22,18,900,847,"1,747"
52,9,8,19,18,10,9,27,16,12,11,11,8,36,21,25,26,19,16,6,4,3,2,6,8,7,10,27,24,66,61,5,2,15,10,8,8,8,8,8,9,8,13,5,6,19,15,11,18,6,6,10,7,16,10,3,8,18,17,8,10,8,12,1,4,0,0,9,13,20,22,5,6,15,13,16,14,16,13,47,47,8,12,11,14,10,18,7,4,29,15,21,31,29,22,20,16,21,9,7,4,0,0,14,14,20,28,6,5,4,7,1,0,33,32,21,14,6,4,3,4,6,5,6,8,22,23,16,15,18,20,17,15,13,11,13,9,17,21,21,14,28,20,4,4,7,10,17,16,0,0,5,4,7,6,2,3,10,7,6,2,5,5,2,7,14,23,"1,095","1,034","2,129"
53,2,5,25,25,6,10,13,21,4,5,9,14,28,23,25,24,11,10,4,7,3,0,1,2,10,8,29,18,92,61,7,5,7,9,4,8,4,7,18,15,8,10,3,3,14,13,12,15,5,6,8,11,14,11,10,9,12,16,14,9,10,11,4,3,0,0,13,14,19,11,7,2,18,15,17,9,16,22,48,35,13,19,12,13,10,19,1,3,16,22,37,20,19,17,22,18,13,16,9,5,0,0,11,9,14,23,3,7,1,3,3,2,23,15,18,15,8,9,4,2,8,7,3,6,23,19,15,12,16,12,7,11,9,18,11,5,20,11,14,20,16,26,3,6,3,11,14,13,0,0,5,8,8,7,2,4,8,4,7,2,4,4,3,7,16,19,"1,006",971,"1,977"
54,11,9,23,22,13,12,24,17,9,9,9,6,28,18,16,25,18,9,6,4,0,1,6,4,9,10,21,34,75,46,5,5,6,12,8,9,10,11,18,12,7,8,2,2,8,17,13,17,14,6,6,13,8,10,4,9,7,15,7,8,11,8,4,2,0,0,10,19,16,9,1,5,14,13,11,22,13,17,36,35,24,20,7,6,15,7,2,6,23,12,22,16,17,15,13,13,14,16,8,8,0,0,24,15,13,16,6,9,9,4,4,1,24,18,16,11,4,9,2,4,6,4,7,4,20,26,17,11,14,15,17,12,13,14,13,8,14,14,13,7,17,18,0,3,7,11,10,15,0,0,6,8,4,5,1,1,1,3,3,2,5,3,3,7,13,15,958,922,"1,880"
55,5,7,21,20,9,10,9,8,12,10,4,4,22,22,29,15,17,14,4,5,1,3,2,2,15,11,27,15,56,55,5,4,7,4,6,7,5,7,15,10,10,10,6,2,17,16,10,10,10,5,5,9,7,8,5,3,15,16,10,18,11,7,0,3,0,1,12,12,22,7,5,5,6,10,12,11,18,20,33,40,15,17,11,6,7,9,4,5,17,18,17,12,15,23,24,22,15,8,4,7,0,0,10,18,15,26,2,5,8,9,2,3,20,17,15,19,9,5,6,2,3,7,7,3,22,15,14,12,16,11,14,10,11,11,6,9,14,17,16,20,16,21,5,3,5,7,18,15,0,0,6,7,5,7,0,4,3,7,2,3,4,4,2,3,26,23,916,896,"1,812"
56,7,7,25,17,8,7,18,12,6,7,8,7,12,15,15,17,15,13,1,2,0,3,5,4,6,4,16,17,69,52,2,8,6,4,11,5,6,2,17,17,7,8,4,7,11,17,11,6,11,8,5,6,14,11,5,7,16,18,3,10,19,11,2,3,0,0,12,10,10,12,2,3,8,9,13,14,16,15,32,30,20,17,5,3,6,7,5,2,13,14,18,20,18,17,13,19,8,11,7,8,0,0,18,12,17,17,2,6,6,3,6,3,21,20,15,19,11,11,1,0,4,7,3,9,12,21,12,10,11,15,9,9,8,11,9,6,9,17,14,8,15,20,2,2,9,16,10,19,0,0,3,2,1,0,1,4,4,5,3,1,9,3,1,4,22,25,835,848,"1,683"
57,13,6,12,15,11,5,8,12,5,7,4,4,21,12,17,14,10,11,2,2,2,0,1,3,5,5,22,19,44,46,2,4,7,5,8,4,11,6,14,11,8,6,6,4,12,8,11,11,7,7,8,4,12,6,9,8,13,19,12,10,11,13,1,1,0,0,9,7,10,12,3,3,8,12,8,8,18,10,31,23,14,16,8,8,5,6,1,8,21,10,17,19,20,15,18,22,2,7,7,8,0,0,11,8,23,22,2,5,9,8,2,2,20,19,19,9,7,15,3,2,8,5,6,4,17,18,10,11,17,17,8,6,18,16,6,6,15,18,10,5,18,17,4,2,7,11,16,15,0,0,2,4,8,3,2,2,5,4,2,6,5,7,3,5,15,22,827,776,"1,603"
58,7,5,13,10,9,7,11,14,3,7,6,9,14,17,18,11,10,9,7,2,1,1,2,2,8,14,22,12,39,37,2,5,6,8,9,6,5,4,11,8,9,3,2,2,13,10,15,16,13,10,9,10,5,4,6,4,11,19,11,13,15,19,1,2,1,0,11,15,8,9,2,0,7,7,10,21,15,14,30,23,12,22,4,10,4,10,4,4,15,17,16,24,13,13,15,14,6,10,6,9,0,0,9,15,25,26,6,1,5,5,5,0,15,15,18,14,7,10,4,1,4,3,5,4,19,15,10,8,11,18,10,11,10,11,6,11,9,20,14,9,21,20,1,1,8,8,12,16,0,0,6,8,3,5,0,1,3,7,1,2,9,4,1,3,13,21,762,815,"1,577"
59,2,11,14,15,12,9,13,19,11,6,3,4,12,21,15,17,8,13,2,7,1,4,4,2,5,5,17,14,36,36,3,3,7,4,9,6,7,5,9,4,5,7,4,3,8,10,12,12,7,18,9,8,7,14,6,8,21,14,6,12,10,14,1,2,1,2,12,5,13,10,3,2,7,7,12,13,13,15,27,16,17,9,5,10,10,9,3,5,11,11,13,14,18,23,15,17,9,12,7,4,0,0,14,11,18,21,2,2,10,7,0,2,22,19,16,27,12,19,5,6,10,6,5,7,13,24,15,11,15,20,7,13,14,25,9,10,14,20,7,10,21,20,2,4,9,9,12,14,0,0,4,7,3,4,1,4,1,10,3,6,5,8,0,5,16,25,767,887,"1,654"
60,4,5,14,17,8,6,13,19,7,9,4,5,16,16,11,10,5,10,4,3,1,1,4,4,8,4,20,11,39,40,5,4,2,6,7,3,3,4,13,7,4,5,2,5,9,12,13,17,15,11,7,6,6,6,5,7,8,14,4,5,11,19,1,4,1,1,8,6,7,15,0,2,6,10,14,15,16,19,20,19,23,18,6,4,12,17,4,3,20,11,11,12,18,22,18,28,13,11,7,6,0,0,9,14,19,33,4,6,4,8,2,3,8,16,16,30,12,21,3,3,5,5,1,2,14,12,12,9,15,13,5,14,20,20,8,3,13,6,10,1,14,15,1,6,11,10,14,15,0,0,4,4,4,6,2,1,4,2,2,7,4,11,4,3,19,23,740,836,"1,576"
61,3,11,12,12,9,8,11,15,15,7,7,2,13,13,6,8,9,9,3,4,2,0,3,5,8,5,16,7,49,35,2,2,4,9,3,9,6,3,7,5,6,6,4,1,12,10,10,10,9,11,6,2,6,10,11,10,9,17,7,18,14,15,5,6,0,0,6,3,9,8,1,1,7,4,12,13,18,15,19,14,20,15,2,7,5,4,2,4,10,12,19,10,18,26,18,20,10,12,8,9,0,0,9,15,18,36,2,15,4,5,3,5,17,18,15,19,15,16,5,3,4,10,1,8,18,12,10,10,20,17,6,8,14,20,7,8,15,15,10,5,13,21,3,6,10,15,22,12,0,0,5,4,4,1,2,1,7,8,5,6,6,6,6,9,19,22,766,818,"1,584"
62,4,8,12,8,8,7,11,8,6,7,6,8,9,17,12,15,7,12,2,2,1,1,4,1,3,7,10,14,40,36,6,1,7,3,7,7,5,4,7,15,7,4,3,2,9,7,9,11,9,6,8,7,9,11,5,5,16,15,5,20,16,10,1,3,0,0,7,7,11,6,4,2,13,8,16,13,12,27,17,21,15,24,6,6,9,11,5,6,16,10,20,25,15,21,24,20,13,12,10,8,0,0,14,12,24,40,5,8,4,5,2,5,20,12,19,25,14,26,6,4,9,11,5,9,11,11,11,18,20,22,12,22,16,27,6,12,11,19,5,9,14,29,6,10,9,22,15,15,0,0,6,9,6,10,1,4,4,6,6,4,3,8,4,3,26,22,791,948,"1,739"
63,6,4,10,12,7,7,14,13,4,6,5,5,15,11,15,16,7,8,5,6,1,0,6,5,4,3,11,14,42,42,5,5,5,3,4,13,8,9,8,10,4,5,6,2,7,6,14,12,2,11,2,8,7,10,4,9,12,14,14,18,14,26,3,17,1,1,11,12,7,7,2,3,5,4,13,10,18,21,23,18,16,20,5,2,4,19,2,3,10,11,19,16,14,24,21,21,14,12,6,4,0,0,16,16,32,47,3,8,6,13,0,4,18,11,17,22,13,25,5,4,4,11,5,7,14,14,10,13,19,30,16,16,10,16,6,11,11,6,7,4,18,20,3,3,9,18,9,17,1,0,7,3,4,6,5,5,6,9,6,3,5,2,4,7,24,20,775,929,"1,704"
64,7,4,11,13,3,9,17,13,9,9,5,5,29,15,11,15,10,8,3,3,2,1,4,8,4,6,18,13,43,48,3,4,8,8,10,10,5,4,10,12,3,4,1,7,12,8,14,15,9,12,9,8,8,11,13,17,14,15,12,23,18,27,3,2,1,1,9,5,3,5,1,1,7,8,8,12,16,23,19,22,19,28,4,8,12,9,9,2,9,11,17,15,23,25,17,18,14,14,6,7,0,0,13,10,33,40,6,8,6,7,4,4,16,13,18,22,16,23,4,4,6,9,7,7,12,20,12,17,14,23,12,19,22,25,9,15,13,11,6,5,9,20,7,6,13,19,12,20,0,0,7,6,5,7,2,6,5,1,3,8,12,6,4,7,17,27,847,986,"1,833"
65,7,14,18,17,4,7,18,12,10,9,7,4,15,26,10,7,12,15,6,2,4,3,2,4,6,3,15,13,22,41,5,9,7,6,11,13,5,2,13,10,9,6,4,6,11,9,10,9,7,13,5,7,5,9,11,10,14,15,13,21,19,20,3,5,0,0,6,7,12,12,6,1,5,7,9,7,19,30,20,23,27,21,5,7,13,21,0,5,14,11,20,23,31,29,18,25,12,14,15,10,0,0,12,16,29,49,13,12,5,11,4,7,15,18,33,30,29,20,6,9,9,8,5,13,20,19,7,10,16,34,19,24,18,37,6,9,14,10,10,15,17,25,2,5,16,25,21,16,0,0,3,3,10,7,3,0,6,9,7,3,4,5,1,5,17,25,917,"1,079","1,996"
66,6,10,14,15,8,6,7,12,5,9,7,4,18,18,21,13,11,11,1,6,1,2,10,5,7,8,10,6,42,39,4,7,8,8,16,29,3,3,9,7,7,4,2,2,7,13,16,13,7,14,6,12,9,7,17,18,20,28,25,31,21,20,9,5,0,0,6,6,11,5,0,2,6,6,15,21,23,20,24,21,19,22,5,9,13,15,6,5,10,9,14,27,24,24,27,30,14,18,9,10,0,0,13,12,41,36,5,13,6,8,1,5,17,19,30,29,23,28,4,8,12,8,8,8,17,18,14,11,24,33,18,33,26,23,10,19,17,11,7,7,20,27,7,7,19,23,14,20,0,0,3,4,7,7,2,4,5,12,3,9,14,15,3,7,27,25,997,"1,124","2,121"
67,12,10,10,19,10,7,8,17,6,11,6,7,24,19,13,9,11,6,3,5,1,0,3,6,4,4,5,13,41,41,4,6,10,5,13,11,1,3,6,7,9,8,5,9,8,9,17,16,16,14,5,11,8,10,15,14,9,27,22,33,22,19,8,14,0,0,6,9,6,8,1,4,8,9,14,11,25,16,20,23,25,29,9,5,18,20,3,10,13,15,21,31,29,28,34,31,13,31,2,10,0,0,15,19,36,46,6,16,20,13,3,11,27,30,24,29,25,26,8,1,12,12,11,12,18,20,10,9,34,43,29,32,18,17,15,25,8,15,5,4,18,24,3,11,18,30,10,20,0,0,3,4,8,8,2,1,12,15,4,2,8,14,2,12,17,22,"1,011","1,223","2,234"
68,9,8,14,19,7,8,20,27,15,14,5,8,21,28,16,26,13,12,4,2,1,6,6,7,7,6,16,14,39,53,6,4,5,6,13,17,6,2,17,15,5,6,7,5,10,13,15,12,11,16,10,12,9,14,14,18,16,20,25,28,37,34,12,11,2,0,5,5,11,11,1,3,11,10,17,17,35,31,26,33,28,40,8,11,24,20,5,11,18,19,26,23,24,46,30,38,12,21,12,14,0,0,15,23,49,57,15,19,5,17,6,8,22,28,30,40,28,27,6,8,11,11,9,12,18,21,12,11,34,47,30,40,34,43,16,16,7,10,6,9,28,40,11,13,27,30,21,19,0,0,6,5,9,8,7,4,12,11,8,10,14,12,10,8,42,29,"1,254","1,460","2,714"
69,5,8,21,14,7,6,14,20,12,9,2,7,24,19,16,18,10,13,6,3,3,7,7,5,5,6,13,12,44,44,8,5,8,12,17,17,6,9,14,15,8,14,7,5,6,7,18,25,20,21,20,13,11,22,14,15,19,19,39,46,22,36,16,15,0,0,9,6,5,8,5,3,8,10,10,12,23,14,16,29,30,22,7,10,19,34,7,11,18,13,28,19,28,31,33,47,23,39,9,13,0,0,21,17,51,57,7,16,18,14,14,8,19,25,36,42,22,26,11,8,9,14,23,18,11,21,12,14,53,57,37,42,29,36,11,15,13,14,9,6,39,33,8,11,27,50,19,18,0,0,3,6,7,8,7,5,11,16,7,4,8,17,10,12,24,23,"1,296","1,461","2,757"
70,9,9,15,20,5,12,12,17,6,6,7,6,20,24,19,11,11,14,4,6,5,0,8,8,3,3,9,12,40,39,4,3,3,11,21,15,6,5,15,12,5,10,6,3,15,12,12,20,15,15,10,13,15,21,17,24,18,30,39,30,33,29,11,12,0,1,5,7,5,4,3,7,8,3,9,10,32,15,27,27,27,30,6,7,19,33,10,14,12,13,17,23,34,53,38,41,24,47,11,10,0,0,21,18,47,47,16,13,10,17,5,8,17,18,35,44,28,24,3,11,14,23,14,7,11,14,6,13,43,35,37,47,38,35,16,17,6,9,7,6,36,33,17,17,28,43,27,12,0,0,5,4,6,10,5,8,8,18,7,10,13,16,9,16,28,27,"1,268","1,417","2,685"
71,5,2,10,12,7,12,12,16,6,7,2,8,12,12,7,15,9,12,2,2,0,2,4,7,2,1,5,9,36,43,3,4,9,9,7,13,4,3,12,3,8,4,2,2,5,8,8,16,10,8,9,7,11,6,12,17,9,13,19,27,11,24,11,5,1,0,4,1,2,5,0,7,4,5,9,8,12,8,19,21,12,30,2,6,11,27,7,4,8,9,23,18,18,35,33,25,16,19,7,7,0,0,9,15,38,40,12,8,11,10,5,5,21,16,32,32,8,14,7,4,7,15,9,12,13,9,6,3,23,32,21,28,21,20,12,7,2,5,4,4,24,21,11,9,17,19,11,9,0,0,2,4,7,3,3,5,20,8,3,5,7,10,10,13,15,17,848,966,"1,814"
