"基準日","標準地番号","標準地の所在及び地番","標準地の住居表示","本年_標準地の１平方メートル当たりの価格_円","前年_標準地の１平方メートル当たりの価格_円","変動率_パーセント","標準地の面積_M2","標準地の形状","標準地の利用の現況","標準地の周辺の土地の利用の現況","標準地の前面道路の状況","標準地についての水道_ガス供給施設及び下水道の整備状況","標準地の鉄道その他の主要な交通施設との接近の状況","標準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和5年1月1日","公12","野方２丁目１４２３番１１","野方２－４３－５","462000","447,000","3.4","215㎡","1:1.5","住宅 Ｗ２","一般住宅のほかアパートも見られる住宅地域","南西4m区道","水道・ガス・下水","野方 800m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.655314117983","35.714742327336","令和5年1月1日"
"令和5年1月1日","公13","中央１丁目６１２番１","中央１－２１－１３","1030000","980,000","5.1","2,014㎡","不整形 1：2.5","共同住宅 ＲＣ５","共同住宅のほか一般住宅も見られる住宅地域","北5.8m区道","水道・ガス・下水","中野坂上 270ｍ","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685780212855","35.6972729245436","令和5年1月1日"
"令和5年1月1日","公14※","鷺宮３丁目１５３番４","鷺宮３－２８－５","499000","481,000","3.7","167㎡","1:2","住宅 Ｗ２","中小規模一般住宅にアパートも見られる住宅地域","北西5.5ｍ区道","水道・ガス・下水","鷺ノ宮 320ｍ","１低専（50・150）準防","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.640311808972","35.7245981423386","令和5年1月1日"
"令和5年1月1日","公15","東中野１丁目７７番２１","東中野１－１４－５","817000","771,000","6.0","317㎡","1:1.5","住宅 LS２","中規模以上の一般住宅の多い住宅地域","南5.4m区道","水道・ガス・下水","東中野 560m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684819468962","35.702810357928","令和5年1月1日"
"令和5年1月1日","公16","上鷺宮５丁目６３９番１９","上鷺宮５－２１－８","412000","398,000","3.5","231㎡","1.5:1","住宅 Ｗ２","中規模一般住宅が多い環境の良い住宅地域","西5m区道","水道・ガス・下水","富士見台 900m","１低専（40・80）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.628909411416","35.729643428757","令和5年1月1日"
"令和5年1月1日","公17","江古田４丁目１６４１番１８","江古田４－３２－１４","495000","480,000","3.1","181㎡","台形  1：1","住宅 Ｗ２","一般住宅、アパート等が建ち並ぶ住宅地域","北6m区道","水道・ガス・下水","沼袋 800m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.660689894783","35.7246886099447","令和5年1月1日"
"令和5年1月1日","公18","南台３丁目１６番９","南台３－１８－５","652000","627,000","4.0","81㎡","1:1.2","住宅 Ｓ３","小規模一般住宅、共同住宅等が建ち並ぶ住宅地域","西5.5m区道","水道・ガス・下水","方南町 930m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667283313056","35.684415254153","令和5年1月1日"
"令和5年1月1日","公19","中野２丁目９番１８","中野２－１４－６","851000","802,000","6.1","230㎡","1.2:1","住宅 ＲＣ３","中規模一般住宅が多く見られる住宅地域","南5.2m区道","水道・ガス・下水","中野 450m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.669358036465","35.7042299454356","令和5年1月1日"
"令和5年1月1日","公20","中野５丁目９番１２","中野５－３８－１４","746000","707,000","5.5","218㎡","1:1","共同住宅 Ｓ３","中規模一般住宅に共同住宅も見られる住宅地域","北4m区道","水道・ガス・下水","中野 500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668345500499","35.7088097074594","令和5年1月1日"
"令和5年1月1日","公21","大和町４丁目３０１番３６","大和町４－４－８","495000","470,000","5.3","79㎡","1:2.5","住宅 W２","小規模一般住宅とアパート等が建ち並ぶ住宅地域","東3.8m区道","水道・ガス・下水","高円寺 1.1㎞","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.64777447135","35.7131009723065","令和5年1月1日"
"令和5年1月1日","公22","鷺宮４丁目４７８番８","鷺宮４－２５－９","470000","456,000","3.1","204㎡","1:1.5","住宅 W２F１B","中規模の一般住宅が多い住宅地域","北4.5m区道","水道・ガス・下水","鷺ノ宮 600m","１低専（50・150）準防","","139.634035134236","35.7245946969304","令和5年1月1日"
"令和5年1月1日","公23","新井４丁目４８番６","新井４－１１－１０","559000","536,000","4.3","76㎡","1:1","住宅 LＳ３","一般住宅、マンション等が建ち並ぶ既成住宅地域","北4m区道","水道・ガス・下水","沼袋 500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666346640838","35.71645454863","令和5年1月1日"
"令和5年1月1日","公24","野方４丁目５７５番７","野方４－４０－１９","461000","447,000","3.1","141㎡","1:1.2","住宅 W２","中規模一般住宅にアパートも見られる住宅地域","北3.8m区道","水道・ガス・下水","野方 700m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.657583844672","35.7213845034569","令和5年1月1日"
"令和5年1月1日","公25","東中野２丁目４７番１６外","東中野２－３３－２","714000","677,000","5.5","165㎡","1:1.2","住宅 LS２","中規模一般住宅にマンションが見られる住宅地域","南5m区道","水道・ガス・下水","東中野 500m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.679162775334","35.7053148655311","令和5年1月1日"
"令和5年1月1日","公26","上高田２丁目２２番６","上高田２－２２－８","560000","541,000","3.5","158㎡","1:1.5","住宅 W２","一般住宅、アパート等が建ち並ぶ住宅地域","西4.1m区道","水道・ガス・下水","新井薬師前 350m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670346745528","35.7135076456686","令和5年1月1日"
"令和5年1月1日","公27","弥生町４丁目２６番３","弥生町４－１０－６","602000","575,000","4.7","245㎡","1:1.2","住宅 W２","中規模一般住宅に共同住宅が見られる住宅地域","西5.4m区道","水道・ガス・下水","中野新橋 450m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.671921644656","35.6898729878236","令和5年1月1日"
"令和5年1月1日","公28","中野４丁目６４９番１","中野４－６－８","1090000","1,030,000","5.8","721㎡","1:01","共同住宅 RC４F１B","住宅、マンション、事務所等が混在する住宅地域","西4.2m区道","水道・ガス・下水","中野 490m","１住居（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663817723723","35.7089243398456","令和5年1月1日"
"令和5年1月1日","公29","中野３丁目１９番１０","中野３－４５－４","717000","678,000","5.8","168㎡","1:1","共同住宅 S３","小規模共同住宅、戸建住宅等が建ち並ぶ住宅地域","南3.6m区道","水道・ガス・下水","中野 460m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66217657227","35.7045036435674","令和5年1月1日"
"令和5年1月1日","公5-1","中野３丁目１０７番１０外","中野３－３６－１５","4800000","4,450,000","7.9","192㎡","1:1","店舗 ＳＲＣ６Ｆ１Ｂ","中高層の店舗ビル等が建ち並ぶ駅前の商業地域","東20m都道、北側道","水道・ガス・下水","中野近接","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665258948341","35.7053394614769","令和5年1月1日"
"令和5年1月1日","公5-2","沼袋１丁目２５７番９外","沼袋１－３９－３","594000","575,000","3.3","109㎡","1:2","店舗兼共同住宅 ＲＣ４","中低層の店舗兼住宅が建ち並ぶ近隣商業地域","南東4.5m区道","水道・ガス・下水","沼袋 90m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664005021725","35.719828437139","令和5年1月1日"
"令和5年1月1日","公5-3","新井１丁目１３番４","","806000","―","―","95㎡","1:3","建設中","小規模な小売店舗兼住宅等が多い商業地域","東5.1m区道","水道・ガス・下水","中野 600m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666853391673","35.7106317606877","令和5年1月1日"
"令和5年1月1日","公5-4※","中央４丁目３４番１５","中央４－２７－５","1240000","1,170,000","6.0","177㎡","1.2:1","店舗兼共同住宅 ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15m都道","水道・ガス・下水","新中野 460m","近商（80・400）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66709547436","35.7013601328037","令和5年1月1日"
"令和5年1月1日","公5-5※","野方６丁目７３４番１６","野方６－３１－１１","760000","734,000","3.5","119㎡","1:2","店舗、事務所兼共同住宅 Ｓ３","低層の小規模店舗が建ち並ぶ駅前の商業地域","東5.5m区道、背面道","水道・ガス・下水","野方 70m","商業（80・400）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.65233238503","35.7203452622656","令和5年1月1日"
"令和5年1月1日","公5-6","新井５丁目１６番２","新井５－１６－１","735000","710,000","3.5","144㎡","1:3","店舗兼住宅 Ｓ３","小規模な小売店舗等が建ち並ぶ駅前の商業地域","南東11m区道","水道・ガス・下水","新井薬師前 210m","商業（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.67014913341","35.7149134297438","令和5年1月1日"
"令和5年1月1日","公5-7","東中野３丁目２番１","東中野３－８－１５","2250000","2,130,000","5.6","427㎡","不整  1：1","店舗兼共同住宅 SRC１１F１B","中高層店舗、事務所ビル等が建ち並ぶ商業地域","東40m都道","水道・ガス・下水","東中野 130m","商業（80・500）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.682873239633","35.7071744367899","令和5年1月1日"
"令和5年1月1日","公5-8","東中野１丁目１２０番１８","東中野１－６－４","930000","885,000","5.1","141㎡","1:2","店舗兼共同住宅 ＲＣ６","中低層店舗兼共同住宅等が建ち並ぶ商業地域","南東11m都道、南西側道","水道・ガス・下水","東中野 630m","近商 （80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684651981774","35.7014819239994","令和5年1月1日"
"令和5年1月1日","公5-9","南台２丁目９４番２２外","南台２－４９－８","885000","841,000","5.2","170㎡","1:1.5","店舗兼共同住宅 ＲＣ４","中層ビル、共同住宅等が建ち並ぶ路線商業地域","北20m都道","水道・ガス・下水","中野富士見町 840m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670034785246","35.6860570843744","令和5年1月1日"
"令和5年1月1日","公5-10","東中野３丁目１２３番８","東中野３－１６－１４","935000","884,000","5.8","115㎡","1:1.5","倉庫、事務所兼住宅 ＲＣ５","店舗、マンション等が建ち並ぶ路線商業地域","北西15ｍ都道","水道・ガス・下水","落合 230ｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.681418727226","35.7093068705146","令和5年1月1日"
"令和5年1月1日","公5-11","本町２丁目４３２番１１","本町２－４９－１２","1860000","1,750,000","6.3","165㎡","1:3","店舗兼共同住宅 ＳＲＣ９","中高層の店舗兼住宅等が建ち並ぶ商業地域","北25ｍ都道","水道・ガス・下水","中野坂上 50ｍ","商業（80・500）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.680398542176","35.6970126738414","令和5年1月1日"
"令和5年1月1日","公5-12","中野５丁目２１番７","中野５－６７－５","3140000","2,950,000","6.4","129㎡","1:2","店舗、事務所兼住宅 ＲＣ９","中高層店舗、事務所ビル等が建ち並ぶ商業地域","西20ｍ都道","水道・ガス・下水","中野250ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665394221524","35.7082390804163","令和5年1月1日"
"令和5年1月1日","公5-13","弥生町２丁目２４番７外","弥生町２－２１－６","1310000","1,240,000","5.6","210㎡","1:2","店舗兼事務所 ＲＣ５Ｆ１Ｂ","中高層店舗兼共同住宅等が建ち並ぶ駅前商業地域","西11ｍ区道","水道・ガス・下水","中野新橋近接","商業（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674611509886","35.6923956792723","令和5年1月1日"
"令和5年1月1日","公5-14","中野１丁目９５番４外","中野１－５０－３","1060000","1,000,000","6.0","345㎡","1:1.5","事務所 ＲＣ６Ｆ１Ｂ","中層の店舗、事務所、マンションが多い商業地域","南11ｍ都道","水道・ガス・下水","中野 1ｋｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674123527712","35.7023785483534","令和5年1月1日"
"令和5年1月1日","公5-15","野方１丁目１６３６番１","野方１－２９－２","940000","888,000","5.9","108㎡","1:3","店舗、事務所兼住宅 ＲＣ６","店舗、事務所、マンション等が建ち並ぶ商業地域","南15.5m都道","水道・ガス・下水","中野 1ｋｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.658406343774","35.7099271054082","令和5年1月1日"
"令和5年1月1日","公5-16","中野３丁目１１１番５２外","中野３－３４－１３","1280000","1,200,000","6.7","152㎡","1:2","店舗兼共同住宅 Ｓ４","中層店舗、事務所ビル等が建ち並ぶ商業地域","西6.2ｍ区道","水道・ガス・下水","中野 270ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664591662668","35.7041430267013","令和5年1月1日"
"令和5年1月1日","公5-17","東中野４丁目８番４","東中野４－１０－２０","1070000","1,010,000","5.9","133㎡","1:1.2","店舗兼住宅 Ｓ３Ｆ１Ｂ","中低層の店舗、事務所等が建ち並ぶ商業地域","東１0.6m区道","水道・ガス・下水","東中野 190m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.686124718429","35.7076838833254","令和5年1月1日"
"令和5年1月1日","公5-18","上鷺宮３丁目２８９番８","上鷺宮３－１６－５","536000","524,000","2.3","165㎡","1:2","事務所兼倉庫 Ｓ３Ｆ１Ｂ","中低層店舗兼事務所、共同住宅等が多い商業地域","南14.5m都道","水道・ガス・下水","富士見台 400m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.632590255942","35.7352753477136","令和5年1月1日"
"令和5年1月1日","公5-19","江古田４丁目１６５８番５","江古田４－３０－３","641000","624,000","2.7","132㎡","1:3","店舗、事務所兼共同住宅 ＲＣ５","中高層の店舗兼共同住宅が建ち並ぶ路線商業地域","南15ｍ都道","水道・ガス・下水","沼袋 550ｍ","近商（80・300）防火","","139.662248092164","35.7239590896855","令和5年1月1日"
"令和5年1月1日","公5-20","新井１丁目３６番７外","新井１－２５－６","1260000","1,190,000","5.9","216㎡","1:1","事務所 ＲＣ６","中層店舗、事務所、マンションの多い商業地域","西20ｍ都道","水道・ガス・下水","中野 700ｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665851285396","35.7119112731183","令和5年1月1日"
"令和5年1月1日","公5-21","中野５丁目２０番２１","中野５－５６－１０","1570000","1,490,000","5.4","79㎡","1:2","店舗兼住宅 ＲＣ４Ｆ１Ｂ","小規模な飲食店舗が建ち並ぶ商業地域","北2.7ｍ区道","水道・ガス・下水","中野 300ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665886817307","35.7084140618366","令和5年1月1日"
"令和5年1月1日","公5-22","大和町１丁目１４９７番４","大和町１－１３－９","666000","640,000","4.1","142㎡","1:1","店舗兼共同住宅 ＲＣ６Ｆ１Ｂ","中低層の店舗兼共同住宅が建ち並ぶ路線商業地域","東25ｍ都道","水道・ガス・下水","野方 740ｍ","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.653583739634","35.7133582304151","令和5年1月1日"
"令和5年1月1日","公5-23","本町４丁目９２番６","本町４－３７－２５","1090000","1,030,000","5.8","75㎡","1:3","店舗兼共同住宅 ＲＣ５","中層店舗、事務所、マンションが多い商業地域","南東15ｍ区道","水道・ガス・下水","新中野 400m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668604021725","35.6948196858643","令和5年1月1日"
"令和5年1月1日","公5-24","中野２丁目１２番１","中野２－１１－１","1270000","1,200,000","5.8","408㎡","1.2:1","店舗兼共同住宅 ＲＣ３","中層の店舗、事務所、マンションが多い商業地域","南8ｍ区道","水道・ガス・下水","中野 280m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.669028327934","35.7053732382793","令和5年1月1日"
"令和6年1月1日","公1※","新井２丁目４８番２７","新井２－８－１０","774,000","720,000","7.5","１70㎡","1：1.5","共同住宅
ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野
820ｍ","１中専 （60・200）
防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。 https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664814086164","35.7124551531528","令和6年1月1日"
"令和6年1月1日","公2","白鷺３丁目９１２番２９","白鷺３－６－９","492,000","469,000","4.9","183㎡","台形
1.5：1","共同住宅
Ｓ２","一般住宅のほかアパートも見られる住宅地域","西4m区道","水道・ガス・下水","鷺ノ宮
750ｍ","１低専 （50・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.631614465522","35.7216925761246","令和6年1月1日"
"令和6年1月1日","公3※","中央２丁目４２番５","中央２－４５－４","651,000","609,000","6.9","80㎡","1：1.5","住宅Ｗ３","戸建住宅が多く見られる
住宅地域","北西4ｍ区道","水道・ガス・下水","中野坂上
480ｍ","１中専 （60・200）
準防","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.677651683426","35.699099406086","令和6年1月1日"
"令和6年1月1日","公4","若宮２丁目６６番１４外","若宮２－１０－１１","490,000","467,000","4.9","99㎡","1：2","住宅Ｗ２","中小規模住宅、アパート等が見られる住宅地域","北4m区道","水道・ガス・下水","都立家政
620m","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.645628441455","35.7176780251789","令和6年1月1日"
"令和6年1月1日","公5","江原町１丁目６５番１３","江原町１－３３－２","572,000","546,000","4.8","213㎡","1.2：1","住宅RC２F１B","一般住宅、アパート等が建ち並ぶ既成住宅地域","南8m区道","水道・ガス・下水","新江古田
610ｍ","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.672743081125","35.7286211906043","令和6年1月1日"
"令和6年1月1日","公6","上高田５丁目３０番２２外","上高田５－３０－３","520,000","497,000","4.6","114㎡","1.5：1","住宅 Ｗ２","小規模一般住宅、アパート等が建ち並ぶ住宅地域","西4m私道","水道・ガス・下水","新井薬師前
460m","１低専 （60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674888470061","35.718614469101","令和6年1月1日"
"令和6年1月1日","公7","弥生町５丁目５６番９外","弥生町５－９－２６","685,000","640,000","7.0","102㎡","1：1.2","住宅W２","中小規模の住宅、共同住宅が建ち並ぶ住宅地域","東4.5m区道","水道・ガス・下水","中野富士見町
550m","１低専（60・150）
準防","","139.66667489089","35.6875915416577","令和6年1月1日"
"令和6年1月1日","公8","東中野３丁目１２７番８","東中野３－１９－１８","730,000","682,000","7.0","194㎡","1：1.5","住宅兼共同住宅
Ｗ２","一般住宅のほかにアパート等も見られる住宅地域","北東4.3m区道","水道・ガス・下水","東中野
430m","１低専（60・150）
準防","","139.6807592402","35.7083120266741","令和6年1月1日"
"令和6年1月1日","公9","弥生町１丁目３９番１３","弥生町１－３５－１３","632,000","591,000","6.9","178㎡","1：2","共同住宅ＬＳ３","小規模住宅、アパート等が密集する住宅地域","北東3.8m区道","水道・ガス・下水","西新宿五丁目
500ｍ","１中専（60・200）
準防","","139.679489411032","35.6892801911864","令和6年1月1日"
"令和6年1月1日","公10","本町２丁目３６番１５","本町２－１３－１３","702,000","656,000","7.0","200㎡","1：1.2","住宅Ｗ２","一般住宅、マンション等が多い住宅地域","南4.5m私道","水道・ガス・下水","中野坂上
550m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.678112673416","35.6946673727544","令和6年1月1日"
"令和6年1月1日","公11","中野３丁目２番１","中野３－２３－４６","965,000","898,000","7.5","304㎡","1：1.5","共同住宅Ｓ４Ｆ１Ｂ","中規模以上の住宅の多い閑静な住宅地域","北5.5m区道","水道・ガス・下水","中野500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663916988364","35.7016877181357","令和6年1月1日"
"令和6年1月1日","公12","野方２丁目１４２３番１１","野方２－４３－５","490,000","462,000","6.1","215㎡","1：1.5","住宅Ｗ２","一般住宅のほかアパートも見られる住宅地域","南西4m区道","水道・ガス・下水","野方
800m","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.655235518615","35.7147196771557","令和6年1月1日"
"令和6年1月1日","公13","中央１丁目６１２番１","中央１－２１－１３","1,120,000","1,030,000","8.7","2,014㎡","不整形
1：2.5","共同住宅
ＲＣ５","共同住宅のほか一般住宅も見られる住宅地域","北5.8m区道","水道・ガス・下水","中野坂上
270ｍ","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685760712177","35.697363044752","令和6年1月1日"
"令和6年1月1日","公14※","鷺宮３丁目１５３番４","鷺宮３－２８－５","523,000","499,000","4.8","167㎡","1：2","住宅Ｗ２","中小規模一般住宅にアパ
ートも見られる住宅地域","北西5.5ｍ区道","水道・ガス・下水","鷺ノ宮
320ｍ","１低専（50・150）
準防","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.640233009238","35.7246126622994","令和6年1月1日"
"令和6年1月1日","公15","東中野１丁目７７番２１","東中野１－１４－５","874,000","817,000","7.0","317㎡","1：1.5","住宅LS２","中規模以上の一般住宅の多い住宅地域","南5.4m区道","水道・ガス・下水","東中野
560m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684726969244","35.7028316478288","令和6年1月1日"
"令和6年1月1日","公16","上鷺宮５丁目６３９番１９","上鷺宮５－２１－８","430,000","412,000","4.4","231㎡","1.5：1","住宅Ｗ２","中規模一般住宅が多い環境の良い住宅地域","西5m区道","水道・ガス・下水","富士見台
900m","１低専（40・80）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.628916211029","35.7296896389002","令和6年1月1日"
"令和6年1月1日","公17","江古田４丁目１６４１番１８","江古田４－３２－１４","519,000","495,000","4.8","181㎡","台形
1：1","住宅Ｗ２","一般住宅、アパート等が建ち並ぶ住宅地域","北6m区道","水道・ガス・下水","沼袋
800m","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66078519418","35.7246898700967","令和6年1月1日"
"令和6年1月1日","公18","南台３丁目１６番９","南台３－１８－５","698,000","652,000","7.1","81㎡","1：1.2","住宅Ｓ３","小規模一般住宅、共同住宅等が建ち並ぶ住宅地域","西5.5m区道","水道・ガス・下水","方南町
930m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667219713387","35.6844162940183","令和6年1月1日"
"令和6年1月1日","公19","中野２丁目９番１８","中野２－１４－６","908,000","851,000","6.7","230㎡","1.2：1","住宅ＲＣ３","中規模一般住宅が多く見られる住宅地域","南5.2m区道","水道・ガス・下水","中野
450m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.669264136937","35.7042331952785","令和6年1月1日"
"令和6年1月1日","公20","中野５丁目９番１２","中野５－３８－１４","800,000","746,000","7.2","218㎡","1：1","共同住宅Ｓ３","中小規模一般住宅に共同住宅も見られる住宅地域","北4m区道","水道・ガス・下水","中野
500m","１中専（60・200）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668248800997","35.7088118272954","令和6年1月1日"
"令和6年1月1日","公21","大和町４丁目３０１番３６","大和町４－４－８","527,000","495,000","6.5","79㎡","1：2.5","住宅
W２","小規模一般住宅とアパート等が建ち並ぶ住宅地域","東3.8m区道","水道・ガス・下水","高円寺
1.1㎞","１低専（60・150）
準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.647806271159","35.7131066523608","令和6年1月1日"
"令和6年1月1日","公22","鷺宮４丁目４７８番８","鷺宮４－２５－９","490,000","470,000","4.3","204㎡","1：1.5","住宅
W２F１B","中規模の一般住宅が多い住宅地域","北4.5m区道","水道・ガス・下水","鷺ノ宮
600m","１低専（50・150）
準防","","139.633984034506","35.7245822168565","令和6年1月1日"
