都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,191,東京都,目黒区,2016-12-01,下目黒一丁目,1431,662,769,36,29,14,22,10,7,14,14,15,23,59,65,78,104,108,87,85,78,56,72,44,49,35,45,27,35,31,36,21,31,18,20,5,31,6,21,0,0,934,,13110009001
131105,192,東京都,目黒区,2016-12-01,下目黒二丁目,5508,2686,2822,184,169,70,52,40,49,42,42,99,98,258,224,389,418,420,377,320,324,223,250,135,158,118,107,66,101,106,125,73,99,66,87,46,73,31,69,0,0,3417,,13110009002
131105,193,東京都,目黒区,2016-12-01,下目黒三丁目,3821,1863,1958,76,65,55,38,44,42,53,45,106,98,187,172,261,213,183,203,161,210,160,175,118,117,82,88,88,94,93,95,65,79,54,75,41,66,36,83,0,0,2367,,13110009003
131105,194,東京都,目黒区,2016-12-01,下目黒四丁目,2849,1376,1473,69,47,39,50,51,47,49,46,65,68,96,80,115,108,120,118,116,120,110,117,96,108,69,72,63,73,105,103,67,83,58,86,52,53,36,94,0,0,1530,,13110009004
131105,195,東京都,目黒区,2016-12-01,下目黒五丁目,3822,1844,1978,111,116,102,88,78,73,89,78,94,85,98,95,137,146,168,182,183,195,156,187,144,129,105,95,79,84,89,109,76,101,53,68,45,63,37,84,0,0,1805,,13110009005
131105,196,東京都,目黒区,2016-12-01,下目黒六丁目,2963,1408,1555,125,122,84,70,54,41,52,48,55,75,72,87,113,145,156,175,152,159,108,120,100,81,60,70,66,90,89,92,49,54,35,44,24,39,14,43,0,0,1398,,13110009006
131105,201,東京都,目黒区,2016-12-01,中町一丁目,4884,2356,2528,87,90,100,118,92,70,86,74,143,113,153,161,207,194,243,236,239,240,201,218,146,165,114,119,101,112,142,150,101,137,81,119,74,97,46,115,0,0,2650,,13110010001
131105,202,東京都,目黒区,2016-12-01,中町二丁目,4780,2214,2566,101,93,76,85,51,77,55,68,110,120,177,224,248,231,215,229,185,224,191,219,152,163,118,142,110,117,145,141,102,117,66,100,60,96,52,120,0,0,2748,,13110010002
131105,211,東京都,目黒区,2016-12-01,五本木一丁目,3728,1766,1962,52,51,47,42,35,43,62,50,112,123,183,166,191,186,155,180,142,170,139,152,126,140,107,99,80,81,112,107,63,93,68,95,54,80,38,104,0,0,2213,,13110011001
131105,212,東京都,目黒区,2016-12-01,五本木二丁目,3969,1848,2121,54,61,58,50,46,49,55,52,113,105,158,164,205,205,175,201,155,141,144,184,132,136,90,104,102,95,108,121,83,137,76,83,45,102,49,131,0,0,2387,,13110011002
