平成19年12月1日現在,,,
年  齢,計,男,女
74,1581,696,885
75～79,6339,2712,3627
75,1425,586,839
76,1365,622,743
77,1223,539,684
78,1228,505,723
79,1098,460,638
80～84,4221,1615,2606
80,1026,435,591
81,940,376,564
82,863,316,547
83,728,253,475
84,664,235,429
85～89,2294,671,1623
85,581,163,418
86,580,167,413
87,392,117,275
88,383,127,256
89,358,97,261
90～94,990,278,712
90,270,76,194
91,228,64,164
92,215,67,148
93,156,48,108
94,121,23,98
95～103,306,75,231
95,101,27,74
96,64,17,47
97,53,10,43
98,30,9,21
99,20,3,17
100,17,2,15
101,9,4,5
102,5,1,4
103,7,2,5
104以上,3,1,2
不詳者,0,0,0
平成19年1月1日現在,,,
年  齢,計,男,女
総  数,172030,85135,86895
0～4,6834,3430,3404
0,1365,674,691
1,1368,702,666
2,1358,657,701
3,1356,687,669
4,1387,710,677
5～9,6999,3572,3427
5,1336,684,652
6,1411,711,700
7,1411,722,689
8,1456,746,710
9,1385,709,676
10～14,6849,3497,3352
10,1412,708,704
11,1381,691,690
12,1397,746,651
13,1352,695,657
14,1307,657,650
15～19,7217,3681,3536
15,1341,693,648
16,1247,636,611
17,1364,697,667
18,1493,758,735
19,1772,897,875
20～24,11981,5974,6007
20,1983,1000,983
21,2173,1083,1090
22,2433,1197,1236
23,2635,1295,1340
24,2757,1399,1358
25～29,14849,7657,7192
25,2840,1433,1407
26,2902,1446,1456
27,3084,1659,1425
28,3074,1589,1485
29,2949,1530,1419
30～34,15929,8241,7688
30,3077,1584,1493
31,3025,1616,1409
32,3138,1611,1527
33,3366,1747,1619
34,3323,1683,1640
35～39,15479,8096,7383
35,3142,1650,1492
36,3185,1631,1554
37,3127,1679,1448
38,2982,1543,1439
39,3043,1593,1450
40～44,12863,6655,6208
40,2239,1133,1106
41,2993,1568,1425
42,2647,1401,1246
43,2524,1302,1222
44,2460,1251,1209
45～49,10634,5506,5128
45,2294,1207,1087
46,2166,1112,1054
47,2151,1123,1028
48,2090,1089,1001
49,1933,975,958
50～54,9754,5014,4740
50,1913,964,949
51,1818,910,908
52,2015,1061,954
53,1982,1007,975
54,2026,1072,954
55～59,12432,6252,6180
55,2121,1109,1012
56,2330,1182,1148
57,2616,1317,1299
58,2715,1343,1372
59,2650,1301,1349
60～64,9495,4657,4838
60,1837,893,944
61,1630,810,820
62,2029,1007,1022
63,2038,1008,1030
64,1961,939,1022
65～69,8781,4087,4694
65,2033,956,1077
66,1864,887,977
67,1579,699,880
68,1569,727,842
69,1736,818,918
70～74,7867,3493,4374
70,1681,716,965
71,1648,747,901
72,1526,703,823
73,1453,649,804
74,1559,678,881
75～79,6287,2701,3586
75,1429,606,823
76,1352,607,745
77,1201,531,670
78,1237,515,722
79,1068,442,626
80～84,4203,1593,2610
80,1040,438,602
81,957,382,575
82,830,294,536
83,719,251,468
84,657,228,429
85～89,2281,678,1603
85,585,166,419
86,570,167,403
87,389,121,268
88,382,121,261
89,355,103,252
90～94,999,275,724
90,276,75,201
91,222,63,159
92,225,67,158
93,148,46,102
94,128,24,104
95～103,294,75,219
95,94,27,67
96,61,15,46
97,51,13,38
98,29,7,22
99,22,4,18
100,18,3,15
101,7,3,4
102,7,1,6
103,5,2,3
104以上,3,1,2
不詳者,0,0,0
