平成20年12月1日現在,,,
年  齢,計,男,女
73,1544,712,832
74,1394,615,779
75～79,6674,2865,3809
75,1556,681,875
76,1410,576,834
77,1324,598,726
78,1188,523,665
79,1196,487,709
80～84,4454,1724,2730
80,1057,431,626
81,972,404,568
82,907,357,550
83,825,296,529
84,693,236,457
85～89,2388,715,1673
85,628,215,413
86,535,141,394
87,528,148,380
88,356,101,255
89,341,110,231
90～94,1066,295,771
90,325,86,239
91,230,62,168
92,191,51,140
93,190,55,135
94,130,41,89
95～103,325,70,255
95,106,19,87
96,79,20,59
97,53,14,39
98,37,7,30
99,16,3,13
100,13,2,11
101,11,0,11
102,5,4,1
103,5,1,4
104以上,5,1,4
不詳者,0,0,0
平成20年1月1日現在,,,
年  齢,計,男,女
総  数,174785,86440,88345
0～4,7074,3580,3494
0,1441,760,681
1,1433,691,742
2,1417,734,683
3,1387,680,707
4,1396,715,681
5～9,7174,3655,3519
5,1427,730,697
6,1373,698,675
7,1454,737,717
8,1457,741,716
9,1463,749,714
10～14,7058,3614,3444
10,1408,721,687
11,1450,729,721
12,1406,700,706
13,1429,761,668
14,1365,703,662
15～19,7175,3671,3504
15,1311,654,657
16,1354,697,657
17,1264,648,616
18,1440,738,702
19,1806,934,872
20～24,11790,5858,5932
20,1886,962,924
21,2100,1049,1051
22,2272,1126,1146
23,2694,1317,1377
24,2838,1404,1434
25～29,14794,7583,7211
25,2844,1461,1383
26,2881,1446,1435
27,2926,1461,1465
28,3096,1645,1451
29,3047,1570,1477
30～34,15678,8111,7567
30,2998,1536,1462
31,3070,1580,1490
32,3007,1597,1410
33,3169,1634,1535
34,3434,1764,1670
35～39,16011,8247,7764
35,3335,1674,1661
36,3221,1671,1550
37,3256,1647,1609
38,3138,1667,1471
39,3061,1588,1473
40～44,13640,7102,6538
40,3094,1597,1497
41,2286,1163,1123
42,3048,1602,1446
43,2676,1424,1252
44,2536,1316,1220
45～49,11240,5813,5427
45,2465,1256,1209
46,2313,1213,1100
47,2192,1119,1073
48,2186,1144,1042
49,2084,1081,1003
50～54,9624,4900,4724
50,1949,983,966
51,1897,957,940
52,1815,904,911
53,1982,1045,937
54,1981,1011,970
55～59,11759,5976,5783
55,2024,1064,960
56,2115,1105,1010
57,2298,1156,1142
58,2604,1311,1293
59,2718,1340,1378
60～64,10107,4985,5122
60,2650,1304,1346
61,1815,885,930
62,1611,803,808
63,2006,994,1012
64,2025,999,1026
65～69,8923,4145,4778
65,1944,930,1014
66,2018,940,1078
67,1846,875,971
68,1553,684,869
69,1562,716,846
70～74,7937,3565,4372
70,1725,808,917
71,1664,702,962
72,1629,742,887
73,1501,681,820
74,1418,632,786
75～79,6647,2858,3789
75,1539,666,873
76,1413,597,816
77,1315,581,734
78,1170,517,653
79,1210,497,713
80～84,4406,1697,2709
80,1019,416,603
81,992,413,579
82,918,362,556
83,790,272,518
84,687,234,453
85～89,2372,718,1654
85,627,215,412
86,535,142,393
87,513,146,367
88,360,108,252
89,337,107,230
90～94,1048,292,756
90,314,86,228
91,234,59,175
92,187,55,132
93,192,56,136
94,121,36,85
95～103,323,68,255
95,108,19,89
96,78,20,58
97,49,12,37
98,34,8,26
99,16,2,14
100,15,2,13
101,11,1,10
102,6,3,3
103,6,1,5
104以上,5,2,3
不詳者,0,0,0
