平成18年12月1日現在,,,
年  齢,計,男,女
75～79,6101,2668,3433
75,1393,645,748
76,1264,565,699
77,1257,524,733
78,1131,482,649
79,1056,452,604
80～84,3979,1435,2544
80,987,400,587
81,898,333,565
82,765,272,493
83,714,255,459
84,615,175,440
85～89,2164,659,1505
85,624,190,434
86,433,141,292
87,419,135,284
88,392,106,286
89,296,87,209
90～94,973,286,687
90,262,75,187
91,251,79,172
92,199,64,135
93,144,37,107
94,117,31,86
95～103,266,61,205
95,72,20,52
96,66,12,54
97,33,10,23
98,33,6,27
99,24,5,19
100,17,4,13
101,7,1,6
102,8,2,6
103,6,1,5
104以上,1,0,1
不詳者,0,0,0
平成18年1月1日現在,,,
年  齢,計,男,女
総  数,171302,85021,86281
0～4,6797,3447,3350
0,1340,687,653
1,1370,678,692
2,1353,686,667
3,1389,705,684
4,1345,691,654
5～9,7107,3619,3488
5,1418,711,707
6,1423,738,685
7,1457,745,712
8,1390,715,675
9,1419,710,709
10～14,6713,3476,3237
10,1375,693,682
11,1391,753,638
12,1323,685,638
13,1290,652,638
14,1334,693,641
15～19,7320,3735,3585
15,1235,632,603
16,1347,684,663
17,1418,720,698
18,1465,747,718
19,1855,952,903
20～24,12272,6090,6182
20,2048,1032,1016
21,2317,1138,1179
22,2458,1191,1267
23,2680,1341,1339
24,2769,1388,1381
25～29,15250,7871,7379
25,2946,1472,1474
26,3047,1633,1414
27,3143,1612,1531
28,3027,1569,1458
29,3087,1585,1502
30～34,16229,8527,7702
30,3114,1676,1438
31,3164,1646,1518
32,3415,1782,1633
33,3336,1724,1612
34,3200,1699,1501
35～39,14714,7690,7024
35,3203,1656,1547
36,3150,1683,1467
37,3034,1578,1456
38,3055,1607,1448
39,2272,1166,1106
40～44,12919,6753,6166
40,3018,1576,1442
41,2635,1397,1238
42,2513,1295,1218
43,2458,1264,1194
44,2295,1221,1074
45～49,10220,5254,4966
45,2142,1097,1045
46,2152,1126,1026
47,2098,1090,1008
48,1926,971,955
49,1902,970,932
50～54,9988,5176,4812
50,1822,910,912
51,2027,1066,961
52,1995,1018,977
53,2031,1075,956
54,2113,1107,1006
55～59,12258,6109,6149
55,2352,1193,1159
56,2626,1329,1297
57,2736,1342,1394
58,2686,1328,1358
59,1858,917,941
60～64,9808,4794,5014
60,1653,831,822
61,2039,1011,1028
62,2055,1017,1038
63,1996,965,1031
64,2065,970,1095
65～69,8538,3927,4611
65,1888,902,986
66,1587,705,882
67,1593,742,851
68,1761,844,917
69,1709,734,975
70～74,7776,3480,4296
70,1674,762,912
71,1558,720,838
72,1482,667,815
73,1602,708,894
74,1460,623,837
75～79,6069,2648,3421
75,1385,632,753
76,1241,556,685
77,1262,531,731
78,1105,465,640
79,1076,464,612
80～84,3956,1416,2540
80,1003,404,599
81,860,312,548
82,762,271,491
83,703,249,454
84,628,180,448
85～89,2145,661,1484
85,611,189,422
86,432,147,285
87,415,127,288
88,384,113,271
89,303,85,218
90～94,961,286,675
90,250,74,176
91,262,82,180
92,183,60,123
93,155,39,116
94,111,31,80
95以上,262,62,200
95,73,20,53
96,63,15,48
97,33,7,26
98,34,8,26
99,22,5,17
100,15,3,12
101以上,22,4,18
