平成22年12月１日現在,,,
年齢,計,男,女
34,3019,1569,1450
３５～３９,16173,8226,7947
35,3066,1581,1485
36,3398,1764,1634
37,3306,1632,1674
38,3207,1649,1558
39,3196,1600,1596
４０～４４,14705,7583,7122
40,3156,1655,1501
41,3072,1594,1478
42,3063,1546,1517
43,2379,1211,1168
44,3035,1577,1458
４５～４９,12207,6323,5884
45,2685,1433,1252
46,2477,1292,1185
47,2521,1274,1247
48,2330,1218,1112
49,2194,1106,1088
５０～５４,9914,5076,4838
50,2197,1148,1049
51,2074,1077,997
52,1938,984,954
53,1919,978,941
54,1786,889,897
５５～５９,10273,5305,4968
55,1959,1029,930
56,1953,1005,948
57,2007,1027,980
58,2086,1109,977
59,2268,1135,1133
６０～６４,11155,5499,5656
60,2501,1232,1269
61,2640,1309,1331
62,2596,1284,1312
63,1831,888,943
64,1587,786,801
６５～６９,9544,4549,4995
65,1938,956,982
66,1972,973,999
67,1882,870,1012
68,1967,911,1056
69,1785,839,946
７０～７４,7892,3480,4412
70,1568,691,877
71,1500,663,837
72,1651,766,885
73,1615,676,939
74,1558,684,874
７５～７９,6912,2981,3931
75,1493,671,822
76,1338,581,757
77,1501,640,861
78,1335,535,800
79,1245,554,691
８０～８４,4911,1986,2925
80,1115,480,635
81,1107,442,665
82,985,391,594
83,896,365,531
84,808,308,500
８５～８９,2763,832,1931
85,721,242,479
86,600,183,417
87,539,178,361
88,453,112,341
89,450,117,333
９０～９４,1137,296,841
90,276,76,200
91,295,86,209
92,257,65,192
93,168,41,127
94,141,28,113
９５～１０３,412,91,321
95,134,40,94
96,88,24,64
97,79,12,67
98,54,9,45
99,27,5,22
100,15,1,14
101,8,0,8
102,5,0,5
103,2,0,2
１０４以上,8,1,7
不詳者　　,0,0,0
平成22年１月１日現在,,,
年齢,計,男,女
総計　　　,176986,87462,89524
　０～４　,7261,3721,3540
0,1519,803,716
1,1474,737,737
2,1435,754,681
3,1408,686,722
4,1425,741,684
　５～９　,7125,3603,3522
5,1420,713,707
6,1387,713,674
7,1428,729,699
8,1398,696,702
9,1492,752,740
１０～１４,7330,3700,3630
10,1462,747,715
11,1492,758,734
12,1444,731,713
13,1493,749,744
14,1439,715,724
１５～１９,7245,3734,3511
15,1455,778,677
16,1396,713,683
17,1339,675,664
18,1458,748,710
19,1597,820,777
２０～２４,10900,5477,5423
20,1850,963,887
21,2014,1010,1004
22,2086,1035,1051
23,2394,1177,1217
24,2556,1292,1264
２５～２９,14195,7270,6925
25,2799,1420,1379
26,2858,1486,1372
27,2805,1453,1352
28,2816,1443,1373
29,2917,1468,1449
３０～３４,15026,7786,7240
30,3006,1590,1416
31,2979,1511,1468
32,3010,1554,1456
33,3024,1550,1474
34,3007,1581,1426
３５～３９,16205,8233,7972
35,3100,1569,1531
36,3420,1768,1652
37,3278,1630,1648
38,3185,1644,1541
39,3222,1622,1600
４０～４４,14714,7611,7103
40,3157,1662,1495
41,3071,1582,1489
42,3106,1580,1526
43,2295,1163,1132
44,3085,1624,1461
４５～４９,12143,6288,5855
45,2662,1413,1249
46,2489,1279,1210
47,2486,1262,1224
48,2317,1222,1095
49,2189,1112,1077
５０～５４,9916,5063,4853
50,2213,1159,1054
51,2074,1070,1004
52,1923,975,948
53,1896,961,935
54,1810,898,912
５５～５９,10302,5318,4984
55,1949,1029,920
56,1958,990,968
57,1996,1043,953
58,2109,1111,998
59,2290,1145,1145
６０～６４,11101,5473,5628
60,2551,1271,1280
61,2644,1294,1350
62,2583,1265,1318
63,1758,860,898
64,1565,783,782
６５～６９,9598,4566,5032
65,1957,962,995
66,1985,965,1020
67,1906,905,1001
68,1960,897,1063
69,1790,837,953
７０～７４,7886,3477,4409
70,1535,666,869
71,1506,674,832
72,1669,768,901
73,1618,678,940
74,1558,691,867
７５～７９,6881,2962,3919
75,1459,649,810
76,1364,593,771
77,1476,623,853
78,1348,560,788
79,1234,537,697
８０～８４,4908,1984,2924
80,1096,471,625
81,1121,447,674
82,952,380,572
83,903,367,536
84,836,319,517
８５～８９,2715,812,1903
85,688,223,465
86,594,183,411
87,548,178,370
88,454,112,342
89,431,116,315
９０～９４,1125,297,828
90,282,81,201
91,291,82,209
92,246,64,182
93,171,36,135
94,135,34,101
９５～１０３,402,86,316
95,138,38,100
96,73,20,53
97,82,12,70
98,53,10,43
99,25,4,21
100,14,1,13
101,10,1,9
102,4,0,4
103,3,0,3
１０４以上,8,1,7
不詳者　　,0,0,0
