平成17年12月1日現在,,,
年  齢,計,男,女
75,1288,580,708
76,1281,536,745
77,1155,502,653
78,1103,485,618
79,1028,416,612
80～84,3862,1345,2517
80,947,362,585
81,802,291,511
82,770,283,487
83,673,201,472
84,670,208,462
85～89,2017,630,1387
85,476,155,321
86,459,153,306
87,437,129,308
88,350,109,241
89,295,84,211
90～94,948,294,654
90,289,92,197
91,245,83,162
92,172,48,124
93,145,42,103
94,97,29,68
95～103,254,52,202
95,89,18,71
96,44,12,32
97,46,9,37
98,25,4,21
99,22,4,18
100,10,1,9
101,11,2,9
102,7,2,5
103,0,0,0
104以上,1,0,1
不詳者,0,0,0
平成17年1月1日現在,,,
年  齢,計,男,女
総  数,170327,84640,85687
0～4,6799,3429,3370
0,1315,660,655
1,1367,689,678
2,1385,697,688
3,1341,687,654
4,1391,696,695
5～9,7055,3572,3483
5,1413,732,681
6,1455,736,719
7,1388,708,680
8,1417,712,705
9,1382,684,698
10～14,6532,3391,3141
10,1383,745,638
11,1310,677,633
12,1278,653,625
13,1334,691,643
14,1227,625,602
15～19,7486,3825,3661
15,1342,681,661
16,1404,708,696
17,1362,701,661
18,1502,762,740
19,1876,973,903
20～24,12782,6368,6414
20,2160,1094,1066
21,2360,1138,1222
22,2567,1278,1289
23,2803,1431,1372
24,2892,1427,1465
25～29,15589,8157,7432
25,3057,1656,1401
26,3185,1631,1554
27,3037,1553,1484
28,3145,1633,1512
29,3165,1684,1481
30～34,16374,8593,7781
30,3182,1662,1520
31,3401,1798,1603
32,3362,1742,1620
33,3258,1730,1528
34,3171,1661,1510
35～39,14514,7626,6888
35,3153,1681,1472
36,3040,1602,1438
37,3044,1598,1446
38,2280,1176,1104
39,2997,1569,1428
40～44,12068,6312,5756
40,2650,1398,1252
41,2524,1312,1212
42,2443,1262,1181
43,2302,1233,1069
44,2149,1107,1042
45～49,9916,5096,4820
45,2167,1145,1022
46,2104,1099,1005
47,1918,970,948
48,1892,967,925
49,1835,915,920
50～54,10519,5429,5090
50,2020,1063,957
51,1992,1015,977
52,2037,1069,968
53,2113,1095,1018
54,2357,1187,1170
55～59,11618,5784,5834
55,2635,1338,1297
56,2738,1350,1388
57,2710,1340,1370
58,1865,923,942
59,1670,833,837
60～64,10157,4944,5213
60,2065,1023,1042
61,2070,1030,1040
62,2028,989,1039
63,2084,980,1104
64,1910,922,988
65～69,8458,3884,4574
65,1617,727,890
66,1616,757,859
67,1789,869,920
68,1727,749,978
69,1709,782,927
70～74,7628,3424,4204
70,1581,732,849
71,1509,681,828
72,1638,724,914
73,1489,643,846
74,1411,644,767
75～79,5850,2519,3331
75,1262,569,693
76,1292,549,743
77,1129,485,644
78,1121,494,627
79,1046,422,624
80～84,3796,1318,2478
80,899,335,564
81,803,295,508
82,766,279,487
83,674,203,471
84,654,206,448
85～89,1996,624,1372
85,475,158,317
86,453,145,308
87,433,134,299
88,346,103,243
89,289,84,205
90～94,939,293,646
90,302,97,205
91,227,77,150
92,177,49,128
93,140,43,97
94,93,27,66
95～103,250,52,198
95,89,21,68
96,44,8,36
97,45,11,34
98,23,4,19
99,21,3,18
100,12,1,11
101,10,2,8
102,6,2,4
103,0,0,0
104以上,1,0,1
不詳者,0,0,0
