平成28年12月１日現在,,,
年齢,計,男,女
24,2170,1066,1104
２５～２９,11615,5855,5760
25,2225,1134,1091
26,2314,1165,1149
27,2374,1199,1175
28,2304,1169,1135
29,2398,1188,1210
３０～３４,13278,6653,6625
30,2472,1255,1217
31,2572,1252,1320
32,2838,1426,1412
33,2726,1388,1338
34,2670,1332,1338
３５～３９,14529,7325,7204
35,2738,1377,1361
36,2967,1498,1469
37,2896,1452,1444
38,2999,1535,1464
39,2929,1463,1466
４０～４４,15837,8038,7799
40,2968,1515,1453
41,3039,1541,1498
42,3356,1731,1625
43,3219,1611,1608
44,3255,1640,1615
４５～４９,14809,7425,7384
45,3149,1552,1597
46,3161,1614,1547
47,3036,1553,1483
48,3101,1534,1567
49,2362,1172,1190
５０～５４,13063,6762,6301
50,3046,1568,1478
51,2676,1431,1245
52,2524,1316,1208
53,2543,1287,1256
54,2274,1160,1114
５５～５９,10116,5098,5018
55,2167,1066,1101
56,2164,1107,1057
57,2010,1028,982
58,1925,962,963
59,1850,935,915
６０～６４,9275,4716,4559
60,1739,857,882
61,1843,951,892
62,1876,950,926
63,1866,939,927
64,1951,1019,932
６５～６９,11073,5302,5771
65,2124,1044,1080
66,2352,1136,1216
67,2472,1163,1309
68,2413,1155,1258
69,1712,804,908
７０～７４,8681,4006,4675
70,1477,708,769
71,1804,855,949
72,1828,865,963
73,1753,773,980
74,1819,805,1014
７５～７９,7370,3126,4244
75,1653,733,920
76,1426,594,832
77,1353,565,788
78,1506,656,850
79,1432,578,854
８０～８４,6019,2410,3609
80,1349,561,788
81,1283,531,752
82,1107,450,657
83,1196,468,728
84,1084,400,684
８５～８９,3857,1418,2439
85,959,381,578
86,850,323,527
87,778,274,504
88,673,230,443
89,597,210,387
９０～９４,1637,446,1191
90,479,159,320
91,411,103,308
92,300,79,221
93,251,64,187
94,196,41,155
９５～１０３,538,86,452
95,164,27,137
96,79,12,67
97,91,15,76
98,66,12,54
99,44,6,38
100,36,5,31
101,30,3,27
102,11,4,7
103,17,2,15
１０４以上,8,0,8
不詳者　　,0,0,0
平成28年１月１日現在,,,
年齢,計,男,女
総計　　　,182897,89608,93289
　０～４　,7892,4051,3841
0,1549,786,763
1,1583,803,780
2,1579,810,769
3,1567,802,765
4,1614,850,764
　５～９　,7559,3884,3675
5,1527,764,763
6,1593,842,751
7,1501,778,723
8,1484,784,700
9,1454,716,738
１０～１４,7281,3761,3520
10,1459,774,685
11,1440,743,697
12,1410,733,677
13,1492,777,715
14,1480,734,746
１５～１９,7983,4073,3910
15,1531,775,756
16,1510,785,725
17,1577,791,786
18,1572,808,764
19,1793,914,879
２０～２４,10473,5179,5294
20,1917,927,990
21,2046,1061,985
22,2054,991,1063
23,2278,1128,1150
24,2178,1072,1106
２５～２９,11648,5873,5775
25,2250,1150,1100
26,2301,1158,1143
27,2388,1198,1190
28,2297,1170,1127
29,2412,1197,1215
３０～３４,13335,6703,6632
30,2478,1258,1220
31,2618,1272,1346
32,2839,1422,1417
33,2712,1389,1323
34,2688,1362,1326
３５～３９,14560,7311,7249
35,2763,1377,1386
36,2989,1502,1487
37,2884,1452,1432
38,2957,1500,1457
39,2967,1480,1487
４０～４４,15852,8041,7811
40,2958,1519,1439
41,3081,1548,1533
42,3359,1726,1633
43,3217,1610,1607
44,3237,1638,1599
４５～４９,14745,7391,7354
45,3161,1561,1600
46,3142,1605,1537
47,3039,1546,1493
48,3135,1556,1579
49,2268,1123,1145
５０～５４,13056,6766,6290
50,3083,1609,1474
51,2650,1404,1246
52,2551,1313,1238
53,2510,1279,1231
54,2262,1161,1101
５５～５９,10083,5083,5000
55,2148,1059,1089
56,2178,1127,1051
57,2024,1028,996
58,1901,945,956
59,1832,924,908
６０～６４,9303,4717,4586
60,1755,861,894
61,1849,958,891
62,1867,930,937
63,1859,947,912
64,1973,1021,952
６５～６９,11070,5296,5774
65,2151,1059,1092
66,2396,1160,1236
67,2486,1172,1314
68,2402,1121,1281
69,1635,784,851
７０～７４,8712,4025,4687
70,1478,714,764
71,1811,861,950
72,1839,856,983
73,1775,803,972
74,1809,791,1018
７５～７９,7375,3126,4249
75,1660,737,923
76,1393,567,826
77,1365,578,787
78,1505,654,851
79,1452,590,862
８０～８４,6002,2411,3591
80,1341,559,782
81,1244,503,741
82,1127,470,657
83,1197,455,742
84,1093,424,669
８５～８９,3806,1391,2415
85,943,367,576
86,824,307,517
87,801,283,518
88,652,232,420
89,586,202,384
９０～９４,1630,436,1194
90,504,158,346
91,381,98,283
92,301,76,225
93,253,68,185
94,191,36,155
９５～１０３,524,90,434
95,155,31,124
96,78,11,67
97,92,15,77
98,66,11,55
99,41,6,35
100,36,6,30
101,30,4,26
102,9,4,5
103,17,2,15
１０４以上,8,0,8
不詳者　　,0,0,0
