平成23年12月１日現在,,,,
年齢,計,男,女,
43,3012,1521,1491,
44,2424,1217,1207,
４５～４９,12990,6781,6209,
45,2961,1537,1424,
46,2735,1462,1273,
47,2467,1301,1166,
48,2484,1249,1235,
49,2343,1232,1111,
５０～５４,10251,5246,5005,
50,2180,1088,1092,
51,2195,1140,1055,
52,2076,1085,991,
53,1907,967,940,
54,1893,966,927,
５５～５９,9640,4976,4664,
55,1759,890,869,
56,1929,999,930,
57,1945,1006,939,
58,1955,986,969,
59,2052,1095,957,
６０～６４,11774,5774,6000,
60,2234,1116,1118,
61,2420,1199,1221,
62,2618,1278,1340,
63,2621,1284,1337,
64,1881,897,984,
６５～６９,9161,4383,4778,
65,1511,756,755,
66,1865,906,959,
67,1959,953,1006,
68,1855,867,988,
69,1971,901,1070,
７０～７４,7985,3573,4412,
70,1735,817,918,
71,1574,698,876,
72,1465,635,830,
73,1625,757,868,
74,1586,666,920,
７５～７９,7047,3008,4039,
75,1522,661,861,
76,1479,640,839,
77,1308,569,739,
78,1420,613,807,
79,1318,525,793,
８０～８４,5108,2068,3040,
80,1215,514,701,
81,1070,447,623,
82,1060,413,647,
83,933,361,572,
84,830,333,497,
８５～８９,2952,936,2016,
85,792,297,495,
86,666,210,456,
87,575,175,400,
88,499,152,347,
89,420,102,318,
９０～９４,1259,308,951,
90,386,94,292,
91,262,61,201,
92,241,68,173,
93,219,50,169,
94,151,35,116,
９５～１０３,447,88,359,
95,126,23,103,
96,110,27,83,
97,68,22,46,
98,61,7,54,
99,43,6,37,
100,18,2,16,
101,9,1,8,
102,6,0,6,
103,6,0,6,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年２月１日現在,,,,
年齢,計,男,女,
総計　　　,176400,86965,89435,
　０～４　,7252,3720,3532,
0,1479,759,720,
1,1525,800,725,
2,1449,743,706,
3,1412,728,684,
4,1387,690,697,
　５～９　,7013,3588,3425,
5,1428,741,687,
6,1413,714,699,
7,1353,703,650,
8,1440,738,702,
9,1379,692,687,
１０～１４,7342,3720,3622,
10,1503,753,750,
11,1456,753,703,
12,1468,733,735,
13,1458,744,714,
14,1457,737,720,
１５～１９,7411,3796,3615,
15,1457,714,743,
16,1433,755,678,
17,1426,741,685,
18,1388,703,685,
19,1707,883,824,
２０～２４,10315,5086,5229,
20,1744,879,865,
21,1881,909,972,
22,2092,1042,1050,
23,2163,1054,1109,
24,2435,1202,1233,
２５～２９,13542,6966,6576,
25,2526,1310,1216,
26,2772,1382,1390,
27,2761,1443,1318,
28,2721,1431,1290,
29,2762,1400,1362,
３０～３４,14533,7438,7095,
30,2840,1446,1394,
31,2871,1496,1375,
32,2917,1479,1438,
33,2995,1544,1451,
34,2910,1473,1437,
３５～３９,15724,8027,7697,
35,2931,1510,1421,
36,3014,1548,1466,
37,3324,1715,1609,
38,3282,1639,1643,
39,3173,1615,1558,
４０～４４,14687,7502,7185,
40,3143,1570,1573,
41,3129,1641,1488,
42,3030,1571,1459,
43,3032,1528,1504,
44,2353,1192,1161,
４５～４９,12997,6776,6221,
45,3035,1580,1455,
46,2677,1431,1246,
47,2461,1291,1170,
48,2515,1272,1243,
49,2309,1202,1107,
５０～５４,10237,5243,4994,
50,2191,1095,1096,
51,2181,1136,1045,
52,2057,1079,978,
53,1918,973,945,
54,1890,960,930,
５５～５９,9688,5011,4677,
55,1757,878,879,
56,1935,1013,922,
57,1942,1005,937,
58,1990,1015,975,
59,2064,1100,964,
６０～６４,11676,5724,5952,
60,2226,1108,1118,
61,2463,1208,1255,
62,2617,1284,1333,
63,2575,1260,1315,
64,1795,864,931,
６５～６９,9212,4404,4808,
65,1551,765,786,
66,1909,938,971,
67,1955,956,999,
68,1865,859,1006,
69,1932,886,1046,
７０～７４,7998,3573,4425,
70,1755,818,937,
71,1552,687,865,
72,1476,646,830,
73,1632,761,871,
74,1583,661,922,
７５～７９,7047,2999,4048,
75,1528,665,863,
76,1456,646,810,
77,1305,558,747,
78,1462,616,846,
79,1296,514,782,
８０～８４,5112,2081,3031,
80,1206,521,685,
81,1077,451,626,
82,1057,410,647,
83,927,359,568,
84,845,340,505,
８５～８９,2905,915,1990,
85,762,284,478,
86,668,212,456,
87,567,170,397,
88,491,152,339,
89,417,97,320,
９０～９４,1259,307,952,
90,399,97,302,
91,244,61,183,
92,253,68,185,
93,221,51,170,
94,142,30,112,
９５～１０３,444,89,355,
95,127,24,103,
96,106,29,77,
97,66,19,47,
98,65,8,57,
99,39,6,33,
100,19,2,17,
101,9,1,8,
102,8,0,8,
103,5,0,5,
１０４以上,6,0,6,
不詳者　　,0,0,0,
平成23年１月１日現在,,,,
年齢,計,男,女,
総計　　　,176471,87034,89437,
　０～４　,7236,3697,3539,
0,1443,736,707,
1,1535,812,723,
2,1444,720,724,
3,1405,735,670,
4,1409,694,715,
　５～９　,7019,3598,3421,
5,1417,746,671,
6,1402,708,694,
7,1370,709,661,
8,1430,736,694,
9,1400,699,701,
１０～１４,7345,3720,3625,
10,1485,740,745,
11,1457,744,713,
12,1488,754,734,
13,1440,735,705,
14,1475,747,728,
１５～１９,7415,3798,3617,
15,1437,708,729,
16,1454,777,677,
17,1401,713,688,
18,1411,717,694,
19,1712,883,829,
２０～２４,10329,5106,5223,
20,1737,866,871,
21,1880,936,944,
22,2101,1030,1071,
23,2169,1073,1096,
24,2442,1201,1241,
２５～２９,13587,6999,6588,
25,2531,1306,1225,
26,2776,1388,1388,
27,2778,1458,1320,
28,2709,1418,1291,
29,2793,1429,1364,
３０～３４,14601,7469,7132,
30,2872,1446,1426,
31,2885,1516,1369,
32,2915,1483,1432,
33,2978,1520,1458,
34,2951,1504,1447,
３５～３９,15725,8016,7709,
35,2924,1521,1403,
36,3045,1537,1508,
37,3344,1720,1624,
38,3259,1639,1620,
39,3153,1599,1554,
４０～４４,14649,7492,7157,
40,3154,1593,1561,
41,3123,1641,1482,
42,3036,1560,1476,
43,3066,1556,1510,
44,2270,1142,1128,
４５～４９,12989,6777,6212,
45,3083,1626,1457,
46,2651,1410,1241,
47,2484,1285,1199,
48,2478,1253,1225,
49,2293,1203,1090,
５０～５４,10214,5241,4973,
50,2180,1100,1080,
51,2204,1155,1049,
52,2062,1073,989,
53,1897,964,933,
54,1871,949,922,
５５～５９,9731,5029,4702,
55,1786,890,896,
56,1930,1015,915,
57,1949,991,958,
58,1978,1032,946,
59,2088,1101,987,
６０～６４,11688,5726,5962,
60,2248,1120,1128,
61,2526,1257,1269,
62,2624,1272,1352,
63,2559,1233,1326,
64,1731,844,887,
６５～６９,9247,4425,4822,
65,1533,764,769,
66,1932,946,986,
67,1972,953,1019,
68,1882,887,995,
69,1928,875,1053,
７０～７４,8002,3569,4433,
70,1764,824,940,
71,1522,659,863,
72,1483,664,819,
73,1646,759,887,
74,1587,663,924,
７５～７９,7031,3005,4026,
75,1525,669,856,
76,1427,625,802,
77,1331,574,757,
78,1432,596,836,
79,1316,541,775,
８０～８４,5072,2056,3016,
80,1188,503,685,
81,1054,442,612,
82,1072,416,656,
83,905,357,548,
84,853,338,515,
８５～８９,2903,910,1993,
85,800,295,505,
86,641,202,439,
87,552,165,387,
88,491,150,341,
89,419,98,321,
９０～９４,1245,310,935,
90,385,97,288,
91,250,66,184,
92,248,64,184,
93,214,54,160,
94,148,29,119,
９５～１０３,436,91,345,
95,121,28,93,
96,112,29,83,
97,55,17,38,
98,70,8,62,
99,39,7,32,
100,17,1,16,
101,9,1,8,
102,9,0,9,
103,4,0,4,
１０４以上,7,0,7,
不詳者　　,0,0,0,
