平成28年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
井の頭５丁目,1719,1696,1649,3345
小計,8668,7538,8102,15640
中原１丁目,2126,2028,2172,4200
中原２丁目,1410,1471,1509,2980
中原３丁目,1489,1535,1619,3154
中原４丁目,1916,2034,2143,4177
小計,6941,7068,7443,14511
北野１丁目,632,708,739,1447
北野２丁目,918,994,1009,2003
北野３丁目,920,1079,1024,2103
北野４丁目,1008,968,1000,1968
小計,3478,3749,3772,7521
新川１丁目,1015,1043,1080,2123
新川２丁目,681,741,770,1511
新川３丁目,1002,1061,1007,2068
新川４丁目,1608,1615,1755,3370
新川５丁目,1357,1223,1345,2568
新川６丁目,2557,2339,2121,4460
小計,8220,8022,8078,16100
上連雀１丁目,1775,1571,1491,3062
上連雀２丁目,1374,1154,1213,2367
上連雀３丁目,940,812,816,1628
上連雀４丁目,1724,1628,1578,3206
上連雀５丁目,1452,1377,1357,2734
上連雀６丁目,1513,1462,1631,3093
上連雀７丁目,1395,1396,1521,2917
上連雀８丁目,1572,1702,1835,3537
上連雀９丁目,1523,1631,1666,3297
小計,13268,12733,13108,25841
井口１丁目,1744,1898,1818,3716
井口２丁目,1057,1173,1272,2445
井口３丁目,955,978,1075,2053
井口４丁目,1417,1527,1506,3033
井口５丁目,472,469,510,979
小計,5645,6045,6181,12226
深大寺１丁目,799,838,838,1676
深大寺２丁目,2056,2165,1937,4102
深大寺３丁目,1088,1100,1008,2108
小計,3943,4103,3783,7886
野崎１丁目,550,514,549,1063
野崎２丁目,1195,1271,1247,2518
野崎３丁目,927,1033,1018,2051
野崎４丁目,290,342,263,605
小計,2962,3160,3077,6237
大沢１丁目,1309,1483,1411,2894
大沢２丁目,928,1005,978,1983
大沢３丁目,937,855,934,1789
大沢４丁目,1337,1435,1513,2948
大沢５丁目,860,1010,1028,2038
大沢６丁目,738,758,764,1522
小計,6109,6546,6628,13174
合計,91886,90492,94183,184675
平成28年４月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1546,1450,1511,2961
下連雀２丁目,1782,1705,1752,3457
下連雀３丁目,5854,4491,5218,9709
下連雀４丁目,3242,2903,3127,6030
下連雀５丁目,1789,1797,2212,4009
下連雀６丁目,2042,1964,2102,4066
下連雀７丁目,2297,2303,2563,4866
下連雀８丁目,1562,1796,1950,3746
下連雀９丁目,1988,2410,2575,4985
小計,22102,20819,23010,43829
牟礼１丁目,1075,976,1036,2012
牟礼２丁目,1973,1829,2013,3842
牟礼３丁目,860,880,786,1666
牟礼４丁目,1524,1617,1728,3345
牟礼５丁目,1358,1339,1353,2692
牟礼６丁目,2620,2860,2921,5781
牟礼７丁目,860,911,878,1789
小計,10270,10412,10715,21127
井の頭１丁目,2514,2133,2382,4515
井の頭２丁目,2101,1591,1853,3444
井の頭３丁目,1234,1100,1207,2307
井の頭４丁目,1085,1020,1000,2020
井の頭５丁目,1709,1688,1648,3336
小計,8643,7532,8090,15622
中原１丁目,2126,2026,2173,4199
中原２丁目,1396,1470,1496,2966
中原３丁目,1482,1535,1615,3150
中原４丁目,1910,2034,2138,4172
小計,6914,7065,7422,14487
北野１丁目,620,703,726,1429
北野２丁目,910,1000,1007,2007
北野３丁目,910,1081,1019,2100
北野４丁目,1010,974,1015,1989
小計,3450,3758,3767,7525
新川１丁目,1013,1046,1077,2123
新川２丁目,680,742,763,1505
新川３丁目,1002,1073,1006,2079
新川４丁目,1590,1600,1733,3333
新川５丁目,1350,1221,1345,2566
新川６丁目,2493,2293,2115,4408
小計,8128,7975,8039,16014
上連雀１丁目,1784,1575,1499,3074
上連雀２丁目,1371,1149,1208,2357
上連雀３丁目,937,809,815,1624
上連雀４丁目,1721,1627,1585,3212
上連雀５丁目,1449,1376,1354,2730
上連雀６丁目,1524,1474,1642,3116
上連雀７丁目,1402,1398,1524,2922
上連雀８丁目,1578,1696,1844,3540
上連雀９丁目,1527,1629,1678,3307
小計,13293,12733,13149,25882
井口１丁目,1731,1887,1819,3706
井口２丁目,1056,1178,1266,2444
