施設名,施設名カナ,カテゴリ１,カテゴリ２,トイレ,授乳スペース,おむつ替え,住所,URL,電話番号,経度,緯度
實相寺,ジッソウジ,赤ちゃん休けいスポット,,,,おむつ,墨田区東駒形2-10-14,,,,
Zipangu,ジパング,赤ちゃん休けいスポット,,,授乳,,墨田区業平3-6-5,,,,
清水接骨院,シミズセッコツイン,赤ちゃん休けいスポット,,,授乳,,墨田区石原3-16-1-101,,,,
しもとり接骨院,シモトリセッコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区横網2-16-5,,,,
宗教法人　牛島神社,シュウキョウホウジン　ウシジマジンジャ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区向島1-4-5,,,,
宗教法人　法性寺,シュウキョウホウジン　ホウショウジ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区業平5-7-7,,,,
ジョナサン菊川店,ジョナサンキクカワテン,赤ちゃん休けいスポット,,,,おむつ,墨田区菊川2-7-9,,,,
スタア美容室,スタアビヨウシツ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東向島5-11-2,,,,
スポーツクラブルネサンス両国,スポーツクラブルネサンスリョウゴク,赤ちゃん休けいスポット,,,,おむつ,墨田区両国2-10-14,,,,
すみだ子どもサロン,スミダコドモサロン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区亀沢4-17-18,,,,
墨田湯,スミダユ,赤ちゃん休けいスポット,,,,おむつ,墨田区吾妻橋2-5-4,,,,
生活彩館やひろでんき,セイカツイロドリカンヤヒロデンキ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区八広1-43-5,,,,
関口接骨院,セキグチセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区東向島3-30-17,,,,
セルフENEOSガソリンスタンド,セルフエネオスガソリンスタンド,赤ちゃん休けいスポット,,,,おむつ,墨田区墨田4-54-10,,,,
鮮魚居酒屋ツル,センギョイザカヤツル,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区八広2-37-7,,,,
第一ホテル両国,ダイイチホテルリョウゴク,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区横網1-6-1,,,,
タイ教育・文化センター,タイキョウイク・ブンカセンター,赤ちゃん休けいスポット,,,授乳,,墨田区江東橋1-11-9,,,,
大黒湯,ダイコクユ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区横川3-12-14,,,,
田実興産（株）両国SS（ENEOS),タジツコウサン（カブ）リョウゴクSS（ENEOS),赤ちゃん休けいスポット,,,,おむつ,墨田区両国2-9-1,,,,
たてかわ接骨院,タテカワセッコツイン,赤ちゃん休けいスポット,,,授乳,,墨田区立川3-5-8,,,,
田中接骨院,タナカセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区本所2-7-12,,,,
多聞寺,タモンジ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区墨田5-31-13,,,,
千歳接骨院,チトセセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区千歳3-6-5　1F,,,,
チャイルドガーデンズ,チャイルドガーデンズ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区錦糸4-10-4-201,,,,
中華料理　喜楽,チュウカリョウリ　キラク,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区東向島6-26-14,,,,
点茶,テンチャ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区向島4-1-3,,,,
東武ストア　業平店,トウブストア　ナリヒラテン,赤ちゃん休けいスポット,,,,おむつ,墨田区業平5-5-9,,,,
十波接骨院,トナミセッコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区業平4-1-6-101,,,,
ドルフィンネイル,ドルフィンネイル,赤ちゃん休けいスポット,,トイレ,,,墨田区向島4-1-1,,,,
永井接骨院,ナガイセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区京島3-45-12,,,,
なかむら,ナカムラ,赤ちゃん休けいスポット,,,授乳,,墨田区東向島2-28-3,,,,
ながやま接骨院,ナガヤマセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区立川1-2-8,,,,
ニコニコ整骨院,ニコニコセイコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区菊川2-8-8　1F,,,,
張福染織（有）,ハリフクソメオリ（ユウ）,赤ちゃん休けいスポット,,,授乳,,墨田区押上3-50-6,,,,
パル墨田,パルスミダ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区向島3-3-1　2F,,,,
はれやか整骨院,ハレヤカセイコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区京島1-24-9-102,,,,
ピアレストランこーらるカフェ,ピアレストランコーラルカフェ,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区向島3-2-1　1F,,,,
ＢＥＡＮＳ珈琲,ビーンズ　コーヒー,赤ちゃん休けいスポット,,,授乳,,墨田区石原3-16-4　1Ｆ,,,,
東駒形　琴富貴（日本そば店）,ヒガシコマガタ　コトフキ（日本ソバ店）,赤ちゃん休けいスポット,,トイレ,,,墨田区東駒形3-21-16,,,,
東向島珈琲店Pua　mana ,ヒガシムコウジマコーヒーテン　Pua　mana ,赤ちゃん休けいスポット,,,授乳,,墨田区東向島1-34-7　1F,,,,
輝接骨院,ヒカリセッコツイン,赤ちゃん休けいスポット,,トイレ,,,墨田区押上3-43-7,,,,
ビューティーSAN,ビューティーSAN,赤ちゃん休けいスポット,,トイレ,,,墨田区江東橋5-8-18,,,,
美容室ブースト,ビヨウシツブースト,赤ちゃん休けいスポット,,トイレ,,,墨田区緑1-28-6,,,,
美容室プランソレイユ,ビヨウシツプランソレイユ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区横網1-9-2　1F,,,,
平河山　法恩寺,ヒラカワサン　ホウオンジ,赤ちゃん休けいスポット,,トイレ,授乳,,墨田区太平1-26-16,,,,
ひらの接骨院,ヒラノセッコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東駒形2-15-12,,,,
ファッションスポット　タカタヤ,ファッションスポット　タカタヤ,赤ちゃん休けいスポット,,トイレ,,,墨田区向島5-35-12,,,,
ファミリーマート鈴木錦糸町店,ファミリーマートスズキキンシチョウテン,赤ちゃん休けいスポット,,トイレ,,,墨田区錦糸1-7-2,,,,
福島寝具店,フクシマシングテン,赤ちゃん休けいスポット,,,授乳,,墨田区東墨田2-20-3,,,,
フジセ,フジセ,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区吾妻橋2-2-4,,,,
古畑接骨院,フルハタセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区緑2-11-11,,,,
文花整骨院,ブンカセイコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区立花2-5-6　1F,,,,
ヘアーサロン　ニュータカハシ,ヘアーサロン　ニュータカハシ,赤ちゃん休けいスポット,,トイレ,,,墨田区八広5-20-18,,,,
ヘアーサロン　ヨコテ,ヘアーサロン　ヨコテ,赤ちゃん休けいスポット,,トイレ,,,墨田区緑1-19-6,,,,
ヘアメイク　イグレ,ヘアメイク　イグレ,赤ちゃん休けいスポット,,トイレ,,,墨田区石原1-23-4-101,,,,
ベル美容室,ベルビヨウシツ,赤ちゃん休けいスポット,,トイレ,,,墨田区江東橋5-3-11,,,,
保育所ちびっこランド錦糸町園,ホイクショチビッコランドキンシチョウエン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区江東橋4-15-6　2F,,,,
ボイス,ボイス,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区向島3-4-3　1F,,,,
ポーラ　エステイン佳,ポーラ　エステイン　ケイ,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区石原3-34-10　1F,,,,
ますかわ整骨院,マスカワセイコツイン,赤ちゃん休けいスポット,,,授乳,,墨田区緑1-8-10,,,,
丸井錦糸町店,マルイキンシチョウテン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区江東橋3-9-10,,,,
マルエツ　錦糸町店,マルエツ　キンシチョウテン,赤ちゃん休けいスポット,,,,おむつ,墨田区太平1-14-1,,,,
マルエツ　プチ両国緑一丁目店,マルエツ　プチリョウゴクミドリイッチョウメテン,赤ちゃん休けいスポット,,トイレ,,,墨田区緑1-15-12,,,,
マルエツ　両国亀沢店,マルエツ　リョウゴクカメザワテン,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区亀沢3-2-14,,,,
マルオオ製茶おおいし,マルオオセイチャオオイシ,赤ちゃん休けいスポット,,トイレ,授乳,,墨田区吾妻橋2-2-6,,,,
満留賀そば店,マンリュウガソバテン,赤ちゃん休けいスポット,,トイレ,,,墨田区押上1-18-6,,,,
メガネフレンド,メガネフレンド,赤ちゃん休けいスポット,,トイレ,,,墨田区東駒形4-16-18,,,,
柳沢接骨院,ヤナギサワセッコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区立花-2-6,,,,
有道接骨院・鍼灸マッサージ院,ユウドウセッコツイン・シンキュウマッサージイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区東駒形4-21-1　1F,,,,
らーめん匠屋,ラーメンタクミヤ,赤ちゃん休けいスポット,,トイレ,,,墨田区太平3-9-9,,,,
ライフ東向島店,ライフヒガシムコウジマテン,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区東向島4-3-7,,,,
リサイクルショップ　バザー,リサイクルショップ　バザー,赤ちゃん休けいスポット,,トイレ,,,墨田区緑4-24-20,,,,
立正佼成会墨田教会,リッショウコウセイカイスミダキョウカイ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区亀沢2-9-9,,,,
Ｌｉｔｔｌｅ　Ｉｎｄｉａ,リトル　インディア,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区錦糸3-11-1,,,,
理容サトウ,リヨウサトウ,赤ちゃん休けいスポット,,,,おむつ,墨田区立川2-1-18,,,,
ローソン錦糸一丁目店,ローソンキンシイッチョウメテン,赤ちゃん休けいスポット,,トイレ,,,墨田区錦糸1-5-17,,,,
ローソン向島一丁目店,ローソンムコウジマイッチョウメテン,赤ちゃん休けいスポット,,トイレ,,,墨田区向島1-12-3,,,,
ロッテシティビル,ロッテシティビル,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区錦糸4-6-1,,,,
和食さと　墨田堤通店,ワショクサト　スミダツツミトオテン,赤ちゃん休けいスポット,,,,おむつ,墨田区堤通1-19-11,,,,
曳舟中央整骨院・鍼灸院,,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区京島1-24-9　1F,,,,
