地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13222,20,東久留米市,Higashikurume-shi,48,3413,1802510,8919723,14538269,5296392,10,1,-,-,3,-,3,-,-,1,-,-,2,-,-,6,2,3,3,3,4,2,1,4,1707,206,-,-,19,-,48,-,-,12,-,-,19,-,-,71,22,145,27,28,30,55,7,1017,5262382,x,-,-,26404,-,102059,-,-,x,-,-,x,-,-,97601,x,474280,30269,24368,32559,x,x,4725076
2,13223,21,武蔵村山市,Musashimurayama-shi,120,4444,1726732,5340961,9747008,4179027,14,-,1,-,5,2,8,-,-,5,-,-,2,-,-,21,3,24,6,6,14,-,6,3,1754,-,80,-,166,27,125,-,-,37,-,-,29,-,-,431,84,802,96,94,340,-,361,18,3391552,-,x,-,1195597,x,136241,-,-,42191,-,-,x,-,-,677341,178649,2230056,136756,109549,582078,-,817230,9768
2,13224,22,多摩市,Tama-shi,21,878,432624,1292103,2312701,988244,4,-,-,-,-,-,3,-,-,1,-,-,-,-,-,1,-,2,4,2,1,-,-,3,128,-,-,-,-,-,310,-,-,34,-,-,-,-,-,5,-,22,242,76,25,-,-,36,141615,-,-,-,-,-,504864,-,-,x,-,-,-,-,-,x,-,x,1040656,x,x,-,-,80014
2,13225,23,稲城市,Inagi-shi,62,1773,763399,1359984,2865057,1400891,4,1,-,-,1,-,-,1,-,2,-,-,3,-,-,7,-,8,11,11,7,5,-,1,470,116,-,-,12,-,-,7,-,114,-,-,68,-,-,369,-,83,131,207,96,88,-,12,608354,x,-,-,x,-,-,x,-,x,-,-,187617,-,-,811792,-,79412,168505,243758,92929,73499,-,x
2,13227,24,羽村市,Hamura-shi,68,8272,4482893,48677817,76184833,25644833,-,-,-,-,1,1,4,2,-,1,-,-,1,2,2,11,4,9,2,5,6,1,12,4,-,-,-,-,7,100,89,149,-,18,-,-,13,262,67,149,684,437,34,214,300,10,5386,353,-,-,-,-,x,x,454183,x,-,x,-,-,x,x,x,392987,1643335,1189227,x,356596,1706416,x,65830255,959329
2,13228,25,あきる野市,Akiruno-shi,77,1963,973981,2418515,4620034,2057420,5,1,-,3,3,3,1,-,-,6,-,-,5,-,2,8,1,13,5,2,5,1,8,5,146,17,-,35,28,61,4,-,-,95,-,-,45,-,155,120,144,251,131,21,320,6,226,158,89686,x,-,37869,28163,89713,x,-,-,147723,-,-,128802,-,x,141753,x,499177,320576,x,824710,x,1147168,297521
2,13229,26,西東京市,Nishitokyo-shi,30,969,522586,1598001,3067352,1374292,6,-,-,-,-,1,4,1,-,1,-,-,-,-,-,4,3,3,2,2,1,1,-,1,84,-,-,-,-,8,94,10,-,7,-,-,-,-,-,50,412,22,133,17,11,21,-,100,69491,-,-,-,-,x,234848,x,-,x,-,-,-,-,-,42503,2183996,29186,x,x,x,x,-,x
1,13300,,郡部,All gun,269,8523,4099918,26893007,64017443,34500591,17,1,1,6,4,6,7,3,3,19,-,-,11,9,3,39,9,36,21,13,15,2,25,19,674,9,8,41,67,118,312,229,30,373,-,-,299,150,96,445,126,548,733,282,581,177,2891,334,2081613,x,x,34370,214746,185667,650564,727925,460473,613995,-,-,1687015,502440,160765,523917,197838,992350,1434259,337901,1684200,x,50637557,535167
1,13350,,島部,All islands,38,332,73554,124603,275217,125778,21,4,1,-,-,-,-,5,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,168,32,10,-,-,-,-,59,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,80115,x,x,-,-,-,-,33649,-,-,-,-,106471,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1  地域， 産業別事業所数， 従業者数及び製造品出荷額等 (平成30年) 11-1  ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は，工業統計調査によるもので，東京都が集計した結果である。調査の時点は令和元年6月１日であるが，事業所数，従業者数以外の項目については，平成30年１年間のもの（1月から12月の合計）となっている。なお，従業者４人以上の事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is based on the Manufacturing Industry Survey taken on June 1， 2019， with the results tabulated by the TMG. Survey is as of June 1， 2019， but items other than the number of establishments and employees are for the one year of 2018 (total from Jan. through Dec.). Figures are for establishments with 4 or more employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Lumber and wood products， except furniture b) Plastic products， except otherwise classified c) Tanned leather， leather products and fur skins d) Non-ferrous metals and products e) General-purpose machinery f) Electronic parts， devices and electronic circuits g) Electrical machinery， equipment and supplies h) Information and communications equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2019東京の工業　2019年工業統計調査報告（平成30年実績）」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
