年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
34,2,8,20,15,11,7,7,17,15,9,6,6,26,22,7,5,13,11,4,3,2,3,7,3,12,10,20,16,51,58,4,5,10,6,13,9,11,5,19,15,15,13,5,9,10,8,8,10,13,4,8,3,12,7,6,9,9,17,16,10,11,14,5,6,0,0,17,13,38,32,2,2,8,7,7,12,11,18,24,25,32,37,6,5,11,10,1,1,18,16,33,28,23,16,20,15,4,10,5,7,0,0,11,9,13,18,3,2,1,4,3,5,14,19,22,22,3,12,1,3,2,7,3,5,32,34,10,21,19,8,7,12,11,10,7,6,26,17,18,7,14,23,2,3,8,11,13,13,0,0,10,5,5,8,1,2,4,6,1,1,10,3,0,1,9,16,921,910,"1,831"
35,5,8,16,14,12,9,17,19,8,14,5,6,9,19,17,15,13,10,4,3,0,0,8,5,8,12,17,11,54,60,4,5,6,4,7,11,8,11,18,9,20,12,8,8,18,8,10,10,6,3,3,7,7,9,5,4,17,12,7,11,15,10,5,5,0,2,20,18,34,28,6,2,7,6,8,12,20,15,30,25,37,46,3,3,7,11,2,3,18,12,19,27,20,20,29,10,10,9,4,7,0,0,12,14,26,18,5,0,8,5,1,2,25,29,9,15,6,6,1,2,4,5,3,6,27,31,20,26,15,24,9,8,10,4,7,15,26,20,4,10,23,18,2,2,8,12,7,10,0,0,11,4,6,5,0,2,5,3,5,5,3,3,0,4,13,17,932,925,"1,857"
36,5,5,22,21,10,6,12,11,15,12,14,4,28,30,8,12,9,3,5,2,2,0,7,3,10,6,19,13,69,59,7,8,11,1,14,11,15,11,14,16,11,9,12,12,18,9,11,12,3,10,4,4,12,9,5,3,13,11,6,10,14,16,3,7,2,3,14,16,41,21,4,2,9,6,15,20,13,19,31,23,47,49,5,7,5,5,3,2,14,22,29,23,16,19,16,16,10,11,5,3,0,0,16,14,18,18,4,5,5,6,5,2,25,19,19,6,7,8,4,5,5,9,2,6,27,17,27,25,30,16,12,11,8,12,11,10,29,25,10,5,16,16,6,3,12,14,6,10,0,0,10,12,4,7,0,3,2,3,4,1,4,6,3,3,14,12,"1,032",922,"1,954"
37,2,0,24,17,9,11,17,10,14,8,4,4,27,30,19,13,11,11,3,3,3,1,6,3,13,10,18,18,79,55,6,7,13,12,11,11,9,15,32,9,12,11,13,11,20,14,6,8,5,7,9,5,5,10,7,4,11,12,7,11,13,11,5,5,0,1,22,21,39,15,4,5,8,4,21,16,13,17,26,20,46,38,6,7,7,11,3,2,17,15,30,29,20,19,16,17,6,7,7,10,0,0,8,9,20,14,4,8,2,7,3,5,21,20,18,9,4,6,3,1,5,5,2,2,26,23,22,22,18,16,20,24,13,9,10,9,12,19,7,10,25,32,5,6,8,8,12,15,0,0,8,4,8,5,0,2,2,4,2,4,5,3,4,2,12,14,"1,033",928,"1,961"
38,7,3,25,23,10,14,20,9,18,20,3,8,34,37,17,14,11,8,4,4,2,1,6,6,9,10,17,21,68,58,8,7,8,6,10,16,8,8,14,19,12,8,3,7,18,9,15,7,9,9,9,8,8,3,10,9,13,10,12,15,11,7,5,7,1,0,22,11,31,25,9,3,10,5,13,23,11,18,21,29,44,37,3,3,11,8,2,4,10,9,32,31,27,21,24,12,10,7,11,10,0,0,8,12,22,18,8,5,5,4,1,2,33,22,20,13,10,6,3,1,9,5,5,4,30,17,30,29,24,23,14,9,8,14,14,23,20,20,14,14,34,39,6,6,10,7,14,12,0,0,10,8,10,4,2,2,0,3,1,2,3,3,1,1,17,15,"1,102",990,"2,092"
39,6,4,25,13,8,8,13,6,18,11,4,6,33,48,10,16,15,11,0,6,2,1,7,7,14,14,15,16,97,75,6,3,11,11,14,11,14,8,21,13,9,7,3,5,11,14,10,9,11,8,4,5,6,7,6,8,9,12,10,12,8,10,10,10,2,0,15,16,27,30,4,3,6,6,18,16,17,8,33,21,33,38,6,5,5,13,2,3,10,5,30,17,20,24,16,28,14,14,5,9,0,0,16,13,25,23,0,11,5,4,4,2,31,15,17,23,12,6,2,3,7,9,3,3,31,30,26,31,24,17,16,13,13,13,22,16,26,16,15,16,29,38,6,3,13,15,18,14,0,0,4,4,11,12,2,2,3,3,4,6,9,3,2,8,24,18,"1,113","1,041","2,154"
40,6,8,32,20,8,4,21,9,18,10,6,3,34,45,18,15,15,7,3,2,4,3,10,1,8,16,28,20,84,70,11,3,14,11,18,10,4,6,24,18,11,21,10,4,9,13,12,9,7,9,13,8,9,10,10,6,13,17,12,12,16,15,7,8,0,1,13,23,21,21,2,1,8,7,21,12,14,11,23,29,36,39,10,6,10,9,1,1,15,15,20,17,20,24,13,13,8,14,11,7,0,0,17,13,22,21,4,3,11,5,2,3,30,15,14,18,6,6,2,2,8,6,8,2,27,27,37,19,27,22,11,20,22,16,20,17,20,25,27,16,46,56,3,6,15,12,11,10,0,0,8,9,8,8,2,3,6,6,3,5,8,5,3,6,21,15,"1,190","1,060","2,250"
41,5,7,11,17,9,11,14,15,12,11,7,9,37,53,20,18,14,11,6,6,2,1,5,1,21,12,27,22,76,87,8,6,15,16,19,15,13,12,27,15,13,9,7,8,11,16,9,10,4,5,4,9,7,10,6,4,10,6,9,8,11,17,8,7,1,0,19,16,21,14,5,6,12,6,19,15,17,19,33,35,35,34,7,5,10,8,2,3,16,15,16,14,25,23,17,20,12,12,10,12,0,0,13,12,26,21,9,11,7,6,7,4,25,25,17,21,8,16,4,6,4,7,3,4,24,32,24,23,25,16,13,14,14,14,13,15,28,34,11,20,46,39,2,6,11,9,14,8,0,0,11,8,19,12,1,1,3,6,6,5,4,2,10,2,15,12,"1,141","1,122","2,263"
42,6,3,20,22,7,8,13,24,14,14,10,7,45,48,19,24,18,14,3,4,0,1,12,8,9,12,22,23,91,85,4,12,11,6,8,15,7,13,26,14,13,12,7,3,23,12,11,11,4,6,9,9,11,4,16,9,13,13,13,14,20,12,11,8,0,0,12,8,16,17,3,6,8,11,24,21,6,8,28,34,41,32,8,10,10,13,2,3,19,16,34,23,28,32,24,19,14,11,6,8,0,0,28,14,29,35,3,10,6,7,5,2,25,17,20,21,13,12,9,5,11,9,5,6,31,23,26,23,29,22,25,17,15,10,16,16,25,34,19,17,54,72,4,7,12,15,7,14,0,0,6,6,7,7,1,1,5,10,6,5,5,6,3,3,20,19,"1,249","1,207","2,456"
43,10,8,24,23,14,10,18,20,12,18,9,4,55,49,24,22,12,14,6,4,2,2,10,5,7,12,36,30,98,104,11,7,6,12,18,7,13,9,13,13,10,9,9,9,16,13,17,15,9,13,5,5,14,7,13,11,9,8,8,10,18,8,9,5,0,2,18,16,16,21,3,3,10,4,24,19,10,21,36,29,37,39,11,5,7,8,1,4,13,16,35,23,26,24,24,22,15,14,10,6,0,0,16,12,27,31,9,9,5,10,4,3,19,22,30,27,13,14,3,5,8,7,1,3,25,23,27,23,26,16,20,27,14,11,25,18,19,23,7,18,49,62,8,6,14,18,9,12,0,0,11,7,8,8,1,5,6,7,7,7,7,8,4,3,8,21,"1,261","1,228","2,489"
44,6,6,25,18,8,19,16,17,12,7,1,10,38,42,18,32,12,23,6,1,4,0,5,5,19,15,26,18,89,64,11,12,11,11,17,11,8,9,17,15,16,11,10,11,17,15,13,11,6,8,5,9,12,13,10,8,7,11,12,11,14,13,7,7,2,1,8,19,28,24,3,6,9,13,15,19,17,15,33,41,27,23,9,15,9,16,2,8,15,17,29,32,31,30,32,20,13,18,11,10,0,0,19,12,27,27,15,6,9,10,9,5,35,20,23,32,3,7,8,3,12,11,5,5,28,31,27,31,17,19,24,21,18,24,21,17,47,27,14,18,50,46,9,6,13,10,16,19,0,0,7,5,6,13,1,3,5,10,5,5,11,4,3,3,12,21,"1,270","1,261","2,531"
45,5,10,22,19,7,22,23,18,16,13,9,6,56,48,29,25,21,6,4,10,4,1,12,5,15,9,28,20,99,75,10,8,11,9,17,17,12,12,22,13,13,13,6,5,21,16,15,18,13,4,10,5,9,11,16,4,12,10,10,6,18,19,1,7,0,1,22,17,25,25,4,2,6,9,15,14,17,14,50,45,25,35,11,11,5,17,2,6,27,34,31,35,36,35,39,29,22,16,14,7,0,0,23,16,18,33,12,6,13,11,2,7,24,28,27,29,9,9,5,3,10,9,1,10,29,27,17,18,23,29,17,21,8,10,9,14,29,19,19,13,52,49,2,5,17,11,14,10,0,0,9,6,5,5,1,7,8,6,9,6,11,9,6,6,22,19,"1,368","1,267","2,635"
46,2,5,18,27,9,16,18,28,14,8,6,11,39,34,23,25,10,11,8,4,3,2,13,8,11,11,28,18,95,95,5,7,8,11,22,15,9,8,16,12,19,12,8,7,18,11,9,16,8,10,10,15,13,9,11,6,9,20,8,9,10,18,2,4,3,2,21,8,26,23,9,4,10,6,8,19,10,10,49,40,29,33,7,6,16,19,6,10,12,15,26,21,24,33,35,15,20,9,8,8,0,0,13,7,21,19,8,7,8,5,2,4,21,23,26,25,9,17,9,4,11,11,4,6,21,26,17,13,22,31,14,12,16,13,10,19,34,24,18,16,34,32,8,8,12,9,6,13,0,0,9,7,8,10,4,1,8,6,2,9,8,5,7,2,19,23,"1,210","1,181","2,391"
47,6,9,22,20,22,20,24,24,6,9,2,7,44,32,28,35,11,15,6,4,4,5,9,6,8,13,16,22,105,71,13,3,12,10,10,11,8,13,16,9,16,11,5,4,16,14,12,14,5,4,6,13,7,11,14,12,12,19,3,12,16,14,3,5,1,0,9,14,18,14,2,3,16,11,14,12,15,11,46,40,38,23,9,12,13,16,8,4,22,13,31,27,30,24,24,30,8,13,7,11,0,0,18,19,18,26,4,10,11,9,7,3,21,26,21,25,5,11,4,3,7,9,3,4,26,22,21,23,25,17,26,16,11,23,13,14,32,26,15,12,40,25,5,4,7,13,10,10,0,0,10,11,13,8,4,3,6,11,5,3,6,3,3,2,11,17,"1,206","1,157","2,363"
48,6,7,18,37,25,8,28,22,14,10,14,11,45,40,30,31,18,19,6,2,3,2,6,6,1,5,16,18,84,84,9,1,12,11,21,10,5,7,17,15,10,11,6,7,9,11,21,13,1,7,7,6,10,14,21,10,14,18,7,13,17,16,4,3,1,1,17,14,21,22,4,1,7,8,13,10,17,12,41,35,17,19,8,9,16,25,6,7,33,24,27,29,36,34,26,24,11,19,14,7,0,0,14,14,17,16,7,12,5,4,2,3,26,24,24,22,11,11,3,5,5,8,8,8,29,21,16,21,19,24,18,23,17,8,19,15,23,24,18,23,34,35,3,8,9,15,12,11,0,0,15,8,8,10,4,2,5,11,5,7,7,5,7,4,13,13,"1,223","1,190","2,413"
49,4,12,27,27,12,1,25,14,8,12,9,8,32,33,36,27,18,14,6,4,2,0,5,8,13,7,24,27,83,71,10,8,14,15,17,8,7,10,11,11,12,14,7,7,19,18,12,17,12,11,11,7,12,7,4,5,12,16,7,14,17,15,2,6,2,2,10,8,27,18,0,2,6,6,9,11,14,12,48,48,31,13,7,11,10,17,5,10,23,8,30,24,30,25,22,16,9,19,14,8,0,0,16,12,18,13,4,18,6,9,2,7,33,31,18,19,12,17,6,5,14,9,5,6,29,23,17,18,15,18,16,14,16,19,14,9,23,29,19,9,41,16,3,4,13,9,10,12,0,0,8,4,5,6,1,3,7,4,4,3,6,8,3,8,17,22,"1,188","1,096","2,284"
50,3,4,23,17,14,11,15,19,9,10,10,5,32,32,29,32,18,18,4,1,3,2,7,3,9,8,23,23,93,60,8,5,9,4,10,9,10,7,15,12,17,8,5,6,17,12,10,16,3,10,10,8,11,14,12,8,9,10,6,4,10,7,5,6,3,1,17,16,25,17,8,6,10,6,12,12,12,12,38,35,19,22,9,10,7,14,7,6,19,20,27,21,26,20,26,14,16,7,4,12,0,0,21,10,17,15,2,8,9,6,2,1,23,22,18,23,11,9,3,4,10,9,4,3,21,12,21,12,28,20,8,12,10,8,17,7,25,20,10,12,25,28,3,1,8,12,12,15,0,0,6,8,5,4,1,4,8,6,1,5,10,4,1,0,20,20,"1,104",962,"2,066"
51,4,8,21,16,12,8,18,17,11,11,12,4,31,23,29,23,16,15,6,2,4,0,7,5,10,8,22,20,62,71,5,3,12,4,9,7,8,4,13,7,14,10,3,8,11,19,7,15,5,6,12,3,14,14,6,7,10,18,9,12,6,22,3,2,0,0,7,12,21,12,6,2,10,11,15,10,11,17,37,44,8,17,8,4,12,10,5,11,23,15,17,19,22,21,16,20,14,10,9,4,0,0,14,15,15,20,2,5,2,11,1,2,26,26,11,9,7,9,2,2,6,8,5,5,16,14,14,10,22,20,15,20,10,9,9,10,19,17,20,14,27,24,2,5,10,10,16,12,0,0,4,1,3,4,0,3,6,8,8,5,6,9,2,4,14,21,967,963,"1,930"
52,8,4,22,24,7,12,27,21,8,9,8,16,28,24,26,33,13,12,7,8,3,2,4,2,10,7,22,21,67,60,6,3,11,11,6,10,7,6,15,10,7,14,6,3,18,12,12,14,5,3,8,11,14,7,7,4,16,16,7,7,10,11,3,3,0,0,13,13,18,18,6,4,19,15,15,14,14,19,53,34,14,13,11,13,7,22,3,3,21,17,27,29,23,24,21,13,17,14,10,5,0,0,13,7,17,31,6,5,4,4,3,1,23,21,22,18,9,7,4,2,9,7,6,8,21,17,15,16,16,14,11,11,11,17,14,3,19,17,15,13,22,21,3,6,4,11,14,19,0,0,4,9,11,8,4,5,9,7,7,2,5,2,5,11,15,18,"1,051","1,008","2,059"
53,7,8,21,25,7,9,21,13,7,8,13,6,24,16,18,18,17,11,3,1,1,1,3,4,6,7,29,23,101,51,6,8,7,9,5,9,6,12,13,16,11,7,3,2,8,14,14,15,11,9,7,7,13,9,5,11,14,19,9,9,11,8,3,2,0,0,13,17,17,10,2,3,12,12,14,16,15,21,42,38,18,19,10,11,12,11,3,2,22,17,30,23,15,15,13,19,14,12,8,5,0,0,23,18,15,13,5,7,4,2,1,2,28,19,17,12,5,8,3,2,6,5,5,7,20,22,14,6,11,14,15,14,9,11,17,8,16,15,15,14,15,25,2,4,8,11,11,14,0,0,5,8,2,6,1,1,6,3,5,1,4,5,2,7,15,19,989,921,"1,910"
54,7,7,20,15,12,11,14,13,12,10,3,6,34,24,22,23,16,9,7,7,0,1,4,3,13,13,22,24,62,60,5,3,8,10,9,11,8,7,22,11,5,9,0,4,15,21,12,14,12,3,4,12,10,10,4,7,8,14,11,13,17,8,2,3,0,1,12,12,19,10,4,7,14,15,13,16,16,12,31,38,21,21,9,5,11,9,3,7,19,12,21,10,13,19,21,13,13,14,6,8,0,0,12,16,16,28,4,9,6,8,5,1,16,15,14,20,7,7,4,4,4,5,7,1,22,20,15,14,14,7,12,6,16,12,8,10,14,10,15,14,18,14,2,2,7,7,12,14,0,0,10,6,5,4,0,3,2,5,2,4,5,3,2,3,21,18,943,905,"1,848"
55,6,10,23,20,6,9,13,12,8,8,6,5,14,17,26,10,18,15,1,2,1,4,4,3,10,5,21,18,57,43,4,4,6,2,9,2,8,6,12,11,9,11,8,2,12,11,9,8,12,7,3,11,11,9,5,4,15,18,6,17,13,11,2,3,0,0,11,10,19,11,2,3,7,11,11,17,14,16,30,36,19,17,9,5,9,4,3,3,17,19,14,13,21,18,19,27,14,11,4,9,0,0,13,11,18,20,1,4,9,5,2,3,23,19,16,11,9,9,4,2,4,8,4,7,18,16,16,14,15,15,11,14,11,14,7,6,10,19,16,13,16,23,3,4,7,13,17,19,0,0,2,4,2,6,1,4,3,7,2,1,8,4,1,4,23,24,873,871,"1,744"
56,11,6,17,21,11,5,16,11,6,9,6,5,20,13,16,18,10,9,0,2,1,0,3,4,7,7,17,17,58,56,4,8,6,6,9,3,9,4,16,15,11,8,6,7,11,12,12,10,6,9,9,3,8,8,6,8,15,17,11,9,14,11,1,3,0,0,15,9,9,9,3,3,8,13,11,6,16,16,30,22,15,15,3,5,8,8,3,7,19,15,17,22,18,16,12,18,3,6,8,9,0,0,13,10,16,15,3,4,8,8,4,2,20,19,14,19,9,12,1,0,6,5,4,8,14,22,8,10,13,19,11,3,8,8,9,6,13,19,14,7,16,18,2,3,7,15,14,15,0,0,3,3,5,0,0,2,6,3,3,5,7,7,3,5,21,29,826,824,"1,650"
57,9,4,15,10,10,7,7,12,5,3,5,5,14,15,18,14,11,13,5,2,2,0,0,2,7,11,28,20,47,40,2,6,7,8,6,5,6,4,13,9,4,5,4,2,14,11,13,11,8,10,6,5,9,6,6,6,12,20,8,7,12,16,1,0,1,0,8,8,11,12,2,2,9,5,9,16,22,12,28,25,12,23,7,10,1,9,2,4,13,9,20,27,19,18,18,20,5,8,6,8,0,0,14,12,22,19,4,5,6,4,6,2,21,14,16,9,7,12,3,1,5,6,6,4,18,14,12,7,14,14,4,10,14,16,4,12,12,17,14,9,24,20,4,0,5,8,13,16,0,0,2,7,5,6,2,3,3,4,1,2,5,4,1,3,8,19,782,784,"1,566"
58,4,8,12,14,10,8,13,19,2,11,5,7,13,17,18,14,10,10,4,5,1,3,4,3,5,9,17,9,31,35,0,2,7,5,8,6,5,2,12,6,10,3,1,3,10,11,12,14,13,10,11,10,7,7,8,7,18,14,9,14,19,19,0,2,1,1,13,13,9,8,3,1,5,6,12,19,12,15,30,22,15,11,7,13,8,6,5,6,14,18,13,14,11,20,12,11,8,13,8,7,0,0,11,10,25,29,3,1,8,3,2,2,18,21,21,18,13,15,7,3,9,2,5,6,11,17,12,13,13,20,12,14,15,21,9,10,11,20,8,10,22,18,4,4,10,9,12,15,0,0,7,5,2,5,1,1,3,11,4,5,10,4,1,4,18,21,792,848,"1,640"
59,4,9,17,12,11,7,13,16,11,3,4,4,11,16,13,15,5,13,4,5,1,3,4,4,8,3,20,15,46,41,6,4,4,3,8,4,6,5,10,8,4,8,4,5,10,9,12,13,8,17,7,7,8,12,6,9,14,13,5,10,9,16,1,4,1,1,6,7,8,9,1,2,4,7,14,14,13,14,23,21,19,15,3,4,10,16,5,3,14,10,9,15,19,21,18,24,9,11,5,5,0,0,11,12,17,22,6,3,6,9,0,1,15,17,15,28,8,18,4,6,6,6,3,3,16,17,13,9,15,17,7,11,16,25,9,4,17,13,11,3,14,18,0,5,13,10,15,17,0,0,3,6,7,4,1,3,2,7,0,6,3,12,1,5,20,28,749,857,"1,606"
60,2,5,13,16,6,4,10,14,12,11,6,4,17,18,7,5,8,6,2,5,1,0,4,5,9,6,17,7,41,37,4,4,4,10,6,7,4,4,10,6,4,5,3,3,8,12,14,17,17,11,5,5,5,9,8,3,10,21,8,7,6,13,3,7,0,1,10,4,11,12,1,2,8,8,9,11,13,20,21,8,19,16,7,8,9,12,1,4,15,10,18,10,20,21,24,30,13,13,10,8,0,0,10,13,16,42,0,12,2,8,3,5,15,18,12,28,16,22,5,2,5,8,1,7,14,12,12,12,20,13,6,11,18,17,5,8,9,10,7,3,18,16,3,4,9,12,18,14,0,0,5,4,3,3,2,1,6,5,4,5,5,6,5,6,20,18,757,830,"1,587"
61,5,12,12,11,15,9,13,12,10,9,6,5,8,16,10,14,8,11,3,1,2,1,5,3,5,4,11,8,46,39,4,1,5,5,2,9,5,5,5,11,7,6,3,1,11,11,4,9,4,8,9,3,9,11,9,9,8,9,5,24,24,16,4,2,0,0,5,8,12,6,2,1,13,5,16,15,22,24,17,19,21,15,1,4,11,9,5,3,12,13,16,17,17,25,12,14,9,11,4,8,0,0,11,14,25,33,4,13,6,6,3,5,16,11,18,21,10,15,4,5,3,12,4,7,13,16,10,8,21,18,7,9,14,28,8,7,15,17,5,8,7,26,6,10,9,19,16,10,0,0,6,6,6,8,1,2,6,7,7,4,5,7,6,5,23,23,767,872,"1,639"
62,5,4,9,9,7,7,8,11,6,3,5,7,12,13,14,11,5,12,5,4,0,0,4,3,1,6,12,16,44,35,5,4,7,3,8,6,5,4,10,11,8,6,7,2,8,6,15,12,9,10,3,8,8,8,5,5,17,19,10,19,12,16,1,9,1,0,8,6,10,7,4,3,7,7,13,8,9,21,13,24,9,29,7,3,3,15,2,6,14,8,21,23,14,26,23,17,19,12,8,6,0,0,14,18,26,44,5,9,5,8,1,4,15,16,22,20,18,31,6,2,8,8,9,10,14,9,10,17,18,27,12,25,13,21,7,14,11,12,10,5,18,24,3,8,12,21,16,21,0,0,7,6,5,5,5,4,6,7,4,7,3,5,3,5,22,23,788,946,"1,734"
63,6,7,10,10,3,8,14,14,6,7,8,6,24,17,12,22,9,7,4,6,1,1,5,5,6,2,15,15,35,41,5,4,6,3,5,17,10,8,12,12,2,2,1,4,7,7,18,12,5,10,7,9,8,11,8,15,14,15,17,16,15,25,4,12,1,1,11,8,2,3,1,1,4,3,12,15,20,20,25,20,20,22,5,4,12,12,8,4,11,15,20,14,19,26,19,24,15,15,6,8,0,0,14,9,31,52,3,7,6,8,2,3,14,9,17,23,15,21,4,5,6,12,5,2,11,20,12,15,14,26,17,14,20,15,5,12,11,7,5,7,13,18,5,3,8,14,9,15,1,0,7,4,3,6,2,6,4,5,5,5,7,6,4,8,19,18,812,940,"1,752"
64,9,5,15,15,4,12,19,16,10,10,5,3,25,24,15,10,10,11,4,1,6,3,5,7,4,6,17,11,39,41,5,8,8,8,13,8,2,3,10,8,3,6,3,9,12,8,7,10,9,13,8,8,4,8,11,14,14,11,11,27,16,26,3,2,0,1,6,9,10,11,3,2,6,9,9,7,23,29,22,22,20,25,7,9,15,18,3,2,9,10,19,21,25,24,21,28,10,9,15,3,0,0,12,12,30,48,9,8,4,10,4,8,21,13,24,25,19,19,4,7,5,10,5,13,13,16,9,16,17,30,11,25,18,38,8,11,15,7,9,7,13,17,4,5,15,26,19,20,0,0,4,6,7,7,2,3,4,3,5,3,8,7,4,6,18,28,889,"1,045","1,934"
65,5,11,17,13,4,6,13,6,9,9,7,4,14,13,11,12,13,16,4,4,1,1,6,4,6,5,10,11,27,44,4,8,8,8,14,20,6,1,8,12,10,5,2,4,9,11,16,16,7,10,4,10,9,8,14,13,11,23,19,24,21,24,6,3,0,0,9,4,9,5,3,2,5,8,10,17,17,23,22,15,24,19,4,7,12,14,3,6,14,11,22,20,29,20,22,30,10,17,13,13,0,0,14,16,38,35,10,13,8,9,2,4,16,24,35,34,30,27,5,6,13,9,7,13,20,18,10,8,18,30,24,29,20,28,10,11,14,14,8,14,18,28,6,6,19,20,16,16,0,0,2,2,10,8,3,1,7,12,7,6,11,8,2,5,27,28,973,"1,072","2,045"
66,10,14,6,23,12,5,9,12,3,9,4,5,23,20,19,10,5,6,2,6,1,1,5,4,7,8,8,9,46,46,5,3,9,5,14,21,1,3,8,8,9,6,2,5,11,13,14,13,14,15,6,11,5,12,20,15,21,25,22,36,21,18,6,11,0,0,4,7,10,11,1,2,9,5,18,17,16,22,24,28,30,31,5,8,11,17,5,5,12,11,17,31,23,29,29,21,15,27,2,10,0,0,14,14,40,37,5,13,10,11,3,6,24,20,27,29,19,28,7,6,16,11,11,5,23,19,14,15,27,41,30,32,23,22,12,23,12,9,4,4,17,28,3,9,15,28,15,22,0,0,3,7,6,4,3,4,10,12,1,7,10,13,3,14,21,23,"1,007","1,196","2,203"
67,8,8,14,14,6,8,16,24,11,12,6,9,21,20,14,12,21,12,2,4,0,4,4,10,2,3,12,14,33,42,3,8,5,5,15,18,4,3,12,10,5,6,7,9,6,10,18,11,9,15,6,9,10,7,14,19,8,23,23,22,32,27,10,12,0,0,7,7,5,4,0,6,7,12,15,13,39,18,20,23,23,32,8,6,20,29,3,16,14,16,20,27,31,36,34,39,10,23,5,11,0,0,9,21,41,59,14,19,13,15,4,14,24,33,24,28,30,24,5,3,9,11,9,18,17,17,10,8,35,49,26,31,25,27,17,26,8,14,7,4,24,33,6,13,25,21,12,20,0,0,5,4,10,9,4,4,12,19,6,4,14,14,6,9,25,22,"1,094","1,321","2,415"
68,10,7,19,18,6,3,13,29,16,14,4,8,22,27,16,25,7,11,7,2,3,3,8,6,8,5,14,11,48,46,9,5,7,6,11,12,3,4,12,18,11,8,7,2,8,8,15,22,17,19,20,17,11,25,12,18,21,22,30,34,27,27,17,16,2,0,6,6,9,10,4,2,11,9,12,11,26,28,19,38,28,30,8,15,26,21,5,8,19,20,28,27,25,36,35,41,20,25,13,16,0,0,20,19,43,47,8,14,14,17,7,3,21,26,29,42,23,21,10,8,8,10,17,14,10,20,14,12,41,45,33,43,37,37,13,14,7,16,9,9,34,34,10,12,30,44,24,16,0,0,5,2,6,9,6,4,14,8,9,9,10,12,8,7,40,29,"1,295","1,424","2,719"
69,5,9,20,16,7,12,13,14,10,7,6,3,26,23,18,20,13,12,5,6,6,6,6,3,5,4,11,12,41,43,6,2,3,11,21,20,5,9,12,14,5,13,7,5,8,11,18,21,18,19,10,12,13,16,17,18,17,27,42,50,33,40,13,13,0,1,9,4,4,11,2,3,6,7,8,13,29,17,21,26,32,28,8,9,21,41,11,15,15,11,26,23,35,42,34,49,24,47,9,14,0,0,21,19,54,64,14,19,13,15,12,10,20,24,45,48,31,32,4,11,15,23,16,9,11,16,8,17,46,51,35,48,32,34,12,18,13,10,8,5,29,35,13,12,28,50,25,17,0,0,4,8,10,7,6,6,7,24,4,5,7,19,12,14,25,23,"1,314","1,545","2,859"
70,8,7,14,17,5,14,20,19,5,5,2,10,20,21,16,9,10,12,2,2,0,2,8,12,3,4,5,10,41,47,4,4,9,12,11,14,9,2,20,5,5,8,4,2,13,6,9,19,12,13,12,12,15,17,17,26,17,23,32,24,19,24,12,8,1,0,3,7,6,4,2,9,9,5,11,11,23,10,25,22,15,29,3,4,14,27,7,6,6,10,22,20,24,54,36,32,24,37,13,9,0,0,17,15,48,38,14,9,12,17,7,7,16,17,33,41,12,18,8,8,9,15,15,6,14,14,7,6,38,36,31,43,31,35,19,11,4,6,4,6,36,29,16,12,21,33,16,8,0,0,4,4,7,10,6,10,21,11,8,10,13,11,11,18,19,27,"1,140","1,237","2,377"
71,5,0,2,9,6,6,5,17,6,9,3,6,9,15,3,12,5,10,3,3,1,0,4,4,1,1,5,11,24,28,1,4,4,6,11,7,4,4,6,8,7,6,3,4,5,12,6,12,8,6,8,4,6,7,9,6,7,7,23,24,16,24,6,3,0,0,6,2,3,5,0,3,4,2,8,6,18,8,16,21,17,22,5,4,12,22,8,4,8,5,16,10,15,20,25,33,17,25,0,1,0,0,8,18,32,30,11,9,8,8,5,4,20,15,20,21,13,16,2,7,8,16,4,13,1,6,4,2,15,19,13,19,23,21,9,10,1,6,3,3,24,19,9,11,17,25,11,8,0,0,2,6,3,3,2,2,10,8,2,5,5,9,7,15,23,13,705,835,"1,540"
