年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
34,5,9,16,14,11,6,13,14,9,15,8,5,19,23,12,12,11,12,4,5,2,0,5,6,10,15,23,13,68,72,3,6,5,4,11,8,11,10,23,12,18,10,2,8,14,10,13,11,9,5,5,5,8,7,6,7,9,16,17,12,14,9,5,3,0,1,22,12,31,31,2,1,5,4,8,15,11,15,18,25,34,44,4,5,8,10,1,3,22,14,28,31,19,19,25,11,7,11,6,8,0,0,12,8,18,22,6,1,3,8,3,4,22,20,18,18,4,12,0,2,5,7,4,5,31,30,20,27,12,21,6,8,8,5,6,9,25,13,8,11,9,12,2,3,8,10,13,13,0,0,10,2,3,4,0,2,7,1,4,2,4,5,0,5,15,19,926,933,"1,859"
35,2,5,19,21,14,8,14,21,12,9,7,7,13,26,12,11,14,6,7,0,0,0,7,3,10,7,14,10,52,49,8,8,9,2,13,10,7,10,14,16,19,15,13,10,16,10,8,10,7,6,3,4,12,9,7,3,20,15,9,12,11,14,5,9,0,3,16,15,38,26,4,2,12,6,11,10,17,17,42,24,41,42,5,6,3,6,1,2,16,19,20,22,18,17,25,12,12,9,5,5,0,0,17,15,20,20,5,5,5,7,3,1,31,25,15,7,8,8,4,4,2,4,1,6,25,24,19,20,22,19,14,9,9,9,13,10,28,26,9,5,11,9,3,2,8,13,6,12,0,0,9,12,6,5,0,3,4,4,1,3,4,7,2,5,13,15,981,903,"1,884"
36,6,3,22,17,8,7,14,10,13,13,8,1,25,24,12,14,6,7,1,4,1,0,5,2,11,7,25,18,75,66,4,5,10,3,9,11,16,15,30,6,13,9,13,11,16,9,10,12,3,10,8,5,11,10,5,5,12,11,6,6,15,10,3,7,2,2,24,25,38,25,6,4,5,2,17,27,15,14,27,21,54,44,6,7,6,7,5,2,13,19,35,23,18,17,14,19,6,8,2,6,0,0,8,8,27,15,5,4,6,6,6,2,21,22,18,9,5,9,3,4,8,7,3,4,26,21,23,22,26,16,9,18,10,10,9,14,19,18,11,11,14,18,6,5,12,12,5,10,0,0,7,5,5,8,0,3,0,4,7,3,5,3,2,3,12,13,"1,027",917,"1,944"
37,2,1,25,21,8,9,16,8,16,20,2,7,27,37,21,14,11,9,5,4,4,1,5,5,10,8,12,20,69,46,8,7,12,13,12,17,8,9,20,18,13,10,7,11,16,9,12,6,9,11,7,8,4,5,6,5,13,9,6,17,10,11,3,5,1,0,16,13,40,14,3,4,8,4,20,20,9,20,24,27,39,36,4,6,9,8,3,3,16,12,29,36,23,15,23,14,6,4,12,8,0,0,9,14,16,17,6,6,1,5,2,4,27,19,19,6,7,2,2,4,7,5,6,1,26,21,32,29,26,23,20,18,12,10,13,10,15,19,9,16,15,30,7,6,11,8,19,14,0,0,13,5,10,5,1,0,0,5,1,2,3,1,5,2,14,13,"1,038",945,"1,983"
38,10,2,22,21,8,14,17,10,22,15,2,8,40,41,10,16,12,8,1,6,1,1,9,8,14,17,18,16,83,68,7,4,6,7,14,11,9,10,19,18,11,8,5,5,15,13,8,13,9,5,8,5,10,3,8,11,11,11,16,13,13,10,9,4,2,0,21,13,23,22,8,5,7,7,13,16,13,13,29,24,41,36,1,2,6,12,2,5,7,8,36,30,20,26,14,22,14,12,7,6,0,0,14,14,29,15,4,10,4,3,2,4,25,21,26,23,9,7,2,1,8,6,1,6,36,27,22,23,21,18,14,11,5,14,11,22,19,22,15,13,24,30,8,4,11,8,12,15,0,0,8,4,10,7,2,3,1,3,1,3,6,4,0,4,18,17,"1,079","1,023","2,102"
39,6,8,26,16,10,4,18,4,14,13,8,2,33,49,15,16,15,8,2,2,2,4,12,3,9,13,24,22,98,70,13,3,15,9,17,8,10,7,17,13,12,19,8,6,13,14,12,5,9,8,9,8,9,9,9,6,10,13,9,9,9,15,10,14,0,1,18,19,26,26,2,1,7,7,19,17,15,8,29,23,32,42,13,9,9,11,1,1,19,9,22,10,25,29,20,13,11,13,4,8,0,0,16,12,19,26,4,8,7,5,3,1,28,15,17,24,8,8,4,2,8,9,6,1,32,27,33,36,25,21,13,14,18,14,26,14,27,23,19,20,30,45,4,6,13,17,17,12,0,0,4,10,6,9,3,3,5,6,4,6,7,4,7,5,26,19,"1,194","1,069","2,263"
40,4,5,22,19,5,7,16,16,16,7,5,6,38,49,17,15,11,10,5,5,3,2,3,0,14,10,30,23,83,71,10,5,14,15,15,16,7,3,30,16,10,13,9,5,10,12,11,9,5,10,8,12,7,11,9,5,10,13,11,10,15,12,9,9,1,0,14,14,23,19,6,1,12,9,20,14,13,17,21,32,37,38,2,7,11,8,3,2,18,21,23,15,20,21,16,20,10,17,11,10,0,0,12,10,21,25,5,8,9,5,5,3,30,23,17,20,8,9,1,3,6,7,6,3,22,30,34,21,29,22,12,13,21,16,21,19,18,26,22,12,43,45,1,5,12,11,14,10,0,0,8,6,14,12,0,1,3,7,4,6,6,2,3,5,18,8,"1,148","1,079","2,227"
41,4,4,16,19,8,9,12,21,18,12,5,11,41,47,25,26,20,12,3,5,1,0,10,3,13,12,25,24,83,90,4,12,8,10,13,16,6,16,26,15,10,7,8,5,15,15,8,10,2,5,5,6,14,7,7,4,13,11,9,8,19,19,4,7,0,0,17,15,14,14,2,7,10,8,29,18,8,8,31,35,35,32,10,7,8,10,1,3,12,19,28,20,25,27,15,17,9,10,8,12,0,0,27,14,33,25,5,7,11,7,3,3,20,24,13,19,9,16,8,7,8,3,2,4,30,24,22,16,27,11,16,19,12,12,10,13,31,31,13,23,36,55,4,5,11,13,9,8,0,0,8,8,16,13,2,2,5,7,6,6,5,4,8,3,15,18,"1,142","1,150","2,292"
42,11,3,26,24,12,12,18,21,12,16,11,5,55,50,16,23,13,12,5,5,1,1,10,10,9,11,24,20,90,102,10,4,10,6,16,8,13,9,15,14,14,11,7,4,22,9,14,15,9,11,10,7,11,8,20,9,7,7,13,11,13,10,11,2,0,1,16,12,22,20,4,4,11,8,15,24,7,10,34,34,45,38,8,5,11,8,2,5,20,12,29,27,34,27,24,16,14,12,6,5,0,0,16,13,27,34,10,12,4,9,6,2,27,18,24,29,15,13,8,7,8,12,4,3,29,25,31,26,24,22,30,27,16,6,21,18,22,26,12,17,50,52,6,10,12,14,5,12,0,0,9,6,9,6,1,4,4,7,7,8,4,5,3,2,12,18,"1,286","1,191","2,477"
43,6,9,21,18,12,14,17,14,13,15,6,6,44,46,23,24,14,24,7,1,2,1,8,5,16,16,33,29,92,79,9,14,8,14,20,9,9,12,17,11,15,14,11,11,19,17,13,14,8,8,6,10,16,6,11,11,7,9,7,13,16,8,8,8,2,2,11,19,21,23,5,5,9,7,23,15,9,17,32,28,33,28,10,10,5,15,1,4,17,18,37,21,23,26,29,23,14,14,15,9,0,0,19,9,30,33,10,8,7,11,10,5,25,20,34,19,5,10,2,3,6,9,1,6,22,26,24,28,23,14,17,23,13,20,28,16,39,30,18,21,50,47,9,6,15,13,9,18,0,0,11,5,7,11,0,2,7,13,9,3,14,9,6,5,15,26,"1,295","1,243","2,538"
44,3,10,27,19,8,21,20,22,14,6,2,7,46,51,25,31,18,15,3,7,5,1,7,8,12,14,25,23,86,61,11,9,13,10,15,15,8,7,20,17,12,11,5,10,19,13,15,16,5,5,8,4,9,12,9,5,11,12,11,8,21,18,4,6,0,1,13,16,23,29,4,3,9,12,17,18,16,14,39,51,29,31,12,14,7,14,1,8,16,24,35,35,40,36,40,27,18,19,12,9,0,0,20,14,21,29,12,6,13,9,1,3,29,24,21,36,9,10,12,5,14,11,6,4,26,31,21,19,20,29,20,16,16,19,15,16,28,26,10,10,48,49,3,6,19,11,21,10,0,0,7,10,6,11,2,6,5,6,3,5,7,8,3,4,16,20,"1,282","1,298","2,580"
45,3,6,22,19,10,17,21,19,15,14,11,6,48,37,21,29,13,10,7,5,3,0,14,3,14,9,30,17,109,95,7,6,7,10,20,14,13,12,21,14,13,11,9,6,17,11,12,15,15,8,9,13,8,8,16,3,9,9,10,6,11,19,2,5,2,2,21,14,32,19,5,3,5,4,12,18,11,11,51,39,22,27,10,8,9,17,5,9,22,22,19,26,27,38,33,21,20,15,11,7,1,0,19,10,22,24,11,8,8,6,1,6,23,25,24,25,9,13,6,3,7,13,2,14,25,30,19,21,23,28,16,18,15,12,8,18,38,21,20,16,40,32,6,6,14,11,9,12,0,0,8,4,6,8,2,4,6,3,7,8,9,8,6,3,21,22,"1,288","1,188","2,476"
46,6,6,18,24,12,15,21,30,12,7,5,11,46,33,27,32,14,14,6,6,2,3,11,9,7,12,25,21,101,87,8,4,10,9,17,15,5,9,15,13,21,11,8,4,16,18,9,16,4,7,8,9,11,15,10,9,8,23,6,12,13,13,4,5,1,0,11,12,19,17,5,6,14,12,13,13,10,10,55,38,36,35,9,10,19,22,7,8,18,16,34,24,23,21,30,14,15,11,7,10,0,0,13,13,12,28,7,6,12,5,1,3,21,23,24,25,8,15,7,5,12,6,4,2,30,25,21,17,18,26,27,12,11,22,12,13,37,22,18,16,32,28,6,6,7,11,8,12,0,0,10,5,11,8,4,3,9,13,5,8,5,2,4,3,16,21,"1,224","1,185","2,409"
47,5,11,19,37,28,23,28,22,9,8,9,10,34,35,34,29,11,14,4,3,4,4,7,5,8,8,19,20,88,74,9,2,13,11,16,10,6,13,16,12,13,12,3,8,13,7,19,13,3,5,9,15,10,9,17,14,16,20,3,13,16,20,3,4,1,1,13,12,21,18,2,0,12,8,14,11,13,10,34,47,28,20,6,11,11,17,8,4,24,18,25,32,35,30,24,30,7,13,12,9,0,0,21,18,19,14,7,11,10,12,8,3,23,26,19,23,10,6,4,3,1,10,6,8,23,20,21,17,25,18,14,22,12,14,17,16,22,28,14,14,42,29,3,6,8,14,12,11,0,0,8,13,10,8,4,0,5,8,5,2,10,3,7,5,10,11,"1,182","1,175","2,357"
48,3,8,26,27,13,3,22,17,13,14,13,10,43,39,25,24,18,17,8,3,3,1,8,7,10,9,19,20,91,82,10,5,14,16,17,12,8,8,19,11,15,13,7,5,15,17,17,15,5,10,11,4,10,12,13,6,12,17,8,11,17,11,4,1,1,1,14,15,23,19,1,2,6,8,10,10,17,9,48,44,22,22,8,6,18,23,5,8,31,17,24,28,37,35,22,22,14,17,13,7,0,0,13,16,19,17,3,15,3,3,1,7,32,26,27,20,11,20,5,6,12,8,7,4,30,20,19,27,20,21,21,17,21,13,9,10,23,27,16,17,29,31,6,5,12,11,9,10,0,0,17,3,7,9,3,4,3,6,5,7,4,9,4,3,17,18,"1,239","1,158","2,397"
49,4,8,24,19,17,7,26,15,7,10,6,5,31,33,38,34,26,19,5,2,0,0,6,7,14,8,30,31,90,74,11,8,12,9,16,8,7,9,11,12,12,9,7,7,16,16,10,18,9,10,7,10,12,12,13,9,12,12,8,10,14,14,3,9,4,2,15,5,31,19,5,3,7,3,10,15,9,14,46,39,19,16,8,15,6,14,7,12,21,18,32,22,32,23,26,16,15,15,8,9,0,0,21,9,16,14,5,15,8,10,3,5,26,28,16,26,14,12,5,5,13,10,3,6,28,22,20,12,16,22,10,16,13,13,24,7,28,19,19,11,33,22,4,3,12,13,16,13,0,0,6,5,4,5,1,5,10,7,2,5,11,5,3,5,14,27,"1,209","1,091","2,300"
50,3,4,23,16,11,9,12,17,10,14,9,4,25,26,27,24,12,14,5,0,5,2,7,0,6,3,13,16,76,62,6,3,7,2,8,7,12,4,17,11,17,8,5,7,11,13,7,12,4,9,11,2,9,11,8,3,8,13,4,8,7,17,3,1,1,0,13,16,23,9,6,4,12,8,11,7,7,14,32,32,19,15,8,4,11,11,3,10,16,12,22,17,16,19,15,13,6,9,6,8,0,0,16,14,14,13,0,5,5,8,2,2,17,19,14,12,5,11,4,1,7,9,4,4,14,5,11,9,27,15,9,13,5,7,12,8,18,21,12,11,26,20,0,4,8,10,9,17,0,0,5,6,3,4,1,2,6,8,5,5,6,7,2,2,23,17,905,839,"1,744"
51,8,8,20,18,10,9,28,17,12,10,11,8,36,21,25,28,19,16,6,4,3,2,7,7,7,11,26,24,68,59,5,2,16,11,8,9,9,9,9,8,8,16,5,6,19,13,12,16,6,5,10,5,17,11,3,10,18,15,8,10,8,12,1,4,0,0,9,12,22,23,5,4,14,13,16,15,15,11,48,47,9,13,11,14,11,18,7,4,30,15,21,32,30,24,21,16,18,9,9,6,0,0,14,13,20,28,7,5,4,7,1,0,33,31,20,12,6,4,3,4,6,5,6,9,21,19,18,15,17,20,16,16,13,12,13,11,17,19,23,15,28,20,4,4,7,10,16,16,0,0,4,4,7,6,2,3,10,7,6,2,5,5,2,7,13,21,"1,106","1,030","2,136"
52,2,6,24,24,5,9,12,21,5,5,9,14,29,23,26,24,12,9,4,7,3,0,1,2,10,8,28,17,96,62,7,6,7,8,4,8,4,7,18,15,8,11,3,2,14,13,12,13,6,6,8,11,14,11,9,10,11,17,13,9,11,11,3,3,0,0,14,14,19,13,7,2,18,15,17,9,17,21,47,34,13,20,10,11,9,20,2,3,17,22,36,20,17,17,21,18,14,13,10,4,0,0,10,9,14,22,3,7,1,2,4,2,24,14,17,17,9,9,4,3,8,6,3,6,22,20,14,13,17,13,7,10,10,18,11,6,20,13,14,20,13,23,3,6,5,10,13,13,0,0,5,8,8,6,2,5,8,4,7,2,5,3,3,6,16,19,"1,006",963,"1,969"
53,11,9,22,22,13,12,24,17,9,9,9,4,29,18,16,25,16,9,6,4,0,1,7,3,8,9,21,35,75,47,5,5,6,12,8,9,8,11,17,14,8,8,2,2,8,16,12,16,14,7,5,12,9,8,3,7,7,16,7,7,13,10,5,2,0,0,11,18,16,12,2,5,13,13,12,23,13,18,35,33,22,21,7,6,15,7,2,6,22,12,21,16,16,14,11,15,14,16,6,8,0,0,23,14,14,16,7,9,8,4,3,1,24,16,16,9,5,9,2,4,6,4,7,4,20,25,16,11,14,15,17,13,14,14,14,9,15,13,12,6,17,17,0,4,9,11,10,16,0,0,6,8,3,5,1,1,2,3,3,2,5,2,3,7,13,15,950,916,"1,866"
54,6,7,19,20,9,10,8,6,12,11,4,4,22,22,31,14,17,14,4,4,1,3,2,2,15,10,26,15,56,56,5,4,6,4,6,7,5,6,15,9,11,10,6,2,16,16,10,9,10,5,5,9,7,9,4,3,15,17,10,18,13,7,0,3,0,1,14,10,22,7,5,6,7,13,12,11,15,18,34,40,15,16,11,7,8,8,4,6,15,18,16,12,14,24,25,21,15,8,5,7,0,0,10,16,15,25,2,5,8,8,2,3,20,16,14,19,9,5,6,2,3,7,7,4,22,14,15,15,16,10,15,10,11,12,7,10,15,17,16,21,16,19,5,3,5,7,20,16,0,0,7,6,5,7,0,4,4,7,2,3,5,4,1,4,26,24,922,892,"1,814"
55,8,7,26,19,8,7,18,13,5,7,8,8,11,15,17,18,14,13,1,2,0,2,5,4,6,5,17,17,70,52,3,9,6,4,11,4,8,2,17,18,6,9,4,6,12,18,10,6,11,8,5,5,13,10,5,7,15,18,4,10,20,12,2,3,0,0,13,10,9,12,2,2,8,9,13,14,15,15,30,30,20,17,5,4,8,7,5,2,14,14,19,19,20,16,13,19,8,13,7,9,0,0,17,12,17,17,2,6,6,3,6,3,22,19,15,19,11,11,1,1,4,7,4,8,12,22,12,10,10,15,8,8,8,11,9,6,8,19,16,9,13,20,2,2,9,16,11,21,0,0,3,2,1,0,1,4,4,6,3,1,9,3,1,4,22,25,842,860,"1,702"
56,12,5,11,16,11,5,10,12,6,7,5,4,21,11,17,14,9,10,2,2,2,1,1,3,5,5,22,19,42,46,2,5,7,5,6,4,11,6,14,10,8,7,6,4,11,8,11,11,6,6,8,4,10,5,9,8,13,18,12,10,11,13,1,1,0,0,9,6,11,12,3,3,9,12,7,8,18,11,32,24,15,16,8,8,6,7,1,8,19,10,17,19,20,16,19,22,2,7,6,8,0,0,11,9,24,21,2,5,9,7,2,2,20,16,19,10,7,15,3,1,8,5,7,5,17,17,11,10,17,18,8,6,18,16,5,6,14,18,10,6,18,17,4,2,7,11,15,16,0,0,2,4,8,3,2,2,5,4,2,6,6,8,3,5,15,22,823,775,"1,598"
57,7,5,12,10,9,6,11,14,3,7,6,9,14,17,21,11,10,8,7,2,1,1,1,2,8,14,20,12,41,36,2,5,7,8,9,6,5,3,11,8,9,2,2,2,13,10,16,16,13,10,9,10,5,4,6,4,11,19,10,13,17,20,1,2,1,0,12,16,7,11,2,1,7,6,9,21,14,14,29,25,12,20,4,9,4,10,4,4,14,18,17,24,11,16,13,15,6,10,6,9,0,0,10,16,23,27,6,1,3,6,6,0,14,15,19,14,6,10,4,1,4,3,4,3,17,15,10,8,10,18,10,9,11,12,6,12,8,20,14,10,22,19,3,1,8,9,12,15,0,0,6,8,3,5,0,1,4,8,1,1,9,3,1,3,13,21,756,819,"1,575"
58,2,12,14,15,11,9,14,19,11,8,3,4,13,21,15,16,9,13,1,7,1,4,4,2,7,5,18,14,39,35,3,3,7,4,8,7,7,4,10,5,5,7,3,3,8,10,13,12,7,18,8,8,7,14,7,8,22,14,6,12,11,14,1,2,1,2,12,5,13,9,2,2,6,7,12,12,14,14,26,16,17,9,5,11,10,10,4,5,14,11,13,14,20,23,15,17,9,12,7,4,0,0,14,10,19,21,2,2,10,6,0,2,22,22,17,25,13,20,5,6,10,4,5,7,14,24,16,10,14,21,7,11,15,25,10,10,13,20,7,10,20,18,2,5,10,9,13,14,0,0,3,6,4,4,1,3,2,10,3,6,5,8,0,5,16,24,787,880,"1,667"
59,5,4,15,18,8,6,14,19,8,9,3,5,14,16,11,11,4,9,5,3,1,1,4,5,9,4,20,11,39,42,6,4,2,6,7,3,3,4,13,9,3,6,2,5,9,12,10,17,15,11,6,7,7,6,6,7,8,14,7,5,11,18,1,4,1,1,8,7,7,12,0,2,6,10,14,15,15,18,20,20,21,20,7,3,12,18,4,3,20,12,12,13,19,21,20,27,13,10,6,5,0,0,9,14,19,35,4,7,3,8,2,3,11,15,13,30,14,22,4,3,5,5,1,2,14,11,10,9,15,14,5,13,21,22,8,3,14,5,9,1,12,14,1,6,11,10,14,15,0,0,4,4,5,6,2,1,4,2,3,7,4,11,4,2,19,24,745,842,"1,587"
60,3,10,13,12,9,9,12,15,14,8,7,2,13,12,6,8,9,9,3,4,2,0,4,6,8,4,16,7,50,35,2,2,4,8,3,9,5,3,8,5,6,6,4,1,12,9,11,10,9,11,6,2,6,9,12,10,9,18,7,18,13,15,5,6,0,0,6,3,9,9,1,1,7,4,12,11,18,15,19,15,20,15,2,9,5,4,2,4,10,12,19,10,18,26,18,21,10,12,9,9,0,0,9,14,18,36,2,15,4,5,3,4,17,18,14,21,15,16,5,3,4,10,2,8,17,12,10,9,21,15,6,9,16,23,7,9,15,17,10,4,12,19,3,6,10,15,23,12,0,0,5,4,4,1,2,1,7,9,4,6,6,7,6,10,21,22,774,823,"1,597"
61,5,8,12,7,9,7,11,7,6,7,7,8,8,16,13,15,6,12,2,2,1,1,6,1,3,6,10,14,42,35,6,1,6,3,7,7,4,4,8,15,7,4,3,2,9,8,9,11,9,6,8,7,9,11,5,4,16,16,6,20,15,10,1,3,0,0,6,7,12,4,4,2,12,8,16,13,11,29,16,22,14,24,5,5,10,10,5,6,16,12,20,25,17,22,25,20,13,12,10,8,0,0,15,12,23,41,4,7,4,5,2,5,19,13,19,27,14,26,5,3,8,12,6,9,10,13,11,18,20,22,13,21,16,28,7,12,12,19,6,9,13,28,6,10,9,20,15,16,0,0,7,7,6,10,1,4,4,6,6,4,4,8,4,3,26,22,796,947,"1,743"
62,6,4,9,12,7,7,13,13,4,6,5,5,16,11,15,16,7,8,5,6,1,0,6,5,4,3,12,14,41,42,5,4,5,3,4,13,8,9,8,10,4,5,6,2,7,6,15,12,3,11,2,8,8,12,4,9,12,14,14,18,15,26,3,17,1,1,12,12,7,5,2,3,5,4,13,11,17,21,23,21,16,20,6,2,4,19,2,3,10,11,19,17,15,22,20,21,14,12,6,4,0,0,15,16,31,47,4,8,6,13,1,4,17,12,17,23,13,25,5,4,4,10,6,8,13,12,10,13,18,30,15,17,12,16,6,11,11,6,8,3,18,20,3,3,8,18,9,18,1,0,7,3,5,6,5,5,6,9,6,3,5,2,4,7,24,20,779,932,"1,711"
63,8,4,11,12,2,9,17,12,11,9,6,5,32,15,13,16,10,8,3,3,2,1,4,8,4,6,17,13,44,48,3,4,8,7,11,9,6,4,8,13,3,4,1,8,10,8,14,15,9,12,10,8,8,11,14,16,14,14,11,23,17,27,3,2,1,1,9,5,3,5,1,1,6,8,9,13,16,22,22,22,18,28,5,8,12,9,9,2,9,11,18,16,20,26,19,22,14,13,6,7,0,0,13,10,35,41,6,8,6,8,4,4,16,12,19,23,16,22,3,4,6,9,8,7,11,17,11,17,14,22,12,18,23,25,10,15,13,10,6,5,8,20,7,6,13,19,12,20,0,0,6,6,5,6,2,6,4,1,3,8,12,5,4,7,18,27,857,981,"1,838"
64,7,14,18,17,4,7,17,11,10,9,7,4,15,27,10,8,11,15,6,2,4,3,2,4,6,2,16,14,25,42,6,9,7,6,12,13,5,2,13,10,9,6,2,6,11,9,10,9,7,12,6,7,6,9,11,11,15,15,12,21,19,20,3,5,0,0,5,6,12,12,6,2,5,7,9,7,18,26,20,23,26,21,5,7,14,22,0,5,15,12,22,23,31,26,18,24,12,14,15,10,0,0,12,15,29,49,13,12,5,11,4,7,17,19,35,29,29,20,4,7,10,8,5,13,20,19,7,11,16,35,19,24,18,37,6,9,15,9,10,15,17,25,2,5,18,25,21,16,0,0,3,3,10,7,3,0,6,10,7,3,4,5,1,5,19,25,930,"1,074","2,004"
65,6,11,13,15,8,6,9,13,6,10,6,4,18,18,21,13,11,11,1,6,1,2,10,5,7,8,10,5,44,37,4,7,7,6,15,30,4,3,9,8,7,5,2,3,7,13,14,13,7,14,6,12,10,7,17,21,19,27,25,31,21,22,9,5,0,0,6,5,10,5,0,2,7,7,15,21,21,21,25,21,21,21,5,9,13,16,6,5,11,9,14,28,24,22,28,29,13,19,9,10,0,0,14,14,42,37,5,13,4,9,2,4,17,17,29,26,23,28,3,8,13,9,8,8,16,18,14,11,24,33,18,33,27,22,11,19,15,11,7,8,18,24,7,6,18,23,16,20,0,0,3,4,8,7,2,4,6,12,3,9,13,15,3,8,28,25,999,"1,126","2,125"
66,13,10,10,17,10,7,8,17,6,11,6,7,24,18,13,9,12,6,3,6,1,0,3,6,4,4,5,12,39,42,4,6,8,5,14,11,1,2,5,10,10,6,5,8,8,8,17,16,16,14,5,11,7,10,17,15,9,26,22,33,22,19,8,14,0,0,6,8,6,10,1,4,8,8,14,12,26,15,20,26,27,27,7,5,19,20,3,10,13,14,22,30,31,29,34,30,15,31,2,11,0,0,15,19,37,46,6,16,20,13,3,12,27,30,24,30,25,26,8,2,12,11,11,11,19,18,10,10,34,43,31,31,17,17,15,25,8,14,5,4,17,23,3,11,18,30,10,20,0,0,3,4,8,8,2,1,13,16,3,2,9,14,4,12,15,20,"1,021","1,215","2,236"
67,9,8,15,19,6,7,22,25,15,14,5,8,20,29,16,28,14,12,4,2,1,6,6,7,6,6,15,14,36,52,7,4,5,5,12,17,5,2,17,13,6,6,6,5,10,15,14,12,10,16,10,12,9,14,15,17,16,20,25,27,36,34,12,11,2,0,6,5,11,11,1,3,11,10,16,17,35,30,27,34,28,40,8,11,25,22,6,11,18,19,27,25,25,45,31,38,12,21,12,14,0,0,16,24,49,57,15,19,5,17,6,9,22,30,29,40,28,25,5,7,10,11,11,12,17,19,13,10,35,48,31,43,34,43,17,17,7,10,8,9,27,39,11,13,27,30,22,17,0,0,6,5,9,8,7,5,12,11,8,10,13,12,10,8,43,28,"1,259","1,459","2,718"
68,5,8,23,14,6,6,15,17,12,8,2,7,23,21,17,18,11,13,6,3,3,7,7,5,5,6,13,12,46,42,7,6,7,12,17,19,6,9,13,16,8,13,7,5,5,7,19,24,20,21,20,14,12,22,15,16,19,19,39,46,22,36,16,15,0,0,10,6,6,9,5,2,8,10,10,12,24,14,16,30,29,22,7,9,19,34,7,11,19,13,30,19,29,33,32,47,23,40,9,13,0,0,22,17,52,58,9,17,18,14,14,8,18,26,38,43,22,25,11,7,9,14,22,18,8,17,13,16,50,56,39,46,28,37,11,15,13,14,9,6,35,29,8,11,27,51,19,18,0,0,3,6,7,8,8,6,11,16,6,4,8,16,10,12,24,24,"1,301","1,466","2,767"
69,10,10,16,19,7,12,11,17,7,6,7,6,20,24,19,11,12,14,4,6,5,0,8,9,4,4,8,12,40,39,4,3,4,11,22,15,6,5,16,13,5,11,7,3,16,11,12,20,15,15,10,14,15,20,17,23,19,28,41,30,34,29,10,12,0,1,5,7,6,5,3,7,7,3,8,10,31,17,26,28,25,31,6,8,21,33,10,16,11,12,19,24,34,52,37,42,26,47,10,10,0,0,21,18,47,46,16,13,10,15,5,7,17,18,34,44,27,24,3,10,14,23,14,6,9,13,6,14,43,38,37,46,39,37,17,18,6,9,7,6,33,30,17,17,29,43,27,12,0,0,3,5,6,10,5,8,9,20,7,10,13,16,9,16,29,27,"1,275","1,424","2,699"
70,6,2,8,12,7,13,12,15,5,7,2,8,11,12,8,15,9,12,2,2,0,2,5,7,2,1,5,9,36,42,3,4,8,8,8,13,4,3,12,3,8,4,3,2,5,7,9,16,10,8,9,7,10,8,11,17,10,13,19,28,12,24,11,5,1,0,4,1,1,4,0,6,4,5,10,7,12,7,19,21,12,29,2,6,11,27,7,5,8,9,23,19,19,36,32,26,16,19,7,7,0,0,9,16,38,41,11,8,11,10,7,5,23,15,32,33,9,15,7,6,7,16,9,9,11,8,7,3,23,31,22,29,22,20,13,7,3,5,4,5,22,21,11,11,18,19,11,9,0,0,2,4,7,3,4,6,20,9,3,5,8,10,10,13,18,17,860,972,"1,832"
71,7,2,7,11,5,8,8,18,5,8,5,2,14,20,10,6,6,7,3,4,1,1,6,2,3,4,9,8,21,28,3,5,6,3,10,12,3,3,9,8,5,9,5,5,4,11,11,15,10,6,7,4,9,8,13,17,6,7,29,22,23,21,5,3,0,0,8,3,6,7,1,1,3,2,7,9,20,15,12,16,24,17,7,6,12,21,7,6,3,3,16,15,23,26,21,38,20,31,5,4,0,0,12,12,38,33,11,10,9,15,4,5,12,17,21,18,21,16,2,12,15,19,4,15,4,8,7,3,32,21,10,20,30,20,6,9,4,6,1,3,19,25,9,13,21,27,7,3,0,0,2,4,6,5,2,4,7,17,5,7,9,6,9,14,17,19,819,914,"1,733"
