年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
72,4,5,15,13,7,7,10,14,4,6,2,1,15,12,11,8,9,9,3,2,2,2,13,6,4,3,8,9,26,27,8,7,5,4,15,8,2,5,13,13,10,8,7,4,4,12,7,17,10,8,10,11,6,10,16,23,7,11,26,19,25,18,7,6,0,0,3,5,4,3,2,4,2,5,9,10,13,16,10,15,16,21,11,7,11,31,5,9,4,1,15,22,35,32,27,36,22,26,8,10,0,0,11,11,39,43,11,13,9,10,6,13,12,9,20,25,20,15,5,8,22,22,8,5,9,9,9,4,39,37,11,29,23,23,6,7,9,10,6,2,24,21,13,12,32,17,6,2,0,0,4,5,6,7,0,12,14,19,4,8,16,13,8,17,11,25,921,"1,014","1,935"
73,6,8,10,12,8,12,11,16,8,8,2,3,13,18,11,11,7,10,5,7,2,1,3,5,1,5,3,11,35,48,4,7,2,15,9,22,2,3,12,9,6,5,3,7,6,10,13,15,10,12,11,16,5,11,13,22,21,20,17,27,20,17,10,5,0,0,2,7,7,3,3,1,6,2,9,8,20,15,25,26,26,31,9,16,21,49,6,19,10,14,20,26,37,53,39,40,28,36,9,11,0,0,18,12,44,31,10,14,12,14,5,8,12,8,24,28,11,15,10,11,15,29,7,16,4,6,5,12,29,40,25,29,15,22,8,9,4,5,4,2,18,34,6,12,23,29,11,10,0,0,5,6,8,5,4,4,8,23,8,11,10,16,11,17,16,31,956,"1,264","2,220"
74,5,8,7,12,4,14,10,14,5,5,4,4,18,20,7,10,6,10,2,3,1,2,4,2,6,6,5,10,44,43,3,5,6,8,11,9,4,3,11,11,6,14,2,8,8,15,20,13,18,6,10,10,13,12,11,21,10,8,20,26,21,17,5,10,0,1,10,4,4,5,1,7,1,2,9,6,20,8,14,32,18,28,12,12,30,33,12,12,8,10,21,12,35,30,27,37,28,32,10,6,0,0,9,17,32,27,8,10,14,16,8,9,11,14,30,28,15,9,6,5,16,18,7,14,9,12,6,10,31,27,25,19,29,18,10,12,7,9,2,2,22,24,10,9,18,19,8,8,0,0,1,3,3,3,3,10,14,21,8,13,9,17,6,15,26,26,970,"1,080","2,050"
75,2,6,13,14,7,7,16,11,6,4,2,2,14,20,9,6,10,10,3,8,1,2,7,0,6,4,6,8,37,51,3,9,7,6,11,8,1,5,4,11,6,10,7,4,3,7,13,17,9,12,11,7,9,8,12,21,9,9,23,19,18,12,13,12,0,0,4,5,3,4,0,4,4,4,4,6,10,19,15,16,30,33,10,8,23,26,11,18,11,10,12,20,27,41,41,48,30,24,7,7,0,0,11,13,32,24,6,9,12,14,2,13,12,14,22,29,17,11,7,7,12,12,11,7,7,8,8,6,33,38,25,22,22,21,13,12,1,11,5,2,20,21,10,14,25,21,6,11,0,0,3,7,3,5,6,3,18,20,14,10,8,11,11,17,14,22,936,"1,058","1,994"
76,8,9,9,25,5,5,5,19,3,3,1,2,18,13,10,15,9,10,4,7,0,2,3,3,3,2,10,9,27,32,6,5,9,9,13,11,4,6,8,6,3,4,5,4,7,9,13,12,6,11,5,15,5,11,17,24,11,8,15,21,17,13,7,4,0,2,3,4,4,4,2,5,3,2,6,7,7,8,22,23,18,22,5,11,30,42,16,8,9,10,19,16,30,38,28,55,28,19,8,5,0,0,8,6,26,26,11,11,12,14,3,10,12,13,27,21,15,11,7,11,9,28,10,11,8,11,6,5,24,32,14,17,20,16,6,8,8,8,2,0,20,21,11,11,21,14,9,6,0,0,3,3,6,6,3,10,13,20,7,7,9,19,6,19,8,22,848,"1,027","1,875"
77,2,6,8,6,9,7,10,12,5,4,4,2,11,19,5,12,7,6,3,2,1,0,3,5,1,4,3,6,19,39,10,4,8,7,11,14,4,2,5,12,8,6,3,2,4,4,11,11,5,9,9,11,7,14,13,23,16,19,12,21,24,17,6,5,0,0,4,2,2,6,2,3,1,2,4,8,12,7,16,16,26,25,4,8,22,33,9,10,3,7,12,15,21,17,23,26,18,21,7,5,0,0,10,5,20,19,3,13,15,15,4,9,6,12,13,22,7,5,4,8,15,13,4,10,3,7,4,6,26,20,27,20,16,13,6,7,6,5,1,3,16,11,6,5,19,14,4,5,0,0,7,4,2,3,2,6,14,15,5,6,7,11,10,14,13,16,728,844,"1,572"
78,3,3,5,6,5,8,7,10,1,9,2,3,17,11,5,11,4,7,1,5,1,1,0,4,2,1,7,7,21,34,5,5,3,10,6,10,1,3,4,7,4,4,2,3,9,4,2,20,5,9,5,12,13,7,21,22,5,8,9,8,14,14,4,1,1,0,2,4,1,2,1,5,3,1,7,7,5,9,11,9,14,17,6,7,16,26,7,6,2,6,11,12,21,32,20,37,11,17,5,7,0,0,7,8,19,20,11,6,15,17,3,8,7,6,22,22,9,7,4,9,18,14,5,9,4,5,3,1,13,14,11,15,14,5,8,5,5,3,4,2,13,8,5,6,15,14,2,3,0,0,3,3,3,4,2,3,13,11,8,6,9,10,5,13,17,24,614,752,"1,366"
79,5,4,5,14,3,8,7,9,3,3,1,2,6,15,6,6,5,8,6,2,1,1,2,2,3,1,7,5,30,30,5,3,3,5,11,7,3,5,5,7,7,4,4,3,2,7,11,10,7,6,2,5,10,18,13,20,14,3,19,14,11,16,5,3,0,0,2,6,3,3,2,6,2,3,7,8,8,6,10,14,15,21,6,8,21,18,9,8,3,5,15,13,26,25,19,28,18,16,6,7,0,0,6,9,20,21,8,13,14,7,3,5,10,14,21,14,8,7,5,12,9,19,5,12,2,5,5,1,23,23,15,12,9,12,9,9,2,4,0,0,13,13,11,11,12,10,4,4,0,0,0,3,3,4,3,4,8,10,5,4,8,10,10,16,14,12,659,741,"1,400"
80,2,6,12,6,2,6,3,15,3,8,3,1,10,9,1,10,7,7,4,3,0,5,4,0,3,3,6,13,15,25,2,4,7,7,4,7,5,1,4,11,5,10,1,2,4,10,5,11,4,8,8,6,10,10,15,12,5,6,14,12,17,16,6,4,0,0,4,5,1,4,3,6,1,1,4,5,10,5,11,21,6,13,2,9,16,25,8,8,6,6,10,12,26,24,16,32,14,8,3,6,0,0,13,9,15,16,8,7,9,8,9,6,14,8,18,12,9,6,4,9,12,12,9,12,5,7,5,4,14,18,14,21,9,7,4,6,6,7,3,8,11,5,12,6,11,8,7,3,0,0,3,2,1,1,7,5,10,13,4,11,4,5,11,15,12,16,605,717,"1,322"
81,0,8,5,10,5,6,6,12,4,4,2,1,12,16,5,4,8,8,7,3,0,2,0,4,0,1,1,8,19,31,4,4,6,7,5,8,0,2,7,7,3,7,2,2,8,11,7,12,4,15,6,10,10,5,11,17,3,8,11,13,19,12,1,2,1,0,3,1,1,2,6,2,0,2,5,8,7,10,9,15,15,19,5,8,13,21,9,8,3,9,12,14,19,23,22,40,12,15,2,3,0,0,7,4,10,16,4,2,8,15,4,5,4,12,16,16,6,5,7,11,8,17,8,8,6,6,5,0,17,15,11,14,8,11,6,4,1,7,1,5,8,11,6,2,12,11,6,5,0,0,3,1,3,1,1,3,8,17,1,5,9,11,11,15,13,14,543,729,"1,272"
82,5,4,10,8,6,8,3,15,3,4,1,4,15,16,2,7,4,4,2,6,1,1,1,3,0,0,7,3,15,25,8,3,2,3,5,3,0,2,6,6,9,3,3,4,7,13,11,11,1,4,9,9,9,5,14,10,2,6,14,12,8,11,1,0,0,0,0,2,3,3,5,5,1,5,3,4,3,9,13,14,7,11,8,3,9,22,5,4,1,3,12,8,15,18,28,38,16,9,4,0,0,0,3,6,12,7,3,5,6,11,8,7,6,9,16,7,2,9,5,10,8,11,8,4,3,3,2,2,13,18,7,7,6,6,5,2,3,3,1,1,10,8,4,1,6,4,1,0,0,0,4,1,3,1,1,0,6,5,5,1,4,5,11,9,9,13,498,547,"1,045"
83,2,7,8,8,6,5,5,6,3,1,2,0,11,11,4,4,5,8,2,3,1,3,2,3,1,0,3,4,13,31,3,7,7,4,5,6,0,4,7,8,7,5,0,3,9,10,7,12,6,5,6,11,4,4,8,12,3,9,10,8,8,9,4,2,0,0,1,2,1,0,2,7,1,1,3,6,2,6,10,18,8,11,5,6,8,12,0,8,2,8,12,11,14,24,24,19,15,7,2,5,0,0,6,6,8,5,6,0,5,7,4,1,5,6,8,16,6,8,6,6,9,17,3,3,3,9,0,2,6,8,5,8,8,3,6,6,1,3,0,3,13,7,5,3,8,10,4,2,0,0,1,0,3,3,1,3,5,9,5,4,5,7,5,9,11,11,433,549,982
84,6,9,3,11,3,6,4,14,3,6,1,4,10,18,5,5,5,8,1,2,0,0,1,2,1,1,3,4,10,19,5,1,1,4,2,0,2,1,4,7,5,5,2,5,5,8,11,13,9,9,3,6,4,3,6,15,5,3,9,12,9,6,2,2,1,0,2,2,1,2,4,6,1,0,4,7,6,4,11,5,7,7,5,2,10,17,2,6,2,4,9,10,10,17,15,22,11,12,3,3,0,0,6,6,15,9,2,5,4,3,0,6,2,3,12,8,3,6,6,6,7,15,2,9,4,10,2,5,11,9,8,9,7,5,4,3,5,1,2,0,6,10,2,5,4,2,2,4,0,0,0,1,1,1,2,1,3,6,4,7,7,3,9,11,7,8,393,512,905
85,3,4,4,9,5,5,4,9,2,6,1,0,13,5,1,2,3,6,1,3,1,2,0,2,0,1,2,3,10,16,3,4,2,5,1,2,0,6,7,7,6,5,3,3,6,13,7,12,8,16,6,3,4,10,5,8,1,5,5,9,5,7,1,2,0,0,2,1,2,1,0,5,0,1,1,2,3,3,8,5,4,7,1,1,5,16,2,8,4,6,5,9,7,15,12,20,7,13,0,4,0,0,1,1,4,9,0,3,3,5,5,4,4,4,5,8,4,2,4,5,11,15,4,5,1,3,0,0,6,9,7,11,6,9,2,2,2,2,0,3,3,7,2,4,5,7,1,3,0,0,0,2,3,2,1,2,4,8,5,2,6,2,9,5,9,10,300,461,761
86,2,3,7,6,1,6,8,8,2,6,2,2,0,7,2,2,2,6,0,2,0,0,0,0,2,2,4,5,13,18,3,5,1,1,2,5,0,3,2,3,2,4,3,2,3,6,7,10,6,12,5,4,3,7,5,11,0,7,1,7,3,4,1,0,0,0,3,3,2,1,1,6,2,0,0,5,4,6,8,10,8,9,0,3,4,5,1,2,2,1,6,11,13,9,9,16,6,4,1,2,0,0,5,6,2,5,1,2,3,3,1,3,3,5,2,8,2,3,1,5,10,4,6,9,1,6,2,3,8,5,7,7,1,3,3,5,3,4,2,2,3,7,4,0,5,9,2,5,0,0,0,0,2,4,0,2,2,8,2,3,4,0,4,5,4,12,257,400,657
87,5,4,4,7,0,5,4,5,0,2,0,0,4,12,0,2,3,6,1,2,0,1,0,5,0,1,1,2,10,19,1,2,1,4,3,2,0,0,2,5,1,1,0,3,10,7,5,15,2,8,6,7,2,6,4,5,3,2,3,7,9,6,1,1,0,0,0,1,1,2,3,7,0,2,1,4,0,2,8,5,1,10,1,2,4,9,3,3,3,2,4,4,6,11,7,11,5,6,4,2,0,0,2,1,4,6,1,1,5,2,3,0,4,4,5,4,1,5,1,5,7,1,3,5,3,2,0,4,1,2,4,2,5,6,1,1,1,1,0,1,6,4,2,0,4,4,2,1,0,0,0,1,1,2,2,1,2,3,1,2,0,3,4,3,4,4,215,318,533
88,3,6,7,8,3,8,3,9,1,1,0,1,7,10,1,2,0,0,2,2,2,1,2,2,0,3,0,4,3,22,0,3,3,2,0,0,0,3,4,4,0,2,0,1,6,5,5,17,2,4,2,9,4,12,5,8,0,2,1,6,5,7,2,3,0,0,2,2,0,0,1,10,0,1,0,2,2,4,0,8,1,6,1,1,2,4,1,3,0,4,5,6,4,12,6,14,2,1,3,4,0,0,2,6,3,4,1,1,3,1,1,3,4,2,4,5,1,3,1,3,7,3,2,5,1,6,4,2,4,6,5,5,2,2,3,6,2,1,0,2,0,1,0,1,3,4,1,1,0,0,0,1,0,2,0,1,1,1,1,3,1,6,1,1,1,2,162,339,501
89,2,1,1,5,2,3,2,4,0,7,0,0,4,8,3,2,4,4,2,4,0,1,0,0,0,1,3,3,8,21,2,2,1,1,2,3,0,1,0,4,1,6,0,2,1,7,6,6,5,6,3,5,2,6,2,6,1,4,3,6,5,4,0,1,0,0,0,0,0,2,1,8,0,0,2,2,1,5,0,7,3,7,0,1,4,3,0,3,0,3,3,8,3,7,8,8,1,3,1,0,0,0,1,0,0,1,0,1,1,4,0,3,1,2,1,4,5,8,0,4,4,6,1,0,0,2,0,3,2,3,0,1,1,2,0,2,0,4,2,4,1,5,0,1,2,3,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,2,1,1,0,1,118,273,391
90,1,7,3,4,1,2,0,5,1,3,0,0,4,9,0,3,3,1,0,2,0,0,0,2,0,0,1,1,2,16,1,1,1,2,1,2,0,1,1,4,1,1,0,2,5,6,5,9,4,8,2,9,1,10,1,3,1,1,1,6,3,6,1,1,1,0,0,8,0,0,1,10,0,2,4,5,0,5,2,6,0,6,0,2,1,7,0,2,2,1,1,1,6,7,1,8,2,3,1,0,0,0,0,2,2,6,0,1,1,1,0,0,2,1,2,7,1,0,0,3,3,6,0,0,1,1,0,0,2,1,2,1,1,2,4,2,1,1,0,0,1,5,0,0,2,3,0,1,0,0,1,1,0,0,0,0,1,1,1,1,2,0,0,1,1,5,98,253,351
91,1,3,1,3,1,3,2,2,1,2,0,1,2,7,0,4,1,1,1,2,1,2,0,0,0,0,0,1,2,13,0,1,0,0,0,2,0,1,1,2,0,0,2,0,1,5,3,12,1,4,3,2,2,6,1,3,0,2,2,3,0,1,0,1,0,0,0,1,0,0,1,5,1,0,1,5,1,4,2,3,1,2,1,0,1,4,0,2,0,0,1,1,2,10,1,6,1,3,0,1,0,0,0,3,0,3,0,0,0,4,1,0,2,2,2,1,2,2,1,3,1,5,1,2,1,1,3,2,2,1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,2,2,0,2,0,0,1,0,0,0,0,1,0,1,0,2,2,0,1,2,2,6,72,189,261
92,1,0,1,3,1,2,0,2,1,1,0,0,1,8,0,2,1,2,0,0,0,2,0,1,0,1,0,3,3,14,1,2,0,1,0,2,0,3,4,0,0,2,0,1,0,1,5,7,1,8,2,5,0,3,1,3,0,1,1,2,1,7,0,0,0,0,0,1,0,0,1,11,1,0,0,0,2,1,1,5,1,2,0,1,2,4,1,0,0,1,0,4,0,9,1,8,1,1,1,2,0,0,1,0,0,3,1,0,0,0,0,3,0,3,2,1,1,4,0,0,2,2,0,1,1,1,0,1,0,2,0,0,1,3,1,2,1,3,0,1,0,2,1,1,2,2,0,2,0,0,0,0,1,2,0,0,0,3,0,1,0,1,2,1,2,2,56,186,242
93,1,1,0,0,0,1,2,2,0,3,0,1,2,6,0,2,0,0,1,0,0,1,1,2,0,1,0,0,3,15,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,3,3,4,1,6,0,1,1,8,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,9,0,1,0,3,1,4,1,2,1,1,1,1,1,1,0,1,0,3,2,1,1,4,2,4,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,2,1,2,0,6,0,0,0,1,0,1,0,1,0,3,0,3,0,3,0,1,0,1,1,1,1,0,0,4,0,0,0,0,0,2,1,0,0,0,1,1,2,0,0,2,0,3,0,1,41,146,187
94,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,6,4,0,5,0,2,4,1,1,0,0,0,0,3,0,2,0,0,0,0,0,3,0,1,1,2,0,0,0,1,1,1,0,2,0,3,0,1,0,3,0,0,0,1,0,1,0,4,0,6,2,1,1,0,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,27,89,116
95,0,0,2,3,0,0,0,1,0,2,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,1,1,0,0,1,0,4,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,1,0,0,0,3,0,4,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,2,0,0,0,1,1,0,0,1,0,1,0,1,1,2,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,0,0,1,11,88,99
96,1,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,1,0,0,0,0,0,1,1,8,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,6,2,3,2,3,1,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,74,89
97,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,3,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,14,41,55
98,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,36,43
99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,19,26
100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,22
101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12,14
102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
