No.,データセット_タイトル,データ所管部署,データセット_概要,データセット_分類,データセット_最終更新日,ファイル_タイトル,ファイル_ダウンロードURL,ファイル形式,ファイル_最終更新日
104,都営地下鉄の駅別年間乗降人員,"まちづくり推進部
都市計画課",区政ファイルデータ,交通情報,44987.48149,都営地下鉄の駅別年間乗降人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_toeichikatetsunoekibetsunenkanjoukoujinin.xlsx,xlsx,44987.48149
105,東急電鉄の駅別年間乗降人員,"まちづくり推進部
都市計画課",区政ファイルデータ,交通情報,44987.48149,東急電鉄の駅別年間乗降人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_toukyuudentetsunoekibetsunenkanjoukoujinin.xlsx,xlsx,44987.48149
106,京浜急行電鉄の駅別年間乗降人員,"まちづくり推進部
都市計画課",区政ファイルデータ,交通情報,44987.48149,京浜急行電鉄の駅別年間乗降人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_keihinkyuukoudentetsunoekibetsunenkanjoukoujinin.xlsx,xlsx,44987.48149
107,東京モノレールの駅別年間乗降人員,"まちづくり推進部
都市計画課",区政ファイルデータ,交通情報,44987.4815,東京モノレールの駅別年間乗降人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_toukyoumonorerunoekibetsunenkanjoukoujinin.xlsx,xlsx,44987.4815
108,幼稚園,"教育総務部
教育総務課",区政ファイルデータ,生活,44987.4815,幼稚園,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_youchien.xlsx,xlsx,44987.4815
109,小学校,"教育総務部
教育総務課",区政ファイルデータ,生活,44987.48152,小学校,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shougakkou.xlsx,xlsx,44987.48152
110,中学校,"教育総務部
教育総務課",区政ファイルデータ,生活,44987.48152,中学校,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_chuugakkou.xlsx,xlsx,44987.48152
111,高等学校,"教育総務部
教育総務課",区政ファイルデータ,生活,44987.48152,高等学校,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_koutougakkou.xlsx,xlsx,44987.48152
112,図書館等,"教育総務部
大田図書館",区政ファイルデータ,生活,44987.48153,図書館等,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_toshokantou.xlsx,xlsx,44987.48153
113,(2)図書館蔵書数,"教育総務部
大田図書館",区政ファイルデータ,生活,44987.48153,(2)図書館蔵書数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_(2)toshokanzoushosuu.xlsx,xlsx,44987.48153
114,(3)児童・団体図書蔵書数と視聴覚資料数,"教育総務部
大田図書館",区政ファイルデータ,生活,44987.48153,(3)児童・団体図書蔵書数と視聴覚資料数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_(3)jidou_dantaitoshozoushosuutoshichoukakushiryousuu.xlsx,xlsx,44987.48153
115,青少年交流センターの利用,"地域力推進部
地域力推進課",区政ファイルデータ,生活,44987.48154,青少年交流センターの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_seishounenkouryuusentanoriyou.xlsx,xlsx,44987.48154
116,郷土博物館の入館者,"スポーツ・文化・国際都市部
文化振興課",区政ファイルデータ,生活,44987.48154,郷土博物館の入館者,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kyoudohakubutsukannonyuukansha.xlsx,xlsx,44987.48154
117,大森海苔のふるさと館の入館者,"スポーツ・文化・国際都市部
文化振興課",区政ファイルデータ,生活,44987.48155,大森海苔のふるさと館の入館者,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_oomorinorinofurusatokannonyuukansha.xlsx,xlsx,44987.48155
118,区民プラザの利用,"スポーツ・文化・国際都市部
文化振興課",区政ファイルデータ,生活,44987.48155,区民プラザの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kumimpurazanoriyou.xlsx,xlsx,44987.48155
119,区民ホールアプリコの利用,"スポーツ・文化・国際都市部
文化振興課",区政ファイルデータ,生活,44987.48155,区民ホールアプリコの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kuminhoruapurikonoriyou.xlsx,xlsx,44987.48155
120,大田文化の森の利用,"スポーツ・文化・国際都市部
文化振興課",区政ファイルデータ,生活,44987.48156,大田文化の森の利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootabunkanomorinoriyou.xlsx,xlsx,44987.48156
121,プールの利用,"地域力推進部
矢口特別出張所
都市基盤整備部
公園課",区政ファイルデータ,生活,44987.48156,プールの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_purunoriyou.xlsx,xlsx,44987.48156
122,学校開放の利用,"教育総務部
教育総務課",区政ファイルデータ,生活,44987.48156,学校開放の利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gakkoukaihounoriyou.xlsx,xlsx,44987.48156
123,区内の年間交通事故,"都市基盤整備部
都市基盤管理課",区政ファイルデータ,交通情報,44987.48157,区内の年間交通事故,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kunainonenkankoutsuujiko.xlsx,xlsx,44987.48157
124,自転車対策,"都市基盤整備部
都市基盤管理課",区政ファイルデータ,交通情報,44987.48157,自転車対策,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jitenshataisaku.xlsx,xlsx,44987.48157
125,刑法犯の認知件数（大森・田園調布・蒲田・池上・東京空港警察署）,"総務部
防災危機管理課",区政ファイルデータ,治安,44987.48157,刑法犯の認知件数（大森・田園調布・蒲田・池上・東京空港警察署）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_keihouhannoninchikensuu(oomori_denenchoufu_kamata_ikegami_toukyoukuukoukeisatsusho).xlsx,xlsx,44987.48157
126,非行少年等の検挙・補導人員,"総務部
防災危機管理課",区政ファイルデータ,治安,44987.48159,非行少年等の検挙・補導人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hikoushounentounokenkyo_hodoujinin.xlsx,xlsx,44987.48159
127,行為別不良行為少年の補導人員,"総務部
防災危機管理課",区政ファイルデータ,治安,44987.48159,行為別不良行為少年の補導人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kouibetsufuryoukouishounennohodoujinin.xlsx,xlsx,44987.48159
128,区議会議員の定数と現員,"
議会事務局",区政ファイルデータ,その他,44987.48159,区議会議員の定数と現員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kugikaigiinnoteisuutogenin.xlsx,xlsx,44987.48159
129,区議会の開会数と議決件数,"
議会事務局",区政ファイルデータ,その他,44987.4816,区議会の開会数と議決件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kugikainokaikaisuutogiketsukensuu.xlsx,xlsx,44987.4816
130,会派別議員数,"
議会事務局",区政ファイルデータ,その他,44987.4816,会派別議員数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kaihabetsugiinsuu.xlsx,xlsx,44987.4816
131,常任委員会の定数と開会数,"
議会事務局",区政ファイルデータ,その他,44987.48161,常任委員会の定数と開会数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jouniniinkainoteisuutokaikaisuu.xlsx,xlsx,44987.48161
132,議会運営委員会の定数と開会数,"
議会事務局",区政ファイルデータ,その他,44987.48161,議会運営委員会の定数と開会数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gikaiuneiiinkainoteisuutokaikaisuu.xlsx,xlsx,44987.48161
133,特別委員会の定数と開会数,"
議会事務局",区政ファイルデータ,その他,44987.48162,特別委員会の定数と開会数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_tokubetsuiinkainoteisuutokaikaisuu.xlsx,xlsx,44987.48162
134,請願・陳情件数,"
議会事務局",区政ファイルデータ,その他,44987.48162,請願・陳情件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_seigan_chinjoukensuu.xlsx,xlsx,44987.48162
135,令和4年度一般会計の当初予算額（歳入）,"企画経営部
財政課",区政ファイルデータ,その他,44987.48162,令和4年度一般会計の当初予算額（歳入）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_reiwa4nendoippankaikeinotoushoyosangaku(sainyuu).xlsx,xlsx,44987.48162
136,令和4年度各会計の当初予算額,"企画経営部
財政課",区政ファイルデータ,その他,44987.48163,令和4年度各会計の当初予算額,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_reiwa4nendokakukaikeinotoushoyosangaku.xlsx,xlsx,44987.48163
137,令和4年度一般会計の当初予算額（特別区税の内訳）,"企画経営部
財政課",区政ファイルデータ,その他,44987.48163,令和4年度一般会計の当初予算額（特別区税の内訳）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_reiwa4nendoippankaikeinotoushoyosangaku(tokubetsukuzeinouchiwake).xlsx,xlsx,44987.48163
138,決算書にみる区有財産の推移,"企画経営部
財政課",区政ファイルデータ,その他,44987.48163,決算書にみる区有財産の推移,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kessanshonimirukuyuuzaisannosuii.xlsx,xlsx,44987.48163
139,令和3年度各会計の予算額,"企画経営部
財政課",区政ファイルデータ,その他,44987.48164,令和3年度各会計の予算額,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_reiwa3nendokakukaikeinoyosangaku.xlsx,xlsx,44987.48164
140,令和3年度一般会計の予算額（歳入）,"企画経営部
財政課",区政ファイルデータ,その他,44987.48164,令和3年度一般会計の予算額（歳入）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_reiwa3nendoippankaikeinoyosangaku(sainyuu).xlsx,xlsx,44987.48164
141,普通会計決算の状況,"企画経営部
財政課",区政ファイルデータ,その他,44987.48164,普通会計決算の状況,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_futsuukaikeikessannojoukyou.xlsx,xlsx,44987.48164
142,普通会計決算の状況(グラフ）,"企画経営部
財政課",区政ファイルデータ,その他,44987.48166,普通会計決算の状況(グラフ）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_futsuukaikeikessannojoukyou(gurafu).xlsx,xlsx,44987.48166
143,3年度各会計の決算額,"企画経営部
財政課",区政ファイルデータ,その他,44987.48166,3年度各会計の決算額,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_3nendokakukaikeinokessangaku.xlsx,xlsx,44987.48166
144,3年度一般会計の決算額,"企画経営部
財政課",区政ファイルデータ,その他,44987.48167,3年度一般会計の決算額,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_3nendoippankaikeinokessangaku.xlsx,xlsx,44987.48167
145,大田区データ概要【面積・人口】,,区政ファイルデータ,人口減少・少子高齢化,44987.48167,大田区データ概要【面積・人口】,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakudetagaiyou(menseki_jinkou).xlsx,xlsx,44987.48167
146,大田区データ概要【年代別人口】,,区政ファイルデータ,人口減少・少子高齢化,44987.48167,大田区データ概要【年代別人口】,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakudetagaiyou(nendaibetsujinkou).xlsx,xlsx,44987.48167
147,大田区データ概要【外国人数の推移・国籍】,,区政ファイルデータ,人口減少・少子高齢化,44987.48168,大田区データ概要【外国人数の推移・国籍】,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakudetagaiyou(gaikokujinsuunosuii_kokuseki).xlsx,xlsx,44987.48168
148,大田区データ概要【各会計の決算額】,,区政ファイルデータ,その他,44987.48168,大田区データ概要【各会計の決算額】,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakudetagaiyou(kakukaikeinokessangaku).xlsx,xlsx,44987.48168
149,大田区データ概要【一般会計の決算額】,,区政ファイルデータ,その他,44987.48168,大田区データ概要【一般会計の決算額】,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakudetagaiyou(ippankaikeinokessangaku).xlsx,xlsx,44987.48168
