,東京都　認定特定非営利活動法人一覧（令和2年2月29日現在）,,,,,,,
105,東京盲ろう者友の会,藤鹿　一之,平成27年3月17日,令和2年3月16日,1,東京都台東区浅草橋一丁目３２番６号　コスモス浅草橋酒井ビル,東京盲ろう者友の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001252.html
106,さわやか青少年センター,有馬　正史,平成27年3月19日,令和2年3月18日,1,東京都杉並区上荻一丁目１８番６―５０１号,さわやか青少年センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009593.html
107,グリーフケア・サポートプラザ,飯森　眞喜雄,平成27年3月26日,令和2年3月25日,1,東京都港区赤坂九丁目２番６号　カルム第２赤坂１０３,グリーフケア・サポートプラザ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001455.html
108,東京ノーヴイ・レパートリーシアター,岡?　弘司,平成27年3月27日,令和2年3月26日,1,東京都世田谷区北沢二丁目１３番６号　第１マツヤビル３Ｆ,東京ノーヴイ・レパートリーシアター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002657.html
109,パレスチナの子どもの里親運動,秋本　悦男,平成27年3月30日,令和2年3月29日,1,東京都新宿区高田馬場三丁目２１番１９号　白雲荘１０３号室,パレスチナの子どもの里親運動,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010170.html
110,日本を美しくする会,利　哲雄,平成27年3月31日,令和2年3月30日,1,東京都新宿区西新宿六丁目１２番６―６０１号,日本を美しくする会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006684.html
111,日本地雷処理を支援する会,鈴木　純治,平成27年4月1日,令和2年3月31日,1,東京都千代田区九段南三丁目８番１０号　川内ビル１０階,日本地雷処理を支援する会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001826.html
112,チャイルド・ファンド・ジャパン,長山　信夫,平成27年4月1日,令和2年3月31日,1,東京都杉並区善福寺二丁目１７番５号,チャイルド・ファンド・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004608.html
113,イーパーツ,佐々木　良一,平成27年4月9日,令和2年4月8日,1,東京都世田谷区三軒茶屋二丁目５５番８号,イーパーツ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001737.html
114,原子力資料情報室,"山口　幸夫
柴　邦生
伴　英幸",平成27年4月10日,令和2年4月9日,1,東京都中野区中央二丁目４８番４号　小倉ビル１階,原子力資料情報室,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000094.html
115,東京コミュニティスクール,久保　一之,平成27年4月10日,令和2年4月9日,1,東京都中野区中野一丁目６２番１０号,東京コミュニティスクール,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005739.html
116,東京都日本中国友好協会,宇都宮　徳一郎,平成27年4月27日,令和2年4月26日,1,東京都文京区本郷三丁目４番５号　ハイムお茶の水７階７０２号,東京都日本中国友好協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000468.html
117,聖地のこどもを支える会,井上　弘子,平成27年4月27日,令和2年4月26日,1,東京都中野区東中野五丁目８番７号　ＮＥコート５０２号室,聖地のこどもを支える会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003273.html
118,ハートセービングプロジェクト,羽根田　紀幸,平成27年4月27日,令和2年4月26日,1,東京都世田谷区下馬五丁目１７番１２号,ハートセービングプロジェクト,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007334.html
119,悠声会,鈴木　晄夫,平成27年4月30日,令和2年4月29日,1,東京都港区芝四丁目３―２　三田富洋ハイツ４１０,悠声会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008485.html
120,全国木材資源リサイクル協会連合会,藤枝　慎治,平成27年5月11日,令和2年5月10日,1,東京都中央区日本橋小伝馬町１６番８号,全国木材資源リサイクル協会連合会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003629.html
121,国際子ども権利センター,甲斐田　万智子,平成27年5月11日,令和2年5月10日,1,東京都台東区東上野一丁目２０番６号　丸幸ビル３階,国際子ども権利センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008841.html
122,タートル,松坂　治男,平成27年5月19日,令和2年5月18日,1,東京都新宿区四谷本塩町２番５号　社会福祉法人日本盲人職能開発センター東京ワークショップ内,タートル,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006861.html
123,山友会,大脇　甲哉,平成27年5月21日,令和2年5月20日,1,東京都台東区清川二丁目３２番８号,山友会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001633.html
124,ＥＳＡアジア教育支援の会,太田　直人,平成27年6月1日,令和2年5月31日,1,東京都狛江市東和泉一丁目２３番３号,ＥＳＡアジア教育支援の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000394.html
125,Ｍａｌａｒｉａ　Ｎｏ　Ｍｏｒｅ　Ｊａｐａｎ,神余　隆博,平成27年6月1日,令和2年5月31日,1,東京都千代田区麹町三丁目７番地４　秩父屋ビル８階,Ｍａｌａｒｉａ　Ｎｏ　Ｍｏｒｅ　Ｊａｐａｎ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010312.html
126,Ｐｅａｃｅ　Ｆｉｅｌｄ　Ｊａｐａｎ,村橋　靖之,平成27年6月2日,令和2年6月1日,1,東京都千代田区神田神保町一丁目４０番地　豊明ビル３０１号,Ｐｅａｃｅ　Ｆｉｅｌｄ　Ｊａｐａｎ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003669.html
127,日本システム監査人協会,小野　修一,平成27年6月3日,令和2年6月2日,1,東京都中央区日本橋茅場町二丁目８番８号　共同ビル（市場通り）,日本システム監査人協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001576.html
128,金融知力普及協会,金子　昌資,平成27年6月8日,令和2年6月7日,1,東京都中央区日本橋一丁目４番１号,金融知力普及協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090679.html
129,日本ハビタット協会,中村　徹,平成27年7月1日,令和2年6月30日,,東京都千代田区隼町２―１２　藤和半蔵門コープ１０３号,日本ハビタット協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090822.html
130,日本紛争予防センター,瀬谷　ルミ子,平成27年7月7日,令和2年7月6日,1,東京都新宿区改代町２６―１　三田村ビル２０３,日本紛争予防センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001597.html
131,沖縄・球美の里,向井　雪子,平成27年7月7日,令和2年7月6日,,東京都新宿区高田馬場二丁目１９番７号　タックイレブン高田馬場７０２号室 ,沖縄・球美の里,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009961.html
132,ＦｏＥ　Ｊａｐａｎ,ランダル・ヘルテン,平成27年7月9日,令和2年7月8日,,東京都板橋区小茂根一丁目２１―９,ＦｏＥ　Ｊａｐａｎ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001424.html
133,アーユス仏教国際協力ネットワーク,松本　智量,平成27年7月13日,令和2年7月12日,1,東京都江東区清澄三丁目６番８号,アーユス仏教国際協力ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006362.html
134,ＮＰＯ法人ディック遺児奨学会,原田　隆之,平成27年7月15日,令和2年7月14日,,東京都港区浜松町一丁目２９番６号,ＮＰＯ法人ディック遺児奨学会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009660.html
135,サイド・バイ・サイド・インターナショナル,佐々木　浩二,平成27年8月7日,令和2年8月6日,,東京都中央区日本橋本町三丁目８番５号　日本橋本町松本ビル９階,サイド・バイ・サイド・インターナショナル,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002283.html
136,Ａｓｈｉｔａ,植田　雅子,平成27年8月25日,令和2年8月24日,,東京都渋谷区恵比寿南二丁目２６番１―７０２号,Ａｓｈｉｔａ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010534.html
137,難病のこども支援全国ネットワーク,岡　明,平成27年8月27日,令和2年8月26日,1,東京都文京区本郷一丁目１５番４　文京尚学ビル６階,難病のこども支援全国ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000236.html
138,１００万人のふるさと回帰・循環運動推進・支援センター,高橋　公,平成27年8月28日,令和2年8月27日,,東京都千代田区有楽町２―１０―１　東京交通会館８階,１００万人のふるさと回帰・循環運動推進・支援センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090994.html
139,日本アレルギー友の会,武川　篤之,平成27年9月4日,令和2年9月3日,,東京都江東区住吉二丁目６番５号　インテグレート村上ビル３階,日本アレルギー友の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001837.html
140,ＮＧＯブラジル人労働者支援センター,加藤　仁紀,平成27年10月1日,令和2年9月30日,,東京都多摩市永山四丁目２番地７―１０２,ＮＧＯブラジル人労働者支援センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007549.html
141,ＮＰＯ法人ＪＫＳＫ女性の活力を社会の活力に,棚澤　青路,平成27年10月19日,令和2年10月18日,,東京都目黒区中目黒三丁目１２番５号,ＮＰＯ法人ＪＫＳＫ女性の活力を社会の活力に,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001990.html
142,高木仁三郎市民科学基金,河合　弘之,平成27年10月20日,令和2年10月19日,,東京都新宿区四谷本塩町４番１５号　新井ビル３階,高木仁三郎市民科学基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001308.html
143,日本雲南聯誼協会,初鹿野　惠蘭,平成27年10月26日,令和2年10月25日,,東京都新宿区市谷左内町２１番１３号,日本雲南聯誼協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001010.html
144,チャリティー・アソシエーション,小栗　夏生,平成27年10月30日,令和2年10月29日,,東京都中央区銀座一丁目１４番５号,チャリティー・アソシエーション,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092913.html
145,ワーク・ライフ・バランス　ラボ,中嶋　篤子,平成27年11月5日,令和2年11月4日,,東京都足立区舎人一丁目２５番９号,ワーク・ライフ・バランス　ラボ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008144.html
146,勉強レストランそうなんだ！！,福喜多　明子,平成27年11月13日,令和2年11月12日,,東京都北区上中里一丁目３０番１号,勉強レストランそうなんだ！！,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005268.html
147,アジア・チャイルドケア・リーグ,渡邉　和代,平成27年11月16日,令和2年11月15日,,東京都中央区築地一丁目４番３―８０８,アジア・チャイルドケア・リーグ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005258.html
148,日本ＮＰＯセンター,萩原　なつ子,平成27年12月10日,令和2年12月9日,,東京都千代田区大手町二丁目２番１号　新大手町ビル２４５,日本ＮＰＯセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000021.html
149,外国人看護師・介護福祉士教育支援組織,青野　淳子,平成27年12月21日,令和2年12月20日,,東京都大田区東雪谷三丁目２０番７号　ワヨレット雪谷２０２,外国人看護師・介護福祉士教育支援組織,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009510.html
150,高麗博物館,村野　繁,平成27年12月24日,令和2年12月23日,,東京都新宿区大久保一丁目１２番１号 第二韓国広場ビル,高麗博物館,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001758.html
151,ホームケアエクスパーツ協会,酒井　忠昭,平成27年12月24日,令和2年12月23日,,東京都世田谷区代田六丁目６番９号　アルコーブ下北沢Ｂ１,ホームケアエクスパーツ協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006371.html
152,カンボジアの健康及び教育と地域を支援する会,永井　厚,平成27年12月28日,令和2年12月27日,,東京都新宿区四谷四丁目三番二十九号　伸治ビル４階 ,カンボジアの健康及び教育と地域を支援する会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090658.html
153,富士山測候所を活用する会,畠山　史郎,平成28年1月8日,令和3年1月7日,,東京都千代田区麹町一丁目６番地９　ＤＩＫ麹町ビル９０１ ,富士山測候所を活用する会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092261.html
154,シーズ・市民活動を支える制度をつくる会,関口　宏聡,平成28年1月13日,令和3年1月12日,,東京都中野区上鷺宮三丁目１３番１号　鷺宮ガーデンハウスＡ２,シーズ・市民活動を支える制度をつくる会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007136.html
155,東京乾癬の会Ｐ－ＰＡＴ,大藏　由美,平成28年1月13日,令和3年1月12日,,東京都杉並区永福四丁目１番４号,東京乾癬の会Ｐ－ＰＡＴ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008680.html
156,みらいの森,ＣＯＸ　ＤＡＮＩＥＬ　ＯＣＯＮＮＥＬＬ,平成28年1月13日,令和3年1月12日,,東京都港区芝公園二丁目６番８号　日本女子会館６階ＯＷＬ,みらいの森,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010375.html
157,日本若手精神科医の会,大矢　希,平成28年1月15日,令和3年1月14日,,東京都中央区日本橋茅場町一丁目９番２号　株式会社メセナフィールドアークス内,日本若手精神科医の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007172.html
158,東京英語いのちの電話,ＫＮＵＤＳＥＮ　ＡＮＮＥ　ＢＩＬＬＥ,平成28年1月18日,令和3年1月17日,,東京都港区南青山六丁目１０番１１号　ウェスレーセンター２階 ,東京英語いのちの電話,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092192.html
159,きらめき未来塾,住川　雅洋,平成28年1月21日,令和3年1月20日,,東京都新宿区西新宿六丁目６番２号,きらめき未来塾,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012738.html
160,平尾昌晃ラブ＆ハーモニー基金,中村　良朗,平成28年2月15日,令和3年2月14日,,東京都港区西麻布一丁目３番１８号,平尾昌晃ラブ＆ハーモニー基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001876.html
161,プラチナ・ギルドの会,奥山　俊一,平成28年2月22日,令和3年2月21日,,東京都新宿区西早稲田一丁目２２番３―１７０６号,プラチナ・ギルドの会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010748.html
162,チャイルドライン支援センター,"松江　比佐子
梅澤　元彦",平成28年2月25日,令和3年2月24日,,東京都新宿区天神町１４番　神楽坂藤井ビル５階,チャイルドライン支援センター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090353.html
163,アジア・コミュニティ・センター２１,伊藤　道雄,平成28年3月2日,令和3年3月1日,,東京都文京区本駒込二丁目１２番１３号　アジア文化会館内,アジア・コミュニティ・センター２１,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008062.html
164,ＯｕｒＰｌａｎｅｔ－ＴＶ,白石　草,平成28年3月2日,令和3年3月1日,,東京都千代田区神田猿楽町二丁目２番３号　ＮＳビル２０２号室,ＯｕｒＰｌａｎｅｔ－ＴＶ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091892.html
165,ＴＡＭＡ音楽フォーラム,岡山　芳子,平成28年3月7日,令和3年3月6日,,東京都町田市東玉川学園一丁目６番２０号,ＴＡＭＡ音楽フォーラム,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009276.html
166,日本がん臨床試験推進機構,?久　史麿,平成28年4月6日,令和3年4月5日,,東京都中央区銀座一丁目１４番５号　銀座ウイングビル北ウイング７階,日本がん臨床試験推進機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002172.html
167,芸術と遊び創造協会,多田　千尋,平成28年4月6日,令和3年4月5日,,東京都新宿区四谷四丁目２０番１号,芸術と遊び創造協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002409.html
168,ＡＰＥＸ,井上　斉,平成28年4月13日,令和3年4月12日,,東京都台東区根岸一丁目５番１２号,ＡＰＥＸ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003084.html
169,Ｏｈａｎａ,亀倉　順子,平成28年4月18日,令和3年4月17日,,東京都国分寺市新町一丁目１８番地９,Ｏｈａｎａ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004390.html
170,ＡＤＲＡ　Ｊａｐａｎ,柴田　俊生,平成28年4月18日,令和3年4月17日,,東京都渋谷区神宮前一丁目１１番１号,ＡＤＲＡ　Ｊａｐａｎ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091512.html
171,全国盲導犬施設連合会,井上　幸彦,平成28年4月28日,令和3年4月27日,,東京都新宿区住吉町５番１号　吉村ビル２階,全国盲導犬施設連合会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007238.html
172,ＪＵＯＮ　ＮＥＴＷＯＲＫ,生源寺　眞一,平成28年5月30日,令和3年5月29日,,東京都杉並区和田三丁目３０番２２号　大学生協会館５階,ＪＵＯＮ　ＮＥＴＷＯＲＫ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000275.html
173,エファジャパン,伊藤　道雄,平成28年6月14日,令和3年6月13日,,東京都千代田区九段南三丁目２番２号　九段宝生ビル３階,エファジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004521.html
174,ハッスル,中田　建一郎,平成28年6月14日,令和3年6月13日,,東京都港区南青山一丁目１５番１９号　グランドメゾン乃木坂２０４号室,ハッスル,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012967.html
175,福祉カフェテリア,林　幹高,平成28年7月12日,令和3年7月11日,,東京都日野市日野本町二丁目２０番地の８,福祉カフェテリア,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000349.html
176,まちのすみかの会,青木　敏?,平成28年7月13日,令和3年7月12日,,東京都千代田区神田淡路町一丁目１５番１２,まちのすみかの会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0092792.html
177,腎臓病早期発見推進機構,高橋　進,平成28年7月14日,令和3年7月13日,,東京都千代田区九段南四丁目６番９号,腎臓病早期発見推進機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091924.html
178,Ｐ．Ｒ．Ｏ,吉田　篤史,平成28年7月22日,令和3年7月21日,,東京都杉並区上高井戸一丁目８番２０号　第１島田ビル３０１,Ｐ．Ｒ．Ｏ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0009409.html
179,環境エネルギー政策研究所,飯田　哲也,平成28年7月28日,令和3年7月27日,,東京都新宿区四谷三栄町１６番１６号,環境エネルギー政策研究所,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000956.html
180,認定特定非営利活動法人まちぽっと,佐々木　貴子,平成28年7月28日,令和3年7月27日,,東京都新宿区歌舞伎町二丁目１９番１３号　ＡＳＫビル５０１号,認定特定非営利活動法人まちぽっと,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006821.html
181,中国帰国者・日中友好の会,池田　澄江,平成28年8月17日,令和3年8月16日,,東京都台東区台東三丁目３５番７号　ペガサスミシンビル１階,中国帰国者・日中友好の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007387.html
182,キャンサーネットジャパン,吉武　哲,平成28年8月22日,令和3年8月21日,,東京都文京区湯島一丁目１０番２号　御茶ノ水Ｋ＆Ｋビル２階,キャンサーネットジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001107.html
183,日本文化塾,鈴木　壽子,平成28年8月26日,令和3年8月25日,,東京都世田谷区奥沢八丁目２９番１４号,日本文化塾,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008666.html
184,バイオ未来キッズ,西山　徹,平成28年8月30日,令和3年8月29日,,東京都中央区八丁堀二丁目３０番１６号　丸高八丁堀ビル２階,バイオ未来キッズ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008822.html
185,日本医療政策機構,黒川　清,平成28年9月1日,令和3年8月31日,,東京都千代田区大手町一丁目９番２号,日本医療政策機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091510.html
186,ジャパンハート,吉岡　春菜,平成28年9月5日,令和3年9月4日,,東京都台東区台東一丁目３３番６号　セントオフィス秋葉原１０階,ジャパンハート,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007461.html
187,棚田ネットワーク,中島　峯廣,平成28年10月17日,令和3年10月16日,,東京都新宿区西新宿七丁目１８番１６－７０４号,棚田ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001989.html
188,市民シンクタンクひとまち社,工藤　春代,平成28年10月21日,令和3年10月20日,,東京都新宿区歌舞伎町二丁目１９番１３号　ＡＳＫビル,市民シンクタンクひとまち社,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001783.html
189,サービスグラント,嵯峨　生馬,平成28年11月1日,令和3年10月31日,,東京都渋谷区渋谷一丁目２番１０号,サービスグラント,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007814.html
190,消費者機構日本,"佐々木　幸孝
藤井　喜継",平成28年11月2日,令和3年11月1日,,東京都千代田区六番町１５　プラザエフ６階,消費者機構日本,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091789.html
191,日本免疫学会,清野　宏,平成28年11月7日,令和3年11月6日,,東京都千代田区神田和泉町一番地４の２　ＫＵＭＡＫＩビル２Ｆ,日本免疫学会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004615.html
192,トラ・ゾウ保護基金,李（戸川）　久美,平成28年11月10日,令和3年11月9日,,東京都港区虎ノ門二丁目５番４号　末広ビル３階,トラ・ゾウ保護基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008068.html
193,アトピッ子地球の子ネットワーク,吉澤　淳,平成28年11月30日,令和3年11月29日,,東京都新宿区高田馬場一丁目３４番１２号　竹内ローリエビル４０５,アトピッ子地球の子ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003051.html
194,全国就労支援事業者機構,榊原　定征,平成28年12月19日,令和3年12月18日,,東京都渋谷区千駄ヶ谷五丁目１０番９号,全国就労支援事業者機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007603.html
195,日本ファンドレイジング協会,鵜尾　雅隆,平成28年12月20日,令和3年12月19日,,東京都港区新橋五丁目７―１２　ひのき屋ビル７階,日本ファンドレイジング協会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008258.html
196,シャプラニール＝市民による海外協力の会,坂口　和隆,平成28年12月21日,令和3年12月20日,,東京都新宿区西早稲田二丁目３番１号,シャプラニール＝市民による海外協力の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001234.html
197,礎の石孤児院,北野　直人,平成28年12月26日,令和3年12月25日,,東京都品川区西五反田一丁目１４番１号,礎の石孤児院,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001487.html
198,ＬＳスコラ育英基金,中村　勝洋,平成28年12月26日,令和3年12月25日,,東京都世田谷区船橋一丁目２５番１５号,ＬＳスコラ育英基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007757.html
199,経営支援ＮＰＯクラブ,山口　浩利,平成28年12月27日,令和3年12月26日,,東京都千代田区内神田一丁目５番１３号　内神田ＴＫビル１階,経営支援ＮＰＯクラブ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002126.html
200,国際協力ＮＧＯセンター,本木　恵介,平成28年12月28日,令和3年12月27日,,東京都新宿区西早稲田二丁目３番１８号　アバコビル,国際協力ＮＧＯセンター,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000940.html
201,首都東京みなと創り研究会,高野　一男,平成29年1月19日,令和4年1月18日,,東京都練馬区西大泉三丁目１３番４４号,首都東京みなと創り研究会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005293.html
202,アジアキリスト教教育基金,荒谷　出,平成29年1月25日,令和4年1月24日,,東京都新宿区西早稲田二丁目３番１８号,アジアキリスト教教育基金,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004344.html
203,よりどりみどり,藤堂　博徳,平成29年1月25日,令和4年1月24日,,東京都渋谷区千駄ヶ谷五丁目３番１２号,よりどりみどり,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008288.html
204,ココロのバリアフリー計画,池田　君江,平成29年1月26日,令和4年1月25日,,東京都世田谷区上馬二丁目３３番３号,ココロのバリアフリー計画,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010605.html
205,ミュージック・シェアリング,五嶋　みどり,平成29年2月3日,令和4年2月2日,,東京都千代田区隼町２番１２号７０８,ミュージック・シェアリング,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002022.html
206,東京多摩いのちの電話,清水　康雄,平成29年2月3日,令和4年2月2日,,東京都国分寺市本町一丁目６番２号,東京多摩いのちの電話,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006171.html
207,その人を中心とした認知症ケアを考える会,村田　康子,平成29年2月6日,令和4年2月5日,,東京都国立市富士見台一丁目７番地１―１５―４０６,その人を中心とした認知症ケアを考える会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007551.html
208,キャリア権推進ネットワーク,諏訪　康雄,平成29年3月2日,令和4年3月1日,,東京都千代田区神田平河町１番地　第３東ビル,キャリア権推進ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0010333.html
209,フリー・ザ・チルドレン・ジャパン,中島　早苗,平成29年3月13日,令和4年3月12日,,東京都世田谷区南烏山六丁目６番５号　安藤ビル３階,フリー・ザ・チルドレン・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004095.html
210,ＣＦＦジャパン,安部　光彦,平成29年3月14日,令和4年3月13日,,東京都豊島区南大塚三丁目４５―７　ラインビル３０１,ＣＦＦジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0011468.html
