事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,3月,1479,1078,401,11,7,4,12,9,3,1478,1076,402,1.4,1.4,1.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,4月,1478,1076,402,50,31,19,52,49,3,1476,1058,418,1.6,1.8,1.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,5月,1476,1058,418,12,6,6,23,13,10,1465,1051,414,1.6,1.8,1.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,6月,1465,1108,357,15,15,0,10,9,1,1470,1114,356,0.6,0.6,0.6
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,7月,1470,1114,356,17,15,2,22,16,6,1465,1113,352,0.6,0.6,0.6
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,8月,1465,1110,355,8,7,1,14,8,6,1459,1109,350,0.5,0.5,0.3
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,9月,1459,1109,350,5,3,2,15,15,0,1449,1097,352,0.6,0.6,0.3
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,10月,1449,1058,391,22,21,1,33,29,4,1438,1050,388,1,1,1
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,11月,1438,1049,389,16,15,1,37,33,4,1417,1031,386,1.1,1.1,1
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,12月,1417,1031,386,40,28,12,41,28,13,1416,1031,385,1.1,1.1,1
30人以上,D 建設業,平成28,2016,年平均,216002,187206,28796,2024,1694,330,2085,1830,255,215941,187070,28871,0.7,0.4,2.2
30人以上,D 建設業,平成29,2017,年平均,215859,185080,30780,2086,1733,354,1733,1483,251,216212,185330,30883,0.5,0.3,1.6
30人以上,D 建設業,平成30,2018,年平均,221120,185202,35918,2412,1866,546,2327,1955,372,221205,185113,36092,3.1,1.9,8.9
30人以上,D 建設業,平成31・令和元,2019,年平均,234149,197576,36573,4565,3750,815,2505,2045,460,236209,199281,36928,2.6,1.8,6.7
30人以上,D 建設業,令和２,2020,年平均,253824,217480,36344,3274,2566,707,2698,2132,566,254400,217914,36485,1.3,0.8,4.3
30人以上,D 建設業,令和３,2021,年平均,260674,220421,40253,3864,3188,676,3131,2636,494,261407,220973,40435,1.4,0.9,3.9
30人以上,D 建設業,令和３,2021,1月,255089,210943,44146,1018,852,166,1902,1456,446,254205,210339,43866,1.2,0.7,3.2
30人以上,D 建設業,令和３,2021,2月,254205,217997,36208,1272,1117,155,1975,1635,340,253502,217479,36023,1.3,0.9,4.1
30人以上,D 建設業,令和３,2021,3月,253502,216605,36897,1713,1444,269,2411,1910,501,252804,216139,36665,1.4,1,4.2
30人以上,D 建設業,令和３,2021,4月,252804,216091,36713,16820,13699,3121,13156,11891,1265,256468,217899,38569,1.4,0.9,4
30人以上,D 建設業,令和３,2021,5月,256468,216006,40462,10429,9281,1148,2289,1980,309,264608,223307,41301,1.3,0.9,3.7
30人以上,D 建設業,令和３,2021,6月,264608,224591,40017,2929,1726,1203,2921,2406,515,264616,223911,40705,1.4,0.9,3.9
30人以上,D 建設業,令和３,2021,7月,264616,224698,39918,5077,4457,620,3879,3016,863,265814,226139,39675,1.3,0.9,3.8
30人以上,D 建設業,令和３,2021,8月,265814,223430,42384,1671,1427,244,1537,1299,238,265948,223558,42390,1.3,0.9,3.9
30人以上,D 建設業,令和３,2021,9月,265948,223501,42447,1225,917,308,1351,1192,159,265822,223226,42596,1.4,0.9,4.1
30人以上,D 建設業,令和３,2021,10月,265822,225497,40325,2265,1935,330,3311,2731,580,264776,224701,40075,1.4,0.9,4
30人以上,D 建設業,令和３,2021,11月,264776,222516,42260,1025,757,268,1360,1129,231,264441,222144,42297,1.4,0.9,3.9
30人以上,D 建設業,令和３,2021,12月,264441,223178,41263,923,647,276,1476,992,484,263888,222833,41055,1.5,1,4.5
30人以上,E 製造業,平成28,2016,年平均,502308,365101,137207,6526,4526,2001,5995,4246,1749,502839,365381,137459,6.3,1.9,18
30人以上,E 製造業,平成29,2017,年平均,497246,361559,135687,6169,4096,2073,6004,4388,1616,497411,361267,136144,5.3,1.5,15.5
30人以上,E 製造業,平成30,2018,年平均,420178,293307,126871,5525,3755,1770,5521,3662,1859,420182,293400,126782,7.3,2.3,18.9
30人以上,E 製造業,平成31・令和元,2019,年平均,432100,311826,120274,5941,3981,1960,5819,4078,1741,432222,311729,120493,5,1.9,13.2
30人以上,E 製造業,令和２,2020,年平均,426734,303774,122961,6308,4050,2258,5661,3801,1861,427381,304023,123358,8.9,3.9,21.5
30人以上,E 製造業,令和３,2021,年平均,417115,288715,128400,5212,3136,2077,5603,3706,1897,416724,288145,128580,11.1,4.1,26.8
30人以上,E 製造業,令和３,2021,1月,406949,280378,126571,3838,2063,1775,5472,3875,1597,405315,278566,126749,13,4.9,30.7
30人以上,E 製造業,令和３,2021,2月,407036,284028,123008,3092,1683,1409,3330,2090,1240,406798,283621,123177,11.5,4.4,27.8
30人以上,E 製造業,令和３,2021,3月,410065,283425,126640,3159,1784,1375,5257,3425,1832,407967,281784,126183,11.4,4.2,27.6
30人以上,E 製造業,令和３,2021,4月,417697,293275,124422,18794,12552,6242,13072,9733,3339,423419,296094,127325,9.7,3.6,23.7
30人以上,E 製造業,令和３,2021,5月,426473,294713,131760,4637,2196,2441,6547,4226,2321,424563,292683,131880,10.5,3.9,25.2
30人以上,E 製造業,令和３,2021,6月,425533,292306,133227,4497,2354,2143,4936,3073,1863,425094,291587,133507,11.3,4,27.3
30人以上,E 製造業,令和３,2021,7月,422179,289378,132801,4866,3133,1733,6155,3897,2258,420890,288614,132276,11.8,4.5,27.8
30人以上,E 製造業,令和３,2021,8月,420890,287704,133186,3425,1976,1449,4956,2911,2045,419359,286769,132590,11.8,4.4,28
30人以上,E 製造業,令和３,2021,9月,419938,287949,131989,4204,2844,1360,3687,2266,1421,420455,288527,131928,11.7,4.4,27.7
30人以上,E 製造業,令和３,2021,10月,418926,294784,124142,6029,3374,2655,5844,4091,1753,419111,294067,125044,9.7,3.8,23.5
30人以上,E 製造業,令和３,2021,11月,417578,289401,128177,3178,1937,1241,4308,2534,1774,416448,288804,127644,10.9,3.9,26.8
30人以上,E 製造業,令和３,2021,12月,412117,287237,124880,2828,1733,1095,3671,2351,1320,411274,286619,124655,10.3,3.7,25.4
30人以上,F 電気・ガス・熱供給・水道業,平成28,2016,年平均,13729,10991,2738,166,135,31,151,119,32,13744,11007,2737,1.8,2.1,0.9
30人以上,F 電気・ガス・熱供給・水道業,平成29,2017,年平均,15478,12536,2942,231,195,36,110,78,31,15599,12653,2947,2.4,2.8,1.1
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,29282,24501,4781,369,268,102,466,348,118,29185,24421,4765,2.1,1.3,6.6
30人以上,F 電気・ガス・熱供給・水道業,平成31・令和元,2019,年平均,25775,21704,4071,461,363,98,780,683,97,25456,21384,4072,2.6,1.8,6.4
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,年平均,24925,20839,4086,369,318,51,324,288,36,24970,20869,4101,2.1,1.9,3
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,年平均,23230,19301,3929,270,229,41,499,420,79,23001,19110,3891,2.2,2.1,2.9
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,1月,25058,20889,4169,101,79,22,154,147,7,25005,20821,4184,2.5,2.4,3.3
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,2月,25005,20875,4130,437,394,43,118,86,32,25324,21183,4141,2.6,2.4,3.7
