"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別","客室数総計[室]","客室定員総計[人]"
"ＭＯＮｄａｙ　Ａｐａｒｔ　浜松町大門","105-0012","東京都港区芝大門一丁目10番4号",,"2020/6/26","2港み生環き第61号","旅館・ホテル営業","22","88"
"京急ＥＸイン浜松町・大門駅前","105-0012","東京都港区芝大門一丁目15番4号",,"2019/3/26","30港み生環き第150号","旅館・ホテル営業","111","233"
"カプセルイン浜松町","105-0012","東京都港区芝大門一丁目16番6号",,"2003/8/8","15港み生環き第68号","簡易宿所営業","7","112"
"相鉄フレッサイン　大門駅前","105-0012","東京都港区芝大門二丁目6番2号",,"2022/1/17","3港み生環き第171号","旅館・ホテル営業","181","362"
"Ｅｌｌｅ’ｓ　Ｓｈｉｒｏｋａｎｅ　Ｇｕｅｓｔｈｏｕｓｅ","108-0072","東京都港区白金一丁目7番1号","203","2020/5/20","31港み生環き第272号","旅館・ホテル営業","1","6"
"Ｅｌｌｅ’ｓ　Ｓｈｉｒｏｋａｎｅ　Ｇｕｅｓｔ　ｈｏｕｓｅ　３０１","108-0072","東京都港区白金一丁目7番1号","アズ白金301","2023/5/25","5港み生環き第23号","旅館・ホテル営業","1","5"
"プラチナヒルズホテル","108-0072","東京都港区白金一丁目15番36号","プラチナヒルズ2階、3階、4階","2017/12/13","29港み生環き第130号","簡易宿所営業","3","15"
"Ｓｈｉｒｏｋａｎｅ　Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　１０３","108-0072","東京都港区白金三丁目3番18号","モデュロール白金2 103","2023/9/8","5港み生環き第42号","旅館・ホテル営業","1","3"
"Ｓｈｉｒｏｋａｎｅ　Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　１０４","108-0072","東京都港区白金三丁目3番18号","モデュロール白金2 104","2023/9/8","5港み生環き第43号","旅館・ホテル営業","1","4"
"Ｓｈｉｒｏｋａｎｅ　Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　１０５","108-0072","東京都港区白金三丁目3番18号","モデュロール白金2 105","2023/9/8","5港み生環き第44号","旅館・ホテル営業","1","4"
"Ｎｅａｒｂｙ　Ｒｏｐｐｏｎｇｉ（ニアバイロッポンギ）","108-0072","東京都港区白金五丁目1番2号","レジデンス白金103号室","2018/11/13","30港み生環き第78号","旅館・ホテル営業","1","2"
"Ｈ２Ｏ　Ｓｔａｙ　広尾","108-0072","東京都港区白金五丁目2番2号",,"2019/11/14","31港み生環き第90号","簡易宿所営業","3","15"
"フレックステイイン白金","108-0072","東京都港区白金五丁目10番15号",,"2001/12/5","13港み生環き第54号","旅館・ホテル営業","85","170"
"結城ビル２０２","108-0072","東京都港区白金五丁目11番6号","結城ビル202","2020/3/23","31港み生環き第219号","旅館・ホテル営業","1","2"
"結城ビル２０１","108-0072","東京都港区白金五丁目11番6号","結城ビル201","2023/8/2","5港み生環き第57号","旅館・ホテル営業","1","2"
"シェラトン都ホテル東京","108-0071","東京都港区白金台一丁目1番50号",,"1998/11/18","10港み生環き第81号","旅館・ホテル営業","495","996"
"オリーブスパ白金台　ＰＥＮＴＨＯＵＳＥ　Ｒｏｏｍ１","108-0071","東京都港区白金台四丁目9番2号","PANTHEON白金台2階","2019/9/10","31港み生環き第66号","旅館・ホテル営業","1","4"
"オリーブスパ白金台　ＰＥＮＴＨＯＵＳＥ　Ｒｏｏｍ２","108-0071","東京都港区白金台四丁目9番2号","PANTHEON白金台2階","2019/9/10","31港み生環き第67号","旅館・ホテル営業","1","4"
"ＴＨＥ　ＢＬＯＳＳＯＭ　ＨＩＢＩＹＡ","105-0004","東京都港区新橋一丁目1番13号","18～27階","2019/8/7","29港み生環き第67号","旅館・ホテル営業","255","509"
"第一ホテル東京","105-0004","東京都港区新橋一丁目2番6号",,"1993/3/29","2港芝総衛環き第51号","旅館・ホテル営業","278","817"
"からくさホテルプレミア東京銀座","105-0004","東京都港区新橋一丁目6番6号",,"2019/3/27","30港み生環き第98号","旅館・ホテル営業","57","228"
"Ｂｏｏｋ　Ｔｅａ　Ｂｅｄ（ブック　ティー　ベッド）","105-0004","東京都港区新橋一丁目9番1号","新橋二光ビル5階","2016/11/30","28港み生環き第134号","簡易宿所営業","1","20"
"相鉄フレッサイン新橋日比谷口","105-0004","東京都港区新橋一丁目14番3号",,"2013/1/24","24港み生環き第130号","旅館・ホテル営業","147","294"
"相鉄フレッサイン新橋日比谷口別館","105-0004","東京都港区新橋一丁目15番4号",,"2016/9/16","27港み生環き第190号","旅館・ホテル営業","71","142"
"ダイワロイネットホテル新橋","105-0004","東京都港区新橋一丁目17番2号","2階～14階","2019/4/17","30港み生環き第163号","旅館・ホテル営業","195","390"
"新橋アーバンホテル","105-0004","東京都港区新橋二丁目11番9号",,"2019/4/24","30港み生環き第222号","旅館・ホテル営業","48","96"
"レンブラントキャビン＆スパ新橋","105-0004","東京都港区新橋二丁目15番14号","新橋二丁目ビル","2023/2/22","4港み生環き第200号","簡易宿所営業","4","136"
"チェックイン新橋","105-0004","東京都港区新橋二丁目15番17号",,"2004/6/4","14港み生環き第157号","旅館・ホテル営業","162","245"
"カンデオホテルズ東京新橋","105-0004","東京都港区新橋三丁目6番8号",,"2017/12/22","29港み生環き第105号","旅館・ホテル営業","126","270"
"ホテル新橋三番館","105-0004","東京都港区新橋三丁目10番9号",,"2011/11/29","22港み生環き第165号","旅館・ホテル営業","92","133"
"アネックスチェックイン新橋","105-0004","東京都港区新橋三丁目10番10号",,"2005/5/25","17港み生環き第16号","旅館・ホテル営業","59","95"
"Ｈｏｔｅｌ　ｏｗｌ　Ｔｏｋｙｏ　Ｓｈｉｎｂａｓｈｉ（ホテル　オウル　トーキョー　シンバシ）","105-0004","東京都港区新橋三丁目15番7号","2階","2019/1/7","30港み生環き第129号","簡易宿所営業","1","25"
"カプセルホテル新橋","105-0004","東京都港区新橋三丁目16番4号",,"1991/5/20","3港芝総衛環き第6号","簡易宿所営業","3","42"
"カプセルイン新橋","105-0004","東京都港区新橋三丁目21番3号",,"2018/10/23","30港み生環き第97号","簡易宿所営業","6","98"
"カプセルホテル安心お宿新橋店","105-0004","東京都港区新橋三丁目21番6号",,"2010/11/24","22港み生環き第122号","簡易宿所営業","4","140"
"ＨＯＴＥＬ　ＡＳＴＲＯ２","105-0004","東京都港区新橋三丁目22番5号","菊ビル2階","2022/7/1","4港み生環き第17号","旅館・ホテル営業","2","4"
"相鉄フレッサイン新橋烏森口","105-0004","東京都港区新橋四丁目10番2号",,"2008/4/14","17港み生環き第153号","旅館・ホテル営業","220","370"
"レインボーホテル","105-0004","東京都港区新橋四丁目15番6号",,"1983/1/10","57港芝保衛環き第63号","簡易宿所営業","36","62"
"Ｔｈｅ　Ｔｅｒｒａｃｅ　Ｈｏｓｔｅｌ　Ｓｈｉｎｂａｓｈｉ","105-0004","東京都港区新橋四丁目15番7号","ル・グランシエルBLDG34 3階、4階、5階","2020/7/27","2港み生環き第29号","簡易宿所営業","2","18"
"ＴＨＥ　ＨＯＴＥＬ　ＳＨＩＮＢＡＳＨＩ（ザ　ホテル　シンバシ）","105-0004","東京都港区新橋四丁目20番1号",,"2014/4/3","25港み生環き第205号","旅館・ホテル営業","20","40"
"東急ステイ新橋","105-0004","東京都港区新橋四丁目23番1号",,"2014/5/9","24港み生環き第175号","旅館・ホテル営業","221","443"
"ｂｎｂ＋　和　－Ｓｈｉｎｂａｓｈｉ－（ビーエヌビープラス　ワ　－シンバシ－）","105-0004","東京都港区新橋五丁目1番5号","ル・グラシエルBLDG.11 3階","2017/11/29","29港み生環き第134号","簡易宿所営業","1","28"
"ｂｎｂ　ｐｌｕｓ　新橋店","105-0004","東京都港区新橋五丁目1番5号","3階","2021/2/1","2港み生環き第196号","簡易宿所営業","1","26"
"スーパーホテル新橋・烏森口","105-0004","東京都港区新橋五丁目16番4号",,"2008/4/22","18港み生環き第78号","旅館・ホテル営業","74","148"
"ｕｎｉｔｏ　ｌｉｇｈｔ　ＳＨＩＭＢＡＳＨＩ","105-0004","東京都港区新橋五丁目20番1号","ル・グラシエルビル5号館4階","2022/8/24","4港み生環き第62号","簡易宿所営業","1","22"
"ＬＯＦ　ＨＯＴＥＬ　Ｓｈｉｍｂａｓｈｉ","105-0004","東京都港区新橋五丁目23番4号",,"2021/5/26","3港み生環き第23号","旅館・ホテル営業","49","98"
"Ｙホテル新橋","105-0004","東京都港区新橋五丁目28番7号",,"2018/12/4","30港み生環き第123号","旅館・ホテル営業","2","8"
"Ｒｏｏｍｓ（ルームス）","105-0004","東京都港区新橋五丁目29番2号","新正堂第2ビル2階","2018/1/10","29港み生環き第84号","簡易宿所営業","1","5"
"ホテル１８９９東京","105-0004","東京都港区新橋六丁目4番1号",,"2018/11/22","30港み生環き第87号","旅館・ホテル営業","63","126"
"アパホテル＜新橋御成門＞","105-0004","東京都港区新橋六丁目10番3号",,"2011/6/8","23港み生環き第20号","旅館・ホテル営業","153","228"
"ＨＯＴＥＬ　ＬｉＶＥＭＡＸ　ＢＵＤＧＥＴ新橋","105-0004","東京都港区新橋六丁目20番1号",,"2012/11/22","24港み生環き第123号","旅館・ホテル営業","63","123"
"ホテルウィングインターナショナル新橋御成門","105-0004","東京都港区新橋六丁目20番8号",,"2019/9/20","31港み生環き第21号","旅館・ホテル営業","93","186"
"ヒルトン東京お台場","135-0091","東京都港区台場一丁目9番1号",,"1996/2/6","4港芝総衛環き第67号","旅館・ホテル営業","453","906"
"グランドニッコー東京　台場","135-0091","東京都港区台場二丁目6番1号",,"2005/6/28","17港み生環き第49号","旅館・ホテル営業","882","2132"
"ｎｅｓｔａｙ　ｖｉｌｌａ　ｔｏｋｙｏ　ｔａｋａｎａｗａ","108-0074","東京都港区高輪一丁目16番11号",,"2020/11/26","2港み生環き第92号","旅館・ホテル営業","1","6"
"ファンプロジェクト・ハウス","108-0074","東京都港区高輪一丁目19番11号","4階","2020/5/1","31港み生環き第224号","旅館・ホテル営業","1","6"
"Ｋｏｒｕ　Ｔａｋａｎａｗａ　Ｇａｔｅｗａｙ　Ｈｏｓｔｅｌ，Ｃａｆｅ　＆　Ｂａｒ　","108-0074","東京都港区高輪二丁目6番7号",,"2018/4/27","29港み生環き第138号","簡易宿所営業","3","10"
"東急ステイ高輪（泉岳寺駅前）","108-0074","東京都港区高輪二丁目16番29号",,"2018/2/2","28港み生環き第164号","旅館・ホテル営業","177","354"
"アパホテル＜品川　泉岳寺駅前＞","108-0074","東京都港区高輪二丁目16番30号",,"2015/11/26","26港み生環き第187号","旅館・ホテル営業","563","1126"
"ＡＲＡＩＹＡ（アライヤ）","108-0074","東京都港区高輪二丁目17番1号",,"2016/5/6","27港み生環き第211号","簡易宿所営業","2","5"
"ＳＬＥＥＰＬＡＢ高輪","108-0074","東京都港区高輪三丁目10番38号","TimeCamp高輪4階","2023/2/16","4港み生環き第178号","旅館・ホテル営業","3","6"
"グランドプリンスホテル高輪","108-0074","東京都港区高輪三丁目13番1号",,"1971/3/15","46芝保旅指第1号","旅館・ホテル営業","388","816"
"グランドプリンスホテル新高輪","108-0074","東京都港区高輪三丁目13番1号",,"1982/4/19","53港芝保衛環き第46号","旅館・ホテル営業","908","1994"
"ザ・プリンスさくらタワー東京","108-0074","東京都港区高輪三丁目13番1号",,"1998/9/29","7港芝総衛環き第48号","旅館・ホテル営業","288","636"
"都シティ　東京高輪","108-0074","東京都港区高輪三丁目19番17号",,"2018/12/27","30港み生環き第6号","旅館・ホテル営業","199","597"
"Ｐａｎｇｏｏ品川１０１","108-0074","東京都港区高輪四丁目6番10号","Pangoo品川101","2023/12/25","5港み生環き第194号","旅館・ホテル営業","1","3"
"Ｐａｎｇｏｏ品川１０２","108-0074","東京都港区高輪四丁目6番10号","Pangoo品川102","2023/12/25","5港み生環き第195号","旅館・ホテル営業","1","3"
"Ｐａｎｇｏｏ品川１０４","108-0074","東京都港区高輪四丁目6番10号","Pangoo品川104","2023/12/25","5港み生環き第196号","旅館・ホテル営業","1","3"
"Ｐａｎｇｏｏ品川１０５","108-0074","東京都港区高輪四丁目6番10号","Pangoo品川105","2023/12/25","5港み生環き第197号","旅館・ホテル営業","1","3"
"Ｐａｎｇｏｏ品川２０１","108-0074","東京都港区高輪四丁目6番10号","Pangoo品川201","2023/12/25","5港み生環き第198号","旅館・ホテル営業","1","3"
"品川東武ホテル","108-0074","東京都港区高輪四丁目7番6号",,"2000/3/13","11港み生環き第176号","旅館・ホテル営業","190","284"
"東京療院新館","108-0074","東京都港区高輪四丁目9番16号",,"2010/3/3","21港み生環き第94号","旅館・ホテル営業","15","37"
"京急ＥＸホテル高輪","108-0074","東京都港区高輪四丁目10番8号",,"2011/11/7","23港み生環き第73号","旅館・ホテル営業","163","330"
"品川プリンスホテルイーストタワー","108-0074","東京都港区高輪四丁目10番30号",,"1978/7/11","53港芝保衛環き第6号","旅館・ホテル営業","919","919"
"品川プリンスホテルＮタワー","108-0074","東京都港区高輪四丁目10番30号",,"1986/6/23","59港芝保衛環き第8号","旅館・ホテル営業","257","524"
"品川プリンスホテルメインタワー","108-0074","東京都港区高輪四丁目10番30号",,"1994/11/22","2港芝総衛環き第18号","旅館・ホテル営業","1727","3694"
"品川プリンスホテルアネックスタワー","108-0074","東京都港区高輪四丁目10番30号",,"2002/4/24","11港み生環き第63号","旅館・ホテル営業","651","1342"
"別館ホテル品川","108-0074","東京都港区高輪四丁目21番4号",,"1960/4/11","第15号","旅館・ホテル営業","14","36"
"東横ＩＮＮ品川駅高輪口","108-0074","東京都港区高輪四丁目23番2号",,"2000/2/15","11港み生環き第143号","旅館・ホテル営業","180","276"
"アンダーズ東京","105-0001","東京都港区虎ノ門一丁目23番4号",,"2014/6/4","25港み生環き第127号","旅館・ホテル営業","164","656"
"ホテル虎ノ門ヒルズ","105-0001","東京都港区虎ノ門二丁目6番4号","1階、11～14階","2023/11/28","5港み生環き第139号","旅館・ホテル営業","205","480"
"Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ","105-0001","東京都港区虎ノ門二丁目10番4号",,"2019/8/30","28港み生環き第11号","旅館・ホテル営業","508","2032"
"東京ＥＤＩＴＩＯＮ虎ノ門","105-0001","東京都港区虎ノ門四丁目1番1号","31階～36階","2020/8/25","31港み生環き第280号","旅館・ホテル営業","206","618"
"ＴＨＥ　ＣＥＮＴＲＡＬ　ＴＯＫＹＯ　ＡＰＡＲＴＭＥＮＴ","105-0001","東京都港区虎ノ門四丁目2番4号","クレッセント虎ノ門9階","2022/4/21","3港み生環き第279号","旅館・ホテル営業","1","5"
"ホテル　グランツ　カスカータ","106-0031","東京都港区西麻布一丁目3番2号",,"2015/11/19","26港み生環き第179号","旅館・ホテル営業","26","56"
"ＨＯＴＥＬ　Ａｚａｂｕ（ホテル　アザブ）","106-0031","東京都港区西麻布一丁目3番21号",,"1999/12/21","11港み生環き第76号","旅館・ホテル営業","10","20"
"サウナ＆キャビン　テルマー湯　西麻布","106-0031","東京都港区西麻布一丁目7番2号","ECONACH西麻布 地下1階～3階","2023/4/25","4港み生環き第243号","簡易宿所営業","8","36"
"ホテルＳ（ホテルエス）","106-0031","東京都港区西麻布一丁目11番6号",,"2012/9/4","24港み生環き第64号","旅館・ホテル営業","47","102"
"ホテル港","106-0031","東京都港区西麻布一丁目13番17号",,"2022/10/31","3港み生環き第125号","旅館・ホテル営業","11","24"
"アパホテル＜西麻布＞","106-0031","東京都港区西麻布四丁目4番5号",,"2000/12/28","11港み生環き第88号","旅館・ホテル営業","193","375"
"ＩＴ１（アイティワン）","105-0003","東京都港区西新橋一丁目11番6号",,"2019/1/21","30港み生環き第140号","旅館・ホテル営業","10","34"
"ｔｈｅ　ｂ　新橋","105-0003","東京都港区西新橋一丁目17番13号",,"2017/8/17","28港み生環き第38号","旅館・ホテル営業","109","224"
"ｂｎｂ＋　Ｔｒｉｐ　Ｃｏｍｍｕｎｉｔｙ　Ｔｏｋｙｏ　Ｔｈｒｅｅ","105-0003","東京都港区西新橋一丁目23番10号","南和ビル3階","2017/10/6","29港み生環き第88号","簡易宿所営業","1","20"
"Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　５","105-0003","東京都港区西新橋一丁目23番10号","南和ビル5階","2019/7/18","31港み生環き第55号","旅館・ホテル営業","1","12"
"Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　６","105-0003","東京都港区西新橋一丁目23番10号","南和ビル6階","2019/8/13","31港み生環き第56号","旅館・ホテル営業","1","13"
"Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　７","105-0003","東京都港区西新橋一丁目23番10号","南和ビル7階","2019/7/9","31港み生環き第44号","旅館・ホテル営業","1","13"
"アパホテル＜新橋　虎ノ門＞","105-0003","東京都港区西新橋二丁目6番9号",,"2014/3/25","25港み生環き第4号","旅館・ホテル営業","153","265"
"日比谷シティホテル","105-0003","東京都港区西新橋二丁目8番10号",,"2009/4/15","20港み生環き第185号","旅館・ホテル営業","35","48"
"ファーストキャビン愛宕山","105-0003","東京都港区西新橋三丁目10番7号",,"2015/10/19","27港み生環き第7号","簡易宿所営業","5","150"
"ホテルマイステイズプレミア浜松町","105-0013","東京都港区浜松町一丁目8番5号",,"2016/6/10","28港み生環き第10号","旅館・ホテル営業","120","441"
"東武ハイライン大門２０１","105-0013","東京都港区浜松町一丁目12番2号","東武ハイライン大門201","2020/2/6","31港み生環き第203号","旅館・ホテル営業","1","4"
"ＢＡＹ　ＨＯＴＥＬ　東京浜松町","105-0013","東京都港区浜松町一丁目16番9号",,"2020/3/4","30港み生環き第152号","旅館・ホテル営業","51","118"
"Ｓｅｃｔｉｏｎ　Ｌ　Ｈａｍａｍａｔｓｕｃｈｏ","105-0013","東京都港区浜松町一丁目16番11号",,"2023/3/17","4港み生環き第180号","旅館・ホテル営業","29","65"
"ホテルマイステイズ浜松町","105-0013","東京都港区浜松町一丁目18番14号",,"2009/6/1","19港み生環き第75号","旅館・ホテル営業","105","290"
"名鉄イン浜松町","105-0013","東京都港区浜松町一丁目19番14号",,"2016/3/7","26港み生環き第224号","旅館・ホテル営業","144","297"
"変なホテル東京　浜松町","105-0013","東京都港区浜松町一丁目24番11号",,"2018/4/26","29港み生環き第231号","旅館・ホテル営業","118","205"
"ナインアワーズ浜松町","105-0013","東京都港区浜松町一丁目25番10号",,"2020/2/27","31港み生環き第173号","簡易宿所営業","8","206"
"スーパーホテル東京・浜松町","105-0013","東京都港区浜松町二丁目2番1号",,"2019/2/15","30港み生環き第178号","旅館・ホテル営業","99","199"
"ホテルリラサーレ東京","105-0013","東京都港区浜松町二丁目7番10号",,"2022/3/29","3港み生環き第102号","旅館・ホテル営業","40","54"
"三交インＧｒａｎｄｅ東京浜松町","105-0013","東京都港区浜松町二丁目7番18号",,"2014/8/13","26港み生環き第49号","旅館・ホテル営業","120","251"
"花築タワーホテル","106-0044","東京都港区東麻布一丁目13番7号",,"2019/1/30","30港み生環き第111号","旅館・ホテル営業","10","27"
"ＬｉｖｅＧＲＡＣＥ麻布芝公園Ｈｏｔｅｌ","106-0044","東京都港区東麻布一丁目13番7号",,"2023/4/17","4港み生環き第195号","旅館・ホテル営業","5","18"
"Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｔｏｋｙｏ　Ａｚａｂｕ（ゲストハウストーキョーアザブ）","106-0044","東京都港区東麻布一丁目17番9号","アネックス東麻布3階・4階","2017/9/1","29港み生環き第69号","簡易宿所営業","2","42"
"Ｉｎ　Ｔｈｅ　Ｈｏｏｄ　Ｈｉｇａｓｈｉ　Ａｚａｂｕ（インザフッドヒガシアザブ）","106-0044","東京都港区東麻布一丁目27番7号",,"2019/2/20","30港み生環き第154号","旅館・ホテル営業","14","30"
"ＺＡＢＵＴＴＯＮ（ザブトン）","106-0044","東京都港区東麻布一丁目29番20号",,"2015/1/21","26港み生環き第73号","簡易宿所営業","5","18"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　２０１","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 201","2022/8/19","3港み生環き第251号","旅館・ホテル営業","1","3"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　２０２","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 202","2022/8/19","3港み生環き第252号","旅館・ホテル営業","1","3"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　３０１","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 301","2022/8/19","3港み生環き第253号","旅館・ホテル営業","1","3"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　３０２","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 302","2022/8/19","3港み生環き第254号","旅館・ホテル営業","1","3"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　４０１","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 401","2022/8/19","3港み生環き第255号","旅館・ホテル営業","1","3"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵ　ＥＡＳＴ　４０２","106-0044","東京都港区東麻布二丁目4番11号","Ken’s Place AZABU EAST 402","2022/8/19","3港み生環き第256号","旅館・ホテル営業","1","3"
"ホテルアルファイン","106-0044","東京都港区東麻布二丁目8番3号",,"1973/3/26","第41号","旅館・ホテル営業","26","52"
"Ｋｅｎ’ｓ　Ｐｌａｃｅ　ＡＺＡＢＵＤＡＩ","106-0044","東京都港区東麻布二丁目9番5号",,"2021/4/30","2港み生環き第179号","旅館・ホテル営業","10","36"
"ｌｉｎ　ｅｔｏｆｆｅ（ラン　エトッフ）","106-0044","東京都港区東麻布二丁目12番7号","1階","2018/6/29","30港み生環き第36号","旅館・ホテル営業","1","3"
"ｈｏｔｅｌ　ａｚａｂｕ　ｔｅｎ","106-0044","東京都港区東麻布二丁目26番8号",,"2019/4/12","28港み生環き第165号","旅館・ホテル営業","10","28"
"Ｙ１１　ｈｏｔｅｌ　ａｚａｂｕ　ｔｅｎ","106-0044","東京都港区東麻布二丁目26番8号",,"2023/5/25","4港み生環き第255号","旅館・ホテル営業","9","22"
"２２６９ＡＺＡＶＵ","106-0044","東京都港区東麻布二丁目26番9号",,"2021/8/17","3港み生環き第85号","旅館・ホテル営業","14","31"
"オークウッドホテルアンドアパートメンツ麻布","106-0044","東京都港区東麻布三丁目10番5号",,"2022/1/31","3港み生環き第207号","旅館・ホテル営業","171","375"
"ザ　ロイヤルパークホテルアイコニック　東京汐留","105-0021","東京都港区東新橋一丁目6番3号","1階、24～38階","2003/6/11","14港み生環き第67号","旅館・ホテル営業","490","1105"
"パークホテル東京","105-0021","東京都港区東新橋一丁目7番1号",,"2003/7/25","12港み生環き第55号","旅館・ホテル営業","272","510"
"コンラッド東京","105-0021","東京都港区東新橋一丁目9番1号",,"2005/6/14","17港み生環き第26号","旅館・ホテル営業","290","592"
"ヴィラフォンテーヌグランド東京汐留","105-0021","東京都港区東新橋一丁目9番2号",,"2007/3/14","18港み生環き第144号","旅館・ホテル営業","497","1867"
"ｕｎｉｔｏ　ＳＨＩＯＤＯＭＥ","105-0021","東京都港区東新橋二丁目3番16号",,"2021/4/9","2港み生環き第234号","旅館・ホテル営業","44","88"
"豪華カプセルホテル安心お宿プレミア新橋汐留店","105-0021","東京都港区東新橋二丁目7番8号",,"2016/11/8","28港み生環き第93号","簡易宿所営業","5","180"
"三井ガーデンホテル汐留イタリア街","105-0021","東京都港区東新橋二丁目14番24号",,"2007/4/9","17港み生環き第131号","旅館・ホテル営業","370","811"
"スマイルホテル品川泉岳寺駅前","108-0073","東京都港区三田三丁目11番26号",,"2022/11/8","4港み生環き第113号","旅館・ホテル営業","120","240"
"わさび三田ホテル","108-0073","東京都港区三田三丁目14番13号","クロス三田2階","2023/8/8","5港み生環き第53号","簡易宿所営業","2","60"
"わさび三田ホテル","108-0073","東京都港区三田三丁目14番13号","クロス三田5階","2024/3/18","5港み生環き第205号","簡易宿所営業","3","54"
"南青山１ｓｔ","107-0062","東京都港区南青山一丁目4番3号",,"2019/7/24","30港み生環き第221号","旅館・ホテル営業","4","14"
"Ｒｅａｌ　Ｌｉｆｅ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山一丁目8番3号",,"2020/8/17","31港み生環き第242号","旅館・ホテル営業","3","17"
"東急ステイ青山プレミア","107-0062","東京都港区南青山二丁目27番18号",,"2008/3/26","19港み生環き第108号","旅館・ホテル営業","170","376"
"ホテル　アドネス","107-0062","東京都港区南青山四丁目3番2号","2階、3階","2019/2/22","30港み生環き第180号","簡易宿所営業","2","14"
"ＩＮＮ　ＴＨＥ　ＯＭＯＴＥＳＡＮＤＯ","107-0062","東京都港区南青山五丁目1番25号","メゾン・ド・ラミアビル7階","2023/6/8","4港み生環き第224号","旅館・ホテル営業","5","13"
"オリンピックイン麻布","106-0047","東京都港区南麻布一丁目7番37号",,"1992/10/12","4港麻総衛環き第20号","旅館・ホテル営業","85","103"
"葡道","106-0047","東京都港区南麻布一丁目19番3号",,"2019/2/13","30港み生環き第58号","旅館・ホテル営業","1","9"
"東京華館","106-0047","東京都港区南麻布二丁目7番25号","ストーク麻布3階","2021/11/24","3港み生環き第130号","簡易宿所営業","3","5"
"ＭＯＮＯ","106-0047","東京都港区南麻布三丁目2番4号",,"2019/10/15","31港み生環き第102号","旅館・ホテル営業","1","9"
"ＩＢＡＳＨＯ　Ｈｉｒｏｏ　７Ｆ","106-0047","東京都港区南麻布四丁目13番8号","プランドール南麻布7階","2019/9/2","31港み生環き第52号","旅館・ホテル営業","1","6"
"Ｇｏｅｍｏｎ　Ｈｉｒｏｏ","106-0047","東京都港区南麻布四丁目13番8号","プランドール南麻布4階","2023/8/29","5港み生環き第58号","旅館・ホテル営業","1","5"
"スピアハウス","106-0047","東京都港区南麻布四丁目13番8号","プランドール南麻布7階","2023/12/1","5港み生環き第148号","旅館・ホテル営業","1","4"
"ヴィラフォンテーヌグランド東京六本木","106-0032","東京都港区六本木一丁目6番2号",,"2007/3/14","18港み生環き第150号","旅館・ホテル営業","189","615"
"アパホテル＜六本木ＳＩＸ＞Ａ棟","106-0032","東京都港区六本木二丁目3番9号",,"2011/10/31","22港み生環き第142号","旅館・ホテル営業","142","240"
"アパホテル＜六本木ＳＩＸ＞Ｂ棟","106-0032","東京都港区六本木二丁目3番10号",,"2020/6/30","2港み生環き第65号","旅館・ホテル営業","191","383"
"アパホテル＜六本木ＳＩＸ＞Ｃ棟","106-0032","東京都港区六本木二丁目3番11号",,"2020/6/30","2港み生環き第66号","旅館・ホテル営業","191","383"
"アパホテル＜六本木ＳＩＸ＞Ｄ棟","106-0032","東京都港区六本木二丁目3番13号",,"2020/6/30","2港み生環き第67号","旅館・ホテル営業","192","385"
"アパホテル＜六本木ＳＩＸ＞Ｅ棟","106-0032","東京都港区六本木二丁目4番1号",,"2020/6/30","2港み生環き第68号","旅館・ホテル営業","183","367"
"アパホテル＜六本木ＳＩＸ＞Ｆ棟","106-0032","東京都港区六本木二丁目4番15号",,"2020/6/30","2港み生環き第69号","旅館・ホテル営業","102","205"
"コンフォートイン東京六本木","106-0032","東京都港区六本木三丁目9番8号",,"2020/12/25","2港み生環き第157号","旅館・ホテル営業","114","236"
"相鉄フレッサイン東京六本木","106-0032","東京都港区六本木三丁目10番1号",,"2017/9/29","29港み生環き第77号","旅館・ホテル営業","201","402"
