全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_英字,分別区分,備考
133035,133035GMLT000526,瑞穂町,全域,貴金属,Precious metal,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000528,瑞穂町,全域,木くず 長さ50cm・太さ10cm以上のもの,Wood chips 50 cm long and 10 cm thick or more,粗大ごみ,リサイクルプラザに申込む ※1m50㎝以下に切ってから
133035,133035GMLT000527,瑞穂町,全域,木くず 長さ50cm・太さ10cm未満のもの,Wood chips less than 50 cm in length and 10 cm in thickness,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000535,瑞穂町,全域,キックボード 50cm以上のもの,Kickboard 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000538,瑞穂町,全域,キッチンカウンター 50cm以上のもの,Kitchen counter 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000539,瑞穂町,全域,キッチンストッカー 50cm以上のもの,Kitchen stocker 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000540,瑞穂町,全域,キッチンタオル・キッチンペーパー,"Kitchen towels, kitchen paper",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000542,瑞穂町,全域,キッチンマット 50cm以上のもの,Kitchen mats 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000541,瑞穂町,全域,キッチンマット 50cm未満のもの,Kitchen mats less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000543,瑞穂町,全域,キッチンワゴン,Kitchen wagon,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000537,瑞穂町,全域,木づち（かけや） 50cm以上のもの,Wooden hammer (kakeya) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000536,瑞穂町,全域,木づち（かけや） 50cm未満のもの,Wooden hammer (kakeya) Less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000544,瑞穂町,全域,杵（きね）,Pestle,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000546,瑞穂町,全域,木の根・木の幹 長さ50cm・太さ10cm以上のもの,Tree roots and tree trunks 50 cm in length and 10 cm or more in thickness,粗大ごみ,リサイクルプラザに申込む ※根の土を落とし、1m50㎝以下に切ってから
133035,133035GMLT000545,瑞穂町,全域,木の根・木の幹 長さ50cm・太さ10cm未満のもの,Tree roots and tree trunks less than 50 cm in length and 10 cm in thickness,燃やせるごみ,1束直径30㎝以内にして、ひもで束ねる（1回につき3束まで）
133035,133035GMLT000548,瑞穂町,全域,木箱 50cm以上のもの,Wooden box 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000547,瑞穂町,全域,木箱 50cm未満のもの,Wooden box less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000549,瑞穂町,全域,着物,Clothing,布,透明又は半透明の袋に入れる
133035,133035GMLT000553,瑞穂町,全域,キャスターハンガー 50cm以上のもの,Caster hanger 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000552,瑞穂町,全域,脚立（きゃたつ） 50cm以上のもの,Stepladder 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000551,瑞穂町,全域,脚立（きゃたつ） 金属,"Stepladder, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT000554,瑞穂町,全域,キャッシュカード,Cash card,燃やせるごみ,町指定収集袋（クリーム色） ※個人情報漏洩防止のため切ってから
133035,133035GMLT000555,瑞穂町,全域,キャビネット 50cm以上のもの,Cabinets 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000556,瑞穂町,全域,キャリア（車用） 50cm以上のもの,Carrier (for car) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000558,瑞穂町,全域,キャリーケース 50cm以上のもの,Carrying case 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000557,瑞穂町,全域,キャリーケース 50cm未満のもの,Carrying case less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000560,瑞穂町,全域,キャンパス 50cm以上のもの,Campus 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000559,瑞穂町,全域,キャンパス 50cm未満のもの,Campus Less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000562,瑞穂町,全域,キャンピングテーブル 50cm以上のもの,Camping table 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000561,瑞穂町,全域,キャンピングテーブル 50cm未満のもの,Camping table less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000563,瑞穂町,全域,救急箱 木,First aid kit Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000564,瑞穂町,全域,救急箱 金属,First aid kit Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000565,瑞穂町,全域,救急箱 プラスチック・複合素材,"First aid kit Plastic, composite materials",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000569,瑞穂町,全域,吸水性スポンジ（生花用）,Water absorbent sponge (for fresh flowers),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000568,瑞穂町,全域,急須（きゅうす） ガラス,"Kyusu (teapot), glass",ガラス,バケツ・カゴなどに入れる
133035,133035GMLT000567,瑞穂町,全域,急須（きゅうす） 金属,"Kyusu (teapot), metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT000566,瑞穂町,全域,急須（きゅうす） 陶器,"Kyusu (teapot), Pottery",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000571,瑞穂町,全域,給湯器（湯沸器） 50cm以上のもの,Water heater (water heater) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000570,瑞穂町,全域,給湯器（湯沸器） 50cm未満のもの,Water heaters (water heaters) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000572,瑞穂町,全域,給湯用ボイラー,Boilers for hot water supply,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT000578,瑞穂町,全域,吸盤,Sucker,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000580,瑞穂町,全域,給油ポンプ（自動式） 50cm以上のもの,Fueling pump (automatic type) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000582,瑞穂町,全域,給油ポンプ（手動式） 50cm以上のもの,Fueling pump (manual type) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000579,瑞穂町,全域,給油ポンプ（自動式） 50cm未満のもの,Fueling pump (automatic type) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000581,瑞穂町,全域,給油ポンプ（手動式） 50cm未満のもの,Fueling pump (manual type) Less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000583,瑞穂町,全域,教科書,Textbook,雑誌,ひもで束ねる
133035,133035GMLT000584,瑞穂町,全域,鏡台（ドレッサー）,Mirror stand (dresser),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000586,瑞穂町,全域,キリ（錐）,Kiri (cone),金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT000587,瑞穂町,全域,切り花,Cut flowers,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000755,瑞穂町,全域,琴 50cm以上のもの,Koto 50cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000754,瑞穂町,全域,琴 50cm未満のもの,Koto less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000588,瑞穂町,全域,禁煙パイプ,Artificial cigarette used to avoid smoking,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000589,瑞穂町,全域,金庫（大型）,Safe (large),処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT000590,瑞穂町,全域,金庫（手さげ）,Safe (hand-held),金属,バケツ・カゴなどに入れる
133035,133035GMLT000591,瑞穂町,全域,金属バット,Metal bat,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000524,瑞穂町,全域,キーホルダー 金属,"Key chain, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT000525,瑞穂町,全域,キーホルダー 複合素材,Key chain composite material,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000522,瑞穂町,全域,キーボード（楽器） 50cm以上のもの,Keyboard (musical instrument) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000521,瑞穂町,全域,キーボード（楽器） 50cm未満のもの,Keyboard (musical instrument) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000523,瑞穂町,全域,キーボード（パソコン用） 50cm未満のもの,Keyboard (for computer) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000531,瑞穂町,全域,ギター 50cm以上のもの,Guitar 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000529,瑞穂町,全域,ギター 木,Guitar Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000534,瑞穂町,全域,ギターケース 50cm以上のもの,Guitar case 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000533,瑞穂町,全域,ギターケース ソフトケース,Guitar Case Soft Case,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000532,瑞穂町,全域,ギターケース ハードケース・複合素材,"Guitar Cases Hard Case, Composite Material",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000530,瑞穂町,全域,ギター 複合素材,Guitars Composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000573,瑞穂町,全域,牛乳パック,Milk carton,紙パック,中身をカラにし、きれいに洗って開き、ひもでしばる
133035,133035GMLT000574,瑞穂町,全域,牛乳びん ガラス,Milk bottle Glass,ビン,バケツ・カゴなどに入れる
133035,133035GMLT000577,瑞穂町,全域,牛乳びんのふた 金属,Milk bottle lid Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000575,瑞穂町,全域,牛乳びんのふた 紙,Milk bottle caps Paper,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000576,瑞穂町,全域,牛乳びんのふた プラスチック,Milk bottle lid Plastic,容器包装プラスチック,きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT000585,瑞穂町,全域,業務用事務機器,Business office equipment,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT000593,瑞穂町,全域,空気入れ 50cm以上のもの,Air pumps 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000592,瑞穂町,全域,空気入れ 50cm未満のもの,Air pumps less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000595,瑞穂町,全域,空気清浄機 50cm以上のもの,Air purifier 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000594,瑞穂町,全域,空気清浄機 50cm未満のもの,Air purifier Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000603,瑞穂町,全域,釘（くぎ）,Nail,金属,バケツ・カゴなどに入れる ※スチール缶の中に入れ、テープでふたをする
133035,133035GMLT000604,瑞穂町,全域,釘抜き,Nail puller,金属,バケツ・カゴなどに入れる
133035,133035GMLT000606,瑞穂町,全域,草刈がま,Grass sickle,金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT000607,瑞穂町,全域,草刈機,Lawn mower,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000610,瑞穂町,全域,草焼きバーナー,Grass burner,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000608,瑞穂町,全域,鎖（くさり） 金属,Chain Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000609,瑞穂町,全域,鎖（くさり） プラスチック,Chain Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000605,瑞穂町,全域,草・葉,Grass & Leaves,燃やせるごみ,透明又は半透明の袋に入れ、1回につき40リットル相当の袋で3袋まで
133035,133035GMLT000612,瑞穂町,全域,串（くし） 金属,Skewer (comb) Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000615,瑞穂町,全域,櫛（くし） 金属,Comb Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000614,瑞穂町,全域,櫛（くし） 竹・木,"Comb (comb) bamboo, wood",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000611,瑞穂町,全域,串（くし） 竹・プラスチック,"Skewer (comb) Bamboo, plastic",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000613,瑞穂町,全域,櫛（くし） プラスチック,Comb Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000616,瑞穂町,全域,薬（処方されたもの）,Medications (as prescribed),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000617,瑞穂町,全域,果物ナイフ,Fruit knife,金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT000618,瑞穂町,全域,果物のネット・保護材 発泡スチロール・プラスチック,Fruit nets and protectors Styrofoam and plastic,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT000619,瑞穂町,全域,口紅,Lipstick,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000621,瑞穂町,全域,口紅の容器 金属,Lipstick Container Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000622,瑞穂町,全域,口紅の容器 複合素材,Lipstick containers Composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000620,瑞穂町,全域,口紅の容器 プラスチック,Lipstick Container Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT000626,瑞穂町,全域,クッション 50cm以上のもの,Cushion 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000625,瑞穂町,全域,クッション 50cm未満のもの,Cushion less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000627,瑞穂町,全域,クッションカバー,Cushion cover,布,透明又は半透明の袋に入れる
133035,133035GMLT000629,瑞穂町,全域,クッションの中身（ビーズ・発泡スチロール・パイプ・ウレタン等） 50cm以上のもの,"Cushion contents (beads, Styrofoam, pipes, urethane, etc.) 50 cm or longer",粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000628,瑞穂町,全域,クッションの中身（ビーズ・発泡スチロール・パイプ・ウレタン等） 50cm未満のもの,"Cushion contents (beads, Styrofoam, pipes, urethane, etc.) Less than 50 cm",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000623,瑞穂町,全域,靴（シューズ）,Shoes,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000624,瑞穂町,全域,靴下,Socks,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000633,瑞穂町,全域,靴のラック 50cm以上のもの,Shoe racks 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000630,瑞穂町,全域,靴のラック 木,Shoe rack wooden,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000631,瑞穂町,全域,靴のラック 金属,Shoe Rack Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000632,瑞穂町,全域,靴のラック プラスチック・複合素材,Shoe racks Plastic and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000636,瑞穂町,全域,靴べら 木,Shoehorn Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000635,瑞穂町,全域,靴べら 金属,Shoehorn Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000634,瑞穂町,全域,靴べら プラスチック,Shoehorn Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000637,瑞穂町,全域,靴みがき（クリーム・ブラシ）,"Shoe polish (cream, brush)",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000638,瑞穂町,全域,首輪 革,Collar Leather,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000639,瑞穂町,全域,首輪 複合素材,Collars Composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000643,瑞穂町,全域,熊手 50cm以上のもの,Rake 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000640,瑞穂町,全域,熊手 木,Rake Tree,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000641,瑞穂町,全域,熊手 金属,Rake Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000642,瑞穂町,全域,熊手 プラスチック・複合素材,Rake Plastic and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000647,瑞穂町,全域,クリアファイル,Clear file,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000653,瑞穂町,全域,クリスマスツリー 50cm以上のもの,Christmas tree 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000652,瑞穂町,全域,クリスマスツリー 50cm未満のもの,Christmas trees less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000654,瑞穂町,全域,クリップ,Clip,金属,バケツ・カゴなどに入れる
133035,133035GMLT000648,瑞穂町,全域,クリーニング店のハンガー 金属 ※できるだけクリーニング店に返却,Hangers from dry cleaners Metal *Returned to dry cleaners as much as possible,金属,バケツ・カゴなどに入れる
133035,133035GMLT000649,瑞穂町,全域,クリーニング店のハンガー プラスチック ※できるだけクリーニング店に返却,Hangers from dry cleaners Plastic *Returned to dry cleaners as much as possible,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000650,瑞穂町,全域,クリーニングの袋,Cleaning bag,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000651,瑞穂町,全域,クリーンボックス（ごみ収集庫） 50cm以上のもの,Clean box (Garbage collection box) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000655,瑞穂町,全域,車椅子,Wheelchair,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000656,瑞穂町,全域,車のカバー,Car Covers,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000657,瑞穂町,全域,車の部品（タイヤ・ホイール等）,"Car parts (tires, wheels, etc.)",処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT000659,瑞穂町,全域,車のマット 50cm以上のもの,Car mats 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000658,瑞穂町,全域,車のマット 50cm未満のもの,Car mats less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000660,瑞穂町,全域,クレヨン・クレパス,Crayon/pastel crayons,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000664,瑞穂町,全域,クロス（壁紙） 50cm以上のもの,Cloth (wallpaper) 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT000663,瑞穂町,全域,クロス（壁紙） 50cm未満のもの,Cloth (wallpaper) Less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色） ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT000665,瑞穂町,全域,鍬（くわ）,Hoe,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000596,瑞穂町,全域,クーハン（ベビーバスケット）,Cohan (Baby Basket),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000597,瑞穂町,全域,クーラー,Cooler,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT000598,瑞穂町,全域,クーラーバッグ,Cooler bag,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000600,瑞穂町,全域,クーラーボックス 50cm以上のもの,Cooler box 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000599,瑞穂町,全域,クーラーボックス 50cm未満のもの,Cooler box less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000601,瑞穂町,全域,クールサーバー ガラス,Cool Server Glass,ガラス,バケツ・カゴなどに入れる
133035,133035GMLT000602,瑞穂町,全域,クールサーバー プラスチック・複合素材,Cool Servers Plastic & Composite Materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000646,瑞穂町,全域,グラスウール（断熱材） 50cm以上のもの,Glass wool (insulation material) 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT000645,瑞穂町,全域,グラスウール（断熱材） 50cm未満のもの,Glass wool (insulation material) Less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色） ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT000644,瑞穂町,全域,グラス ガラス,Glass Glass,ガラス,バケツ・カゴなどに入れる
133035,133035GMLT000661,瑞穂町,全域,グローブ,Glove,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000662,瑞穂町,全域,グローランプ（点灯管）,Glow Lamps (Lighting Tubes),燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000666,瑞穂町,全域,軍手,Cotton gloves,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000667,瑞穂町,全域,蛍光管・蛍光灯,Fluorescent Tubes/Fluorescent Lamps,有害ごみ,透明又は半透明の袋に入れる
133035,133035GMLT000668,瑞穂町,全域,携帯音楽プレーヤー,Portable Music Player,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000669,瑞穂町,全域,携帯電話,Cellular telephone,燃やせないごみ,できるだけ販売店へ返却 ※町指定収集袋（水色）
133035,133035GMLT000670,瑞穂町,全域,携帯電話の電池パック,Cell phone battery pack,有害ごみ,できるだけ販売店へ返却 ※透明又は半透明の袋に入れる
133035,133035GMLT000671,瑞穂町,全域,携帯トイレ,Portable toilet,燃やせるごみ,町指定収集袋（クリーム色） ※汚物は取り除く
133035,133035GMLT000674,瑞穂町,全域,携帯用灰皿 金属,Portable ashtrays Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000673,瑞穂町,全域,携帯用灰皿 硬質プラスチック,Portable ashtray Rigid plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000672,瑞穂町,全域,携帯用灰皿 軟質プラスチック,Portable ashtray Flexible plastic,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000675,瑞穂町,全域,携帯ラジオ,Portable radio,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000676,瑞穂町,全域,毛糸,Knitting wool,布,透明又は半透明の袋に入れる
133035,133035GMLT000681,瑞穂町,全域,計量カップ 金属,Measuring cups Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000680,瑞穂町,全域,計量カップ 硬質プラスチック,Measuring cup Rigid plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000679,瑞穂町,全域,計量カップ 紙・軟質プラスチック,"Measuring cups Paper, soft plastic",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000678,瑞穂町,全域,計量器 50cm以上のもの,Measuring instrument 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000677,瑞穂町,全域,計量器 50cm未満のもの,Measuring instruments Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000682,瑞穂町,全域,軽量ブロック,Lightweight Blocks,処理できません,専門業者へ相談してください
133035,133035GMLT000692,瑞穂町,全域,毛皮,Fur,布,透明又は半透明の袋に入れる
133035,133035GMLT000693,瑞穂町,全域,消しゴム,Eraser,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000695,瑞穂町,全域,化粧品の容器 ガラス,Cosmetics containers Glass,ビン,バケツ・カゴなどに入れる
133035,133035GMLT000694,瑞穂町,全域,化粧品の容器 金属,Cosmetics containers Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000697,瑞穂町,全域,化粧品の容器 スプレー缶,Cosmetics containers Spray cans,有害ごみ,中身を使いきり、穴をあけ、透明又は半透明の袋に入れる
133035,133035GMLT000696,瑞穂町,全域,化粧品の容器 プラスチック,Cosmetic containers Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT000700,瑞穂町,全域,ケチャップの容器 ガラス,Ketchup container Glass,ビン,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT000701,瑞穂町,全域,ケチャップの容器 プラスチック,Ketchup container Plastic,容器包装プラスチック,きれいに洗って、透明又は半透明の袋に入れる
133035,133035GMLT000703,瑞穂町,全域,血圧計 水銀式,Sphygmomanometer Mercury type,有害ごみ,透明又は半透明の袋に入れる
133035,133035GMLT000702,瑞穂町,全域,血圧計 電子式,Sphygmomanometer Electronic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000704,瑞穂町,全域,毛抜き,(hair) tweezers,金属,バケツ・カゴなどに入れる
133035,133035GMLT000705,瑞穂町,全域,煙式殺虫剤の外装 プラスチック,Exterior of smoke insecticide Plastic,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT000706,瑞穂町,全域,煙式殺虫剤の中身,Smoke insecticide contents,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000708,瑞穂町,全域,煙式殺虫剤の容器 金属,Container for smoke insecticide Metal,カン,バケツ・カゴなどに入れる
133035,133035GMLT000707,瑞穂町,全域,煙式殺虫剤の容器 プラスチック,Container for smoke insecticide Plastic,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT000709,瑞穂町,全域,牽引ロープ,Tow rope,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000713,瑞穂町,全域,健康器具 50cm以上のもの,Health appliances 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000712,瑞穂町,全域,健康器具 50cm未満のもの,Health appliances Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000714,瑞穂町,全域,剣山（けんざん）,Needle-point holder (in ikebana),金属,バケツ・カゴなどに入れる
133035,133035GMLT000715,瑞穂町,全域,建築廃材,Construction waste,処理できません,専門業者へ相談してください
133035,133035GMLT000717,瑞穂町,全域,剣道用具,Kendo Equipment,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000683,瑞穂町,全域,ケーキの箱,Cake box,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる ※汚れているものは燃やせるごみへ
133035,133035GMLT000686,瑞穂町,全域,ケージ（ペット用） 50cm以上のもの,Cage (for pets) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000684,瑞穂町,全域,ケージ（ペット用） 木,Cage (for pets) Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000685,瑞穂町,全域,ケージ（ペット用） 金属,Cage (for pets) Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000687,瑞穂町,全域,ケーブル,Cable,金属,バケツ・カゴなどに入れる
133035,133035GMLT000698,瑞穂町,全域,下駄,Geta,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000699,瑞穂町,全域,下駄箱,Shoe rack ,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000711,瑞穂町,全域,玄関マット 50cm以上のもの,Entrance mat 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000710,瑞穂町,全域,玄関マット 50cm未満のもの,Entrance mat less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000716,瑞穂町,全域,原付バイク,Motorcycle,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT000689,瑞穂町,全域,ゲーム機（家庭用） 50cm以上のもの,Game consoles (for home use) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
