自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数,B　蔵書数図書総数(冊),B　蔵書数図書総数内訳うち児童資料,B　蔵書数図書総数内訳うち外国語資料,B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）,B　蔵書数図書総数内訳うち閉架資料 ,B　蔵書数雑誌（種） ,B　蔵書数新聞（種）,B　蔵書数レコード（枚） ,B　蔵書数カセット（巻） ,B　蔵書数 ＣＤ（枚） ,B　蔵書数ＬＤ（枚）,B　蔵書数ビデオ（巻）,B　蔵書数DVD（枚）,B　蔵書数フィルム（巻）,B　蔵書数その他（点） ,C　サービス・貸出・予約来館者数（人）       ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)   ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)内訳うち児童      ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人)       ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊),C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち自治体内貸出数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち児童資料      ,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち視聴覚資料   ,C　サービス・貸出・予約団体貸出団体数      ,C　サービス・貸出・予約団体貸出貸出冊数（冊）      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳23区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳多摩地区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳他県その他へ      ,C　サービス・貸出・予約予約受付予約受付総数(冊),C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳所蔵資料を提供 ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳購入して提供      ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳都立から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳23区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳多摩地区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳他県から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳国会     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳大学等     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳不明     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳未提供等,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用館外貸出可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用機器提供館数,E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,F　運営形態・ボランティアの受入運営形態直営(委託なし）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外業務あり,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入配架・製本・補修（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円）図書館費(a+b+c+d+e+f)（一般職員給料は除く） ,G　図書館の予算（千円）経常費資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ),G　図書館の予算（千円）経常費 a ア図書費（千円）,G　図書館の予算（千円）経常費 a ア図書費（千円）うち児童関係図書費（千円）,G　図書館の予算（千円）経常費 a イ雑誌・新聞費（千円）,G　図書館の予算（千円）経常費 a ウ視聴覚資料費（千円）,G　図書館の予算（千円）経常費 a エその他図書館資料費（千円）,G　図書館の予算（千円）経常費 a オ資料費区分せず(千円),G　図書館の予算（千円）経常費 ｂ 賃金・報酬（千円）,G　図書館の予算（千円）経常費 ｃ 講師・謝礼（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 ｅ その他の図書館費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　備考備考
練馬区,"740,417",48.08,13,6,0,0,"3,526","1,853,350","637,219","14,994","48,113","581,770","2,107",341,"1,013","1,411","99,947",0,797,"3,673",0,"7,108","3,162,883","212,165","35,460","113,375","100,714","5,656,714","5,017,550","2,157,584","407,407","1,398","138,324","7,794","7,175",334,285,"2,282,763",不明,不明,"12,240",781,"10,686",447,157,169,0,0,79,"185,401",12,"10,530",0,12,2,0,0,2,0,0,0,0,0,0,10,33,3,56.5,54.6,0,0,0,2,0,2,1,0,1,0,0,11,0,11,13,0,1,0,"1,976,547","196,925","148,921","11,317","30,650","4,624","12,730",0,0,"6,422","1,606,857","1,606,857","154,222","12,121",0,令和２年４月４日（土）、５日（日）と４月１１日（土）から５月２７日（水）まで、全１２図書館１分室で新型コロナウィルス感染症拡大防止対策のため臨時休館。
足立区,"691,190",53.25,15,6,0,0,"4,138","1,435,771","423,351",不明,"25,943",不明,"2,468",226,0,0,"19,285",0,"1,739","2,552",0,0,"1,548,980","165,881","17,037",不明,不明,"2,307,038",不明,"845,001","54,199","2,542","62,090","10,753","10,415",305,33,"875,750",不明,不明,"4,431",141,"4,045",232,不明,6,不明,7,不明,"72,755",1,"27,533",0,15,1,0,0,1,0,0,0,0,0,0,14,19,4,29,27,2,0,0,1,1,0,1,0,1,0,1,14,0,14,15,0,1,0,"620,328","152,446","126,228",不明,"24,677","1,541",0,0,0,"1,230","327,820","327,820","71,726","67,106",0,"令和2年4月11日から5月27日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
予約受付数のうち、Web・携帯予約分722,618件は受付館が存在しないため、中央図書館に一括計上。
図書館の予算に図書館システムの経費、地域図書館の指定管理料、区雇用の非常勤職員の報酬は含まず。
職員数に、一部業務委託業者の従業員は含まず。"
葛飾区,"463,176",34.8,13,2,0,0,"3,172","1,276,098","305,090","12,528","54,116",不明,"1,622",170,28,"1,993","37,755",0,323,"4,722",0,16,"1,754,423","210,537","19,208",不明,不明,"2,596,862",不明,"735,684","125,074","1,689","27,936","6,324","6,046",236,42,"866,667",不明,不明,"8,903",258,"8,282",327,不明,30,不明,6,不明,"99,189",2,"7,290",1,8,3,0,0,5,2,0,0,0,0,0,0,45,7,142.8,83.4,42.7,不明,12,1,0,1,0,1,13,0,0,0,0,0,9,0,7,1,"1,225,539","129,194","95,820","32,196","23,531","5,010","4,833",0,"322,410","1,364","328,951","231,107","325,363","118,257","38,027","新型コロナウイルス感染症の拡大防止のため令和2年4月9日から5月31日まで休館。（新宿図書センターは令和2年4月1日から5月31日まで休館。）
同様に、令和3年1月8日から3月21日まで休館。"
江戸川区,"694,630",49.9,12,0,0,0,"3,597","1,542,418","464,172","7,377","32,517","374,900","1,954",253,0,0,"69,147",0,0,"14,114",0,0,未取得,"220,723","38,261","86,663","81,100","4,160,212","3,699,472","851,480","267,553",451,"96,486","5,763",不明,不明,不明,"1,015,718",不明,不明,"4,601",不明,不明,不明,不明,不明,不明,"4,601",不明,"73,190",1,565,1,11,8,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,9,0,1,0,"2,511,406","202,659","146,782","43,862","32,464","12,008","11,405",0,0,0,"1,345,447","1,345,447","266,682","696,618",0,令和2年4月8日から5月26日まで緊急事態宣言発出のため全館で臨時休館
区部計,"9,569,414",618.97,228,41,0,0,"62,450","27,897,028","7,009,093","271,633","852,468","5,724,397","36,355","4,025","29,186","23,268","1,143,654","2,684","21,878","102,114","6,076","8,456","29,001,661","3,320,629","369,846","989,418","690,768","62,891,475","27,815,019","19,179,669","3,761,698","33,010","1,267,793","164,070","130,135","9,159","1,824","21,158,022","11,159,591","68,396","141,298","7,809","118,169","5,485",548,699,51,"8,527","552,983","2,313,299",86,"659,309",28,188,109,5,4,44,16,1,0,2,0,32,99,672,196,767.4,516.3,93.9,5.1,12,81,49,7,49,26,101,0,23,136,81,55,187,13,76,8,"27,020,024","2,841,347","2,074,198","299,015","427,488","124,222","123,003","92,436","1,282,925","53,455","15,809,842","12,754,458","3,570,542","3,461,913","352,000",
八王子市,"561,344",186.38,9,0,0,0,"2,322","1,673,982","441,473","7,742","70,456","1,000,431",866,179,"4,497","16,570","55,067","2,548","4,066","5,181",未取得,"2,980","885,160","117,666","9,677","44,898","42,752","1,878,502","1,804,817","577,115","100,547",114,"37,141","3,263",600,"2,645",18,"718,488",不明,不明,"9,236","2,143",984,"6,084",13,6,6,0,不明,"78,700",1,"17,580",2,0,2,1,0,4,1,5,0,0,0,0,0,40,10,76.7,74.8,48.1,11.7,0,9,5,0,9,0,9,0,9,0,0,0,4,4,4,0,"795,653","73,037","59,445",不明,"12,158","1,434",0,0,"366,350","1,373","89,725","89,725","238,768","26,400",0,"令和２年４月４・5日、４月８日～５月３１日　全館で新型コロナウィルス感染拡大防止対策のため臨時休館
図書費に電子書籍購入費、新聞雑誌費に官報購入を含む"
立川市,"184,661",24.36,9,0,0,0,"2,424","915,758","322,485","17,096","57,091","195,346",826,98,0,320,"39,809","2,593","4,557",389,"1,440",0,"478,692","59,536","8,613",不明,不明,"1,241,595",不明,"497,055","67,059",465,"84,129","3,469",327,"3,122",20,"356,672",不明,不明,"6,129","1,958",467,"3,674",23,7,0,0,不明,"44,805",1,"2,665",1,9,9,1,9,0,1,0,0,0,0,0,0,28,16,18.8,14.2,8.8,0,0,1,0,0,0,1,1,0,1,8,0,8,9,0,1,0,"639,257","74,163","57,631",不明,"13,128","3,143",261,0,"14,860","2,298","348,880","302,932","199,056",0,0,令和２年４月２日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
武蔵野市,"147,975",10.98,3,0,0,0,701,"952,300","189,098","10,574","27,997","485,466","1,310",112,0,0,"11,845",0,"2,231","3,550",0,0,"1,839,244","190,658","18,422","59,758","33,056","1,963,586",不明,"638,630","37,673",32,"13,573","4,229",不明,不明,14,"561,623","554,844","3,241","3,538","1,327",不明,不明,21,62,26,"2,102",不明,"128,185",0,344,0,3,3,1,3,1,0,0,0,0,0,1,1,15,6,28.3,19,3.3,3,0,1,0,0,0,1,1,0,1,2,0,2,3,0,1,0,"892,546","88,473","62,546","3,435","21,608","3,581",738,0,"106,321","2,914","138,268","138,268","287,534","269,036",0,令和２年３月２日から６月14日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
三鷹市,"190,774",16.42,5,0,1,18,"1,019","795,396","224,052","2,302","18,800","207,804",723,66,0,"2,981","5,697",0,0,0,0,72,"547,171","88,589","8,652","41,883","36,040","1,370,808","1,268,830",不明,不明,323,"23,794","3,449",不明,不明,不明,"305,506","255,417",74,"1,357",267,94,942,7,0,0,47,"48,658","16,473",1,"1,087",1,5,3,5,0,3,2,0,0,0,0,0,0,26,12,22.1,14,6.2,1.3,0,5,0,0,0,0,5,0,0,0,0,0,5,4,1,3,"323,531","71,277","59,895",不明,"9,416",372,"1,594",0,"79,287","1,280","40,562","40,562","129,595","1,530",0,"・令和２年２月29日から３月15日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
・令和２年３月28日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
・令和２年９月７日から９月22日まで、全館でシステム更新のための臨時休館。"
青梅市,"131,661",103.31,10,0,0,0,"2,872","594,555","175,611",不明,"24,279","177,154",539,67,0,0,"11,214",0,0,"8,094",0,0,"193,627","51,526","6,628",不明,不明,"621,635",不明,"176,849","71,066",126,"5,707","2,687",105,"2,574",8,"31,589","26,531",797,"4,237","1,654",251,"2,304",0,20,8,0,24,"6,086",1,"3,798",0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1,4,0,0,"312,789","38,990","26,171",0,"6,376","3,685",597,"2,161","214,880",218,"40,957","10,582","17,744",0,0,令和2年4月9日から5月25日まで　新型コロナウイルス感染症防止対策のため臨時休館
府中市,"260,508",29.43,13,0,0,0,"3,514","1,535,481","354,982","15,290","87,978","720,817","1,241",121,0,"8,433","43,456","3,218","8,969","8,156","4,000",0,"348,382","141,511","18,205",不明,不明,"1,502,797",不明,"453,195","121,848",39,"2,620","3,962",622,"3,312",28,"613,722","549,464",不明,"7,355","2,263",多摩地区からに含む,"5,022",9,49,12,0,"56,903","66,257",1,"3,315",1,1,1,0,0,0,1,0,0,0,0,0,0,20,6,20,16,73,19,0,12,0,0,0,12,12,0,0,1,0,1,13,0,13,0,"807,610","111,459","78,759",不明,"18,500","5,100","9,100",0,"77,740",571,"315,706","315,706","302,134",0,0,「年間開館日数」について、新型コロナウイルス感染症拡大防止対策のため、令和２年４月11日から６月２日まで、全館で臨時休館となった。
昭島市,"113,542",17.34,4,1,2,14,996,"418,637","116,973","1,817","54,268","151,796",361,21,0,412,"3,772",0,0,80,0,0,"336,560","32,868","5,918","32,868","30,560","631,495","566,383","199,985","8,667",69,"6,551","3,735",119,"3,607",9,"135,308","128,848","1,101","5,359","1,664",386,"3,245",41,23,0,0,0,"5,906",1,102,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,0,1,"38,940","38,940","33,000",不明,"4,510","1,430",0,0,0,0,0,0,0,0,0,市民図書館、緑分館は令和２年４月１日から５月10日まで新型コロナウイルス感染症拡大防止対策のため臨時休館。昭和分館とやまのかみ分室は令和２年４月１日から６月７日まで新型コロナウイルス感染症拡大防止対策のため臨時休館。
調布市,"238,087",21.58,11,0,0,0,"2,582","1,385,389","271,592","7,363","78,554",不明,"1,148",115,0,"1,683","7,978",0,"4,920","2,866",426,238,"333,510","82,196","9,861","82,196","68,679","1,942,966",不明,"494,292","32,560",379,"20,696","4,193",513,"3,660",20,"580,226","570,754",不明,"9,472","3,828",764,"4,582",25,79,124,70,不明,"51,804",1,"12,796",0,11,1,0,0,1,0,0,0,0,0,0,0,63,47,115.4,33.6,0,0,0,11,0,0,0,11,11,0,11,0,0,0,0,11,11,2,"502,957","84,741","60,619",不明,"16,829","2,277","5,016",0,"202,838","5,932","132,542","132,542","57,885","19,019",0,新型コロナウイルス感染拡大防止のため，令和２年４月１日～５月３１日まで全館休館。令和３年４月１日時点で閲覧席は半数程度減。
町田市,"429,645",71.55,8,4,3,60,"1,936","1,171,761","263,580","5,024","64,474","341,259",741,83,0,825,"31,542","4,824","3,037","2,608",0,0,"1,397,115","455,332",不明,"93,971","79,393","2,696,724","2,462,989","806,521","77,878",176,"14,495","4,363",694,"3,629",40,"606,915",不明,不明,"8,119","3,006",759,"4,206",22,97,29,0,不明,"41,897",1,"35,272",1,1,1,0,0,0,1,0,0,0,0,0,0,46,11,107.9,95.5,9,0.8,0,8,0,1,0,1,8,0,8,0,0,0,8,0,8,0,"395,150","45,168","33,162",不明,"9,287",358,"2,361",0,420,"1,510","116,659","63,478","231,393",0,0,令和2年度は、令和2年4月1日から6月7日まで、新型コロナウイルス感染拡大防止対策のため全館で臨時休館。
小金井市,"124,078",11.3,4,1,0,0,"1,092","503,493","175,529","1,427","16,294","184,080",387,76,0,6,"16,828",0,0,0,0,0,"203,585","161,078","4,531","19,808","17,988","792,539","736,672","338,826","36,186",172,"12,015","1,344",36,"1,306",2,"218,949","215,118",不明,"3,737","1,177",233,"2,288",10,29,0,0,94,"7,836",1,"4,553",0,2,1,1,0,0,1,0,0,0,0,0,0,13,5,18.8,18.8,0.7,0,0,4,2,0,4,0,4,0,1,0,0,0,4,0,1,0,"155,061","46,999","42,749","12,700","3,159",436,655,0,"46,924",683,"19,423","12,313","38,094","2,938",0,令和２年４月８日から５月19日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
小平市,"195,207",20.51,11,0,0,0,"2,521","1,176,864","345,997","1,471","70,020","422,102",822,77,"1,312","6,550","6,534","1,845","1,277","1,289",0,0,"415,985","153,597","11,181","29,907","27,093","1,144,296","1,060,816","387,712","8,918",0,0,"6,324",544,"5,747",33,"289,249","254,167","2,379","4,606","1,744",356,"2,475",16,15,0,0,"28,097","15,100",1,"40,352",0,8,2,0,0,5,3,0,0,0,0,0,0,42,5,50,0,0,0,0,11,0,0,0,0,11,0,11,0,0,0,1,1,8,1,"637,748","48,479","37,002","9,927","10,958",47,472,0,"116,815",744,"147,905","18,381","323,805",0,0,令和２年４月１日から６月８日まで、令和３年４月２８日から５月３１日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
日野市,"187,048",27.55,7,0,1,21,"1,842","846,872","182,505","1,275","63,142","191,413","1,008",171,13,14,"4,422",0,354,299,0,0,"359,640","28,341","3,440","28,253","25,595","1,342,530",不明,"436,372","10,753",53,"27,104","4,892",408,"4,420",64,"501,974","493,964",不明,"7,757","2,950",536,"4,107",100,64,0,0,253,"76,120",1,"2,755",0,7,7,0,0,0,7,0,0,0,0,0,0,26,20,43.3,6,0,0,0,7,0,0,0,0,7,0,1,0,0,0,1,0,7,0,"246,628","61,139","46,810",不明,"11,384",309,"2,636",0,"51,867","2,191","38,944","25,778","92,487",0,0,令和２年４月８日から５月３１日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
東村山市,"151,259",17.14,5,0,0,0,"1,219","721,715","270,346","10,536","27,343","394,252",294,56,0,831,"13,267",0,0,0,0,0,未取得,未取得,未取得,"21,366","19,344","903,670","814,972","393,544","16,281",583,"27,759","5,958",295,"5,649",14,"232,070","225,767",不明,"6,064","1,964",443,"3,629",9,19,0,0,239,"13,830",1,"1,313",0,5,5,0,0,5,4,0,0,0,0,0,0,23,15,33.8,31.3,4.7,1.4,0,5,0,0,5,0,5,0,0,0,0,0,5,5,5,5,"206,318","39,440","33,329","11,929","4,860",591,660,0,"116,257",564,"23,825","6,467","24,384","1,848","1,650",令和２年３月２日から６月８日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
国分寺市,"127,272",11.46,6,2,0,0,"1,518","598,213","180,619","2,014","19,784","119,424",327,54,"1,224",0,"9,679",0,0,0,0,0,未取得,"53,871","6,599","17,484","16,005","649,027","618,192","237,330","12,604",207,"10,882","2,069",147,"1,918",4,"196,329","187,398","2,460","6,446","2,542",312,"3,558",14,9,3,8,25,"6,967",0,未取得,0,6,1,0,0,4,1,0,0,0,0,0,0,15,3,12.1,12.1,5.1,1.2,0,6,0,4,0,6,6,0,0,0,0,0,0,5,0,1,"283,754","28,171","22,119",不明,"5,326",230,496,0,"39,300",535,"78,480","78,348","137,268",0,0,令和２年３月２日から６月２日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
国立市,"76,423",8.15,2,4,0,0,532,"356,719","101,171",不明,"21,382",不明,294,32,0,0,"2,808",0,0,0,0,0,未取得,"25,322",不明,"12,203","10,563","386,718","363,411","135,373","3,586",180,"3,812","1,522",多摩地区へに含む,"1,522",不明,"82,651","69,413",不明,"2,716",783,多摩地区からに含む,"1,931",0,2,他県からに含む,0,"10,522","8,170",1,"4,156",0,2,0,1,2,0,1,0,0,0,0,0,0,11,6,24,13.7,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,"130,125","25,050","20,615",不明,"4,060",不明,375,0,"54,597","1,438","23,097","23,097","25,943",0,0,"・分室（「サービスポイント」ではない）を５か所設置しており、その分も含めた数値である。
・令和２年４月９日～５月２５日まで、新型コロナウイルス感染拡大防止のため全館で臨時休館。"
福生市,"56,786",10.16,4,0,0,0,"1,036","462,072","140,547",不明,"41,551",0,372,53,0,"1,870","10,011",0,"3,765","1,410",0,0,"213,824","8,588","1,327","8,588","6,668","429,394",不明,"124,772","23,962",25,"7,020","2,561",不明,不明,不明,"52,176","50,270",236,"1,305",614,61,626,0,4,0,0,365,"1,987",1,"2,386",0,1,1,0,0,1,0,0,0,0,0,0,0,16,7,20.5,15.2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,"166,388","23,709","16,023","4,487","5,681","1,555",450,0,"41,804",475,"16,769","4,648","38,811","44,820",0,令和２年４月８日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
狛江市　,"83,218",6.39,1,5,0,0,250,"299,798","101,754","1,461","14,176","109,325",187,16,0,0,129,0,0,0,0,0,"125,675","24,228","4,173","10,631","9,704","425,072","385,341","177,398","5,056",59,"7,796","1,509",94,"1,414",1,"115,733","98,857","2,296","4,751",975,200,"3,550",16,10,0,0,"9,829",未取得,0,"4,894",0,1,0,1,1,1,0,0,0,0,0,0,0,6,4,13,10.6,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,"78,532","21,979","13,120","2,624","2,198",0,781,"5,880","26,366",630,"9,000","9,000","20,557",0,0,"数値については、図書館設置条例に含まれない図書室分を含む
令和２年３月28日から５月31日まで、全館・室で新型コロナウイルス感染症拡大防止対策のため臨時休館
座席数：感染症対策による減"
東大和市,"85,294",13.42,3,0,1,5,673,"469,991","139,955","2,580","16,123",不明,352,34,0,75,"10,624",0,0,0,0,0,"153,057","331,999","4,540","6,972",不明,"494,072",不明,"128,479","23,196","5,289","24,607","4,687",不明,不明,不明,"84,773","77,444","3,096","4,107","1,315",多摩地区からに含む,"2,674",62,56,他県からに含む,0,126,"6,132",1,"19,106",3,3,3,0,0,1,2,0,0,0,0,0,0,15,5,12,11,13.3,2.3,2,1,0,0,0,1,0,0,0,0,0,0,3,0,1,1,"117,938","32,949","25,882",不明,"4,201",550,"2,316",0,"60,812",369,303,303,"23,505",0,0,"令和2年3月5日～5月27日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
（5月28日～6月3日　臨時窓口で予約資料の受け取りのみ実施。※開館日に含めた。）"
清瀬市,"74,972",10.23,6,0,0,0,"1,357","405,185","101,463","2,333","6,759","47,170",167,26,"1,119","1,622","8,276",498,"6,648","3,030",0,222,"263,700","92,257","3,454","12,549","9,063","419,835","417,617","142,700","21,995",31,"8,466","3,388",129,"3,258",1,"135,814","124,422","1,798","5,918","2,188",237,"3,480",3,10,0,0,"3,676","4,058",0,795,0,0,0,0,0,0,0,0,0,1,0,0,0,11,6,37.2,28.9,4.4,0.4,0,6,0,0,0,6,6,0,0,0,0,0,6,0,0,0,"148,575","23,474",不明,不明,"2,993",不明,481,"20,000","78,759",130,"6,896","2,324","39,316",0,0,令和2年4月1日から5月26日まで新型コロナウイルス感染症拡大防止のため、全館で臨時休館
東久留米市,"117,020",12.88,4,0,0,0,949,"478,962","152,872","6,598","13,438","218,883",442,47,0,"1,447","23,370",0,13,825,0,0,未取得,"12,826","1,659","12,826","9,530","502,802",不明,"160,246","37,645",131,"4,279","1,299",24,"1,274",1,"149,058","144,241",不明,"4,785","1,639",229,"2,913",4,0,0,0,32,"3,581",1,321,0,4,1,0,0,1,0,0,0,0,0,2,2,5,3,7.9,7.9,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,1,1,0,"347,780","37,974","30,794",不明,"5,745",450,985,0,"20,668",365,"254,851","254,641","32,974",948,0,"① 令和2年4月3日～5日・4月9日～5月27日、新型コロナウイルス感染拡大防止のため全館で臨時休館。
② 令和2年6月1日～3年3月31日、大規模改修工事のため中央図書館は休館（臨時窓口開設期間あり）。
③ 令和3年4月1日から、中央図書館も指定管理者による管理運営に移行。
④ 登録者については有効登録者を登録者として計上。"
武蔵村山市,"72,000",15.32,2,0,0,0,"1,626","317,756","122,621",361,"3,604","28,715",173,26,0,222,"6,865",0,0,0,0,233,未取得,"40,722","2,093","5,918","5,367","226,159","207,380","78,209","5,672",36,"2,280","2,279",97,"2,180",2,"46,982","40,026",863,"2,732",960,155,"1,616",0,1,0,0,"3,361","1,129",0,205,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,21.5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,"105,570","15,207","11,975","4,675","2,876",356,0,0,"59,614",54,"5,686","5,636","25,009",0,0,令和２年４月４日から６月１０日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
多摩市,"148,411",21.01,8,0,0,0,"2,068","742,380","195,854","4,132","41,000","258,789",635,81,0,"1,903","10,724",0,162,280,0,34,未取得,"47,216","5,449","25,998","22,144","1,193,437","1,079,314","256,127","28,079",122,"20,892","6,173",443,"5,709",21,"404,795","352,086","2,843","8,065","3,270",484,"4,126",9,119,他県からに含む,57,"41,801","45,957",3,"55,283",8,8,8,1,8,2,2,0,0,0,0,0,0,29,15,42,39,16.2,0,0,8,1,0,8,0,8,0,8,0,0,0,7,0,0,0,"1,266,462","55,447","40,575","8,330","10,021",500,"4,351",0,"171,825","1,020","91,882","56,527","68,399","877,889","20,000","令和２年４月８日?５月２４日全館臨時休館　
所蔵資料（一部除く）にＩＣタグを貼付、電子図書館導入、デジタルアーカイブ、混雑状況お知らせサービス開始、(関戸図書館・永山図書館にはＩＣタグ関連機器も導入）"
