"市区町村コード","番号","都道府県名","市区町村名","住宅の所在地","住宅の方書","制限区域","管理業者名","届出年月日","URL","備考","最終確認日","経度","緯度","分類"
"131148","104","東京都","中野区","東京都中野区中野1-19-8","RAPIOnakano102","外","株式会社ホーヨー東京","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.676449494358","35.7047419693955","住宅宿泊事業届出住宅一覧"
"131148","105","東京都","中野区","東京都中野区中野1-19-8","RAPIOnakano201","外","株式会社ホーヨー東京","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.676449494358","35.7047419693955","住宅宿泊事業届出住宅一覧"
"131148","106","東京都","中野区","東京都中野区中野1-19-8","RAPIOnakano202","外","株式会社ホーヨー東京","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.676449494358","35.7047419693955","住宅宿泊事業届出住宅一覧"
"131148","107","東京都","中野区","東京都中野区中野1-36-13","","内","","2020/10/22 0:00:00","","","2021/02/02 0:00:00","139.676113503042","35.7039679665416","住宅宿泊事業届出住宅一覧"
"131148","108","東京都","中野区","東京都中野区中野5-1-10","101","内","SAMURAI合同会社","2018/10/11 0:00:00","","","2021/02/02 0:00:00","139.67168850312","35.7065539665507","住宅宿泊事業届出住宅一覧"
"131148","109","東京都","中野区","東京都中野区中野5-22-23","","内","","2019/04/23 0:00:00","","","2021/02/02 0:00:00","139.670254487659","35.7090869716958","住宅宿泊事業届出住宅一覧"
"131148","110","東京都","中野区","東京都中野区中野5-46-5","東陽ハウス301","外","有限会社曽根東陽","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.666866512799","35.7083359633249","住宅宿泊事業届出住宅一覧"
"131148","111","東京都","中野区","東京都中野区中野5-46-5","東陽ハウス302","外","有限会社曽根東陽","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.666866512799","35.7083359633249","住宅宿泊事業届出住宅一覧"
"131148","112","東京都","中野区","東京都中野区中野6-1-6","","内","","2018/07/27 0:00:00","","","2021/02/02 0:00:00","139.677791473998","35.7062419759999","住宅宿泊事業届出住宅一覧"
"131148","113","東京都","中野区","東京都中野区中野6-26-5","","内","","2020/03/09 0:00:00","","","2021/02/02 0:00:00","139.674206483957","35.7071909729381","住宅宿泊事業届出住宅一覧"
"131148","114","東京都","中野区","東京都中野区中野6-28-7","ファインビル101","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","115","東京都","中野区","東京都中野区中野6-28-7","ファインビル102","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","116","東京都","中野区","東京都中野区中野6-28-7","ファインビル201","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","117","東京都","中野区","東京都中野区中野6-28-7","ファインビル202","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","118","東京都","中野区","東京都中野区中野6-28-7","ファインビル301","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","119","東京都","中野区","東京都中野区中野6-28-7","ファインビル302","外","MIRAIRIS株式会社","2020/03/12 0:00:00","","","2021/02/02 0:00:00","139.672695490639","35.707343970711","住宅宿泊事業届出住宅一覧"
"131148","120","東京都","中野区","東京都中野区上高田1-32-2","東中野1/4apartment1","内","ソコノチカラヲ","2019/01/28 0:00:00","","","2021/02/02 0:00:00","139.676861447589","35.7096099844381","住宅宿泊事業届出住宅一覧"
"131148","121","東京都","中野区","東京都中野区上高田1-32-2","4/1apartment202","内","ソコノチカラヲ","2019/07/12 0:00:00","","","2021/02/02 0:00:00","139.676861447589","35.7096099844381","住宅宿泊事業届出住宅一覧"
"131148","122","東京都","中野区","東京都中野区上高田1-32-2","東中野1/4apartment3","内","ソコノチカラヲ","2019/01/28 0:00:00","","","2021/02/02 0:00:00","139.676861447589","35.7096099844381","住宅宿泊事業届出住宅一覧"
"131148","123","東京都","中野区","東京都中野区上高田1-32-2","4/1apartmentROOM4","内","ソコノチカラヲ","2019/03/12 0:00:00","","","2021/02/02 0:00:00","139.676861447589","35.7096099844381","住宅宿泊事業届出住宅一覧"
"131148","124","東京都","中野区","東京都中野区上高田2-16-12","中野ハイツ102","外","株式会社トラストライト","2019/10/15 0:00:00","","","2021/02/02 0:00:00","139.673855431741","35.7128939895624","住宅宿泊事業届出住宅一覧"
"131148","125","東京都","中野区","東京都中野区上高田3-4-13","","内","","2018/06/21 0:00:00","","","2021/02/02 0:00:00","139.676357419822","35.7127489929746","住宅宿泊事業届出住宅一覧"
"131148","126","東京都","中野区","東京都中野区上高田3-18-15","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.67411440494","35.7155299979616","住宅宿泊事業届出住宅一覧"
"131148","127","東京都","中野区","東京都中野区新井1-2-28","柳通りビル201","外","安原俊勝","2019/08/23 0:00:00","","","2021/02/02 0:00:00","139.669857476531","35.7104989754276","住宅宿泊事業届出住宅一覧"
"131148","128","東京都","中野区","東京都中野区新井1-31-5","","外","","2019/05/23 0:00:00","","","2021/02/02 0:00:00","139.667324472567","35.7124179772206","住宅宿泊事業届出住宅一覧"
"131148","129","東京都","中野区","東京都中野区新井1-33-1","アトレ新井103","外","株式会社CRORE","2019/12/23 0:00:00","","","2021/02/02 0:00:00","139.667934474114","35.7118869765455","住宅宿泊事業届出住宅一覧"
"131148","130","東京都","中野区","東京都中野区新井1-33-1","アトレ新井201","外","株式会社CRORE","2019/12/23 0:00:00","","","2021/02/02 0:00:00","139.667934474114","35.7118869765455","住宅宿泊事業届出住宅一覧"
"131148","131","東京都","中野区","東京都中野区沼袋1-31-9","","外","株式会社プレイズ","2019/10/09 0:00:00","","","2021/02/02 0:00:00","139.665752416792","35.7192839977607","住宅宿泊事業届出住宅一覧"
"131148","132","東京都","中野区","東京都中野区沼袋2-6-9","1F","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.667034384542","35.7218130086327","住宅宿泊事業届出住宅一覧"
"131148","133","東京都","中野区","東京都中野区沼袋2-6-9","2F","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.667034384542","35.7218130086327","住宅宿泊事業届出住宅一覧"
"131148","134","東京都","中野区","東京都中野区沼袋2-33-24","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.665172389197","35.7224660083396","住宅宿泊事業届出住宅一覧"
"131148","135","東京都","中野区","東京都中野区松が丘1-16-2","","内","株式会社プレイズ","2018/12/01 0:00:00","","","2021/02/02 0:00:00","139.672298396314","35.7174910013806","住宅宿泊事業届出住宅一覧"
"131148","136","東京都","中野区","東京都中野区松が丘1-19-3","1F","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.67176439491","35.7179450021142","住宅宿泊事業届出住宅一覧"
"131148","137","東京都","中野区","東京都中野区松が丘1-19-3","2F","内","","2018/07/06 0:00:00","","","2021/02/02 0:00:00","139.67176439491","35.7179450021142","住宅宿泊事業届出住宅一覧"
"131148","138","東京都","中野区","東京都中野区松が丘1-26-9","","外","株式会社プレイズ","2018/10/10 0:00:00","","","2021/02/02 0:00:00","139.670879386316","35.7193340055504","住宅宿泊事業届出住宅一覧"
"131148","139","東京都","中野区","東京都中野区江原町2-20-1","","外","","2020/01/22 0:00:00","","","2021/02/02 0:00:00","139.668575290792","35.7302510403417","住宅宿泊事業届出住宅一覧"
"131148","140","東京都","中野区","東京都中野区野方1-29-17","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.65850453382","35.7109869590719","住宅宿泊事業届出住宅一覧"
"131148","141","東京都","中野区","東京都中野区野方1-50-6","","外","株式会社KAGUプロ","2018/12/13 0:00:00","","","2021/02/02 0:00:00","139.654857555209","35.7107959535727","住宅宿泊事業届出住宅一覧"
"131148","142","東京都","中野区","東京都中野区野方5-7-1","202","内","神谷幸靖","2020/02/07 0:00:00","","","2021/02/02 0:00:00","139.651409524845","35.716422967732","住宅宿泊事業届出住宅一覧"
"131148","143","東京都","中野区","東京都中野区野方5-7-1","コーポK203","内","神谷幸靖","2019/10/21 0:00:00","","","2021/02/02 0:00:00","139.651409524845","35.716422967732","住宅宿泊事業届出住宅一覧"
"131148","144","東京都","中野区","東京都中野区野方6-7-2","","外","株式会社アグニス","2019/06/19 0:00:00","","","2021/02/02 0:00:00","139.652828479356","35.7206569840383","住宅宿泊事業届出住宅一覧"
"131148","145","東京都","中野区","東京都中野区野方6-20-4","","外","","2019/11/28 0:00:00","","","2021/02/02 0:00:00","139.651378466441","35.7230989901805","住宅宿泊事業届出住宅一覧"
"131148","146","東京都","中野区","東京都中野区大和町1-43-12","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.65163855036","35.7133479577873","住宅宿泊事業届出住宅一覧"
"131148","147","東京都","中野区","東京都中野区大和町1-52-2","102","内","株式会社FUNKEY","2018/09/28 0:00:00","","","2021/02/02 0:00:00","139.650371566813","35.7122499524379","住宅宿泊事業届出住宅一覧"
"131148","148","東京都","中野区","東京都中野区大和町1-52-2","202","内","株式会社FUNKEY","2018/09/28 0:00:00","","","2021/02/02 0:00:00","139.650371566813","35.7122499524379","住宅宿泊事業届出住宅一覧"
"131148","149","東京都","中野区","東京都中野区大和町1-63-9","","外","株式会社KAGUプロ","2018/10/18 0:00:00","","","2021/02/02 0:00:00","139.650020585189","35.7103499456366","住宅宿泊事業届出住宅一覧"
"131148","150","東京都","中野区","東京都中野区大和町2-9-6","","内","","2020/10/30 0:00:00","","","2021/02/02 0:00:00","139.652462523534","35.715903967406","住宅宿泊事業届出住宅一覧"
"131148","151","東京都","中野区","東京都中野区大和町4-32-5","","内","","2020/03/04 0:00:00","","","2021/02/02 0:00:00","139.643657586249","35.7134929490388","住宅宿泊事業届出住宅一覧"
"131148","152","東京都","中野区","東京都中野区若宮1-18-12","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.648052528591","35.7179069686354","住宅宿泊事業届出住宅一覧"
"131148","153","東京都","中野区","東京都中野区若宮3-3-10","211","外","","2018/06/28 0:00:00","","","2021/02/02 0:00:00","139.64585552465","35.719546971661","住宅宿泊事業届出住宅一覧"
"131148","154","東京都","中野区","東京都中野区白鷺2-3-5","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.633694593545","35.7173229532058","住宅宿泊事業届出住宅一覧"
"131148","155","東京都","中野区","東京都中野区鷺宮1-5-2","","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.64756449924","35.7216029804132","住宅宿泊事業届出住宅一覧"
"131148","156","東京都","中野区","東京都中野区鷺宮3-6-1","","外","","2018/09/27 0:00:00","","","2021/02/02 0:00:00","139.643810501356","35.7234689824621","住宅宿泊事業届出住宅一覧"
"131148","157","東京都","中野区","東京都中野区鷺宮3-18-1","","外","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.639156528234","35.7229119754344","住宅宿泊事業届出住宅一覧"
"131148","158","東京都","中野区","東京都中野区上鷺宮3-15-7","","内","","2018/11/15 0:00:00","","","2021/02/02 0:00:00","139.633373454703","35.7351190077611","住宅宿泊事業届出住宅一覧"
"131148","159","東京都","中野区","東京都中野区上鷺宮5-23-10","","内","","2020/02/06 0:00:00","","","2021/02/02 0:00:00","139.630443504053","35.7299539907114","住宅宿泊事業届出住宅一覧"
