地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
2,13121,足立区,1,05,50～99人,22,1397,836,-,1397,836,-,543230,1506026,2950985,2209730,211581,-,-,529674,1287863,1345250,1067211,129720,5892,83003
2,13121,足立区,1,06,100～199人,9,1198,658,-,1198,658,-,497062,3382440,5024937,4513411,-,-,-,511526,1329356,1571869,5048420,146470,519,275654
2,13121,足立区,1,08,300～499人,1,479,402,-,479,402,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13121,足立区,1,09,500～999人,2,1483,511,10,1493,519,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13122,葛飾区,0,00,総数,621,8570,5386,15,8559,5378,26,3263388,10210283,17318058,13036582,1888416,32383,2380,2358297,6441623,6602449,2707765,179458,13885,191055
2,13122,葛飾区,1,01,4～9人,348,2054,1270,2,2030,1250,26,641281,980713,2194071,1679641,451596,8723,87,54024,1106811,1106811,…,…,…,…
2,13122,葛飾区,1,02,10～19人,152,2053,1279,1,2054,1279,-,759375,1447268,3089122,2382184,560110,12239,113,134476,1520543,1520543,…,…,…,…
2,13122,葛飾区,1,03,20～29人,76,1845,1126,2,1847,1128,-,696323,1741158,3011206,2476924,439612,11421,-,83249,1177127,1177127,…,…,…,…
2,13122,葛飾区,1,04,30～49人,30,1111,763,1,1112,764,-,462518,1459875,2584138,2085396,243313,-,27,255402,1045755,1059791,950756,62950,9873,43887
2,13122,葛飾区,1,05,50～99人,8,520,302,-,520,302,-,239029,1186049,1765416,938588,-,-,-,826828,505559,541425,702726,74917,1590,44504
2,13122,葛飾区,1,06,100～199人,6,773,540,9,782,549,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,13122,葛飾区,1,07,200～299人,1,214,106,-,214,106,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13123,江戸川区,0,00,総数,628,9256,6172,57,9275,6198,38,3930180,11265036,20119966,15796148,1982964,116853,3811,2220190,7894334,8248797,5018330,758608,35440,292154
2,13123,江戸川区,1,01,4～9人,358,2250,1444,-,2213,1418,37,789413,1398339,2978087,2162475,663692,20061,454,131405,1463085,1463085,…,…,…,…
2,13123,江戸川区,1,02,10～19人,165,2171,1396,-,2170,1395,1,800206,1711004,3496960,2819475,539713,23387,1619,112766,1656913,1656913,…,…,…,…
2,13123,江戸川区,1,03,20～29人,55,1306,877,-,1306,877,-,543825,1338750,2637966,2133595,290732,45633,-,168006,1204601,1204601,…,…,…,…
2,13123,江戸川区,1,04,30～49人,27,1043,775,-,1043,775,-,519647,1826086,2985033,2416731,110497,1296,-,456509,1017252,1097127,914918,281907,6044,40903
2,13123,江戸川区,1,05,50～99人,17,1143,868,25,1168,890,-,634479,2691171,4449179,3737034,275176,-,1738,435231,1474219,1639558,3119153,213700,14373,159393
2,13123,江戸川区,1,06,100～199人,3,372,213,-,372,213,-,159773,509737,814403,520434,34137,-,-,259832,270643,282954,285859,11037,496,14427
2,13123,江戸川区,1,07,200～299人,1,291,229,13,304,241,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
2,13123,江戸川区,1,08,300～499人,2,680,370,19,699,389,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
1,13200,市部,0,00,総数,2138,103240,75107,1942,105115,76850,67,54278312,237426012,401362989,361310955,9135011,968218,4624,29944181,150679200,153933320,71073880,10223338,1286485,9067806
1,13200,市部,1,01,4～9人,762,4655,2910,35,4632,2889,58,1554955,2299586,5455181,4256667,990215,17602,672,190025,2923232,2923232,…,…,…,…
1,13200,市部,1,02,10～19人,563,7644,5057,128,7763,5163,9,2914021,6290696,12973694,10620245,1691873,58119,682,602775,6194808,6194808,…,…,…,…
1,13200,市部,1,03,20～29人,301,7419,4997,17,7436,5013,-,3133951,9941883,17317077,14672400,1598661,121678,986,923352,6859938,6859938,…,…,…,…
1,13200,市部,1,04,30～49人,199,7778,5145,103,7881,5236,-,3439365,9125893,18832234,16147934,1111599,178972,2078,1391651,8834773,9156925,4883533,583434,67306,394046
1,13200,市部,1,05,50～99人,147,9976,6709,23,9999,6729,-,4470710,13963940,25502294,21889400,2510381,159948,-,942565,10559689,10852667,7565607,779437,167518,538534
1,13200,市部,1,06,100～199人,91,12167,8317,91,12258,8401,-,5907457,19085771,37774607,34436423,870282,133913,206,2333783,14597167,15517613,11339123,889748,137746,1200376
1,13200,市部,1,07,200～299人,22,5375,4084,83,5458,4164,-,2917218,14270211,20093615,19552416,x,x,-,477047,4938498,5505461,6014663,742833,217124,436752
1,13200,市部,1,08,300～499人,24,9096,5456,121,9217,5570,-,4050462,14226695,25714894,24440101,x,x,-,1183548,10608685,10984649,9339938,1240760,80661,788317
1,13200,市部,1,09,500～999人,17,10890,7987,342,11232,8300,-,5971433,26891175,40668106,38373530,337128,167461,-,1789987,12530872,13466580,10964847,1681482,84646,1518576
1,13200,市部,1,10,1000人以上,12,28240,24445,999,29239,25385,-,19918740,121330162,197031287,176921839,-,-,-,20109448,72631538,72471447,20966169,4305644,531484,4191205
2,13201,八王子市,0,00,総数,503,15523,10293,87,15594,10357,16,6964867,19367143,40057118,36353247,1754827,328871,2586,1617587,19330761,19751651,8515644,962581,65096,947100
2,13201,八王子市,1,01,4～9人,176,1100,690,1,1086,679,15,379968,468696,1182464,912725,225806,1378,672,41883,661418,661418,…,…,…,…
2,13201,八王子市,1,02,10～19人,135,1833,1251,46,1878,1292,1,719707,1502483,3422892,2794613,400300,3655,-,224324,1781254,1781254,…,…,…,…
2,13201,八王子市,1,03,20～29人,77,1898,1279,2,1900,1280,-,823041,2048248,4021898,3349242,279009,42660,30,350957,1850152,1850152,…,…,…,…
2,13201,八王子市,1,04,30～49人,51,1986,1368,12,1998,1377,-,948628,2247351,5899371,5253735,355702,153894,1884,134156,3312059,3430678,1323709,191379,5524,142396
2,13201,八王子市,1,05,50～99人,40,2796,1809,2,2798,1810,-,1293292,3012345,6635841,5862259,492590,96222,-,184770,3279419,3394560,1944120,260965,28239,181155
2,13201,八王子市,1,06,100～199人,15,1888,1270,2,1890,1272,-,910796,2545556,5525488,4852956,1420,31062,-,640050,2628122,2901246,2127464,144985,16313,304861
2,13201,八王子市,1,07,200～299人,4,956,739,3,959,742,-,661349,1417106,2682314,2682314,-,-,-,-,1139408,1178217,787586,136393,384,70402
2,13201,八王子市,1,08,300～499人,2,773,251,2,775,252,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13201,八王子市,1,09,500～999人,2,1170,702,-,1170,702,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13201,八王子市,1,10,1000人以上,1,1123,934,17,1140,951,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13202,立川市,0,00,総数,75,3823,2323,61,3882,2375,2,1775346,7291124,9884101,8751479,639256,46956,92,446318,3151071,2799635,837712,137688,10290,89500
2,13202,立川市,1,01,4～9人,24,140,81,-,139,80,1,44340,90300,175308,151605,13057,866,-,9780,78710,78710,…,…,…,…
2,13202,立川市,1,02,10～19人,15,222,149,-,221,148,1,79016,237114,409378,351283,55271,462,-,2362,160022,160022,…,…,…,…
2,13202,立川市,1,03,20～29人,8,210,169,-,210,169,-,93414,187357,439511,256028,159671,2822,-,20990,233528,233528,…,…,…,…
2,13202,立川市,1,04,30～49人,16,619,352,5,624,352,-,247633,855095,1455058,888334,161871,-,92,404761,529167,559009,214561,38705,21,17725
2,13202,立川市,1,05,50～99人,6,364,185,-,364,185,-,144906,234639,501864,244053,249386,-,-,8425,247699,248364,86578,6224,123,7311
2,13202,立川市,1,06,100～199人,3,458,344,6,464,350,-,313839,313708,762642,756004,-,6638,-,-,412595,426315,46350,22620,505,10035
2,13202,立川市,1,08,300～499人,1,339,168,-,339,168,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
2,13202,立川市,1,09,500～999人,2,1471,875,50,1521,923,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
2,13203,武蔵野市,0,00,総数,25,347,211,6,352,211,1,148051,232341,513001,418973,17545,x,x,53149,262367,260562,x,x,-,x
2,13203,武蔵野市,1,01,4～9人,11,67,41,-,66,40,1,19396,31209,67647,64700,240,61,-,2646,33931,33931,…,…,…,…
2,13203,武蔵野市,1,02,10～19人,8,118,85,6,124,86,-,60212,105473,226545,193639,997,1873,-,30036,112519,112519,…,…,…,…
2,13203,武蔵野市,1,03,20～29人,5,125,66,-,125,66,-,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,13203,武蔵野市,1,04,30～49人,1,37,19,-,37,19,-,x,x,x,x,-,x,x,-,x,x,x,x,-,x
2,13204,三鷹市,0,00,総数,71,1611,1074,19,1629,1092,1,758252,1668674,3152523,2872030,248860,9237,-,22396,1372898,1391625,869493,53258,644,67119
2,13204,三鷹市,1,01,4～9人,26,154,97,-,153,96,1,67059,62084,178161,144094,32004,195,-,1868,107492,107492,…,…,…,…
2,13204,三鷹市,1,02,10～19人,20,266,184,-,266,184,-,111187,121440,309855,196006,98656,9042,-,6151,174485,174485,…,…,…,…
2,13204,三鷹市,1,03,20～29人,13,315,226,2,317,228,-,147197,204129,487740,406216,81524,-,-,-,262602,262602,…,…,…,…
2,13204,三鷹市,1,04,30～49人,7,272,184,3,275,187,-,119607,225005,521327,470274,36676,-,-,14377,268882,279792,201568,15089,49,7040
2,13204,三鷹市,1,05,50～99人,2,133,79,-,133,79,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13204,三鷹市,1,06,100～199人,3,471,304,14,485,318,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13205,青梅市,0,00,総数,225,7153,4965,77,7214,5026,16,3145656,11645245,18881634,17509913,986700,70701,233,314087,6253312,6937657,4625162,885023,60214,832430
2,13205,青梅市,1,01,4～9人,81,508,323,-,494,311,14,157847,306734,676993,531938,104825,-,-,40230,342888,342888,…,…,…,…
2,13205,青梅市,1,02,10～19人,62,878,588,-,876,587,2,302545,706947,1359980,1202543,154199,1329,233,1676,606761,606761,…,…,…,…
2,13205,青梅市,1,03,20～29人,34,845,597,3,848,600,-,341694,1661816,2395642,1989559,306271,8190,-,91622,681499,681499,…,…,…,…
2,13205,青梅市,1,04,30～49人,18,729,479,48,777,525,-,328253,1153140,2146517,2025187,112805,-,-,8525,885354,951426,536221,46723,10726,52000
2,13205,青梅市,1,05,50～99人,15,1126,864,12,1138,876,-,529348,1728210,2884130,2619552,193572,61182,-,9824,1105448,1116748,888863,36455,31730,56064
2,13205,青梅市,1,06,100～199人,10,1311,796,1,1312,797,-,538077,1289072,2496866,2219628,115028,-,-,162210,1081362,1135305,846850,64550,8415,72018
2,13205,青梅市,1,07,200～299人,3,735,466,-,735,466,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13205,青梅市,1,08,300～499人,1,356,289,-,356,289,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13205,青梅市,1,09,500～999人,1,665,563,13,678,575,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13206,府中市,0,00,総数,110,12958,10483,337,13294,10782,1,7638646,49227326,77049539,65784958,1045843,16313,-,10202425,25863866,23948609,7999632,1427201,42875,1213230
2,13206,府中市,1,01,4～9人,29,177,117,28,204,136,1,73483,177488,326186,293957,29472,858,-,1899,137482,137482,…,…,…,…
2,13206,府中市,1,02,10～19人,27,364,240,41,405,278,-,146228,342341,635317,548131,87064,92,-,30,273082,273082,…,…,…,…
2,13206,府中市,1,03,20～29人,16,383,278,4,387,282,-,187635,550101,909026,807179,52004,-,-,49843,332723,332723,…,…,…,…
2,13206,府中市,1,04,30～49人,7,262,203,21,283,224,-,122887,125857,330069,281087,14545,14482,-,19955,176737,191911,227273,38889,1432,6579
2,13206,府中市,1,05,50～99人,11,738,533,1,739,534,-,322285,982834,2005346,1496611,329697,881,-,178157,955747,949531,262334,20498,775,24478
2,13206,府中市,1,06,100～199人,10,1336,868,1,1337,869,-,547002,2161787,6411359,6205468,195933,-,-,9958,1589038,1742376,1571297,174838,12887,174082
2,13206,府中市,1,07,200～299人,2,529,368,6,535,374,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13206,府中市,1,08,300～499人,2,775,567,-,775,567,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13206,府中市,1,09,500～999人,3,2025,1729,203,2228,1906,-,1142575,3960769,6384617,6047489,337128,-,-,-,2317465,2341285,222952,54949,1087,78164
2,13206,府中市,1,10,1000人以上,3,6369,5580,32,6401,5612,-,4458712,35694161,53498626,43664453,-,-,-,9834173,18967247,16743467,4878117,1014211,26124,839619
2,13207,昭島市,0,00,総数,116,9829,7232,488,10311,7687,6,5501696,27193095,50666970,48174480,287270,123016,659,2081545,22212209,23344024,10393144,2185052,311304,1938727
2,13207,昭島市,1,01,4～9人,38,224,159,-,218,155,6,69111,88674,234491,172020,49609,2522,-,10340,135016,135016,…,…,…,…
2,13207,昭島市,1,02,10～19人,29,393,270,8,401,278,-,154503,304220,671030,505243,48652,3847,-,113288,339720,339720,…,…,…,…
2,13207,昭島市,1,03,20～29人,17,419,334,-,419,334,-,167731,435592,795544,634562,76710,23528,659,60085,337088,337088,…,…,…,…
2,13207,昭島市,1,04,30～49人,7,260,161,-,260,161,-,97832,265481,463087,404672,18035,1874,-,38506,205989,191384,80918,7336,176,4796
2,13207,昭島市,1,05,50～99人,8,528,407,-,528,407,-,218041,1290546,1613648,1435238,84936,-,-,93474,361096,347010,346312,42953,819,34089
2,13207,昭島市,1,06,100～199人,5,813,590,28,841,618,-,452877,2208099,4253721,3887501,9328,-,-,356892,1933278,1972789,1038307,17218,45213,55913
2,13207,昭島市,1,07,200～299人,3,651,520,18,669,536,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13207,昭島市,1,08,300～499人,7,2893,1707,74,2967,1777,-,1255570,3617031,8446276,7183799,-,91245,-,1171232,4389134,4591327,4370948,683845,42200,316693
2,13207,昭島市,1,10,1000人以上,2,3648,3084,360,4008,3421,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13208,調布市,0,00,総数,83,2049,1464,26,2071,1487,4,999267,2315211,4879952,4220775,191976,167316,-,299885,2286571,2399598,1121993,107591,39489,106958
2,13208,調布市,1,01,4～9人,37,223,108,-,220,106,3,64385,72961,187595,147466,31834,-,-,8295,106384,106384,…,…,…,…
2,13208,調布市,1,02,10～19人,26,337,218,-,336,218,1,132996,398978,711309,660399,36944,7962,-,6004,289213,289213,…,…,…,…
2,13208,調布市,1,03,20～29人,10,259,163,-,259,163,-,113016,457602,859328,720162,36275,-,-,102891,372735,372735,…,…,…,…
2,13208,調布市,1,04,30～49人,4,158,116,-,158,116,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
2,13208,調布市,1,05,50～99人,4,236,142,-,236,142,-,101318,363524,961170,752469,86923,-,-,121778,537016,557136,342344,63449,38987,21795
2,13208,調布市,1,07,200～299人,1,289,265,21,310,285,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
2,13208,調布市,1,09,500～999人,1,547,452,5,552,457,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
2,13209,町田市,0,00,総数,131,4616,2751,10,4626,2759,-,1974401,6838038,11247216,9713594,291589,38346,-,1203687,3965030,4147248,2122122,166299,20803,148110
2,13209,町田市,1,01,4～9人,47,299,177,1,300,178,-,98148,135576,314435,242830,52383,5940,-,13282,165665,165665,…,…,…,…
2,13209,町田市,1,02,10～19人,28,380,206,-,380,206,-,134310,194759,439525,359859,70027,3673,-,5966,226742,226742,…,…,…,…
2,13209,町田市,1,03,20～29人,25,607,369,-,607,369,-,253315,1942365,2611728,2502379,56453,13181,-,39715,619783,619783,…,…,…,…
2,13209,町田市,1,04,30～49人,14,558,362,7,565,368,-,262984,1036752,1775303,1320015,79974,-,-,375314,621141,704094,584814,75093,2977,39377
2,13209,町田市,1,05,50～99人,7,475,338,1,476,338,-,218089,354518,830094,823965,-,-,-,6129,431555,444138,353740,25536,-,15404
2,13209,町田市,1,06,100～199人,7,925,564,-,925,564,-,448858,2065496,3164754,2392963,32752,15552,-,723487,990000,1044840,606812,40687,459,52050
2,13209,町田市,1,08,300～499人,2,830,304,-,830,304,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13209,町田市,1,09,500～999人,1,542,431,1,543,432,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13210,小金井市,0,00,総数,14,320,244,-,320,244,-,157386,182085,388718,335261,6214,35607,-,11636,186625,191950,x,x,x,x
2,13210,小金井市,1,01,4～9人,6,33,23,-,33,23,-,11119,21362,40787,32298,3616,-,-,4873,17985,17985,…,…,…,…
2,13210,小金井市,1,02,10～19人,4,56,41,-,56,41,-,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,13210,小金井市,1,03,20～29人,3,79,53,-,79,53,-,37084,21390,132000,131121,-,-,-,879,102417,102417,…,…,…,…
2,13210,小金井市,1,06,100～199人,1,152,127,-,152,127,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
2,13211,小平市,0,00,総数,66,3063,2378,54,3116,2428,1,2038894,6866107,10095299,9896535,156141,378,-,42245,2811127,3056519,2182808,191065,161001,262157
2,13211,小平市,1,01,4～9人,33,208,123,1,208,123,1,72316,122589,275814,181812,69422,-,-,24580,141874,141874,…,…,…,…
2,13211,小平市,1,02,10～19人,13,167,95,-,167,95,-,57640,89087,197734,111479,85877,378,-,-,100598,100598,…,…,…,…
2,13211,小平市,1,03,20～29人,7,179,99,1,180,100,-,77600,139374,298151,297309,842,-,-,-,147166,147166,…,…,…,…
2,13211,小平市,1,04,30～49人,7,291,211,-,291,211,-,128911,128120,430890,430890,-,-,-,-,276789,281948,148586,21874,3925,6210
2,13211,小平市,1,05,50～99人,1,96,83,-,96,83,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13211,小平市,1,06,100～199人,1,141,105,-,141,105,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13211,小平市,1,07,200～299人,3,786,576,-,786,576,-,382472,696412,1160023,x,-,-,-,x,272551,459384,977429,92995,153765,125534
2,13211,小平市,1,10,1000人以上,1,1195,1086,52,1247,1135,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13212,日野市,0,00,総数,59,12092,9948,548,12636,10456,4,8692627,21253327,36507407,26669949,239204,37876,-,9560378,13476033,14511703,8439923,1271711,286753,1170821
2,13212,日野市,1,01,4～9人,25,143,83,-,142,82,1,45843,57629,151586,121737,27326,-,-,2523,86997,86997,…,…,…,…
2,13212,日野市,1,02,10～19人,12,160,99,24,181,117,3,80812,174607,297302,216566,49668,635,-,30433,113856,113856,…,…,…,…
2,13212,日野市,1,03,20～29人,7,185,123,-,185,123,-,78159,107500,232558,217806,14752,-,-,-,115794,115794,…,…,…,…
2,13212,日野市,1,04,30～49人,3,125,68,-,125,68,-,39425,87641,222822,202699,2500,-,-,17623,117886,125366,112883,3200,-,8950
2,13212,日野市,1,05,50～99人,2,136,80,-,136,80,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,13212,日野市,1,06,100～199人,4,463,386,-,463,386,-,228466,762808,1225451,1185219,-,37241,-,2991,416277,430090,300449,19641,5881,21896
2,13212,日野市,1,07,200～299人,2,518,457,33,551,490,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13212,日野市,1,09,500～999人,1,599,499,-,599,499,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13212,日野市,1,10,1000人以上,3,9763,8153,491,10254,8611,-,7444582,16965578,30647199,21157671,-,-,-,9489528,12128963,13032442,6365616,1111751,253956,971597
2,13213,東村山市,0,00,総数,76,3149,1991,30,3178,2013,1,1270859,4399738,8884361,8187351,272596,4929,-,419485,4055045,4166096,2307478,162463,37995,165664
2,13213,東村山市,1,01,4～9人,17,100,64,-,99,63,1,29963,36535,96412,59822,36160,-,-,430,55440,55440,…,…,…,…
2,13213,東村山市,1,02,10～19人,23,314,180,-,314,180,-,116360,294757,597301,513320,64748,4869,-,14364,280414,280414,…,…,…,…
2,13213,東村山市,1,03,20～29人,7,177,105,1,178,106,-,46538,277952,392500,359301,25457,60,-,7682,106064,106064,…,…,…,…
2,13213,東村山市,1,04,30～49人,16,620,396,-,620,396,-,230420,749213,1208930,984559,88793,-,-,135578,480868,422540,337488,14027,831,18094
2,13213,東村山市,1,05,50～99人,9,672,370,2,674,372,-,285213,1100797,1940792,1681515,-,-,-,259277,762868,782641,922033,44707,9430,43723
2,13213,東村山市,1,06,100～199人,2,330,163,27,357,183,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13213,東村山市,1,08,300～499人,1,349,253,-,349,253,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13213,東村山市,1,09,500～999人,1,587,460,-,587,460,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13214,国分寺市,0,00,総数,25,970,697,20,990,717,-,639692,1015749,1950607,1847649,13420,21996,-,67542,927337,884947,968310,69840,5377,50837
2,13214,国分寺市,1,01,4～9人,16,89,52,-,89,52,-,25817,28238,86880,74091,9773,-,-,3016,54299,54299,…,…,…,…
2,13214,国分寺市,1,02,10～19人,2,30,23,1,31,24,-,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,13214,国分寺市,1,03,20～29人,1,23,12,-,23,12,-,x,x,x,x,-,-,-,-,x,x,…,…,…,…
2,13214,国分寺市,1,04,30～49人,3,117,79,-,117,79,-,56341,98751,164571,148018,-,-,-,16553,74198,61798,36944,1675,-,2564
2,13214,国分寺市,1,05,50～99人,2,122,80,-,122,80,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13214,国分寺市,1,09,500～999人,1,589,451,19,608,470,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
2,13215,国立市,0,00,総数,18,357,216,1,357,216,1,134894,185040,405058,356168,25650,437,-,22803,209525,205489,67865,2068,-,1870
2,13215,国立市,1,01,4～9人,7,42,29,-,41,28,1,16222,27353,66127,65797,-,330,-,-,35902,35902,…,…,…,…
2,13215,国立市,1,02,10～19人,4,53,31,1,54,32,-,23996,41396,73838,67197,-,-,-,6641,30038,30038,…,…,…,…
2,13215,国立市,1,03,20～29人,4,98,65,-,98,65,-,29987,28948,75086,33167,25650,107,-,16162,42966,42966,…,…,…,…
2,13215,国立市,1,04,30～49人,1,33,23,-,33,23,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13215,国立市,1,05,50～99人,2,131,68,-,131,68,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13218,福生市,0,00,総数,36,1105,755,-,1104,754,1,505568,1062392,2064149,1947961,57981,613,-,57594,905598,919578,196598,16784,13921,15538
2,13218,福生市,1,01,4～9人,17,101,58,-,101,58,-,32241,57876,107219,75699,31449,-,-,71,46095,46095,…,…,…,…
2,13218,福生市,1,02,10～19人,5,72,56,-,71,55,1,28582,13389,56342,29810,26532,-,-,-,36357,36357,…,…,…,…
2,13218,福生市,1,03,20～29人,6,150,96,-,150,96,-,53855,133853,243511,211056,-,613,-,31842,95054,95054,…,…,…,…
2,13218,福生市,1,04,30～49人,3,117,91,-,117,91,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13218,福生市,1,05,50～99人,4,249,187,-,249,187,-,95442,311876,460149,450541,-,-,-,9608,131614,137736,108049,3212,13741,6658
2,13218,福生市,1,08,300～499人,1,416,267,-,416,267,-,x,x,x,x,-,-,-,-,x,x,x,-,-,x
2,13219,狛江市,0,00,総数,21,401,265,-,400,264,1,173470,790834,1206604,827615,132289,1379,-,245321,387681,402976,99597,6760,1156,8414
2,13219,狛江市,1,01,4～9人,8,40,29,-,39,28,1,10220,7933,34068,20313,6508,861,-,6386,24198,24198,…,…,…,…
2,13219,狛江市,1,02,10～19人,5,71,36,-,71,36,-,24524,38676,80058,19563,47036,-,-,13459,38316,38316,…,…,…,…
2,13219,狛江市,1,03,20～29人,3,73,57,-,73,57,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,13219,狛江市,1,04,30～49人,4,160,108,-,160,108,-,81133,264949,485719,364563,31485,518,-,89153,206629,221749,x,x,1156,x
2,13219,狛江市,1,05,50～99人,1,57,35,-,57,35,-,x,x,x,x,-,-,-,x,x,x,x,x,-,x
2,13220,東大和市,0,00,総数,38,1212,883,4,1216,887,-,609341,5355243,8290181,8211697,65010,-,x,x,2490510,2758962,3814715,264338,13146,258092
2,13220,東大和市,1,01,4～9人,19,117,62,-,117,62,-,28714,37098,89462,59243,29923,-,-,296,48571,48571,…,…,…,…
2,13220,東大和市,1,02,10～19人,11,136,85,-,136,85,-,41128,179260,276773,258843,12664,-,-,5266,90307,90307,…,…,…,…
2,13220,東大和市,1,03,20～29人,3,71,49,-,71,49,-,26317,17515,64539,42116,22423,-,-,-,43540,43540,…,…,…,…
2,13220,東大和市,1,04,30～49人,2,82,61,-,82,61,-,x,x,x,x,-,-,x,x,x,x,x,x,x,x
2,13220,東大和市,1,05,50～99人,1,52,40,-,52,40,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13220,東大和市,1,06,100～199人,1,146,124,3,149,127,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13220,東大和市,1,09,500～999人,1,608,462,1,609,463,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13221,清瀬市,0,00,総数,20,950,548,-,949,547,1,444674,930196,1903297,1838639,12345,68,-,52245,861199,913392,684841,67501,x,60447
2,13221,清瀬市,1,01,4～9人,6,39,25,-,38,24,1,15543,12396,39101,33330,5703,68,-,-,24727,24727,…,…,…,…
2,13221,清瀬市,1,02,10～19人,5,60,28,-,60,28,-,22306,47676,87586,86962,609,-,-,15,36967,36967,…,…,…,…
2,13221,清瀬市,1,03,20～29人,2,45,11,-,45,11,-,x,x,x,x,-,-,-,x,x,x,…,…,…,…
2,13221,清瀬市,1,04,30～49人,1,38,22,-,38,22,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13221,清瀬市,1,05,50～99人,4,244,122,-,244,122,-,127107,549959,944097,920719,6033,-,-,17345,365871,368571,90294,43575,-,5184
2,13221,清瀬市,1,07,200～299人,1,224,103,-,224,103,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13221,清瀬市,1,08,300～499人,1,300,237,-,300,237,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13222,東久留米市,0,00,総数,48,3413,2451,50,3463,2501,-,1802510,8919723,14538269,11994716,89556,4901,122,2448974,5031590,5296392,3508176,248314,10525,229582
2,13222,東久留米市,1,01,4～9人,21,140,91,-,140,91,-,51342,103000,239927,193770,37896,2817,-,5444,126795,126795,…,…,…,…
2,13222,東久留米市,1,02,10～19人,15,197,107,-,197,107,-,69530,146412,262386,226328,31206,2084,-,2768,107747,107747,…,…,…,…
2,13222,東久留米市,1,03,20～29人,5,117,72,-,117,72,-,33935,97942,154917,151023,-,-,122,3772,52754,52754,…,…,…,…
2,13222,東久留米市,1,04,30～49人,2,89,64,-,89,64,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
