,,資料作成(表計算、文書作成等),財務会計,人事・労務,顧客・販売管理,仕入・在庫管理,物流管理,受発注,電子メール・企業内ＳＮＳ,企業情報の発信(ホームページやＳＮＳ等),金融サービス(資金決済、振込等),グループウェア,その他,無回答            ,  n
, 今回調査（全体）,91.8,74.2,50.6,48.9,26,8.2,43.5,84.2,54.5,54.5,38.5,4.5,0.6,462
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井４丁目,2018-07-16,16,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,上石神井３丁目,2018-03-02,16,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,上石神井３丁目,2018-08-14,06,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,上石神井３丁目,2018-09-12,19,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,下石神井６丁目,2017-12-30,12,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,下石神井６丁目,2018-01-03,18,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,下石神井６丁目,2018-05-27,21,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井台１丁目,2018-02-22,21,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井台１丁目,2018-08-24,14,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2018-01-12,11,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2018-04-22,15,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2018-04-24,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2018-07-11,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2018-11-19,18,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町２丁目,2017-12-17,16,道路上,30歳代,その他,施錠し�
