銘柄（回号）,発行日（年月日）,発行額（百万円）,発行価格（円）,利率（％）,償還期間自（年月日）,償還期間至（年月日）,元利金支払期日上期（月日）,元利金支払期日下期（月日）,会計別充当状況一般普通（百万円）,会計別充当状況と場（百万円）,会計別充当状況都営住宅（百万円）,会計別充当状況用地（百万円）,会計別充当状況病院（百万円）,会計別充当状況市場（百万円）,会計別充当状況臨海地域（百万円）,会計別充当状況交通（百万円）,会計別充当状況高速（百万円）,会計別充当状況水道（百万円）,会計別充当状況下水（百万円）,(単位：百万円)
外債第5回ユーロユーロ,18.06.21,49932,99.86,4.700,19.06.21,15.06.21,06.21,-,49932,-,-,-,-,-,-,-,-,-,-,
外債第6回ユーロユーロ,20.01.31,49926,99.87,4.900,21.01.31,17.01.31,-,01.31,49926,-,-,-,-,-,-,-,-,-,-,
外債第15回ユーロドル,24.01.27,49920,99.87,1.875,25.01.27,29.01.27,-,01.27,49920,-,-,-,-,-,-,-,-,-,-,
外債第16回ユーロドル,24.06.08,69828,99.58,1.750,25.06.08,29.06.08,06.08,-,69828,-,-,-,-,-,-,-,-,-,-,
外債第17回ユーロドル,25.06.06,101640,99.51,1.625,26.06.06,30.06.06,06.06,-,101640,-,-,-,-,-,-,-,-,-,-,
外債第18回ユーロドル,26.05.20,102320,99.96,2.125,27.05.20,01.05.20,05.20,-,102320,-,-,-,-,-,-,-,-,-,-,
外債第1回グローバル債,26.12.02,5093,99.99,3.570,27.06.02,01.12.02,06.02,12.02,5093,-,-,-,-,-,-,-,-,-,-,
外債第19回ユーロドル,27.05.19,120100,99.87,2.125,28.05.19,02.05.19,05.19,-,120100,-,-,-,-,-,-,-,-,-,-,
外債第2回グローバル債,27.12.07,9776,99.99,3.130,28.06.07,02.12.07,06.07,12.07,9776,-,-,-,-,-,-,-,-,-,-,
外債合計,,640964,,,,,,,635964,-,-,-,-,-,-,-,5000,-,-,
