開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
,全党派計,全党派計,全党派計,幸福実現党,幸福実現党,幸福実現党,日本維新の会,日本維新の会,日本維新の会,れいわ新選組,れいわ新選組,れいわ新選組,公明党,公明党,公明党,ごぼうの党,ごぼうの党,ごぼうの党,立憲民主党,立憲民主党,立憲民主党,国民民主党,国民民主党,国民民主党,参政党,参政党,参政党,日本第一党,日本第一党,日本第一党,日本共産党,日本共産党,日本共産党,新党くにもり,新党くにもり,新党くにもり,自由民主党,自由民主党,自由民主党,社会民主党,社会民主党,社会民主党,ＮＨＫ党,ＮＨＫ党,ＮＨＫ党,維新政党・新風,維新政党・新風,維新政党・新風
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　立川市,80091.989,67266.999,12824.990,170.000,144.000,26.000,9732.699,8890.000,842.699,4846.357,4400.000,446.357,9380.479,8948.000,432.479,292.000,277.000,15.000,10242.823,8152.834,2089.989,4838.142,3838.165,999.977,2694.148,2025.000,669.148,238.000,181.000,57.000,8113.140,7524.000,589.140,168.000,132.000,36.000,25106.332,19699.000,5407.332,2216.421,1729.000,487.421,2029.448,1312.000,717.448,24.000,15.000,9.000
　　武蔵野市,75604.995,61315.999,14288.996,137.000,119.000,18.000,9743.999,8746.000,997.999,4816.000,4243.000,573.000,4003.060,3712.000,291.060,203.000,188.000,15.000,13472.596,10495.596,2977.000,5704.342,4955.403,748.939,2535.000,1856.000,679.000,204.000,157.000,47.000,6739.076,6247.000,492.076,129.000,102.000,27.000,23231.999,17454.000,5777.999,2864.000,1961.000,903.000,1795.923,1060.000,735.923,26.000,20.000,6.000
　　三鷹市,93896.993,78904.999,14991.994,158.000,138.000,20.000,12652.499,11593.000,1059.499,6830.411,6168.000,662.411,6761.651,6439.000,322.651,311.000,298.000,13.000,14862.169,11987.169,2875.000,6477.830,5619.830,858.000,3158.675,2401.000,757.675,252.500,192.000,60.500,8711.140,8122.000,589.140,155.000,128.000,27.000,28064.868,21944.000,6120.868,3125.000,2308.000,817.000,2340.250,1537.000,803.250,36.000,30.000,6.000
　　青梅市,56919.991,47377.999,9541.992,132.000,112.000,20.000,6672.915,6026.000,646.915,3704.000,3362.000,342.000,7061.602,6764.000,297.602,183.000,170.000,13.000,7304.036,5651.712,1652.324,3003.912,2185.287,818.625,1725.000,1309.000,416.000,171.492,134.000,37.492,5031.022,4619.000,412.022,79.000,64.000,15.000,18925.907,14923.000,4002.907,1482.708,1157.000,325.708,1414.397,879.000,535.397,29.000,22.000,7.000
　　府中市,121743.988,103964.051,17779.937,293.000,250.000,43.000,16182.194,15072.000,1110.194,7903.420,7278.000,625.420,11118.029,10688.000,430.029,427.052,414.052,13.000,17085.628,13930.709,3154.919,8618.260,7200.290,1417.970,3970.961,3050.000,920.961,420.000,326.000,94.000,10415.169,9779.000,636.169,180.000,151.000,29.000,38025.487,30713.000,7312.487,3771.884,2927.000,844.884,3277.904,2141.000,1136.904,55.000,44.000,11.000
　　昭島市,49965.993,42409.999,7555.994,118.000,104.000,14.000,5891.078,5405.000,486.078,2970.117,2725.000,245.117,6383.673,6138.000,245.673,137.000,130.000,7.000,6277.724,5018.727,1258.997,3062.272,2472.272,590.000,1571.886,1238.000,333.886,170.000,135.000,35.000,4509.205,4184.000,325.205,72.000,57.000,15.000,15959.803,12700.000,3259.803,1554.000,1245.000,309.000,1254.235,823.000,431.235,35.000,35.000,0.000
　　調布市,110972.991,93935.999,17036.992,250.000,211.000,39.000,15067.061,13783.000,1284.061,7943.681,7234.000,709.681,9566.000,9059.000,507.000,379.006,367.000,12.006,15094.496,11991.496,3103.000,8155.503,7169.503,986.000,3660.000,2826.000,834.000,343.357,283.000,60.357,10541.102,9790.000,751.102,173.000,155.000,18.000,33282.961,26457.000,6825.961,3628.927,2740.000,888.927,2847.897,1839.000,1008.897,40.000,31.000,9.000
　　町田市,193341.981,158561.017,34780.964,426.000,334.000,92.000,28780.719,25341.000,3439.719,11716.623,10439.000,1277.623,19540.887,18112.000,1428.887,609.045,556.018,53.027,26372.541,20680.558,5691.983,11454.251,9467.441,1986.810,6816.710,5015.000,1801.710,601.470,442.000,159.470,17658.543,15924.000,1734.543,319.000,244.000,75.000,57834.123,44149.000,13685.123,6018.280,4496.000,1522.280,5100.789,3292.000,1808.789,93.000,69.000,24.000
　　小金井市,61292.995,51762.999,9529.996,119.000,109.000,10.000,7784.000,7248.000,536.000,3987.000,3647.000,340.000,3917.026,3714.000,203.026,165.002,163.000,2.002,9941.206,7928.206,2013.000,4465.766,3893.793,571.973,1962.000,1563.000,399.000,162.000,119.000,43.000,5932.017,5530.000,402.017,99.000,86.000,13.000,19052.978,15118.000,3934.978,2210.000,1651.000,559.000,1473.000,978.000,495.000,23.000,15.000,8.000
　　小平市,91725.992,77974.999,13750.993,181.000,160.000,21.000,11645.759,10738.000,907.759,5814.252,5307.000,507.252,10361.000,9930.000,431.000,281.000,273.000,8.000,13779.157,11269.091,2510.066,5732.908,4880.908,852.000,2874.000,2170.000,704.000,272.000,211.000,61.000,8437.044,7878.000,559.044,139.000,114.000,25.000,26904.507,21167.000,5737.507,3075.410,2383.000,692.410,2176.955,1446.000,730.955,52.000,48.000,4.000
