令和3年7月4日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,その他の党派,その他の党派,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　　大島支庁小計,5892.000,100.00,0.000,0.00,4968.000,84.32,0.000,0.00,924.000,15.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　大島町,3592.000,100.00,0.000,0.00,2919.000,81.26,0.000,0.00,673.000,18.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　利島村,185.000,100.00,0.000,0.00,168.000,90.81,0.000,0.00,17.000,9.19,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　新島村,1274.000,100.00,0.000,0.00,1107.000,86.89,0.000,0.00,167.000,13.11,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　神津島村,841.000,100.00,0.000,0.00,774.000,92.03,0.000,0.00,67.000,7.97,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　三宅支庁小計,1232.000,100.00,0.000,0.00,1005.000,81.57,0.000,0.00,227.000,18.43,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　三宅村,1074.000,100.00,0.000,0.00,889.000,82.77,0.000,0.00,185.000,17.23,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　御蔵島村,158.000,100.00,0.000,0.00,116.000,73.42,0.000,0.00,42.000,26.58,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　八丈支庁小計,2825.000,100.00,0.000,0.00,2218.000,78.51,0.000,0.00,607.000,21.49,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　八丈町,2724.000,100.00,0.000,0.00,2136.000,78.41,0.000,0.00,588.000,21.59,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　青ヶ島村,101.000,100.00,0.000,0.00,82.000,81.19,0.000,0.00,19.000,18.81,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　小笠原支庁小計,928.000,100.00,0.000,0.00,716.000,77.16,0.000,0.00,212.000,22.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　　小笠原村,928.000,100.00,0.000,0.00,716.000,77.16,0.000,0.00,212.000,22.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
※「日本公益党」「古い政党から国民を守る党」「（略称）愛の力でＬＧＢＴ差別・動物殺処分解決の党」「ＮＨＫから国民を守る党」「ＳＤＧｓ党」「国民主権党」「議席を減らします党」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「こころのやまい党」「庶民と動物の会」「女性ファーストの会」「選挙に私も連れてって党」「全都黎明」「台東教育ネットワーク」「つばさの党」「（略称）土頭を働かし最高裁裁判官５人を弾劾する党」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「平和の党」「みんなの党」「目覚めよ日本党」「立憲共和党」は、「その他の党派」と表示しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
