開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
,全党派計,全党派計,全党派計,日本共産党,日本共産党,日本共産党,自由民主党,自由民主党,自由民主党,オリーブの木,オリーブの木,オリーブの木,社会民主党,社会民主党,社会民主党,公明党,公明党,公明党,国民民主党,国民民主党,国民民主党,日本維新の会,日本維新の会,日本維新の会,幸福実現党,幸福実現党,幸福実現党,立憲民主党,立憲民主党,立憲民主党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,安楽死制度を考える会,安楽死制度を考える会,安楽死制度を考える会,れいわ新選組,れいわ新選組,れいわ新選組
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　武蔵野市,68649.991,53935.705,14714.286,6686.343,6017.000,669.343,21892.977,15952.000,5940.977,237.000,196.000,41.000,1420.000,1192.000,228.000,4230.172,3902.000,328.172,3390.061,2510.000,880.061,5147.938,4236.000,911.938,152.000,126.000,26.000,16601.098,14420.000,2181.098,58.705,46.705,12.000,1360.000,1205.000,155.000,655.000,594.000,61.000,6818.697,3539.000,3279.697
　　三鷹市,84507.990,67285.227,17222.763,8938.432,8064.000,874.432,25878.287,19075.000,6803.287,335.000,276.000,59.000,1646.000,1373.000,273.000,7009.046,6554.000,455.046,4437.060,3262.000,1175.060,6882.000,5830.000,1052.000,236.000,196.000,40.000,18087.000,15977.000,2110.000,100.227,76.227,24.000,1854.000,1625.000,229.000,686.000,611.000,75.000,8418.938,4366.000,4052.938
　　青梅市,54774.987,44113.488,10661.499,6267.904,5680.000,587.904,18074.917,13842.000,4232.917,207.232,155.000,52.232,920.000,792.000,128.000,7877.783,7549.000,328.783,3678.025,1912.000,1766.025,3603.000,3103.000,500.000,186.000,149.000,37.000,9351.071,8022.000,1329.071,91.000,64.000,27.000,1054.000,853.000,201.000,365.000,325.000,40.000,3099.055,1667.488,1431.567
　　府中市,111281.989,92133.597,19148.392,11620.952,10863.000,757.952,35483.685,27716.000,7767.685,464.386,398.000,66.386,2278.000,1986.000,292.000,11888.510,11347.000,541.510,6342.050,4297.000,2045.050,9002.949,7868.000,1134.949,367.000,304.000,63.000,21941.866,19442.000,2499.866,132.352,106.352,26.000,2712.000,2421.000,291.000,1050.000,975.000,75.000,7998.239,4410.245,3587.994
　　昭島市,45961.988,37739.000,8222.988,5382.447,4901.000,481.447,14823.289,11404.000,3419.289,176.068,137.000,39.068,1043.000,889.000,154.000,6906.263,6549.000,357.263,2569.361,1587.000,982.361,3090.957,2653.000,437.957,163.000,131.000,32.000,7886.000,6884.000,1002.000,54.000,37.000,17.000,958.000,837.000,121.000,366.000,334.000,32.000,2543.603,1396.000,1147.603
　　調布市,102101.991,83391.000,18710.991,10982.189,10216.000,766.189,31959.840,24747.000,7212.840,416.000,356.000,60.000,2372.000,2041.000,331.000,10067.104,8726.000,1341.104,5183.021,3920.000,1263.021,8626.960,7582.000,1044.960,406.000,364.000,42.000,20164.068,17748.000,2416.068,110.000,82.000,28.000,2316.000,2063.000,253.000,808.000,766.000,42.000,8690.809,4780.000,3910.809
　　町田市,188215.984,149507.015,38708.969,20774.205,18543.000,2231.205,61253.658,44288.000,16965.658,741.400,557.000,184.400,3679.000,3019.000,660.000,20758.850,19120.000,1638.850,9750.260,6660.000,3090.260,15860.735,13424.000,2436.735,523.000,392.000,131.000,36331.837,31736.000,4595.837,269.500,189.500,80.000,3840.000,3258.000,582.000,1641.000,1443.000,198.000,12792.539,6877.515,5915.024
　　小金井市,56606.995,46716.000,9890.995,6138.088,5711.000,427.088,18424.867,14297.000,4127.867,203.107,178.000,25.107,1186.000,1033.000,153.000,4075.065,3884.000,191.065,2896.000,2285.000,611.000,4427.000,3898.000,529.000,167.000,146.000,21.000,12561.000,11248.000,1313.000,45.000,37.000,8.000,1133.000,1017.000,116.000,481.000,463.000,18.000,4869.868,2519.000,2350.868
　　小平市,84095.987,68992.449,15103.538,9357.695,8526.000,831.695,24645.514,18618.000,6027.514,328.434,268.000,60.434,1862.000,1567.000,295.000,11210.115,10683.000,527.115,4018.398,2854.000,1164.398,6186.979,5323.000,863.979,260.000,213.000,47.000,17731.962,15551.000,2180.962,101.333,83.333,18.000,1700.000,1483.000,217.000,628.000,584.000,44.000,6065.557,3239.116,2826.441
　　日野市,83741.996,68783.000,14958.996,10242.418,9409.000,833.418,26674.808,20706.000,5968.808,309.125,247.000,62.125,1796.000,1494.000,302.000,8159.000,7706.000,453.000,5007.335,3093.000,1914.335,6637.000,5821.000,816.000,405.000,322.000,83.000,16229.310,14401.000,1828.310,136.000,108.000,28.000,1925.000,1696.000,229.000,703.000,649.000,54.000,5518.000,3131.000,2387.000
