令和５年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀６丁目,2191 ,2340 ,4531 ,2253 
下連雀７丁目,2432 ,2735 ,5167 ,2459 
下連雀８丁目,1701 ,1875 ,3576 ,1578 
下連雀９丁目,2315 ,2467 ,4782 ,2000 
小計,22364 ,24632 ,46996 ,24156 
牟礼１丁目,1036 ,1123 ,2159 ,1166 
牟礼２丁目,1840 ,2053 ,3893 ,2060 
牟礼３丁目,1185 ,1124 ,2309 ,1079 
牟礼４丁目,1609 ,1707 ,3316 ,1604 
牟礼５丁目,1354 ,1333 ,2687 ,1350 
牟礼６丁目,3076 ,3325 ,6401 ,2892 
牟礼７丁目,952 ,915 ,1867 ,915 
小計,11052 ,11580 ,22632 ,11066 
井の頭１丁目,2344 ,2536 ,4880 ,2805 
井の頭２丁目,1584 ,1719 ,3303 ,2028 
井の頭３丁目,1072 ,1226 ,2298 ,1237 
井の頭４丁目,1057 ,1065 ,2122 ,1149 
井の頭５丁目,1648 ,1680 ,3328 ,1765 
小計,7705 ,8226 ,15931 ,8984 
中原１丁目,2049 ,2238 ,4287 ,2217 
中原２丁目,1552 ,1612 ,3164 ,1490 
中原３丁目,1547 ,1656 ,3203 ,1563 
中原４丁目,2021 ,2137 ,4158 ,1961 
小計,7169 ,7643 ,14812 ,7231 
北野１丁目,765 ,807 ,1572 ,750 
北野２丁目,1071 ,1100 ,2171 ,985 
北野３丁目,1064 ,1022 ,2086 ,962 
北野４丁目,1016 ,1019 ,2035 ,1072 
小計,3916 ,3948 ,7864 ,3769 
新川１丁目,1059 ,1080 ,2139 ,1047 
新川２丁目,749 ,806 ,1555 ,759 
新川３丁目,1046 ,1053 ,2099 ,1072 
新川４丁目,1573 ,1712 ,3285 ,1668 
新川５丁目,1244 ,1315 ,2559 ,1392 
新川６丁目,2175 ,2125 ,4300 ,2553 
小計,7846 ,8091 ,15937 ,8491 
上連雀１丁目,1581 ,1576 ,3157 ,1855 
上連雀２丁目,1169 ,1194 ,2363 ,1401 
上連雀３丁目,950 ,916 ,1866 ,1099 
上連雀４丁目,1586 ,1593 ,3179 ,1696 
上連雀５丁目,1371 ,1389 ,2760 ,1478 
上連雀６丁目,1405 ,1588 ,2993 ,1578 
上連雀７丁目,1429 ,1502 ,2931 ,1450 
上連雀８丁目,1686 ,1791 ,3477 ,1625 
上連雀９丁目,1480 ,1596 ,3076 ,1482 
小計,12657 ,13145 ,25802 ,13664 
井口１丁目,1900 ,1881 ,3781 ,1829 
井口２丁目,1214 ,1324 ,2538 ,1152 
井口３丁目,1066 ,1226 ,2292 ,1111 
井口４丁目,1569 ,1610 ,3179 ,1536 
井口５丁目,432 ,493 ,925 ,484 
小計,6181 ,6534 ,12715 ,6112 
深大寺１丁目,920 ,976 ,1896 ,873 
深大寺２丁目,2194 ,1894 ,4088 ,2107 
深大寺３丁目,1100 ,1003 ,2103 ,1092 
小計,4214 ,3873 ,8087 ,4072 
野崎１丁目,479 ,516 ,995 ,517 
野崎２丁目,1221 ,1243 ,2464 ,1236 
野崎３丁目,1174 ,1209 ,2383 ,1049 
野崎４丁目,351 ,306 ,657 ,293 
小計,3225 ,3274 ,6499 ,3095 
大沢１丁目,1403 ,1402 ,2805 ,1273 
大沢２丁目,945 ,931 ,1876 ,923 
大沢３丁目,867 ,979 ,1846 ,1031 
大沢４丁目,1448 ,1559 ,3007 ,1426 
大沢５丁目,1046 ,1055 ,2101 ,904 
大沢６丁目,762 ,752 ,1514 ,792 
小計,6471 ,6678 ,13149 ,6349 
合計,92800 ,97624 ,190424 ,96989 
令和５年４月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1468 ,1519 ,2987 ,1623 
下連雀２丁目,1695 ,1748 ,3443 ,1849 
下連雀３丁目,4877 ,5452 ,10329 ,6381 
下連雀４丁目,2984 ,3279 ,6263 ,3447 
下連雀５丁目,2697 ,3210 ,5907 ,2529 
下連雀６丁目,2180 ,2340 ,4520 ,2246 
下連雀７丁目,2432 ,2736 ,5168 ,2456 
下連雀８丁目,1699 ,1872 ,3571 ,1567 
下連雀９丁目,2320 ,2462 ,4782 ,2003 
小計,22352 ,24618 ,46970 ,24101 
牟礼１丁目,1037 ,1123 ,2160 ,1173 
牟礼２丁目,1847 ,2054 ,3901 ,2062 
牟礼３丁目,1192 ,1136 ,2328 ,1087 
牟礼４丁目,1594 ,1715 ,3309 ,1598 
牟礼５丁目,1360 ,1334 ,2694 ,1347 
牟礼６丁目,3075 ,3322 ,6397 ,2886 
牟礼７丁目,947 ,910 ,1857 ,906 
小計,11052 ,11594 ,22646 ,11059 
井の頭１丁目,2345 ,2536 ,4881 ,2807 
井の頭２丁目,1584 ,1719 ,3303 ,2023 
井の頭３丁目,1071 ,1229 ,2300 ,1240 
井の頭４丁目,1064 ,1058 ,2122 ,1147 
井の頭５丁目,1642 ,1677 ,3319 ,1747 
小計,7706 ,8219 ,15925 ,8964 
中原１丁目,2046 ,2240 ,4286 ,2212 
中原２丁目,1547 ,1604 ,3151 ,1481 
中原３丁目,1544 ,1648 ,3192 ,1552 
中原４丁目,2013 ,2130 ,4143 ,1954 
小計,7150 ,7622 ,14772 ,7199 
北野１丁目,771 ,809 ,1580 ,754 
北野２丁目,1073 ,1099 ,2172 ,984 
北野３丁目,1066 ,1018 ,2084 ,957 
北野４丁目,1012 ,1011 ,2023 ,1069 
小計,3922 ,3937 ,7859 ,3764 
新川１丁目,1067 ,1081 ,2148 ,1050 
新川２丁目,748 ,801 ,1549 ,757 
新川３丁目,1042 ,1051 ,2093 ,1067 
新川４丁目,1564 ,1702 ,3266 ,1656 
新川５丁目,1237 ,1306 ,2543 ,1379 
新川６丁目,2126 ,2101 ,4227 ,2482 
小計,7784 ,8042 ,15826 ,8391 
上連雀１丁目,1581 ,1576 ,3157 ,1847 
上連雀２丁目,1172 ,1194 ,2366 ,1397 
上連雀３丁目,954 ,912 ,1866 ,1098 
上連雀４丁目,1572 ,1588 ,3160 ,1681 
上連雀５丁目,1357 ,1379 ,2736 ,1468 
上連雀６丁目,1400 ,1585 ,2985 ,1575 
上連雀７丁目,1432 ,1498 ,2930 ,1449 
上連雀８丁目,1683 ,1788 ,3471 ,1623 
上連雀９丁目,1492 ,1595 ,3087 ,1482 
小計,12643 ,13115 ,25758 ,13620 
井口１丁目,1903 ,1881 ,3784 ,1824 
井口２丁目,1211 ,1320 ,2531 ,1151 
井口３丁目,1062 ,1222 ,2284 ,1105 
井口４丁目,1581 ,1604 ,3185 ,1538 
井口５丁目,438 ,492 ,930 ,483 
小計,6195 ,6519 ,12714 ,6101 
深大寺１丁目,916 ,974 ,1890 ,871 
深大寺２丁目,2191 ,1898 ,4089 ,2099 
深大寺３丁目,1101 ,1005 ,2106 ,1097 
小計,4208 ,3877 ,8085 ,4067 
野崎１丁目,479 ,515 ,994 ,515 
野崎２丁目,1220 ,1243 ,2463 ,1229 
野崎３丁目,1174 ,1208 ,2382 ,1049 
野崎４丁目,349 ,307 ,656 ,293 
小計,3222 ,3273 ,6495 ,3086 
大沢１丁目,1397 ,1396 ,2793 ,1267 
大沢２丁目,945 ,931 ,1876 ,920 
大沢３丁目,856 ,958 ,1814 ,1005 
大沢４丁目,1449 ,1560 ,3009 ,1430 
大沢５丁目,1049 ,1057 ,2106 ,909 
大沢６丁目,769 ,756 ,1525 ,799 
小計,6465 ,6658 ,13123 ,6330 
合計,92699 ,97474 ,190173 ,96682 
令和５年３月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1449 ,1518 ,2967 ,1596 
下連雀２丁目,1674 ,1729 ,3403 ,1826 
下連雀３丁目,4865 ,5448 ,10313 ,6355 
下連雀４丁目,2976 ,3238 ,6214 ,3414 
下連雀５丁目,2710 ,3218 ,5928 ,2539 
下連雀６丁目,2180 ,2335 ,4515 ,2239 
下連雀７丁目,2414 ,2712 ,5126 ,2426 
下連雀８丁目,1698 ,1882 ,3580 ,1569 
下連雀９丁目,2312 ,2459 ,4771 ,1995 
小計,22278 ,24539 ,46817 ,23959 
牟礼１丁目,1046 ,1123 ,2169 ,1175 
牟礼２丁目,1846 ,2044 ,3890 ,2054 
牟礼３丁目,1198 ,1131 ,2329 ,1085 
牟礼４丁目,1583 ,1698 ,3281 ,1560 
牟礼５丁目,1365 ,1345 ,2710 ,1356 
牟礼６丁目,3061 ,3316 ,6377 ,2868 
牟礼７丁目,944 ,910 ,1854 ,904 
小計,11043 ,11567 ,22610 ,11002 
井の頭１丁目,2326 ,2499 ,4825 ,2764 
井の頭２丁目,1564 ,1698 ,3262 ,1979 
井の頭３丁目,1059 ,1211 ,2270 ,1221 
井の頭４丁目,1062 ,1060 ,2122 ,1145 
井の頭５丁目,1639 ,1681 ,3320 ,1741 
小計,7650 ,8149 ,15799 ,8850 
中原１丁目,2037 ,2233 ,4270 ,2201 
中原２丁目,1554 ,1600 ,3154 ,1476 
中原３丁目,1538 ,1652 ,3190 ,1546 
中原４丁目,1996 ,2121 ,4117 ,1931 
小計,7125 ,7606 ,14731 ,7154 
北野１丁目,767 ,811 ,1578 ,753 
北野２丁目,1073 ,1095 ,2168 ,979 
北野３丁目,1066 ,1022 ,2088 ,959 
北野４丁目,1005 ,1008 ,2013 ,1060 
小計,3911 ,3936 ,7847 ,3751 
新川１丁目,1066 ,1090 ,2156 ,1049 
新川２丁目,747 ,794 ,1541 ,756 
新川３丁目,1036 ,1040 ,2076 ,1047 
新川４丁目,1564 ,1692 ,3256 ,1642 
新川５丁目,1245 ,1315 ,2560 ,1390 
新川６丁目,2163 ,2087 ,4250 ,2504 
小計,7821 ,8018 ,15839 ,8388 
上連雀１丁目,1582 ,1573 ,3155 ,1848 
上連雀２丁目,1169 ,1184 ,2353 ,1378 
上連雀３丁目,952 ,901 ,1853 ,1083 
上連雀４丁目,1588 ,1594 ,3182 ,1684 
上連雀５丁目,1362 ,1373 ,2735 ,1454 
上連雀６丁目,1403 ,1579 ,2982 ,1558 
上連雀７丁目,1445 ,1510 ,2955 ,1456 
上連雀８丁目,1691 ,1788 ,3479 ,1622 
上連雀９丁目,1495 ,1592 ,3087 ,1483 
小計,12687 ,13094 ,25781 ,13566 
井口１丁目,1904 ,1873 ,3777 ,1812 
井口２丁目,1213 ,1325 ,2538 ,1149 
井口３丁目,1057 ,1208 ,2265 ,1096 
井口４丁目,1567 ,1596 ,3163 ,1524 
井口５丁目,441 ,495 ,936 ,488 
小計,6182 ,6497 ,12679 ,6069 
深大寺１丁目,920 ,970 ,1890 ,870 
深大寺２丁目,2177 ,1897 ,4074 ,2080 
深大寺３丁目,1105 ,996 ,2101 ,1092 
小計,4202 ,3863 ,8065 ,4042 
野崎１丁目,488 ,522 ,1010 ,515 
野崎２丁目,1212 ,1239 ,2451 ,1216 
野崎３丁目,1175 ,1203 ,2378 ,1045 
野崎４丁目,349 ,307 ,656 ,293 
小計,3224 ,3271 ,6495 ,3069 
大沢１丁目,1397 ,1394 ,2791 ,1264 
大沢２丁目,943 ,932 ,1875 ,915 
大沢３丁目,843 ,953 ,1796 ,989 
大沢４丁目,1450 ,1560 ,3010 ,1425 
大沢５丁目,1055 ,1064 ,2119 ,909 
大沢６丁目,764 ,743 ,1507 ,783 
小計,6452 ,6646 ,13098 ,6285 
合計,92575 ,97186 ,189761 ,96135 
令和５年２月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1451 ,1525 ,2976 ,1606 
下連雀２丁目,1674 ,1737 ,3411 ,1828 
下連雀３丁目,4884 ,5450 ,10334 ,6365 
下連雀４丁目,2968 ,3229 ,6197 ,3411 
下連雀５丁目,2711 ,3225 ,5936 ,2545 
下連雀６丁目,2187 ,2351 ,4538 ,2251 
下連雀７丁目,2404 ,2702 ,5106 ,2416 
下連雀８丁目,1700 ,1881 ,3581 ,1571 
下連雀９丁目,2308 ,2441 ,4749 ,1988 
小計,22287 ,24541 ,46828 ,23981 
牟礼１丁目,1047 ,1131 ,2178 ,1174 
牟礼２丁目,1837 ,2030 ,3867 ,2045 
牟礼３丁目,1207 ,1141 ,2348 ,1095 
牟礼４丁目,1593 ,1691 ,3284 ,1570 
牟礼５丁目,1360 ,1341 ,2701 ,1352 
牟礼６丁目,3063 ,3320 ,6383 ,2868 
牟礼７丁目,955 ,918 ,1873 ,910 
小計,11062 ,11572 ,22634 ,11014 
井の頭１丁目,2317 ,2489 ,4806 ,2767 
井の頭２丁目,1559 ,1691 ,3250 ,1972 
井の頭３丁目,1055 ,1211 ,2266 ,1220 
井の頭４丁目,1064 ,1061 ,2125 ,1149 
井の頭５丁目,1639 ,1694 ,3333 ,1751 
小計,7634 ,8146 ,15780 ,8859 
中原１丁目,2045 ,2237 ,4282 ,2205 
中原２丁目,1554 ,1604 ,3158 ,1476 
中原３丁目,1537 ,1642 ,3179 ,1542 
中原４丁目,1997 ,2127 ,4124 ,1933 
小計,7133 ,7610 ,14743 ,7156 
北野１丁目,768 ,813 ,1581 ,753 
北野２丁目,1065 ,1091 ,2156 ,975 
北野３丁目,1065 ,1022 ,2087 ,961 
北野４丁目,1003 ,1006 ,2009 ,1058 
小計,3901 ,3932 ,7833 ,3747 
新川１丁目,1069 ,1088 ,2157 ,1050 
新川２丁目,748 ,797 ,1545 ,756 
新川３丁目,1044 ,1048 ,2092 ,1065 
新川４丁目,1563 ,1692 ,3255 ,1641 
新川５丁目,1242 ,1319 ,2561 ,1391 
新川６丁目,2188 ,2100 ,4288 ,2536 
小計,7854 ,8044 ,15898 ,8439 
上連雀１丁目,1574 ,1577 ,3151 ,1844 
上連雀２丁目,1162 ,1185 ,2347 ,1379 
上連雀３丁目,955 ,910 ,1865 ,1089 
上連雀４丁目,1591 ,1597 ,3188 ,1688 
上連雀５丁目,1371 ,1381 ,2752 ,1465 
上連雀６丁目,1401 ,1578 ,2979 ,1555 
上連雀７丁目,1442 ,1503 ,2945 ,1448 
上連雀８丁目,1686 ,1789 ,3475 ,1625 
上連雀９丁目,1494 ,1590 ,3084 ,1479 
小計,12676 ,13110 ,25786 ,13572 
井口１丁目,1908 ,1872 ,3780 ,1812 
井口２丁目,1213 ,1319 ,2532 ,1149 
井口３丁目,1058 ,1212 ,2270 ,1103 
井口４丁目,1567 ,1588 ,3155 ,1517 
井口５丁目,444 ,496 ,940 ,492 
小計,6190 ,6487 ,12677 ,6073 
深大寺１丁目,921 ,970 ,1891 ,870 
深大寺２丁目,2161 ,1898 ,4059 ,2064 
深大寺３丁目,1107 ,1000 ,2107 ,1096 
小計,4189 ,3868 ,8057 ,4030 
野崎１丁目,485 ,525 ,1010 ,514 
野崎２丁目,1215 ,1239 ,2454 ,1219 
野崎３丁目,1176 ,1203 ,2379 ,1046 
野崎４丁目,352 ,307 ,659 ,296 
小計,3228 ,3274 ,6502 ,3075 
大沢１丁目,1396 ,1393 ,2789 ,1264 
大沢２丁目,951 ,933 ,1884 ,922 
大沢３丁目,846 ,953 ,1799 ,991 
大沢４丁目,1454 ,1566 ,3020 ,1429 
大沢５丁目,1057 ,1066 ,2123 ,909 
大沢６丁目,765 ,750 ,1515 ,788 
小計,6469 ,6661 ,13130 ,6303 
合計,92623 ,97245 ,189868 ,96249 
令和５年１月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1450 ,1523 ,2973 ,1605 
下連雀２丁目,1669 ,1739 ,3408 ,1830 
下連雀３丁目,4887 ,5466 ,10353 ,6377 
下連雀４丁目,2964 ,3215 ,6179 ,3396 
下連雀５丁目,2709 ,3223 ,5932 ,2543 
下連雀６丁目,2186 ,2351 ,4537 ,2249 
下連雀７丁目,2412 ,2706 ,5118 ,2420 
下連雀８丁目,1708 ,1880 ,3588 ,1574 
下連雀９丁目,2315 ,2441 ,4756 ,1991 
小計,22300 ,24544 ,46844 ,23985 
牟礼１丁目,1049 ,1132 ,2181 ,1173 
牟礼２丁目,1836 ,2023 ,3859 ,2036 
牟礼３丁目,1204 ,1140 ,2344 ,1094 
牟礼４丁目,1587 ,1674 ,3261 ,1558 
牟礼５丁目,1367 ,1338 ,2705 ,1355 
牟礼６丁目,3060 ,3317 ,6377 ,2868 
牟礼７丁目,951 ,915 ,1866 ,902 
小計,11054 ,11539 ,22593 ,10986 
井の頭１丁目,2329 ,2503 ,4832 ,2779 
井の頭２丁目,1566 ,1698 ,3264 ,1976 
井の頭３丁目,1050 ,1208 ,2258 ,1220 
井の頭４丁目,1059 ,1064 ,2123 ,1146 
井の頭５丁目,1637 ,1684 ,3321 ,1742 
小計,7641 ,8157 ,15798 ,8863 
中原１丁目,2037 ,2234 ,4271 ,2203 
中原２丁目,1558 ,1608 ,3166 ,1477 
中原３丁目,1532 ,1643 ,3175 ,1543 
中原４丁目,1996 ,2128 ,4124 ,1932 
小計,7123 ,7613 ,14736 ,7155 
北野１丁目,763 ,813 ,1576 ,747 
北野２丁目,1067 ,1087 ,2154 ,973 
北野３丁目,1063 ,1025 ,2088 ,960 
北野４丁目,1004 ,1010 ,2014 ,1062 
小計,3897 ,3935 ,7832 ,3742 
新川１丁目,1059 ,1083 ,2142 ,1042 
新川２丁目,759 ,799 ,1558 ,762 
新川３丁目,1046 ,1047 ,2093 ,1065 
新川４丁目,1576 ,1707 ,3283 ,1653 
新川５丁目,1232 ,1314 ,2546 ,1386 
新川６丁目,2202 ,2114 ,4316 ,2555 
小計,7874 ,8064 ,15938 ,8463 
上連雀１丁目,1579 ,1581 ,3160 ,1844 
上連雀２丁目,1163 ,1188 ,2351 ,1381 
上連雀３丁目,952 ,913 ,1865 ,1092 
上連雀４丁目,1604 ,1602 ,3206 ,1694 
上連雀５丁目,1374 ,1388 ,2762 ,1473 
上連雀６丁目,1399 ,1579 ,2978 ,1551 
上連雀７丁目,1440 ,1496 ,2936 ,1440 
上連雀８丁目,1683 ,1787 ,3470 ,1625 
上連雀９丁目,1496 ,1595 ,3091 ,1480 
小計,12690 ,13129 ,25819 ,13580 
井口１丁目,1902 ,1876 ,3778 ,1806 
井口２丁目,1216 ,1323 ,2539 ,1153 
井口３丁目,1059 ,1211 ,2270 ,1108 
井口４丁目,1566 ,1585 ,3151 ,1513 
井口５丁目,440 ,494 ,934 ,487 
小計,6183 ,6489 ,12672 ,6067 
深大寺１丁目,919 ,974 ,1893 ,872 
深大寺２丁目,2149 ,1904 ,4053 ,2057 
深大寺３丁目,1105 ,996 ,2101 ,1095 
小計,4173 ,3874 ,8047 ,4024 
野崎１丁目,481 ,524 ,1005 ,514 
野崎２丁目,1213 ,1236 ,2449 ,1219 
野崎３丁目,1178 ,1207 ,2385 ,1046 
野崎４丁目,348 ,305 ,653 ,294 
小計,3220 ,3272 ,6492 ,3073 
大沢１丁目,1401 ,1392 ,2793 ,1263 
大沢２丁目,951 ,936 ,1887 ,926 
大沢３丁目,849 ,957 ,1806 ,993 
大沢４丁目,1456 ,1571 ,3027 ,1435 
大沢５丁目,1052 ,1060 ,2112 ,905 
大沢６丁目,769 ,751 ,1520 ,789 
小計,6478 ,6667 ,13145 ,6311 
合計,92633 ,97283 ,189916 ,96249 
