令和４年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀６丁目,2178 ,2336 ,4514 ,2243 
下連雀７丁目,2451 ,2750 ,5201 ,2442 
下連雀８丁目,1732 ,1904 ,3636 ,1591 
下連雀９丁目,2315 ,2445 ,4760 ,1989 
小計,22446 ,24716 ,47162 ,24121 
牟礼１丁目,1043 ,1114 ,2157 ,1165 
牟礼２丁目,1817 ,2019 ,3836 ,2054 
牟礼３丁目,1198 ,1134 ,2332 ,1090 
牟礼４丁目,1625 ,1700 ,3325 ,1579 
牟礼５丁目,1374 ,1330 ,2704 ,1347 
牟礼６丁目,3103 ,3309 ,6412 ,2871 
牟礼７丁目,936 ,908 ,1844 ,881 
小計,11096 ,11514 ,22610 ,10987 
井の頭１丁目,2319 ,2538 ,4857 ,2764 
井の頭２丁目,1584 ,1733 ,3317 ,2010 
井の頭３丁目,1062 ,1220 ,2282 ,1231 
井の頭４丁目,1085 ,1073 ,2158 ,1163 
井の頭５丁目,1645 ,1684 ,3329 ,1738 
小計,7695 ,8248 ,15943 ,8906 
中原１丁目,2016 ,2227 ,4243 ,2180 
中原２丁目,1577 ,1622 ,3199 ,1503 
中原３丁目,1518 ,1655 ,3173 ,1550 
中原４丁目,2014 ,2142 ,4156 ,1950 
小計,7125 ,7646 ,14771 ,7183 
北野１丁目,758 ,808 ,1566 ,731 
北野２丁目,1022 ,1041 ,2063 ,939 
北野３丁目,1039 ,1022 ,2061 ,947 
北野４丁目,994 ,1009 ,2003 ,1064 
小計,3813 ,3880 ,7693 ,3681 
新川１丁目,1050 ,1068 ,2118 ,1028 
新川２丁目,754 ,819 ,1573 ,761 
新川３丁目,1041 ,1035 ,2076 ,1039 
新川４丁目,1581 ,1718 ,3299 ,1658 
新川５丁目,1230 ,1318 ,2548 ,1371 
新川６丁目,2213 ,2121 ,4334 ,2544 
小計,7869 ,8079 ,15948 ,8401 
上連雀１丁目,1603 ,1593 ,3196 ,1883 
上連雀２丁目,1186 ,1214 ,2400 ,1409 
上連雀３丁目,945 ,899 ,1844 ,1077 
上連雀４丁目,1624 ,1607 ,3231 ,1717 
上連雀５丁目,1350 ,1348 ,2698 ,1454 
上連雀６丁目,1421 ,1590 ,3011 ,1565 
上連雀７丁目,1433 ,1510 ,2943 ,1453 
上連雀８丁目,1680 ,1797 ,3477 ,1622 
上連雀９丁目,1508 ,1590 ,3098 ,1486 
小計,12750 ,13148 ,25898 ,13666 
井口１丁目,1933 ,1877 ,3810 ,1821 
井口２丁目,1228 ,1325 ,2553 ,1150 
井口３丁目,1063 ,1190 ,2253 ,1085 
井口４丁目,1589 ,1592 ,3181 ,1526 
井口５丁目,443 ,498 ,941 ,496 
小計,6256 ,6482 ,12738 ,6078 
深大寺１丁目,930 ,962 ,1892 ,876 
深大寺２丁目,2167 ,1895 ,4062 ,2085 
深大寺３丁目,1121 ,1009 ,2130 ,1127 
小計,4218 ,3866 ,8084 ,4088 
野崎１丁目,491 ,523 ,1014 ,523 
野崎２丁目,1226 ,1242 ,2468 ,1221 
野崎３丁目,1180 ,1209 ,2389 ,1047 
野崎４丁目,330 ,303 ,633 ,284 
小計,3227 ,3277 ,6504 ,3075 
大沢１丁目,1431 ,1409 ,2840 ,1282 
大沢２丁目,982 ,950 ,1932 ,942 
大沢３丁目,836 ,934 ,1770 ,964 
大沢４丁目,1478 ,1584 ,3062 ,1444 
大沢５丁目,1042 ,1066 ,2108 ,902 
大沢６丁目,770 ,771 ,1541 ,791 
小計,6539 ,6714 ,13253 ,6325 
合計,93034 ,97570 ,190604 ,96511 
令和４年４月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1461 ,1537 ,2998 ,1622 
下連雀２丁目,1685 ,1748 ,3433 ,1841 
下連雀３丁目,4905 ,5494 ,10399 ,6382 
下連雀４丁目,2988 ,3256 ,6244 ,3417 
下連雀５丁目,2702 ,3202 ,5904 ,2544 
下連雀６丁目,2188 ,2335 ,4523 ,2240 
下連雀７丁目,2432 ,2735 ,5167 ,2419 
下連雀８丁目,1739 ,1905 ,3644 ,1592 
下連雀９丁目,2312 ,2444 ,4756 ,1984 
小計,22412 ,24656 ,47068 ,24041 
牟礼１丁目,1042 ,1104 ,2146 ,1155 
牟礼２丁目,1822 ,2010 ,3832 ,2047 
牟礼３丁目,1190 ,1134 ,2324 ,1084 
牟礼４丁目,1609 ,1677 ,3286 ,1541 
牟礼５丁目,1375 ,1332 ,2707 ,1349 
牟礼６丁目,3113 ,3324 ,6437 ,2874 
牟礼７丁目,935 ,907 ,1842 ,874 
小計,11086 ,11488 ,22574 ,10924 
井の頭１丁目,2337 ,2538 ,4875 ,2775 
井の頭２丁目,1592 ,1727 ,3319 ,2008 
井の頭３丁目,1070 ,1235 ,2305 ,1247 
井の頭４丁目,1073 ,1057 ,2130 ,1153 
井の頭５丁目,1646 ,1694 ,3340 ,1743 
小計,7718 ,8251 ,15969 ,8926 
中原１丁目,2031 ,2222 ,4253 ,2183 
中原２丁目,1580 ,1622 ,3202 ,1504 
中原３丁目,1509 ,1636 ,3145 ,1535 
中原４丁目,2012 ,2140 ,4152 ,1949 
小計,7132 ,7620 ,14752 ,7171 
北野１丁目,763 ,811 ,1574 ,735 
北野２丁目,1030 ,1047 ,2077 ,946 
北野３丁目,1037 ,1019 ,2056 ,942 
北野４丁目,981 ,994 ,1975 ,1054 
小計,3811 ,3871 ,7682 ,3677 
新川１丁目,1048 ,1067 ,2115 ,1024 
新川２丁目,756 ,823 ,1579 ,763 
新川３丁目,1032 ,1023 ,2055 ,1035 
新川４丁目,1572 ,1722 ,3294 ,1650 
新川５丁目,1232 ,1317 ,2549 ,1367 
新川６丁目,2163 ,2098 ,4261 ,2471 
小計,7803 ,8050 ,15853 ,8310 
上連雀１丁目,1608 ,1605 ,3213 ,1881 
上連雀２丁目,1187 ,1217 ,2404 ,1414 
上連雀３丁目,950 ,893 ,1843 ,1080 
上連雀４丁目,1621 ,1609 ,3230 ,1716 
上連雀５丁目,1359 ,1351 ,2710 ,1457 
上連雀６丁目,1414 ,1581 ,2995 ,1556 
上連雀７丁目,1426 ,1503 ,2929 ,1450 
上連雀８丁目,1680 ,1804 ,3484 ,1622 
上連雀９丁目,1502 ,1590 ,3092 ,1480 
小計,12747 ,13153 ,25900 ,13656 
井口１丁目,1928 ,1874 ,3802 ,1815 
井口２丁目,1221 ,1322 ,2543 ,1145 
井口３丁目,1062 ,1182 ,2244 ,1080 
井口４丁目,1592 ,1595 ,3187 ,1530 
井口５丁目,447 ,497 ,944 ,496 
小計,6250 ,6470 ,12720 ,6066 
深大寺１丁目,931 ,964 ,1895 ,877 
深大寺２丁目,2174 ,1888 ,4062 ,2085 
深大寺３丁目,1112 ,1007 ,2119 ,1121 
小計,4217 ,3859 ,8076 ,4083 
野崎１丁目,504 ,534 ,1038 ,532 
野崎２丁目,1236 ,1235 ,2471 ,1221 
野崎３丁目,1179 ,1203 ,2382 ,1048 
野崎４丁目,327 ,301 ,628 ,283 
小計,3246 ,3273 ,6519 ,3084 
大沢１丁目,1429 ,1410 ,2839 ,1281 
大沢２丁目,982 ,949 ,1931 ,941 
大沢３丁目,816 ,902 ,1718 ,911 
大沢４丁目,1475 ,1578 ,3053 ,1438 
大沢５丁目,1037 ,1061 ,2098 ,898 
大沢６丁目,775 ,768 ,1543 ,792 
小計,6514 ,6668 ,13182 ,6261 
合計,92936 ,97359 ,190295 ,96199 
令和４年３月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1456 ,1550 ,3006 ,1620 
下連雀２丁目,1672 ,1736 ,3408 ,1832 
下連雀３丁目,4919 ,5484 ,10403 ,6373 
下連雀４丁目,2977 ,3237 ,6214 ,3399 
下連雀５丁目,2697 ,3199 ,5896 ,2548 
下連雀６丁目,2205 ,2339 ,4544 ,2241 
下連雀７丁目,2438 ,2747 ,5185 ,2420 
下連雀８丁目,1751 ,1905 ,3656 ,1595 
下連雀９丁目,2323 ,2454 ,4777 ,1989 
小計,22438 ,24651 ,47089 ,24017 
牟礼１丁目,1045 ,1100 ,2145 ,1147 
牟礼２丁目,1818 ,1996 ,3814 ,2029 
牟礼３丁目,1185 ,1120 ,2305 ,1076 
牟礼４丁目,1603 ,1671 ,3274 ,1527 
牟礼５丁目,1380 ,1346 ,2726 ,1351 
牟礼６丁目,3103 ,3326 ,6429 ,2861 
牟礼７丁目,927 ,900 ,1827 ,870 
小計,11061 ,11459 ,22520 ,10861 
井の頭１丁目,2316 ,2526 ,4842 ,2743 
井の頭２丁目,1587 ,1713 ,3300 ,1993 
井の頭３丁目,1075 ,1244 ,2319 ,1252 
井の頭４丁目,1065 ,1054 ,2119 ,1145 
井の頭５丁目,1637 ,1692 ,3329 ,1725 
小計,7680 ,8229 ,15909 ,8858 
中原１丁目,2033 ,2238 ,4271 ,2190 
中原２丁目,1575 ,1618 ,3193 ,1503 
中原３丁目,1504 ,1634 ,3138 ,1527 
中原４丁目,2012 ,2137 ,4149 ,1948 
小計,7124 ,7627 ,14751 ,7168 
北野１丁目,768 ,814 ,1582 ,734 
北野２丁目,1033 ,1044 ,2077 ,940 
北野３丁目,1040 ,1028 ,2068 ,947 
北野４丁目,977 ,1000 ,1977 ,1046 
小計,3818 ,3886 ,7704 ,3667 
新川１丁目,1061 ,1078 ,2139 ,1029 
新川２丁目,751 ,815 ,1566 ,752 
新川３丁目,1023 ,1022 ,2045 ,1021 
新川４丁目,1581 ,1730 ,3311 ,1658 
新川５丁目,1239 ,1317 ,2556 ,1365 
新川６丁目,2169 ,2065 ,4234 ,2442 
小計,7824 ,8027 ,15851 ,8267 
上連雀１丁目,1611 ,1598 ,3209 ,1866 
上連雀２丁目,1178 ,1202 ,2380 ,1398 
上連雀３丁目,945 ,896 ,1841 ,1069 
上連雀４丁目,1635 ,1618 ,3253 ,1712 
上連雀５丁目,1358 ,1353 ,2711 ,1446 
上連雀６丁目,1422 ,1587 ,3009 ,1555 
上連雀７丁目,1420 ,1502 ,2922 ,1439 
上連雀８丁目,1686 ,1801 ,3487 ,1621 
上連雀９丁目,1501 ,1598 ,3099 ,1477 
小計,12756 ,13155 ,25911 ,13583 
井口１丁目,1923 ,1867 ,3790 ,1814 
井口２丁目,1209 ,1322 ,2531 ,1133 
井口３丁目,1065 ,1181 ,2246 ,1076 
井口４丁目,1582 ,1580 ,3162 ,1510 
井口５丁目,447 ,498 ,945 ,497 
小計,6226 ,6448 ,12674 ,6030 
深大寺１丁目,921 ,956 ,1877 ,865 
深大寺２丁目,2195 ,1901 ,4096 ,2091 
深大寺３丁目,1111 ,1010 ,2121 ,1121 
小計,4227 ,3867 ,8094 ,4077 
野崎１丁目,504 ,537 ,1041 ,533 
野崎２丁目,1228 ,1231 ,2459 ,1213 
野崎３丁目,1178 ,1196 ,2374 ,1040 
野崎４丁目,327 ,298 ,625 ,282 
小計,3237 ,3262 ,6499 ,3068 
大沢１丁目,1439 ,1414 ,2853 ,1286 
大沢２丁目,989 ,949 ,1938 ,943 
大沢３丁目,811 ,904 ,1715 ,909 
大沢４丁目,1479 ,1579 ,3058 ,1442 
大沢５丁目,1042 ,1062 ,2104 ,896 
大沢６丁目,777 ,769 ,1546 ,790 
小計,6537 ,6677 ,13214 ,6266 
合計,92928 ,97288 ,190216 ,95862 
令和4年2月1日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1457 ,1551 ,3008 ,1622 
下連雀２丁目,1669 ,1736 ,3405 ,1834 
下連雀３丁目,4925 ,5493 ,10418 ,6380 
下連雀４丁目,3003 ,3261 ,6264 ,3432 
下連雀５丁目,2700 ,3194 ,5894 ,2550 
下連雀６丁目,2206 ,2342 ,4548 ,2247 
下連雀７丁目,2444 ,2752 ,5196 ,2429 
下連雀８丁目,1752 ,1905 ,3657 ,1596 
下連雀９丁目,2332 ,2454 ,4786 ,1989 
小計,22488 ,24688 ,47176 ,24079 
牟礼１丁目,1033 ,1097 ,2130 ,1139 
牟礼２丁目,1819 ,1994 ,3813 ,2027 
牟礼３丁目,1190 ,1120 ,2310 ,1083 
牟礼４丁目,1607 ,1674 ,3281 ,1529 
牟礼５丁目,1379 ,1356 ,2735 ,1353 
牟礼６丁目,3103 ,3324 ,6427 ,2860 
牟礼７丁目,927 ,900 ,1827 ,870 
小計,11058 ,11465 ,22523 ,10861 
井の頭１丁目,2319 ,2519 ,4838 ,2739 
井の頭２丁目,1600 ,1730 ,3330 ,2019 
井の頭３丁目,1079 ,1249 ,2328 ,1258 
井の頭４丁目,1070 ,1055 ,2125 ,1143 
井の頭５丁目,1635 ,1691 ,3326 ,1727 
小計,7703 ,8244 ,15947 ,8886 
中原１丁目,2039 ,2242 ,4281 ,2191 
中原２丁目,1574 ,1617 ,3191 ,1501 
中原３丁目,1510 ,1635 ,3145 ,1533 
中原４丁目,2018 ,2144 ,4162 ,1956 
小計,7141 ,7638 ,14779 ,7181 
北野１丁目,771 ,816 ,1587 ,739 
北野２丁目,1034 ,1041 ,2075 ,940 
北野３丁目,1043 ,1031 ,2074 ,949 
北野４丁目,975 ,1002 ,1977 ,1052 
小計,3823 ,3890 ,7713 ,3680 
新川１丁目,1062 ,1081 ,2143 ,1032 
新川２丁目,749 ,814 ,1563 ,755 
新川３丁目,1022 ,1024 ,2046 ,1023 
新川４丁目,1584 ,1733 ,3317 ,1667 
新川５丁目,1242 ,1319 ,2561 ,1371 
新川６丁目,2177 ,2074 ,4251 ,2456 
小計,7836 ,8045 ,15881 ,8304 
上連雀１丁目,1605 ,1588 ,3193 ,1861 
上連雀２丁目,1182 ,1201 ,2383 ,1400 
上連雀３丁目,940 ,893 ,1833 ,1062 
上連雀４丁目,1640 ,1617 ,3257 ,1713 
上連雀５丁目,1363 ,1360 ,2723 ,1449 
上連雀６丁目,1414 ,1591 ,3005 ,1556 
上連雀７丁目,1423 ,1506 ,2929 ,1439 
上連雀８丁目,1674 ,1795 ,3469 ,1612 
上連雀９丁目,1501 ,1600 ,3101 ,1474 
小計,12742 ,13151 ,25893 ,13566 
井口１丁目,1925 ,1873 ,3798 ,1816 
井口２丁目,1211 ,1318 ,2529 ,1132 
井口３丁目,1066 ,1182 ,2248 ,1080 
井口４丁目,1586 ,1581 ,3167 ,1510 
井口５丁目,446 ,491 ,937 ,493 
小計,6234 ,6445 ,12679 ,6031 
深大寺１丁目,922 ,951 ,1873 ,866 
深大寺２丁目,2204 ,1907 ,4111 ,2097 
深大寺３丁目,1115 ,1021 ,2136 ,1134 
小計,4241 ,3879 ,8120 ,4097 
野崎１丁目,505 ,538 ,1043 ,535 
野崎２丁目,1226 ,1234 ,2460 ,1215 
野崎３丁目,1176 ,1194 ,2370 ,1038 
野崎４丁目,322 ,294 ,616 ,280 
小計,3229 ,3260 ,6489 ,3068 
大沢１丁目,1442 ,1417 ,2859 ,1288 
大沢２丁目,992 ,951 ,1943 ,942 
大沢３丁目,813 ,908 ,1721 ,914 
大沢４丁目,1481 ,1585 ,3066 ,1447 
大沢５丁目,1048 ,1062 ,2110 ,897 
大沢６丁目,781 ,770 ,1551 ,794 
小計,6557 ,6693 ,13250 ,6282 
合計,93052 ,97398 ,190450 ,96035 
令和4年1月1日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1462 ,1554 ,3016 ,1624 
下連雀２丁目,1678 ,1741 ,3419 ,1841 
下連雀３丁目,4917 ,5497 ,10414 ,6381 
下連雀４丁目,3008 ,3271 ,6279 ,3438 
下連雀５丁目,2700 ,3201 ,5901 ,2556 
下連雀６丁目,2196 ,2324 ,4520 ,2233 
下連雀７丁目,2441 ,2752 ,5193 ,2428 
下連雀８丁目,1750 ,1904 ,3654 ,1592 
下連雀９丁目,2337 ,2460 ,4797 ,1993 
小計,22489 ,24704 ,47193 ,24086 
牟礼１丁目,1034 ,1100 ,2134 ,1143 
牟礼２丁目,1816 ,2000 ,3816 ,2027 
牟礼３丁目,1194 ,1113 ,2307 ,1084 
牟礼４丁目,1606 ,1681 ,3287 ,1526 
牟礼５丁目,1386 ,1360 ,2746 ,1362 
牟礼６丁目,3116 ,3325 ,6441 ,2866 
牟礼７丁目,925 ,899 ,1824 ,874 
小計,11077 ,11478 ,22555 ,10882 
井の頭１丁目,2327 ,2517 ,4844 ,2744 
井の頭２丁目,1599 ,1738 ,3337 ,2026 
井の頭３丁目,1086 ,1255 ,2341 ,1271 
井の頭４丁目,1062 ,1046 ,2108 ,1138 
井の頭５丁目,1636 ,1690 ,3326 ,1726 
小計,7710 ,8246 ,15956 ,8905 
中原１丁目,2049 ,2244 ,4293 ,2203 
中原２丁目,1582 ,1620 ,3202 ,1506 
中原３丁目,1510 ,1632 ,3142 ,1533 
中原４丁目,2024 ,2149 ,4173 ,1961 
小計,7165 ,7645 ,14810 ,7203 
北野１丁目,771 ,811 ,1582 ,739 
北野２丁目,1033 ,1044 ,2077 ,940 
北野３丁目,1046 ,1035 ,2081 ,952 
北野４丁目,980 ,1003 ,1983 ,1056 
小計,3830 ,3893 ,7723 ,3687 
新川１丁目,1062 ,1083 ,2145 ,1037 
新川２丁目,753 ,813 ,1566 ,759 
新川３丁目,1020 ,1025 ,2045 ,1023 
新川４丁目,1589 ,1735 ,3324 ,1669 
新川５丁目,1244 ,1319 ,2563 ,1375 
新川６丁目,2197 ,2072 ,4269 ,2469 
小計,7865 ,8047 ,15912 ,8332 
上連雀１丁目,1608 ,1590 ,3198 ,1868 
上連雀２丁目,1175 ,1194 ,2369 ,1396 
上連雀３丁目,937 ,896 ,1833 ,1062 
上連雀４丁目,1633 ,1617 ,3250 ,1716 
上連雀５丁目,1367 ,1368 ,2735 ,1461 
上連雀６丁目,1416 ,1593 ,3009 ,1560 
上連雀７丁目,1419 ,1501 ,2920 ,1439 
上連雀８丁目,1669 ,1783 ,3452 ,1605 
上連雀９丁目,1509 ,1607 ,3116 ,1482 
小計,12733 ,13149 ,25882 ,13589 
井口１丁目,1916 ,1877 ,3793 ,1810 
井口２丁目,1211 ,1318 ,2529 ,1130 
井口３丁目,1065 ,1181 ,2246 ,1085 
井口４丁目,1590 ,1583 ,3173 ,1519 
井口５丁目,447 ,490 ,937 ,493 
小計,6229 ,6449 ,12678 ,6037 
深大寺１丁目,925 ,955 ,1880 ,867 
深大寺２丁目,2199 ,1906 ,4105 ,2091 
深大寺３丁目,1122 ,1020 ,2142 ,1137 
小計,4246 ,3881 ,8127 ,4095 
野崎１丁目,504 ,533 ,1037 ,530 
野崎２丁目,1231 ,1235 ,2466 ,1218 
野崎３丁目,1174 ,1193 ,2367 ,1035 
野崎４丁目,321 ,296 ,617 ,281 
小計,3230 ,3257 ,6487 ,3064 
大沢１丁目,1442 ,1423 ,2865 ,1291 
大沢２丁目,996 ,955 ,1951 ,948 
大沢３丁目,813 ,911 ,1724 ,917 
大沢４丁目,1475 ,1581 ,3056 ,1441 
大沢５丁目,1051 ,1067 ,2118 ,897 
大沢６丁目,782 ,771 ,1553 ,795 
小計,6559 ,6708 ,13267 ,6289 
合計,93133 ,97457 ,190590 ,96169 
