区分,総数,平均価格,築地市場,足立市場,大田市場,構成比率総計比(％),構成比率種別比(％),構成比率部類別比(％)
その他鮮魚類ほっけ数量(kg),2315,,2235,0,80,0.0,0.0,0.1
その他鮮魚類ほっけ金額(円),1998874,863,1777690,0,221184,0.0,0.0,0.1
その他鮮魚類ぼら数量(kg),5890,,5766,124,0,0.0,0.1,0.3
その他鮮魚類ぼら金額(円),1319751,224,1279543,40208,0,0.0,0.0,0.0
その他鮮魚類まなかつお数量(kg),6234,,6086,60,88,0.0,0.1,0.3
その他鮮魚類まなかつお金額(円),16800490,2695,16391883,136436,272171,0.0,0.1,0.5
その他鮮魚類まんたい数量(kg),3628,,3622,6,0,0.0,0.0,0.2
その他鮮魚類まんたい金額(円),1056549,291,1050312,6237,0,0.0,0.0,0.0
その他鮮魚類むつ数量(kg),10529,,10217,164,148,0.0,0.1,0.5
その他鮮魚類むつ金額(円),16875298,1603,16317689,311098,246511,0.0,0.1,0.5
その他鮮魚類めごち数量(kg),2757,,2708,49,0,0.0,0.0,0.1
その他鮮魚類めごち金額(円),6526041,2367,6436682,89359,0,0.0,0.1,0.2
その他鮮魚類めたい（国内）数量(kg),24609,,24105,361,143,0.1,0.2,1.1
その他鮮魚類めたい（国内）金額(円),37017228,1504,36323974,453983,239271,0.1,0.3,1.1
その他鮮魚類やがら数量(kg),646,,616,11,19,0.0,0.0,0.0
その他鮮魚類やがら金額(円),1029357,1593,980973,13824,34560,0.0,0.0,0.0
その他鮮魚類わらずか数量(kg),15,,0,15,0,0.0,0.0,0.0
その他鮮魚類わらずか金額(円),29160,1944,0,29160,0,0.0,0.0,0.0
その他鮮魚類うに（国内）数量(kg),64158,,62129,1228,801,0.2,0.6,2.9
その他鮮魚類うに（国内）金額(円),811374706,12647,783960702,16370991,11043013,2.4,6.7,25.0
その他鮮魚類うに（輸入）数量(kg),27440,,26455,985,0,0.1,0.2,1.3
その他鮮魚類うに（輸入）金額(円),322456833,11751,313844371,8612462,0,0.9,2.7,9.9
その他鮮魚類なまこ数量(kg),252,,252,0,0,0.0,0.0,0.0
その他鮮魚類なまこ金額(円),1063282,4219,1063282,0,0,0.0,0.0,0.0
その他鮮魚類ほや数量(kg),55789,,52857,2561,371,0.2,0.5,2.6
その他鮮魚類ほや金額(円),17828105,320,16546193,1049323,232589,0.1,0.1,0.5
その他鮮魚類魚卵数量(kg),29174,,28803,276,95,0.1,0.3,1.3
その他鮮魚類魚卵金額(円),107913563,3699,107258252,393768,261543,0.3,0.9,3.3
その他鮮魚類生鮮鯨類数量(kg),3061,,2375,495,191,0.0,0.0,0.1
その他鮮魚類生鮮鯨類金額(円),8394406,2742,6517929,1466726,409751,0.0,0.1,0.3
その他鮮魚類その他鮮魚数量(kg),146574,,141845,3333,1396,0.5,1.3,6.7
その他鮮魚類その他鮮魚金額(円),293270478,2001,284107470,6140395,3022613,0.9,2.4,9.0
活魚類数量(kg),1270076,,1058212,87641,124223,4.1,100.0,
活魚類金額(円),1854242391,1460,1594134243,102036310,158071838,5.4,100.0,
活魚類総数数量(kg),1270076,,1058212,87641,124223,4.1,100.0,100.0
活魚類総数金額(円),1854242391,1460,1594134243,102036310,158071838,5.4,100.0,100.0
活魚類活あなご数量(kg),112418,,111077,170,1171,0.4,8.9,8.9
活魚類活あなご金額(円),215676011,1919,212304448,460965,2910598,0.6,11.6,11.6
活魚類活いしたい数量(kg),2034,,2032,2,0,0.0,0.2,0.2
活魚類活いしたい金額(円),5785000,2844,5779978,5022,0,0.0,0.3,0.3
活魚類活かれい数量(kg),16016,,15959,48,9,0.1,1.3,1.3
活魚類活かれい金額(円),73618731,4597,73511726,78169,28836,0.2,4.0,4.0
活魚類活かんぱち数量(kg),314636,,245440,26211,42985,1.0,24.8,24.8
活魚類活かんぱち金額(円),392161863,1246,302610473,32928389,56623001,1.1,21.1,21.1
活魚類活くろたい数量(kg),2462,,2455,1,6,0.0,0.2,0.2
活魚類活くろたい金額(円),3269229,1328,3261939,1458,5832,0.0,0.2,0.2
活魚類活しまあじ数量(kg),71287,,60406,3895,6986,0.2,5.6,5.6
活魚類活しまあじ金額(円),111974908,1571,94023980,6460131,11490797,0.3,6.0,6.0
活魚類活すずき数量(kg),52008,,43425,3834,4749,0.2,4.1,4.1
活魚類活すずき金額(円),69677539,1340,60040823,3925440,5711276,0.2,3.8,3.8
活魚類活はまち数量(kg),6412,,6362,50,0,0.0,0.5,0.5
活魚類活はまち金額(円),6899740,1076,6839865,59875,0,0.0,0.4,0.4
活魚類活またい数量(kg),500552,,392763,48667,59122,1.6,39.4,39.4
活魚類活またい金額(円),569683008,1138,456403661,48913799,64365548,1.7,30.7,30.7
活魚類その他活たい数量(kg),1023,,1019,4,0,0.0,0.1,0.1
活魚類その他活たい金額(円),2128044,2080,2121240,6804,0,0.0,0.1,0.1
活魚類活ひらめ数量(kg),70733,,63751,2419,4563,0.2,5.6,5.6
活魚類活ひらめ金額(円),158740577,2244,144009957,5039668,9690952,0.5,8.6,8.6
活魚類活いか類数量(kg),11080,,10004,210,866,0.0,0.9,0.9
活魚類活いか類金額(円),8611644,777,7648541,176472,786631,0.0,0.5,0.5
活魚類活たこ数量(kg),39529,,37971,1524,34,0.1,3.1,3.1
活魚類活たこ金額(円),69598631,1761,66805596,2722576,70459,0.2,3.8,3.8
活魚類その他活魚数量(kg),69886,,65548,606,3732,0.2,5.5,5.5
活魚類その他活魚金額(円),166417466,2381,158772016,1257542,6387908,0.5,9.0,9.0
貝類数量(kg),1908723,,1796722,77283,34718,6.2,100.0,
貝類金額(円),2409246393,1262,2288025542,87627765,33593086,7.0,100.0,
生鮮貝類総数数量(kg),1643191,,1543621,67535,32035,5.3,86.1,100.0
生鮮貝類総数金額(円),1942291175,1182,1842814389,68479552,30997234,5.6,80.6,100.0
生鮮貝類あさり数量(kg),202617,,188032,11437,3148,0.7,10.6,12.3
生鮮貝類あさり金額(円),135403263,668,125636097,7541407,2225759,0.4,5.6,7.0
生鮮貝類うみたけ数量(kg),9785,,9685,100,0,0.0,0.5,0.6
生鮮貝類うみたけ金額(円),27878477,2849,27655997,222480,0,0.1,1.2,1.4
生鮮貝類かき数量(kg),190378,,175517,11451,3410,0.6,10.0,11.6
生鮮貝類かき金額(円),149304550,784,138173778,6305021,4825751,0.4,6.2,7.7
生鮮貝類しじみ数量(kg),146271,,137370,6971,1930,0.5,7.7,8.9
生鮮貝類しじみ金額(円),101023648,691,94825925,4671152,1526571,0.3,4.2,5.2
生鮮貝類はまぐり数量(kg),86255,,78391,5908,1956,0.3,4.5,5.2
生鮮貝類はまぐり金額(円),94771746,1099,88431164,4102192,2238390,0.3,3.9,4.9
生鮮貝類あか貝数量(kg),198301,,190215,7066,1020,0.6,10.4,12.1
生鮮貝類あか貝金額(円),103391530,521,97890571,4944024,556935,0.3,4.3,5.3
生鮮貝類い貝数量(kg),27384,,26790,295,299,0.1,1.4,1.7
生鮮貝類い貝金額(円),14091720,515,13722282,152388,217050,0.0,0.6,0.7
生鮮貝類いしがき貝数量(kg),336,,54,152,130,0.0,0.0,0.0
生鮮貝類いしがき貝金額(円),908205,2703,162918,410486,334801,0.0,0.0,0.0
生鮮貝類たいら貝数量(kg),36809,,35815,956,38,0.1,1.9,2.2
生鮮貝類たいら貝金額(円),28487603,774,28057917,403780,25906,0.1,1.2,1.5
生鮮貝類ほたて貝数量(kg),135457,,126582,5795,3080,0.4,7.1,8.2
生鮮貝類ほたて貝金額(円),91166803,673,82685213,5624500,2857090,0.3,3.8,4.7
生鮮貝類ほっき貝数量(kg),67798,,65365,1348,1085,0.2,3.6,4.1
生鮮貝類ほっき貝金額(円),63568737,938,61624919,1259571,684247,0.2,2.6,3.3
生鮮貝類まて貝数量(kg),27,,27,0,0,0.0,0.0,0.0
生鮮貝類まて貝金額(円),52861,1958,52861,0,0,0.0,0.0,0.0
生鮮貝類みる貝数量(kg),4925,,4663,181,81,0.0,0.3,0.3
生鮮貝類みる貝金額(円),15499738,3147,14846668,404524,248546,0.0,0.6,0.8
生鮮貝類あわび数量(kg),45138,,43907,735,496,0.1,2.4,2.7
生鮮貝類あわび金額(円),353272277,7826,347360812,3637559,2273906,1.0,14.7,18.2
生鮮貝類えぞあわび数量(kg),1,,0,0,1,0.0,0.0,0.0
生鮮貝類えぞあわび金額(円),4860,4860,0,0,4860,0.0,0.0,0.0
生鮮貝類とこぶし数量(kg),1370,,1364,0,6,0.0,0.1,0.1
生鮮貝類とこぶし金額(円),4416615,3224,4393265,0,23350,0.0,0.2,0.2
生鮮貝類さざえ数量(kg),146711,,142166,2457,2088,0.5,7.7,8.9
生鮮貝類さざえ金額(円),131465331,896,126833300,2462649,2169382,0.4,5.5,6.8
生鮮貝類しったか数量(kg),2239,,2184,55,0,0.0,0.1,0.1
生鮮貝類しったか金額(円),2536592,1133,2479212,57380,0,0.0,0.1,0.1
生鮮貝類つぶ貝数量(kg),69511,,65618,3397,496,0.2,3.6,4.2
生鮮貝類つぶ貝金額(円),112037558,1612,105788245,5249236,1000077,0.3,4.7,5.8
生鮮貝類ばい貝数量(kg),14526,,14032,444,50,0.0,0.8,0.9
生鮮貝類ばい貝金額(円),11137647,767,10788456,314741,34450,0.0,0.5,0.6
生鮮貝類とり貝数量(kg),5174,,4741,366,67,0.0,0.3,0.3
生鮮貝類とり貝金額(円),23162063,4477,21291849,1520953,349261,0.1,1.0,1.2
生鮮貝類あおやぎ数量(kg),29827,,27958,1493,376,0.1,1.6,1.8
生鮮貝類あおやぎ金額(円),49455590,1658,45532470,3084958,838162,0.1,2.1,2.5
生鮮貝類かいばしら数量(kg),3991,,3924,67,0,0.0,0.2,0.2
生鮮貝類かいばしら金額(円),14610522,3661,14438964,171558,0,0.0,0.6,0.8
生鮮貝類むきあか貝数量(kg),11889,,10260,863,766,0.0,0.6,0.7
生鮮貝類むきあか貝金額(円),17204197,1447,15557992,886389,759816,0.0,0.7,0.9
生鮮貝類むきあさり数量(kg),2349,,2313,36,0,0.0,0.1,0.1
生鮮貝類むきあさり金額(円),6164446,2624,6063142,101304,0,0.0,0.3,0.3
生鮮貝類むきかき数量(kg),3061,,3056,0,5,0.0,0.2,0.2
生鮮貝類むきかき金額(円),5921316,1934,5916186,0,5130,0.0,0.2,0.3
生鮮貝類むきはまぐり数量(kg),20,,9,0,11,0.0,0.0,0.0
生鮮貝類むきはまぐり金額(円),39561,1978,6804,0,32757,0.0,0.0,0.0
生鮮貝類むきほたて貝数量(kg),97041,,91343,4216,1482,0.3,5.1,5.9
生鮮貝類むきほたて貝金額(円),302032398,3112,283815064,14015448,4201886,0.9,12.5,15.6
生鮮貝類むきたいら貝数量(kg),197,,175,0,22,0.0,0.0,0.0
生鮮貝類むきたいら貝金額(円),686642,3485,664546,0,22096,0.0,0.0,0.0
生鮮貝類その他生鮮貝数量(kg),103803,,92065,1746,9992,0.3,5.4,6.3
生鮮貝類その他生鮮貝金額(円),82594679,796,78117772,935852,3541055,0.2,3.4,4.3
冷凍貝類総数数量(kg),265532,,253101,9748,2683,0.9,13.9,100.0
冷凍貝類総数金額(円),466955218,1759,445211153,19148213,2595852,1.4,19.4,100.0
冷凍貝類冷ほたて貝数量(kg),109663,,104185,4936,542,0.4,5.7,41.3
冷凍貝類冷ほたて貝金額(円),266659550,2432,253635657,12333219,690674,0.8,11.1,57.1
冷凍貝類冷みる貝数量(kg),99,,99,0,0,0.0,0.0,0.0
冷凍貝類冷みる貝金額(円),289656,2926,289656,0,0,0.0,0.0,0.1
冷凍貝類冷あわび数量(kg),6904,,6904,0,0,0.0,0.4,2.6
冷凍貝類冷あわび金額(円),25101114,3636,25101114,0,0,0.1,1.0,5.4
冷凍貝類冷つぶ貝数量(kg),3584,,2947,579,58,0.0,0.2,1.3
冷凍貝類冷つぶ貝金額(円),10222441,2852,8038306,1950693,233442,0.0,0.4,2.2
冷凍貝類冷とり貝数量(kg),94,,81,0,13,0.0,0.0,0.0
冷凍貝類冷とり貝金額(円),488430,5196,416880,0,71550,0.0,0.0,0.1
冷凍貝類冷むきあわび数量(kg),6602,,6602,0,0,0.0,0.3,2.5
冷凍貝類冷むきあわび金額(円),47499659,7195,47499659,0,0,0.1,2.0,10.2
冷凍貝類冷むきあさり数量(kg),27981,,26588,1021,372,0.1,1.5,10.5
冷凍貝類冷むきあさり金額(円),15704562,561,14763613,679806,261143,0.0,0.7,3.4
冷凍貝類冷むきかき数量(kg),40083,,38733,1330,20,0.1,2.1,15.1
冷凍貝類冷むきかき金額(円),30125436,752,28590648,1504548,30240,0.1,1.3,6.5
冷凍貝類冷むきはまぐり数量(kg),698,,698,0,0,0.0,0.0,0.3
冷凍貝類冷むきはまぐり金額(円),563777,808,563777,0,0,0.0,0.0,0.1
冷凍貝類冷たいら貝貝柱数量(kg),3628,,3618,10,0,0.0,0.2,1.4
冷凍貝類冷たいら貝貝柱金額(円),5548932,1529,5519232,29700,0,0.0,0.2,1.2
冷凍貝類その他冷凍貝柱数量(kg),12112,,11602,430,80,0.0,0.6,4.6
冷凍貝類その他冷凍貝柱金額(円),27449650,2266,26621830,721440,106380,0.1,1.1,5.9
冷凍貝類その他冷凍貝数量(kg),54084,,51044,1442,1598,0.2,2.8,20.4
冷凍貝類その他冷凍貝金額(円),37302011,690,34170781,1928807,1202423,0.1,1.5,8.0
冷凍魚数量(kg),6077714,,5743751,269973,63990,19.7,100.0,
冷凍魚金額(円),8413384752,1384,7976714446,332811697,103858609,24.4,100.0,
冷まぐろ類総数数量(kg),2155696,,2041783,90679,23234,7.0,35.5,100.0
冷まぐろ類総数金額(円),3546484272,1645,3373202850,124843722,48437700,10.3,42.2,100.0
冷まぐろ類冷ほんまぐろ数量(kg),266838,,259895,3312,3631,0.9,4.4,12.4
冷まぐろ類冷ほんまぐろ金額(円),886351237,3322,863876025,10151667,12323545,2.6,10.5,25.0
冷まぐろ類冷きわだ数量(kg),142595,,137082,2697,2816,0.5,2.3,6.6
冷まぐろ類冷きわだ金額(円),161225147,1131,153004506,3207424,5013217,0.5,1.9,4.5
冷まぐろ類冷めばち数量(kg),1388873,,1300258,76772,11843,4.5,22.9,64.4
冷まぐろ類冷めばち金額(円),1778489750,1281,1659228696,97242958,22018096,5.2,21.1,50.1
冷まぐろ類冷びんなが数量(kg),36466,,31665,2216,2585,0.1,0.6,1.7
冷まぐろ類冷びんなが金額(円),36000720,987,30414507,2391935,3194278,0.1,0.4,1.0
冷まぐろ類冷印度まぐろ数量(kg),320924,,312883,5682,2359,1.0,5.3,14.9
冷まぐろ類冷印度まぐろ金額(円),684417418,2133,666679116,11849738,5888564,2.0,8.1,19.3
冷かじき類総数数量(kg),182138,,156338,7864,17936,0.6,3.0,100.0
冷かじき類総数金額(円),191514172,1051,165203640,8589368,17721164,0.6,2.3,100.0
冷かじき類冷めかじき数量(kg),179817,,154017,7864,17936,0.6,3.0,98.7
冷かじき類冷めかじき金額(円),189495021,1054,163184489,8589368,17721164,0.6,2.3,98.9
冷かじき類冷まかじき数量(kg),1409,,1409,0,0,0.0,0.0,0.8
冷かじき類冷まかじき金額(円),1554788,1103,1554788,0,0,0.0,0.0,0.8
冷かじき類冷黒皮かじき数量(kg),620,,620,0,0,0.0,0.0,0.3
冷かじき類冷黒皮かじき金額(円),245252,396,245252,0,0,0.0,0.0,0.1
冷かじき類その他冷かじき数量(kg),292,,292,0,0,0.0,0.0,0.2
冷かじき類その他冷かじき金額(円),219111,750,219111,0,0,0.0,0.0,0.1
冷いか類総数数量(kg),225645,,190614,33637,1394,0.7,3.7,100.0
冷いか類総数金額(円),280497061,1243,244712319,33494528,2290214,0.8,3.3,100.0
冷いか類冷するめ（国内）数量(kg),73605,,62572,10762,271,0.2,1.2,32.6
冷いか類冷するめ（国内）金額(円),69319801,942,59297213,9720495,302093,0.2,0.8,24.7
冷いか類冷もんこういか数量(kg),10889,,10725,78,86,0.0,0.2,4.8
冷いか類冷もんこういか金額(円),10220449,939,9957399,92410,170640,0.0,0.1,3.6
冷いか類冷むきもんこう数量(kg),20199,,18541,1630,28,0.1,0.3,9.0
冷いか類冷むきもんこう金額(円),39220633,1942,34588751,4540081,91801,0.1,0.5,14.0
冷いか類冷むきむらさき数量(kg),10940,,6770,4150,20,0.0,0.2,4.8
冷いか類冷むきむらさき金額(円),8944665,818,5530138,3390767,23760,0.0,0.1,3.2
冷いか類冷むきいか数量(kg),55388,,45169,9851,368,0.2,0.9,24.5
冷いか類冷むきいか金額(円),69818683,1261,62612181,6691879,514623,0.2,0.8,24.9
冷いか類その他冷いか数量(kg),54624,,46837,7166,621,0.2,0.9,24.2
冷いか類その他冷いか金額(円),82972830,1519,72726637,9058896,1187297,0.2,1.0,29.6
冷かれい類総数数量(kg),274385,,259356,14451,578,0.9,4.5,100.0
冷かれい類総数金額(円),257317357,938,240891857,15662601,762899,0.7,3.1,100.0
冷かれい類冷あさばかれい数量(kg),51377,,49325,1942,110,0.2,0.8,18.7
冷かれい類冷あさばかれい金額(円),27981273,545,26851809,1054080,75384,0.1,0.3,10.9
冷かれい類冷からすかれい数量(kg),187238,,175898,11053,287,0.6,3.1,68.2
冷かれい類冷からすかれい金額(円),206710395,1104,192611128,13613765,485502,0.6,2.5,80.3
冷かれい類冷こがねかれい数量(kg),15795,,15426,364,5,0.1,0.3,5.8
冷かれい類冷こがねかれい金額(円),6608066,418,6432274,173524,2268,0.0,0.1,2.6
冷かれい類冷おひょう数量(kg),210,,210,0,0,0.0,0.0,0.1
冷かれい類冷おひょう金額(円),479520,2283,479520,0,0,0.0,0.0,0.2
冷かれい類その他冷かれい数量(kg),19765,,18497,1092,176,0.1,0.3,7.2
冷かれい類その他冷かれい金額(円),15538103,786,14517126,821232,199745,0.0,0.2,6.0
冷たい類総数数量(kg),2365,,2321,34,10,0.0,0.0,100.0
冷たい類総数金額(円),2736310,1157,2641108,80406,14796,0.0,0.0,100.0
冷たい類冷またい数量(kg),487,,453,34,0,0.0,0.0,20.6
冷たい類冷またい金額(円),981774,2016,901368,80406,0,0.0,0.0,35.9
冷たい類その他冷たい数量(kg),1878,,1868,0,10,0.0,0.0,79.4
冷たい類その他冷たい金額(円),1754536,934,1739740,0,14796,0.0,0.0,64.1
冷さめ類総数数量(kg),30,,30,0,0,0.0,0.0,100.0
冷さめ類総数金額(円),19051,635,19051,0,0,0.0,0.0,100.0
冷さめ類冷もうかさめ数量(kg),30,,30,0,0,0.0,0.0,100.0
冷さめ類冷もうかさめ金額(円),19051,635,19051,0,0,0.0,0.0,100.0
冷さけ・ます類総数数量(kg),1156817,,1103188,48545,5084,3.8,19.0,100.0
冷さけ・ます類総数金額(円),1151784964,996,1097380277,48343668,6061019,3.3,13.7,100.0
冷さけ・ます類冷しろさけ数量(kg),50278,,35891,14326,61,0.2,0.8,4.3
冷さけ・ます類冷しろさけ金額(円),42951447,854,34229281,8548815,173351,0.1,0.5,3.7
冷さけ・ます類冷べにさけ数量(kg),31188,,30650,448,90,0.1,0.5,2.7
冷さけ・ます類冷べにさけ金額(円),44200893,1417,43594851,424784,181258,0.1,0.5,3.8
冷さけ・ます類冷ぎんさけ数量(kg),888021,,858961,25491,3569,2.9,14.6,76.8
冷さけ・ます類冷ぎんさけ金額(円),824868802,929,796340021,24999084,3529697,2.4,9.8,71.6
冷さけ・ます類冷ますのすけ数量(kg),55986,,55986,0,0,0.2,0.9,4.8
冷さけ・ます類冷ますのすけ金額(円),63998528,1143,63998528,0,0,0.2,0.8,5.6
冷さけ・ます類冷ます数量(kg),6977,,6859,118,0,0.0,0.1,0.6
冷さけ・ます類冷ます金額(円),5618139,805,5539239,78900,0,0.0,0.1,0.5
冷さけ・ます類その他冷さけ数量(kg),124367,,114841,8162,1364,0.4,2.0,10.8
冷さけ・ます類その他冷さけ金額(円),170147155,1368,153678357,14292085,2176713,0.5,2.0,14.8
冷えび類総数数量(kg),632030,,601423,23510,7097,2.1,10.4,100.0
冷えび類総数金額(円),1097711775,1737,1038736819,45918605,13056351,3.2,13.0,100.0
冷えび類冷あかえび数量(kg),83662,,79916,3132,614,0.3,1.4,13.2
冷えび類冷あかえび金額(円),191197922,2285,183953285,6068564,1176073,0.6,2.3,17.4
冷えび類冷いせえび（国内）数量(kg),109,,109,0,0,0.0,0.0,0.0
冷えび類冷いせえび（国内）金額(円),584641,5364,584641,0,0,0.0,0.0,0.1
冷えび類冷いせえび（輸入）数量(kg),3862,,3277,45,540,0.0,0.1,0.6
冷えび類冷いせえび（輸入）金額(円),10950710,2836,8785160,119988,2045562,0.0,0.1,1.0
冷えび類冷むきえび数量(kg),66692,,60699,4628,1365,0.2,1.1,10.6
冷えび類冷むきえび金額(円),95274547,1429,85604931,7715301,1954315,0.3,1.1,8.7
冷えび類冷えび（中国）数量(kg),1871,,1823,48,0,0.0,0.0,0.3
冷えび類冷えび（中国）金額(円),10156104,5428,9911808,244296,0,0.0,0.1,0.9
冷えび類冷えび（フィリピン）数量(kg),16943,,16279,664,0,0.1,0.3,2.7
冷えび類冷えび（フィリピン）金額(円),27612986,1630,26332279,1280707,0,0.1,0.3,2.5
冷えび類冷えび（インドネシア）数量(kg),148705,,144429,4276,0,0.5,2.4,23.5
冷えび類冷えび（インドネシア）金額(円),276102796,1857,263094091,13008705,0,0.8,3.3,25.2
冷えび類冷えび（ベトナム）数量(kg),1814,,1416,398,0,0.0,0.0,0.3
冷えび類冷えび（ベトナム）金額(円),3608518,1989,2870554,737964,0,0.0,0.0,0.3
冷えび類冷えび（マレ－シア）数量(kg),44057,,43839,218,0,0.1,0.7,7.0
冷えび類冷えび（マレ－シア）金額(円),59072351,1341,58704017,368334,0,0.2,0.7,5.4
冷えび類冷えび（タイ）数量(kg),3486,,2974,512,0,0.0,0.1,0.6
冷えび類冷えび（タイ）金額(円),4684878,1344,3976474,708404,0,0.0,0.1,0.4
冷えび類冷えび（インド）数量(kg),80246,,78339,1907,0,0.3,1.3,12.7
冷えび類冷えび（インド）金額(円),99864363,1244,96762669,3101694,0,0.3,1.2,9.1
冷えび類冷えび（スリランカ）数量(kg),15447,,15410,37,0,0.1,0.3,2.4
冷えび類冷えび（スリランカ）金額(円),26274131,1701,26209461,64670,0,0.1,0.3,2.4
冷えび類冷えび（アフリカ）数量(kg),84,,84,0,0,0.0,0.0,0.0
冷えび類冷えび（アフリカ）金額(円),240408,2862,240408,0,0,0.0,0.0,0.0
冷えび類冷えび（オーストラリア）数量(kg),5655,,5655,0,0,0.0,0.1,0.9
冷えび類冷えび（オーストラリア）金額(円),14116325,2496,14116325,0,0,0.0,0.2,1.3
冷えび類冷えび（メキシコ）数量(kg),2870,,2692,178,0,0.0,0.0,0.5
冷えび類冷えび（メキシコ）金額(円),7630093,2659,7140205,489888,0,0.0,0.1,0.7
冷えび類冷えび（南米）数量(kg),47592,,41672,3716,2204,0.2,0.8,7.5
冷えび類冷えび（南米）金額(円),51982309,1092,45500766,4202314,2279229,0.2,0.6,4.7
冷えび類その他冷国内えび数量(kg),16540,,15878,448,214,0.1,0.3,2.6
冷えび類その他冷国内えび金額(円),39805421,2407,37898075,1302437,604909,0.1,0.5,3.6
冷えび類その他冷輸入えび数量(kg),92395,,86932,3303,2160,0.3,1.5,14.6
冷えび類その他冷輸入えび金額(円),178553272,1932,167051670,6505339,4996263,0.5,2.1,16.3
冷かに類総数数量(kg),141523,,137909,3005,609,0.5,2.3,100.0
冷かに類総数金額(円),401736059,2839,392388010,7302258,2045791,1.2,4.8,100.0
冷かに類冷煮毛かに数量(kg),7668,,7576,92,0,0.0,0.1,5.4
冷かに類冷煮毛かに金額(円),26723423,3485,26341535,381888,0,0.1,0.3,6.7
冷かに類冷わたりかに数量(kg),12855,,12336,473,46,0.0,0.2,9.1
冷かに類冷わたりかに金額(円),10444259,812,10057672,352405,34182,0.0,0.1,2.6
冷かに類冷生たらばかに数量(kg),1745,,1723,0,22,0.0,0.0,1.2
冷かに類冷生たらばかに金額(円),8689999,4980,8575238,0,114761,0.0,0.1,2.2
冷かに類冷煮たらばかに数量(kg),23833,,23722,77,34,0.1,0.4,16.8
冷かに類冷煮たらばかに金額(円),118209201,4960,117642310,347004,219887,0.3,1.4,29.4
冷かに類冷生ずわいかに数量(kg),16158,,16140,12,6,0.1,0.3,11.4
冷かに類冷生ずわいかに金額(円),44560951,2758,44474119,68688,18144,0.1,0.5,11.1
冷かに類冷煮ずわいかに数量(kg),73945,,71309,2341,295,0.2,1.2,52.2
冷かに類冷煮ずわいかに金額(円),182075370,2462,174816700,6136073,1122597,0.5,2.2,45.3
冷かに類その他冷かに数量(kg),5319,,5103,10,206,0.0,0.1,3.8
冷かに類その他冷かに金額(円),11032856,2074,10480436,16200,536220,0.0,0.1,2.7
その他冷凍魚類総数数量(kg),1307085,,1250789,48248,8048,4.2,21.5,100.0
その他冷凍魚類総数金額(円),1483583731,1135,1421538515,48576541,13468675,4.3,17.6,100.0
その他冷凍魚類冷あじ数量(kg),19614,,12592,6787,235,0.1,0.3,1.5
その他冷凍魚類冷あじ金額(円),9995025,510,6783281,2959639,252105,0.0,0.1,0.7
その他冷凍魚類冷あかうお数量(kg),80946,,74089,6768,89,0.3,1.3,6.2
その他冷凍魚類冷あかうお金額(円),47012021,581,43215137,3701242,95642,0.1,0.6,3.2
その他冷凍魚類冷あなご数量(kg),9549,,9264,180,105,0.0,0.2,0.7
その他冷凍魚類冷あなご金額(円),30534521,3198,29622352,637201,274968,0.1,0.4,2.1
その他冷凍魚類冷いわし数量(kg),4512,,4211,289,12,0.0,0.1,0.3
その他冷凍魚類冷いわし金額(円),2161028,479,1916354,234047,10627,0.0,0.0,0.1
その他冷凍魚類冷いぼたい数量(kg),100,,0,100,0,0.0,0.0,0.0
その他冷凍魚類冷いぼたい金額(円),84240,842,0,84240,0,0.0,0.0,0.0
その他冷凍魚類冷おきあみ数量(kg),20,,20,0,0,0.0,0.0,0.0
その他冷凍魚類冷おきあみ金額(円),17280,864,17280,0,0,0.0,0.0,0.0
その他冷凍魚類冷かつお数量(kg),14169,,12873,567,729,0.0,0.2,1.1
その他冷凍魚類冷かつお金額(円),15395308,1087,13968602,573192,853514,0.0,0.2,1.0
その他冷凍魚類冷きす数量(kg),13528,,12178,1198,152,0.0,0.2,1.0
その他冷凍魚類冷きす金額(円),16085630,1189,14087630,1784592,213408,0.0,0.2,1.1
その他冷凍魚類冷きんめたい数量(kg),40590,,38708,1765,117,0.1,0.7,3.1
その他冷凍魚類冷きんめたい金額(円),66343487,1634,63414937,2720919,207631,0.2,0.8,4.5
その他冷凍魚類冷ぎんたら数量(kg),142794,,136819,4388,1587,0.5,2.3,10.9
その他冷凍魚類冷ぎんたら金額(円),350814775,2457,334932449,11654860,4227466,1.0,4.2,23.6
その他冷凍魚類冷キングクリップ数量(kg),124,,124,0,0,0.0,0.0,0.0
その他冷凍魚類冷キングクリップ金額(円),141178,1139,141178,0,0,0.0,0.0,0.0
その他冷凍魚類冷さば数量(kg),173949,,163337,9100,1512,0.6,2.9,13.3
その他冷凍魚類冷さば金額(円),97674695,562,91015320,5367717,1291658,0.3,1.2,6.6
その他冷凍魚類冷さわら数量(kg),35685,,33755,1792,138,0.1,0.6,2.7
その他冷凍魚類冷さわら金額(円),40771600,1143,38685083,1962858,123659,0.1,0.5,2.7
その他冷凍魚類冷さんま数量(kg),23321,,21605,1557,159,0.1,0.4,1.8
その他冷凍魚類冷さんま金額(円),14205827,609,13122262,766584,316981,0.0,0.2,1.0
その他冷凍魚類冷ししゃも数量(kg),13046,,12896,10,140,0.0,0.2,1.0
その他冷凍魚類冷ししゃも金額(円),5954991,456,5773529,8640,172822,0.0,0.1,0.4
その他冷凍魚類冷シルバ－数量(kg),21684,,20741,857,86,0.1,0.4,1.7
