地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,従業者規模／１～４人／事業所数（事業所）,従業者規模／５～９人／事業所数（事業所）,従業者規模／10～19人／事業所数（事業所）,従業者規模／20～29人／事業所数（事業所）,従業者規模／30～49人／事業所数（事業所）,従業者規模／50～99人／事業所数（事業所）,従業者規模／100～199人／事業所数（事業所）,従業者規模／200～299人／事業所数（事業所）,従業者規模／300～499人／事業所数（事業所）,従業者規模／500人以上／事業所数（事業所）,従業者規模／出向・派遣従業者のみ／事業所数（事業所）
4,1311700204,北区,豊島,豊島４丁目,豊島４丁目,72,46,17,4,3,-,1,1,-,-,-,-
4,1311700205,北区,豊島,豊島５丁目,豊島５丁目,78,43,19,7,1,3,2,-,3,-,-,-
4,1311700206,北区,豊島,豊島６丁目,豊島６丁目,53,32,7,6,1,4,1,1,1,-,-,-
4,1311700207,北区,豊島,豊島７丁目,豊島７丁目,95,68,14,9,2,1,1,-,-,-,-,-
4,1311700208,北区,豊島,豊島８丁目,豊島８丁目,117,75,14,12,7,4,2,1,-,-,-,2
3,1311700300,北区,堀船,,堀船,324,206,47,35,7,17,7,1,2,1,-,1
4,1311700301,北区,堀船,堀船１丁目,堀船１丁目,82,48,9,9,-,12,2,1,1,-,-,-
4,1311700302,北区,堀船,堀船２丁目,堀船２丁目,70,31,16,13,4,4,-,-,1,1,-,-
4,1311700303,北区,堀船,堀船３丁目,堀船３丁目,146,107,19,13,3,1,2,-,-,-,-,1
4,1311700304,北区,堀船,堀船４丁目,堀船４丁目,26,20,3,-,-,-,3,-,-,-,-,-
3,1311700400,北区,東十条,,東十条,761,497,134,81,16,11,11,3,-,-,2,6
4,1311700401,北区,東十条,東十条１丁目,東十条１丁目,87,65,7,8,3,4,-,-,-,-,-,-
4,1311700402,北区,東十条,東十条２丁目,東十条２丁目,112,81,17,6,3,1,4,-,-,-,-,-
4,1311700403,北区,東十条,東十条３丁目,東十条３丁目,225,132,49,23,7,5,2,1,-,-,2,4
4,1311700404,北区,東十条,東十条４丁目,東十条４丁目,202,134,39,23,2,-,1,1,-,-,-,2
4,1311700405,北区,東十条,東十条５丁目,東十条５丁目,59,39,10,8,-,1,1,-,-,-,-,-
4,1311700406,北区,東十条,東十条６丁目,東十条６丁目,76,46,12,13,1,-,3,1,-,-,-,-
3,1311700500,北区,王子本町,,王子本町,257,178,42,22,5,3,2,1,-,-,2,2
4,1311700501,北区,王子本町,王子本町１丁目,王子本町１丁目,158,99,31,17,4,1,2,1,-,-,1,2
4,1311700502,北区,王子本町,王子本町２丁目,王子本町２丁目,85,66,11,5,1,1,-,-,-,-,1,-
4,1311700503,北区,王子本町,王子本町３丁目,王子本町３丁目,14,13,-,-,-,1,-,-,-,-,-,-
3,1311700600,北区,岸町,,岸町,115,71,23,14,2,1,1,2,-,-,-,1
4,1311700601,北区,岸町,岸町１丁目,岸町１丁目,82,42,19,14,2,1,1,2,-,-,-,1
4,1311700602,北区,岸町,岸町２丁目,岸町２丁目,33,29,4,-,-,-,-,-,-,-,-,-
3,1311700700,北区,中十条,,中十条,325,243,52,20,6,-,1,2,-,-,-,1
4,1311700701,北区,中十条,中十条１丁目,中十条１丁目,72,55,10,3,2,-,1,-,-,-,-,1
4,1311700702,北区,中十条,中十条２丁目,中十条２丁目,102,74,17,10,1,-,-,-,-,-,-,-
4,1311700703,北区,中十条,中十条３丁目,中十条３丁目,121,96,19,4,2,-,-,-,-,-,-,-
4,1311700704,北区,中十条,中十条４丁目,中十条４丁目,30,18,6,3,1,-,-,2,-,-,-,-
3,1311700800,北区,十条台,,十条台,36,8,9,11,3,1,3,1,-,-,-,-
4,1311700801,北区,十条台,十条台１丁目,十条台１丁目,31,8,8,9,2,1,2,1,-,-,-,-
4,1311700802,北区,十条台,十条台２丁目,十条台２丁目,5,-,1,2,1,-,1,-,-,-,-,-
3,1311700900,北区,十条仲原,,十条仲原,319,215,68,23,10,1,1,-,-,-,-,1
4,1311700901,北区,十条仲原,十条仲原１丁目,十条仲原１丁目,182,113,42,20,6,-,-,-,-,-,-,1
4,1311700902,北区,十条仲原,十条仲原２丁目,十条仲原２丁目,96,74,18,2,1,1,-,-,-,-,-,-
4,1311700903,北区,十条仲原,十条仲原３丁目,十条仲原３丁目,29,20,5,1,2,-,1,-,-,-,-,-
4,1311700904,北区,十条仲原,十条仲原４丁目,十条仲原４丁目,12,8,3,-,1,-,-,-,-,-,-,-
3,1311701000,北区,上十条,,上十条,612,421,104,56,18,8,2,-,-,-,-,3
4,1311701001,北区,上十条,上十条１丁目,上十条１丁目,127,100,12,11,1,2,-,-,-,-,-,1
4,1311701002,北区,上十条,上十条２丁目,上十条２丁目,249,150,53,28,10,5,2,-,-,-,-,1
4,1311701003,北区,上十条,上十条３丁目,上十条３丁目,138,99,26,7,5,1,-,-,-,-,-,-
4,1311701004,北区,上十条,上十条４丁目,上十条４丁目,55,41,6,6,1,-,-,-,-,-,-,1
4,1311701005,北区,上十条,上十条５丁目,上十条５丁目,43,31,7,4,1,-,-,-,-,-,-,-
3,1311701100,北区,神谷,,神谷,392,262,63,34,16,8,3,4,1,-,1,-
4,1311701101,北区,神谷,神谷１丁目,神谷１丁目,90,59,15,9,4,1,2,-,-,-,-,-
4,1311701102,北区,神谷,神谷２丁目,神谷２丁目,151,106,28,5,5,6,-,-,1,-,-,-
4,1311701103,北区,神谷,神谷３丁目,神谷３丁目,151,97,20,20,7,1,1,4,-,-,1,-
3,1311701200,北区,赤羽,,赤羽,1200,595,279,160,74,52,23,4,2,-,1,10
4,1311701201,北区,赤羽,赤羽１丁目,赤羽１丁目,716,325,163,114,53,36,17,1,1,-,-,6
4,1311701202,北区,赤羽,赤羽２丁目,赤羽２丁目,439,243,104,44,18,15,6,3,1,-,1,4
4,1311701203,北区,赤羽,赤羽３丁目,赤羽３丁目,45,27,12,2,3,1,-,-,-,-,-,-
3,1311701300,北区,西が丘,,西が丘,176,127,19,14,5,2,5,3,-,1,-,-
4,1311701301,北区,西が丘,西が丘１丁目,西が丘１丁目,97,75,10,8,2,-,1,1,-,-,-,-
4,1311701302,北区,西が丘,西が丘２丁目,西が丘２丁目,58,43,9,4,1,-,1,-,-,-,-,-
4,1311701303,北区,西が丘,西が丘３丁目,西が丘３丁目,21,9,-,2,2,2,3,2,-,1,-,-
3,1311701400,北区,赤羽西,,赤羽西,617,380,106,75,25,11,9,2,1,3,-,5
4,1311701401,北区,赤羽西,赤羽西１丁目,赤羽西１丁目,331,171,71,50,15,9,8,1,-,1,-,5
4,1311701402,北区,赤羽西,赤羽西２丁目,赤羽西２丁目,39,25,9,2,2,1,-,-,-,-,-,-
4,1311701403,北区,赤羽西,赤羽西３丁目,赤羽西３丁目,36,32,3,1,-,-,-,-,-,-,-,-
4,1311701404,北区,赤羽西,赤羽西４丁目,赤羽西４丁目,111,94,7,9,1,-,-,-,-,-,-,-
4,1311701405,北区,赤羽西,赤羽西５丁目,赤羽西５丁目,15,5,4,4,1,-,1,-,-,-,-,-
4,1311701406,北区,赤羽西,赤羽西６丁目,赤羽西６丁目,85,53,12,9,6,1,-,1,1,2,-,-
3,1311701500,北区,志茂,,志茂,509,343,89,45,10,9,7,4,1,-,-,1
4,1311701501,北区,志茂,志茂１丁目,志茂１丁目,98,65,16,12,1,1,3,-,-,-,-,-
4,1311701502,北区,志茂,志茂２丁目,志茂２丁目,186,133,27,15,5,3,2,-,-,-,-,1
4,1311701503,北区,志茂,志茂３丁目,志茂３丁目,90,46,21,10,2,5,2,3,1,-,-,-
4,1311701504,北区,志茂,志茂４丁目,志茂４丁目,74,58,11,5,-,-,-,-,-,-,-,-
4,1311701505,北区,志茂,志茂５丁目,志茂５丁目,61,41,14,3,2,-,-,1,-,-,-,-
3,1311701600,北区,岩淵町,,岩淵町,102,74,17,9,2,-,-,-,-,-,-,-
3,1311701700,北区,赤羽台,,赤羽台,127,78,28,5,5,4,5,-,-,-,1,1
4,1311701701,北区,赤羽台,赤羽台１丁目,赤羽台１丁目,12,4,5,1,1,-,1,-,-,-,-,-
4,1311701702,北区,赤羽台,赤羽台２丁目,赤羽台２丁目,11,2,7,-,1,1,-,-,-,-,-,-
4,1311701703,北区,赤羽台,赤羽台３丁目,赤羽台３丁目,68,49,12,4,1,1,-,-,-,-,-,1
4,1311701704,北区,赤羽台,赤羽台４丁目,赤羽台４丁目,36,23,4,-,2,2,4,-,-,-,1,-
3,1311701800,北区,赤羽南,,赤羽南,217,104,37,35,9,12,10,1,6,-,-,3
4,1311701801,北区,赤羽南,赤羽南１丁目,赤羽南１丁目,137,72,27,23,7,4,2,-,2,-,-,-
4,1311701802,北区,赤羽南,赤羽南２丁目,赤羽南２丁目,80,32,10,12,2,8,8,1,4,-,-,3
3,1311701900,北区,赤羽北,,赤羽北,277,169,54,30,12,8,1,1,-,-,-,2
4,1311701901,北区,赤羽北,赤羽北１丁目,赤羽北１丁目,66,39,10,9,3,5,-,-,-,-,-,-
4,1311701902,北区,赤羽北,赤羽北２丁目,赤羽北２丁目,143,77,35,17,7,3,1,1,-,-,-,2
4,1311701903,北区,赤羽北,赤羽北３丁目,赤羽北３丁目,68,53,9,4,2,-,-,-,-,-,-,-
3,1311702000,北区,浮間,,浮間,619,306,121,109,25,22,17,9,2,2,3,3
4,1311702001,北区,浮間,浮間１丁目,浮間１丁目,85,56,8,12,2,2,1,4,-,-,-,-
4,1311702002,北区,浮間,浮間２丁目,浮間２丁目,124,64,23,23,3,4,4,2,1,-,-,-
4,1311702003,北区,浮間,浮間３丁目,浮間３丁目,194,110,40,28,5,8,1,1,-,-,-,1
4,1311702004,北区,浮間,浮間４丁目,浮間４丁目,150,62,40,27,11,4,4,-,-,-,-,2
4,1311702005,北区,浮間,浮間５丁目,浮間５丁目,66,14,10,19,4,4,7,2,1,2,3,-
3,1311702100,北区,桐ヶ丘,,桐ヶ丘,67,47,5,8,1,4,-,1,1,-,-,-
4,1311702101,北区,桐ヶ丘,桐ヶ丘１丁目,桐ヶ丘１丁目,46,31,3,5,1,4,-,1,1,-,-,-
4,1311702102,北区,桐ヶ丘,桐ヶ丘２丁目,桐ヶ丘２丁目,21,16,2,3,-,-,-,-,-,-,-,-
3,1311702200,北区,滝野川,,滝野川,1102,727,183,103,44,16,10,14,2,1,-,2
4,1311702201,北区,滝野川,滝野川１丁目,滝野川１丁目,179,133,25,10,5,1,2,1,1,-,-,1
4,1311702202,北区,滝野川,滝野川２丁目,滝野川２丁目,96,71,14,5,3,-,-,3,-,-,-,-
4,1311702203,北区,滝野川,滝野川３丁目,滝野川３丁目,111,73,20,9,6,3,-,-,-,-,-,-
4,1311702204,北区,滝野川,滝野川４丁目,滝野川４丁目,32,23,6,1,-,-,1,1,-,-,-,-
4,1311702205,北区,滝野川,滝野川５丁目,滝野川５丁目,97,58,15,11,6,2,1,3,-,1,-,-
4,1311702206,北区,滝野川,滝野川６丁目,滝野川６丁目,280,201,38,21,9,5,3,3,-,-,-,-
4,1311702207,北区,滝野川,滝野川７丁目,滝野川７丁目,307,168,65,46,15,5,3,3,1,-,-,1
3,1311702300,北区,西ケ原,,西ケ原,631,434,120,36,13,12,7,5,2,1,1,-
4,1311702301,北区,西ケ原,西ケ原１丁目,西ケ原１丁目,261,172,56,17,7,5,3,1,-,-,-,-
4,1311702302,北区,西ケ原,西ケ原２丁目,西ケ原２丁目,78,46,18,5,2,2,1,2,-,1,1,-
4,1311702303,北区,西ケ原,西ケ原３丁目,西ケ原３丁目,136,98,23,6,2,2,2,2,1,-,-,-
4,1311702304,北区,西ケ原,西ケ原４丁目,西ケ原４丁目,156,118,23,8,2,3,1,-,1,-,-,-
3,1311702400,北区,栄町,,栄町,89,63,14,2,2,2,3,1,1,-,-,1
3,1311702500,北区,上中里,,上中里,227,143,39,27,4,4,4,4,2,-,-,-
4,1311702501,北区,上中里,上中里１丁目,上中里１丁目,71,50,11,5,1,2,1,1,-,-,-,-
4,1311702502,北区,上中里,上中里２丁目,上中里２丁目,96,53,16,17,1,1,3,3,2,-,-,-
4,1311702503,北区,上中里,上中里３丁目,上中里３丁目,60,40,12,5,2,1,-,-,-,-,-,-
3,1311702600,北区,中里,,中里,359,231,61,46,10,4,6,-,-,-,-,1
4,1311702601,北区,中里,中里１丁目,中里１丁目,157,108,29,16,1,1,1,-,-,-,-,1
4,1311702602,北区,中里,中里２丁目,中里２丁目,148,92,22,23,8,2,1,-,-,-,-,-
4,1311702603,北区,中里,中里３丁目,中里３丁目,54,31,10,7,1,1,4,-,-,-,-,-
3,1311702700,北区,昭和町,,昭和町,223,125,46,24,16,6,5,-,1,-,-,-
4,1311702701,北区,昭和町,昭和町１丁目,昭和町１丁目,83,54,16,8,3,-,2,-,-,-,-,-
4,1311702702,北区,昭和町,昭和町２丁目,昭和町２丁目,104,49,25,13,11,4,1,-,1,-,-,-
4,1311702703,北区,昭和町,昭和町３丁目,昭和町３丁目,36,22,5,3,2,2,2,-,-,-,-,-
3,1311702800,北区,田端新町,,田端新町,363,219,66,47,8,11,6,5,-,-,-,1
4,1311702801,北区,田端新町,田端新町１丁目,田端新町１丁目,136,76,24,21,4,6,3,2,-,-,-,-
4,1311702802,北区,田端新町,田端新町２丁目,田端新町２丁目,103,55,23,16,2,1,3,2,-,-,-,1
4,1311702803,北区,田端新町,田端新町３丁目,田端新町３丁目,124,88,19,10,2,4,-,1,-,-,-,-
3,1311702900,北区,東田端,,東田端,258,106,63,32,23,19,5,6,1,-,2,1
4,1311702901,北区,東田端,東田端１丁目,東田端１丁目,132,45,36,16,16,12,2,3,1,-,-,1
4,1311702902,北区,東田端,東田端２丁目,東田端２丁目,126,61,27,16,7,7,3,3,-,-,2,-
3,1311703000,北区,田端,,田端,538,361,95,41,14,6,12,3,2,2,-,2
4,1311703001,北区,田端,田端１丁目,田端１丁目,156,107,22,12,4,4,6,-,-,-,-,1
4,1311703002,北区,田端,田端２丁目,田端２丁目,71,54,10,6,1,-,-,-,-,-,-,-
4,1311703003,北区,田端,田端３丁目,田端３丁目,104,66,27,6,2,-,2,-,1,-,-,-
4,1311703004,北区,田端,田端４丁目,田端４丁目,74,55,12,6,1,-,-,-,-,-,-,-
4,1311703005,北区,田端,田端５丁目,田端５丁目,76,58,12,4,1,1,-,-,-,-,-,-
4,1311703006,北区,田端,田端６丁目,田端６丁目,57,21,12,7,5,1,4,3,1,2,-,1
2,1311800000,荒川区,,,荒川区,9060,5717,1666,928,293,217,139,39,11,11,4,35
3,1311800100,荒川区,南千住,,南千住,1234,741,229,128,44,40,30,8,2,3,1,8
4,1311800101,荒川区,南千住,南千住１丁目,南千住１丁目,258,195,41,10,4,3,3,1,-,-,-,1
4,1311800102,荒川区,南千住,南千住２丁目,南千住２丁目,110,73,25,6,3,3,-,-,-,-,-,-
4,1311800103,荒川区,南千住,南千住３丁目,南千住３丁目,139,59,29,24,9,9,4,2,-,1,1,1
4,1311800104,荒川区,南千住,南千住４丁目,南千住４丁目,107,27,19,26,11,6,12,2,1,1,-,2
4,1311800105,荒川区,南千住,南千住５丁目,南千住５丁目,207,142,40,15,4,3,2,1,-,-,-,-
4,1311800106,荒川区,南千住,南千住６丁目,南千住６丁目,182,111,34,22,1,6,6,1,1,-,-,-
4,1311800107,荒川区,南千住,南千住７丁目,南千住７丁目,136,73,29,15,10,5,1,-,-,-,-,3
4,1311800108,荒川区,南千住,南千住８丁目,南千住８丁目,95,61,12,10,2,5,2,1,-,1,-,1
3,1311800200,荒川区,荒川,,荒川,1302,879,214,124,28,27,18,4,1,2,1,4
4,1311800201,荒川区,荒川,荒川１丁目,荒川１丁目,144,94,23,17,5,4,1,-,-,-,-,-
4,1311800202,荒川区,荒川,荒川２丁目,荒川２丁目,151,115,17,11,4,2,-,-,-,-,-,2
4,1311800203,荒川区,荒川,荒川３丁目,荒川３丁目,250,184,39,13,4,5,3,-,-,1,-,1
4,1311800204,荒川区,荒川,荒川４丁目,荒川４丁目,144,105,22,13,-,2,2,-,-,-,-,-
4,1311800205,荒川区,荒川,荒川５丁目,荒川５丁目,142,87,33,14,2,4,1,1,-,-,-,-
4,1311800206,荒川区,荒川,荒川６丁目,荒川６丁目,192,133,29,17,6,4,2,-,-,-,-,1
4,1311800207,荒川区,荒川,荒川７丁目,荒川７丁目,203,114,40,30,5,6,5,1,-,1,1,-
4,1311800208,荒川区,荒川,荒川８丁目,荒川８丁目,76,47,11,9,2,-,4,2,1,-,-,-
3,1311800300,荒川区,町屋,,町屋,1160,769,190,115,32,30,17,2,2,-,-,3
4,1311800301,荒川区,町屋,町屋１丁目,町屋１丁目,228,145,35,21,10,14,3,-,-,-,-,-
4,1311800302,荒川区,町屋,町屋２丁目,町屋２丁目,203,134,40,20,4,3,1,-,1,-,-,-
4,1311800303,荒川区,町屋,町屋３丁目,町屋３丁目,216,153,35,15,5,3,3,1,-,-,-,1
4,1311800304,荒川区,町屋,町屋４丁目,町屋４丁目,129,107,13,6,2,-,1,-,-,-,-,-
4,1311800305,荒川区,町屋,町屋５丁目,町屋５丁目,77,56,11,5,2,2,1,-,-,-,-,-
4,1311800306,荒川区,町屋,町屋６丁目,町屋６丁目,111,67,9,20,3,6,4,-,1,-,-,1
4,1311800307,荒川区,町屋,町屋７丁目,町屋７丁目,85,47,21,10,4,1,2,-,-,-,-,-
4,1311800308,荒川区,町屋,町屋８丁目,町屋８丁目,111,60,26,18,2,1,2,1,-,-,-,1
3,1311800400,荒川区,東尾久,,東尾久,1079,764,182,88,18,11,7,2,1,2,1,3
4,1311800401,荒川区,東尾久,東尾久１丁目,東尾久１丁目,172,127,27,12,2,2,1,1,-,-,-,-
4,1311800402,荒川区,東尾久,東尾久２丁目,東尾久２丁目,160,113,32,11,2,1,-,-,-,-,-,1
4,1311800403,荒川区,東尾久,東尾久３丁目,東尾久３丁目,114,81,17,12,4,-,-,-,-,-,-,-
4,1311800404,荒川区,東尾久,東尾久４丁目,東尾久４丁目,201,143,37,15,3,1,2,-,-,-,-,-
4,1311800405,荒川区,東尾久,東尾久５丁目,東尾久５丁目,171,125,27,14,-,3,-,-,1,-,-,1
4,1311800406,荒川区,東尾久,東尾久６丁目,東尾久６丁目,151,108,23,11,5,2,1,1,-,-,-,-
4,1311800407,荒川区,東尾久,東尾久７丁目,東尾久７丁目,10,1,2,3,-,-,1,-,-,2,1,-
4,1311800408,荒川区,東尾久,東尾久８丁目,東尾久８丁目,100,66,17,10,2,2,2,-,-,-,-,1
3,1311800500,荒川区,西尾久,,西尾久,1045,695,173,98,32,19,18,5,-,1,1,3
4,1311800501,荒川区,西尾久,西尾久１丁目,西尾久１丁目,143,105,19,13,4,1,-,-,-,-,-,1
4,1311800502,荒川区,西尾久,西尾久２丁目,西尾久２丁目,189,130,37,16,3,1,-,1,-,-,1,-
4,1311800503,荒川区,西尾久,西尾久３丁目,西尾久３丁目,109,83,11,11,1,1,1,-,-,-,-,1
4,1311800504,荒川区,西尾久,西尾久４丁目,西尾久４丁目,118,80,19,13,1,2,3,-,-,-,-,-
4,1311800505,荒川区,西尾久,西尾久５丁目,西尾久５丁目,105,81,13,4,3,1,1,1,-,-,-,1
4,1311800506,荒川区,西尾久,西尾久６丁目,西尾久６丁目,67,51,6,5,2,2,1,-,-,-,-,-
4,1311800507,荒川区,西尾久,西尾久７丁目,西尾久７丁目,221,117,44,26,15,7,9,2,-,1,-,-
4,1311800508,荒川区,西尾久,西尾久８丁目,西尾久８丁目,93,48,24,10,3,4,3,1,-,-,-,-
3,1311800600,荒川区,東日暮里,,東日暮里,1690,1061,329,170,57,38,22,9,3,-,-,1
4,1311800601,荒川区,東日暮里,東日暮里１丁目,東日暮里１丁目,192,109,43,24,7,5,3,1,-,-,-,-
4,1311800602,荒川区,東日暮里,東日暮里２丁目,東日暮里２丁目,198,119,38,24,7,6,3,-,1,-,-,-
4,1311800603,荒川区,東日暮里,東日暮里３丁目,東日暮里３丁目,264,192,41,23,1,4,2,-,1,-,-,-
4,1311800604,荒川区,東日暮里,東日暮里４丁目,東日暮里４丁目,217,153,40,10,4,4,5,-,-,-,-,1
4,1311800605,荒川区,東日暮里,東日暮里５丁目,東日暮里５丁目,449,252,96,61,24,6,5,4,1,-,-,-
4,1311800606,荒川区,東日暮里,東日暮里６丁目,東日暮里６丁目,370,236,71,28,14,13,4,4,-,-,-,-
3,1311800700,荒川区,西日暮里,,西日暮里,1550,808,349,205,82,52,27,9,2,3,-,13
4,1311800701,荒川区,西日暮里,西日暮里１丁目,西日暮里１丁目,228,145,43,23,9,3,1,1,1,-,-,2
4,1311800702,荒川区,西日暮里,西日暮里２丁目,西日暮里２丁目,473,207,115,69,30,27,15,6,-,1,-,3
4,1311800703,荒川区,西日暮里,西日暮里３丁目,西日暮里３丁目,120,83,29,6,1,1,-,-,-,-,-,-
4,1311800704,荒川区,西日暮里,西日暮里４丁目,西日暮里４丁目,101,60,19,11,4,2,3,-,-,-,-,2
4,1311800705,荒川区,西日暮里,西日暮里５丁目,西日暮里５丁目,419,190,96,73,29,16,6,1,1,1,-,6
4,1311800706,荒川区,西日暮里,西日暮里６丁目,西日暮里６丁目,209,123,47,23,9,3,2,1,-,1,-,-
2,1311900000,板橋区,,,板橋区,17825,10313,3540,2086,783,516,313,135,45,26,17,51
3,1311900100,板橋区,板橋,,板橋,1272,735,268,137,53,39,24,8,2,2,-,4
4,1311900101,板橋区,板橋,板橋１丁目,板橋１丁目,576,321,132,65,23,17,11,3,1,1,-,2
4,1311900102,板橋区,板橋,板橋２丁目,板橋２丁目,327,189,66,35,16,9,6,3,-,1,-,2
4,1311900103,板橋区,板橋,板橋３丁目,板橋３丁目,210,128,45,14,8,9,3,2,1,-,-,-
4,1311900104,板橋区,板橋,板橋４丁目,板橋４丁目,159,97,25,23,6,4,4,-,-,-,-,-
3,1311900200,板橋区,加賀,,加賀,113,29,25,17,13,11,8,1,3,2,2,2
4,1311900201,板橋区,加賀,加賀１丁目,加賀１丁目,54,11,11,8,9,7,5,1,-,2,-,-
4,1311900202,板橋区,加賀,加賀２丁目,加賀２丁目,59,18,14,9,4,4,3,-,3,-,2,2
3,1311900300,板橋区,大山東町,,大山東町,412,257,89,34,14,12,3,3,-,-,-,-
3,1311900400,板橋区,大山金井町,,大山金井町,245,165,45,18,10,5,1,-,-,-,-,1
3,1311900500,板橋区,熊野町,,熊野町,160,100,23,19,10,6,-,1,1,-,-,-
3,1311900600,板橋区,中丸町,,中丸町,228,136,32,31,10,9,4,4,1,-,1,-
3,1311900700,板橋区,南町,,南町,114,75,19,11,3,2,2,2,-,-,-,-
3,1311900800,板橋区,稲荷台,,稲荷台,50,31,5,8,3,2,1,-,-,-,-,-
3,1311900900,板橋区,仲宿,,仲宿,287,194,52,21,11,5,3,-,1,-,-,-
3,1311901000,板橋区,氷川町,,氷川町,183,107,38,25,6,5,2,-,-,-,-,-
3,1311901100,板橋区,栄町,,栄町,114,70,21,12,4,3,1,1,-,-,2,-
3,1311901200,板橋区,大山町,,大山町,423,256,81,49,15,11,8,1,-,-,-,2
3,1311901300,板橋区,大山西町,,大山西町,117,81,23,9,1,1,-,2,-,-,-,-
3,1311901400,板橋区,幸町,,幸町,141,85,26,16,6,3,1,2,-,1,-,1
3,1311901500,板橋区,中板橋,,中板橋,276,191,44,31,6,1,2,-,-,-,-,1
3,1311901600,板橋区,仲町,,仲町,118,69,29,12,3,3,-,2,-,-,-,-
3,1311901700,板橋区,弥生町,,弥生町,188,123,28,22,8,1,2,2,2,-,-,-
3,1311901800,板橋区,本町,,本町,209,127,42,24,9,2,1,-,-,2,-,2
3,1311901900,板橋区,大和町,,大和町,174,101,39,23,6,3,1,1,-,-,-,-
3,1311902000,板橋区,双葉町,,双葉町,135,88,26,16,4,1,-,-,-,-,-,-
3,1311902100,板橋区,富士見町,,富士見町,81,58,11,6,2,4,-,-,-,-,-,-
3,1311902200,板橋区,大谷口上町,,大谷口上町,147,96,23,14,6,4,1,-,-,-,2,1
3,1311902300,板橋区,大谷口北町,,大谷口北町,207,150,33,18,3,2,1,-,-,-,-,-
3,1311902400,板橋区,大谷口,,大谷口,127,97,19,8,1,2,-,-,-,-,-,-
4,1311902401,板橋区,大谷口,大谷口１丁目,大谷口１丁目,53,42,9,1,-,1,-,-,-,-,-,-
4,1311902402,板橋区,大谷口,大谷口２丁目,大谷口２丁目,74,55,10,7,1,1,-,-,-,-,-,-
3,1311902500,板橋区,向原,,向原,189,102,39,24,9,7,6,2,-,-,-,-
4,1311902501,板橋区,向原,向原１丁目,向原１丁目,50,36,8,3,2,-,1,-,-,-,-,-
4,1311902502,板橋区,向原,向原２丁目,向原２丁目,59,34,10,7,4,2,2,-,-,-,-,-
4,1311902503,板橋区,向原,向原３丁目,向原３丁目,80,32,21,14,3,5,3,2,-,-,-,-
3,1311902600,板橋区,小茂根,,小茂根,388,215,86,39,18,15,7,4,2,1,1,-
4,1311902601,板橋区,小茂根,小茂根１丁目,小茂根１丁目,104,63,26,12,-,-,-,2,-,1,-,-
4,1311902602,板橋区,小茂根,小茂根２丁目,小茂根２丁目,111,73,19,6,6,5,1,1,-,-,-,-
4,1311902603,板橋区,小茂根,小茂根３丁目,小茂根３丁目,51,24,8,6,3,4,4,-,2,-,-,-
4,1311902604,板橋区,小茂根,小茂根４丁目,小茂根４丁目,74,33,17,10,7,4,1,1,-,-,1,-
4,1311902605,板橋区,小茂根,小茂根５丁目,小茂根５丁目,48,22,16,5,2,2,1,-,-,-,-,-
3,1311902700,板橋区,常盤台,,常盤台,758,468,146,84,36,10,4,3,4,-,-,3
4,1311902701,板橋区,常盤台,常盤台１丁目,常盤台１丁目,222,129,52,27,8,3,1,1,-,-,-,1
4,1311902702,板橋区,常盤台,常盤台２丁目,常盤台２丁目,133,70,27,20,10,2,1,1,1,-,-,1
4,1311902703,板橋区,常盤台,常盤台３丁目,常盤台３丁目,113,68,23,10,7,3,2,-,-,-,-,-
4,1311902704,板橋区,常盤台,常盤台４丁目,常盤台４丁目,290,201,44,27,11,2,-,1,3,-,-,1
3,1311902800,板橋区,南常盤台,,南常盤台,373,241,78,32,12,8,-,2,-,-,-,-
4,1311902801,板橋区,南常盤台,南常盤台１丁目,南常盤台１丁目,243,151,49,27,10,5,-,1,-,-,-,-
4,1311902802,板橋区,南常盤台,南常盤台２丁目,南常盤台２丁目,130,90,29,5,2,3,-,1,-,-,-,-
3,1311902900,板橋区,東新町,,東新町,212,132,39,21,6,8,6,-,-,-,-,-
4,1311902901,板橋区,東新町,東新町１丁目,東新町１丁目,104,65,16,14,3,4,2,-,-,-,-,-
4,1311902902,板橋区,東新町,東新町２丁目,東新町２丁目,108,67,23,7,3,4,4,-,-,-,-,-
3,1311903000,板橋区,上板橋,,上板橋,461,300,83,53,16,3,3,1,1,-,-,1
4,1311903001,板橋区,上板橋,上板橋１丁目,上板橋１丁目,132,88,21,17,4,1,1,-,-,-,-,-
4,1311903002,板橋区,上板橋,上板橋２丁目,上板橋２丁目,197,121,43,21,9,1,1,-,-,-,-,1
4,1311903003,板橋区,上板橋,上板橋３丁目,上板橋３丁目,132,91,19,15,3,1,1,1,1,-,-,-
3,1311903100,板橋区,清水町,,清水町,184,124,28,16,10,4,-,1,1,-,-,-
3,1311903200,板橋区,蓮沼町,,蓮沼町,210,133,37,22,6,5,2,1,2,-,1,1
3,1311903300,板橋区,大原町,,大原町,88,54,20,4,7,-,2,1,-,-,-,-
3,1311903400,板橋区,泉町,,泉町,82,55,18,6,2,1,-,-,-,-,-,-
3,1311903500,板橋区,宮本町,,宮本町,158,102,30,11,7,3,2,1,-,1,-,1
3,1311903600,板橋区,志村,,志村,473,255,94,65,20,16,9,7,-,4,2,1
