産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
3,I,58,586,菓子・パン小売業,6344,42980,9164,33443,1300,-,-,-,2454,5599,1125,4431,1249,8225,1462,6671,871,11871,2401,9346,248,5924,1211,4642,156,5702,1394,4265,49,3123,836,2287,15,1896,489,1407,1,235,33,202,1,405,213,192,-,-,-,-
3,I,58,589,その他の飲食料品小売業,15001,149207,70707,78038,2646,-,-,-,3640,7554,2469,5063,2019,14180,5793,8289,4465,62936,31924,30783,1723,39273,19006,20154,390,13860,6725,7135,80,5172,2135,3037,30,3884,1560,2324,5,1189,576,613,3,1159,519,640,-,-,-,-
2,I,59,000,機械器具小売業,9381,63493,47630,15675,2352,-,-,-,4081,8325,5373,2891,1221,7963,5889,2027,982,13881,10867,2983,408,9796,7759,1988,202,7306,5488,1818,78,5171,3994,1177,42,6219,4492,1727,9,2138,1606,532,4,1413,1077,336,2,1281,1085,196
3,I,59,590,管理，補助的経済活動を行う事業所,86,2821,2138,683,16,-,-,-,18,39,24,15,15,96,73,23,13,183,152,31,5,120,97,23,4,151,115,36,7,512,387,125,4,667,546,121,3,703,499,204,1,350,245,105,-,-,-,-
3,I,59,591,自動車小売業,4206,30796,25775,4909,882,-,-,-,1696,3617,2586,997,587,3866,3180,657,609,8880,7675,1205,294,7011,6029,933,104,3783,3249,534,24,1450,1212,238,7,909,757,152,2,528,440,88,-,-,-,-,1,752,647,105
3,I,59,592,自転車小売業,1307,2517,1997,520,603,-,-,-,557,1004,714,290,90,590,516,74,49,621,515,106,4,100,93,7,3,104,73,31,1,98,86,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,59,593,機械器具小売業（自動車，自転車を除く）,3782,27359,17720,9563,851,-,-,-,1810,3665,2049,1589,529,3411,2120,1273,311,4197,2525,1641,105,2565,1540,1025,91,3268,2051,1217,46,3111,2309,802,31,4643,3189,1454,4,907,667,240,3,1063,832,231,1,529,438,91
2,I,60,000,その他の小売業,35069,209314,86906,121758,8294,-,-,-,14021,31303,11315,19798,6989,45834,16448,29200,3917,52723,22724,29828,1003,23531,10882,12581,513,18798,8464,10299,221,15018,7000,8018,76,10690,5287,5403,19,4492,2009,2483,13,4891,2269,2622,3,2034,508,1526
3,I,60,600,管理，補助的経済活動を行う事業所,417,8920,4624,4292,88,-,-,-,135,280,132,144,55,366,192,174,42,543,311,232,19,489,288,201,29,1143,616,527,29,2076,1098,978,14,1999,1177,822,2,427,141,286,4,1597,669,928,-,-,-,-
3,I,60,601,家具・建具・畳小売業,1773,7834,3569,4243,665,-,-,-,782,1519,757,758,212,1339,551,780,62,854,367,477,15,335,162,173,9,336,133,203,15,1169,489,680,9,1309,619,690,3,673,403,270,1,300,88,212,-,-,-,-
3,I,60,602,じゅう器小売業,1640,4207,1472,2648,618,-,-,-,719,1428,521,900,225,1436,488,934,60,730,253,439,8,184,67,89,7,262,118,144,3,167,25,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,603,医薬品・化粧品小売業,9588,67774,15167,52432,927,-,-,-,3423,8918,1630,7222,3085,20288,3548,16678,1585,21101,5061,15993,373,8818,2375,6443,163,5787,1537,4250,28,1788,616,1172,2,312,87,225,-,-,-,-,2,762,313,449,-,-,-,-
3,I,60,604,農耕用品小売業,100,381,223,158,26,-,-,-,48,85,38,47,15,105,55,50,7,95,64,31,4,96,66,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,605,燃料小売業,1798,11833,9387,2413,206,-,-,-,670,1677,1219,455,517,3466,2853,595,338,4466,3581,873,47,1069,811,258,11,407,316,91,8,585,444,141,1,163,163,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,606,書籍・文房具小売業,3814,33535,18814,14645,760,-,-,-,1244,2595,1001,1585,611,4180,2277,1891,750,10526,6592,3919,272,6336,4008,2288,126,4651,2670,1981,34,2264,940,1324,12,1650,876,774,4,1030,347,683,1,303,103,200,-,-,-,-
3,I,60,607,スポーツ用品・がん具・娯楽用品・楽器小売業,2522,17954,10011,7910,600,-,-,-,978,2146,1260,865,497,3262,1932,1318,267,3601,2133,1468,75,1742,929,813,55,2040,1252,788,37,2324,1354,970,8,1086,572,514,4,967,461,506,-,-,-,-,1,786,118,668
3,I,60,608,写真機・時計・眼鏡小売業,2132,10054,5297,4713,472,-,-,-,991,2338,1318,999,460,3040,1595,1435,167,2169,1031,1125,18,416,257,159,12,451,284,167,6,384,243,141,3,371,186,185,1,221,113,108,2,664,270,394,-,-,-,-
3,I,60,609,他に分類されない小売業,11285,46822,18342,28304,3932,-,-,-,5031,10317,3439,6823,1312,8352,2957,5345,639,8638,3331,5271,172,4046,1919,2127,101,3721,1538,2148,61,4261,1791,2470,27,3800,1607,2193,5,1174,544,630,3,1265,826,439,2,1248,390,858
2,I,61,000,無店舗小売業,4552,59667,30112,29254,1110,-,-,-,1814,3581,1639,1864,604,3985,2150,1754,426,5780,3307,2446,178,4321,2507,1814,183,6943,4209,2619,135,9403,4916,4487,65,8977,4331,4646,15,3717,1650,2067,11,4547,2176,2371,11,8413,3227,5186
3,I,61,610,管理，補助的経済活動を行う事業所,53,1715,917,798,10,-,-,-,12,30,13,17,11,82,46,36,2,26,12,14,3,73,35,38,3,108,76,32,5,372,199,173,5,605,316,289,2,419,220,199,-,-,-,-,-,-,-,-
3,I,61,611,通信販売・訪問販売小売業,3433,44958,21584,23143,795,-,-,-,1455,2866,1277,1514,448,2950,1514,1367,322,4349,2388,1951,123,3001,1478,1523,113,4285,2307,1901,102,7142,3414,3728,44,6019,2970,3049,12,3032,1278,1754,9,3627,1939,1688,10,7687,3019,4668
3,I,61,612,自動販売機による小売業,282,3457,3066,388,136,-,-,-,33,50,24,23,18,122,89,33,21,310,282,28,26,643,598,45,35,1316,1199,117,11,706,614,92,2,310,260,50,-,-,-,-,-,-,-,-,-,-,-,-
3,I,61,619,その他の無店舗小売業,784,9537,4545,4925,169,-,-,-,314,635,325,310,127,831,501,318,81,1095,625,453,26,604,396,208,32,1234,627,569,17,1183,689,494,14,2043,785,1258,1,266,152,114,2,920,237,683,1,726,208,518
1,J,00,000,金融業，保険業,10601,398227,202150,194555,1302,-,-,-,2496,5514,2654,2738,1247,8255,4542,3555,1992,28359,15405,12784,1145,27780,12175,15605,1120,42131,15836,26253,743,50215,22761,27264,283,38082,19306,18651,95,22962,13311,9651,78,29167,16162,13005,100,145762,79998,65049
2,J,62,000,銀行業,1590,101736,48382,53354,55,-,-,-,88,217,123,94,104,706,375,331,339,5041,2608,2433,322,7904,3453,4451,348,13004,4599,8405,211,14368,5306,9062,82,10581,4319,6262,12,2729,1569,1160,13,4932,2484,2448,16,42254,23546,18708
3,J,62,620,管理，補助的経済活動を行う事業所,13,2673,1854,819,1,-,-,-,3,8,7,1,-,-,-,-,2,23,16,7,1,26,24,2,-,-,-,-,2,111,64,47,2,239,135,104,1,239,103,136,-,-,-,-,1,2027,1505,522
3,J,62,621,中央銀行,1,2458,1465,993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2458,1465,993
3,J,62,622,銀行（中央銀行を除く）,1576,96605,45063,51542,54,-,-,-,85,209,116,93,104,706,375,331,337,5018,2592,2426,321,7878,3429,4449,348,13004,4599,8405,209,14257,5242,9015,80,10342,4184,6158,11,2490,1466,1024,13,4932,2484,2448,14,37769,20576,17193
2,J,63,000,協同組織金融業,1145,29378,18685,10693,2,-,-,-,74,223,138,85,95,674,385,289,612,8717,5466,3251,219,5213,3096,2117,76,2731,1604,1127,30,2120,1290,830,19,2686,1804,882,10,2469,1802,667,5,1857,1144,713,3,2688,1956,732
3,J,63,630,管理，補助的経済活動を行う事業所,2,376,271,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,68,26,42,-,-,-,-,-,-,-,-,1,308,245,63,-,-,-,-
3,J,63,631,中小企業等金融業,1125,26510,16694,9816,2,-,-,-,71,217,135,82,94,669,382,287,605,8612,5406,3206,219,5213,3096,2117,76,2731,1604,1127,27,1915,1183,732,18,2572,1735,837,7,1707,1210,497,4,1549,899,650,2,1325,1044,281
3,J,63,632,農林水産金融業,18,2492,1720,772,-,-,-,-,3,6,3,3,1,5,3,2,7,105,60,45,-,-,-,-,-,-,-,-,2,137,81,56,1,114,69,45,3,762,592,170,-,-,-,-,1,1363,912,451
2,J,64,000,貸金業，クレジットカード業等非預金信用機関,1027,42917,22450,20371,211,-,-,-,397,779,431,344,102,657,382,258,82,1210,876,334,46,1083,525,558,42,1558,823,735,56,3988,2002,1911,42,5989,2628,3361,18,4378,2369,2009,14,5033,2690,2343,17,18242,9724,8518
3,J,64,640,管理，補助的経済活動を行う事業所,8,286,210,76,2,-,-,-,1,1,1,-,1,8,7,1,1,11,3,8,1,25,18,7,-,-,-,-,1,90,85,5,1,151,96,55,-,-,-,-,-,-,-,-,-,-,-,-
3,J,64,641,貸金業,279,5759,3407,2346,54,-,-,-,123,257,156,101,51,326,208,112,10,120,74,46,12,294,159,135,7,272,162,110,10,736,462,274,3,348,136,212,5,1274,821,453,2,727,528,199,2,1405,701,704
3,J,64,642,質屋,305,403,229,170,122,-,-,-,172,301,158,139,9,52,32,20,1,16,15,1,-,-,-,-,1,34,24,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,J,64,643,クレジットカード業，割賦金融業,267,26985,12690,14290,9,-,-,-,41,102,53,49,27,181,90,86,57,883,651,232,21,479,187,292,20,716,289,427,32,2270,912,1358,32,4694,1948,2746,8,1968,878,1090,10,3584,1695,1889,10,12108,5987,6121
3,J,64,649,その他の非預金信用機関,168,9484,5914,3489,24,-,-,-,60,118,63,55,14,90,45,39,13,180,133,47,12,285,161,124,14,536,348,188,13,892,543,274,6,796,448,348,5,1136,670,466,2,722,467,255,5,4729,3036,1693
2,J,65,000,金融商品取引業，商品先物取引業,1386,50200,33723,15571,339,-,-,-,327,701,380,297,169,1116,744,323,163,2251,1524,674,95,2299,1553,746,102,3933,2515,1418,108,7468,4821,2582,35,4526,3162,1364,14,3331,2536,795,19,7045,4775,2270,15,17530,11713,5102
3,J,65,650,管理，補助的経済活動を行う事業所,2,30,7,23,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30,7,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,J,65,651,金融商品取引業,1336,49028,32779,15343,326,-,-,-,318,677,364,289,165,1090,721,320,157,2161,1453,655,93,2243,1507,736,93,3618,2277,1341,103,7056,4478,2513,33,4277,2955,1322,14,3331,2536,795,19,7045,4775,2270,15,17530,11713,5102
3,J,65,652,商品先物取引業，商品投資顧問業,48,1142,937,205,12,-,-,-,9,24,16,8,4,26,23,3,6,90,71,19,2,56,46,10,8,285,231,54,5,412,343,69,2,249,207,42,-,-,-,-,-,-,-,-,-,-,-,-
2,J,66,000,補助的金融業等,419,11671,7579,4042,39,-,-,-,105,243,144,95,97,656,351,287,65,852,503,321,31,746,469,277,25,960,648,312,25,1740,1151,589,22,2998,2060,938,5,1117,726,391,3,1020,737,283,2,1339,790,549
3,J,66,660,管理，補助的経済活動を行う事業所,1,6,5,1,-,-,-,-,-,-,-,-,1,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,J,66,661,補助的金融業，金融附帯業,290,9167,6053,3114,27,-,-,-,76,159,90,69,57,382,179,203,39,520,302,218,24,584,381,203,20,780,499,281,20,1412,908,504,18,2520,1750,770,5,1117,726,391,3,1020,737,283,1,673,481,192
3,J,66,662,信託業,13,181,97,71,1,-,-,-,2,5,5,-,-,-,-,-,6,79,36,30,3,67,39,28,1,30,17,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,J,66,663,金融代理業,115,2317,1424,856,11,-,-,-,27,79,49,26,39,268,167,83,20,253,165,73,4,95,49,46,4,150,132,18,5,328,243,85,4,478,310,168,-,-,-,-,-,-,-,-,1,666,309,357
2,J,67,000,保険業（保険媒介代理業，保険サービス業を含む）,5030,162251,71297,90484,656,-,-,-,1504,3349,1438,1821,680,4446,2305,2067,730,10274,4419,5766,431,10510,3069,7441,526,19912,5632,14238,313,20531,8191,12290,83,11302,5333,5844,36,8938,4309,4629,24,9280,4332,4948,47,63709,32269,31440
3,J,67,670,管理，補助的経済活動を行う事業所,16,2595,1906,689,1,-,-,-,4,12,5,7,1,5,3,2,2,30,12,18,-,-,-,-,2,81,50,31,2,137,107,30,1,138,59,79,-,-,-,-,-,-,-,-,3,2192,1670,522
3,J,67,671,生命保険業,1588,88110,33106,55003,3,-,-,-,99,238,108,129,178,1214,584,630,353,5075,1766,3309,294,7187,1355,5832,402,15112,3079,12033,184,11677,3692,7985,23,3207,1268,1939,17,4208,1836,2372,8,2997,1592,1405,27,37195,17826,19369
3,J,67,672,損害保険業,377,40505,19261,21244,5,-,-,-,11,27,20,7,34,222,114,108,111,1642,705,937,49,1202,462,740,43,1635,784,851,62,4338,1876,2462,31,4231,1897,2334,10,2508,1235,1273,8,3228,1151,2077,13,21472,11017,10455
3,J,67,673,共済事業，少額短期保険業,178,4857,2767,2086,11,-,-,-,47,101,45,52,25,169,90,79,43,587,346,241,14,330,182,148,16,661,390,271,14,963,637,326,3,340,219,121,2,504,283,221,3,1202,575,627,-,-,-,-
3,J,67,674,保険媒介代理業,2730,22742,12193,10084,620,-,-,-,1312,2902,1217,1600,420,2683,1404,1205,193,2551,1362,1100,60,1444,843,601,49,1893,973,878,41,2760,1452,1258,22,3048,1662,1261,5,1267,817,450,5,1853,1014,839,3,2341,1449,892
3,J,67,675,保険サービス業,141,3442,2064,1378,16,-,-,-,31,69,43,26,22,153,110,43,28,389,228,161,14,347,227,120,14,530,356,174,10,656,427,229,3,338,228,110,2,451,138,313,-,-,-,-,1,509,307,202
1,K,00,000,不動産業，物品賃貸業,55758,264310,164405,98445,25611,-,-,-,22136,39631,19227,20086,4137,26663,16876,9411,2032,27096,17506,9248,674,15995,10113,5808,468,17586,11098,6310,330,22881,14455,8376,198,27011,17999,8890,62,15220,10595,4625,59,21948,14387,7561,51,50279,32149,18130
2,K,68,000,不動産取引業,11735,77895,49582,27615,2688,-,-,-,5797,12331,6548,5605,1927,12440,8068,4104,805,10609,6879,3621,208,4888,3282,1585,120,4455,2973,1482,94,6588,4474,2114,55,7492,4707,2663,17,3982,2646,1336,16,5826,3745,2081,8,9284,6260,3024
3,K,68,680,管理，補助的経済活動を行う事業所,31,1536,843,691,1,-,-,-,12,34,23,9,7,52,36,16,3,39,20,19,1,20,17,3,2,69,31,38,2,165,73,92,1,112,66,46,1,252,113,139,-,-,-,-,1,793,464,329
3,K,68,681,建物売買業，土地売買業,2552,30828,20990,9664,468,-,-,-,1257,2742,1474,1222,408,2553,1657,817,197,2598,1752,797,72,1690,1227,463,51,1877,1376,501,50,3462,2539,923,28,3871,2538,1333,9,2142,1517,625,6,2329,1716,613,6,7564,5194,2370
3,K,68,682,不動産代理業・仲介業,9152,45531,27749,17260,2219,-,-,-,4528,9555,5051,4374,1512,9835,6375,3271,605,7972,5107,2805,135,3178,2038,1119,67,2509,1566,943,42,2961,1862,1099,26,3509,2103,1284,7,1588,1016,572,10,3497,2029,1468,1,927,602,325
2,K,69,000,不動産賃貸業・管理業,41153,130077,78887,50684,22576,-,-,-,15441,25304,11465,13727,1594,10107,6088,3931,736,9852,6098,3665,248,5977,3607,2345,209,8068,4909,3017,150,10396,6432,3914,100,13752,9484,4268,40,10047,7126,2921,32,11918,7986,3932,27,24656,15692,8964
3,K,69,690,管理，補助的経済活動を行う事業所,38,809,459,350,8,-,-,-,17,21,11,10,2,16,12,4,3,37,22,15,1,21,6,15,4,151,119,32,-,-,-,-,2,241,106,135,-,-,-,-,1,322,183,139,-,-,-,-
3,K,69,691,不動産賃貸業（貸家業，貸間業を除く）,8708,33914,20208,13653,4118,-,-,-,3575,6466,2922,3515,524,3340,1945,1371,252,3392,2061,1331,85,2048,1211,837,62,2407,1567,840,46,3177,1947,1230,30,4207,2960,1247,4,1022,592,430,5,1803,948,855,7,6052,4055,1997
3,K,69,692,貸家業，貸間業,20231,23149,11458,11547,13477,-,-,-,6002,9568,3596,5935,448,2766,1534,1226,161,2100,1087,967,60,1465,796,644,41,1554,734,790,25,1650,887,763,10,1348,901,447,3,737,592,145,2,784,629,155,2,1177,702,475
3,K,69,693,駐車場業,2520,6592,4677,1820,1613,-,-,-,654,1055,457,596,114,780,648,132,72,970,770,157,16,369,312,57,28,1078,803,275,13,856,597,209,9,1242,873,369,1,242,217,25,-,-,-,-,-,-,-,-
3,K,69,694,不動産管理業,9656,65613,42085,23314,3360,-,-,-,5193,8194,4479,3671,506,3205,1949,1198,248,3353,2158,1195,86,2074,1282,792,74,2878,1686,1080,66,4713,3001,1712,49,6714,4644,2070,32,8046,5725,2321,24,9009,6226,2783,18,17427,10935,6492
2,K,70,000,物品賃貸業,2748,52312,33514,18542,312,-,-,-,843,1881,1159,694,599,4001,2655,1326,486,6566,4483,1939,214,5027,3156,1843,137,4989,3172,1781,83,5688,3427,2261,43,5767,3808,1959,5,1191,823,368,11,4204,2656,1548,15,12998,8175,4823
3,K,70,700,管理，補助的経済活動を行う事業所,64,2866,1714,1152,5,-,-,-,24,47,33,14,9,54,28,26,9,122,94,28,3,68,34,34,6,222,165,57,4,251,170,81,1,130,101,29,-,-,-,-,1,354,160,194,2,1618,929,689
3,K,70,701,各種物品賃貸業,107,9459,5930,3529,5,-,-,-,22,51,38,13,13,94,59,35,23,302,236,66,11,272,190,82,10,355,236,119,8,581,391,190,4,653,492,161,1,237,157,80,4,1509,961,548,6,5405,3170,2235
3,K,70,702,産業用機械器具賃貸業,788,11652,8795,2849,103,-,-,-,239,536,374,159,198,1339,1034,300,125,1680,1282,398,52,1205,930,275,34,1299,950,349,15,966,733,233,16,2167,1611,556,3,705,497,208,1,355,266,89,2,1400,1118,282
3,K,70,703,事務用機械器具賃貸業,83,2816,1799,996,15,-,-,-,21,45,30,15,9,62,40,22,11,148,96,31,4,102,59,43,9,314,192,122,8,630,422,208,3,384,264,120,-,-,-,-,3,1131,696,435,-,-,-,-
3,K,70,704,自動車賃貸業,531,9373,6813,2547,41,-,-,-,170,322,244,78,122,857,677,180,132,1732,1442,277,32,777,589,188,14,516,361,155,9,600,411,189,6,870,532,338,-,-,-,-,1,361,219,142,4,3338,2338,1000
3,K,70,705,スポーツ・娯楽用品賃貸業,36,444,321,123,6,-,-,-,18,38,28,10,7,46,36,10,2,30,24,6,1,28,24,4,-,-,-,-,1,53,40,13,-,-,-,-,1,249,169,80,-,-,-,-,-,-,-,-
3,K,70,709,その他の物品賃貸業,1132,15596,8093,7289,136,-,-,-,345,834,408,401,241,1549,781,753,184,2552,1309,1133,110,2554,1315,1211,64,2283,1268,979,37,2530,1230,1300,13,1563,808,755,-,-,-,-,1,494,354,140,1,1237,620,617
1,L,00,000,学術研究，専門・技術サービス業,41129,422550,271697,146368,10909,-,-,-,18706,38640,17349,20348,5582,36114,20012,15442,2904,38542,23498,14516,960,22921,14732,7958,810,30498,20053,10018,662,45254,30163,14972,318,44608,29776,14110,124,30217,20252,9965,72,27315,18725,7735,82,108441,77137,31304
2,L,71,000,学術・開発研究機関,994,38112,26216,11415,138,-,-,-,311,647,335,295,161,1072,656,404,120,1654,997,646,72,1723,1183,540,55,2147,1459,688,68,4812,3182,1630,34,4883,3198,1685,11,2745,2017,728,10,3693,2161,1091,14,14736,11028,3708
3,L,71,710,管理，補助的経済活動を行う事業所,11,869,580,289,2,-,-,-,4,8,5,3,1,5,3,2,2,30,20,10,-,-,-,-,1,49,26,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,777,526,251
3,L,71,711,自然科学研究所,771,34139,23915,9748,99,-,-,-,229,478,266,195,131,873,550,316,89,1228,782,435,59,1412,1000,412,43,1694,1218,476,60,4134,2829,1305,27,3923,2590,1333,11,2745,2017,728,10,3693,2161,1091,13,13959,10502,3457
3,L,71,712,人文・社会科学研究所,210,3077,1704,1368,37,-,-,-,78,161,64,97,29,194,103,86,27,369,178,191,13,311,183,128,11,404,215,189,8,678,353,325,7,960,608,352,-,-,-,-,-,-,-,-,-,-,-,-
2,L,72,000,専門サービス業（他に分類されないもの）,25481,203215,118372,82284,7168,-,-,-,12294,25225,10148,14437,3286,21166,11023,9760,1460,19188,10741,8078,432,10263,5844,4188,328,12242,7228,4887,263,17754,10533,7102,130,18110,10576,7258,60,14649,8716,5933,28,10663,6841,3408,32,53955,36722,17233
3,L,72,720,管理，補助的経済活動を行う事業所,35,759,509,250,9,-,-,-,9,14,8,6,5,33,24,9,5,66,45,21,1,23,12,11,2,82,59,23,1,56,39,17,2,268,172,96,1,217,150,67,-,-,-,-,-,-,-,-
3,L,72,721,法律事務所，特許事務所,4172,20395,9400,10919,999,-,-,-,2234,4450,1404,3000,540,3489,1678,1793,241,3145,1719,1414,73,1759,926,833,45,1663,937,726,22,1447,785,662,10,1517,728,789,6,1483,579,904,-,-,-,-,2,1442,644,798
3,L,72,722,公証人役場，司法書士事務所，土地家屋調査士事務所,1523,3453,1979,1431,458,-,-,-,855,1658,866,773,158,1026,665,354,44,541,309,215,6,138,93,45,2,90,46,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,72,723,行政書士事務所,517,449,178,247,344,-,-,-,152,247,90,148,16,102,54,43,3,42,12,20,1,21,8,13,1,37,14,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,72,724,公認会計士事務所，税理士事務所,6750,39670,22719,16767,1494,-,-,-,3806,8353,3101,5185,1067,6787,3528,3190,277,3593,2072,1498,50,1146,642,479,25,935,606,329,12,853,510,343,3,435,246,189,4,930,541,389,4,1519,992,527,8,15119,10481,4638
3,L,72,725,社会保険労務士事務所,753,2038,757,1217,266,-,-,-,356,726,238,470,92,616,254,337,27,340,116,203,7,159,68,91,4,147,62,85,1,50,19,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,72,726,デザイン業,3045,15026,7978,6879,935,-,-,-,1335,2780,1318,1369,434,2771,1388,1337,208,2794,1507,1277,54,1302,706,576,39,1406,731,675,28,1783,1004,779,7,918,478,440,5,1272,846,426,-,-,-,-,-,-,-,-
3,L,72,727,著述・芸術家業,153,59,9,46,124,-,-,-,27,47,6,37,2,12,3,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,72,728,経営コンサルタント業，純粋持株会社,3743,74858,48998,24602,1203,-,-,-,1420,2682,1232,1302,384,2520,1466,973,301,4057,2471,1415,104,2425,1604,706,104,3903,2487,1332,108,7203,4591,2493,59,8457,5398,2933,28,6928,4435,2493,17,6420,4204,1802,15,30263,21110,9153
3,L,72,729,その他の専門サービス業,4790,46508,25845,19926,1336,-,-,-,2100,4268,1885,2147,588,3810,1963,1715,354,4610,2490,2015,136,3290,1785,1434,106,3979,2286,1650,91,6362,3585,2777,49,6515,3554,2811,16,3819,2165,1654,7,2724,1645,1079,7,7131,4487,2644
2,L,73,000,広告業,2820,60195,38612,20868,404,-,-,-,1121,2513,1445,965,504,3290,1993,1138,362,4807,2970,1714,108,2616,1726,890,122,4565,2769,1634,106,7316,4420,2896,45,6191,3732,2291,20,4919,3108,1811,13,5004,3393,1611,15,18974,13056,5918
3,L,73,730,管理，補助的経済活動を行う事業所,3,1,-,1,2,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,73,731,広告業,2817,60194,38612,20867,402,-,-,-,1120,2512,1445,964,504,3290,1993,1138,362,4807,2970,1714,108,2616,1726,890,122,4565,2769,1634,106,7316,4420,2896,45,6191,3732,2291,20,4919,3108,1811,13,5004,3393,1611,15,18974,13056,5918
2,L,74,000,技術サービス業（他に分類されないもの）,11805,120820,88413,31684,3186,-,-,-,4971,10241,5413,4645,1628,10566,6334,4133,962,12893,8790,4078,347,8298,5977,2321,303,11464,8562,2764,224,15299,11995,3304,109,15424,12270,2876,33,7904,6411,1493,21,7955,6330,1625,21,20776,16331,4445
3,L,74,740,管理，補助的経済活動を行う事業所,72,1189,884,305,17,-,-,-,23,48,34,14,9,58,32,26,6,86,59,27,5,111,84,27,5,190,137,53,4,255,197,58,3,441,341,100,-,-,-,-,-,-,-,-,-,-,-,-
3,L,74,741,獣医業,1204,4744,1018,3698,191,-,-,-,673,1516,217,1281,240,1533,265,1258,76,990,275,715,16,398,112,286,7,251,119,132,1,56,30,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,L,74,742,土木建築サービス業,6863,61119,45826,14927,2037,-,-,-,2925,5895,3592,2179,831,5399,3819,1523,491,6634,4937,1685,184,4410,3392,1018,170,6418,4946,1438,129,8831,7063,1768,60,8250,6596,1515,17,3959,3153,806,13,5089,4027,1062,6,6234,4301,1933
