地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,総数／従業者数（人）,開設時期／昭和59年以前／事業所数（事業所）,開設時期／昭和59年以前／従業者数（人）,開設時期／昭和60年～平成６年／事業所数（事業所）,開設時期／昭和60年～平成６年／従業者数（人）,開設時期／平成７年～平成16年／事業所数（事業所）,開設時期／平成７年～平成16年／従業者数（人）,開設時期／平成17年／事業所数（事業所）,開設時期／平成17年／従業者数（人）,開設時期／平成18年／事業所数（事業所）,開設時期／平成18年／従業者数（人）,開設時期／平成19年／事業所数（事業所）,開設時期／平成19年／従業者数（人）,開設時期／平成20年／事業所数（事業所）,開設時期／平成20年／従業者数（人）,開設時期／平成21年／事業所数（事業所）,開設時期／平成21年／従業者数（人）,開設時期／平成22年／事業所数（事業所）,開設時期／平成22年／従業者数（人）,開設時期／平成23年／事業所数（事業所）,開設時期／平成23年／従業者数（人）,開設時期／平成24年／事業所数（事業所）,開設時期／平成24年／従業者数（人）,開設時期／平成25年／事業所数（事業所）,開設時期／平成25年／従業者数（人）,開設時期／平成26年／事業所数（事業所）,開設時期／平成26年／従業者数（人）,開設時期／平成27年／事業所数（事業所）,開設時期／平成27年／従業者数（人）,開設時期／平成28年／事業所数（事業所）,開設時期／平成28年／従業者数（人）,開設時期／不詳／事業所数（事業所）,開設時期／不詳／従業者数（人）
4,1310102602,千代田区,神田神保町,神田神保町２丁目,神田神保町２丁目,612,9108,171,2422,67,626,143,1230,25,289,21,314,18,124,22,234,19,139,12,121,41,1090,15,166,15,1765,7,330,5,37,7,128,24,93
4,1310102603,千代田区,神田神保町,神田神保町３丁目,神田神保町３丁目,328,6447,74,1227,39,342,79,1236,12,616,5,45,11,154,12,942,12,156,10,203,17,193,19,485,14,318,10,186,4,211,5,92,5,41
3,1310102700,千代田区,三崎町,,三崎町,810,14017,220,4946,97,2384,186,2051,31,328,28,253,22,619,27,368,26,324,24,360,31,866,32,418,22,253,18,180,9,118,10,155,27,394
4,1310102701,千代田区,三崎町,三崎町１丁目,三崎町１丁目,68,2581,15,931,13,45,15,279,-,-,2,74,3,132,5,190,2,13,2,25,4,608,2,178,2,18,1,27,-,-,-,-,2,61
4,1310102702,千代田区,三崎町,三崎町２丁目,三崎町２丁目,477,7042,149,3323,52,436,110,1281,22,215,15,85,13,425,11,94,11,77,14,158,17,159,21,197,7,77,12,130,2,32,7,142,14,211
4,1310102703,千代田区,三崎町,三崎町３丁目,三崎町３丁目,265,4394,56,692,32,1903,61,491,9,113,11,94,6,62,11,84,13,234,8,177,10,99,9,43,13,158,5,23,7,86,3,13,11,122
3,1310102800,千代田区,西神田,,西神田,329,9182,81,1551,22,188,84,4857,20,165,10,204,8,385,10,240,16,250,10,35,18,128,13,234,6,45,12,524,7,262,5,41,7,73
4,1310102801,千代田区,西神田,西神田１丁目,西神田１丁目,56,1679,12,512,1,1,9,137,4,83,1,13,-,-,2,5,1,19,2,7,4,16,3,135,2,28,6,410,5,235,1,10,3,68
4,1310102802,千代田区,西神田,西神田２丁目,西神田２丁目,192,1719,54,398,16,104,53,690,7,38,7,107,6,52,4,30,5,59,7,27,13,101,7,53,2,3,3,19,2,27,2,6,4,5
4,1310102803,千代田区,西神田,西神田３丁目,西神田３丁目,81,5784,15,641,5,83,22,4030,9,44,2,84,2,333,4,205,10,172,1,1,1,11,3,46,2,14,3,95,-,-,2,25,-,-
3,1310102900,千代田区,猿楽町,,猿楽町,277,5844,94,2960,30,254,56,666,8,32,6,112,6,35,12,107,5,25,7,18,8,58,13,972,10,104,9,399,6,62,-,-,7,40
4,1310102901,千代田区,猿楽町,猿楽町１丁目,猿楽町１丁目,85,1737,24,459,9,25,18,160,-,-,2,24,3,10,5,17,1,7,4,10,4,32,8,936,5,10,1,2,1,45,-,-,-,-
4,1310102902,千代田区,猿楽町,猿楽町２丁目,猿楽町２丁目,192,4107,70,2501,21,229,38,506,8,32,4,88,3,25,7,90,4,18,3,8,4,26,5,36,5,94,8,397,5,17,-,-,7,40
3,1310103000,千代田区,神田駿河台,,神田駿河台,804,35763,188,14833,78,1663,174,5219,16,329,30,1158,22,356,23,457,18,334,15,268,30,555,67,3832,51,3648,34,1731,12,387,8,69,38,924
4,1310103001,千代田区,神田駿河台,神田駿河台１丁目,神田駿河台１丁目,99,4930,30,3221,7,53,21,454,2,24,4,112,4,14,2,19,4,110,5,138,1,18,2,28,3,33,4,613,4,19,1,11,5,63
4,1310103002,千代田区,神田駿河台,神田駿河台２丁目,神田駿河台２丁目,366,11608,85,4362,45,676,85,3442,12,298,10,101,8,170,14,368,10,103,8,98,16,291,13,107,17,917,16,407,2,48,1,15,24,205
4,1310103003,千代田区,神田駿河台,神田駿河台３丁目,神田駿河台３丁目,219,11159,47,5011,22,718,51,687,1,5,5,54,7,109,5,19,2,43,-,-,10,201,46,3509,7,91,6,99,2,29,1,4,7,580
4,1310103004,千代田区,神田駿河台,神田駿河台４丁目,神田駿河台４丁目,120,8066,26,2239,4,216,17,636,1,2,11,891,3,63,2,51,2,78,2,32,3,45,6,188,24,2607,8,612,4,291,5,39,2,76
3,1310103100,千代田区,神田錦町,,神田錦町,924,26867,199,5879,85,2594,229,6881,34,549,30,704,35,411,28,1164,28,792,33,593,39,548,24,848,25,690,37,687,35,3154,13,882,50,491
4,1310103101,千代田区,神田錦町,神田錦町１丁目,神田錦町１丁目,268,8263,62,1966,25,1269,66,1951,12,207,12,300,10,91,7,425,7,490,9,223,11,244,9,302,8,262,7,144,5,137,2,101,16,151
4,1310103102,千代田区,神田錦町,神田錦町２丁目,神田錦町２丁目,173,4323,41,534,21,425,47,2079,5,98,4,10,6,122,10,542,7,89,7,178,5,33,3,38,2,10,2,13,5,105,1,6,7,41
4,1310103103,千代田区,神田錦町,神田錦町３丁目,神田錦町３丁目,483,14281,96,3379,39,900,116,2851,17,244,14,394,19,198,11,197,14,213,17,192,23,271,12,508,15,418,28,530,25,2912,10,775,27,299
3,1310103200,千代田区,神田小川町,,神田小川町,934,13629,235,4284,97,1068,202,2623,40,779,37,428,32,370,39,545,22,305,37,381,35,406,31,459,36,327,31,763,19,202,10,442,31,247
4,1310103201,千代田区,神田小川町,神田小川町１丁目,神田小川町１丁目,262,4412,52,687,23,346,57,1204,11,178,10,123,7,45,7,62,2,25,15,175,13,215,8,141,13,100,14,591,11,148,8,290,11,82
4,1310103202,千代田区,神田小川町,神田小川町２丁目,神田小川町２丁目,268,3473,59,1155,31,252,52,456,13,151,15,142,9,206,14,124,7,94,7,75,8,111,13,204,16,142,11,73,3,20,1,147,9,121
4,1310103203,千代田区,神田小川町,神田小川町３丁目,神田小川町３丁目,404,5744,124,2442,43,470,93,963,16,450,12,163,16,119,18,359,13,186,15,131,14,80,10,114,7,85,6,99,5,34,1,5,11,44
3,1310103300,千代田区,神田美土代町,,神田美土代町,152,4410,34,978,14,74,32,913,2,7,7,820,5,70,4,37,5,121,11,471,7,76,6,263,7,27,6,423,5,58,2,62,5,10
3,1310103400,千代田区,内神田,,内神田,1654,25189,450,7130,157,1791,360,4588,54,647,50,399,52,622,45,380,54,835,76,974,82,2578,62,1362,65,980,53,1095,31,1279,6,100,57,429
4,1310103401,千代田区,内神田,内神田１丁目,内神田１丁目,610,11345,156,2820,52,790,146,1964,26,346,22,164,16,332,16,196,25,343,31,407,32,1483,21,838,18,333,18,235,11,1008,2,15,18,71
4,1310103402,千代田区,内神田,内神田２丁目,内神田２丁目,586,8548,152,2280,55,589,116,1810,15,185,14,92,23,208,18,138,16,346,24,287,35,719,29,204,31,522,22,713,14,197,4,85,18,173
4,1310103403,千代田区,内神田,内神田３丁目,内神田３丁目,458,5296,142,2030,50,412,98,814,13,116,14,143,13,82,11,46,13,146,21,280,15,376,12,320,16,125,13,147,6,74,-,-,21,185
3,1310103500,千代田区,神田司町,,神田司町,292,5497,69,982,30,213,71,1557,11,145,9,84,10,632,9,239,13,478,13,243,16,135,7,35,9,67,5,141,4,32,5,70,11,444
4,1310103501,千代田区,神田司町,神田司町２丁目,神田司町２丁目,292,5497,69,982,30,213,71,1557,11,145,9,84,10,632,9,239,13,478,13,243,16,135,7,35,9,67,5,141,4,32,5,70,11,444
3,1310103600,千代田区,神田多町,,神田多町,226,2457,70,621,22,273,52,552,6,46,8,22,9,58,2,11,5,95,9,280,10,34,5,30,14,66,5,77,-,-,2,270,7,22
4,1310103601,千代田区,神田多町,神田多町２丁目,神田多町２丁目,226,2457,70,621,22,273,52,552,6,46,8,22,9,58,2,11,5,95,9,280,10,34,5,30,14,66,5,77,-,-,2,270,7,22
3,1310103700,千代田区,神田淡路町,,神田淡路町,374,13891,79,1654,39,1011,95,3891,10,487,20,844,9,681,12,160,11,90,11,57,10,642,16,169,32,3485,10,137,7,439,1,3,12,141
4,1310103701,千代田区,神田淡路町,神田淡路町１丁目,神田淡路町１丁目,180,2538,41,356,19,504,50,388,7,146,11,551,3,33,8,68,4,36,9,35,6,22,10,71,2,216,4,35,2,16,-,-,4,61
4,1310103702,千代田区,神田淡路町,神田淡路町２丁目,神田淡路町２丁目,194,11353,38,1298,20,507,45,3503,3,341,9,293,6,648,4,92,7,54,2,22,4,620,6,98,30,3269,6,102,5,423,1,3,8,80
