施設名称,所在地,水飲み栓設置場所,入場料等,タイプ
方南図書館,杉並区方南１－５１－２,,,飲み口型
西荻地域区民センター,杉並区桃井４－３ー２,地下2階,,飲み口型
松ノ木運動場,杉並区松ノ木１－３－２２,玄関ホール入口,,飲み口型
南荻窪図書館,杉並区南荻窪１－１０－２,１・２階,,飲み口型
大宮前体育館,杉並区南荻窪２－１－１,地下２階～１階,,飲み口型
宮前図書館,杉並区宮前５－５－２７,１階,,飲み口型
杉並第十小温水プール,杉並区和田３－５５－４９,地下１階受付,,飲み口型
永福図書館,杉並区永福３－５１－１７,２階,,ボトルディスペンサー型・飲み口型
巣鴨駅（都営三田線）,豊島区巣鴨３－２７－７,ホーム,有料,飲み口型
東京芸術劇場,豊島区西池袋１－８－１,地下１階・２・３・５・７・８・９階,一部除き有料,飲み口型
西巣鴨駅（都営三田線）,豊島区西巣鴨３－２５－１３,ホーム,有料,飲み口型
豊島区役所本庁舎,豊島区南池袋２－４５－１,３階、４階,,飲み口型
豊島区立駒込図書館,豊島区駒込２－２－２,３階,,飲み口型
豊島区立目白図書館,豊島区目白４－３１－８,１階,,飲み口型
豊島区立上池袋図書館,豊島区上池袋２－４５－１５,１階,,飲み口型
豊島区立巣鴨図書館,豊島区巣鴨３－８－２,１階,,飲み口型
東京芸術劇場,豊島区西池袋１－８－１,１階劇場通り側出入口付近,,ボトルディスペンサー型
北区役所第一庁舎,北区王子本町１－１５－２２,１階正面玄関ロビー,,飲み口型
北区役所第二庁舎,北区王子本町１－２－１１,１階王子区民事務所ロビー,,飲み口型
"東京都障害者
総合スポーツセンター",北区十条台１－２－２,本館１・２階・増築棟１階,,飲み口型
十条台小学校温水プール,北区中十条１－５－６,１階,,飲み口型
北都税事務所,北区中十条１－７－８,１・３階,,飲み口型
ゆいの森あらかわ,荒川区荒川２－５０－１,２階,,飲み口型
町屋文化センター,荒川区荒川７－２０－１,２階,,飲み口型
荒川さつき会館,荒川区荒川８－１６－１３,１階,,飲み口型
男女平等推進センター,荒川区東尾久5－9－3,地下２階,,飲み口型
日暮里図書館,荒川区東日暮里６－３８－４,地下１階・１階,,飲み口型
町屋図書館,荒川区町屋５－１１－１８,２階,,飲み口型
水道局東部第二支所,荒川区南千住６－４０－１,１階,,飲み口型
南千住図書館,荒川区南千住６－６３－１,１・２階,,飲み口型
東京都立大学　荒川キャンパス,荒川区東尾久７－２－１０,食堂・喫茶室,,ボトルディスペンサー型
赤塚体育館,板橋区赤塚５－６－１,体育館棟２階・プール棟地下２階・少年運動場,,飲み口型
赤塚図書館,板橋区赤塚６－３８－１,児童室側入口,,飲み口型
志村図書館,板橋区小豆沢１－８－１,１階、地下１階,,飲み口型
小豆沢体育館,板橋区小豆沢３－１－１,体育棟１階ロビー・２階トレーニング室前・3階多目的室前・プール棟１F ・プール棟B1F,,飲み口型
清水図書館,板橋区泉町１６－１６,３階,,飲み口型
中央図書館,板橋区常盤台４－３―１,１階予約受取コーナー脇、３階携帯電話ブース前,,ボトルディスペンサー型・飲み口型
西台図書館,板橋区西台３－１３－２,１階,,飲み口型
新板橋駅（都営三田線）,板橋区板橋１－５３－１７,ホーム,有料,飲み口型
板橋区役所前駅（都営三田線）,板橋区板橋２－６６－１７,ホーム,有料,飲み口型
東板橋図書館,板橋区加賀１－１０－１５,２階,,飲み口型
植村記念加賀スポーツセンター,板橋区加賀１－１０－５,地下１階通路・１階自動販売機横・１階プール場内・２階トレーニング受付前,,飲み口型
小茂根図書館,板橋区小茂根１－６－２,１階児童コーナー子ども用トイレ入口,,飲み口型
上板橋体育館,板橋区桜川１－３－１,１階ロビー・１階屋内プール内・２階トレーニングルーム内,,ボトルディスペンサー型・飲み口型
志村坂上駅（都営三田線）,板橋区志村１－１４－１３,ホーム,有料,飲み口型
志村三丁目駅（都営三田線）,板橋区志村３－２３－１,ホーム,有料,飲み口型
西高島平駅（都営三田線）,板橋区高島平６－１,ホーム,有料,飲み口型
新高島平駅（都営三田線）,板橋区高島平７－１,ホーム,有料,飲み口型
高島平駅（都営三田線）,板橋区高島平８－２－１,ホーム,有料,飲み口型
高島平温水プール,板橋区高島平８－２８－１,M2階プール・２階トレーニングルーム,,飲み口型
西台駅（都営三田線）,板橋区高島平９－１－１,ホーム,有料,飲み口型
仲町地域センター,板橋区仲町２０－５,３階,,飲み口型
成増図書館,"板橋区成増３－１３－１
アリエス3階",３階,,飲み口型
本蓮沼駅（都営三田線）,板橋区蓮沼町１９－８,ホーム,有料,飲み口型
蓮根駅（都営三田線）,板橋区蓮根２－３１－３０,ホーム,有料,飲み口型
蓮根図書館,板橋区蓮根３－１５－１－１０１,誰でもトイレ前,,飲み口型
氷川図書館,板橋区氷川町２８－９,１階,,飲み口型
水道局板橋営業所,板橋区氷川町３ー６,１階,,飲み口型
板橋本町駅（都営三田線）,板橋区大和町１７－１,ホーム,有料,飲み口型
大泉学園町体育館,練馬区大泉学園町５－１４－２４,地下１階（プール室内・トレーニング室前）・１階,,飲み口型
大泉学園地区区民館,練馬区大泉学園町８－９－５,２階玄関,,飲み口型
大泉運動場,練馬区大泉町５－２４－１２,管理棟１階,,飲み口型
上石神井体育館,練馬区上石神井１－３２－３７,地下２階（プール受付前・プール室内）・地下１階,,飲み口型
北町第二地区区民館,練馬区北町６－２１－１０１,１階ロビー,,飲み口型
下石神井地区区民館,練馬区下石神井６－８－１５,２階,,飲み口型
石神井松の風文化公園,練馬区石神井台１－３３－４４,管理棟１階,,飲み口型
関区民センター,練馬区関町北１－７－２,１・２・３階,,飲み口型
関保健相談所,練馬区関町東１－２７－４,１階,,飲み口型
北大泉地区区民館,練馬区大泉町２－４１－２６,２階廊下,,飲み口型
田柄地区区民館,練馬区田柄３－２８－１３,２階レクルーム横,,飲み口型
土支田庭球場,練馬区土支田４－３１－２４,管理棟１階,,飲み口型
豊玉北地区区民館,練馬区豊玉北３－７－９,１階階段脇,,飲み口型
はつらつセンター豊玉,練馬区豊玉中３－３－１２,２階,,飲み口型
中村南スポーツ交流センター,練馬区中村南１－２－３２,地下１階・１・２階,,飲み口型
練馬総合運動場公園,練馬区練馬２－２９－１０,管理棟１階,,飲み口型
東大泉地区区民館,練馬区東大泉３－５３－１,地下１階,,飲み口型
光が丘体育館,練馬区光が丘４－１－４,地下２階・１・２階,,飲み口型
氷川台地区区民館,練馬区氷川台２－１６－１４,廊下,,飲み口型
富士見台地区区民館,練馬区富士見台３－１０－１,１階ロビー・２階廊下,,飲み口型
平和台体育館,練馬区平和台２－１２－５,地下２階・地下１階,,飲み口型
三原台温水プール,練馬区三原台２－１１－２９,１階ロビー・プール室内,,飲み口型
西大泉地区区民館,練馬区西大泉５－３－３２,２階レクルーム向い,,飲み口型
早宮地区区民館,練馬区早宮４－１４－５,２階レクルーム横,,飲み口型
南大泉地区区民館,練馬区南大泉２－１９－２６,１階ロビー・２階廊下,,飲み口型
旭丘地域集会所  ,練馬区旭丘１－５８－１０,１階ロビー,,飲み口型
旭町北地区区民館,練馬区旭町２－３０－１６,１・２階ロビー,,飲み口型
旭町地域集会所     ,練馬区旭町３－１１－６,２階エレベーターホール,,飲み口型
大泉図書館,練馬区大泉学園町２－２１－１７,１・２階,,飲み口型
大泉北地域集会所    ,練馬区大泉学園町４－２１－１,３階ロビー,,飲み口型
大泉学園町地域集会所    　 ,練馬区大泉学園町６－２０－３６,１階ロビー,,飲み口型
稲荷山図書館,練馬区大泉町１－３－１８,１階,,飲み口型
中里郷土の森緑地,練馬区大泉町１－５１－２,１階,,飲み口型
大泉町地域集会所    ,練馬区大泉町４－３５－１７,１階ロビー,,飲み口型
上石神井南地域集会所    ,練馬区上石神井１－６－１６,２階ロビー、３階ロビ-,,飲み口型
上石神井北地域集会所     ,練馬区上石神井２－３６－１８,１階ロビー,,飲み口型
北町地区区民館,練馬区北町２－２６－１,１階ロビー・３階ロビー,,飲み口型
北保健相談所,練馬区北町６－３５－７,1階ロビー,,飲み口型
北町地域集会所    ,練馬区北町８－２８－１０,１階ロビー,,飲み口型
向山地域集会所    ,練馬区向山４－２１－１２,１階ロビー,,飲み口型
小竹図書館,練馬区小竹町２－４３－１,１階フロア,,飲み口型
石神井図書館,練馬区石神井台１－１６－３１,１階ロビー,,飲み口型
石神井台みどり地域集会所   ,練馬区石神井台２－１３－６,１階ロビー,,飲み口型
石神井台敬老館,練馬区石神井台２－１８－１３,２階湯沸室,,飲み口型
石神井台地域集会所    ,練馬区石神井台４－５－１４,１階ロビー,,飲み口型
石神井公園区民交流センター,練馬区石神井町２－１４－１,２・３階ロビー,,飲み口型
男女共同参画センターえーる,練馬区石神井町８－１－１０,２階給湯室・３階給湯室,,飲み口型
関町北地区区民館,練馬区関町北４－１２－２１,２階廊下,,飲み口型
関町図書館,練馬区関町南３－１１－２,２階,,飲み口型
関町地域集会所     ,練馬区関町南４－２２－１,１階ロビー,,飲み口型
高野台地域集会所    ,練馬区高野台３－２８－１１,１階ロビー,,飲み口型
?松地区区民館,練馬区高松３－２４－２７,ロビー,,飲み口型
旭町南地区区民館,練馬区高松５－２３－１５,地下１階～２階,,飲み口型
立野地区区民館,練馬区立野町１５－４２,１・２階廊下　,,飲み口型
土支田地域集会所     ,練馬区土支田２－４０－２１,１階ロビー,,飲み口型
練馬駅（都営大江戸線）,練馬区豊玉北５－１７－１２,ホーム,有料,飲み口型
練馬区役所西庁舎,練馬区豊玉北６－１２－１,１・２・４～１０階,,飲み口型
練馬区役所東庁舎,練馬区豊玉北６－１２－１,１階、３階,,飲み口型
練馬区役所本庁舎,練馬区豊玉北６－１２－１,１階、９階、１１階～１３階,,飲み口型
"練馬図書館
（生涯学習センター併設）",練馬区豊玉北６－８－１,１階,,飲み口型
豊玉地域集会所  ,練馬区豊玉中４－１３－６,１階ロビー,,飲み口型
水道局練馬営業所,練馬区中村北１－９－４,１階,,飲み口型
中村地域集会所    ,練馬区中村南２－２３－１２,１階ロビー,,飲み口型
貫井図書館,練馬区貫井１－３６－１６,１階だれでもトイレ前,,飲み口型
サンライフ練馬,練馬区貫井１－３６－１８,１階更衣室前・３階ロビー,,飲み口型
豊島園駅（都営大江戸線）,練馬区練馬４－１４－１７,ホーム,有料,飲み口型
早宮地域集会所    ,練馬区早宮１－４４－１９,２階廊下,,飲み口型
春日町リサイクルセンター,練馬区春日町２－１４－１６,１階コミュニティーコーナー,,飲み口型
練馬春日町駅（都営大江戸線）,練馬区春日町３－２９－２５,ホーム,有料,飲み口型
春日町青少年館,練馬区春日町４－１６－９,１・３階,,飲み口型
春日町南地区区民館,練馬区春日町５－２０－２５,２階廊下,,飲み口型
春日町図書館,"練馬区春日町５－３１－２－２０１
エリム春日町２階",ラウンジ・児童コーナー,,飲み口型
東大泉中央地域集会所     ,練馬区東大泉３－１８－９,２階ロビー,,飲み口型
大泉障害者地域生活支援センター,練馬区東大泉５－３５－２,１階,,飲み口型
勤労福祉会館,練馬区東大泉５－４０－３６,１階トレーニング室前・２階料理室前,,飲み口型
東大泉地域集会所     ,練馬区東大泉７－２７－５１,１階ロビー,,飲み口型
光が丘駅（都営大江戸線）,練馬区光が丘２－９－５,ホーム,有料,飲み口型
光が丘区民センター,練馬区光が丘２－９－６,３階,,飲み口型
光が丘地区区民館,練馬区光が丘３－９－４,１・２・３階ロビー,,飲み口型
光が丘図書館,練馬区光が丘４－１－５,１階入口,,飲み口型
平和台図書館,練馬区平和台１－３６－１７,１階休憩コーナー・２階こどもコーナー,,飲み口型
南大泉青少年館,練馬区南大泉１－４４－７,談話ホール,,飲み口型
南大泉図書館,練馬区南大泉１－４４－７,１階エントランスホール・２階青少年館,,飲み口型
こどもと本のひろば,練馬区南大泉３－１７－２０,１・２階,,飲み口型
南田中地域集会所    ,練馬区南田中２－１８－３６,１階ロビー,,飲み口型
南田中図書館,練馬区南田中５－１５－２２,１階,,飲み口型
三原台敬老館,練馬区三原台２－１１－２９,湯沸し室前,,飲み口型
三原台地域集会所    ,練馬区三原台３－１３－１７,１階ロビー,,飲み口型
谷原地域集会所    ,練馬区谷原５－６－７,１階ロビー,,飲み口型
関町リサイクルセンター,関町北１－７－１４,２階給湯室前,,飲み口型
豊玉リサイクルセンター,豊玉上２－２２－１５,１階事務室脇,,飲み口型
大泉リサイクルセンター,大泉学園町１－３４－１０,１階コミュニティコーナー,,飲み口型
練馬区立美術館,東京都練馬区貫井1－36－16,２階,,飲み口型
練馬文化センター（令和６年４月30日まで休館予定）,練馬区練馬１－１７－３７,１階,,飲み口型
石神井公園ふるさと文化館,練馬区石神井町５－１２－１６,1階,,飲み口型
桜台地域集会所,練馬区桜台１－22－９,２階廊下　地下１階廊下,,飲み口型
春日町地域集会所,練馬区春日町５－30－１,２階給湯室,,飲み口型
大泉北地域集会所,練馬区大泉学園町４－２１－１,２階ホール,,飲み口型
桜台地区区民館,練馬区桜台３－３９－１７,２階ロビー,,飲み口型
北大泉地区区民館,練馬区大泉町２－４１－２６,１階廊下,,飲み口型
足立区役所本庁舎,足立区中央本町１－１７－１,中央館１階,,ボトルディスペンサー型
伊興地域学習センター,足立区伊興２－４－２２,１・２・３階,,ボトルディスペンサー型
梅田地域学習センター,足立区梅田７－３３－１,１・４階,,ボトルディスペンサー型
江北地域学習センター,足立区江北３－３９－４,１階ロビー・２階廊下,,ボトルディスペンサー型
興本体育館,足立区興野１－１７－７,１階廊下・２階トレーニングルーム内,,ボトルディスペンサー型
興本地域学習センター,足立区興野１－１８－３８,１階ロビー,,ボトルディスペンサー型
ギャラクシティ,足立区栗原１－３－１,１階事務室側トイレ入口,,ボトルディスペンサー型
都市農業公園（一時使用休止中）,足立区鹿浜２－４４－１,都市農業交流館１階,,飲み口型
佐野地域学習センター,足立区佐野２－４３－５,２階,,ボトルディスペンサー型
中央図書館,"足立区千住５－１３－５
（学びピア２１内）",３階,,ボトルディスペンサー型
竹の塚地域学習センター,足立区竹の塚２－２５－１７,１階,,ボトルディスペンサー型
水道局足立営業所,足立区中央本町３－８－２,１階,,飲み口型
中央本町地域学習センター（一時使用休止中）,足立区中央本町３－１５－１,１階,,飲み口型
舎人地域学習センター,足立区舎人１－３－２６,２階,,ボトルディスペンサー型
新田地域学習センター,足立区新田２－２－２,２階,,ボトルディスペンサー型
花畑地域学習センター,足立区花畑４－１６－８,１・２階,,ボトルディスペンサー型
生物園,足立区保木間２－１７－１,１階,有料,飲み口型
保塚地域学習センター,足立区保塚町７－１６,１・２階,,ボトルディスペンサー型
鹿浜地域学習センター,足立区鹿浜６－８－１,１・２階,,ボトルディスペンサー型
足立区生涯学習センター,足立区千住5-13-5,1階ロビー,,ボトルディスペンサー型
東和地域学習センター,足立区東和3-12-9,1階受付前（廊下）、2階トレーニングルーム横（廊下）・体育館前,,ボトルディスペンサー型
青戸地区センター,葛飾区青戸５－２０－６,２・３・４階,,飲み口型
青戸中央憩い交流館,葛飾区青戸６－１６－１２,１階,,飲み口型
テクノプラザかつしか（葛飾区地域産業振興会館）,葛飾区青戸７ー２ー１,２階,,飲み口型
西奥戸憩い交流館,葛飾区奥戸１－１２－１,１階,,飲み口型
奥戸総合スポーツセンター体育館,葛飾区奥戸７－１７－１,１・２階,,飲み口型
お花茶屋図書館,葛飾区お花茶屋２－１－１５,１・２・３階,,飲み口型
亀有学び交流館,葛飾区お花茶屋３－５－６,１階,,飲み口型
末広憩い交流館,葛飾区金町５－４－１,１階,,飲み口型
鎌倉図書館,葛飾区鎌倉２－４－５,１・２階,,飲み口型
鎌倉憩い交流館,葛飾区鎌倉２－６－２０,１階,,飲み口型
亀有図書館,葛飾区亀有１－１７－５都営住宅５号棟１階,１階,,飲み口型
中央図書館,葛飾区金町６－２－１ヴィナシス金町ブライトコート３階,３階,,飲み口型
小菅憩い交流館,葛飾区小菅３－６－１,１階,,飲み口型
こすげ地区図書館,葛飾区小菅３－８－２２こすげ小学校内,１階,,飲み口型
柴又学び交流館,葛飾区柴又５－３３－８,１・２・３階,,飲み口型
新小岩地区センター,葛飾区新小岩２－１７－１,２階,,飲み口型
新宿憩い交流館,葛飾区新宿１－５－６,１階,,飲み口型
奥戸総合スポーツセンター温水プール館,葛飾区高砂１－２－１,１・２階,,飲み口型
高砂地区センター,葛飾区高砂３－１－３９,１・２・３階,,飲み口型
四つ木地区センター,葛飾区宝町１－１－２２,１階,,飲み口型
宝町憩い交流館,葛飾区宝町２－３８－１９,１階,,飲み口型
立石図書館,葛飾区立石１－９－１,２・４階,,飲み口型
ウィメンズパル,葛飾区立石５－２７－１,１階ホール,,飲み口型
シニア活動支援センター,葛飾区立石６－３８－１１,１階ロビー,,飲み口型
水道局葛飾営業所,葛飾区立石８－１７－４,１階,,飲み口型
中道憩い交流館,葛飾区西亀有１－２－７,１階,,飲み口型
砂原憩い交流館,葛飾区西亀有３－１２－１,１階,,飲み口型
たつみ憩い交流館,葛飾区西新小岩２－１－４,１階,,飲み口型
西水元地区図書館,葛飾区西水元２－２－８西水元あやめ園内,１階,,飲み口型
東金町憩い交流館,葛飾区東金町５－２２－１８,１階,,飲み口型
上小松図書館,葛飾区東新小岩３－１２－１都営住宅１階,１階,,飲み口型
新小岩北地区センター,葛飾区東新小岩６－２１－１,１階,,飲み口型
東立石地区センター,葛飾区東立石２－１５－７,１階,,飲み口型
水元図書館,葛飾区東水元１－７－３,１階,,飲み口型
東四つ木地区センター,葛飾区東四つ木１－２０－４,１階,,飲み口型
堀切憩い交流館,葛飾区堀切１－２３－６,１階,,飲み口型
堀切地区センター,葛飾区堀切３－８－５,１階,,飲み口型
水元総合スポーツセンター,葛飾区水元１－２３－１,１・２・３階・プール内,一部有料,ボトルディスペンサー型・飲み口型
水元憩い交流館,葛飾区水元４－６－１５,１階,,飲み口型
水元学び交流館,葛飾区南水元２－１３－１,１・３階,,飲み口型
一之江コミュニティ会館,江戸川区一之江２－６－１５,１階,,飲み口型
共育プラザ一之江,江戸川区一之江３－１３－７,１・２階,,飲み口型
コミュニティプラザ一之江,江戸川区一之江７－３５－２２,４階,,飲み口型
一之江駅（都営新宿線）,江戸川区一之江８－１４－１　,ホーム,有料,飲み口型
共育プラザ葛西,江戸川区宇喜田町１７５,１・２階,,飲み口型
東部図書館,江戸川区江戸川２－３５－６,１階エントランス,,飲み口型
江戸川コミュニティ会館,江戸川区江戸川２－８,１階,,飲み口型
葛西図書館,江戸川区江戸川６－２４－１,１階ホール,,飲み口型
二之江コミュニティ会館,江戸川区江戸川６－４６,１階ホール・２階,,飲み口型
上一色コミュニティセンター,江戸川区上一色２－６－１０,１階ロビー,,飲み口型
篠崎コミュニティ会館,江戸川区上篠崎４－２１－８,１・２階,,飲み口型
北葛西コミュニティ会館,江戸川区北葛西２－１１－３９,１階,,飲み口型
小岩アーバンプラザ,江戸川区北小岩１－１７－１,１階ロビー・３階ロビー,,飲み口型
北小岩コミュニティ会館,江戸川区北小岩６－３５－１７,１・２階ロビー,,飲み口型
小松川さくらホール,江戸川区小松川３－６－３,１・２・３・４・５階,,飲み口型
鹿骨区民館,江戸川区鹿骨１－５４－２,２階（ロビー・くつろぎの間）,,飲み口型
鹿骨健康サポートセンター,江戸川区鹿骨１－５５－１０,１階ホール,,飲み口型
篠崎文化プラザ,江戸川区篠崎町７－２０－１９,３階,,飲み口型
篠崎駅（都営新宿線）,江戸川区篠崎町７－２７－１,ホーム,有料,飲み口型
篠崎コミュニティホール,"江戸川区篠崎町７－２７－１
交通会館篠崎ビル",５階,,飲み口型
清新町コミュニティ会館,江戸川区清新町１－２－２,１階ロビー,,飲み口型
清新町健康サポートセンター,江戸川区清新町１－３－１１,１階ロビー,,飲み口型
陸上競技場,江戸川区清新町２－１－０,ロビー,,ボトルディスペンサー型
"城東職業能力開発センター
江戸川校",江戸川区中央２－３１－２７,１・３・４・５階,,飲み口型
中央図書館,江戸川区中央３－１－３,１・４階,,飲み口型
総合文化センター,江戸川区中央４－１４－１,１階,,飲み口型
葛西区民館,江戸川区中葛西３－１０－１,３階・４階ホール,,飲み口型
新田コミュニティ会館,江戸川区中葛西７－１７－１,１階ロビー,,飲み口型
スポーツセンター,江戸川区西葛西４－２－２０,１・２・３階,,ボトルディスペンサー型
西葛西図書館,江戸川区西葛西５－１０－４７,１階トイレ前,,飲み口型
江戸川区球場,江戸川区西葛西７－２－１,給湯室,,飲み口型
西小岩コミュニティ会館,江戸川区西小岩４－３－２２,１・２階ロビー,,飲み口型
瑞江コミュニティ会館,江戸川区西瑞江３－１８－１,１階,,飲み口型
長島桑川コミュニティ会館,江戸川区東葛西５－３１－１８,１・２・３階,,飲み口型
東葛西コミュニティ会館,江戸川区東葛西８－２２－１,１階ロビー・３階ロビー,,飲み口型
小岩図書館,江戸川区東小岩３－６－９,１・２・３・４階,,飲み口型
小岩区民館,江戸川区東小岩６－９－１４,"１階事務所待合室
２～４階ロビー",,飲み口型
スポーツランド,江戸川区東篠崎１－８－１,１階ホール,,飲み口型
東部区民館,江戸川区東瑞江１－１７－１,１・２階,,飲み口型
小松川図書館,江戸川区平井１－１１－２６,階段踊り場（１～２階・２～３階）,,飲み口型
小松川区民館,江戸川区平井４－１－１,１・３階,,飲み口型
平井コミュニティ会館,江戸川区平井４－１８－１０,１階,,飲み口型
中平井コミュニティ会館,江戸川区平井７－１－６,１・２階,,飲み口型
共育プラザ平井,江戸川区平井７－２１－６,１・２・３階,,飲み口型
船堀コミュニティ会館,江戸川区船堀１－３－１,２・３階,,飲み口型
船堀駅（都営新宿線）,江戸川区船堀３－６－１,ホーム,有料,飲み口型
タワーホール船堀,江戸川区船堀４－１－１,１・２・３・４・５・６階,,飲み口型
新川さくら館,江戸川区船堀７－１５－１２,１階ロビー,,飲み口型
松江区民プラザ,江戸川区松江２－１－１０,１・２階,,飲み口型
水道局江戸川営業所,江戸川区松江５－４－１２,１階,,飲み口型
松江コミュニティ会館,江戸川区松江７－５－１２,１・３階,,飲み口型
グリーンパレス,江戸川区松島１－３８－１,新館２階ロビー・３階ロビー・４階ロビー,,飲み口型
総合体育館,江戸川区松本１－３５－１,体育棟１・２階・プール棟１階・アーチェリー場１階,,飲み口型
東部健康サポートセンター,江戸川区瑞江２－５－７,待合ロビー他,,飲み口型
瑞江駅（都営新宿線）,江戸川区瑞江２－２－１,ホーム,有料,飲み口型
東部フレンドホール,江戸川区瑞江２－５－７,４・５階,,飲み口型
南葛西会館,江戸川区南葛西６－８－９,１・４階,,飲み口型
なぎさ健康サポートセンター,江戸川区南葛西７－１－２７,１階ロビー,,飲み口型
南小岩コミュニティ会館,江戸川区南小岩７－１７－１０,１・２階ロビー,,飲み口型
臨海球技場,江戸川区臨海町１－１－２,管理棟横通路,,飲み口型
臨海町コミュニティ会館,江戸川区臨海町２－２－９,１階,,飲み口型
学園都市センター,"八王子市旭町９－１
八王子スクエアビル１１階",１２階,,飲み口型
"生涯学習センター
（クリエイトホール）",八王子市東町５－６,地下１階・１・4・5・７・１０・１１階,,飲み口型
生涯学習センター図書館,"八王子市東町５－６
クリエイトホール内",２・３階,,飲み口型
石川市民センター,八王子市石川町４３８,センター玄関ホール,,飲み口型
南大谷子ども・若者育成支援センター,八王子市大谷町４６－１,図書室,,飲み口型
大横保健福祉センター,八王子市大横町１１ー３５,１階地域交流・情報スペース,,飲み口型
"コニカミノルタ サイエンスドーム
（八王子市こども科学館）",八王子市大横町９－１３,１・２階,有料,飲み口型
大和田市民センター,八王子市大和田町５－９－１,２階体育室前,,飲み口型
由木東市民センター,八王子市鹿島１１１－１,体育室・事務所受付前通路,,飲み口型
松が谷子ども・若者育成支援センター鹿島分館,八王子市鹿島２,１階玄関ロビー,,飲み口型
加住市民センター,八王子市加住町１－３３８,１階　通路　事務所前,,飲み口型
由井市民センター,八王子市片倉７０２－１,１階給湯室前,,飲み口型
元八王子市民センター,八王子市上壱分方町７４７－１,会議室２入り口付近,,飲み口型
夕やけ小やけふれあいの里,八王子市上恩方町２０３０,ふれあい館　他,有料,飲み口型
上柚木公園,八王子市上柚木２－４０－１,陸上競技場内,,飲み口型
川口市民センター,八王子市川口町３８３８,１階体育室前,,飲み口型
川口やまゆり館,八王子市川口町３８３８,"１階市民センターロビー
１階図書館児童コーナー
２階生涯学習センターロビー",,飲み口型
生涯学習センター川口分館,八王子市川口町３８３８,２階,,飲み口型
川口子ども・若者育成支援センター,八王子市川口町３９７４,１階玄関ロビー,,飲み口型
北野事務所,八王子市北野町５４９－５,１階ロビー,,飲み口型
北野子ども・若者育成支援センター,八王子市北野町５４９－９,１階玄関ロビー,,飲み口型
横山南市民センター,八王子市椚田町１３７ー３,１階ロビー,,飲み口型
由木子ども・若者育成支援センター,八王子市越野６９２－１,１階玄関ロビー,,飲み口型
子安市民センター,八王子市子安町２－６－１,２階体育室前,,飲み口型
八王子駅南口総合事務所,"八王子市子安町４ー７－１
サザンスカイタワー八王子４階",事務所内,,飲み口型
富士森体育館分館,八王子市散田町２－３７－１,１階,,飲み口型
由木中央市民センター,八王子市下柚木２－１０－６,玄関風除室,,飲み口型
富士森体育館,八王子市台町２－３－７,地下１階・１階,,飲み口型
台町市民センター,八王子市台町３－２０－１,２階体育室入口,,飲み口型
元八王子子ども・若者育成支援センター,八王子市大楽寺町５０８－３,１階玄関ロビー,,飲み口型
浅川市民センター,八王子市高尾町１６５２－１,１階ロビー,,飲み口型
戸吹湯ったり館,八王子市戸吹１７９８,男女各脱衣所,有料,飲み口型
中野子ども・若者育成支援センター,八王子市中野山王３－６－２７,１階玄関ロビー,,飲み口型
中野市民センター,八王子市中野町２７２６－７,１階体育室入口,,飲み口型
八王子市甲の原体育館,八王子市中野町２７２６－８,１・２階,,飲み口型
中郷子ども・若者育成支援センター長房分館,八王子市長房町３４１,１階玄関ロビー,,飲み口型
長房市民センター,八王子市長房町５０６－２,１階ホール,,飲み口型
中郷子ども・若者育成支援センター,八王子市長房町８９１－２,１階玄関ロビー,,飲み口型
恩方市民センター,八王子市西寺方町２６０－４,ロビー階段前,,飲み口型
エスフォルタアリーナ八王子,八王子市狭間町１４５３－１,１・２・３階,,飲み口型
浅川子ども・若者育成支援センター,八王子市初沢町１３２３,１回廊下,,飲み口型
東浅川保健福祉センター,八王子市東浅川町５５１－１,２階,,ボトルディスペンサー型・飲み口型
松が谷子ども・若者育成支援センター,八王子市松が谷１３,玄関,,飲み口型
東京都立大学　南大沢キャンパス図書館,八王子市南大沢１－１,２・３階,,飲み口型
南大沢事務所,"八王子市南大沢２－２７　
フレスコ南大沢1階",１階　,,飲み口型
生涯学習センター南大沢分館,八王子市南大沢２－２７,２階,,飲み口型
南大沢市民センター,八王子市南大沢２－２７,公共棟３階　ロビー掲示板前,,飲み口型
南大沢文化会館,八王子市南大沢２－２７,１階　市民ロビー,,飲み口型
南大沢保健福祉センター,"八王子市南大沢２－２７
フレスコ南大沢公共棟１階",1階　保健福祉センター内ロビー,,飲み口型
南大沢図書館,"八王子市南大沢２－２７
フレスコ南大沢地下１階",地下１階,,飲み口型
ガレリア・ユギ（イトーヨーカドー南大沢店）,八王子市南大沢２－２８－１,１・２・３・４・５階,,飲み口型
八王子市役所,八王子市元本郷町３－２４－１,地下１階・１階,,飲み口型
館ヶ丘子ども・若者育成支援センター,八王子市館町１０９７－５７,事務室窓脇廊下側,,飲み口型
北野環境学習センター（あったかホール）,八王子市北野町５９６－３,２階、３階、４階,,飲み口型
東京都立大学　南大沢キャンパス,八王子市南大沢１－１,講堂内だれでもトイレ脇,,ボトルディスペンサー型
女性総合センター・アイム,"立川市曙町２－３６－２
ファーレ立川センタースクエア",１・５階,,ボトルディスペンサー型・飲み口型
中央図書館,"立川市曙町２－３６－２
ファーレ立川センタースクエア",２・３・４階,,飲み口型
立川市総合福祉センター,立川市富士見町２－３６－４７　　,１・２階,,飲み口型
水道局多摩水道立川庁舎,立川市緑町６－７,１階,,飲み口型
