年度,八王子市_歳入(×1000円),八王子市_歳出(×1000円),八王子市_歳出1人当たり(×1000円),八王子市_財政力指数,立川市_歳入(×1000円),立川市_歳出(×1000円),立川市_歳出1人当たり(×1000円),立川市_財政力指数,武蔵野市_歳入(×1000円),武蔵野市_歳出(×1000円),武蔵野市_歳出1人当たり(×1000円),武蔵野市_財政力指数,三鷹市_歳入(×1000円),三鷹市_歳出(×1000円),三鷹市_歳出1人当たり(×1000円),三鷹市_財政力指数,青梅市_歳入(×1000円),青梅市_歳出(×1000円),青梅市_歳出1人当たり(×1000円),青梅市_財政力指数,府中市_歳入(×1000円),府中市_歳出(×1000円),府中市_歳出1人当たり(×1000円),府中市_財政力指数,昭島市_歳入(×1000円),昭島市_歳出(×1000円),昭島市_歳出1人当たり(×1000円),昭島市_財政力指数,調布市_歳入(×1000円),調布市_歳出(×1000円),調布市_歳出1人当たり(×1000円),調布市_財政力指数,町田市_歳入(×1000円),町田市_歳出(×1000円),町田市_歳出1人当たり(×1000円),町田市_財政力指数,小金井市_歳入(×1000円),小金井市_歳出(×1000円),小金井市_歳出1人当たり(×1000円),小金井市_財政力指数,小平市_歳入(×1000円),小平市_歳出(×1000円),小平市_歳出1人当たり(×1000円),小平市_財政力指数,日野市_歳入(×1000円),日野市_歳出(×1000円),日野市_歳出1人当たり(×1000円),日野市_財政力指数,東村山市_歳入(×1000円),東村山市_歳出(×1000円),東村山市_歳出1人当たり(×1000円),東村山市_財政力指数,国分寺市_歳入(×1000円),国分寺市_歳出(×1000円),国分寺市_歳出1人当たり(×1000円),国分寺市_財政力指数,国立市_歳入(×1000円),国立市_歳出(×1000円),国立市_歳出1人当たり(×1000円),国立市_財政力指数,田無市_歳入(×1000円),田無市_歳出(×1000円),田無市_歳出1人当たり(×1000円),田無市_財政力指数,保谷市_歳入(×1000円),保谷市_歳出(×1000円),保谷市_歳出1人当たり(×1000円),保谷市_財政力指数,福生市_歳入(×1000円),福生市_歳出(×1000円),福生市_歳出1人当たり(×1000円),福生市_財政力指数,狛江市_歳入(×1000円),狛江市_歳出(×1000円),狛江市_歳出1人当たり(×1000円),狛江市_財政力指数,東大和市_歳入(×1000円),東大和市_歳出(×1000円),東大和市_歳出1人当たり(×1000円),東大和市_財政力指数,清瀬市_歳入(×1000円),清瀬市_歳出(×1000円),清瀬市_歳出1人当たり(×1000円),清瀬市_財政力指数,東久留米市_歳入(×1000円),東久留米市_歳出(×1000円),東久留米市_歳出1人当たり(×1000円),東久留米市_財政力指数,武蔵村山市_歳入(×1000円),武蔵村山市_歳出(×1000円),武蔵村山市_歳出1人当たり(×1000円),武蔵村山市_財政力指数,多摩市_歳入(×1000円),多摩市_歳出(×1000円),多摩市_歳出1人当たり(×1000円),多摩市_財政力指数,稲城市_歳入(×1000円),稲城市_歳出(×1000円),稲城市_歳出1人当たり(×1000円),稲城市_財政力指数,秋川市_歳入(×1000円),秋川市_歳出(×1000円),秋川市_歳出1人当たり(×1000円),秋川市_財政力指数,羽村市_歳入(×1000円),羽村市_歳出(×1000円),羽村市_歳出1人当たり(×1000円),羽村市_財政力指数,あきる野市_歳入(×1000円),あきる野市_歳出(×1000円),あきる野市_歳出1人当たり(×1000円),あきる野市_財政力指数,西東京市_歳入(×1000円),西東京市_歳出(×1000円),西東京市_歳出1人当たり(×1000円),西東京市_財政力指数
1998,164557473,161002128,317,1.076,72059550,70330485,439,1.167,57105553,54643004,419,1.498,59216345,56048426,346,1.201,40993338,39648615,287,0.924,79219829,77142057,355,1.291,31682271,31220502,295,0.965,68509835,66221062,340,1.184,118000184,112944865,310,1.204,30879825,30557517,287,0.974,51316049,49694448,293,1.037,49279984,47003809,290,1.071,41902686,40902807,294,0.839,38705085,38080775,366,0.999,22283990,21653968,311,0.968,26877904,25797316,338,0.959,31173355,30476565,305,0.864,22191199,21352405,354,0.751,24563961,24063171,328,0.875,24754119,24172548,317,0.825,23452690,22836642,341,0.704,33528478,32805420,290,0.836,22183670,21208451,321,0.815,53008347,51153134,361,1.205,27805141,26918361,410,0.855,…,…,…,…,20551527,20042215,363,1.136,25839148,25335849,328,0.769,…,…,…,…
1999,164537567,163723645,319,1.037,66800181,65842380,406,1.104,56548585,53557455,410,1.434,60641422,58603788,358,1.169,42609171,41809497,301,0.888,83773847,82643531,378,1.226,33270258,32896048,312,0.943,77681881,71405114,364,1.148,128394081,124100801,335,1.147,32530510,32409540,304,0.935,51921618,50724330,297,0.997,52100223,51180835,314,1.015,42812129,42551661,302,0.798,37790022,37518988,357,0.967,23916667,23453978,334,0.918,27134792,26324924,344,0.944,30585493,29713093,296,0.823,22652995,22009404,366,0.724,25756624,25302459,344,0.837,25867002,25306517,330,0.794,23548329,23181989,348,0.67,36997570,36417981,322,0.797,22697275,21988130,333,0.792,51842950,50403106,357,1.156,24813443,24159406,356,0.826,…,…,…,…,19023636,18705780,337,1.095,26925401,26606766,342,0.726,…,…,…,…
2000,160614426,159575815,308,1.005,61249520,60181222,370,1.095,57473012,53644569,409,1.419,54168411,52160709,317,1.141,40597956,39820663,287,0.86,80042065,78140949,354,1.174,33717252,33535663,318,0.931,64624826,62069092,312,1.134,118174383,113867178,302,1.108,31239467,31039136,289,0.923,50377863,48682793,282,0.966,50313826,49353042,303,0.975,41969978,41539475,294,0.777,36504992,36000534,333,0.954,22548399,22089432,312,0.88,…,…,…,…,…,…,…,…,22730378,21988537,365,0.717,22244607,21919008,298,0.825,25142960,24292011,311,0.787,20935601,20531236,308,0.657,31731693,31176992,275,0.788,22609705,21796980,333,0.771,48253005,46925850,333,1.136,25794349,24990463,362,0.81,…,…,…,…,19128406,18500167,335,1.046,30474041,30053800,383,0.733,55839353,53667886,303,0.861
2001,154781730,150402264,288,0.984,60212439,58535263,357,1.096,62631904,59627944,454,1.432,55564755,53642457,324,1.14,42164362,41331973,297,0.841,82296897,80612100,359,1.131,32970128,32560637,305,0.933,65302351,61805527,309,1.113,121791112,119654214,311,1.088,30232820,29913059,279,0.915,49111406,47791081,275,0.949,53065580,51790466,316,0.943,43818833,43295175,306,0.77,35413843,34780379,317,0.951,22266458,21862767,306,0.876,…,…,…,…,…,…,…,…,22436469,21850134,364,0.71,23874594,23347700,314,0.814,23822252,23189916,294,0.781,21770558,21369358,315,0.648,32552194,31411434,277,0.772,24626641,23974083,365,0.776,45841598,44820413,319,1.156,27699514,26596410,377,0.797,…,…,…,…,19207510,18781311,341,0.994,26769892,26098296,331,0.729,61415055,59210876,331,0.87
2002,155697138,153649633,293,0.985,61390789,60529488,366,1.128,58715272,56153913,428,1.576,56665535,54733894,326,1.157,41130451,40339931,290,0.847,79162850,77874175,343,1.143,33531890,33154572,306,0.948,66316953,64513186,319,1.143,115835793,114235876,291,1.089,30081584,29833102,275,0.938,49124097,48042669,275,0.945,51304356,50381959,304,0.944,43190288,43030597,303,0.782,38239221,37825220,341,0.968,23789569,23522119,328,0.904,…,…,…,…,…,…,…,…,22275837,21600089,361,0.719,22661723,22419847,299,0.831,23566330,22726722,286,0.796,21848599,21473928,314,0.656,32133708,30942637,273,0.777,22913015,22117851,336,0.785,45503599,44736337,317,1.186,27076344,26556711,367,0.816,…,…,…,…,18888026,18649635,339,0.978,25750457,25193903,317,0.752,59694543,58717942,325,0.894
2003,149412508,148055233,280,0.992,58201690,57416399,342,1.148,58558288,56698685,432,1.598,56499033,54453659,322,1.194,41803616,41087292,295,0.859,74290914,72639236,316,1.175,32942046,32448371,299,0.97,65786835,63860322,311,1.179,113749408,111363777,280,1.098,30879495,30172816,278,0.978,51014453,49339894,282,0.95,53257150,52246877,311,0.962,41677424,41103240,286,0.795,37149980,36479655,328,0.989,22627749,22457698,311,0.937,…,…,…,…,…,…,…,…,22410113,22096244,372,0.741,22615168,22042161,293,0.85,23450297,22671252,284,0.816,23170854,22633792,323,0.664,33361434,31927794,281,0.782,21917054,21138245,321,0.79,44468997,43548148,309,1.203,26629632,25694156,348,0.846,…,…,…,…,18938858,18587934,335,0.997,26801852,26247634,329,0.775,56574136,55537743,303,0.915
2004,156782763,155244202,291,1.013,59856986,58858294,349,1.163,59300134,56447564,426,1.707,55603528,53995477,316,1.225,41733946,40864410,293,0.881,81521455,79937636,341,1.218,33520214,32892776,302,0.991,66134139,63892826,307,1.237,110285442,108200965,269,1.118,30751308,29732019,273,1.033,50113566,48782021,278,0.96,53573876,52878468,314,0.991,41577674,41080481,284,0.81,35631011,34987743,310,1.023,21666163,21388521,298,0.978,…,…,…,…,…,…,…,…,21800329,21330579,360,0.759,22135732,21468568,283,0.88,23748344,22890176,286,0.846,23882434,23396634,324,0.678,33431348,31615887,277,0.807,22536192,21109472,318,0.799,44782859,43386440,307,1.193,28014760,27404543,366,0.879,…,…,…,…,20746187,20373889,369,1.024,26062223,25542954,320,0.792,55456322,54413215,294,0.932
2005,152860940,151135264,282,1.026,59235982,58042165,341,1.197,58042399,55164951,412,1.629,56811438,55228586,322,1.259,42063349,41172493,296,0.898,78794904,77153145,326,1.258,33172595,32608601,297,1.026,70112392,67316865,321,1.277,115975850,112846201,279,1.14,35235211,34277455,313,1.081,49471328,48561117,275,0.997,52946183,50928925,299,1.033,40708957,40196985,277,0.827,35357791,34317793,302,1.049,22161713,21880326,304,1.022,…,…,…,…,…,…,…,…,20926352,20542202,347,0.772,21396040,20868553,274,0.905,24230221,23463679,293,0.869,22545503,21851661,301,0.689,35293691,33482696,293,0.836,23417421,22755365,338,0.806,45276242,44516828,315,1.218,28180248,27556412,360,0.903,…,…,…,…,21421977,20858890,377,1.062,25401806,24940333,311,0.801,55525979,54261786,288,0.952
2006,158741586,156514024,290,1.037,62253833,60479678,352,1.204,58974172,56157555,419,1.716,55100032,53109217,307,1.266,42536628,41689223,300,0.918,78587812,75457338,316,1.301,34677243,33726270,306,1.055,74060704,71168916,338,1.32,116132289,113775805,278,1.154,36655490,34842491,318,1.112,50234912,48805097,275,1.03,59663572,57701822,337,1.061,43310482,42659333,293,0.845,37430445,36293274,317,1.069,22752108,22454020,311,1.054,…,…,…,…,…,…,…,…,21956875,21478450,366,0.779,22388007,21791232,286,0.918,24588470,23812903,293,0.911,22949704,21783796,300,0.699,33486281,32536348,285,0.862,22188363,21448459,316,0.826,44513960,43221226,302,1.247,25714456,24731552,314,0.916,…,…,…,…,19360768,18747837,337,1.101,28068876,27627846,344,0.81,60595372,59270117,313,0.968
2007,164936049,162866736,300,1.037,63133197,61422553,355,1.227,59917141,56938182,424,1.65,57326178,55879349,319,1.267,48193894,46936222,339,0.94,81620133,79978115,332,1.335,36970283,36525545,330,1.096,75062015,72298892,339,1.348,121488591,117691242,285,1.159,36556606,35324474,320,1.129,49840042,48766732,273,1.055,58198645,56802453,329,1.086,43264751,42880886,292,0.866,40454771,38821049,337,1.077,25190845,24885377,344,1.064,…,…,…,…,…,…,…,…,22759902,22443766,382,0.791,22463779,21881086,287,0.927,24622903,23922066,292,0.947,23706665,22981335,317,0.716,32935750,31940565,279,0.875,22392676,21650348,315,0.843,46250086,45242803,312,1.266,26382997,25558895,319,0.94,…,…,…,…,19355370,18952943,341,1.135,23839168,23528549,291,0.824,58674072,57473777,303,0.969
2008,176177250,163805060,299,1.036,67786985,62224587,358,1.235,59155785,54006673,401,1.669,57575859,53918286,306,1.256,44365922,43630506,316,0.971,87603155,80903110,333,1.358,37317020,36881598,334,1.118,78941263,72967114,338,1.364,129483662,120008014,289,1.16,38691564,35848261,322,1.148,53325310,49374095,276,1.073,57351923,55469073,320,1.076,44893377,44050304,297,0.875,42945544,40070672,345,1.088,24364660,24020030,330,1.067,…,…,…,…,…,…,…,…,20770314,20374193,349,0.798,22873569,21189285,278,0.923,23762177,22874627,278,0.965,25096696,23294914,321,0.729,33008103,32144075,280,0.874,23379696,21705294,312,0.872,50492226,47283089,325,1.256,29159076,27017791,331,0.95,…,…,…,…,21436800,20090429,360,1.139,25767308,25191521,311,0.824,63124301,58838337,308,0.969
2009,195779898,192112850,349,1.032,75811975,72950093,418,1.246,60539219,57260843,424,1.605,63232912,61863322,350,1.257,50561388,49718136,360,0.974,88663267,85565774,349,1.341,40895820,40401137,363,1.119,80178383,76150096,351,1.351,131219616,126627552,303,1.153,38811942,37231571,333,1.158,54973310,53188651,297,1.07,60317187,57417561,329,1.072,45660101,44461295,296,0.873,39900582,38773947,334,1.095,25930214,25617481,351,1.068,…,…,…,…,…,…,…,…,21712657,21453086,370,0.792,24076579,23396513,307,0.926,26144435,25266188,305,0.95,27702842,26918307,370,0.732,36107446,34824881,303,0.869,25094389,24350929,347,0.886,49544739,47680994,327,1.237,29611586,28608306,347,0.967,…,…,…,…,20999080,20354961,363,1.121,29865199,29120043,359,0.804,64889347,63644385,332,0.968
2010,195508937,193664900,350,1,69129360,66402626,380,1.196,61778570,59094498,435,1.547,64071102,62513017,354,1.205,56992633,56070294,405,0.929,93497214,90564141,367,1.28,41133904,40559384,364,1.063,79759604,76700327,352,1.309,136196806,132713456,316,1.097,39199256,38022545,336,1.12,56233280,55550163,310,1.03,60642811,58558766,334,1.016,48102073,47260992,313,0.848,42019326,41150863,356,1.059,25817016,25425881,349,1.043,…,…,…,…,…,…,…,…,21940240,21554307,375,0.765,25250206,24253662,319,0.895,27902875,27032768,324,0.91,27655410,26994279,370,0.707,37983273,36870720,322,0.848,26306379,25496644,362,0.87,51028398,49509361,342,1.191,31135509,30080806,359,0.943,…,…,…,…,20710102,20215761,361,1.055,29458956,28868687,356,0.762,68044495,66533799,342,0.936
2011,183490715,179980769,325,0.958,69313256,66421824,380,1.137,60084385,56936919,419,1.483,64059447,62624900,354,1.146,50519532,49636320,360,0.886,94159813,91018307,368,1.198,38608552,37625104,338,1.002,78531668,76388996,349,1.255,149044530,145037916,345,1.034,42860984,41554467,365,1.062,58192481,56356225,312,0.976,61654831,59376944,338,0.979,49650350,48096663,319,0.824,42831872,41665081,361,1.024,25860070,25363735,348,1.008,…,…,…,…,…,…,…,…,22349352,21730132,382,0.741,25999247,25167577,331,0.873,28697380,27547884,330,0.873,27667240,26496735,363,0.683,37576200,36781585,322,0.831,27618331,26539170,375,0.829,49939320,48146196,334,1.144,33603714,32548785,385,0.925,…,…,…,…,20718866,20274754,361,0.995,28996802,28426905,349,0.732,67944427,66673598,343,0.902
2012,187374196,183797232,327,0.923,71462832,67492823,379,1.084,58789077,55755976,400,1.432,68656787,67297382,374,1.075,50535916,49711087,359,0.86,93111328,90669738,360,1.129,38637255,37906292,336,0.961,78017983,75896230,340,1.19,139585188,134951766,317,0.978,37912018,36487210,313,1.005,61986432,59627853,322,0.936,60006102,57890718,324,0.939,50746082,49739853,326,0.803,44643165,43800826,371,0.984,26940563,26552133,357,0.973,…,…,…,…,…,…,…,…,23079707,22340134,378,0.723,25587590,24766666,321,0.848,29200622,27988418,331,0.843,27568871,26609904,360,0.659,36744362,35917000,310,0.81,27658750,26747800,372,0.8,49997988,48421384,332,1.092,34485823,33492126,390,0.899,…,…,…,…,20526541,19985177,350,0.948,31159081,30569459,374,0.712,65617926,64232227,325,0.87
2013,193126956,188361977,335,0.924,73878391,70402529,395,1.074,62298275,59809280,422,1.41,64663945,63213557,350,1.048,47518683,46341425,337,0.868,97257419,93654447,370,1.097,39802204,38430690,341,0.952,79518738,74841296,334,1.147,136292786,131887136,309,0.969,39216247,37988768,324,0.99,60635531,57756784,311,0.938,59848222,57900552,322,0.942,51370761,49706407,328,0.801,41825648,40540777,341,0.981,26147194,25650085,345,0.971,…,…,…,…,…,…,…,…,23122988,22009949,375,0.729,25689703,24658099,314,0.851,29423374,28076084,329,0.838,27964136,27195534,366,0.653,38562564,37289403,320,0.805,27584388,26746336,372,0.791,52178212,50333230,341,1.067,31457126,30506111,354,0.899,…,…,…,…,21473078,20846934,367,0.946,30928016,30242495,369,0.711,66776016,65084216,329,0.872
2014,194226573,192111777,342,0.932,80055422,75983187,424,1.072,65781055,61749819,432,1.412,67635662,66130784,362,1.042,48324413,47454869,346,0.867,95249189,92761007,363,1.114,44643120,43355215,384,0.956,86792698,80864752,360,1.153,143759659,139361513,327,0.969,37998414,36458127,310,0.991,61396361,60138650,321,0.952,63101494,60886738,335,0.946,55665279,54688564,362,0.803,40806203,39576173,331,0.981,28801710,28442772,382,0.978,…,…,…,…,…,…,…,…,23546526,22424537,382,0.744,27018152,26041404,329,0.855,30466074,29251607,340,0.841,29950749,29145883,392,0.655,38768959,37601739,322,0.808,28770358,27865799,387,0.796,52005314,50933163,345,1.066,37092369,36287991,417,0.909,…,…,…,…,21928274,21312909,378,0.956,30618655,29860583,366,0.71,68528907,67100090,338,0.877
2015,196161970,191287127,340,0.941,79268833,74877394,416,1.098,68483797,65560161,458,1.434,70899024,69445355,380,1.082,50443496,49622921,363,0.874,100306117,95516986,372,1.144,43032862,41909657,371,0.963,91358614,85554444,378,1.199,147811172,142853477,335,0.975,40130381,38542206,327,1.005,62731472,61549471,326,0.966,67529269,64393664,352,0.959,53048309,51374632,341,0.811,43866693,41706132,348,0.991,31069600,30560242,408,0.99,…,…,…,…,…,…,…,…,25143030,23579040,402,0.762,29302483,28276528,353,0.865,32034705,30732079,357,0.849,29449223,28346046,381,0.666,39685283,38378624,328,0.818,28169434,27425478,380,0.81,56112062,54529474,369,1.086,34490686,33757626,386,0.924,…,…,…,…,22816496,22050856,391,0.985,32711939,31843096,391,0.716,75832435,74178084,373,0.888
2016,195932846,193944232,344,0.948,78160310,73814658,407,1.135,70917979,68486113,476,1.489,69938622,68653953,371,1.18,49994131,49127546,361,0.88,109896989,106980011,415,1.192,43841958,42505442,377,0.977,89753737,85795274,373,1.253,144519334,139899675,326,0.982,42321264,40218989,337,1.033,63172051,61529066,324,0.976,68796815,66281575,361,0.97,54382759,52874825,351,0.816,48036341,46817189,388,1.008,30038366,29276803,388,1.01,…,…,…,…,…,…,…,…,26689464,25576518,437,0.778,28044199,26792968,332,0.876,34697816,33100214,385,0.86,29883228,28838518,387,0.681,39951359,39166722,335,0.832,28392470,27751755,384,0.824,54800263,52711296,355,1.115,34537388,33886137,380,0.942,…,…,…,…,23877112,23272370,414,1.009,29681405,29275851,360,0.73,70415425,68745697,344,0.898
2017,194691523,190648275,339,0.95,76587360,71466326,391,1.171,66685275,63809604,440,1.511,67033791,65206271,350,1.181,50152887,48591326,359,0.882,117185984,114062612,441,1.203,42650080,41291360,365,0.982,91407686,86930454,374,1.251,153012414,148140403,346,0.983,42729003,40092192,333,1.053,64142787,62596088,327,0.977,68793009,65584684,355,0.975,54757988,52621926,348,0.818,56639922,55263482,454,1.021,29942974,29364335,388,1.025,…,…,…,…,…,…,…,…,26593972,26057469,446,0.786,28582754,27506704,336,0.886,33029067,31608236,369,0.865,30939066,29791445,398,0.689,40892702,40062167,343,0.84,29315204,28590692,394,0.835,56824085,55256158,372,1.138,32149998,31382711,349,0.953,…,…,…,…,23481461,22873104,409,1.017,30617786,29961975,370,0.74,71805359,70147688,349,0.906
2018,200598157,196331449,349,0.95,78902639,74153681,403,1.175,66478882,63655609,435,1.522,69517944,67614887,361,1.172,51420145,50493734,377,0.875,102394160,98894609,380,1.215,44767718,42856013,379,0.979,95256222,90650376,385,1.222,153406933,150901331,352,0.979,47375675,45561171,375,1.048,66309724,64314417,332,0.976,70562284,68772773,371,0.973,56003282,53754570,356,0.815,46589221,45291140,366,1.022,31626938,30974634,407,1.027,…,…,…,…,…,…,…,…,24950685,24503727,421,0.78,29696799,28542576,346,0.886,32418382,30870974,361,0.861,31024966,30173482,404,0.688,43066758,41059311,351,0.841,28347714,27520124,379,0.834,54929814,53584629,360,1.132,34626957,33680890,372,0.957,…,…,…,…,23468538,22897901,412,0.999,29524954,29201916,361,0.737,75743341,74451164,367,0.907
2019,209499468,205650422,366,0.943,80667857,75637291,411,1.166,71391022,68465219,466,1.515,73147701,71925617,382,1.171,51857053,51015248,383,0.86,105551007,102997593,396,1.213,46589350,45182987,398,0.977,96470371,92992103,392,1.181,159397944,154324046,360,0.97,46998282,44760300,366,1.035,67701603,65567658,336,0.973,73581978,71606338,384,0.968,56994495,54839669,363,0.808,48600565,47124544,376,1.031,30651976,30285200,397,1.012,…,…,…,…,…,…,…,…,25359062,24678918,428,0.77,29857876,28875637,347,0.883,33397772,31933530,374,0.851,31713571,30979872,415,0.682,44385281,42328829,362,0.837,29003825,28165643,389,0.827,57550935,55961691,376,1.139,34034961,33006107,361,0.957,…,…,…,…,23200272,22486389,406,0.986,31503619,30811696,382,0.724,72192986,70780699,345,0.905
2020,270945307,262920201,468,0.941,105528468,98966907,536,1.163,88165578,83891129,568,1.52,92277479,89344845,470,1.159,68437435,66623391,504,0.847,138747871,134834493,518,1.22,56527538,54700665,482,0.979,125161758,119346374,502,1.194,222652994,216708988,505,0.967,60259856,58406688,472,1.025,93306036,89851930,459,0.968,93042066,89889848,481,0.965,77061217,74149134,489,0.802,64793648,62864528,496,1.044,39730592,39047679,511,1.001,…,…,…,…,…,…,…,…,32017872,31362742,550,0.764,40606713,38874179,467,0.883,44273867,42281094,496,0.844,43641136,42404538,566,0.684,58638734,57020832,487,0.837,38481362,37400732,519,0.821,74977734,72029432,485,1.135,47116848,45621756,494,0.957,…,…,…,…,30408654,29332265,536,0.98,42372757,41759570,521,0.717,102230680,99594471,483,0.908
2021,246004247,236201001,420,0.925,96590970,88883679,480,1.141,80799412,76957203,520,1.484,80516306,78311614,411,1.133,62081371,58615463,447,0.819,140931324,136428463,524,1.187,52893142,49581461,436,0.97,108072221,100798818,424,1.172,200807500,191617973,445,0.953,53583172,51719510,415,1.009,83018617,76706681,393,0.947,83680637,78197025,417,0.943,70827132,67350236,444,0.78,59366470,56465640,442,1.035,35253305,34182290,448,0.99,…,…,…,…,…,…,…,…,29802966,28293775,503,0.747,35786216,33225209,400,0.864,39429145,36391028,427,0.823,38105882,35703524,476,0.674,50470918,46871244,400,0.82,33521811,32205435,448,0.807,71642396,68528979,465,1.125,39607171,37238365,400,0.943,…,…,…,…,26794375,25279633,463,0.963,37757829,35920528,448,0.703,85173925,80334621,390,0.894
2022,237366330,228077566,406,0.914,99822037,93380930,503,1.148,79229283,75071425,507,1.484,78340533,76031947,400,1.121,62857034,58959941,453,0.799,132911238,129780300,499,1.187,52147529,49629263,434,0.976,108278178,102320016,429,1.193,184675921,173875066,404,0.943,52997404,50469159,405,1.003,89827411,84456794,429,0.926,78547253,75527997,403,0.929,70577986,67875587,447,0.764,57156236,54213942,423,1.032,36013772,35217903,462,0.987,…,…,…,…,…,…,…,…,30132275,28414749,506,0.731,37179103,34955048,422,0.842,40517222,37579090,443,0.803,37555643,35177224,471,0.667,51081080,49953258,428,0.805,32334490,31459490,441,0.793,70461673,67825905,458,1.117,40064136,37596084,402,0.936,…,…,…,…,27171770,25937048,476,0.943,36722380,35422973,444,0.697,87049826,83529956,406,0.886
