年度,京王電鉄_武蔵野台駅_乗車人員_総数_千人,京王電鉄_武蔵野台駅_乗車人員_定期_千人,京王電鉄_武蔵野台駅_乗車人員_定期外_千人,京王電鉄_武蔵野台駅_降車人員_総数_千人,京王電鉄_武蔵野台駅_降車人員_定期_千人,京王電鉄_武蔵野台駅_降車人員_定期外_千人,京王電鉄_武蔵野台駅_一日平均_乗車人員_人,京王電鉄_武蔵野台駅_一日平均_降車人員_人,京王電鉄_多磨霊園駅_乗車人員_総数_千人,京王電鉄_多磨霊園駅_乗車人員_定期_千人,京王電鉄_多磨霊園駅_乗車人員_定期外_千人,京王電鉄_多磨霊園駅_降車人員_総数_千人,京王電鉄_多磨霊園駅_降車人員_定期_千人,京王電鉄_多磨霊園駅_降車人員_定期外_千人,京王電鉄_多磨霊園駅_一日平均_乗車人員_人,京王電鉄_多磨霊園駅_一日平均_降車人員_人,京王電鉄_東府中駅_乗車人員_総数_千人,京王電鉄_東府中駅_乗車人員_定期_千人,京王電鉄_東府中駅_乗車人員_定期外_千人,京王電鉄_東府中駅_降車人員_総数_千人,京王電鉄_東府中駅_降車人員_定期_千人,京王電鉄_東府中駅_降車人員_定期外_千人,京王電鉄_東府中駅_一日平均_乗車人員_人,京王電鉄_東府中駅_一日平均_降車人員_人,京王電鉄_府中競馬正門前駅_乗車人員_総数_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期_千人,京王電鉄_府中競馬正門前駅_乗車人員_定期外_千人,京王電鉄_府中競馬正門前駅_降車人員_総数_千人,京王電鉄_府中競馬正門前駅_降車人員_定期_千人,京王電鉄_府中競馬正門前駅_降車人員_定期外_千人,京王電鉄_府中競馬正門前駅_一日平均_乗車人員_人,京王電鉄_府中競馬正門前駅_一日平均_降車人員_人,京王電鉄_府中駅_乗車人員_総数_千人,京王電鉄_府中駅_乗車人員_定期_千人,京王電鉄_府中駅_乗車人員_定期外_千人,京王電鉄_府中駅_降車人員_総数_千人,京王電鉄_府中駅_降車人員_定期_千人,京王電鉄_府中駅_降車人員_定期外_千人,京王電鉄_府中駅_一日平均_乗車人員_人,京王電鉄_府中駅_一日平均_降車人員_人,京王電鉄_分倍河原駅_乗車人員_総数_千人,京王電鉄_分倍河原駅_乗車人員_定期_千人,京王電鉄_分倍河原駅_乗車人員_定期外_千人,京王電鉄_分倍河原駅_降車人員_総数_千人,京王電鉄_分倍河原駅_降車人員_定期_千人,京王電鉄_分倍河原駅_降車人員_定期外_千人,京王電鉄_分倍河原駅_一日平均_乗車人員_人,京王電鉄_分倍河原駅_一日平均_降車人員_人,京王電鉄_中河原駅_乗車人員_総数_千人,京王電鉄_中河原駅_乗車人員_定期_千人,京王電鉄_中河原駅_乗車人員_定期外_千人,京王電鉄_中河原駅_降車人員_総数_千人,京王電鉄_中河原駅_降車人員_定期_千人,京王電鉄_中河原駅_降車人員_定期外_千人,京王電鉄_中河原駅_一日平均_乗車人員_人,京王電鉄_中河原駅_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_降車人員_普通_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_乗車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_降車人員_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_総数_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_乗降人員_定期外_千人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_総数_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期_人,西武多摩川線_多磨駅（旧：多磨墓地前駅）_一日平均_定期外_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_乗車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_降車人員_普通_千人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_乗車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）駅_一日平均_降車人員_人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_総数_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_乗降人員_定期外_千人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_総数_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期_人,西武多摩川線_白糸台駅（旧：北多磨駅）_一日平均_定期外_人,西武多摩川線_競艇場前駅_乗車人員_総数_千人,西武多摩川線_競艇場前駅_乗車人員_定期_千人,西武多摩川線_競艇場前駅_乗車人員_普通_千人,西武多摩川線_競艇場前駅_降車人員_総数_千人,西武多摩川線_競艇場前駅_降車人員_定期_千人,西武多摩川線_競艇場前駅_降車人員_普通_千人,西武多摩川線_競艇場前駅_一日平均_乗車人員_人,西武多摩川線_競艇場前駅_一日平均_降車人員_人,西武多摩川線_競艇場前駅_乗降人員_総数_千人,西武多摩川線_競艇場前駅_乗降人員_定期_千人,西武多摩川線_競艇場前駅_乗降人員_定期外_千人,西武多摩川線_競艇場前駅_一日平均_総数_人,西武多摩川線_競艇場前駅_一日平均_定期_人,西武多摩川線_競艇場前駅_一日平均_定期外_人,西武多摩川線_是政駅_乗車人員_総数_千人,西武多摩川線_是政駅_乗車人員_定期_千人,西武多摩川線_是政駅_乗車人員_普通_千人,西武多摩川線_是政駅_降車人員_総数_千人,西武多摩川線_是政駅_降車人員_定期_千人,西武多摩川線_是政駅_降車人員_普通_千人,西武多摩川線_是政駅_一日平均_乗車人員_人,西武多摩川線_是政駅_一日平均_降車人員_人,西武多摩川線_是政駅_乗降人員_総数_千人,西武多摩川線_是政駅_乗降人員_定期_千人,西武多摩川線_是政駅_乗降人員_定期外_千人,西武多摩川線_是政駅_一日平均_総数_人,西武多摩川線_是政駅_一日平均_定期_人,西武多摩川線_是政駅_一日平均_定期外_人,,
1995,3919,2650,1269,3925,2650,1275,10737,10753,2196,995,1201,2289,995,1294,6016,6271,3585,1803,1782,3231,1803,1428,9822,8852,1301,100,1201,1434,100,1334,3564,3929,13620,7595,6025,13144,7595,5549,37315,36011,13174,10124,3050,14885,10124,4761,36093,40781,5742,3731,2011,5770,3731,2039,15732,15808,1690,950,740,1368,950,418,4630,3748,0,0,0,0,0,0,832,494,338,785,494,291,2279,2151,0,0,0,0,0,0,961,271,690,857,271,586,2633,2348,0,0,0,0,0,0,1222,873,349,1092,873,219,3348,2922,0,0,0,0,0,0,#N/A,#N/A
1996,4012,2690,1322,4037,2690,1347,10992,11060,2173,973,1200,2321,973,1348,5953,6359,3417,1660,1757,3135,1660,1475,9362,8589,1206,94,1112,1422,94,1328,3304,3896,14881,7990,6891,13854,7990,5864,40770,37956,13131,10050,3081,14966,10050,4916,35975,41003,5775,3736,2039,5827,3736,2091,15822,15964,1635,922,713,1360,922,438,4479,3726,0,0,0,0,0,0,858,526,332,826,526,300,2351,2263,0,0,0,0,0,0,940,273,667,715,273,442,2575,1959,0,0,0,0,0,0,1230,886,344,1138,886,252,3370,3118,0,0,0,0,0,0,#N/A,#N/A
1997,4026,2721,1305,4027,2721,1306,11030,11033,2121,962,1159,2274,962,1312,5811,6230,3414,1653,1761,3091,1653,1438,9353,8468,1138,90,1048,1395,90,1305,3118,3822,14532,7938,6594,13614,7938,5676,39814,37299,12915,9861,3054,14692,9861,4831,35384,40252,5800,3774,2026,5815,3774,2041,15890,15932,1613,920,693,1329,920,409,4419,3641,0,0,0,0,0,0,886,549,337,848,549,299,2427,2323,0,0,0,0,0,0,884,277,607,641,277,364,2422,1756,0,0,0,0,0,0,1190,851,339,1188,851,337,3260,3255,0,0,0,0,0,0,#N/A,#N/A
1998,4137,2809,1328,4144,2809,1335,11334,11353,2092,924,1168,2269,924,1345,5732,6216,3484,1627,1857,3115,1627,1488,9545,8534,1156,89,1067,1514,89,1425,3167,4148,14799,7988,6811,13843,7988,5855,40545,37926,12863,9674,3189,14629,9674,4955,35241,40079,5895,3856,2039,5918,3856,2062,16151,16214,1587,901,686,1294,901,393,4348,3545,0,0,0,0,0,0,898,567,331,872,567,305,2460,2389,0,0,0,0,0,0,821,268,553,474,268,206,2249,1299,0,0,0,0,0,0,1123,794,329,1263,794,469,3077,3460,0,0,0,0,0,0,#N/A,#N/A
1999,4070,2724,1346,4066,2724,1342,11151,11140,2036,869,1167,2234,869,1365,5578,6121,3492,1561,1931,3078,1561,1517,9567,8433,1142,81,1061,1537,81,1456,3129,4211,14655,7741,6914,13678,7741,5937,40151,37474,12400,9233,3167,14165,9233,4932,33973,38808,5455,3482,1973,5541,3482,2059,14945,15181,1603,898,705,1285,898,387,4392,3521,0,0,0,0,0,0,902,571,331,867,571,296,2471,2375,0,0,0,0,0,0,763,248,515,450,248,202,2090,1233,0,0,0,0,0,0,1069,748,321,1202,748,454,2929,3293,0,0,0,0,0,0,#N/A,#N/A
2000,4050,2673,1377,4049,2673,1376,11197,11195,2036,859,1177,2265,859,1406,5613,6238,3442,1510,1932,3095,1510,1585,9487,8536,1103,82,1021,1530,82,1448,3028,4197,14646,7695,6951,13862,7695,6167,40419,38270,12859,8617,4242,13556,8617,4939,35557,37468,5377,3400,1977,5544,3400,2144,14861,15319,1938,1132,806,1536,1132,404,5310,4208,0,0,0,0,0,0,892,547,345,851,547,304,2444,2332,0,0,0,0,0,0,695,238,457,434,238,196,1904,1189,0,0,0,0,0,0,1081,745,336,1226,745,481,2962,3359,0,0,0,0,0,0,#N/A,#N/A
2001,4078,2683,1395,4131,2683,1448,11275,11421,2041,826,1215,2215,826,1389,5622,6098,3446,1493,1953,3169,1493,1676,9496,8738,979,74,905,1430,74,1356,2685,3920,14828,7676,7152,14121,7676,6445,40918,38981,12871,8419,4452,13456,8419,5037,35585,37187,5201,3199,2002,5402,3199,2203,14371,14923,2346,1421,925,1865,1421,444,6427,5110,0,0,0,0,0,0,896,543,353,865,543,322,2455,2370,0,0,0,0,0,0,698,243,455,430,243,187,1912,1178,0,0,0,0,0,0,1128,769,359,1297,769,528,3090,3553,0,0,0,0,0,0,#N/A,#N/A
2002,4197,2772,1425,4252,2772,1480,11606,11755,2114,827,1287,2245,827,1418,5821,6182,3350,1422,1928,3110,1422,1688,9232,8575,687,61,626,977,61,916,1886,2680,14765,7574,7191,14241,7574,6667,40741,39304,12888,8311,4577,13397,8311,5086,35625,37020,4919,2879,2040,5111,2879,2232,13584,14111,2360,1419,941,1881,1419,462,6466,5153,0,0,0,0,0,0,917,554,363,885,554,331,2512,2425,0,0,0,0,0,0,665,233,432,421,233,188,1822,1153,0,0,0,0,0,0,1131,767,364,1291,767,524,3099,3537,0,0,0,0,0,0,#N/A,#N/A
2003,4265,2838,1427,4319,2838,1481,11782,11930,2174,876,1298,2312,876,1436,5981,6359,3441,1472,1969,3222,1472,1750,9469,8870,783,55,728,936,55,881,2144,2561,14992,7628,7364,14558,7628,6930,41310,40123,13187,8509,4678,13667,8509,5158,36417,37727,4738,2706,2032,4958,2706,2252,13068,13668,2353,1407,946,1881,1407,474,6429,5139,0,0,0,0,0,0,926,551,375,891,551,340,2530,2434,0,0,0,0,0,0,632,218,414,412,218,194,1727,1126,0,0,0,0,0,0,1180,809,371,1335,809,526,3224,3648,0,0,0,0,0,0,#N/A,#N/A
2004,4249,2823,1426,4293,2823,1470,11747,11870,2084,841,1243,2248,841,1407,5741,6190,3414,1463,1951,3203,1463,1740,9410,8831,724,56,668,886,56,830,1987,2430,14956,7617,7339,14552,7617,6935,41265,40160,13444,8690,4754,13856,8690,5166,37162,38292,4661,2618,2043,4869,2618,2251,12870,13438,2346,1412,934,2014,1412,602,6427,5518,0,0,0,0,0,0,911,537,374,931,537,394,2496,2551,0,0,0,0,0,0,589,209,380,470,210,260,1614,1288,0,0,0,0,0,0,1249,885,364,1378,885,493,3422,3775,0,0,0,0,0,0,#N/A,#N/A
2005,4354,2879,1475,4401,2879,1522,12039,12167,2089,855,1234,2098,855,1243,5756,5781,3454,1478,1976,3308,1478,1830,9519,9119,697,52,645,716,52,664,1913,1964,15539,7699,7840,15128,7699,7429,42864,41737,13832,8962,4870,14227,8962,5265,38237,39319,4626,2559,2067,4802,2559,2243,12770,13254,2256,1338,918,2087,1338,749,6181,5718,0,0,0,0,0,0,872,501,371,957,501,456,2389,2622,0,0,0,0,0,0,521,168,353,518,168,350,1427,1419,0,0,0,0,0,0,1430,1056,374,1483,1056,427,3918,4063,0,0,0,0,0,0,#N/A,#N/A
2006,4456,2959,1497,4480,2959,1521,12321,12386,2114,878,1236,1933,878,1055,5827,5331,3511,1498,2013,3386,1498,1888,9676,9333,654,50,604,583,50,533,1795,1601,15840,7756,8084,15573,7756,7817,43693,42961,14078,9118,4960,14491,9118,5373,38915,40048,4672,2577,2095,4799,2577,2222,12896,13245,2226,1297,929,2062,1297,765,6099,5649,0,0,0,0,0,0,855,487,368,937,487,450,2342,2567,0,0,0,0,0,0,511,169,342,511,169,342,1400,1400,0,0,0,0,0,0,1411,1047,364,1474,1047,427,3866,4038,0,0,0,0,0,0,#N/A,#N/A
2007,4634,3050,1584,4640,3050,1590,12801,12817,2175,918,1257,1993,918,1075,5986,5488,3629,1535,2094,3508,1535,1973,9987,9656,709,47,662,614,47,567,1939,1680,16236,7844,8392,16117,7844,8273,44719,44394,14988,9583,5405,15364,9583,5781,41387,42416,4764,2615,2149,4794,2615,2179,13135,13217,2217,1258,959,2130,1258,872,6056,5819,0,0,0,0,0,0,857,485,372,914,485,429,2342,2497,0,0,0,0,0,0,511,170,341,477,170,307,1396,1303,0,0,0,0,0,0,1384,1016,368,1415,1016,399,3781,3866,0,0,0,0,0,0,#N/A,#N/A
2008,4629,3037,1592,4641,3037,1604,12797,12830,2166,933,1233,2010,933,1077,5969,5543,3643,1579,2064,3556,1579,1977,10040,9801,672,45,627,596,45,551,1844,1635,16291,7834,8457,16216,7834,8382,44933,44727,15463,9876,5587,15773,9876,5897,42740,43589,4760,2632,2128,4768,2632,2136,13140,13163,2309,1294,1015,2245,1294,951,6325,6150,0,0,0,0,0,0,908,507,401,962,507,455,2487,2635,0,0,0,0,0,0,524,186,338,485,186,299,1437,1330,0,0,0,0,0,0,1377,1026,351,1397,1026,371,3772,3827,0,0,0,0,0,0,#N/A,#N/A
2009,4548,2989,1559,4549,2989,1560,12575,12578,2179,960,1219,2046,960,1086,6008,5642,3647,1579,2068,3562,1579,1983,10051,9819,641,45,596,591,45,546,1758,1621,15917,7623,8294,15859,7623,8236,43899,43740,15472,9927,5545,15737,9927,5810,42767,43495,4601,2545,2056,4600,2545,2055,12702,12699,2367,1349,1018,2316,1349,967,6486,6344,0,0,0,0,0,0,961,547,414,999,547,452,2632,2739,0,0,0,0,0,0,515,192,323,482,192,290,1413,1321,0,0,0,0,0,0,1387,1037,350,1400,1036,364,3798,3836,0,0,0,0,0,0,#N/A,#N/A
2010,4489,2956,1533,4488,2956,1532,12411,12410,2169,977,1192,2050,977,1073,5979,5654,3567,1660,1907,3514,1660,1854,9836,9691,595,44,551,558,44,514,1632,1531,15614,7490,8124,15566,7490,8076,43062,42931,15425,9965,5460,15644,9965,5679,42638,43238,4524,2497,2027,4514,2497,2017,12489,12463,2346,1352,994,2353,1353,1000,6427,6447,0,0,0,0,0,0,952,540,412,971,540,431,2608,2660,0,0,0,0,0,0,509,197,312,458,198,260,1395,1255,0,0,0,0,0,0,1356,1012,344,1349,1012,337,3715,3696,0,0,0,0,0,0,#N/A,#N/A
2011,4434,2898,1536,4426,2898,1528,12245,12224,2134,936,1198,2015,936,1079,5872,5546,3686,1647,2039,3613,1647,1966,10148,9947,554,39,515,524,39,485,1513,1431,15500,7471,8029,15487,7471,8016,42690,42653,15473,9957,5516,15634,9957,5677,42729,43169,4486,2478,2008,4480,2478,2002,12369,12355,2271,1310,961,2268,1310,958,6206,6195,0,0,0,0,0,0,940,534,406,966,534,432,2570,2639,0,0,0,0,0,0,505,196,309,464,196,268,1379,1268,0,0,0,0,0,0,1356,1013,343,1349,1013,336,3705,3685,0,0,0,0,0,0,#N/A,#N/A
2012,4459,2916,1543,4456,2916,1540,12328,12319,2143,960,1183,2045,960,1085,5907,5639,3685,1636,2049,3619,1636,1983,10158,9979,577,40,537,549,40,509,1583,1505,15692,7549,8143,15699,7549,8150,43280,43297,15767,10053,5714,15906,10053,5853,43579,43960,4560,2523,2037,4563,2523,2040,12589,12597,2340,1318,1022,2336,1318,1018,6411,6398,0,0,0,0,0,0,969,538,431,985,538,447,2655,2699,0,0,0,0,0,0,504,202,302,463,202,261,1382,1269,0,0,0,0,0,0,1385,1037,348,1376,1037,339,3795,3768,0,0,0,0,0,0,#N/A,#N/A
2013,4523,2977,1546,4515,2977,1538,12504,12482,2187,997,1190,2091,997,1094,6030,5768,3697,1657,2040,3619,1657,1962,10191,9978,577,41,536,559,41,518,1582,1533,15752,7702,8050,15764,7702,8062,43450,43483,16072,10329,5743,16217,10329,5888,44426,44824,4558,2535,2023,4563,2535,2028,12585,12598,2423,1399,1024,2416,1399,1017,6641,6619,0,0,0,0,0,0,1001,570,431,1013,570,443,2742,2777,0,0,0,0,0,0,504,207,297,460,207,253,1382,1261,0,0,0,0,0,0,1416,1056,360,1403,1056,347,3880,3842,0,0,0,0,0,0,#N/A,#N/A
2014,4442,2941,1501,4449,2941,1508,12283,12301,2217,1035,1182,2139,1035,1104,6112,5899,3693,1658,2035,3620,1658,1962,10179,9980,581,41,540,572,41,531,1593,1567,15446,7595,7851,15469,7595,7874,42608,42671,16094,10353,5741,16193,10353,5840,44489,44760,4461,2488,1973,4482,2488,1994,12318,12376,2462,1416,1046,2451,1416,1035,6746,6714,0,0,0,0,0,0,1024,596,428,1033,596,437,2806,2829,0,0,0,0,0,0,499,209,290,464,209,255,1367,1272,0,0,0,0,0,0,1387,1032,355,1377,1032,345,3799,3774,0,0,0,0,0,0,#N/A,#N/A
2015,4557,3022,1535,4567,3022,1545,12587,12614,2314,1105,1209,2240,1105,1135,6372,6171,3809,1748,2061,3743,1748,1995,10486,10307,586,43,543,579,43,536,1605,1606,15770,7791,7979,15794,7791,8003,43441,43508,16608,10671,5937,16672,10671,6001,45862,46038,4621,2606,2015,4641,2606,2035,12742,12797,2534,1444,1090,2519,1444,1075,6924,6883,0,0,0,0,0,0,1068,629,439,1078,629,449,2917,2946,0,0,0,0,0,0,512,215,297,482,215,267,1399,1317,0,0,0,0,0,0,1434,1069,365,1424,1069,355,3919,3891,0,0,0,0,0,0,#N/A,#N/A
2016,4601,3046,1555,4607,3046,1561,12721,12737,2345,1138,1207,2278,1138,1140,6469,6285,3870,1783,2087,3802,1783,2019,10669,10484,584,40,544,585,40,545,1603,1606,15958,7918,8040,15980,7918,8062,44019,44081,16693,10731,5962,16769,10731,6038,46142,46351,4597,2599,1998,4624,2599,2025,12694,12767,2533,1464,1069,2518,1464,1054,6941,6897,0,0,0,0,0,0,1089,647,442,1101,647,454,2983,3016,0,0,0,0,0,0,503,216,287,481,216,265,1377,1318,0,0,0,0,0,0,1436,1072,364,1427,1072,355,3934,3911,0,0,0,0,0,0,#N/A,#N/A
2017,4650,3059,1591,4654,3059,1595,12858,12870,2355,1129,1226,2293,1129,1164,6495,6323,3902,1808,2094,3838,1808,2030,10758,10584,580,41,539,578,41,537,1589,1586,16341,8165,8176,16365,8165,8200,45080,45144,16973,10934,6039,17076,10934,6142,46917,47199,4684,2666,2018,4717,2666,2051,12936,13025,2545,1468,1077,2529,1468,1061,6974,6929,0,0,0,0,0,0,1094,647,447,1110,647,463,2996,3042,0,0,0,0,0,0,518,226,292,499,226,273,1419,1366,0,0,0,0,0,0,1445,1082,363,1440,1082,358,3957,3945,0,0,0,0,0,0,#N/A,#N/A
2018,4726,3123,1603,4721,3123,1598,13068,13053,2405,1165,1240,2339,1165,1174,6633,6451,3981,1864,2117,3920,1864,2056,10976,10811,584,39,545,594,39,555,1602,1627,16357,8318,8039,16376,8318,8058,45133,45183,17254,11109,6145,17380,11109,6271,47695,48041,4714,2713,2001,4732,2713,2019,13020,13068,2558,1483,1075,2541,1483,1058,7010,6961,0,0,0,0,0,0,1133,678,455,1149,678,471,3104,3149,0,0,0,0,0,0,539,234,305,522,234,288,1477,1431,0,0,0,0,0,0,1432,1079,353,1426,1079,347,3925,3905,0,0,0,0,0,0,#N/A,#N/A
2019,4753,3179,1574,4743,3179,1564,13129,13103,2397,1181,1216,2339,1181,1158,6602,6444,3892,1874,2018,3831,1874,1957,10720,10554,525,38,487,542,38,504,1437,1485,16100,8324,7776,16112,8324,7788,44368,44401,17172,11199,5973,17269,11199,6070,47428,47693,4677,2721,1956,4693,2721,1972,12901,12944,2528,1479,1050,2507,1479,1028,6908,6849,5035,2958,2078,13794.52055,8104.109589,5693.150685,1171,702,469,1185,702,483,3200,3239,2356,1404,952,6454.794521,3846.575342,2608.219178,542,244,298,529,244,285,1480,1444,1071,488,583,2934.246575,1336.986301,1597.260274,1436,1088,348,1432,1088,344,3925,3913,2868,2176,692,7857.534247,5961.643836,1895.890411,#N/A,#N/A
2020,3421,2289,1132,3414,2289,1125,9461,9441,1826,906,920,1779,906,873,5036,4908,2868,1526,1342,2823,1526,1297,7916,7793,67,29,38,78,29,49,184,216,11378,6266,5112,11437,6266,5171,31412,31574,12464,8360,4104,12531,8360,4171,34465,34649,3618,2139,1479,3618,2139,1479,9994,9993,1452,861,591,1444,861,583,3977,3957,2896,1722,1174,7912.568306,4704.918033,3207.650273,902,552,350,913,552,361,2470,2500,1815,1104,711,4959.016393,3016.393443,1942.622951,416,199,218,409,199,210,1141,1120,825,398,428,2254.098361,1087.431694,1169.398907,1101,846,256,1098,846,253,3017,3009,2199,1692,509,6008.196721,4622.95082,1390.710383,#N/A,#N/A
2021,3656,2347,1309,3644,2347,1297,10016,9984,2045,993,1052,1991,993,998,5602,5455,3218,1621,1597,3167,1621,1546,8815,8675,120,27,93,133,27,106,328,365,12697,6554,6143,12753,6554,6199,34788,34939,13546,8729,4817,13603,8729,4874,37116,37272,3931,2235,1696,3929,2235,1694,10771,10765,1881,1107,775,1872,1107,766,5154,5130,3753,2214,1541,10282.19178,6065.753425,4221.917808,981,582,399,994,582,412,2687,2723,1975,1164,811,5410.958904,3189.041096,2221.917808,465,210,256,454,210,244,1275,1243,919,420,500,2517.808219,1150.684932,1369.863014,1126,824,301,1123,824,299,3083,3076,2249,1648,600,6161.643836,4515.068493,1643.835616,#N/A,#N/A
2022,3872,2418,1454,3854,2418,1436,10609,10560,2207,1042,1165,2151,1042,1109,6047,5892,3560,1688,1872,3487,1688,1799,9754,9555,314,27,287,341,26,315,859,935,13831,6783,7048,13881,6782,7099,37893,38031,14626,9158,5468,14681,9158,5523,40071,40225,4203,2351,1852,4206,2351,1855,11516,11524,2122,1198,924,2108,1198,910,5813,5776,4230,2396,1834,11589.0411,6564.383562,5024.657534,1095,645,450,1109,645,464,3000,3038,2204,1290,914,6038.356164,3534.246575,2504.109589,510,232,278,502,232,270,1398,1375,1012,464,548,2772.60274,1271.232877,1501.369863,1204,859,345,1201,859,342,3297,3290,2405,1718,687,6589.041096,4706.849315,1882.191781,#N/A,#N/A
2023,4035,2508,1527,4019,2508,1511,11023,10979,2312,1100,1212,2256,1100,1156,6316,6163,3794,1758,2036,3713,1758,1955,10364,10143,409,25,384,448,25,423,1119,1226,14575,7057,7518,14616,7057,7559,39824,39936,15333,9516,5817,15379,9516,5863,41896,42020,4360,2429,1931,4366,2429,1937,11913,11929,…,…,…,…,…,…,…,…,4515,2548,1968,12371,6980,5391,…,…,…,…,…,…,…,…,2294,1308,986,6286,3584,2702,…,…,…,…,…,…,…,…,1047,488,560,2869,1336,1533,…,…,…,…,…,…,…,…,2493,1770,723,6830,4850,1980,#N/A,#N/A
