"実数・増加率","年次コード","年次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","生計支出（円）","生計支出／消費支出（円）","生計支出／消費支出／食料（円）","生計支出／消費支出／食料／穀類（円）","生計支出／消費支出／食料／魚介類（円）","生計支出／消費支出／食料／肉類（円）","生計支出／消費支出／食料／乳卵類（円）","生計支出／消費支出／食料／野菜・海藻（円）","生計支出／消費支出／食料／果物（円）","生計支出／消費支出／食料／油脂・調味料（円）","生計支出／消費支出／食料／菓子類（円）","生計支出／消費支出／食料／調理食品（円）","生計支出／消費支出／食料／飲料（円）","生計支出／消費支出／食料／酒類（円）","生計支出／消費支出／食料／外食（円）","生計支出／消費支出／住居（円）","生計支出／消費支出／住居／家賃地代（円）","生計支出／消費支出／住居／設備修繕・維持（円）","生計支出／消費支出／光熱・水道（円）","生計支出／消費支出／光熱・水道／電気代（円）","生計支出／消費支出／光熱・水道／ガス代（円）","生計支出／消費支出／光熱・水道／他の光熱（円）","生計支出／消費支出／光熱・水道／上下水道料（円）","生計支出／消費支出／家具・家事用品（円）","生計支出／消費支出／家具・家事用品／家庭用耐久財（円）","生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）","生計支出／消費支出／家具・家事用品／寝具類（円）","生計支出／消費支出／家具・家事用品／家事雑貨（円）","生計支出／消費支出／家具・家事用品／家事用消耗品（円）","生計支出／消費支出／家具・家事用品／家事サービス（円）","生計支出／消費支出／被服及び履物（円）","生計支出／消費支出／被服及び履物／和服（円）","生計支出／消費支出／被服及び履物／洋服（円）","生計支出／消費支出／被服及び履物／シャツ・セーター類（円）","生計支出／消費支出／被服及び履物／下着類（円）","生計支出／消費支出／被服及び履物／生地・糸類（円）","生計支出／消費支出／被服及び履物／他の被服（円）","生計支出／消費支出／被服及び履物／履物類（円）","生計支出／消費支出／被服及び履物／被服関連サービス（円）","生計支出／消費支出／保健医療（円）","生計支出／消費支出／保健医療／医薬品（円）","生計支出／消費支出／保健医療／健康保持用摂取品（円）","生計支出／消費支出／保健医療／保健医療用品・器具（円）","生計支出／消費支出／保健医療／保健医療サービス（円）","生計支出／消費支出／交通・通信（円）","生計支出／消費支出／交通・通信／交通（円）","生計支出／消費支出／交通・通信／自動車等関係費（円）","生計支出／消費支出／交通・通信／通信（円）","生計支出／消費支出／教育（円）","生計支出／消費支出／教育／授業料等（円）","生計支出／消費支出／教育／教科書・学習参考教材（円）","生計支出／消費支出／教育／補習教育（円）","生計支出／消費支出／教養娯楽（円）","生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）","生計支出／消費支出／教養娯楽／教養娯楽用品（円）","生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）","生計支出／消費支出／教養娯楽／教養娯楽サービス（円）","生計支出／消費支出／その他の消費支出（円）","生計支出／消費支出／その他の消費支出／諸雑費（円）","生計支出／消費支出／その他の消費支出／こづかい（円）","生計支出／消費支出／その他の消費支出／交際費（円）","生計支出／消費支出／その他の消費支出／仕送り金（円）","生計支出／土地家屋購入（円）","エンゲル係数（％）","選択的支出係数（％）","公共的料金負担率（％）","公共的料金負担率／公共料金等負担率（％）","公共的料金負担率／準公共料金等負担率（％）"
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 4月","2022","4",-,-,-,-,-3.0,-5.2,-7.2,-6.9,-6.0,-13.5,-9.2,-5.5,-11.2,-10.4,-3.4,-8.1,-12.9,-16.5,2.7,24.0,4.8,47.1,18.8,28.8,20.4,48.0,-0.6,-32.6,-48.4,3.1,-36.4,-27.1,-10.7,-36.7,-5.3,-99.5,12.7,-12.0,-10.5,16.8,-6.1,24.7,-18.2,-19.8,-19.3,-28.3,12.7,-26.3,43.5,1.8,137.5,-3.3,-25.9,-30.4,-28.4,24.1,0.6,-51.2,-5.6,-1.0,17.7,-22.0,-40.7,-24.8,34.7,-20.0,...,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 5月","2022","5",-,-,-,-,-4.8,-3.6,-3.7,-11.9,-16.0,-21.1,-13.6,-11.9,-9.4,-10.4,-5.4,-0.7,-8.7,-19.3,48.9,28.4,15.8,44.8,14.9,23.0,23.0,8.5,-12.6,-19.3,-26.1,8.8,-58.9,-1.3,-15.3,-25.9,4.8,-41.9,1.5,23.3,-13.5,18.3,25.9,-5.4,0.0,-9.8,-0.9,-25.5,-3.8,-11.6,-12.3,66.5,-29.4,-7.5,30.3,29.5,-21.6,36.7,8.5,-36.9,-19.0,-7.4,38.5,-28.9,-40.6,-40.4,42.0,-68.1,-100.0,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 6月","2022","6",-,-,-,-,-1.2,0.5,-3.2,-5.0,-13.0,-17.0,-11.5,-6.8,-5.1,-3.4,0.5,-3.7,-9.4,-23.4,34.3,27.6,17.9,57.5,8.4,14.5,19.8,43.8,-7.8,-1.7,11.0,31.4,33.4,-17.0,-7.1,-38.9,-7.2,-72.7,-11.6,-6.0,-20.6,-49.2,-8.0,0.1,50.2,-24.6,-13.6,-12.2,-20.3,-29.3,34.5,51.3,82.3,-9.0,10.5,23.3,-60.2,-3.8,3.5,-46.0,-8.1,-8.8,19.3,-13.1,-13.0,-27.6,9.5,-75.2,-42.6,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 7月","2022","7",-,-,-,-,2.9,4.3,0.6,-2.7,-8.7,-8.9,-3.8,-4.4,-5.6,-1.9,4.0,-5.6,-1.9,-11.2,34.0,12.4,28.6,-12.7,17.1,26.9,19.1,51.9,-1.5,-20.6,-25.3,39.3,-70.3,-7.3,-1.1,-42.9,12.9,86.5,38.0,24.7,-2.1,-40.5,-10.6,-5.4,-24.3,-10.6,-9.6,27.0,-5.1,-15.9,-10.5,50.2,-34.9,-1.7,63.8,22.9,102.3,128.7,31.1,-32.3,-3.8,-6.7,65.4,-3.1,11.7,-16.6,-12.4,-55.7,-100.0,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 8月","2022","8",-,-,-,-,6.6,11.2,0.7,1.1,-12.6,-10.3,-7.8,-2.8,-2.5,-0.7,1.8,-3.8,1.1,-16.1,36.9,-20.7,11.9,-61.4,18.6,32.3,11.3,10.3,3.7,-1.4,-11.4,65.2,14.9,-0.2,-1.7,3.3,23.8,55.1,66.4,-7.1,-1.5,113.0,23.8,27.2,-27.8,22.7,12.4,119.5,2.6,23.7,-1.3,52.1,-18.0,-1.1,29.3,81.9,-72.4,-12.7,30.1,-15.4,25.8,0.8,43.4,38.6,62.4,-7.1,37.8,-36.9,-100.0,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年 9月","2022","9",-,-,-,-,-24.5,4.3,0.2,-7.1,-11.4,-6.7,-4.8,-6.9,-5.7,0.2,3.1,-3.1,-1.0,-5.3,35.1,-7.2,11.2,-37.5,17.8,33.9,6.1,-9.1,-7.3,13.9,-8.3,-3.9,188.8,13.4,14.2,-12.1,37.1,225.8,71.3,16.4,4.1,9.6,16.2,8.7,37.7,-4.4,-1.5,36.6,10.1,-12.8,2.9,18.0,2.2,-4.2,32.4,42.1,239.7,-6.0,10.2,90.6,22.7,-9.7,-0.5,-6.6,-9.6,5.6,7.0,-53.3,-97.1,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年10月","2022","10",-,-,-,-,2.3,2.3,4.4,8.8,-2.0,8.0,0.8,6.0,-3.6,5.7,5.9,5.1,-3.2,-22.4,13.1,4.2,39.8,-44.1,18.6,37.9,18.1,80.6,-10.5,9.1,53.9,-62.6,40.7,12.8,14.8,-14.6,35.9,186.7,27.8,69.7,26.0,100.0,40.1,2.7,85.2,14.5,16.8,-11.6,21.2,16.5,-14.7,23.2,-36.0,-0.9,-31.4,-36.1,4.8,-6.7,6.1,-17.7,26.9,-1.4,3.5,8.7,31.6,4.1,9.0,-74.4,-,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年11月","2022","11",-,-,-,-,4.7,6.4,5.7,10.3,-0.7,10.8,10.6,4.9,-5.6,6.2,9.5,2.4,9.6,-9.2,8.6,12.0,17.7,6.7,26.7,37.0,30.5,-12.5,7.5,16.2,110.6,-59.1,-36.9,11.9,15.0,-36.7,8.0,725.7,-7.1,6.0,6.0,70.9,-2.1,3.0,70.7,2.8,25.3,29.9,-0.9,-4.9,-10.4,33.0,-35.6,-2.4,53.4,71.4,-54.8,23.4,5.1,25.8,17.5,-5.4,-0.6,-2.7,4.2,74.5,-14.1,-59.8,-100.0,,,,,
"meimoku","tuki","対前年（同月）名目増加率_令和 4年12月","2022","12",-,-,-,-,-3.9,1.2,-0.4,3.2,-8.8,2.3,0.7,-8.2,-9.8,-3.2,1.5,2.9,6.1,-6.7,4.8,-33.6,19.5,-65.5,21.4,37.9,24.1,17.9,-2.3,19.5,15.8,402.0,-17.5,11.5,13.3,-69.4,2.6,...,-1.2,-4.2,-22.3,-27.6,-6.9,1.6,12.9,11.5,34.8,-1.8,11.3,7.1,12.2,27.2,25.2,-5.9,42.4,42.5,-29.7,45.8,0.5,46.0,-3.2,-12.0,-0.1,-0.9,19.3,4.6,-17.1,-63.3,-100.0,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成23年","2011","",-,-,-,-,-,-4.7,-0.4,0.3,-3.5,-1.2,-3.5,2.3,-0.3,4.2,-1.0,0.1,8.8,-0.8,-2.7,-5.8,1.6,-20.3,-7.7,-10.4,-7.2,-8.7,-3.7,2.0,5.8,16.0,42.7,-4.4,4.1,-25.9,-11.4,-17.0,-15.0,-11.2,3.4,-,-3.7,-10.3,-17.4,3.4,0.8,-6.5,-3.9,7.6,-7.3,-13.2,-6.7,-3.2,2.2,7.9,-30.4,-9.7,-11.4,-18.3,-4.0,-8.5,-13.0,-,-9.7,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成24年","2012","",-,-,-,-,-,2.9,2.0,-2.4,-0.3,-0.6,7.5,0.0,-0.2,1.3,-1.2,4.3,3.7,11.4,4.2,8.8,-4.1,40.7,2.5,1.0,7.5,11.8,-0.7,9.9,15.8,47.9,4.9,3.9,4.8,-3.4,6.1,-3.4,4.6,8.7,7.6,-,6.4,5.4,12.5,0.6,6.2,14.2,6.8,-4.1,5.3,11.6,5.5,0.6,-3.1,-3.0,0.1,-3.4,2.4,1.3,5.0,-6.3,3.4,-,7.5,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成25年","2013","",-,-,-,-,-,3.4,2.1,1.4,-1.0,4.0,1.5,0.1,1.1,1.3,6.1,0.0,7.4,-0.8,3.6,16.1,15.0,17.7,-3.5,-1.2,-7.3,-21.5,-0.9,4.1,18.6,-29.7,30.3,-5.4,4.5,3.0,3.8,3.6,4.2,3.9,2.3,-,-0.2,9.1,-2.2,1.3,2.1,-4.9,7.7,0.3,6.6,2.3,11.0,3.7,-9.3,-7.4,-10.9,-15.1,5.3,-1.3,2.9,0.5,7.4,-,5.9,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成26年","2014","",-,-,-,-,-,-5.6,-2.2,-1.2,-5.4,1.1,1.5,1.3,1.1,1.8,-2.6,0.4,-4.3,1.3,-8.0,-14.3,-16.0,-12.1,-4.1,-6.2,-1.0,13.1,-4.2,2.4,3.5,3.3,-12.7,1.9,1.2,18.9,-2.1,77.1,-4.0,-2.9,-9.5,-,2.8,5.4,-6.5,-2.9,3.8,1.1,-8.8,-3.9,-5.0,-10.7,-3.7,-1.9,-14.6,-17.0,-14.1,-5.5,-3.2,-10.2,3.0,-3.2,-4.2,-,-6.9,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成27年","2015","",-,-,-,-,-,-0.1,0.6,0.2,0.7,-2.3,4.0,0.9,0.4,0.5,-1.5,0.4,-1.1,-0.3,2.8,-1.4,8.1,-15.9,0.2,-0.6,2.9,-25.7,0.5,-6.8,-11.6,7.4,-16.7,-4.6,-2.7,-7.5,-1.0,-23.2,7.3,-1.2,-7.2,-,-10.9,-6.9,-11.1,-1.8,-5.7,-3.3,-6.3,1.0,-3.0,-1.4,-10.1,6.1,22.6,30.1,11.6,1.5,-3.7,-16.7,-8.3,-3.6,-0.9,-,-2.8,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成28年","2016","",-,-,-,-,-,-1.8,-0.5,-2.7,-2.0,-0.7,2.1,-4.4,-6.4,-0.4,-2.4,7.3,4.6,-3.8,-0.6,-1.1,-5.3,6.9,-1.8,-1.6,-2.4,-1.1,-1.0,0.6,0.7,6.6,1.1,-6.9,7.7,-6.0,-5.5,-20.7,-8.3,-3.5,1.9,-,-11.0,-6.0,10.7,-2.2,-1.3,1.0,8.0,-5.5,-4.4,0.7,-12.7,1.3,4.1,1.6,-22.4,15.4,-4.6,-4.3,-0.4,-6.3,-5.6,-,0.8,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成29年","2017","",-,-,-,-,-,2.1,0.6,-0.4,-7.7,2.3,0.7,0.9,0.2,4.0,0.5,1.7,0.1,6.0,1.0,-2.8,-7.2,4.7,0.8,-1.7,2.1,19.7,2.7,8.4,12.9,14.6,4.1,7.1,3.7,5.8,-3.0,-30.6,-0.6,-3.1,-7.3,-,-0.5,-4.3,-9.0,2.4,4.4,16.4,-0.4,0.7,10.5,0.3,23.8,5.0,-1.9,0.8,14.5,-11.7,2.1,27.6,5.9,-2.1,-0.3,-,-0.2,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成30年","2018","",-,-,-,-,-,-2.9,-0.7,1.5,-7.6,-1.2,-4.4,-2.4,-3.8,-1.1,4.4,1.4,6.7,-10.1,1.4,-0.1,2.2,-3.3,-2.4,-0.4,-5.6,-14.4,-1.5,-11.4,-15.4,-46.3,-10.5,-5.0,0.0,-4.5,-3.9,-5.0,-1.4,-10.3,-2.0,-,-5.0,-0.6,-6.0,1.9,-1.2,-13.2,0.5,5.8,-3.5,4.3,-12.4,2.2,3.5,0.6,-18.2,15.5,-4.5,-8.3,-4.8,-5.1,-3.8,-,-1.8,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_平成31年・令和元年","2019","",-,-,-,-,-,0.4,1.4,0.7,-2.4,-1.9,-0.8,-1.5,-1.7,0.3,3.2,3.6,1.5,11.6,3.5,-2.3,-8.4,7.2,-3.7,-3.7,-2.3,4.9,-5.5,11.8,12.4,41.3,23.0,9.8,5.2,3.6,1.7,64.5,0.9,4.9,-6.0,-,6.1,-3.8,0.6,3.0,11.8,0.9,9.5,-0.6,3.0,7.1,3.5,0.1,-4.5,-7.1,15.3,2.4,2.3,15.2,7.9,-0.1,-0.3,-,0.3,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_令和 2年","2020","",-,-,-,-,-,-2.2,1.3,5.1,9.4,17.2,14.3,10.2,4.4,19.8,4.7,4.9,8.1,17.9,-29.1,15.0,19.4,8.1,4.3,4.6,3.7,-17.8,5.7,8.3,11.2,-10.7,-6.1,8.1,18.5,-3.9,-20.6,39.4,-24.7,-25.8,-4.7,-,-21.4,-21.8,-9.5,5.5,1.5,9.1,17.1,2.5,-6.9,-43.3,6.3,7.5,6.4,11.3,28.1,-9.5,-15.1,33.4,-0.9,-1.3,-28.1,-,-3.4,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_令和 3年","2021","",-,-,-,-,-,1.3,0.3,-2.1,-1.0,-2.7,-4.3,-4.6,0.7,-4.7,3.8,8.6,4.2,9.8,-2.3,-5.0,-11.1,3.3,-5.3,-8.9,-4.6,-7.4,0.6,-1.3,-3.2,31.4,12.6,-2.2,-8.6,-0.6,-3.4,-44.1,-3.7,3.4,3.6,-,-4.3,9.9,-26.7,3.8,-1.5,-10.2,-3.2,9.7,8.6,6.4,4.1,20.0,-1.0,0.4,1.0,-4.5,0.5,-7.3,2.8,-7.7,3.6,-,12.5,-,-,-,-,,,,,
"jissitu","nen","対前年（同月）実質増加率_令和 4年","2022","",-,-,-,-,-,-2.3,-5.9,-7.5,-17.5,-9.3,-6.3,-8.0,-12.8,-9.1,-3.3,-7.0,-6.4,-17.8,11.4,-0.2,15.8,-19.1,-3.3,-0.5,-7.4,25.6,-4.6,-10.2,-12.3,-21.2,-8.7,-9.1,-2.9,-22.6,5.4,46.8,4.8,5.9,-11.4,-,7.6,8.3,18.0,-4.9,-2.0,4.4,-3.5,-7.2,3.7,25.8,-5.0,7.8,1.8,-2.7,-32.2,17.8,7.0,-20.5,-2.5,-7.0,19.0,-,2.0,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 1月","2022","1",-,-,-,-,-,5.2,-6.7,-5.0,-10.3,-5.9,-0.1,-7.9,-18.9,-11.4,-1.2,-7.8,-8.7,-25.0,3.9,9.9,8.9,12.0,-11.7,-16.5,-11.3,29.4,-13.7,-14.0,-12.9,-48.6,-40.4,-13.2,-8.2,65.3,12.5,-94.2,12.1,10.6,-28.8,-,14.2,72.3,2.2,-19.0,-13.9,15.5,-29.1,-20.5,48.3,30.6,63.4,60.5,-1.7,5.6,-70.6,-10.9,5.9,-42.7,-5.4,-2.7,26.3,-,35.9,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 2月","2022","2",-,-,-,-,-,-4.8,-10.6,-3.5,-10.2,-7.9,-1.3,-5.2,-14.8,-11.6,-10.2,-8.8,-16.5,-29.9,-16.4,1.0,12.4,-10.0,-0.9,-6.4,2.1,61.5,-0.9,-16.3,-7.5,-31.3,-48.3,-22.5,-9.0,-20.4,-24.1,-100.0,-33.9,-39.6,-14.8,-,19.5,-3.2,49.0,-13.7,-16.1,-18.0,-1.5,-16.9,17.1,-13.9,21.7,37.0,-30.1,-46.3,-85.0,46.2,1.4,-24.8,-25.4,9.0,21.9,-,19.2,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 3月","2022","3",-,-,-,-,-,-13.8,-8.7,-5.8,-14.9,-7.4,-4.7,-9.4,-14.2,-7.5,-2.5,-8.0,-12.3,-18.0,-8.1,-14.9,3.7,-36.7,-8.1,-7.3,-14.6,53.5,-9.9,-31.9,-59.4,-85.9,106.7,-29.2,-8.3,48.9,-7.5,304.8,-11.8,-7.2,-26.4,-,3.2,-8.2,48.5,-8.1,-16.7,-9.9,-24.7,0.3,-25.2,-3.5,-45.6,7.6,-23.8,-31.1,-21.6,-7.9,-5.7,-36.5,-15.3,-19.0,12.0,-,13.1,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 4月","2022","4",-,-,-,-,-,-7.9,-10.9,-10.8,-15.4,-15.1,-9.5,-13.1,-22.0,-14.6,-5.8,-11.8,-15.2,-16.1,1.2,22.8,4.6,43.9,-0.6,2.4,-5.0,22.3,-0.6,-34.2,-51.1,-2.4,-34.6,-26.8,-12.8,-36.7,-5.9,-99.5,9.8,-9.3,-11.4,-,-4.3,25.3,-20.2,-19.1,-19.8,-28.7,12.7,-24.9,46.4,1.2,133.3,8.0,-26.6,-31.2,-31.0,23.6,-1.2,-53.2,-4.9,-4.2,15.4,-,-41.4,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 5月","2022","5",-,-,-,-,-,-6.3,-7.8,-15.7,-24.4,-23.2,-15.1,-19.8,-19.0,-14.9,-8.3,-4.2,-9.2,-18.9,46.0,26.6,15.6,40.4,-2.5,0.0,-1.8,-9.4,-12.6,-21.9,-31.1,3.6,-58.4,-1.6,-17.3,-25.9,4.3,-43.2,-1.2,28.2,-13.8,-,27.8,-4.8,-2.6,-8.9,-1.3,-25.8,-3.1,-10.0,-10.1,66.2,-30.4,3.9,30.0,29.4,-24.5,36.2,6.7,-38.8,-18.9,-10.4,36.1,-,-41.3,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 6月","2022","6",-,-,-,-,-,-2.2,-6.8,-9.0,-21.6,-19.7,-12.7,-11.4,-8.4,-8.7,-3.2,-8.1,-9.8,-23.2,30.9,25.6,17.7,51.7,-7.7,-6.4,-4.0,20.3,-7.8,-5.9,1.7,26.1,34.5,-18.6,-9.9,-38.9,-7.7,-73.3,-13.7,-2.0,-22.4,-,-6.9,0.9,46.0,-23.9,-14.9,-13.5,-19.0,-28.0,37.7,51.3,80.0,1.6,10.4,23.3,-61.7,-4.2,2.0,-47.7,-8.2,-11.7,17.8,-,-14.0,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 7月","2022","7",-,-,-,-,-,1.2,-3.6,-8.9,-17.5,-11.4,-5.1,-8.6,-12.8,-8.7,-0.7,-9.9,-2.6,-10.8,30.0,10.8,28.5,-15.4,-2.0,1.1,-5.9,28.8,-1.5,-23.2,-28.4,37.2,-71.0,-10.5,-4.2,-43.8,12.1,81.4,33.7,28.2,-4.3,-,-8.8,-1.5,-26.7,-9.8,-11.0,25.0,-3.7,-14.4,-9.3,50.0,-35.7,5.4,63.6,22.9,94.9,127.8,30.1,-35.0,-4.2,-7.3,64.6,-,10.3,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 8月","2022","8",-,-,-,-,-,7.4,-3.8,-5.9,-22.2,-13.2,-9.0,-6.8,-10.5,-7.2,-2.0,-9.0,1.0,-15.6,32.0,-21.6,11.8,-62.4,-2.3,2.6,-13.0,-4.3,3.7,-4.6,-15.0,62.1,11.6,-4.9,-3.4,1.7,23.3,52.2,61.9,-4.0,-3.8,-,25.6,33.5,-30.2,23.9,11.3,117.3,4.0,26.0,-1.4,50.6,-19.1,1.9,29.2,81.9,-73.4,-13.0,28.2,-20.2,24.7,0.0,41.7,-,59.8,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 9月","2022","9",-,-,-,-,-,0.9,-3.8,-15.0,-22.4,-9.7,-7.1,-2.9,-10.4,-7.0,-2.5,-8.3,-1.3,-4.9,30.0,-8.0,11.1,-38.8,-2.1,4.7,-15.3,-20.4,-7.3,7.9,-16.3,-3.4,179.3,7.1,10.8,-13.5,35.2,216.0,67.3,15.9,0.9,-,17.5,10.7,33.0,-3.5,-2.4,35.4,10.8,-11.2,3.2,17.6,1.1,-1.2,32.3,42.1,227.3,-6.4,7.9,82.2,19.6,-10.3,-2.4,-,-10.9,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年10月","2022","10",-,-,-,-,-,-1.9,-1.6,-1.5,-14.5,3.4,-2.1,1.6,-3.6,-1.9,-0.2,-1.4,-6.3,-26.4,7.1,2.8,39.8,-45.9,-1.8,8.7,-8.3,62.1,-10.5,3.1,41.6,-63.4,33.9,6.1,10.7,-15.9,32.7,176.7,24.3,65.9,21.5,-,43.1,0.7,77.7,14.4,15.6,-12.5,21.1,17.0,-16.1,22.7,-36.2,-6.0,-31.5,-36.1,1.0,-7.1,5.3,-21.7,19.4,-2.2,4.9,-,29.9,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年11月","2022","11",-,-,-,-,-,1.7,-1.1,-0.2,-12.4,5.6,2.7,-1.4,-6.2,-3.4,2.7,-3.8,4.6,-13.7,2.4,10.3,17.7,3.1,4.4,8.7,-1.5,-18.0,7.5,8.1,88.9,-60.6,-42.1,4.6,9.9,-37.7,5.3,689.4,-9.2,3.1,1.3,-,-1.3,-0.3,63.7,2.7,23.8,28.4,-0.7,-4.5,-12.0,32.1,-35.5,-8.3,53.2,71.4,-56.5,22.9,5.4,19.9,10.1,-6.2,2.8,-,2.7,-,-,-,-,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年12月","2022","12",-,-,-,-,-,-3.4,-6.9,-6.9,-20.4,-3.7,-8.1,-9.0,-11.0,-11.8,-4.8,-3.9,-0.8,-11.5,-2.0,-34.6,19.4,-66.7,-0.9,9.4,-8.9,8.4,-2.3,11.7,4.3,378.6,-23.3,3.6,9.9,-69.9,-0.9,-,-4.7,-6.9,-26.6,-,-7.9,-1.0,7.8,11.4,33.3,-2.9,11.2,7.5,9.5,24.7,24.7,-12.0,42.3,42.5,-32.3,45.2,0.9,39.2,-9.3,-12.7,3.3,-,17.5,-,-,-,-,,,,,
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 4年","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"第１表　　　　　　　主　な　支　出　及　び　対　前　年　(　同　月  ）　増　加　率            ―　全　世　帯　―","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"注１）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、平成30年及び平成31年・令和元年の「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"注２）　平成31年・令和元年からは、調査対象に農林漁家世帯を含めている。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
