"実数・増加率","年次コード","年次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","実収入（円）","実収入／経常収入（円）","実収入／経常収入／勤め先収入（円）","実収入／経常収入／勤め先収入／世帯主収入（円）","実収入／経常収入／勤め先収入／世帯主収入／うち男（円）","実収入／経常収入／勤め先収入／世帯主収入／定期収入（円）","実収入／経常収入／勤め先収入／世帯主収入／臨時収入（円）","実収入／経常収入／勤め先収入／世帯主収入／賞与（円）","実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）","実収入／経常収入／勤め先収入／世帯主の配偶者の収入／うち女（円）","実収入／経常収入／勤め先収入／他の世帯員収入（円）","実収入／経常収入／事業・内職収入（円）","実収入／経常収入／事業・内職収入／家賃収入（円）","実収入／経常収入／事業・内職収入／他の事業収入（円）","実収入／経常収入／事業・内職収入／内職収入（円）","実収入／経常収入／他の経常収入（円）","実収入／特別収入（円）","可処分所得（円）","実支出（円）","実支出／生計支出（円）","実支出／生計支出／消費支出（円）","実支出／生計支出／消費支出／食料（円）","実支出／生計支出／消費支出／食料／穀類（円）","実支出／生計支出／消費支出／食料／魚介類（円）","実支出／生計支出／消費支出／食料／肉類（円）","実支出／生計支出／消費支出／食料／乳卵類（円）","実支出／生計支出／消費支出／食料／野菜・海藻（円）","実支出／生計支出／消費支出／食料／果物（円）","実支出／生計支出／消費支出／食料／油脂・調味料（円）","実支出／生計支出／消費支出／食料／菓子類（円）","実支出／生計支出／消費支出／食料／調理食品（円）","実支出／生計支出／消費支出／食料／飲料（円）","実支出／生計支出／消費支出／食料／酒類（円）","実支出／生計支出／消費支出／食料／外食（円）","実支出／生計支出／消費支出／住居（円）","実支出／生計支出／消費支出／住居／家賃地代（円）","実支出／生計支出／消費支出／住居／設備修繕・維持（円）","実支出／生計支出／消費支出／光熱・水道（円）","実支出／生計支出／消費支出／光熱・水道／電気代（円）","実支出／生計支出／消費支出／光熱・水道／ガス代（円）","実支出／生計支出／消費支出／光熱・水道／他の光熱（円）","実支出／生計支出／消費支出／光熱・水道／上下水道料（円）","実支出／生計支出／消費支出／家具・家事用品（円）","実支出／生計支出／消費支出／家具・家事用品／家庭用耐久財（円）","実支出／生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）","実支出／生計支出／消費支出／家具・家事用品／寝具類（円）","実支出／生計支出／消費支出／家具・家事用品／家事雑貨（円）","実支出／生計支出／消費支出／家具・家事用品／家事用消耗品（円）","実支出／生計支出／消費支出／家具・家事用品／家事サービス（円）","実支出／生計支出／消費支出／被服及び履物（円）","実支出／生計支出／消費支出／被服及び履物／和服（円）","実支出／生計支出／消費支出／被服及び履物／洋服（円）","実支出／生計支出／消費支出／被服及び履物／シャツ・セーター類（円）","実支出／生計支出／消費支出／被服及び履物／下着類（円）","実支出／生計支出／消費支出／被服及び履物／生地・糸類（円）","実支出／生計支出／消費支出／被服及び履物／他の被服（円）","実支出／生計支出／消費支出／被服及び履物／履物類（円）","実支出／生計支出／消費支出／被服及び履物／被服関連サービス（円）","実支出／生計支出／消費支出／保健医療（円）","実支出／生計支出／消費支出／保健医療／医薬品（円）","実支出／生計支出／消費支出／保健医療／健康保持用摂取品（円）","実支出／生計支出／消費支出／保健医療／保健医療用品 ・器具（円）","実支出／生計支出／消費支出／保健医療／保健医療サービス（円）","実支出／生計支出／消費支出／交通・通信（円）","実支出／生計支出／消費支出／交通・通信／交通（円）","実支出／生計支出／消費支出／交通・通信／自動車等関係費（円）","実支出／生計支出／消費支出／交通・通信／通信（円）","実支出／生計支出／消費支出／教育（円）","実支出／生計支出／消費支出／教育／授業料等（円）","実支出／生計支出／消費支出／教育／教科書・学習参考教材（円）","実支出／生計支出／消費支出／教育／補習教育（円）","実支出／生計支出／消費支出／教養娯楽（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽用品（円）","実支出／生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽サービス（円）","実支出／生計支出／消費支出／その他の消費支出（円）","実支出／生計支出／消費支出／その他の消費支出／諸雑費（円）","実支出／生計支出／消費支出／その他の消費支出／こづかい（円）","実支出／生計支出／消費支出／その他の消費支出／交際費（円）","実支出／生計支出／消費支出／その他の消費支出／仕送り金（円）","実支出／生計支出／土地家屋購入（円）","実支出／その他の実支出（円）","平均消費性向（％）","エンゲル係数（％）","選択的支出係数（％）","公共的料金負担率（％）","公共的料金負担率／公共料金等負担率（％）","公共的料金負担率／準公共料金等負担率（％）"
"jissitu","nen","対前年（同月）実質増加率_令和 2年","2020","",-,-,-,-,4.2,2.0,2.4,0.1,0.3,0.2,6.6,-0.6,14.6,11.3,10.2,-10.6,-1.5,-26.3,-3.9,-2.8,139.1,4.1,-,-,-4.8,1.9,6.6,16.0,20.7,14.8,14.1,0.7,22.8,4.4,6.0,6.3,23.0,-26.0,9.0,20.7,-16.3,1.0,1.7,-2.3,-22.7,3.7,12.8,36.5,-15.7,-17.6,5.2,20.4,-16.1,-22.7,3.0,-30.4,-22.9,-12.0,-,-21.2,-19.0,5.1,5.8,7.3,24.9,35.1,-5.8,-15.6,-38.7,-11.7,0.5,-5.8,-3.3,5.1,-14.6,-14.7,19.0,-2.8,-1.9,-25.5,-,4.4,-,-,-,-,-,,,,,,
"jissitu","nen","対前年（同月）実質増加率_令和 3年","2021","",-,-,-,-,4.4,5.6,5.6,5.3,5.3,5.3,-24.0,7.0,10.7,12.1,-20.1,2.9,10.3,-14.8,8.8,6.0,-25.8,4.2,-,-,4.3,0.9,-3.9,-1.6,-4.5,-5.5,-6.9,3.7,-5.3,8.0,15.3,4.0,10.3,-2.6,-2.3,-11.4,27.4,-4.9,-7.4,-4.4,-13.8,-1.1,-0.5,-1.9,39.8,21.2,1.5,-10.9,-20.2,-1.6,-29.9,0.9,0.2,12.1,-,-0.1,6.8,-34.5,2.0,0.7,-16.6,-8.4,9.4,17.7,-1.1,26.9,21.0,2.1,0.0,9.9,8.9,3.9,10.6,6.5,-10.0,4.8,-,18.9,-,-,-,-,-,,,,,,
"jissitu","nen","対前年（同月）実質増加率_令和 4年","2022","",-,-,-,-,-9.0,-8.6,-8.4,-7.5,-8.1,-7.7,-13.3,-6.3,-14.5,-14.5,1.3,6.8,-6.9,63.3,-19.3,-15.5,-25.7,-8.3,-,-,-4.9,-6.7,-8.2,-20.2,-7.6,-3.9,-8.8,-11.7,-10.1,-6.1,-11.3,-4.9,-26.7,10.7,-5.5,10.1,-36.9,-1.4,3.8,-7.2,34.6,-3.8,-9.5,-21.3,-15.4,-5.9,-5.8,1.8,9.2,10.2,80.0,9.9,13.4,-11.3,-,6.9,11.3,25.4,-3.8,-2.0,-9.8,3.9,-6.4,-7.7,22.4,-25.8,4.6,-2.5,-8.0,-26.7,13.8,4.1,-29.7,3.3,-10.3,14.0,-,-3.0,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 1月","2022","1",-,-,-,-,-9.2,-11.6,-11.8,-5.9,-4.6,-6.5,25.4,33.7,-32.3,-32.2,-54.4,27.6,-21.0,137.8,46.9,-20.9,121.8,-8.3,-,-,4.9,-8.8,-5.4,-19.7,-7.3,1.4,-14.3,-23.6,-14.3,-1.6,-6.7,-15.3,-35.5,5.9,14.2,14.1,15.2,-15.2,-13.0,-16.5,19.0,-24.3,-19.0,-25.4,-58.9,-22.9,-18.2,-8.6,91.7,28.2,-94.0,32.4,22.5,-34.6,-,25.5,95.4,32.7,-20.2,11.9,1.3,-17.1,-30.7,52.6,37.7,65.1,64.3,-4.3,-8.2,-58.5,6.2,-3.3,-43.3,-0.9,-8.5,9.1,-,54.5,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 2月","2022","2",-,-,-,-,-12.3,-12.3,-14.8,-11.0,-9.9,-9.2,-62.8,-70.4,-28.3,-27.7,-52.4,59.9,19.4,149.0,35.5,8.8,-8.8,-11.1,-,-,-11.4,-11.9,-4.0,-14.8,-4.7,3.1,-8.6,-13.9,-10.7,-10.2,-9.1,-16.3,-40.9,-15.9,3.0,16.7,-18.3,1.4,0.5,1.0,104.2,-1.0,-16.7,-21.8,-28.4,-33.7,-16.2,-8.2,18.2,-16.1,-100.0,-28.3,-34.9,-10.9,-,31.7,22.8,80.1,-14.7,-13.9,-13.9,6.1,-26.0,-8.3,-13.4,-25.3,31.7,-30.0,-49.6,-83.8,54.5,10.7,-42.5,0.0,3.0,33.2,-,-13.1,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 3月","2022","3",-,-,-,-,-6.4,-10.5,-10.2,-9.0,-11.1,-9.0,3.3,-9.9,-17.2,-18.2,-5.7,-12.3,-42.4,142.6,-38.7,-24.1,229.7,-2.9,-,-,-15.7,-12.6,-7.8,-18.4,-4.7,0.8,-11.2,-9.3,-7.4,-8.2,-14.5,-15.1,-35.2,-14.7,-9.7,-3.4,-40.2,-8.2,-3.0,-19.0,103.2,-11.7,-34.8,-63.0,-92.1,190.4,-32.5,-4.7,90.5,10.9,17.8,13.5,-0.8,-38.3,-,7.5,7.7,98.6,5.3,-15.4,-4.9,5.1,13.5,-37.7,-8.5,-63.8,4.7,-28.5,-36.3,-13.1,-13.3,-6.7,-48.5,-20.4,-27.8,24.1,-,34.4,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 4月","2022","4",-,-,-,-,-19.2,-17.5,-17.3,-15.4,-15.4,-14.2,-15.4,-58.4,-27.3,-28.5,-11.4,44.3,-4.1,104.8,27.2,-32.0,-67.7,-18.6,-,-,-9.7,-11.6,-9.7,-17.9,-10.6,-3.4,-13.2,-18.6,-12.3,-11.1,-18.9,-12.8,-31.2,3.1,82.7,3.5,425.5,2.5,5.5,-5.5,27.4,8.5,-36.1,-55.2,8.5,-38.0,-23.6,-7.7,-28.3,3.3,-98.6,15.1,-13.7,-0.7,-,11.2,6.4,1.8,-2.5,-2.2,-35.2,22.4,-6.2,14.6,-11.9,52.5,8.6,-21.4,-26.6,-17.6,19.6,-10.2,-67.4,7.6,-12.2,1.5,-,-57.5,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 5月","2022","5",-,-,-,-,-21.2,-19.1,-18.6,-18.9,-18.6,-15.0,-1.3,-72.6,-19.9,-21.5,9.9,3.5,-6.9,104.1,-65.4,-53.2,-60.1,-20.0,-,-,-15.2,-9.4,-16.4,-31.4,-19.9,-14.5,-21.3,-25.4,-16.3,-12.8,-13.0,-10.7,-33.7,44.6,4.3,17.6,-41.9,2.7,9.3,-3.9,16.4,-3.6,-16.8,-32.0,139.7,-39.8,-7.1,-12.0,-30.0,15.6,46.8,13.6,53.8,1.2,-,25.5,-7.9,2.0,-7.7,14.2,-36.9,10.1,-15.6,-37.0,76.7,-69.1,4.2,20.7,17.5,-24.9,34.6,11.6,-24.0,-7.1,-18.1,35.1,-,-54.3,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 6月","2022","6",-,-,-,-,-12.4,-12.1,-11.9,-9.5,-11.6,-13.4,-21.6,-4.7,-25.8,-24.7,20.3,5.6,-44.2,305.4,37.9,-19.3,-36.1,-11.1,-,-,-3.7,-7.3,-9.0,-27.0,-15.3,-9.1,-10.7,-8.9,-7.8,-8.9,-15.4,-6.1,-27.7,25.9,7.9,11.0,-3.7,-8.1,-6.5,-1.0,-61.9,-10.8,11.0,26.1,115.5,111.5,-14.1,-5.3,21.2,-3.6,-71.8,-20.9,4.2,-26.7,-,5.2,28.4,112.7,17.9,-10.6,8.7,-13.0,46.1,15.0,52.6,11.4,-0.9,3.6,10.7,-50.0,-3.8,-1.0,-59.1,-3.4,-19.4,16.0,-,-12.2,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 7月","2022","7",-,-,-,-,-18.0,-19.0,-19.0,-17.1,-17.9,-12.5,50.1,-28.7,-32.3,-31.9,14.0,-36.4,-50.2,29.5,-56.9,6.4,159.0,-16.8,-,-,-4.4,-5.8,-11.3,-23.7,-10.8,-4.3,-11.2,-15.1,-11.9,-2.2,-13.1,-0.8,-21.7,19.8,-10.2,25.6,-66.5,-0.2,2.4,-3.9,0.8,2.6,-30.6,-45.6,19.5,-78.5,-10.3,-1.3,-8.4,8.9,57.7,26.6,13.8,5.3,-,-13.4,7.4,-22.5,-27.9,-19.0,-6.0,19.0,-42.8,-10.4,48.3,-33.3,0.3,46.1,6.8,65.3,106.3,2.6,-37.7,-3.8,-10.3,16.1,-,13.5,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 8月","2022","8",-,-,-,-,-10.6,-7.1,-7.1,-5.6,-7.7,-9.4,-9.3,138.3,-19.7,-20.0,48.5,-39.2,-61.2,44.6,2.0,-3.9,-67.4,-10.0,-,-,8.3,-4.7,-8.9,-25.9,-11.6,-8.8,-5.8,-15.9,-11.8,-6.3,-16.0,1.9,-19.9,34.4,-22.0,13.1,-88.1,0.2,3.2,-11.6,-37.0,10.8,5.3,11.5,102.0,-51.4,9.1,-4.0,16.5,38.7,-,83.0,18.4,-11.9,-,17.4,13.0,11.3,10.6,-0.4,39.4,8.2,12.5,-4.3,56.2,-23.9,2.3,12.9,57.2,-76.9,-23.0,40.4,34.7,43.8,2.3,44.8,-,73.8,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年 9月","2022","9",-,-,-,-,-2.2,-3.3,-2.3,-2.1,-4.4,-1.8,-15.2,-7.6,-2.4,-2.7,-8.9,-25.0,19.6,-83.9,-29.2,-40.4,128.2,-1.1,-,-,2.6,-2.5,-16.8,-22.5,-7.8,-5.5,-2.5,-3.1,-12.3,-3.2,-13.7,6.5,-6.1,30.7,-15.4,-10.1,-43.6,-2.0,3.8,-11.8,-59.0,-6.8,13.0,-31.1,32.0,276.8,22.4,17.1,21.3,57.9,-,84.6,76.6,7.3,-,37.8,11.5,16.3,-11.5,-3.4,43.7,3.2,-23.4,-0.2,8.1,-0.1,-6.0,29.6,37.2,217.1,-1.9,0.0,20.7,26.5,-10.6,-10.9,-,-10.8,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年10月","2022","10",-,-,-,-,-2.4,-1.3,0.6,-2.8,-4.4,-1.6,-39.8,-55.6,15.2,18.2,31.2,25.6,24.3,177.8,-14.6,-19.5,-60.4,-4.1,-,-,-3.3,-2.8,-1.0,-12.6,2.6,-1.4,-0.1,-4.4,-6.1,-5.3,-7.4,-3.6,-31.9,7.4,17.5,41.0,-43.4,-0.3,14.8,-4.6,91.0,-18.0,-15.7,-36.0,-76.5,24.3,28.1,25.7,7.2,18.2,74.5,15.5,62.7,7.7,-,8.2,-6.5,9.9,9.5,0.3,-40.1,11.7,19.8,-24.8,20.0,-52.5,-10.3,-27.3,-31.8,7.8,-5.1,-0.3,-64.4,18.0,-1.7,4.0,-,45.9,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年11月","2022","11",-,-,-,-,0.7,3.2,3.7,1.3,1.4,0.7,-43.1,306.2,13.8,18.8,17.5,67.6,174.7,6.2,-31.9,-45.7,-58.6,0.1,-,-,1.4,-0.9,-2.4,-8.0,5.4,3.5,1.7,1.1,1.5,2.8,-9.6,13.2,-15.6,0.6,-18.5,-1.1,-61.7,13.3,17.5,3.0,51.3,19.2,15.5,74.1,-14.3,-59.2,2.8,11.3,11.4,3.6,13.6,-6.6,27.0,2.7,-,-6.8,-6.3,65.7,0.6,6.2,16.6,16.7,-8.9,-13.0,22.1,-37.2,-5.3,42.8,76.7,-61.8,9.2,0.4,13.5,10.3,-0.8,-7.3,-,-0.8,-,-,-,-,-,,,,,,
"jissitu","tuki","対前年（同月）実質増加率_令和 4年12月","2022","12",-,-,-,-,1.8,3.8,4.1,3.1,3.4,3.1,60.9,2.5,9.7,6.8,12.0,-0.6,41.2,-42.5,-12.2,-2.5,-44.2,0.9,-,-,-6.7,-3.7,-4.2,-17.4,-2.9,-6.5,-4.7,1.3,-10.9,-5.9,0.5,0.4,-17.4,2.4,-52.3,1.8,-84.7,2.4,14.2,-3.5,9.3,-3.8,34.2,13.2,662.4,-10.8,9.3,22.7,-57.1,-12.8,-,-15.8,-16.7,-30.5,-,-13.6,-10.2,-33.1,-1.0,20.6,-19.6,-9.0,-0.8,6.4,29.3,29.8,-26.8,4.3,-5.3,-33.8,24.7,8.1,75.8,-11.9,-11.9,15.0,-,-0.8,-,-,-,-,-,,,,,,
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 4年","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"第１４表　　　　主　な　収　入　と　支　出　及　び　対　前　年　（同　月）  増　加　率  ―　勤労者世帯　―","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"注１）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、平成30年及び平成31年・令和元年の「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"注２）　平成31年・令和元年からは、調査対象に農林漁家世帯を含めている。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
