消防署,出場・従事件数・計出場,出場・従事件数・計従事,出場・従事件数・火災・出場,出場・従事件数・火災・従事,出場・従事件数・交通・出場,出場・従事件数・交通・従事,出場・従事件数・水難・出場,出場・従事件数・水難・従事,出場・従事件数・機械・出場,出場・従事件数・機械・従事,出場・従事件数・工作物建物・出場,出場・従事件数・工作物建物・従事,出場・従事件数・崩壊・出場,出場・従事件数・崩壊・従事,出場・従事件数・墜落・出場,出場・従事件数・墜落・従事,出場・従事件数・ガス・出場,出場・従事件数・ガス・従事,出場・従事件数・電気・出場,出場・従事件数・電気・従事,出場・従事件数・山岳・出場,出場・従事件数・山岳・従事,出場・従事件数・爆発・出場,出場・従事件数・爆発・従事,出場・従事件数・その他・出場,出場・従事件数・その他・従事,救助人員・計・,救助人員・計・重症,救助人員・計・中等症,救助人員・計・軽症,救助人員・計・無症,救助人員・計・死亡,救助人員・誘導人員・,出場車両数誘導人員・計,誘導人員・計・ポンプ車,誘導人員・計・救助車,誘導人員・計・化学車,誘導人員・計・はしご車,誘導人員・計・救急車,誘導人員・計・照明車,"誘導人員・計・救出救助車、水難救助車、指揮統制車",誘導人員・計・ヘリコプター,誘導人員・計・消防艇,誘導人員・計・指揮隊車,誘導人員・計・その他,従事台数,出場人員,従事人員
王子,245,178,2,2,31,26,4,4,1,0,199,140,1,1,0,0,0,0,0,0,0,0,0,0,7,5,186,21,71,43,11,40,0,915,236,156,54,11,258,1,6,0,8,173,12,497,"3,846","2,101"
赤羽,300,230,5,5,28,27,12,9,1,1,244,182,0,0,2,2,0,0,0,0,0,0,0,0,8,4,233,23,72,69,27,42,0,1134,344,173,40,6,306,4,20,2,22,205,12,672,"4,769","2,795"
滝野川,150,117,0,0,16,14,0,0,1,0,129,102,0,0,0,0,0,0,0,0,0,0,0,0,4,1,119,26,33,30,12,18,0,481,172,74,1,1,148,0,0,0,0,80,5,295,"1,955",1202
板橋,470,350,5,5,100,94,1,1,3,2,330,231,0,0,13,6,0,0,0,0,0,0,0,0,18,11,387,56,109,125,50,47,2,"1,577",465,226,123,6,500,0,1,1,0,243,12,844,"6,365","3,395"
志村,678,473,4,4,91,77,5,4,5,4,550,373,0,0,3,1,1,1,0,0,0,0,0,0,19,9,518,50,171,160,36,101,0,"2,438",537,404,257,5,722,1,7,1,8,474,22,"1,103","9,996","4,581"
練馬,362,265,2,2,37,33,0,0,0,0,315,225,0,0,1,0,0,0,0,0,0,0,0,0,7,5,267,38,94,59,38,38,0,1191,247,184,152,2,371,0,1,0,0,227,7,609,"4,904","2,546"
光が丘,249,184,0,0,42,34,0,0,0,0,196,143,0,0,6,3,0,0,0,0,0,0,0,0,5,4,211,31,63,78,13,26,0,787,267,118,1,1,263,0,0,0,0,135,2,446,"3,224","1,813"
石神井,524,385,4,4,55,25,4,2,3,3,444,342,0,0,1,1,2,2,0,0,0,0,0,0,11,6,417,68,152,99,36,62,0,"1,580",578,227,8,5,510,0,3,1,0,243,5,964,"6,445","3,915"
上野,207,141,0,0,42,31,2,2,0,0,150,104,1,0,6,3,0,0,0,0,0,0,0,0,6,1,131,25,33,54,9,10,0,660,233,85,0,1,216,0,2,0,0,118,5,351,"2,838","1,521"
浅草,101,79,1,1,8,8,4,3,1,1,82,64,0,0,1,1,1,1,1,0,0,0,0,0,2,0,73,12,29,18,3,11,5,342,122,43,0,3,104,0,1,0,11,55,3,206,"1,475",879
日本堤,141,91,0,0,7,7,6,2,0,0,125,81,0,0,1,1,0,0,0,0,0,0,0,0,2,0,88,12,27,30,8,11,0,462,153,68,0,0,143,2,3,0,16,77,0,211,"1,962",900
荒川,228,173,0,0,28,26,1,1,1,1,183,136,0,0,4,3,0,0,0,0,0,0,0,0,11,6,195,41,50,63,21,20,0,753,194,117,55,0,241,1,1,0,2,137,5,439,"3,174","1,853"
尾久,139,98,0,0,4,4,5,5,1,0,126,87,0,0,0,0,1,1,0,0,0,0,0,0,2,1,105,26,30,16,17,16,0,521,121,79,56,1,141,1,11,2,12,91,6,269,"2,177",1115
千住,202,158,0,0,48,45,6,3,4,0,133,104,0,0,2,1,3,2,0,0,0,0,0,0,6,3,176,36,45,58,20,17,0,697,218,94,26,0,217,2,12,0,11,111,6,401,"2,844","1,606"
足立,605,436,6,6,83,71,11,7,1,0,474,340,0,0,6,2,0,0,0,0,0,0,0,0,24,10,436,78,122,155,35,46,3,"2,117",591,329,144,7,629,2,17,2,6,368,22,"1,072","8,739","4,527"
西新井,414,302,4,4,63,59,1,1,3,3,323,220,0,0,4,3,0,0,0,0,0,0,0,0,16,12,318,50,97,106,23,42,0,"1,405",482,222,14,8,431,0,0,0,0,239,9,693,"5,817","2,848"
