発火源および経過,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
1電気による発熱体／13電気機器／温風機,1,1,－,－,－,1,－,－,－,－,－,－,10,－,－,－
1電気による発熱体／13電気機器／温風機／可熱物が火源に触れる,1,1,－,－,－,1,－,－,－,－,－,－,10,－,－,－
1電気による発熱体／13電気機器／空気清浄機,3,2,－,－,－,2,1,－,－,－,－,－,541,23,－,－
1電気による発熱体／13電気機器／空気清浄機／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／13電気機器／空気清浄機／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,23,－,－
1電気による発熱体／13電気機器／空気清浄機／不明,1,1,－,－,－,1,－,－,－,－,－,－,41,－,－,－
1電気による発熱体／13電気機器／洗たく機,7,7,1,－,1,5,－,－,－,－,－,20,1586,15,－,2
1電気による発熱体／13電気機器／洗たく機／過多の電流が流れる,3,3,－,－,1,2,－,－,－,－,－,5,545,－,－,－
1電気による発熱体／13電気機器／洗たく機／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,124,－,－,－
1電気による発熱体／13電気機器／洗たく機／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,300,－,－,－
1電気による発熱体／13電気機器／洗たく機／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,1
1電気による発熱体／13電気機器／洗たく機／不明,1,1,1,－,－,－,－,－,－,－,－,15,617,15,－,1
1電気による発熱体／13電気機器／自動販売機,2,－,－,－,－,－,－,－,－,－,2,－,－,432,－,－
1電気による発熱体／13電気機器／自動販売機／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,132,－,－
1電気による発熱体／13電気機器／自動販売機／金属の接触部が過熱,1,－,－,－,－,－,－,－,－,－,1,－,－,300,－,－
1電気による発熱体／13電気機器／電子レンジ,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／13電気機器／電子レンジ／漏洩放電する,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／13電気機器／直流電源装置,1,－,－,－,－,－,1,－,－,－,－,－,－,350,－,－
1電気による発熱体／13電気機器／直流電源装置／構造不完全,1,－,－,－,－,－,1,－,－,－,－,－,－,350,－,－
1電気による発熱体／13電気機器／ベンチレーター,1,－,－,－,－,－,－,－,－,－,1,－,－,6,－,－
1電気による発熱体／13電気機器／ベンチレーター／過多の電流が流れる,1,－,－,－,－,－,－,－,－,－,1,－,－,6,－,－
1電気による発熱体／13電気機器／集じん機,3,3,－,－,－,3,－,－,－,－,－,1,1042,－,－,1
1電気による発熱体／13電気機器／集じん機／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,774,－,－,－
1電気による発熱体／13電気機器／集じん機／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,1,68,－,－,1
1電気による発熱体／13電気機器／集じん機／摩擦により発熱する,1,1,－,－,－,1,－,－,－,－,－,－,200,－,－,－
1電気による発熱体／13電気機器／合成樹脂成型機,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／13電気機器／合成樹脂成型機／機械の調整が不適当,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／13電気機器／静電塗装機,1,1,－,－,－,1,－,－,－,－,－,－,50,51,－,1
1電気による発熱体／13電気機器／静電塗装機／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,50,51,－,1
1電気による発熱体／13電気機器／電気のり付機,1,1,－,－,－,1,－,－,－,－,－,－,108,－,－,－
1電気による発熱体／13電気機器／電気のり付機／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,108,－,－,－
1電気による発熱体／13電気機器／観賞魚用ポンプモーター,1,1,－,－,－,1,－,－,－,－,－,－,60,－,－,－
1電気による発熱体／13電気機器／観賞魚用ポンプモーター／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,60,－,－,－
1電気による発熱体／13電気機器／洗濯乾燥機,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／13電気機器／洗濯乾燥機／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／13電気機器／製綿機,2,2,－,－,－,2,－,－,－,－,－,－,847,－,－,－
1電気による発熱体／13電気機器／製綿機／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,692,－,－,－
1電気による発熱体／13電気機器／製綿機／火花が飛ぶ,1,1,－,－,－,1,－,－,－,－,－,－,155,－,－,－
1電気による発熱体／13電気機器／研磨機,3,3,－,1,－,2,－,－,－,－,－,96,72076,－,－,1
1電気による発熱体／13電気機器／研磨機／スパークによる引火,1,1,－,1,－,－,－,－,－,－,－,96,72025,－,－,1
1電気による発熱体／13電気機器／研磨機／火花が飛ぷ,2,2,－,－,－,2,－,－,－,－,－,－,51,－,－,－
1電気による発熱体／13電気機器／看板燈,1,－,－,－,－,－,－,－,－,－,1,－,－,148,－,－
1電気による発熱体／13電気機器／看板燈／絶縁劣下による発熱,1,－,－,－,－,－,－,－,－,－,1,－,－,148,－,－
1電気による発熱体／13電気機器／自動電圧調整装置,1,1,－,－,－,1,－,－,－,－,－,－,365,－,－,1
1電気による発熱体／13電気機器／自動電圧調整装置／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,365,－,－,1
1電気による発熱体／13電気機器／電気のこぎり,1,1,－,－,－,1,－,－,－,－,－,－,236,－,－,2
1電気による発熱体／13電気機器／電気のこぎり／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,236,－,－,2
1電気による発熱体／13電気機器／旋盤,3,3,－,－,－,3,－,－,－,－,－,－,6476,－,－,－
1電気による発熱体／13電気機器／旋盤／摩擦により発熱する,3,3,－,－,－,3,－,－,－,－,－,－,6476,－,－,－
1電気による発熱体／13電気機器／裁断機,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
1電気による発熱体／13電気機器／裁断機／伝導過熱する,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－
1電気による発熱体／13電気機器／電気溶射器,1,1,－,－,－,1,－,－,－,－,－,－,159,－,－,－
1電気による発熱体／13電気機器／電気溶射器／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,159,－,－,－
1電気による発熱体／13電気機器／分析装置,1,1,－,－,－,1,－,－,－,－,－,－,2800,－,－,－
1電気による発熱体／13電気機器／分析装置／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,2800,－,－,－
1電気による発熱体／13電気機器／除湿機,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／13電気機器／除湿機／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／13電気機器／タイムレコーダー,1,1,－,－,1,－,－,－,－,－,－,10,23330,－,－,－
1電気による発熱体／13電気機器／タイムレコーダー／スパークによる引火,1,1,－,－,1,－,－,－,－,－,－,10,23330,－,－,－
1電気による発熱体／13電気機器／洗顔美容機,1,1,－,－,－,1,－,－,－,－,－,－,375,－,－,－
1電気による発熱体／13電気機器／洗顔美容機／機械が故障する,1,1,－,－,－,1,－,－,－,－,－,－,375,－,－,－
1電気による発熱体／13電気機器／時限発火装置(電気),7,1,－,－,－,1,2,－,－,－,4,－,35,1134,－,－
1電気による発熱体／13電気機器／時限発火装置(電気)／放火,7,1,－,－,－,1,2,－,－,－,4,－,35,1134,－,－
1電気による発熱体／14電気装置,60,37,－,1,－,36,11,－,－,－,12,308,46007,3231,－,1
1電気による発熱体／14電気装置／配電用変圧器,5,1,－,－,－,1,－,－,－,－,4,－,5,302,－,－
1電気による発熱体／14電気装置／配電用変圧器／地絡する,2,－,－,－,－,－,－,－,－,－,2,－,－,2,－,－
1電気による発熱体／14電気装置／配電用変圧器／金属の接触部が過熱,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／14電気装置／配電用変圧器／絶縁劣下による発熱,2,1,－,－,－,1,－,－,－,－,1,－,5,300,－,－
1電気による発熱体／14電気装置／単相モーター,5,4,－,－,－,4,－,－,－,－,1,－,2054,－,－,－
1電気による発熱体／14電気装置／単相モーター／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／14電気装置／単相モーター／過多の電流が流れる,2,2,－,－,－,2,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／14電気装置／単相モーター／絶縁劣下による発熱,2,2,－,－,－,2,－,－,－,－,－,－,2050,－,－,－
1電気による発熱体／14電気装置／三相モーター,11,10,－,－,－,10,－,－,－,－,1,－,1004,12,－,－
1電気による発熱体／14電気装置／三相モーター／電線が短絡する,3,3,－,－,－,3,－,－,－,－,－,－,218,－,－,－
1電気による発熱体／14電気装置／三相モーター／過多の電流が流れる,3,3,－,－,－,3,－,－,－,－,－,－,196,－,－,－
1電気による発熱体／14電気装置／三相モーター／単相運転する,3,2,－,－,－,2,－,－,－,－,1,－,3,12,－,－
1電気による発熱体／14電気装置／三相モーター／摩擦により発熱する,1,1,－,－,－,1,－,－,－,－,－,－,87,－,－,－
1電気による発熱体／14電気装置／三相モーター／蓄積過熱する,1,1,－,－,－,1,－,－,－,－,－,－,500,－,－,－
1電気による発熱体／14電気装置／セルモーター,6,1,－,－,－,1,5,－,－,－,－,－,264,145,－,－
1電気による発熱体／14電気装置／セルモーター／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,264,－,－,－
1電気による発熱体／14電気装置／セルモーター／金原現象,1,－,－,－,－,－,1,－,－,－,－,－,－,3,－,－
1電気による発熱体／14電気装置／セルモーター／金属の接触部が過熱,1,－,－,－,－,－,1,－,－,－,－,－,－,2,－,－
1電気による発熱体／14電気装置／セルモーター／スパークによる引火,2,－,－,－,－,－,2,－,－,－,－,－,－,60,－,－
1電気による発熱体／14電気装置／セルモーター／機械が故障する,1,－,－,－,－,－,1,－,－,－,－,－,－,80,－,－
1電気による発熱体／14電気装置／発電機,1,－,－,－,－,－,－,－,－,－,1,－,－,470,－,－
1電気による発熱体／14電気装置／発電機／金属の接触部が過熱,1,－,－,－,－,－,－,－,－,－,1,－,－,470,－,－
1電気による発熱体／14電気装置／ダイナモ,2,－,－,－,－,－,2,－,－,－,－,－,－,905,－,－
1電気による発熱体／14電気装置／ダイナモ／スパークによる引火,1,－,－,－,－,－,1,－,－,－,－,－,－,895,－,－
1電気による発熱体／14電気装置／ダイナモ／機械が故障する,1,－,－,－,－,－,1,－,－,－,－,－,－,10,－,－
1電気による発熱体／14電気装置／油入遮断器,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／14電気装置／油入遮断器／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／14電気装置／その他高圧遮断器,2,－,－,－,－,－,1,－,－,－,1,－,－,916,－,－
1電気による発熱体／14電気装置／その他高圧遮断器／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／14電気装置／その他高圧遮断器／絶縁劣下による発熱,1,－,－,－,－,－,1,－,－,－,－,－,－,915,－,－
1電気による発熱体／14電気装置／断路器(ジスコン),1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／14電気装置／断路器(ジスコン)／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／14電気装置／その他高圧開閉器,3,1,－,－,－,1,－,－,－,－,2,－,1,162,－,－
1電気による発熱体／14電気装置／その他高圧開閉器／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,160,－,－
1電気による発熱体／14電気装置／その他高圧開閉器／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／14電気装置／その他高圧開閉器／金属の接触郤が過熱,1,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－
1電気による発熱体／14電気装置／小型トランス類,3,3,－,－,－,3,－,－,－,－,－,－,69,－,－,－
1電気による発熱体／14電気装置／小型トランス類／電線が短絡する,2,2,－,－,－,2,－,－,－,－,－,－,68,－,－,－
1電気による発熱体／14電気装置／小型トランス類／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／14電気装置／空気圧縮機,2,2,－,1,－,1,－,－,－,－,－,308,41697,12,－,1
1電気による発熱体／14電気装置／空気圧縮機／過多の電涜が流れる,1,1,－,1,－,－,－,－,－,－,－,308,41407,12,－,－
1電気による発熱体／14電気装置／空気圧縮機／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,290,－,－,1
1電気による発熱体／14電気装置／コンデンサー(低圧),15,11,－,－,－,11,2,－,－,－,2,－,478,272,－,－
1電気による発熱体／14電気装置／コンデンサー(低圧)／絶縁劣下による発熱,14,10,－,－,－,10,2,－,－,－,2,－,472,272,－,－
1電気による発熱体／14電気装置／コンデンサー(低圧)／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,6,－,－,－
1電気による発熱体／14電気装置／スライダック,1,1,－,－,－,1,－,－,－,－,－,－,15,－,－,－
1電気による発熱体／14電気装置／スライダック／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,15,－,－,－
1電気による発熱体／14電気装置／抵抗器,1,－,－,－,－,－,1,－,－,－,－,－,－,35,－,－
1電気による発熱体／14電気装置／抵抗器／過熱する,1,－,－,－,－,－,1,－,－,－,－,－,－,35,－,－
1電気による発熱体／14電気装置／制御盤,1,1,－,－,－,1,－,－,－,－,－,－,319,－,－,－
1電気による発熱体／14電気装置／制御盤／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,319,－,－,－
1電気による発熱体／15電灯、電話等の配線,239,111,7,14,16,74,76,－,－,－,52,3088,761404,41459,1,34
1電気による発熱体／15電灯、電話等の配線／送電線,1,－,－,－,－,－,－,－,－,－,1,－,－,35,－,－
1電気による発熱体／15電灯、電話等の配線／送電線／漏洩放電する,1,－,－,－,－,－,－,－,－,－,1,－,－,35,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(高圧),21,－,－,－,－,－,－,－,－,－,21,－,－,217,－,1
1電気による発熱体／15電灯、電話等の配線／配電線(高圧)／地絡する,13,－,－,－,－,－,－,－,－,－,13,－,－,38,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(高圧)／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(高圧)／スパークする,5,－,－,－,－,－,－,－,－,－,5,－,－,174,－,1
1電気による発熱体／15電灯、電話等の配線／配電線(高圧)／漏洩放電する,2,－,－,－,－,－,－,－,－,－,2,－,－,5,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧),12,4,－,－,－,4,－,－,－,－,8,－,4055,48,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧)／地絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,12,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧)／電線が短絡する,2,1,－,－,－,1,－,－,－,－,1,－,3560,30,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧)／スパークする,2,1,－,－,－,1,－,－,－,－,1,－,490,－,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧)／金属の接触部が過熱,6,1,－,－,－,1,－,－,－,－,5,－,1,6,－,－
1電気による発熱体／15電灯、電話等の配線／配電線(低圧)／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／15電灯、電話等の配線／き電線,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／15電灯、電話等の配線／き電線／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／15電灯、電話等の配線／引込線(低圧),3,1,－,－,－,1,－,－,－,－,2,－,120,1,－,1
1電気による発熱体／15電灯、電話等の配線／引込線(低圧)／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／15電灯、電話等の配線／引込線(低圧)／金属の接触部が過熱,2,1,－,－,－,1,－,－,－,－,1,－,120,－,－,1
1電気による発熱体／15電灯、電話等の配線／引込線(高圧),7,1,－,－,－,1,－,－,－,－,6,－,－,169,－,1
1電気による発熱体／15電灯、電話等の配線／引込線(高圧)／地絡する,4,－,－,－,－,－,－,－,－,－,4,－,－,3,－,－
1電気による発熱体／15電灯、電話等の配線／引込線(高圧)／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,－,8,－,1
1電気による発熱体／15電灯、電話等の配線／引込線(高圧)／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
1電気による発熱体／15電灯、電話等の配線／引込線(高圧)／絶縁劣下による発熱,1,－,－,－,－,－,－,－,－,－,1,－,－,158,－,－
1電気による発熱体／15電灯、電話等の配線／屋内線,21,20,1,3,－,16,1,－,－,－,－,280,51044,1000,－,2
1電気による発熱体／15電灯、電話等の配線／屋内線／電線が短絡する,15,14,1,1,－,12,1,－,－,－,－,190,29775,1000,－,1
1電気による発熱体／15電灯、電話等の配線／屋内線／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／15電灯、電話等の配線／屋内線／金属の接触部が過熱,5,5,－,2,－,3,－,－,－,－,－,90,21266,－,－,1
1電気による発熱体／15電灯、電話等の配線／変電設備内配線(高圧),5,－,－,－,－,－,－,－,－,－,5,－,－,2126,－,2
1電気による発熱体／15電灯、電話等の配線／変電設備内配線(高圧)／地絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－
1電気による発熱体／15電灯、電話等の配線／変電設備内配線(高圧)／電線が短絡する,2,－,－,－,－,－,－,－,－,－,2,－,－,1838,－,－
1電気による発熱体／15電灯、電話等の配線／変電設備内配線(高圧)／電線が閃絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,280,－,－
1電気による発熱体／15電灯、電話等の配線／変電設備内配線(高圧)／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,6,－,2
1電気による発熱体／15電灯、電話等の配線／コード,59,53,4,7,14,28,5,－,－,－,1,1831,489232,3323,－,18
1電気による発熱体／15電灯、電話等の配線／コード／地絡する,1,1,－,－,1,－,－,－,－,－,－,34,4741,－,－,－
1電気による発熱体／15電灯、電話等の配線／コード／電線が短絡する,44,40,4,7,8,21,4,－,－,－,－,1738,463029,2004,－,17
1電気による発熱体／15電灯、電話等の配線／コード／過多の電流が流れる,2,2,－,－,1,1,－,－,－,－,－,10,2706,－,－,－
1電気による発熱体／15電灯、電話等の配線／コード／スパークする,7,6,－,－,2,4,1,－,－,－,－,17,8590,1310,－,－
1電気による発熱体／15電灯、電話等の配線／コード／金属の接触部が過熱,3,2,－,－,1,1,－,－,－,－,1,10,2208,9,－,－
1電気による発熱体／15電灯、電話等の配線／コード／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,54,－,－,－
1電気による発熱体／15電灯、電話等の配線／コード／スパークによる引火,1,1,－,－,1,－,－,－,－,－,－,22,7904,－,－,1
1電気による発熱体／15電灯、電話等の配線／交通機関内配線,57,2,－,－,－,2,55,－,－,－,－,－,911,31783,－,2
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／地絡する,1,－,－,－,－,－,1,－,－,－,－,－,－,3,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／電線が短絡する,27,2,－,－,－,2,25,－,－,－,－,－,911,23473,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／過多の電流が流れる,5,－,－,－,－,－,5,－,－,－,－,－,－,186,－,1
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／スパークする,9,－,－,－,－,－,9,－,－,－,－,－,－,4412,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／金原現象,1,－,－,－,－,－,1,－,－,－,－,－,－,9,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／金属の接触部が過熱,4,－,－,－,－,－,4,－,－,－,－,－,－,1241,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／スパークによる引火,6,－,－,－,－,－,6,－,－,－,－,－,－,2076,－,－
1電気による発熱体／15電灯、電話等の配線／交通機関内配線／衝突により発火する,4,－,－,－,－,－,4,－,－,－,－,－,－,383,－,1
1電気による発熱体／15電灯、電話等の配線／スパークプラグ,6,1,－,－,－,1,4,－,－,－,1,－,15,207,－,－
1電気による発熱体／15電灯、電話等の配線／スパークプラグ／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,5,－,－
1電気による発熱体／15電灯、電話等の配線／スパークプラグ／スパークによる引火,5,1,－,－,－,1,3,－,－,－,1,－,15,202,－,－
1電気による発熱体／15電灯、電話等の配線／デストリビューター,11,1,－,－,－,1,10,－,－,－,－,－,50,1682,－,－
1電気による発熱体／15電灯、電話等の配線／デストリビューター／スパークする,1,－,－,－,－,－,1,－,－,－,－,－,－,80,－,－
1電気による発熱体／15電灯、電話等の配線／デストリビューター／スパークによる引火,10,1,－,－,－,1,9,－,－,－,－,－,50,1602,－,－
1電気による発熱体／15電灯、電話等の配線／イグニッションコイル,2,1,－,－,－,1,1,－,－,－,－,－,234,39,－,1
1電気による発熱体／15電灯、電話等の配線／イグニッションコイル／スパークによる引火,2,1,－,－,－,1,1,－,－,－,－,－,234,39,－,1
1電気による発熱体／15電灯、電話等の配線／屋外線,6,1,－,－,－,1,－,－,－,－,5,－,369,408,－,－
1電気による発熱体／15電灯、電話等の配線／屋外線／地絡する,2,1,－,－,－,1,－,－,－,－,1,－,14,4,－,－
1電気による発熱体／15電灯、電話等の配線／屋外線／電線が短絡する,2,－,－,－,－,－,－,－,－,－,2,－,355,400,－,－
1電気による発熱体／15電灯、電話等の配線／屋外線／漏洩放電する,2,－,－,－,－,－,－,－,－,－,2,－,－,4,－,－
1電気による発熱体／15電灯、電話等の配線／屋側線,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／15電灯、電話等の配線／屋側線／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／15電灯、電話等の配線／電話線,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／15電灯、電話等の配線／電話線／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／15電灯、電話等の配線／器具付コード,25,24,2,4,2,16,－,－,－,－,1,977,215368,421,1,6
1電気による発熱体／15電灯、電話等の配線／器具付コード／地絡する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／15電灯、電話等の配線／器具付コード／電線が短絡する,20,20,2,4,2,12,－,－,－,－,－,977,215123,420,1,6
1電気による発熱体／15電灯、電話等の配線／器具付コード／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,218,－,－,－
1電気による発熱体／15電灯、電話等の配線／器具付コード／金属の接触部が過熱,2,2,－,－,－,2,－,－,－,－,－,－,22,－,－,－
1電気による発熱体／15電灯、電話等の配線／器具付コード／絶縁劣下による発熱,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／16配線器具,133,99,6,11,6,76,3,－,－,－,31,1852,388596,418,2,22
1電気による発熱体／16配線器具／タンブラースイッチ,3,2,－,－,－,2,1,－,－,－,－,－,11,13,－,－
1電気による発熱体／16配線器具／タンブラースイッチ／金原現象,2,1,－,－,－,1,1,－,－,－,－,－,10,13,－,－
1電気による発熱体／16配線器具／タンブラースイッチ／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／16配線器具／ロータリースイッチ,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／16配線器具／ロータリースイッチ／金原現象,1,1,－,－,－,1,－,－,－,－,－,－,3,－,－,－
1電気による発熱体／16配線器具／押しボタンスイッチ,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／16配線器具／押しボタンスイッチ／漏洩放電する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／16配線器具／ブルスイッチ,1,1,－,－,－,1,－,－,－,－,－,－,28,－,－,－
1電気による発熱体／16配線器具／ブルスイッチ／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,28,－,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器,8,－,－,－,－,－,－,－,－,－,8,－,－,17,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器／電線が短絡する,2,－,－,－,－,－,－,－,－,－,2,－,－,6,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器／過多の電流が流れる,1,－,－,－,－,－,－,－,－,－,1,－,－,6,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器／スパークする,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器／金原現象,1,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
1電気による発熱体／16配線器具／街灯スイッチ・自動点滅器／絶縁劣下による発熱,3,－,－,－,－,－,－,－,－,－,3,－,－,3,－,－
1電気による発熱体／16配線器具／マイクロスイッチ,1,－,－,－,－,－,1,－,－,－,－,－,－,131,－,－
1電気による発熱体／16配線器具／マイクロスイッチ／金原現象,1,－,－,－,－,－,1,－,－,－,－,－,－,131,－,－
1電気による発熱体／16配線器具／ミシン用スイッチ,1,1,－,1,－,－,－,－,－,－,－,29,3164,－,－,－
1電気による発熱体／16配線器具／ミシン用スイッチ／誤ってスイッチが入る,1,1,－,1,－,－,－,－,－,－,－,29,3164,－,－,－
1電気による発熱体／16配線器具／柱上低圧開閉器,6,－,－,－,－,－,－,－,－,－,6,－,－,6,－,－
1電気による発熱体／16配線器具／柱上低圧開閉器／金属の接触部が過熱,6,－,－,－,－,－,－,－,－,－,6,－,－,6,－,－
1電気による発熱体／16配線器具／カバー付ナイフスイッチ,5,4,－,－,－,4,－,－,－,－,1,－,23,2,－,1
1電気による発熱体／16配線器具／カバー付ナイフスイッチ／金属の接触部が過熱,5,4,－,－,－,4,－,－,－,－,1,－,23,2,－,1
1電気による発熱体／16配線器具／箱開閉器,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／16配線器具／箱開閉器／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,1,－,－,－
1電気による発熱体／16配線器具／電磁開閉器,1,1,－,－,－,1,－,－,－,－,－,－,560,－,－,－
1電気による発熱体／16配線器具／電磁開閉器／過多の電流が流れる,1,1,－,－,－,1,－,－,－,－,－,－,560,－,－,－
1電気による発熱体／16配線器具／配線用しゃ断器,6,3,－,1,－,2,－,－,－,－,3,10,554,110,－,2
1電気による発熱体／16配線器具／配線用しゃ断器／電線が短絡する,1,－,－,－,－,－,－,－,－,－,1,－,－,100,－,1
1電気による発熱体／16配線器具／配線用しゃ断器／漏洩放電する,1,－,－,－,－,－,－,－,－,－,1,－,－,3,－,－
1電気による発熱体／16配線器具／配線用しゃ断器／金原現象,3,2,－,1,－,1,－,－,－,－,1,10,552,7,－,1
1電気による発熱体／16配線器具／配線用しゃ断器／金属の接触部が過熱,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／16配線器具／電流制限器,2,2,－,－,－,2,－,－,－,－,－,－,3,－,－,1
1電気による発熱体／16配線器具／電流制限器／電線が短絡する,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,1
