自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総数内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,"D　電子資料等の利用館外貸出
有：1
無：0","D　電子資料等の利用機器提供
有：1
無：0",H　 備考備考
市部計,"4,158,087",784.21,150,15,7,123,"46,178","18,867,828","5,175,666","105,267","949,925","6,019,715","15,907","1,828","8,156","50,203","377,227","15,538","52,343","49,660","6,585","3,626","15,069,275","2,406,106","178,600","961,276","753,662","34,431,689","18,314,105","10,719,229","1,568,781","10,366","635,902","103,689","6,866","84,927",677,"7,488,171","4,222,276","49,747","162,690","57,911","10,026","89,884",547,"1,014",406,"2,902","319,421","1,201,215",25,"288,975",13,92,58,1,0,
瑞穂町,"33,455",16.85,1,0,0,0,296,"224,067","53,280",404,不明,"82,746",96,10,680,0,"5,338",0,1,491,0,0,"54,416","5,542",928,"5,512","4,859","111,089","98,157","40,329","5,803",54,"4,607","1,535",52,"1,482",1,"12,629","10,594",765,"1,262",494,32,721,0,6,0,9,8,394,0,未取得,1,1,0,0,0,
日の出町　,"16,872",28.07,1,1,0,0,282,"108,081","44,182",不明,"2,360","7,966",43,7,0,0,0,0,0,0,0,不明,"16,230","10,675","1,367",不明,不明,"47,680","42,433","16,192",不明,19,"5,109",331,10,321,0,"2,253","1,199",162,838,455,8,374,0,1,0,0,54,"1,480",0,198,0,1,0,0,0,
檜原村　,"2,231",105.41,1,0,1,17,293,"41,502","12,572",0,388,"5,034",63,12,0,0,306,0,719,588,0,0,未取得,"1,464",不明,未取得,未取得,"12,386",不明,"4,253",581,23,"2,766",0,0,0,0,"1,261",739,48,471,258,0,213,0,0,0,0,3,336,0,624,0,1,0,0,0,
奥多摩町,"5,229",225.53,2,0,1,20,586,"76,456","22,172",31,101,"12,085",106,6,0,0,0,0,0,0,0,0,"15,333",754,117,687,606,"23,016","20,222","4,317",0,67,"5,448",462,40,422,0,"3,482","2,549",501,429,180,10,239,0,0,0,0,3,457,0,未取得,0,0,0,0,0,登録者数については、有効期限を設けて登録の削除を行ったため、昨年度より大幅に減少している。
町村部計,"57,787",375.86,5,1,2,37,"1,457","450,106","132,206",435,"2,849","107,831",308,35,680,0,"5,644",0,720,"1,079",0,0,"85,979","18,435","2,412","6,199","5,465","194,171","160,812","65,091","6,384",163,"17,930","2,328",102,"2,225",1,"19,625","15,081","1,476","3,000","1,387",50,"1,547",0,7,0,9,68,"2,667",0,822,1,3,0,0,0,
大島町　,"7,647",90.76,1,0,1,10,300,"38,500",不明,不明,不明,不明,4,1,0,0,112,0,458,0,387,0,"4,831",412,148,412,412,"5,594","5,594",不明,不明,5,32,0,0,0,0,21,12,6,1,1,0,0,0,0,0,0,2,825,0,未取得,0,0,0,0,0,
神津島村　,"1,858",18.58,1,0,0,0,296,"15,602","3,861",0,66,不明,24,0,0,0,0,0,0,0,0,0,"8,766",724,158,520,520,"7,727","7,727",不明,不明,9,70,0,0,0,0,未取得,未取得,未取得,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未取得,未取得,0,未取得,0,0,0,0,0,
三宅村　,"2,447",55.26,1,0,0,0,308,"13,498","2,850",不明,不明,不明,31,3,0,0,0,0,0,0,0,0,"3,859",808,不明,不明,不明,"4,591","4,591",不明,不明,0,0,0,0,0,0,74,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
八丈町　,"7,362",72.23,1,0,0,0,279,"33,517","11,429",88,"2,247","1,213",31,6,0,0,0,0,30,"1,109",0,0,"16,243","4,198",431,"1,096","1,018","33,209","31,816","11,036","5,532",5,132,0,0,0,0,600,283,25,282,166,38,78,0,0,0,0,10,709,0,"1,179",0,1,0,0,0,
青ヶ島村　,152,5.96,1,0,0,0,217,"3,000","2,200",100,700,0,0,0,0,0,0,0,80,20,0,0,240,未取得,未取得,未取得,未取得,150,不明,不明,不明,0,0,0,0,0,0,126,0,0,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
島嶼部計,"19,466",242.79,5,0,1,10,"1,400","104,117","20,340",188,"3,013","1,213",90,10,0,0,112,0,568,"1,129",387,0,"33,939","6,142",737,"2,028","1,950","51,271","49,728","11,036","5,532",19,234,0,0,0,0,821,295,31,483,367,38,78,0,0,0,0,12,"1,534",0,"1,179",0,2,0,0,0,
区市町村島嶼計,"13,661,613","2,021.75",386,53,10,170,"120,880","47,103,493","12,072,082","340,145","1,758,756","11,591,928","52,505","5,846","38,036","87,098","1,497,283","18,551","88,289","141,841","17,344","13,010","60,091,586","6,054,042","584,091","2,245,146","1,615,109","111,625,418","51,509,944","33,320,502","7,302,292","49,604","2,493,224","282,837","148,819","97,691","3,930","27,326,948","15,815,838","110,430","322,629","68,744","131,508","97,073","1,561","1,781",428,"15,141","881,167","5,460,556",125,"1,109,186",44,282,171,4,2,
東京都計,,,388,53,10,170,"121,532","49,691,210","12,305,677","635,972","2,002,410","12,794,493","78,146","7,218","42,084","88,236","1,498,996","19,194","94,587","143,400","28,854","13,010","60,602,974","6,054,042","584,091","2,245,146","1,615,109","111,625,418","51,509,944","33,320,502","7,302,292","49,604","2,493,224","356,658","160,174","159,423","4,664","27,327,021","15,815,838","110,430","322,700","68,744","131,508","97,073","1,584","1,829",428,"15,141","881,169","6,846,880",127,"1,183,872",46,284,173,4,4,
,注1）出典：東京都総務局『住民基本台帳による世帯と人口　平成30年4月1日現在』,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,注2）出典：東京都総務局『東京都統計年鑑　平成28年　1土地・気象』,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
