全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,ローソン・スリーエフ町田相原駅前店,,,132098,,東京都町田市相原町1158-4,東京都,町田市,相原町,1158-4,,,35.60650678,139.3319197,,,,,,,,,,,,,,無,,無,0:00,23:59,定休日：なし,,,
132098,,町田市,セブン-イレブン町田相原店,,,132098,,東京都町田市相原町2177-1,東京都,町田市,相原町,Jan-77,,,35.60612701,139.3171478,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,ローソン 町田相原町境橋店,,,132098,,東京都町田市相原町3144,東京都,町田市,相原町,3144,,,35.60556508,139.3044954,,,,,,,,,,,,,,有,,有,0:00,23:59,,,,
132098,,町田市,ファミリーマート秀栄相原町店,,,132098,,東京都町田市相原町3621-1,東京都,町田市,相原町,21-Jan,,,35.61001704,139.2989492,,,,,,,,,,,,,,有,,無,0:00,23:59,定休日：なし,,,
132098,,町田市,トイザらスベビーザらス町田多摩境店,,,132098,,東京都町田市小山ヶ丘1-7-2,東京都,町田市,小山ヶ丘,2001/7/2,,,35.5987263,139.3816645,,,,,,,,,,,,,,有,,無,10:00,19:00,無休,,,
132098,,町田市,カインズホーム町田多摩境店,,,132098,,東京都町田市小山ヶ丘3-6-6,東京都,町田市,小山ヶ丘,2003/6/6,,,35.6014695,139.3749203,,,,,,,,,,,,,,有,,無,9:00,20:00,定休日：1月1日,,,
132098,,町田市,セブン-イレブン町田小山ヶ丘４丁目店,,,132098,,東京都町田市小山ヶ丘4-9-2,東京都,町田市,小山ヶ丘,2004/9/2,,,35.60691431,139.3524332,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート町田多摩境店,,,132098,,東京都町田市小山ヶ丘5-1-4,東京都,町田市,小山ヶ丘,2005/1/4,,,35.6027111,139.3649671,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,セブン-イレブン町田堺店,,,132098,,東京都町田市小山町828-1,東京都,町田市,小山町,828-1,,,35.59228839,139.3811088,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ローソン・スリーエフ　町田多摩境店,,,132098,,東京都町田市小山町3161,東京都,町田市,小山町,3161,,,35.59961565,139.3630257,,,,,,,,,,,,,,無,,無,0:00,23:59,無休,,,
