№,団体名等,施設名称,施設所在地,緯度,経度,座標系,測定内容／月日,測定内容／項目,測定結果／単位,測定結果／セシウム134,測定結果／セシウム137,測定結果／セシウム合計,測定結果／空間放射線量
45,御蔵島村,御蔵島村じん芥処理施設,御蔵島村字イナサ,33.864521,139.587952,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
45,御蔵島村,御蔵島村じん芥処理施設,御蔵島村字イナサ,33.864521,139.587952,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
45,御蔵島村,御蔵島村じん芥処理施設,御蔵島村字イナサ,33.864521,139.587952,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
46,八丈町,八丈町クリーンセンター,八丈町大賀郷4341-1,33.120907,139.766235,JGD2011,7月25日,飛灰,Bq/kg,97,160,257,
46,八丈町,八丈町クリーンセンター,八丈町大賀郷4341-1,33.120907,139.766235,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
46,八丈町,八丈町クリーンセンター,八丈町大賀郷4341-1,33.120907,139.766235,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
46,八丈町,八丈町クリーンセンター,八丈町大賀郷4341-1,33.120907,139.766235,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
47,小笠原村,父島クリーンセンター,小笠原村父島字洲崎,27.071243,142.209610,JGD2011,7月11日,飛灰,Bq/kg,48.2,66.8,115,
47,小笠原村,父島クリーンセンター,小笠原村父島字洲崎,27.071243,142.209610,JGD2011,7月11日,焼却灰,Bq/kg,不検出,13.6,13.6,
47,小笠原村,父島クリーンセンター,小笠原村父島字洲崎,27.071243,142.209610,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
47,小笠原村,父島クリーンセンター,小笠原村父島字洲崎,27.071243,142.209610,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
48,日本衛生株式会社,,足立区入谷9-30-10,35.806484,139.753830,JGD2011,7月1日,飛灰,Bq/kg,28,27,55,
48,日本衛生株式会社,,足立区入谷9-30-10,35.806484,139.753830,JGD2011,7月1日,焼却灰,Bq/kg,不検出,不検出,不検出,
48,日本衛生株式会社,,足立区入谷9-30-10,35.806484,139.753830,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
48,日本衛生株式会社,,足立区入谷9-30-10,35.806484,139.753830,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
49,株式会社シンシア,品川Ｒ・Ｃセンター,品川区八潮3-2-11,35.591099,139.756607,JGD2011,6月28日,飛灰,Bq/kg,150,170,320,
49,株式会社シンシア,品川Ｒ・Ｃセンター,品川区八潮3-2-11,35.591099,139.756607,JGD2011,6月28日,焼却灰,Bq/kg,53,53,106,
49,株式会社シンシア,品川Ｒ・Ｃセンター,品川区八潮3-2-11,35.591099,139.756607,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
49,株式会社シンシア,品川Ｒ・Ｃセンター,品川区八潮3-2-11,35.591099,139.756607,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
50,株式会社櫻商会,エアポートクリーンセンター,大田区羽田空港3-6-6,35.543320,139.792267,JGD2011,7月7日,飛灰,Bq/kg,1480,1710,3190,
50,株式会社櫻商会,エアポートクリーンセンター,大田区羽田空港3-6-6,35.543320,139.792267,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
50,株式会社櫻商会,エアポートクリーンセンター,大田区羽田空港3-6-6,35.543320,139.792267,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
50,株式会社櫻商会,エアポートクリーンセンター,大田区羽田空港3-6-6,35.543320,139.792267,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
51,農林水産省動物医薬品検査所,,国分寺市戸倉1-15-1,35.712482,139.462402,JGD2011,7月22日,飛灰,Bq/kg,680,770,1450,
51,農林水産省動物医薬品検査所,,国分寺市戸倉1-15-1,35.712482,139.462402,JGD2011,7月22日,焼却灰,Bq/kg,150,160,310,
51,農林水産省動物医薬品検査所,,国分寺市戸倉1-15-1,35.712482,139.462402,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
51,農林水産省動物医薬品検査所,,国分寺市戸倉1-15-1,35.712482,139.462402,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
52,スイハン企業株式会社,,青梅市梅郷1-1900,35.781788,139.217651,JGD2011,7月11日,飛灰,Bq/kg,1700,1900,3600,
52,スイハン企業株式会社,,青梅市梅郷1-1900,35.781788,139.217651,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
52,スイハン企業株式会社,,青梅市梅郷1-1900,35.781788,139.217651,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
52,スイハン企業株式会社,,青梅市梅郷1-1900,35.781788,139.217651,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
53,比留間運送株式会社,,"武蔵村山市伊奈平3-25-1,2",35.736393,139.380280,JGD2011,7月6日,飛灰,Bq/kg,2070,2190,4260,
53,比留間運送株式会社,,"武蔵村山市伊奈平3-25-1,2",35.736393,139.380280,JGD2011,－ ,焼却灰,Bq/kg,－ ,－ ,－ ,
53,比留間運送株式会社,,"武蔵村山市伊奈平3-25-1,2",35.736393,139.380280,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
53,比留間運送株式会社,,"武蔵村山市伊奈平3-25-1,2",35.736393,139.380280,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
54,株式会社リスト,,国立市泉1-8-3,35.675488,139.436050,JGD2011,7月2日,飛灰,Bq/kg,168,196,364,
54,株式会社リスト,,国立市泉1-8-3,35.675488,139.436050,JGD2011,7月2日,焼却灰,Bq/kg,59,65,124,
54,株式会社リスト,,国立市泉1-8-3,35.675488,139.436050,JGD2011,－ ,排ガス,Bq/m3,－ ,－ ,－ ,
54,株式会社リスト,,国立市泉1-8-3,35.675488,139.436050,JGD2011,－ ,敷地境界,μSv/h,,,,－ 
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,"乾燥機等
排ガス",Bq/m3,不検出,不検出,不検出,
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,"焼成炉
排ガス",Bq/m3,不検出,不検出,不検出,
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,"金属回収
汚泥",Bq/kg,24,26,50,
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,"下水道
放流水",Bq/kg,311,367,678,
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,"エコセメント
（製品）",Bq/kg,不検出,不検出,不検出,
55,東京たま広域資源循環組合,東京たまエコセメント化施設,日の出町大字大久野7642,35.763477,139.249741,JGD2011,7月13日,敷地境界,μSv/h,,,,0.10
注１）空欄は測定中または分析中,,,,,,,,,,,,,
注２）「－」は都から測定を依頼していない項目（民間施設及び島しょ地域の清掃工場には飛灰のみ依頼）,,,,,,,,,,,,,
注３）空間放射線量は測定結果のうち最大値,,,,,,,,,,,,,
