No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),"VOC量
（塗料）(g/m2)","VOC量
（シンナー）(g/m2)",VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温 [℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度 [RH%],参考資料
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,下塗,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,中塗,水性ふっ素樹脂塗料用中塗,170,－,水道水,5～20,1,エアレススプレー,1,10,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
4.3.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／A、B系の塗替／１種ケレン,上塗,水性ふっ素樹脂塗料上塗,140,－,水道水,2～10,1,エアレススプレー,1,10,7,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性有機ジンクリッチペイント、水性エポキシ樹脂塗料で大きく、安全をみてそれぞれ300g/m2×2回塗り、200g/m2×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。なお、水性有機ジンク／リッチペイントの空隙率は溶剤形より高い傾向にあります。基本的にはミストコートは必要としませんが、今後、さらなる詳細な検討が必要と考えます。
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅳ塗装系,素地調整／下塗／中塗／上塗,,,,,,,,,,162,46,208,(-),－,A,1,1,A,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅳ塗装系,素地調整,4種,,,,,,,,,,,,,－,A,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅳ塗装系,下塗,弱溶剤形変性エポキシ樹脂塗料下塗,200,－,シンナー,10,1,はけ・ローラー,-,4h,74,20,,,－,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅳ塗装系,中塗,弱溶剤形ふっ素樹脂塗料用中塗,140,－,シンナー,10,1,はけ・ローラー,1,10,39,14,,,－,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,塗替,橋梁（鋼材）,Rc-Ⅳ塗装系,上塗,弱溶剤形ふっ素樹脂塗料上塗,120,－,シンナー,10,1,はけ・ローラー,1,10,49,12,,,－,A,1,1,A,0以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
4.4.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,素地調整／下塗／中塗／上塗,,,,,,,,,,36,9,45,-78,－,A',1.5,1,B,,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
4.4.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,素地調整,4種,,,,,,,,,,,,,－,A',1.5,1,,,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
4.4.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,下塗,低溶剤形変性エポキシ樹脂塗料,175,－,シンナー,5,1,はけ・ローラー(･スプレー),-,4h,23,9,,,－,A',1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
4.4.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,中塗,水性ふっ素樹脂塗料用中塗,140,－,水道水,5～20,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',1.5,1,B,5以下,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
4.4.1,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,上塗,水性ふっ素樹脂塗料上塗,120,－,水道水,2～10,1,はけ・ローラー(･スプレー),1,10,6,0,,,－,A',1.5,1,B,5以下,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
4.4.2,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,素地調整／下塗／中塗／上塗,,,,,,,,,,21,0,21,-90,－,A',1.5,1,B,,,水性エポキシ樹脂塗料の留意点として、厚膜になるとたれやすいことが挙げられます。安全のため、水性エポキシ樹脂塗料下塗の使用量は180g/m2／（膜厚45μm相当）と設定しました。鋼道路橋塗装・防食便覧におけるRc-／IV塗装系の弱溶剤形変性エポキシ樹脂塗料下塗（使用量200g/m2（膜厚 60μm相当））よりも膜厚が薄くなりますが、原状のC系塗膜に欠陥がなく、 美観を改善する目的で4種ケレンによる塗替塗装を行う場合には適用可能と考えます。
4.4.2,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,素地調整,4種,,,,,,,,,,,,,－,A',1.5,1,,,,水性エポキシ樹脂塗料の留意点として、厚膜になるとたれやすいことが挙げられます。安全のため、水性エポキシ樹脂塗料下塗の使用量は180g/m2／（膜厚45μm相当）と設定しました。鋼道路橋塗装・防食便覧におけるRc-／IV塗装系の弱溶剤形変性エポキシ樹脂塗料下塗（使用量200g/m2（膜厚 60μm相当））よりも膜厚が薄くなりますが、原状のC系塗膜に欠陥がなく、 美観を改善する目的で4種ケレンによる塗替塗装を行う場合には適用可能と考えます。
4.4.2,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,下塗,水性エポキシ樹脂塗料下塗,180,－,水道水,5～15,1,はけ・ローラー(･スプレー),-,4h,8,0,,,－,A',1.5,1,B,5以下,85以上,水性エポキシ樹脂塗料の留意点として、厚膜になるとたれやすいことが挙げられます。安全のため、水性エポキシ樹脂塗料下塗の使用量は180g/m2／（膜厚45μm相当）と設定しました。鋼道路橋塗装・防食便覧におけるRc-／IV塗装系の弱溶剤形変性エポキシ樹脂塗料下塗（使用量200g/m2（膜厚 60μm相当））よりも膜厚が薄くなりますが、原状のC系塗膜に欠陥がなく、 美観を改善する目的で4種ケレンによる塗替塗装を行う場合には適用可能と考えます。
4.4.2,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,中塗,水性ふっ素樹脂塗料用中塗,140,－,水道水,5～20,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',1.5,1,B,5以下,85以上,水性エポキシ樹脂塗料の留意点として、厚膜になるとたれやすいことが挙げられます。安全のため、水性エポキシ樹脂塗料下塗の使用量は180g/m2／（膜厚45μm相当）と設定しました。鋼道路橋塗装・防食便覧におけるRc-／IV塗装系の弱溶剤形変性エポキシ樹脂塗料下塗（使用量200g/m2（膜厚 60μm相当））よりも膜厚が薄くなりますが、原状のC系塗膜に欠陥がなく、 美観を改善する目的で4種ケレンによる塗替塗装を行う場合には適用可能と考えます。
4.4.2,構造物,塗替,橋梁（鋼材）,低VOC塗装／C系の塗替／４種ケレン,上塗,水性ふっ素樹脂塗料上塗,120,－,水道水,2～10,1,はけ・ローラー(･スプレー),1,10,6,0,,,－,A',1.5,1,B,5以下,85以上,水性エポキシ樹脂塗料の留意点として、厚膜になるとたれやすいことが挙げられます。安全のため、水性エポキシ樹脂塗料下塗の使用量は180g/m2／（膜厚45μm相当）と設定しました。鋼道路橋塗装・防食便覧におけるRc-／IV塗装系の弱溶剤形変性エポキシ樹脂塗料下塗（使用量200g/m2（膜厚 60μm相当））よりも膜厚が薄くなりますが、原状のC系塗膜に欠陥がなく、 美観を改善する目的で4種ケレンによる塗替塗装を行う場合には適用可能と考えます。
"注）低VOC塗装：現時点でも事業者の判断で適用可能な塗装系。個々の塗料はすでに確立しており、試験的な適用事例が増えれば公的な塗装系として認定することができるレベルのもの（現在、（独）土木研究所で試行中の塗装系）。
",,,,,,,,,,,,,,,,,,,,,,,,,,
"注）超低VOC塗装：これから研究開発が行われる技術、又は現状の材料を改良する必要がある技術で、ＶＯＣを削減する最終的な目標である（ただし、公共事業ではＬＣＣの低減も重要）。
",,,,,,,,,,,,,,,,,,,,,,,,,,
注）塗料費・塗装費：将来の社会状況・市場動向により変動するので、目安として示している。,,,,,,,,,,,,,,,,,,,,,,,,,,
