事業所名,受付番号,事業機関,事業名称,事業地住所,緯度,経度,座標系,対象事業,実施状況,詳細
三井物産株式会社,315,－,大手町一丁目２地区開発事業,千代田区大手町一丁目2番,35.687737,139.762650,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/315dtl.html
三井物産㈱,205,民間,（仮称）太平四丁目錦糸町開発計画　※h14.10対象外,墨田区太平四丁目地内,35.701443,139.816910,JGD2011,高層建築物の新築、駐車場（自動車駐車場の設置）、高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/205dtl.html
三田三・四丁目地区市街地再開発準備組合,334,民間,(仮称）三田三・四丁目地区第一種市街地再開発事業,港区三田三丁目５番地、四丁目１５番地　他,35.645012,139.743271,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/334dtl.html
三田小山町第3･5地区市街地再開発準備組合,311,－,（仮称）三田小山町西地区市街地再開発事業,港区三田一丁目10番及び11番の一部,35.654594,139.738251,JGD2011,高層建築物の新築,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/311dtl.html
三菱商事株式会社,176,民間,丸の内二丁目２－１他街区開発事業　※ｈ15.4変更届により対象外,千代田区丸の内2丁目2番1他及び20番1外,35.680233,139.762222,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/176dtl.html
三菱地所株式会社,176,民間,丸の内二丁目２－１他街区開発事業　※ｈ15.4変更届により対象外,千代田区丸の内2丁目2番1他及び20番1外,35.680233,139.762222,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/176dtl.html
三菱地所株式会社,184,－,東京ツインパークス建設事業　※h14.9対象外　（旧称：(仮称）汐留D南街区開発事業）,港区東新橋１－５－４９,35.665634,139.761398,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/184dtl.html
三菱地所株式会社,237,民間,丸の内一丁目４街区建設事業,千代田区丸の内一丁目４番１号、３号、４号、５号,35.684025,139.764786,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/237dtl.html
三菱地所株式会社,250,民間,（仮称）新砂三丁目商業施設建設事業,江東区新砂三丁目４番,35.664612,139.835602,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/250dtl.html
三菱地所株式会社,271,民間,（仮称）晴海二丁目マンション計画建設事業,東京都中央区晴海二丁目,35.655388,139.785828,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/271dtl.html
三菱地所株式会社,310,民間,（仮称）ＴＧＭＭ芝浦プロジェクト,港区芝浦３－１１ほか,35.642895,139.749969,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/310dtl.html
三菱地所株式会社,330,民間,大手町二丁目常盤橋地区第一種市街地再開発事業（旧称：（仮称）大手町地区D－１街区計画）,千代田区大手町二丁目6番の一部及び中央区八重洲一丁目11番の一部,35.684868,139.769455,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/330dtl.html
三菱地所㈱他,220,民間,東京ビルヂング建替事業　※ｈ14.7対象外,千代田丸の内二丁目７番１号、３号,35.693932,139.753540,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/220dtl.html
山一土地㈱,218,民間,永山北部丘陵住宅地開発事業　　※H19.6.27　廃止届　,青梅市根ヶ布１丁目、2丁目　他,35.799580,139.264618,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/218dtl.html
山菱産業株式会社,127,－,山菱産業株式会社採掘区域拡張事業,青梅市成木８丁目４５２－１,35.814991,139.230240,JGD2011,土石(土石の採取),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/127dtl.html
鹿島建設株式会社,168,－,東品川四丁目地区第一種市街地再開発事業,品川区東品川４丁目１１、１２番,35.607563,139.749359,JGD2011,高層建築物の新築、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/168dtl.html
鹿島建設株式会社,250,民間,（仮称）新砂三丁目商業施設建設事業,江東区新砂三丁目４番,35.664612,139.835602,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/250dtl.html
首都圏新都市鉄道株式会社,105,－,常磐新線(秋葉原・新浅草間)鉄道建設事業,千代田区神田佐久間町１丁目～台東区浅草２丁目,35.697979,139.774216,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/105dtl.html
首都圏新都市鉄道株式会社,132,－,常磐新線(新浅草駅付近・都県境間)鉄道建設事業,台東区浅草２丁目～足立区南花畑４丁目,35.714943,139.795456,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/132dtl.html
首都高速道路株式会社,13,公団,首都高速板橋足立線建設事業,板橋区板橋２丁目～足立区江北２丁目,35.748165,139.711090,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/13dtl.html
首都高速道路株式会社,23,公団,首都高速11号線・東京港連絡橋(臨港道路)建設事業(旧称 都市高速道路12号線・東京港連絡橋(臨港道路)建設事業),11号線(江東区有明２丁目～港区海岸２丁目)、連絡橋(港区台場～海岸３丁目),35.636322,139.789978,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/23dtl.html
首都高速道路株式会社,52,－,首都高速中央環状新宿線(目黒区青葉台～豊島区南長崎間)建設事業,目黒区青葉台４丁目～豊島区南長崎１丁目,35.654793,139.691116,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/52dtl.html
首都高速道路株式会社,81,－,臨海部幹線道路建設事業及び臨海部開発土地区画整理事業,江東区有明、豊洲、東雲　港区東新橋、芝公園、芝、芝大門、浜松町、芝浦、海岸　中央区晴海、勝どき、豊海、築地、各一部,35.629417,139.796677,JGD2011,道路(道路の新設又は改築)、土地区画整理事業,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/81dtl.html
首都高速道路株式会社,93,－,首都高速中央環状新宿線(豊島区南長崎～板橋区中丸町間)建設事業（旧名称 都市高速道路中央環状新宿線(豊島区南長崎～豊島区高松)及び都市高速道路第5号線(豊島区高松～板橋区中丸町)建設事業,豊島区南長崎１丁目～板橋区中丸町,35.724560,139.692947,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/93dtl.html
秋川市（あきる野市）,112,－,富士通あきる野半導体開発センター建設事業（旧称：富士通秋川開発センター建設事業）,秋川市（あきる野）市淵上字真土６番ほか,35.723808,139.273621,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/112dtl.html
住宅・都市整備公団,19,公団,鶴川第二土地区画整理事業,町田市真光寺町字５号３４０－１及び広袴町字１号６２－２外,35.602661,139.458160,JGD2011,土地区画整理事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/19dtl.html
住宅・都市整備公団,24,共同,大川端・リバーシティ２１開発事業,中央区佃２丁目１番地ほか,35.669704,139.785416,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/24dtl.html
住宅・都市整備公団,50,－,西新宿六丁目東地区再開発ビル建設事業,新宿西新宿６丁目１番２ほか,35.693901,139.703430,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/50dtl.html
住宅・都市整備公団,79,－,臨海副都心台場地区住宅建設事業,港区台場,35.630730,139.777939,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/79dtl.html
住宅・都市整備公団,82,－,住宅・都市整備公団青戸団地建替事業　※H14.9対象外,葛飾区青戸３丁目１３～１９番,35.747303,139.849869,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/82dtl.html
住宅・都市整備公団,83,－,晴海一丁目地区再開発事業,中央区晴海１丁目,35.659523,139.786163,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/83dtl.html
住宅・都市整備公団,88,－,住宅・都市整備公団久米川団地建替事業※Ｈ１７．５対象外,東村山市美住町１丁目４番地,35.750938,139.461349,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/88dtl.html
住宅・都市整備公団,94,－,住宅・都市整備公団新川団地建替事業　※H14.7対象外,三鷹市新川４丁目、５丁目の一部,35.672447,139.573486,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/94dtl.html
住宅・都市整備公団,121,－,"武蔵野緑町団地建替事業　※ｈ14,7対象外",武蔵野市緑町２丁目３番地,35.717346,139.562561,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/121dtl.html
住宅・都市整備公団,145,－,南千住北部地区住宅街区（Ｅ街区）建設事業及び都市計画道路補助線街路第３２１号線建設事業,住宅:荒川区南千住４丁目　道路:南千住３丁目～８丁目,35.734295,139.802734,JGD2011,住宅団地の新設、高層建築物の新設、道路(道路の新設又は改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/145dtl.html
住宅・都市整備公団,163,－,「西国分寺地区」住宅建設事業　※h14.7対象外,国分寺市泉町２丁目地内,35.697849,139.470169,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/163dtl.html
住宅・都市整備公団東京支社,24,共同,大川端・リバーシティ２１開発事業,中央区佃２丁目１番地ほか,35.669704,139.785416,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/24dtl.html
住宅・都市整備公団東京支社,50,－,西新宿六丁目東地区再開発ビル建設事業,新宿西新宿６丁目１番２ほか,35.693901,139.703430,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/50dtl.html
住宅・都市整備公団東京支社,79,－,臨海副都心台場地区住宅建設事業,港区台場,35.630730,139.777939,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/79dtl.html
住宅・都市整備公団東京支社,82,－,住宅・都市整備公団青戸団地建替事業　※H14.9対象外,葛飾区青戸３丁目１３～１９番,35.747303,139.849869,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/82dtl.html
住宅・都市整備公団東京支社,83,－,晴海一丁目地区再開発事業,中央区晴海１丁目,35.659523,139.786163,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/83dtl.html
住宅・都市整備公団東京支社,88,－,住宅・都市整備公団久米川団地建替事業※Ｈ１７．５対象外,東村山市美住町１丁目４番地,35.750938,139.461349,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/88dtl.html
住宅・都市整備公団東京支社,94,－,住宅・都市整備公団新川団地建替事業　※H14.7対象外,三鷹市新川４丁目、５丁目の一部,35.672447,139.573486,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/94dtl.html
住宅・都市整備公団東京支社,121,－,"武蔵野緑町団地建替事業　※ｈ14,7対象外",武蔵野市緑町２丁目３番地,35.717346,139.562561,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/121dtl.html
住友不動産株式会社,184,－,東京ツインパークス建設事業　※h14.9対象外　（旧称：(仮称）汐留D南街区開発事業）,港区東新橋１－５－４９,35.665634,139.761398,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/184dtl.html
住友不動産株式会社,328,－,江東区有明北3-1地区開発計画,江東区有明二丁目1番,35.638317,139.793549,JGD2011,住宅団地の新設、駐車場（自動車駐車場の設置）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/328dtl.html
住友不動産株式会社ほか5社,184,－,東京ツインパークス建設事業　※h14.9対象外　（旧称：(仮称）汐留D南街区開発事業）,港区東新橋１－５－４９,35.665634,139.761398,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/184dtl.html
住友不動産㈱,223,民間,港南四丁目住宅団地建設事業,港区港南四丁目14番1他,35.627403,139.749313,JGD2011,住宅団地の新設、高層建築物の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/223dtl.html
住友不動産㈱,275,民間,（仮称）大久保三丁目西地区開発事業,新宿区新大久保三丁目８番,35.708679,139.703094,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/275dtl.html
住友不動産建物サービス㈱外,211,民間,（仮称）汐留D北１街区開発事業　　★H17.1対象外,港区東新橋１丁目地先,35.663116,139.760574,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/211dtl.html
春日・後楽園駅前地区市街地再開発準備組合,253,その他,春日・後楽園駅前地区市街地再開発事業,文京区小石川一丁目１番　外,35.708775,139.752914,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/253dtl.html
勝どき東地区市街地再開発準備組合,306,－,勝どき東地区第一種市街地再開発事業,中央区勝どき２丁目及び４丁目内,35.658108,139.779068,JGD2011,住宅団地の新設、高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/306dtl.html
勝六再開発株式会社,203,民間,（仮称）勝どき六丁目開発事業,中央区勝どき六丁目,35.654774,139.773666,JGD2011,住宅団地の新設、高層建築物の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/203dtl.html
小山三丁目第1地区市街地再開発準備組合,365,－,（仮称）小山三丁目第１地区第一種市街地再開発事業,品川区小山三丁目地内,35.619919,139.705368,JGD2011,高層建築物の新築,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/365dtl.html
小山三丁目第二地区市街地再開発準備組合,367,－,小山三丁目第二地区第一種市街地再開発事業,東京都品川区小山三丁目22番、23番,35.619068,139.705597,JGD2011,高層建築物の新築,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/367dtl.html
小田急電鉄株式会社,9,共同,小田急小田原線喜多見・和泉多摩川間高架化複々線化事業,世田谷区喜多見９丁目～狛江市東和泉４丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/9dtl.html
小田急電鉄株式会社,43,民間,小田急多摩線小田急多摩センター・唐木田間鉄道建設事業,多摩市鶴牧１丁目～多摩市落合棚原,35.624008,139.420166,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/43dtl.html
小田急電鉄株式会社,92,－,小田急小田原線(喜多見～梅ヶ丘駅付近間)複々線・連続立体交差事業,世田谷区喜多見９丁目～世田谷区代田３丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/92dtl.html
小田急電鉄株式会社,104,－,(仮称)新宿南口ＪＲ・小田急共同計画事業,新宿区西新宿１丁目１ほか、渋谷区代々木２丁目２ほか,35.688580,139.699432,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/104dtl.html
小田急電鉄株式会社,368,－,（仮称）新宿駅西口地区開発事業,新宿区西新宿一丁目1番の一部,35.688580,139.699432,JGD2011,高層建築物の新築,評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/368dtl.html
小平・村山・大和衛生組合,351,－,（仮称）新ごみ焼却施設整備事業,小平市中島町2番1号,35.729443,139.427826,JGD2011,廃棄物処理施設の設置,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/351dtl.html
昭栄㈱,205,民間,（仮称）太平四丁目錦糸町開発計画　※h14.10対象外,墨田区太平四丁目地内,35.701443,139.816910,JGD2011,高層建築物の新築、駐車場（自動車駐車場の設置）、高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/205dtl.html
松下興産(株),47,その他,聖路加国際病院建設事業,中央区明石町８－１０番地,35.666767,139.778534,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/47dtl.html
殖産住宅相互株式会社,38,民間,ホーメストタウン八王子建設事業(旧称 殖産元八王子住宅団地),八王子市元八王子町２丁目地区内,35.659649,139.280975,JGD2011,建築物用の土地造成,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/38dtl.html
森トラスト(株),200,民間,（仮称）丸の内１－１八重洲口複合ビル建設計画　※h13.7.5廃止届,千代田区、中央区,35.693932,139.753540,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/200dtl.html
森トラスト株式会社,347,－,（仮称）赤坂二丁目プロジェクト,港区赤坂二丁目1722番1他,35.671043,139.740234,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/347dtl.html
森トラスト㈱,211,民間,（仮称）汐留D北１街区開発事業　　★H17.1対象外,港区東新橋１丁目地先,35.663116,139.760574,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/211dtl.html
瑞穂町栗原土地区画整理組合設立準備会,257,その他,瑞穂町栗原土地区画整理事業,西多摩郡瑞穂町大字富士山栗原新田・箱根ヶ崎・ニ本木地内,35.788841,139.343796,JGD2011,土地区画整理事業,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/257dtl.html
世紀東急工業株式会社,361,－,妙見島混合所新規破砕処理施設設置事業,江戸川区東葛西三丁目17番37号,35.668476,139.885406,JGD2011,廃棄物処理施設の設置又は変更,評価書案,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/361dtl.html
世田谷区,178,－,二子玉川東地区第一種市街地再開発事業及び東京都市計画道路幹線街路補助線街路第１２５号線建設事業,再開発：世田谷区玉川一丁目、二丁目、三丁目　道路：世田谷区上野毛二丁目～玉川一丁目,35.609329,139.630203,JGD2011,高層建築物の新築、駐車場（自動車駐車場の設置）、道路（道路の改築）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/178dtl.html
成木開発株式会社,273,民間,成木開発株式会社 拡張事業,青梅市成木五丁目,35.831444,139.241318,JGD2011,土石(土石の採取),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/273dtl.html
晴海一丁目地区市街地再開発組合,83,－,晴海一丁目地区再開発事業,中央区晴海１丁目,35.659523,139.786163,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/83dtl.html
西秋川衛生組合,170,－,西秋川衛生組合第２御前石最終処分場建設事業,あきる野市網代４８３番地外,35.718575,139.250717,JGD2011,廃棄物処理施設の設置又は変更,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/170dtl.html
西新宿三丁目西地区市街地再開発準備組合,352,－,（仮称）西新宿三丁目西地区第一種市街地再開発事業,新宿区西新宿三丁目11番、12番他,35.685463,139.688736,JGD2011,住宅団地の新設、高層建築物の新築,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/352dtl.html
西新宿八丁目成子地区市街地再開発準備組合,224,その他,西新宿八丁目成子地区再開発ビル建設事業,新宿区西新宿八丁目18番外,35.695953,139.690857,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/224dtl.html
西新宿六丁目西第６地区市街地再開発準備組合,216,その他,（仮称）西新宿六丁目西第６地区市街地再開発事業　※h14.7対象外,新宿区西新宿六丁目６９９番の１外,35.693424,139.690964,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/216dtl.html
西新宿六丁目南地区市街地再開発準備組合,89,－,西新宿六丁目南地区再開発ビル建設事業,新宿区西新宿六丁目８、９、１０番,35.693508,139.690369,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/89dtl.html
西多摩衛生組合,111,－,西多摩衛生組合清掃工場建設事業,羽村市羽４２２５番地ほか,35.765480,139.334656,JGD2011,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/111dtl.html
西日暮里駅前地区市街地再開発準備組合,345,－,（仮称）西日暮里駅前地区第一種市街地再開発事業,,,,,高層建築物の新築,評価書案,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/345dtl.html
西品川一丁目地区市街地再開発準備組合,293,－,西品川一丁目地区再開発計画,東京都品川区西品川一丁目一番　外,35.615017,139.730927,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/293dtl.html
西武運輸株式会社,70,－,西武辰巳ヘリポート新設事業,江東区辰巳３丁目１４番２号,35.644634,139.817657,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/70dtl.html
西武鉄道株式会社,8,民間,西武山口線新交通システム化計画事業,東村山市多摩湖町３丁目１５番地,35.765755,139.442780,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/8dtl.html
西武鉄道株式会社,100,－,西武鉄道新宿線・西武新宿～上石神井間複々線化事業　※H7.10.13 手続中止,新宿区新宿３丁目～練馬区上石神井１丁目,35.691227,139.703568,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/100dtl.html
西武鉄道株式会社,172,－,西武立川駅前集合住宅（仮称）建設事業　※h14.7対象外,立川市西砂町１丁目他、昭島市美堀町１丁目他,35.727352,139.369858,JGD2011,住宅団地の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/172dtl.html
西武鉄道株式会社,238,都,西武池袋線（練馬高野台駅～大泉学園駅間）の連続立体交差化事業及び同線（練馬高野台駅～石神井公園駅間）の複々線化事業,練馬区高野台一丁目～練馬区東大泉五丁目,35.742447,139.617279,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/238dtl.html
西武鉄道株式会社,286,都,西武鉄道新宿線、国分寺線及び西武園線（東村山駅付近）連続立体交差事業,東村山市本町2-3-32,35.759666,139.466187,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/286dtl.html
西武鉄道株式会社,355,－,西武鉄道新宿線（井荻駅～西部柳沢駅間）連続立体交差事業,杉並区上井草一丁目～西東京市東伏見一丁目,35.722038,139.612335,JGD2011,鉄道等(鉄道の改良),評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/355dtl.html
青梅市（都市計画決定権者）,362,－,（仮称）今井土地区画整理事業,青梅市今井二丁目の一部、四丁目の一部,35.805725,139.312744,JGD2011,土地区画整理事業,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/362dtl.html
赤坂一丁目市街地再開発準備組合,287,－,赤坂一丁目地区第一種市街地再開発事業,港区赤坂一丁目５番の一部、６番、８番、９番の一部,35.670277,139.742798,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/287dtl.html
泉岳寺周辺地区市街地再開発準備組合,346,－,（仮称）泉岳寺周辺地区市街地再開発事業,港区高輪二丁目地内,35.637421,139.736877,JGD2011,高層建築物の新築,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/346dtl.html
浅川清流環境組合,317,区市,新可燃ごみ処理施設整備事業（旧称：日野市、国分寺市、小金井市新可燃ごみ処理施設整備事業）,日野市石田一丁目210番地の2,35.666538,139.427689,JGD2011,廃棄物処理施設の設置又は変更,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/317dtl.html
前田建設工業㈱,206,共同,足立区新田地区開発事業　※H20.10対象外,足立区新田三丁目,35.771393,139.748642,JGD2011,住宅団地の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/206dtl.html
全国朝日放送株式会社,44,民間,テレビ朝日ヘリポート新設事業,港区赤坂１丁目１２番３２号,35.667343,139.741302,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/44dtl.html
多摩ニュータウン環境組合,113,－,多摩清掃工場二期施設建設事業,多摩市唐木田２丁目１番地１,35.612419,139.409958,JGD2011,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/113dtl.html
多摩興産株式会社,182,－,多摩興産株式会社採掘区域拡張事業,八王子市美山町６３５番地他,35.694164,139.240585,JGD2011,土石の採取,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/182dtl.html
多摩川衛生組合,114,－,多摩川衛生組合清掃工場建設事業,稲城市大丸１５２８番地、多摩市連光寺２９１４番地,35.649818,139.481720,JGD2011,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/114dtl.html
多摩川衛生組合,144,－,多摩川衛生組合清掃工場建設事業（その２）,稲城市大丸１５２８番地、多摩市連光寺２９１４番地,35.649818,139.481720,JGD2011,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/144dtl.html
多摩都市モノレール株式会社,46,共同,多摩都市ﾓﾉﾚｰﾙ及び都市計画道路立川３・２・３１、３・２・３２号線建設事業(旧称省略),ﾓﾉﾚｰﾙ:多摩市落合１丁目～東大和市上北台１丁目　道路:立川市内,35.624878,139.427094,JGD2011,鉄道等(モノレールの新設)、道路（道路の新設）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/46dtl.html
