No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),VOC量（塗料）(g/m2),VOC量（シンナー）(g/m2),VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温[℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度[RH%],参考資料
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,第2層,無溶剤形エポキシ樹脂塗料下塗,200,－,－,0,1,エアレススプレー,-,4h,0,0,,,B,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,第3層,無溶剤形エポキシ樹脂塗料下塗,200,－,－,0,1,エアレススプレー,1,10,0,0,,,B,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,第4層,無溶剤形エポキシ樹脂塗料下塗,200,－,－,0,1,エアレススプレー,1,10,0,0,,,B,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,素地調整／第1層（下塗）／第2層（下塗）／第3層（下塗）／第4層（中塗）／第5層（上塗）,,,,,,,,,,483,263,746,(-),B,A,1,1,A,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,素地調整,1種,,,,,,,,,,,,,B,A,1,1,,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,第1層（下塗）,有機ジンクリッチペイント,650,－,シンナー,10,1,エアレススプレー,-,4h,130,65,,,B,A,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,第2層（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,300,－,シンナー,20,1,エアレススプレー,1,10,111,60,,,B,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,第3層（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,300,－,シンナー,20,1,エアレススプレー,1,10,111,60,,,B,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,第4層（中塗）,弱溶剤形ふっ素樹脂塗料用中塗,220,－,シンナー,20,1,エアレススプレー,1,10,61,44,,,B,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時大気）,c-1B塗装系,第5層（上塗）,弱溶剤形ふっ素樹脂塗料上塗,170,－,シンナー,20,1,エアレススプレー,1,10,69,34,,,B,A,1,1,A,0以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,素地調整／第1層（下塗）／第2層（下塗）／第3層（中塗）／第4層（上塗）,,,,,,,,,,211,97,308,-59,B,A',1.5,1,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,素地調整,1種,,,,,,,,,,,,,B,A',1.5,1,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,第1層（下塗）,有機ジンクリッチペイント,650,－,シンナー,10,1,エアレススプレー,-,4h,130,65,,,B,A',1.5,1,A,10以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,第2層（下塗）,低溶剤形エポキシ樹脂塗料下塗,460,－,シンナー,7,1,エアレススプレー,1,10,60,32,,,B,A',1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,第3層（中塗）,水性ふっ素樹脂塗料用中塗,240,－,水道水,5～20,1,エアレススプレー,1,10,11,0,,,B,A',1.5,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替1種ケレン,第4層（上塗）,水性ふっ素樹脂塗料上塗,180,－,水道水,2～10,1,エアレススプレー,1,10,10,0,,,B,A',1.5,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に 留意する必要があります。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,素地調整／第1層（下塗）／第2層（下塗）／第3層（下塗）／第4層（下塗）／第5層（下塗）／第6層（中塗）／第7層（上塗）,,,,,,,,,,57,0,57,-92,B',A',1.5,1.5,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,素地調整,1種,,,,,,,,,,,,,B',A',1.5,1.5,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第1層（下塗）,水性有機ジンクリッチペイント,300,－,水道水,5～10,1,エアレススプレー,-,4h,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第2層（下塗）,水性有機ジンクリッチペイント,300,－,水道水,5～10,1,エアレススプレー,1,10,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第3層（下塗）,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第4層（下塗）,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第5層（下塗）,水性エポキシ樹脂塗料下塗,200,－,水道水,5～15,1,エアレススプレー,1,10,9,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第6層（中塗）,水性ふっ素樹脂塗料用中塗,170,－,水道水,5～20,1,エアレススプレー,1,10,8,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.4.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替1種ケレン,第7層（上塗）,水性ふっ素樹脂塗料上塗,140,－,水道水,2～10,1,エアレススプレー,1,10,7,0,,,B',A',1.5,1.5,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／橋梁用の4.3.1塗装系と同じですが、河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,素地調整／補修塗装（鋼材露出部）／第1層（下塗）／第2層（下塗）／第3層（中塗）／第4層（上塗）,,,,,,,,,,330,184,514,(-),－,A,1,1,A,,,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,素地調整,3種,,,,,,,,,,,,,－,A,1,1,,,,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,補修塗装（鋼材露出部）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,120,－,シンナー,20,1,はけ・ローラー,-,4h,45,24,,,－,A,1,1,A,5以下,85以上,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,第1層（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,240,－,シンナー,20,1,はけ・ローラー,1,10,89,48,,,－,A,1,1,A,5以下,85以上,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,第2層（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,240,－,シンナー,20,1,はけ・ローラー,1,10,89,48,,,－,A,1,1,A,5以下,85以上,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,第3層（中塗）,弱溶剤形ふっ素樹脂塗料用中塗,180,－,シンナー,20,1,はけ・ローラー,1,10,50,36,,,－,A,1,1,A,5以下,85以上,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
現行,構造物,塗替,水門（常時大気）,c-1塗装系_改,第4層（上塗）,弱溶剤形ふっ素樹脂塗料上塗,140,－,シンナー,20,1,はけ・ローラー,1,10,57,28,,,－,A,1,1,A,0以下,85以上,土木研究所「河川・ダム施設防食ガイドライン（案）  塗料・塗装編」2000年のc-1塗装系の変性エポキシ樹脂塗料（大気部用）、ふっ素樹脂塗料用中塗、ふっ素樹脂塗料上塗をそれぞれ弱溶剤形塗料に置き換えた塗装系。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,素地調整／補修塗装（鋼材露出部）／第1層（下塗）／第2層（中塗）／第3層（上塗）,,,,,,,,,,97,37,134,-74,－,A',1.5,1,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,素地調整,3種,,,,,,,,,,,,,－,A',1.5,1,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,補修塗装（鋼材露出部）,変性エポキシ樹脂塗料下塗,120,－,シンナー,10,1,はけ・ローラー(･スプレー),-,4h,36,12,,,－,A',1.5,1,A,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,第1層（下塗）,低溶剤形エポキシ樹脂塗料下塗,350,－,シンナー,7,1,はけ・ローラー(･スプレー),1,10,46,25,,,－,A',1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,第2層（中塗）,水性ふっ素樹脂塗料用中塗,180,－,水道水,5～20,1,はけ・ローラー(･スプレー),1,10,8,0,,,－,A',1.5,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.1,構造物,塗替,水門（常時大気）,低VOC塗装（常時大気）／塗替3種ケレン,第3層（上塗）,水性ふっ素樹脂塗料上塗,140,－,水道水,2～10,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',1.5,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、はけ・ローラー塗装においては薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。一方，水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境での現場塗替塗装では低温・高湿度になりやすいことが予想されるため、特に留意する必要があります。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,素地調整／補修塗装（鋼材露出部）／第1層（下塗）／第2層（下塗）／第3層（下塗）／第4層（中塗）／第5層（上塗）,,,,,,,,,,41,0,41,-92,－,A',2,1,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,素地調整,3種,,,,,,,,,,,,,－,A',2,1,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,補修塗装（鋼材露出部）,水性エポキシ樹脂塗料下塗,120,－,水道水,5～15,1,はけ・ローラー(･スプレー),-,4h,5,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,第1層（下塗）,水性エポキシ樹脂塗料下塗,160,－,水道水,5～15,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,第2層（下塗）,水性エポキシ樹脂塗料下塗,160,－,水道水,5～15,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,第3層（下塗）,水性エポキシ樹脂塗料下塗,160,－,水道水,5～15,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,第4層（中塗）,水性ふっ素樹脂塗料用中塗,180,－,水道水,5～20,1,はけ・ローラー(･スプレー),1,10,8,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
6.5.2,構造物,塗替,水門（常時大気）,超低VOC塗装（常時大気）／塗替3種ケレン,第5層（上塗）,水性ふっ素樹脂塗料上塗,140,－,水道水,2～10,1,はけ・ローラー(･スプレー),1,10,7,0,,,－,A',2,1,B,5以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。河川環境では低温・高湿度になりやすいことが予想されるため、水性塗料の現場塗装への適用は現状では難しいと考えました。
"注）低VOC塗装： 現時点でも事業者の判断で適用可能な塗装系。個々の塗料はすでに確立しており、試験的な適用事例が増えれば公的な塗装系として認定することができるレベルのもの（現在、（独）土木研究所で試行中の塗装系）。
",,,,,,,,,,,,,,,,,,,,,,,,,,
注）超低VOC塗装： これから研究開発が行われる技術、又は現状の材料を改良する必要がある技術で、ＶＯＣを削減する最終的な目標である（ただし、公共事業ではＬＣＣの低減も重要）。,,,,,,,,,,,,,,,,,,,,,,,,,,
注）塗料費・塗装費： 将来の社会状況・市場動向により変動するので、目安として示している。,,,,,,,,,,,,,,,,,,,,,,,,,,
