表8-1  物質別月別調査結果（HAPｓ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年度  HAPs,,,,,,,,,,,
"注） ・２桁への有効数字処理は行っていない。
・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摩,東大和市奈良橋,0.269,0.937,,0.851,,0.378,,0.581,,1.221,,0.753,,,0.545,,,0.844,,,,0.821,,,,0.559,,,,0.756,,,,1.221,,,,0.269,,,0.71,,,,0.253,,,,0.056,,,,0.147,,
一般,多摩部一般平均,0.318,0.898,,0.806,,0.321,,0.499,,1.335,,0.742,,,0.606,,,0.824,,,,0.666,,,,0.47,,,,0.509,,,,1.449,,,,0.262,,,0.666,,,,0.3,,,,0.054,,,,0.138,,
都一般平均,,0.277,0.594,,0.553,,0.251,,0.466,,1.385,,0.593,,,0.609,,,0.837,,,,0.605,,,,0.351,,,,0.332,,,,2.746,,,,0.061,,,0.571,,,,0.568,,,,0.013,,,,0.118,,
,京葉道路亀戸,0.29,0.512,,0.723,,0.541,,0.653,,1.364,,0.714,,,0.67,,,1.01,,,,0.454,,,,0.504,,,,0.237,,,,1.364,,,,0.237,,,0.639,,,,0.282,,,,0.049,,,,0.132,,
,環八通り八幡山,0.234,0.678,,0.588,,0.153,,0.396,,1.746,,0.637,,,0.678,,,1.986,,,,0.839,,,,0.47,,,,0.384,,,,1.986,,,,0.153,,,0.732,,,,0.411,,,,0.032,,,,0.152,,
沿,２地点沿道平均,0.262,0.595,,0.656,,0.347,,0.525,,1.555,,0.675,,,0.674,,,1.498,,,,0.646,,,,0.487,,,,0.31,,,,1.986,,,,0.153,,,0.686,,,,0.411,,,,0.032,,,,0.142,,
道,甲州街道大原,0.217,1.049,,0.543,,0.422,,0.877,,1.43,,0.615,,,0.77,,,0.719,,,,0.649,,,,0.384,,,,0.343,,,,1.43,,,,0.217,,,0.668,,,,0.296,,,,0.045,,,,0.138,,
,中山道大和町,0.224,0.772,,0.46,,0.263,,0.676,,1.298,,0.725,,,0.748,,,0.59,,,,0.784,,,,0.298,,,,0.248,,,,1.298,,,,0.224,,,0.591,,,,0.268,,,,0.046,,,,0.122,,
,４地点沿道平均,0.241,0.753,,0.579,,0.344,,0.651,,1.46,,0.673,,,0.716,,,1.077,,,,0.681,,,,0.414,,,,0.303,,,,1.986,,,,0.153,,,0.658,,,,0.411,,,,0.032,,,,0.136,,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.061,0.429,,0.217,,< 0.05,,0.212,,< 0.05,,0.162,,,0.23,,,0.297,,,,0.484,,,,0.281,,,,0.167,,,,0.484,,,,< 0.05,,,0.216,,,,0.1,,,,< 0.009,,,,0.045,,
表8-2  物質別月別調査結果（ＰＡＭＳ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年度  PAMS,,,,,,,,,
"注)  ・2010（平成22)年度まで「低沸点VOC」としてPAMSの後に配していた4物質を、先頭に配した （番号は、PAMSを従前通りとしたため、「V1」などとした。）。
・物質名の( )は、HAPｓの番号であり、重複していることを示す。
・２桁への有効数字処理は行っていない。
・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1,Ethane,,,※ ＧＣ－ＦＩＤにより測定,,,,,,,,,,,,,,,,基準値,,,,：,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,30.1,
,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.017,,,,μg/m3,,,,(0.013 ppb,,,,),,,,,,,換算係数(→ppb）：,,,,,,,,0.799,
,,2020年度,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.006,,,,,,,,(0.004 ppb,,,,)       (単位：μg/m3）,,,,,,,,,,,(単位：ｐｐｂ）,,,,,
測定地点（局）,,4月,,5月,6月,,7月,,8月,,9月,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,
,中央区晴海,3.565,,2.901,2.813,,1.776,,3.085,,2.652,,2.701,,,4.397,,,,4.818,,,,5.418,,,,5.937,,,,3.534,,,,5.937,,,,1.776,,,3.633,,,,4.742,,,,1.419,,,,2.902,
区,国設東京新宿,3.882,,3.504,3.048,,1.488,,3.085,,2.734,,3.158,,,4.519,,,,5.951,,,,6.182,,,,7.176,,,,3.439,,,,7.176,,,,1.488,,,4.014,,,,5.731,,,,1.188,,,,3.206,
部,大田区東糀谷,5.313,,4.317,4.144,,1.78,,3.561,,3.298,,2.732,,,5.401,,,,5.238,,,,9.502,,,,8.794,,,,3.508,,,,9.502,,,,1.78,,,4.799,,,,7.589,,,,1.422,,,,3.833,
一,世田谷区世田谷,5.147,,3.785,2.742,,1.24,,2.406,,3.305,,3.371,,,5.547,,,,7.957,,,,9.804,,,,8.674,,,,4.218,,,,9.804,,,,1.24,,,4.85,,,,7.83,,,,0.99,,,,3.873,
般,板橋区氷川町,5.073,,4.68,3.103,,1.541,,3.708,,2.88,,3.244,,,6.626,,,,7.792,,,,8.744,,,,8.706,,,,4.145,,,,8.744,,,,1.541,,,5.02,,,,6.984,,,,1.231,,,,4.01,
環,練馬区石神井町,4.76,,5.218,2.892,,1.16,,1.937,,2.008,,2.823,,,4.422,,,,6.621,,,,7.754,,,,7.244,,,,3.323,,,,7.754,,,,1.16,,,4.18,,,,6.193,,,,0.927,,,,3.339,
境,足立区西新井,4.465,,4.194,3.203,,3.511,,3.542,,2.501,,2.924,,,5.888,,,,5.019,,,,6.73,,,,7.709,,,,3.77,,,,7.709,,,,2.501,,,4.455,,,,6.157,,,,1.997,,,,3.558,
,江戸川区春江町,4.423,,2.665,1.901,,0.833,,1.695,,2.179,,3.037,,,5.52,,,,6.112,,,,6.097,,,,7.551,,,,4.868,,,,7.551,,,,0.833,,,3.907,,,,6.031,,,,0.665,,,,3.12,
,区部一般平均,4.578,,3.908,2.981,,1.666,,2.877,,2.695,,2.999,,,5.29,,,,6.189,,,,7.529,,,,7.724,,,,3.851,,,,9.804,,,,0.833,,,4.357,,,,7.83,,,,0.665,,,,3.48,
多,小金井市本町,4.652,,4.374,3.416,,1.588,,2.52,,2.277,,3.264,,,5.768,,,,7.784,,,,10.771,,,,8.842,,,,5.331,,,,10.771,,,,1.588,,,5.049,,,,8.603,,,,1.268,,,,4.033,
摩,東大和市奈良橋,3.272,,3.15,2.728,,1.521,,1.641,,1.687,,2.307,,,3.5,,,,4.776,,,,5.738,,,,6.402,,,,3.198,,,,6.402,,,,1.521,,,3.327,,,,5.114,,,,1.215,,,,2.657,
一般,多摩部一般平均,3.962,,3.762,3.072,,1.554,,2.081,,1.982,,2.785,,,4.634,,,,6.28,,,,8.254,,,,7.622,,,,4.265,,,,10.771,,,,1.521,,,4.188,,,,8.603,,,,1.215,,,,3.345,
都一般平均,,4.455,,3.879,2.999,,1.644,,2.718,,2.552,,2.956,,,5.159,,,,6.207,,,,7.674,,,,7.703,,,,3.933,,,,10.771,,,,0.833,,,4.323,,,,8.603,,,,0.665,,,,3.453,
,京葉道路亀戸,4.451,,3.215,2.668,,2.261,,2.326,,2.028,,2.892,,,5.226,,,,6.206,,,,6.545,,,,7.559,,,,3.726,,,,7.559,,,,2.028,,,4.092,,,,6.037,,,,1.62,,,,3.268,
,環八通り八幡山,4.647,,3.997,2.668,,1.161,,2.08,,2.374,,3.173,,,5.311,,,,7.565,,,,8.39,,,,7.963,,,,3.566,,,,8.39,,,,1.161,,,4.408,,,,6.701,,,,0.927,,,,3.521,
沿,２地点沿道平均,4.549,,3.606,2.668,,1.711,,2.203,,2.201,,3.033,,,5.268,,,,6.886,,,,7.467,,,,7.761,,,,3.646,,,,8.39,,,,1.161,,,4.25,,,,6.701,,,,0.927,,,,3.394,
道,甲州街道大原,4.708,,4.103,2.883,,1.401,,2.882,,2.957,,3.4,,,5.43,,,,9.162,,,,8.006,,,,8.853,,,,3.712,,,,9.162,,,,1.401,,,4.791,,,,7.318,,,,1.119,,,,3.827,
,中山道大和町,4.718,,5.266,4.269,,2.555,,5.343,,2.704,,3.407,,,5.67,,,,6.576,,,,7.226,,,,8.699,,,,3.941,,,,8.699,,,,2.555,,,5.031,,,,6.948,,,,2.04,,,,4.018,
,４地点沿道平均,4.631,,4.145,3.122,,1.844,,3.158,,2.516,,3.218,,,5.409,,,,7.377,,,,7.542,,,,8.268,,,,3.736,,,,9.162,,,,1.161,,,4.581,,,,7.318,,,,0.927,,,,3.659,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,2.317,,2.474,1.554,,0.457,,1.418,,0.863,,1.798,,,2.423,,,,3.15,,,,3.438,,,,3.596,,,,2.84,,,,3.596,,,,0.457,,,2.194,,,,2.872,,,,0.365,,,,1.752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2,Ethylene,,,※ ＧＣ－ＦＩＤにより測定,,,,,,,,,,,,,,,,基準値,,,,：,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,28.1,
,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.016,,,,μg/m3,,,,(0.013 ppb,,,,),,,,,,,換算係数(→ppb）：,,,,,,,,0.856,
,,2020年度,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.005,,,,,,,,(0.004 ppb,,,,)       (単位：μg/m3）,,,,,,,,,,,(単位：ｐｐｂ）,,,,,
測定地点（局）,,4月,,5月,6月,,7月,,8月,,9月,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,
,中央区晴海,0.329,,2.449,1.559,,0.677,,3.103,,0.72,,0.465,,,0.95,,,,1.2,,,,1.102,,,,2.141,,,,0.503,,,,3.103,,,,0.329,,,1.267,,,,2.655,,,,0.282,,,,1.084,
区,国設東京新宿,0.408,,0.758,0.468,,0.419,,0.866,,0.776,,0.561,,,1.184,,,,1.742,,,,1.235,,,,2.55,,,,0.456,,,,2.55,,,,0.408,,,0.952,,,,2.181,,,,0.349,,,,0.814,
部,大田区東糀谷,1.077,,1.233,1.194,,1.014,,2.265,,0.883,,0.519,,,1.589,,,,1.588,,,,1.666,,,,4.758,,,,0.617,,,,4.758,,,,0.519,,,1.534,,,,4.07,,,,0.444,,,,1.312,
一,世田谷区世田谷,0.784,,0.554,0.393,,0.282,,0.429,,0.806,,0.535,,,1.199,,,,1.957,,,,1.748,,,,2.306,,,,0.734,,,,2.306,,,,0.282,,,0.977,,,,1.973,,,,0.241,,,,0.836,
般,板橋区氷川町,0.697,,0.858,0.411,,0.458,,0.711,,0.893,,0.558,,,1.124,,,,1.964,,,,1.738,,,,1.83,,,,0.383,,,,1.964,,,,0.383,,,0.969,,,,1.68,,,,0.328,,,,0.829,
環,練馬区石神井町,0.498,,0.685,0.393,,0.214,,0.367,,0.58,,0.566,,,0.966,,,,1.699,,,,1.728,,,,1.626,,,,0.379,,,,1.728,,,,0.214,,,0.808,,,,1.479,,,,0.183,,,,0.692,
境,足立区西新井,0.807,,1.398,0.711,,0.372,,1.376,,0.612,,0.662,,,1.192,,,,1.606,,,,1.607,,,,2.375,,,,0.406,,,,2.375,,,,0.372,,,1.094,,,,2.032,,,,0.319,,,,0.936,
,江戸川区春江町,0.844,,1.437,1.329,,0.591,,0.918,,0.683,,0.637,,,2.344,,,,1.759,,,,1.474,,,,2.369,,,,1.11,,,,2.369,,,,0.591,,,1.291,,,,2.027,,,,0.505,,,,1.105,
,区部一般平均,0.681,,1.172,0.807,,0.503,,1.254,,0.744,,0.563,,,1.319,,,,1.69,,,,1.537,,,,2.494,,,,0.574,,,,4.758,,,,0.214,,,1.111,,,,4.07,,,,0.183,,,,0.951,
多,小金井市本町,0.547,,0.738,0.612,,0.372,,0.425,,0.763,,0.702,,,1.176,,,,2.047,,,,2.054,,,,2.263,,,,1.002,,,,2.263,,,,0.372,,,1.058,,,,1.936,,,,0.318,,,,0.905,
摩,東大和市奈良橋,0.498,,0.766,0.763,,0.792,,0.664,,0.607,,0.632,,,0.983,,,,1.756,,,,2.039,,,,2.313,,,,0.426,,,,2.313,,,,0.426,,,1.02,,,,1.979,,,,0.365,,,,0.873,
一般,多摩部一般平均,0.523,,0.752,0.688,,0.582,,0.545,,0.685,,0.667,,,1.079,,,,1.901,,,,2.046,,,,2.288,,,,0.714,,,,2.313,,,,0.372,,,1.039,,,,1.979,,,,0.318,,,,0.889,
都一般平均,,0.649,,1.088,0.783,,0.519,,1.112,,0.732,,0.584,,,1.271,,,,1.732,,,,1.639,,,,2.453,,,,0.602,,,,4.758,,,,0.214,,,1.097,,,,4.07,,,,0.183,,,,0.939,
,京葉道路亀戸,0.724,,1.522,2.59,,4.136,,2.459,,0.683,,0.67,,,1.328,,,,1.761,,,,1.539,,,,2.373,,,,0.709,,,,4.136,,,,0.67,,,1.708,,,,3.538,,,,0.573,,,,1.461,
,環八通り八幡山,0.541,,0.725,0.487,,0.352,,0.484,,0.885,,0.874,,,1.198,,,,2.306,,,,1.856,,,,2.171,,,,0.479,,,,2.306,,,,0.352,,,1.03,,,,1.973,,,,0.301,,,,0.881,
沿,２地点沿道平均,0.632,,1.123,1.538,,2.244,,1.472,,0.784,,0.772,,,1.263,,,,2.034,,,,1.698,,,,2.272,,,,0.594,,,,4.136,,,,0.352,,,1.369,,,,3.538,,,,0.301,,,,1.171,
道,甲州街道大原,0.615,,0.83,0.551,,0.513,,0.949,,0.729,,0.916,,,1.246,,,,2.325,,,,1.875,,,,2.769,,,,0.426,,,,2.769,,,,0.426,,,1.145,,,,2.369,,,,0.364,,,,0.98,
,中山道大和町,0.663,,1.332,0.798,,0.7,,0.901,,1.239,,1.252,,,1.462,,,,2.63,,,,2.51,,,,2.458,,,,0.595,,,,2.63,,,,0.595,,,1.378,,,,2.25,,,,0.509,,,,1.179,
,４地点沿道平均,0.635,,1.102,1.107,,1.425,,1.199,,0.884,,0.928,,,1.308,,,,2.256,,,,1.945,,,,2.443,,,,0.552,,,,4.136,,,,0.352,,,1.315,,,,3.538,,,,0.301,,,,1.125,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.15,,0.444,0.368,,0.327,,0.582,,0.291,,0.401,,,0.375,,,,1.049,,,,0.915,,,,0.818,,,,0.351,,,,1.049,,,,0.15,,,0.506,,,,0.898,,,,0.128,,,,0.433,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V3,Propane,,,※ ＧＣ－ＦＩＤにより測定,,,,,,,,,,,,,,,,基準値,,,,：,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,44.1,
,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.015,,,,μg/m3,,,,(0.009 ppb,,,,),,,,,,,換算係数(→ppb）：,,,,,,,,0.545,
,,2020年度,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.004,,,,,,,,(0.003 ppb,,,,)       (単位：μg/m3）,,,,,,,,,,,(単位：ｐｐｂ）,,,,,
測定地点（局）,,4月,,5月,6月,,7月,,8月,,9月,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,
,中央区晴海,3.129,,3.441,2.979,,1.708,,4.106,,4.067,,2.856,,,4.877,,,,7.28,,,,6.76,,,,7.519,,,,3.097,,,,7.519,,,,1.708,,,4.318,,,,4.099,,,,0.931,,,,2.354,
区,国設東京新宿,3.593,,4.027,2.791,,1.415,,3.002,,4.406,,3.463,,,5.494,,,,9.133,,,,7.662,,,,8.491,,,,3.105,,,,9.133,,,,1.415,,,4.715,,,,4.979,,,,0.771,,,,2.57,
部,大田区東糀谷,5.902,,4.559,3.824,,2.092,,3.868,,5.333,,3.259,,,6.248,,,,7.255,,,,10.491,,,,12.941,,,,3.463,,,,12.941,,,,2.092,,,5.77,,,,7.055,,,,1.14,,,,3.145,
一,世田谷区世田谷,5.569,,5.224,2.933,,1.46,,2.837,,5.135,,3.818,,,6.386,,,,10.728,,,,11.393,,,,10.453,,,,3.935,,,,11.393,,,,1.46,,,5.823,,,,6.211,,,,0.796,,,,3.174,
般,板橋区氷川町,5.112,,6.842,3.468,,1.804,,3.805,,4.953,,4.364,,,8.443,,,,12.21,,,,12.669,,,,10.138,,,,3.601,,,,12.669,,,,1.804,,,6.451,,,,6.907,,,,0.984,,,,3.517,
環,練馬区石神井町,5.29,,8.317,3.928,,1.352,,2.563,,4.205,,4.338,,,6.771,,,,12.157,,,,12.627,,,,9.274,,,,3.194,,,,12.627,,,,1.352,,,6.168,,,,6.883,,,,0.737,,,,3.363,
境,足立区西新井,6.736,,8.91,4.039,,2.609,,4.446,,5.161,,6.186,,,10.676,,,,12.852,,,,14.149,,,,13.892,,,,3.759,,,,14.149,,,,2.609,,,7.785,,,,7.713,,,,1.422,,,,4.244,
,江戸川区春江町,5.663,,3.218,2.549,,1.126,,2.237,,3.919,,5.051,,,9.646,,,,13.069,,,,10.323,,,,13.853,,,,8.162,,,,13.853,,,,1.126,,,6.568,,,,7.552,,,,0.614,,,,3.58,
,区部一般平均,5.124,,5.568,3.314,,1.696,,3.358,,4.647,,4.167,,,7.318,,,,10.585,,,,10.759,,,,10.82,,,,4.04,,,,14.149,,,,1.126,,,5.95,,,,7.713,,,,0.614,,,,3.243,
多,小金井市本町,9.345,,9.418,6.053,,2.107,,3.407,,6.191,,7.01,,,11.248,,,,14.57,,,,18.419,,,,15.175,,,,8.646,,,,18.419,,,,2.107,,,9.299,,,,10.041,,,,1.148,,,,5.069,
摩,東大和市奈良橋,8.268,,13.625,9.827,,3.934,,4.444,,4.511,,7.048,,,11.376,,,,18.903,,,,24.64,,,,18.189,,,,3.247,,,,24.64,,,,3.247,,,10.668,,,,13.432,,,,1.77,,,,5.815,
一般,多摩部一般平均,8.806,,11.521,7.94,,3.02,,3.925,,5.351,,7.029,,,11.312,,,,16.737,,,,21.53,,,,16.682,,,,5.946,,,,24.64,,,,2.107,,,9.983,,,,13.432,,,,1.148,,,,5.442,
都一般平均,,5.861,,6.758,4.239,,1.961,,3.471,,4.788,,4.739,,,8.116,,,,11.816,,,,12.913,,,,11.993,,,,4.421,,,,24.64,,,,1.126,,,6.756,,,,13.432,,,,0.614,,,,3.683,
,京葉道路亀戸,4.571,,3.797,3.417,,3.283,,2.511,,3.776,,3.759,,,7.368,,,,11.241,,,,9.032,,,,11.226,,,,3.634,,,,11.241,,,,2.511,,,5.635,,,,6.128,,,,1.369,,,,3.072,
,環八通り八幡山,5.269,,6.035,3.189,,1.33,,2.473,,4.64,,3.942,,,6.865,,,,11.949,,,,11.442,,,,10.646,,,,3.246,,,,11.949,,,,1.33,,,5.919,,,,6.514,,,,0.725,,,,3.227,
沿,２地点沿道平均,4.92,,4.916,3.303,,2.307,,2.492,,4.208,,3.851,,,7.116,,,,11.595,,,,10.237,,,,10.936,,,,3.44,,,,11.949,,,,1.33,,,5.777,,,,6.514,,,,0.725,,,,3.149,
道,甲州街道大原,4.576,,10.142,20.193,,8.895,,11.397,,4.815,,7.158,,,10.301,,,,12.356,,,,11.537,,,,13.129,,,,8.457,,,,20.193,,,,4.576,,,10.246,,,,11.008,,,,2.494,,,,5.586,
,中山道大和町,4.912,,7.33,4.572,,3.254,,5.077,,5.213,,4.882,,,8.711,,,,11.288,,,,11.022,,,,10.305,,,,3.522,,,,11.288,,,,3.254,,,6.674,,,,6.154,,,,1.774,,,,3.638,
,４地点沿道平均,4.832,,6.826,7.843,,4.191,,5.365,,4.611,,4.935,,,8.311,,,,11.709,,,,10.758,,,,11.326,,,,4.715,,,,20.193,,,,1.33,,,7.118,,,,11.008,,,,0.725,,,,3.881,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,1.205,,3.315,1.829,,0.703,,2.78,,0.84,,1.491,,,2.387,,,,4.772,,,,4.602,,,,3.558,,,,2.072,,,,4.772,,,,0.703,,,2.463,,,,2.601,,,,0.383,,,,1.343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V4,Acethylene,,,※ ＧＣ－ＦＩＤにより測定,,,,,,,,,,,,,,,,基準値,,,,：,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,26,
,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.008,,,,μg/m3,,,,(0.008 ppb,,,,),,,,,,,換算係数(→ppb）：,,,,,,,,0.925,
,,2020年度,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.003,,,,,,,,(0.003 ppb,,,,)       (単位：μg/m3）,,,,,,,,,,,(単位：ｐｐｂ）,,,,,
測定地点（局）,,4月,,5月,6月,,7月,,8月,,9月,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,
,中央区晴海,0.433,,0.407,0.359,,0.139,,0.385,,0.381,,0.417,,,0.554,,,,0.671,,,,0.726,,,,1.029,,,,0.462,,,,1.029,,,,0.139,,,0.497,,,,0.951,,,,0.129,,,,0.459,
区,国設東京新宿,0.426,,0.417,0.34,,0.148,,0.296,,0.436,,0.463,,,0.535,,,,0.814,,,,0.762,,,,1.142,,,,0.46,,,,1.142,,,,0.148,,,0.52,,,,1.056,,,,0.137,,,,0.481,
部,大田区東糀谷,0.59,,0.472,0.49,,0.256,,0.75,,0.466,,0.413,,,0.674,,,,0.696,,,,0.926,,,,1.137,,,,0.514,,,,1.137,,,,0.256,,,0.615,,,,1.052,,,,0.237,,,,0.569,
一,世田谷区世田谷,0.506,,0.49,0.375,,0.128,,0.289,,0.439,,0.477,,,0.768,,,,0.952,,,,0.973,,,,1.222,,,,0.792,,,,1.222,,,,0.128,,,0.617,,,,1.13,,,,0.118,,,,0.571,
般,板橋区氷川町,0.504,,0.504,0.333,,0.134,,0.273,,0.399,,0.506,,,0.57,,,,0.919,,,,1.102,,,,1.089,,,,0.5,,,,1.102,,,,0.134,,,0.569,,,,1.019,,,,0.124,,,,0.527,
環,練馬区石神井町,0.456,,0.57,0.309,,0.116,,0.276,,0.411,,0.411,,,0.715,,,,0.798,,,,1.078,,,,0.908,,,,0.47,,,,1.078,,,,0.116,,,0.543,,,,0.997,,,,0.107,,,,0.502,
境,足立区西新井,0.542,,0.591,0.356,,0.146,,0.358,,0.348,,0.467,,,0.962,,,,0.78,,,,0.976,,,,1.151,,,,0.5,,,,1.151,,,,0.146,,,0.598,,,,1.064,,,,0.135,,,,0.553,
,江戸川区春江町,0.549,,0.381,0.251,,0.092,,0.196,,0.347,,0.533,,,0.749,,,,0.928,,,,0.835,,,,1.213,,,,0.683,,,,1.213,,,,0.092,,,0.563,,,,1.122,,,,0.086,,,,0.521,
,区部一般平均,0.501,,0.479,0.352,,0.145,,0.353,,0.403,,0.461,,,0.691,,,,0.82,,,,0.922,,,,1.111,,,,0.548,,,,1.222,,,,0.092,,,0.565,,,,1.13,,,,0.086,,,,0.523,
多,小金井市本町,0.418,,0.568,0.384,,0.147,,0.25,,0.381,,0.424,,,0.704,,,,0.794,,,,1.079,,,,1.036,,,,0.614,,,,1.079,,,,0.147,,,0.566,,,,0.998,,,,0.136,,,,0.524,
摩,東大和市奈良橋,0.424,,0.65,0.432,,0.2,,0.306,,0.364,,0.464,,,0.623,,,,0.84,,,,1.121,,,,1.179,,,,0.488,,,,1.179,,,,0.2,,,0.591,,,,1.09,,,,0.185,,,,0.546,
一般,多摩部一般平均,0.421,,0.609,0.408,,0.174,,0.278,,0.372,,0.444,,,0.663,,,,0.817,,,,1.1,,,,1.107,,,,0.551,,,,1.179,,,,0.147,,,0.579,,,,1.09,,,,0.136,,,,0.535,
都一般平均,,0.485,,0.505,0.363,,0.151,,0.338,,0.397,,0.457,,,0.685,,,,0.819,,,,0.958,,,,1.111,,,,0.548,,,,1.222,,,,0.092,,,0.568,,,,1.13,,,,0.086,,,,0.525,
,京葉道路亀戸,0.502,,0.477,0.392,,0.264,,0.306,,0.372,,0.509,,,0.709,,,,0.825,,,,1,,,,1.083,,,,0.492,,,,1.083,,,,0.264,,,0.578,,,,1.002,,,,0.244,,,,0.534,
,環八通り八幡山,0.458,,0.569,0.413,,0.122,,0.273,,0.517,,0.603,,,0.778,,,,0.998,,,,0.969,,,,1.01,,,,0.477,,,,1.01,,,,0.122,,,0.599,,,,0.934,,,,0.113,,,,0.554,
沿,２地点沿道平均,0.48,,0.523,0.403,,0.193,,0.29,,0.444,,0.556,,,0.744,,,,0.912,,,,0.984,,,,1.047,,,,0.484,,,,1.083,,,,0.122,,,0.588,,,,1.002,,,,0.113,,,,0.544,
道,甲州街道大原,0.612,,0.639,0.537,,0.347,,0.772,,0.491,,0.814,,,0.873,,,,1.336,,,,1.148,,,,1.373,,,,0.508,,,,1.373,,,,0.347,,,0.788,,,,1.27,,,,0.321,,,,0.728,
,中山道大和町,0.574,,0.857,0.674,,0.328,,0.472,,0.823,,0.86,,,0.923,,,,1.262,,,,1.291,,,,1.417,,,,0.609,,,,1.417,,,,0.328,,,0.841,,,,1.31,,,,0.303,,,,0.778,
,４地点沿道平均,0.537,,0.635,0.504,,0.265,,0.456,,0.551,,0.697,,,0.821,,,,1.105,,,,1.102,,,,1.221,,,,0.521,,,,1.417,,,,0.122,,,0.701,,,,1.31,,,,0.113,,,,0.648,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.271,,0.175,0.11,,0.127,,0.211,,0.127,,0.168,,,0.104,,,,0.357,,,,0.241,,,,0.206,,,,0.101,,,,0.357,,,,0.101,,,0.183,,,,0.33,,,,0.093,,,,0.169,
2020年度  PAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Propylene,,,※ ＧＣ－ＦＩＤにより測定,,,,,,,,,,,,,,,,基準値,,,,：,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,42.1,
,,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.023,,,,μg/m3,,,,(0.013 ppb,,,,),,,,,,,換算係数(→ppb）：,,,,,,,,0.571,
,,2020年度,,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.008,,,,,,,,(0.004 ppb,,,,)       (単位：μg/m3）,,,,,,,,,,,(単位：ｐｐｂ）,,,,,
測定地点（局）,,4月,,5月,6月,,7月,,8月,,9月,,10月,,,11月,,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,
,中央区晴海,0.164,,1.344,0.885,,0.264,,3.388,,0.33,,0.349,,,0.294,,,,0.421,,,,0.318,,,,0.515,,,,0.174,,,,3.388,,,,0.164,,,0.704,,,,1.935,,,,0.094,,,,0.402,
区,国設東京新宿,0.144,,0.284,0.209,,0.139,,0.446,,0.323,,0.391,,,0.378,,,,0.563,,,,0.347,,,,0.686,,,,0.137,,,,0.686,,,,0.137,,,0.337,,,,0.392,,,,0.078,,,,0.193,
