年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,目黒,Meguro ,,14545,8725,5820,15041,8725,6316,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,白金台,Shirokanedai,,2410,1256,1154,2315,1256,1059,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,白金高輪,Shirokane-Takanawa,,5497,2867,2630,5245,2867,2378,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,麻布十番,Azabu-Juban,,6391,2767,3624,6320,2767,3553,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,六本木一丁目,Roppongi-Itchome,,9265,5220,4045,9467,5220,4247,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,溜池山王,Tameike-Sanno ,◎,4320,2269,2051,4379,2269,2110,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,永田町,Nagatacho ,◎,2182,994,1188,2219,994,1225,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,四ツ谷,Yotsuya,◎,6335,3517,2818,6209,3517,2692,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,市ケ谷,Ichigaya,◎,5183,2941,2242,5023,2941,2082,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,飯田橋,Iidabashi,◎,4669,2345,2324,4853,2345,2508,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,後楽園,Korakuen,◎,5419,2780,2639,5462,2780,2682,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,東大前,Todaimae,,3513,2198,1315,3565,2198,1367,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,本駒込,Hon-Komagome,,2555,1489,1066,2574,1489,1085,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,駒込,Komagome,,5486,3264,2222,5556,3264,2292,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,西ケ原,Nishigahara,,1341,762,579,1327,762,565,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,王子,Oji,,8417,5286,3131,8521,5286,3235,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,王子神谷,Oji-Kamiya,,5340,3542,1798,5158,3542,1616,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,志茂,Shimo,,2214,1399,815,2165,1399,766,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,赤羽岩淵,Akabane-Iwabuchi,,13681,9992,3689,13429,9992,3437,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,,,※,102848,58845,44003,102703,58845,43858,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,小竹向原,Kotake-Mukaihara,◎,12505,7620,4885,11516,7620,3896,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,千川,Senkawa,◎,2736,2072,664,2697,2072,625,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,要町,Kanamecho,◎,2734,1927,807,2701,1927,774,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,池袋,Ikebukuro,◎,14611,8978,5633,16705,8978,7727,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,雑司が谷,Zoshigaya,,2773,1422,1351,2708,1422,1286,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,西早稲田,Nishi-Waseda,,5267,3339,1928,5254,3339,1915,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,東新宿,Higashi-Shinjuku,,5524,2528,2996,5477,2528,2949,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,新宿三丁目,Shinjuku-Sanchome,◎,9881,5258,4623,9975,5258,4717,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,北参道,Kita-Sando,,3404,1683,1721,3436,1683,1753,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,明治神宮前（原宿）,Meiji-Jingumae(Harajuku),◎,3724,1297,2427,3602,1297,2305,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,副都心線,Fukutoshin Line,渋谷,Shibuya,◎,39689,22721,16968,38632,22721,15911,,,,
令和3,2021,都営,Toei Subway,,,,,,815688,484026,331662,815857,484026,331831,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,,,※,190652,110912,79740,190652,110912,79740,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,西馬込,Nishi-Magome,,6863,4756,2107,6671,4756,1915,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,馬込,Magome,,4075,2554,1520,3895,2554,1341,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,中延,Nakanobu,,4318,2639,1680,4220,2639,1581,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,戸越,Togoshi,,3192,1769,1423,3039,1769,1271,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,五反田,Gotanda,,8795,5177,3619,8933,5177,3756,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,高輪台,Takanawadai,,2003,1198,803,2078,1199,879,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,泉岳寺,Sengakuji,,26361,14944,11418,26486,14943,11543,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,三田,Mita,◎,13668,7779,5889,13685,7779,5906,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,大門,Daimon,◎,13137,7025,6112,13200,7025,6174,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,新橋,Shimbashi,,10924,6095,4829,11039,6095,4944,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,東銀座,Higashi-Ginza,,10446,5854,4592,10758,5854,4904,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,宝町,Takaracho,,4097,2607,1490,4202,2607,1595,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,日本橋,Nihombashi,,12659,7673,4986,12808,7673,5134,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,人形町,Ningyocho,,7272,4150,3122,7135,4150,2986,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,東日本橋,Higashi-Nihombashi,◎,11082,5779,5303,11046,5779,5267,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,浅草橋,Asakusabashi,,7889,4475,3414,7776,4475,3301,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,蔵前,Kuramae,◎,5191,2630,2561,5106,2630,2476,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,浅草,Asakusa,,5754,2718,3036,6404,2718,3687,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,本所吾妻橋,Honjo-Azumabashi,,2828,1610,1218,2730,1610,1119,,,,
令和3,2021,都営,Toei Subway,浅草線,Asakusa Line,押上,Oshiage,,30098,19480,10618,29441,19480,9961,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,,,※,176337,109790,66547,176337,109790,66547,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,目黒,Meguro,,13317,8276,5042,12702,8276,4426,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,白金台,Shirokanedai ,,1317,735,583,1496,735,761,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,白金高輪,Shirokane-Takanawa,,3375,1875,1501,3483,1875,1608,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,三田,Mita,◎,12941,7644,5297,13012,7644,5368,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,芝公園,Shibakoen,,3757,2324,1433,3823,2324,1498,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,御成門,Onarimon,,6281,4164,2116,6417,4164,2253,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,内幸町,Uchisaiwaicho,,4846,2878,1968,5018,2878,2140,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,日比谷,Hibiya,,11317,6643,4674,11496,6643,4853,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,大手町,Otemachi,,14155,9034,5121,14382,9034,5348,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,神保町,Jimbocho,◎,18765,11079,7686,18795,11079,7716,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,水道橋,Suidobashi,,5561,3273,2287,5759,3273,2485,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,春日,Kasuga,◎,9796,5449,4348,9795,5449,4346,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,白山,Hakusan,,5353,3568,1785,5285,3568,1717,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,千石,Sengoku,,4567,2887,1680,4444,2887,1557,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,巣鴨,Sugamo,,13131,8545,4585,13367,8545,4822,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,西巣鴨,Nishi-Sugamo,,4305,2830,1474,4180,2830,1350,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,新板橋,Shin-Itabashi,,4443,2775,1669,4438,2775,1663,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,板橋区役所前,Itabashikuyakushomae,,5340,3276,2064,5308,3276,2032,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,板橋本町,Itabashihoncho,,5560,3618,1941,5349,3618,1731,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,本蓮沼,Motohasunuma,,3797,2488,1310,3693,2488,1205,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,志村坂上,Shimura-Sakaue,,4660,3034,1626,4679,3034,1645,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,志村三丁目,Shimura-Sanchome,,4833,3252,1581,4740,3252,1489,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,蓮根,Hasune,,3001,1953,1048,2934,1953,982,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,西台,Nishidai,,3918,2640,1278,3904,2640,1264,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,高島平,Takashimadaira,,4438,3033,1405,4391,3033,1358,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,新高島平,Shin-Takashimadaira,,1519,1074,444,1487,1074,413,,,,
令和3,2021,都営,Toei Subway,三田線,Mita Line,西高島平,Nishi-Takashimadaira,,2044,1443,601,1960,1443,517,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,,,※,201693,120909,80784,201862,120909,80953,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,新宿,Shinjuku,◎,40188,24345,15843,39819,24345,15474,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,新宿三丁目,Shinjuku-Sanchome,,9352,4722,4631,9778,4722,5056,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,曙橋,Akebonobashi,,5685,3237,2448,5538,3237,2302,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,市ヶ谷,Ichigaya,,12714,7920,4795,13130,7920,5210,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,九段下,Kudanshita,,14775,8351,6423,14539,8351,6188,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,神保町,Jimbocho,◎,17243,10292,6951,17501,10292,7209,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,小川町,Ogawamachi,,10178,6359,3819,10233,6359,3874,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,岩本町,Iwamotocho,,7417,4363,3054,7390,4363,3027,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,馬喰横山,Bakuroyokoyama,◎,15707,8908,6798,15770,8908,6862,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,浜町,Hamacho,,3016,1758,1258,3044,1758,1286,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,森下,Morishita,◎,10572,5543,5029,10796,5543,5252,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,菊川,Kikukawa,,3692,2258,1434,3652,2258,1395,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,住吉,Sumiyoshi,,6286,3818,2468,6257,3818,2438,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,西大島,Nishi-Ojima,,4204,2548,1657,4177,2548,1630,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,大島,Ojima,,5016,3108,1908,4886,3108,1777,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,東大島,Higashi-Ojima,,4695,3088,1607,4679,3088,1591,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,船堀,Funabori,,9323,5898,3425,9239,5898,3341,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,一之江,Ichinoe,,6725,4482,2242,6631,4482,2149,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,瑞江,Mizue,,8558,5683,2875,8537,5683,2854,,,,
令和3,2021,都営,Toei Subway,新宿線,Shinjuku Line,篠崎,Shinozaki,,6347,4228,2119,6266,4228,2038,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,,,※,247006,142415,104591,247006,142415,104591,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,新宿西口,Shinjuku-Nishiguchi ,,8068,4410,3658,7605,4410,3195,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,東新宿,Higashi-Shinjuku,,5179,2690,2489,5143,2690,2453,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,若松河田,Wakamatsu-Kawada,,4676,2905,1771,4737,2905,1832,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,牛込柳町,Ushigome-Yanagicho,,3243,1961,1282,3147,1961,1186,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,牛込神楽坂,Ushigome-Kagurazaka ,,2030,1074,956,2124,1074,1051,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,飯田橋,Iidabashi ,,4088,2318,1770,4090,2318,1772,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,春日,Kasuga,◎,8554,5005,3549,8329,5005,3324,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,本郷三丁目,Hongo-Sanchome,,2928,1789,1139,3018,1789,1229,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,上野御徒町,Ueno-Okachimachi,,7670,4230,3440,7648,4230,3418,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,新御徒町,Shin-Okachimachi,,8005,5135,2870,7745,5135,2610,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,蔵前,Kuramae,◎,4548,2415,2133,4665,2415,2250,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,両国,Ryogoku,,4744,2863,1881,4692,2863,1828,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,森下,Morishita ,◎,9606,5193,4413,9279,5193,4086,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,清澄白河,Kiyosumi-Shirakawa ,,5675,3211,2463,5720,3211,2509,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,門前仲町,Monzen-Nakacho,,11592,6982,4609,11519,6982,4537,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,月島,Tsukishima ,,9442,5533,3909,9472,5533,3939,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,勝どき,Kachidoki ,,13502,8578,4924,13495,8578,4917,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,築地市場,Tsukijishijo ,,3087,1839,1249,3290,1839,1452,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,汐留,Shiodome,,4012,1983,2029,4136,1983,2153,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,大門,Daimon ,,15273,8399,6874,15349,8399,6950,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,赤羽橋,Akabanebashi,,4597,2576,2020,4598,2576,2022,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,麻布十番,Azabu-Juban ,,4661,2262,2399,4623,2262,2361,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,六本木,Roppongi,,10837,5095,5743,11119,5095,6024,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,青山一丁目,Aoyama-Itchome ,,8927,4592,4334,8804,4592,4212,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,国立競技場,Kokuritsu-Kyogijo,,1319,550,769,1336,550,786,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,代々木,Yoyogi ,,4518,2430,2088,4539,2430,2109,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,新宿,Shinjuku,◎,17061,9702,7359,17799,9702,8097,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,都庁前,Tochomae,,6277,3718,2559,6713,3718,2995,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,西新宿五丁目,Nishi-Shinjuku-Gochome ,,4714,2733,1981,4528,2733,1795,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,中野坂上,Nakano-Sakaue ,,5858,3663,2195,5876,3663,2213,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,東中野,Higashi-Nakano,,3878,2401,1477,3988,2401,1587,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,中井,Nakai ,,3694,2153,1541,3527,2153,1374,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,落合南長崎,Ochiai-Minami-Nagasaki,,4202,2539,1664,4105,2539,1566,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,新江古田,Shin-Egota,,4486,2819,1667,4390,2819,1571,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,練馬,Nerima,,11814,7271,4543,11760,7271,4488,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,豊島園,Toshimaen,,1588,929,660,1543,929,614,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,練馬春日町,Nerima-Kasugacho,,3541,2239,1302,3498,2239,1260,,,,
令和3,2021,都営,Toei Subway,大江戸線,Oedo Line,光が丘,Hikarigaoka,,9112,6230,2882,9057,6230,2826,,,,
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,
4-15  地下鉄の駅別乗降車人員 (平成29～令和3年度） 4-15 NUMBER OF PASSENGERS ON SUBWAY TRAINS BY STATION ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,
各駅の乗降車人員は最新年度1年間の合計である。同一会社内の乗り継ぎは除く（但し，都営地下鉄内の乗り継ぎは含む）。 ◎印は同一会社内の乗換え駅を示す。　※印は区部にある駅 (線) を示す。,,,,,,,,,,,,,,,,,,
The number of boarding and deboarding passengers for each station is a one-year total for the most recent fiscal year. Figures exclude transit within same company lines (but include transits between Toei subway lines). Stations marked with ◎ indicate transit stations for lines within the same company. ※ refers to stations (lines) located in the ku area.,,,,,,,,,,,,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課，都交通局総務部企画調整課 Source: Tokyo Metro Co.， Ltd.; Bureau of Transportation， TMG,,,,,,,,,,,,,,,,,,
（単位　千人) (In thousands),,,,,,,,,,,,,,,,,,
