地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
2,13224,多摩市,Tama-shi,9,多摩中央署,Tamachuo P. Sta.,1785,-,-,-,-,-,-,4,-,-,1,-,-,42,32,-,7,4,121,1178,83,-,1,-,-,1,17,54,6,15,3,214,2
2,13207,昭島市,Akishima-shi,10,昭島署,Akishima P. Sta. ,1239,1,-,-,-,2,-,1,-,3,2,4,-,37,27,-,6,5,48,855,41,-,5,-,-,-,8,34,4,3,-,151,2
2,13202,立川市,Tachikawa-shi,11,立川署,Tachikawa P. Sta.,3233,2,-,-,-,2,-,5,-,2,-,4,-,52,57,-,9,5,136,2308,106,2,2,-,-,1,13,117,10,37,4,350,9
2,13220,東大和市,Higashiyamato-shi,12,東大和署,Higashiyamato P. Sta.,1622,-,-,-,-,2,-,1,-,-,-,-,-,31,18,-,7,4,69,1162,66,2,1,-,-,-,6,53,2,9,1,183,5
2,13206,府中市,Fuchu-shi,13,府中署,Fuchu P. Sta.　,1872,2,-,-,-,-,-,-,-,-,-,1,-,39,49,-,12,3,90,1265,92,-,11,-,-,-,7,67,6,19,-,205,4
2,13210,小金井市,Koganei-shi,14,小金井署,Koganei P. Sta.,2551,1,-,-,-,1,-,2,-,1,1,2,-,52,19,-,4,2,144,1901,70,-,1,-,-,-,10,79,5,38,3,209,6
2,13229,西東京市,Nishitokyo-shi,15,田無署,Tanashi P. Sta.,3045,-,-,-,-,1,-,1,-,-,3,3,-,69,40,-,8,5,138,2197,144,3,9,-,-,-,18,69,5,30,2,288,12
2,13211,小平市,Kodaira-shi,16,小平署,Kodaira P. Sta.,1911,1,-,-,-,-,-,2,-,1,1,-,-,35,25,-,3,2,116,1414,67,-,2,-,-,-,13,37,4,30,1,155,2
2,13213,東村山市,Higashimurayama-shi,17,東村山署,Higashimurayama P. Sta.,1847,1,-,-,-,1,-,2,-,1,-,-,-,36,16,-,2,5,80,1373,55,1,1,-,-,-,10,59,4,12,1,182,5
2,13203,武蔵野市,Musashino-shi,18,武蔵野署,Musashino P. Sta.,2278,1,-,1,-,1,-,1,-,2,-,-,-,52,21,-,2,5,67,1750,70,1,3,-,-,-,8,71,5,27,-,187,3
2,13204,三鷹市,Mitaka-shi,19,三鷹署,Mitaka P. Sta.,1247,3,-,-,-,-,-,-,-,2,2,1,-,37,18,-,8,5,58,828,63,-,7,-,-,-,14,42,3,17,-,136,3
2,13208,調布市,Chofu-shi,20,調布署,Chofu P. Sta.,2478,2,-,-,-,-,-,-,-,4,1,3,-,66,29,-,5,9,113,1713,110,2,3,-,-,1,18,81,11,22,5,272,8
1,13350,島部,All islands　　,,,,79,1,-,-,-,-,-,-,-,-,-,1,-,6,10,-,2,-,12,23,4,-,-,-,-,-,1,-,-,3,-,15,1
2,13361,大島町,Oshima-machi,1,大島署,Oshima P. Sta. ,23,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,5,4,3,-,-,-,-,-,-,-,-,2,-,4,1
2,13363,新島村,Niijima-mura,2,新島署,Niijima P. Sta.,11,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,5,1,-,-,-,-,-,-,-,-,-,-,-,-
2,13381,三宅村,Miyake-mura,3,三宅島署,Miyakejima P. Sta.,8,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,-
2,13401,八丈町,Hachijo-machi,4,八丈島署,Hachijojima P. Sta.,27,1,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,4,8,-,-,-,-,-,-,1,-,-,1,-,7,-
2,13421,小笠原村,Ogasawara-mura,5,小笠原署,Ogasawara P. Sta.　,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,1,3,-,-,-,-,-,-,-,-,-,-,-,2,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10 警察署別刑法犯の罪種別認知状況（平成27年） 20-10 CRIMINAL OFFENSES KNOWN TO THE POLICE BY TYPE OF CRIME AND POLICE STATION ( 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 業務上等過失致死傷 （交通関係） 事件は除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 区名の表示は各警察署の所在地による。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Excludes cases of professional negligence resulting in deaths and injuries (traffic related).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) ""ku"" indicates the locations of police stations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
