指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
篠原有加,市議会議員,篠原ゆかとポップコーンくらぶ,昭島市昭和町２－７－１４,35.713482,139.358791,座標系（JGD2011）
柴佳代子,区議会議員,しば佳代子を励ます会,板橋区高島平３－１０－８,35.787772,139.655005,座標系（JGD2011）
澁田智秀,区議会議員,渋田ちしゅう後援会,墨田区本所４－４－２,35.702594,139.806334,座標系（JGD2011）
渋谷金太郎,市長,清瀬みどりの会,清瀬市中里４－８３３,35.786165,139.518216,座標系（JGD2011）
澁谷桂司,市議会議員,渋谷けいしと清瀬の未来をつくる会,清瀬市中里４－８００－４,35.786299,139.516874,座標系（JGD2011）
嶋崎英治,市議会議員,がんばれ！しまざき英治の会,三鷹市新川５－１８－１１,35.676644,139.568563,座標系（JGD2011）
島田敏光,区議会議員,島田としみつ後援会,杉並区下井草４－５－８,35.719527,139.617015,座標系（JGD2011）
島田幸雄,区議会議員,幸友会,港区赤坂７－２－１０,35.673583,139.730116,座標系（JGD2011）
島村和成,区議会議員,秀和会,江戸川区平井５－５１－１,35.710207,139.844620,座標系（JGD2011）
島村高彦,区議会議員,しまむら高彦後援会,豊島区巣鴨１－４－６,35.733145,139.742156,座標系（JGD2011）
清水庄平,市長,清水庄平後援会,立川市西砂町２－４９－１,35.728981,139.360100,座標系（JGD2011）
清水啓史,区議会議員,清水ひろし後援会,荒川区西日暮里２－２８－８,35.730537,139.771666,座標系（JGD2011）
清水勝,市議会議員,清水勝後援会,府中市東芝町１番地,35.681312,139.464397,座標系（JGD2011）
清水義朋,市議会議員,清水よしとも後援会,福生市熊川３７６,35.721555,139.336943,座標系（JGD2011）
志村博司,区議会議員,志村博司政治経済研究会,荒川区東尾久２－４－８,35.743087,139.775100,座標系（JGD2011）
下田大気,市議会議員,下田大気と武蔵野の未来を創る会,武蔵野市境２－２５－３,35.703384,139.539555,座標系（JGD2011）
下野義子,町議会議員,しもの義子励ます会,西多摩郡瑞穂町二本木５３７－５３,35.794613,139.348833,座標系（JGD2011）
下村治生,区議会議員,下村治生を励ます会,新宿区歌舞伎町２－４２－３,35.697698,139.701404,座標系（JGD2011）
下山芳男,区議会議員,下山よしお後援会,世田谷区上馬４－２－５,35.634764,139.663185,座標系（JGD2011）
庄野剛志,区議会議員,庄野剛志後援会,江東区森下４－２４－１,35.687879,139.803537,座標系（JGD2011）
白井秀史,区議会議員,中野政策研究会,中野区東中野１－５１－１３,35.705680,139.685706,座標系（JGD2011）
白石悦子,市議会議員,白石えつ子とはじめの一歩,東村山市栄町２－１９－３,35.749633,139.470357,座標系（JGD2011）
白石英行,区議会議員,白石英行後援会,文京区春日１－１０－９,35.709411,139.747143,座標系（JGD2011）
白石正輝,区議会議員,白石正輝後援会,足立区西新井本町３－９－１４,35.776492,139.776142,座標系（JGD2011）
白石玲子,市議会議員,白石玲子と市民ひろばの会（白石玲子後援会）,東久留米市新川町１－４－１１,35.760814,139.535381,座標系（JGD2011）
新海栄一,市議会議員,新海栄一後援会,国分寺市本多１－６－６,35.705545,139.482052,座標系（JGD2011）
新川勝二,区議会議員,しんかわ勝二後援会,世田谷区上馬５－１９－１６,35.641351,139.654716,座標系（JGD2011）
甚野博義,区議会議員,じんの博義励ます会,墨田区向島５－２９－２,35.716822,139.810580,座標系（JGD2011）
新村幾子,区議会議員,新村いく子とわいわい応援団,江戸川区東小松川３－３５－１３,35.693103,139.867496,座標系（JGD2011）
末岡雅之,区議会議員,みんなで世田谷をよくする会,世田谷区成城４－１０－１６,35.643349,139.591771,座標系（JGD2011）
末次和夫,市議会議員,末次和夫後援会,福生市志茂１２７,35.736757,139.332186,座標系（JGD2011）
末安広明,区議会議員,すえやす広明後援会,大田区田園調布南１０－１,35.580336,139.674758,座標系（JGD2011）
須賀清次,区議会議員,須賀清次卯月の会,江戸川区東葛西４－２７－１３,35.663167,139.884517,座標系（JGD2011）
須貝行宏,区議会議員,須貝ゆきひろ後援会,品川区荏原５－９－１１,35.614164,139.703523,座標系（JGD2011）
菅田誠,区長,すがた誠とあゆむ会,練馬区田柄５－１５－１３,35.758114,139.632289,座標系（JGD2011）
菅沼勉,区議会議員,菅沼つとむ後援会,世田谷区桜新町１－１４－１８,35.630832,139.643603,座標系（JGD2011）
菅原千稲,市議会議員,くにたちブランド推進フォーラム,国立市東１－６－９,35.697698,139.447524,座標系（JGD2011）
杉浦教夫,区議会議員,杉浦教夫後援会,港区西麻布３－５－３,35.657219,139.726425,座標系（JGD2011）
杉田寛,区議会議員,杉田ひろし後援会,板橋区赤塚１－２５－１５,35.771706,139.649374,座標系（JGD2011）
杉村康之,市議会議員,フリーダム・ネット,府中市栄町２－１４－２１,35.688357,139.477754,座標系（JGD2011）
杉本豊敬,区議会議員,杉本とよひろ後援会,港区高輪４－１４－７,35.626842,139.732132,座標系（JGD2011）
杉山行男,市議会議員,杉山ゆきお後援会,福生市熊川６００－４,35.726669,139.336349,座標系（JGD2011）
須崎宏,市議会議員,須崎宏後援会,国分寺市東元町４－１３－９,35.692354,139.478850,座標系（JGD2011）
圖師和美,区議会議員,ずし和美と生き活きネット,江東区大島４－７－３,35.688908,139.830236,座標系（JGD2011）
鈴木明,市議会議員,鈴木明後援会,武蔵村山市中藤５－１３－１,35.755174,139.408711,座標系（JGD2011）
鈴木明,区議会議員,鈴木あきらを応援する会,足立区中川２－１５－６,35.769480,139.855293,座標系（JGD2011）
鈴木綾子,区議会議員,鈴木綾子後援会,江東区豊洲４－１０－１８,35.654440,139.801524,座標系（JGD2011）
鈴木有臣,市議会議員,鈴木ありおみ後援会,武蔵野市吉祥寺東町１－４－１３,35.708522,139.581511,座標系（JGD2011）
鈴木康祐,区議会議員,鈴木こうすけを励ます会,板橋区富士見町３２－１,35.760325,139.696656,座標系（JGD2011）
鈴木成夫,市議会議員,鈴木しげおと歩む会,小金井市貫井南町１－２６－２１,35.690975,139.499115,座標系（JGD2011）
鈴木純,区議会議員,鈴木純後援会,台東区浅草３－２２－１１,35.716961,139.796795,座標系（JGD2011）
鈴木進,区議会議員,鈴木進進和会,足立区花畑１－１３－１３,35.800255,139.812129,座標系（JGD2011）
鈴木隆司,市議会議員,鈴木たかし励ます会,清瀬市下清戸２－５８６－１８,35.786627,139.533741,座標系（JGD2011）
鈴木驍,区議会議員,鈴木驍後援会,港区麻布十番２－９－８,35.655006,139.734471,座標系（JGD2011）
鈴木忠文,市議会議員,鈴木ただふみ後援会,東村山市野口町３－８－３７,35.761553,139.455562,座標系（JGD2011）
鈴木裕子,区議会議員,永野ひろ子を育てる会,豊島区西巣鴨１－１２－８,35.739146,139.723289,座標系（JGD2011）
鈴木博,区議会議員,鈴木博後援会,品川区戸越１－３－１,35.617974,139.718886,座標系（JGD2011）
鈴木真澄,区議会議員,鈴木真澄後援会,品川区南品川５－１１－３３,35.607646,139.738508,座標系（JGD2011）
鈴木宗貴,市議会議員,鈴木むねたか友の会,調布市多摩川４－２－４,35.646495,139.534693,座標系（JGD2011）
須藤博,市議会議員,須藤博と語る会,武蔵村山市学園４－２３－３３,35.743293,139.401457,座標系（JGD2011）
墨谷浩一,区議会議員,すみや浩一励ます会,中央区月島３－２３－１０,35.663562,139.779591,座標系（JGD2011）
須山妙子,市議会議員,すやま妙子友の会,調布市染地２－８－３,35.639911,139.551961,座標系（JGD2011）
須山卓知,市議会議員,須山たかし後援会,府中市晴見町１－１５－３５,35.680233,139.478589,座標系（JGD2011）
瀬順弘,市議会議員,瀬のぶひろ励ます会,立川市富士見町７－３２－４４,35.689713,139.396291,座標系（JGD2011）
関賢一,区議会議員,関けんいちを励ます会,目黒区目黒本町５－３０－２１,35.621048,139.698487,座標系（JGD2011）
関口博,市議会議員,関口ひろしと「平和・自由・人権」を推進する市民の会,国立市東２－１３－２２,35.693546,139.452181,座標系（JGD2011）
関根友子,区議会議員,関根ともこ後援会,江東区越中島１－３－１９,35.668879,139.790328,座標系（JGD2011）
関根麻美子,区議会議員,関根麻美子後援会,江戸川区西瑞江５－２０－２１,35.676768,139.876057,座標系（JGD2011）
関根光浩,市議会議員,関根光浩を励ます会,東久留米市前沢２－７－２２,35.744192,139.515771,座標系（JGD2011）
瀬沼剛,区議会議員,せぬま剛後援会,足立区千住宮元町１０－１,35.745975,139.796391,座標系（JGD2011）
瀬野喜代,区議会議員,せの喜代を応援する会,荒川区西日暮里２－１３－８,35.730363,139.773077,座標系（JGD2011）
備邦彦,市議会議員,そなえ邦彦後援会,府中市晴見町３－４－１２,35.683088,139.478254,座標系（JGD2011）
曽根文子,区議会議員,曽根文子と手をつなごう市民の会,杉並区阿佐谷南１－１５－６,35.699559,139.635767,座標系（JGD2011）
染谷武男,区長,緑友会,墨田区東墨田１－２－１４,35.717249,139.829849,座標系（JGD2011）
大后治雄,市議会議員,新世紀の会（だいごはるお後援会）,東大和市南街６－６１－１,35.736301,139.429793,座標系（JGD2011）
高井優一,区議会議員,高井ゆういち後援会,大田区新蒲田３－３０－８,35.555208,139.707525,座標系（JGD2011）
高岡潤子,区議会議員,高岡じゅん子と歩む会,世田谷区豪徳寺１－２０－７,35.652469,139.647421,座標系（JGD2011）
高久則男,区議会議員,たかく則男後援会,世田谷区三宿２－１４－７,35.651068,139.676775,座標系（JGD2011）
高口靖彦,市議会議員,高口やすひこ励ます会,立川市柏町４－１５－２４,35.725863,139.413678,座標系（JGD2011）
高澤秀行,区議会議員,たかざわ秀行後援会,千代田区三崎町２－１５－１２,35.700778,139.753197,座標系（JGD2011）
田頭祐子,市議会議員,田頭ゆう子と子育ちを応援する会,小金井市前原町３－４０－１,35.697685,139.505982,座標系（JGD2011）
高瀬かおる,市議会議員,高瀬かおるとわくわくハーモニー,国分寺市戸倉１－８－４３,35.709493,139.461947,座標系（JGD2011）
高田和登,市議会議員,高田かずと後援会,羽村市小作台３－１５－３,35.777614,139.298492,座標系（JGD2011）
高田ひとみ,区議会議員,たかだひとみとはばたく会,江戸川区西一之江１－１５－５,35.699977,139.876857,座標系（JGD2011）
田方直昭,区議会議員,たがた直昭後援会,足立区鹿浜３－１３－１５,35.780121,139.752580,座標系（JGD2011）
高津みどり,市議会議員,高津みどり後援会,府中市美好町２－２７－１０,35.674885,139.466392,座標系（JGD2011）
高野恒一郎,市議会議員,高野恒一郎後援会,武蔵野市吉祥寺北町１－１９－６,35.709235,139.576490,座標系（JGD2011）
高野哲,市議会議員,高野さとし後援会,東村山市秋津町１－１８－７,35.771058,139.491031,座標系（JGD2011）
高野律雄,市長,明日の府中を考えるみんなの会,府中市南町４－５－３,35.657648,139.465370,座標系（JGD2011）
高橋昭彦,区議会議員,高橋あきひこ後援会,世田谷区下馬４－２３－１１,35.636650,139.681187,座標系（JGD2011）
高橋一実,区議会議員,高橋かずちか後援会,中野区本町２－２９－５,35.695095,139.682029,座標系（JGD2011）
高橋勝浩,市長,躍進する稲城の会,稲城市矢野口２３５６,35.633443,139.515880,座標系（JGD2011）
高橋佳代子,区議会議員,高橋佳代子後援会,豊島区高田１－１２－１５,35.713213,139.718833,座標系（JGD2011）
高橋慎司,区議会議員,高橋しんじ後援会,品川区東大井４－１３－１１,35.605148,139.738129,座標系（JGD2011）
高橋千香,町議会議員,高橋千香後援会,大島町泉津字波牛８３５－１０,34.780428,139.407849,座標系（JGD2011）
高橋弘志,市議会議員,高橋ひろしを励ます会,武蔵村山市大南１－１３４－４１,35.739499,139.394789,座標系（JGD2011）
高橋誠,市議会議員,高橋誠後援会,昭島市中神町１１１３－８,35.709974,139.373752,座標系（JGD2011）
高橋正利,区議会議員,高橋まさとし励ます会,墨田区墨田２－４０－３,35.732180,139.817604,座標系（JGD2011）
高橋勝,市議会議員,高橋勝後援会,青梅市河辺町９－２－２２,35.783508,139.288457,座標系（JGD2011）
高橋義明,区長,高橋義明後援会,中央区湊２－４－６,35.671104,139.778226,座標系（JGD2011）
高橋良子,市議会議員,高橋りょう子励ます会,国分寺市北町４－８－１４,35.721213,139.448507,座標系（JGD2011）
高村きよみ,区議会議員,高村きよみ後援会,江東区大島５－３７－１４,35.687827,139.836054,座標系（JGD2011）
高村直樹,区議会議員,高村なおき後援会,江東区猿江１－２２－９,35.686931,139.813657,座標系（JGD2011）
高谷真一朗,市議会議員,高谷真一朗を応援する会,三鷹市井の頭５－２７－１５,35.694027,139.575170,座標系（JGD2011）
高山晃一,市議会議員,高山こういち後援会,武蔵村山市三ツ木３－４３－２,35.762255,139.373863,座標系（JGD2011）
高山泰三,区議会議員,高山たいぞう後援会,文京区春日２－１５－９,35.711789,139.743105,座標系（JGD2011）
滝沢泰子,区議会議員,滝沢やすこと未来を創る会,江戸川区平井２－２４－３,35.703687,139.845809,座標系（JGD2011）
瀧島喜重,市議会議員,たきしま喜重を育てる会,西東京市保谷町３－２－７,35.731778,139.553798,座標系（JGD2011）
武井正明,市議会議員,武井正明後援会,小金井市東町４－８－１９,35.694820,139.525213,座標系（JGD2011）
武井雅昭,区長,たけい雅昭後援会,港区新橋６－２２－４,35.660788,139.754831,座標系（JGD2011）
竹内明浩,区議会議員,竹内あきひろ後援会,荒川区西尾久７－６０－１０,35.750609,139.750466,座標系（JGD2011）
武内忍,区議会議員,武内忍後援会,品川区豊町３－７－６,35.607880,139.722000,座標系（JGD2011）
竹内進,区議会議員,竹内進後援会,江戸川区松江３－１４－１９,35.696948,139.868916,座標系（JGD2011）
竹下広美,区議会議員,竹下ひろみ後援会,豊島区東池袋３－１０－１,35.732100,139.718390,座標系（JGD2011）
竹平智春,区議会議員,竹平ちはる後援会,江戸川区東小岩１－１４－６,35.723135,139.890982,座標系（JGD2011）
田島和雄,区議会議員,たじま和雄後援会,大田区萩中３－１６－１,35.551478,139.736012,座標系（JGD2011）
田島進,区議会議員,田島すすむ後援会,江戸川区鹿骨４－２１－２,35.711339,139.889872,座標系（JGD2011）
田代馨,区議会議員,前田かおると明日をひらく会,江東区亀戸５－５－１１,35.698318,139.827173,座標系（JGD2011）
多田正見,区長,江戸川区を愛する会,江戸川区中央２－１７－１８,35.707196,139.873335,座標系（JGD2011）
橘正俊,市議会議員,たちばな正俊友の会,調布市多摩川３－７２－１,35.643654,139.530053,座標系（JGD2011）
伊達淳一郎,市議会議員,だて淳一郎サポーターズクラブ,国分寺市西町２－２２－６,35.708440,139.437685,座標系（JGD2011）
田中愛,区議会議員,清家あい後援会,港区西麻布４－１１－２８,35.659342,139.722484,座標系（JGD2011）
田中功夫,区議会議員,田中いさおを励ます会,板橋区坂下１－３３－２７,35.780974,139.685923,座標系（JGD2011）
田中和子,区議会議員,ともにつくろうやさしい政治・田中和子の会,文京区白山５－３６－７,35.721000,139.751863,座標系（JGD2011）
田中香澄,区議会議員,田中かすみを励ます会,文京区向丘２－１０－２０,35.720063,139.758013,座標系（JGD2011）
田中邦友,区議会議員,田中くにとも後援会,墨田区八広１－３９－１７,35.721190,139.824559,座標系（JGD2011）
田中健,区議会議員,田中けんを応援する会,江戸川区中央４－２５－１４,35.709120,139.867756,座標系（JGD2011）
田中広一,区議会議員,田中広一励ます会,中央区新川２－３１－７,35.672457,139.782614,座標系（JGD2011）
田中哲,区議会議員,田中さとし後援会,墨田区菊川２－１０－１,35.688485,139.803505,座標系（JGD2011）
田中奏香,区議会議員,田中さやかと子どもの未来を育む会,品川区二葉１－１０－１１,35.607841,139.728867,座標系（JGD2011）
田中寿一,区議会議員,都市未来研究会,江戸川区船掘３－１－３,35.681301,139.862916,座標系（JGD2011）
田中順子,市議会議員,田中順子後援会,三鷹市下連雀６－８－４１,35.690414,139.566327,座標系（JGD2011）
田中淳子,区議会議員,田中淳子後援会,江戸川区上篠崎３－１０－１１,35.711660,139.899827,座標系（JGD2011）
田中典子,市議会議員,田中のりこと未来を描く会,町田市中町１－２８－１８,35.549774,139.447461,座標系（JGD2011）
田中久和,市議会議員,田中ひさかず後援会,調布市仙川町３－１７－１,35.665065,139.587282,座標系（JGD2011）
田中政義,市議会議員,田中政義後援会,国分寺市北町１－７－３,35.717170,139.458421,座標系（JGD2011）
田中康子,区議会議員,田中みち子と笑顔を贈る会,世田谷区豪徳寺１－２０－７,35.652469,139.647421,座標系（JGD2011）
田中保範,区議会議員,田中やすのり後援会,葛飾区柴又１－１３－６,35.754938,139.871059,座標系（JGD2011）
田中康智,区議会議員,田中やすのりを育てる会,板橋区成増１－６－７,35.772566,139.632239,座標系（JGD2011）
田中良,区長,東京良友会,杉並区下井草５－１０－２３,35.721128,139.614750,座標系（JGD2011）
谷口敏也,市議会議員,谷口敏也後援会,三鷹市牟礼６－１７－４,35.689697,139.572891,座標系（JGD2011）
谷野正志朗,区長,谷野正志朗後援会,葛飾区南水元４－４－１９,35.778269,139.862165,座標系（JGD2011）
谷山恭子,市議会議員,谷山きょう子とこのゆびとまれ,立川市砂川町７－２１－１３,35.733374,139.408326,座標系（JGD2011）
田原茂,市議会議員,田原しげる励ます会,日野市旭が丘６－７－８,35.660972,139.364253,座標系（JGD2011）
玉川英俊,区議会議員,玉川英俊後援会,大田区北千束１－６４－２,35.611878,139.685524,座標系（JGD2011）
田村智恵美,市議会議員,田村ちえみと街づくりの会,府中市宮町２－１５－１,35.669798,139.480957,座標系（JGD2011）
田村英樹,区議会議員,田村英樹後援会,大田区南六郷１－１５－１８,35.549191,139.723552,座標系（JGD2011）
田村広行,市議会議員,田村ひろゆきとわかりやすい政治をつくる会,西東京市向台町６－５－４,35.719283,139.526319,座標系（JGD2011）
田村正秋,市議会議員,田村正秋後援会,福生市福生１１５２,35.742050,139.323266,座標系（JGD2011）
田村昌巳,市議会議員,田村昌巳後援会,福生市福生１１１３－１０,35.741416,139.324695,座標系（JGD2011）
田村みさ子,町議会議員,田村みさ子となかまの会,西多摩郡日の出町平井２１９６,35.736601,139.249785,座標系（JGD2011）
千野美智子,区議会議員,ちの美智子励ます会,墨田区立花５－２３－３,35.711541,139.830170,座標系（JGD2011）
千保木三紀子,区議会議員,ちほぎみき子後援会,港区三田１－１０－１０,35.654833,139.738590,座標系（JGD2011）
塚原彩子,区議会議員,つかはら彩子と集まれ仲間たち,杉並区阿佐谷南１－１５－６,35.699559,139.635767,座標系（JGD2011）
津上仁志,区議会議員,津上ひとし後援会,世田谷区三軒茶屋２－２８－１１,35.642020,139.663574,座標系（JGD2011）
塚本一夫,区議会議員,塚本一夫後援会,江東区門前仲町１－１１－７,35.673578,139.794389,座標系（JGD2011）
塚本芳弘,区議会議員,塚本芳弘後援会,品川区西品川２－２４－２１,35.612719,139.724220,座標系（JGD2011）
辻薫,区議会議員,辻薫後援会,豊島区要町２－５－１３,35.734053,139.693341,座標系（JGD2011）
逵百合,区議会議員,杉並わくわく会議,杉並区下井草１－２５－３６,35.716926,139.631243,座標系（JGD2011）
津田忠広,市議会議員,津田ただひろ励ます会,東久留米市本町３－１－９,35.758109,139.532117,座標系（JGD2011）
土屋健一,市議会議員,土屋けんいちと歩む会,三鷹市深大寺１－６－２５,35.691383,139.541369,座標系（JGD2011）
土屋敏,区議会議員,土屋さとし後援会,北区田端３－３－１４,35.734244,139.755595,座標系（JGD2011）
土屋輝昌,区長,土屋輝昌社会貢献プロジェクト,港区西麻布３－３－２,35.658140,139.727120,座標系（JGD2011）
土屋美恵子,市議会議員,土屋美恵子をみんなで応援する会,武蔵野市境南町５－１３－５,35.697494,139.536611,座標系（JGD2011）
筒井洋介,区議会議員,筒井ようすけサポーターズクラブ,品川区東品川３－６－７,35.615587,139.747542,座標系（JGD2011）
常松大介,市議会議員,常松大介応援団,小平市上水本町１－１０－２１,35.718576,139.463468,座標系（JGD2011）
津野地寛美,市議会議員,津野地寛美友の会,稲城市長峰３－７,35.631069,139.480291,座標系（JGD2011）
椿邦司,区議会議員,椿くにじ後援会,北区上十条２－２０－６,35.760211,139.719335,座標系（JGD2011）
椿真一,区議会議員,椿真一後援会,大田区中央８－２０－１２,35.573966,139.717118,座標系（JGD2011）
津本裕子,市議会議員,津本ゆう子を励ます会,小平市花小金井南町１－１７－１１,35.724073,139.511432,座標系（JGD2011）
鶴伸一郎,区議会議員,鶴伸一郎後援会,品川区小山台１－１５－１０,35.623228,139.705637,座標系（JGD2011）
出口良行,区議会議員,出口良行後援会,葛飾区南水元４－２４－４,35.777195,139.866466,座標系（JGD2011）
手塚歳久,市議会議員,手塚としひさ後援会,府中市四谷４－３４－４,35.667666,139.443016,座標系（JGD2011）
寺井康芳,区議会議員,寺井やすよし後援会,台東区橋場２－１０－２,35.727023,139.805645,座標系（JGD2011）
寺沢文子,区議会議員,寺沢文子後援会,千代田区外神田６－１０－１１,35.704675,139.771131,座標系（JGD2011）
寺田晃,区議会議員,寺田あきら後援会,台東区東浅草２－１１－２,35.723630,139.799771,座標系（JGD2011）
出羽邦夫,区議会議員,出羽邦夫後援会,墨田区八広４－１１－１９,35.722308,139.827107,座標系（JGD2011）
戸枝大幸,区議会議員,ハッピー会,北区田端４－２１－１４,35.739282,139.755017,座標系（JGD2011）
渡口禎,市議会議員,渡口禎後援会,八王子市長沼町１０４,35.642335,139.375301,座標系（JGD2011）
徳永雅博,区議会議員,徳永まさひろ後援会,江東区亀戸１－１９－６,35.695371,139.823288,座標系（JGD2011）
床鍋義博,市議会議員,市民行革会議,東大和市桜が丘１－１４２９－３,35.732902,139.431550,座標系（JGD2011）
所隆弘,区議会議員,所隆宏後援会,江戸川区新堀１－１３－７,35.703572,139.886434,座標系（JGD2011）
戸沢二郎,区議会議員,戸沢二郎後援会（じろうの会）,目黒区中町２－７－１４,35.633872,139.696626,座標系（JGD2011）
戸塚正人,市議会議員,戸塚正人後援会,町田市金森２－１６－６,35.531689,139.457062,座標系（JGD2011）
戸張孝次郎,区議会議員,戸張孝次郎後援会,千代田区神田須田町２－１５,35.696327,139.773920,座標系（JGD2011）
富田竜馬,市議会議員,とみた竜馬後援会,東久留米市小山１－１０－５,35.764185,139.528893,座標系（JGD2011）
富永訓正,市議会議員,とみなが訓正励ます会,羽村市神明台２－４－１３,35.759106,139.324488,座標系（JGD2011）
富本卓,区議会議員,富本卓の会,杉並区西荻北４－８－８,35.707883,139.595587,座標系（JGD2011）
鞆宣子,区議会議員,とも宣子励ます会,墨田区緑４－２１－３,35.694790,139.808203,座標系（JGD2011）
友野博子,市議会議員,友野ひろ子後援会,清瀬市中里４－７０１－２２,35.787390,139.518355,座標系（JGD2011）
豊島淳司,区議会議員,豊島あつし後援会,新宿区早稲田鶴巻町５３７,35.708426,139.722940,座標系（JGD2011）
豊島成彦,区議会議員,とよしま成彦後援会,江東区亀戸５－１７－４,35.699993,139.826483,座標系（JGD2011）
鳥海隆弘,区議会議員,鳥海隆弘後援会,千代田区神田神保町３－１９－１,35.695057,139.754241,座標系（JGD2011）
内藤美貴子,市議会議員,内藤みき子友の会,調布市深大寺東町５－２２－２８,35.674187,139.556031,座標系（JGD2011）
猶野克,市議会議員,なおの克励ます会,国分寺市東恋ケ窪３－２０－９,35.705066,139.471032,座標系（JGD2011）
長井昌則,区議会議員,長井昌則後援会,足立区六町２－５－３１,35.783241,139.820412,座標系（JGD2011）
中江美和,市議会議員,なかえみわ後援会,小平市学園東町３－７－２９,35.725156,139.491312,座標系（JGD2011）
中川喜美代,市議会議員,中川きみ代後援会,国立市西１－１６－４０,35.696330,139.435063,座標系（JGD2011）
中川龍也,区議会議員,中川たつやを励ます会,練馬区東大泉５－４１－２２,35.748968,139.587232,座標系（JGD2011）
中川蔦也,区議会議員,志傳会,大田区千鳥２－６－２３,35.570626,139.691642,座標系（JGD2011）
中川由美,区議会議員,間宮由美後援会青空,江戸川区松江３－１１－１５,35.696520,139.869416,座標系（JGD2011）
中里省三,区議会議員,中里省三後援会,江戸川区松江３－１２－３,35.697737,139.867946,座標系（JGD2011）
中澤史夫,区議会議員,中沢ふみお後援会,台東区千束１－６－４,35.717900,139.791219,座標系（JGD2011）
中島賢治,区議会議員,中島賢治励ます会,中央区晴海１－７－１,35.658086,139.785147,座標系（JGD2011）
中島正寿,市議会議員,中島まさとし後援会,八王子市元八王子町１－１３３,35.665705,139.286747,座標系（JGD2011）
中嶋勝,市議会議員,なかじま勝励ます会,羽村市小作台２－８－２６,35.779663,139.298651,座標系（JGD2011）
中島義春,区議会議員,中島義春後援会,豊島区西巣鴨２－３－７,35.737340,139.728311,座標系（JGD2011）
長瀬達也,区議会議員,板橋改革フォーラム２１,板橋区赤塚新町２－２－１０,35.771439,139.641663,座標系（JGD2011）
中田兵衛,区議会議員,中田兵衛後援会,豊島区池袋２－６１－８,35.735178,139.709899,座標系（JGD2011）
永田政弘,市議会議員,ながた政弘後援会,小平市天神町２－３－１２,35.732049,139.492886,座標系（JGD2011）
中妻穣太,区議会議員,中妻じょうたサポーターズ,板橋区高島平８－１７－１１,35.790764,139.661207,座標系（JGD2011）
中西正巳,区議会議員,中西正巳後援会,江東区北砂３－５－２２,35.684569,139.829494,座標系（JGD2011）
中根三枝,市議会議員,中根三枝後援会,小金井市本町５－４－３４,35.701693,139.500974,座標系（JGD2011）
中野邦彦,区議会議員,中野くにひこを励ます会,板橋区成増４－２４－２３,35.784136,139.637170,座標系（JGD2011）
中野志乃夫,市議会議員,中野しのぶを応援する会,東大和市向原６－１１８０－５,35.735613,139.437979,座標系（JGD2011）
中野知和,区議会議員,中野ともかず後援会,板橋区南町１４－６,35.736971,139.701896,座標系（JGD2011）
中間建二,市議会議員,なかま建二と市民の会,東大和市南街３－１１－１１,35.742129,139.426795,座標系（JGD2011）
中道貴,区議会議員,中道貴後援会,江戸川区大杉１－１－１,35.703229,139.875222,座標系（JGD2011）
中村慶子,区議会議員,中村けいこ後援会,葛飾区青戸６－１２－６,35.751673,139.855384,座標系（JGD2011）
中村公太朗,区議会議員,中村公太朗後援会,世田谷区等々力８－２１－３,35.615999,139.651138,座標系（JGD2011）
中村真一,区議会議員,中村しんいち後援会,新宿区大久保２－２－２０,35.702811,139.708855,座標系（JGD2011）
中村岳文,市議会議員,中村たけふみ後援会,八王子市子安町３－１７－６,35.650748,139.336912,座標系（JGD2011）
中村延子,区議会議員,中村延子後援会,中野区弥生町４－３６－６,35.689640,139.670133,座標系（JGD2011）
中村尚郎,区議会議員,中村ひさおを励ます会,荒川区南千住２－１６－２,35.729271,139.796141,座標系（JGD2011）
中村雅子,区議会議員,中村まさ子と共に歩む会,江東区大島８－１３－１,35.687346,139.840151,座標系（JGD2011）
中村美穂子,市議会議員,中村美穂子とまちづくりの会,稲城市百村１６０８－３,35.636181,139.499113,座標系（JGD2011）
中村康弘,区議会議員,中村やすひろ後援会,杉並区上井草２－１０－２,35.719894,139.609402,座標系（JGD2011）
中山ひと美,市議会議員,中山ひとみ後援会,立川市曙町３－４９－５,35.707052,139.424660,座標系（JGD2011）
中山義活,区長,中山義活新東京生活会議,台東区雷門１－１２－１２,35.710253,139.794361,座標系（JGD2011）
南雲隆志,市議会議員,なぐも隆志後援会,昭島市中神町１３１８,35.715853,139.383572,座標系（JGD2011）
夏梅邦典,市議会議員,石井くにのり後援会,町田市能ヶ谷４－９－９,35.587088,139.482994,座標系（JGD2011）
並木一元,区議会議員,なみき一元後援会,荒川区町屋３－２－１,35.745892,139.782257,座標系（JGD2011）
名雪薫,市議会議員,長島かおるを育てる会,三鷹市新川６－３６－３６,35.682785,139.562745,座標系（JGD2011）
奈良崎久和,市議会議員,ならさき久和後援会,府中市西原町３－２４－１９,35.684086,139.456193,座標系（JGD2011）
成澤廣修,区長,新世紀政経懇話会,文京区本郷３－３８－５,35.707058,139.762560,座標系（JGD2011）
成澤敬,区議会議員,成沢たかし後援会,台東区千束３－１２－５,35.721020,139.792571,座標系（JGD2011）
成島由香里,区議会議員,成島ゆかりを励ます会,板橋区前野町６－６１－６,35.768767,139.682365,座標系（JGD2011）
