,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/投票所入場（整理）券,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者等のはがき・ビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/投票所入場（整理）券,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者等のはがき・ビラ,東京都知事選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/わからない、忘れた
職業別無職（年金受給者含む）,402,340,235,171,52,96,67,155,30,47,2,27,12,6,14,16,1,27,17,402,344,236,172,54,91,65,155,47,49,2,26,6,9,13,1,28,17
職業別無職（年金受給者含む）,100.0,84.6,58.5,42.5,12.9,23.9,16.7,38.6,7.5,11.7,0.5,6.7,3.0,1.5,3.5,4.0,0.2,6.7,4.2,100.0,85.6,58.7,42.8,13.4,22.6,16.2,38.6,11.7,12.2,0.5,6.5,1.5,2.2,3.2,0.2,7.0,4.2
投票所までの時間別５分以内,433,366,226,163,111,113,100,206,71,55,9,61,34,32,12,26,-,19,9,433,369,228,166,109,102,105,216,84,55,8,58,31,8,18,-,20,9
投票所までの時間別５分以内,100.0,84.5,52.2,37.6,25.6,26.1,23.1,47.6,16.4,12.7,2.1,14.1,7.9,7.4,2.8,6.0,-,4.4,2.1,100.0,85.2,52.7,38.3,25.2,23.6,24.2,49.9,19.4,12.7,1.8,13.4,7.2,1.8,4.2,-,4.6,2.1
投票所までの時間別10分以内,1067,957,570,445,258,292,216,543,116,163,11,93,66,41,23,67,2,37,31,1067,962,574,456,256,250,213,556,194,190,13,95,48,13,51,1,33,28
投票所までの時間別10分以内,100.0,89.7,53.4,41.7,24.2,27.4,20.2,50.9,10.9,15.3,1.0,8.7,6.2,3.8,2.2,6.3,0.2,3.5,2.9,100.0,90.2,53.8,42.7,24.0,23.4,20.0,52.1,18.2,17.8,1.2,8.9,4.5,1.2,4.8,0.1,3.1,2.6
投票所までの時間別20分以内,288,249,163,106,28,64,37,116,25,28,3,14,8,4,6,13,1,11,10,288,251,161,108,31,64,39,117,34,30,5,10,3,6,14,1,11,10
投票所までの時間別20分以内,100.0,86.5,56.6,36.8,9.7,22.2,12.8,40.3,8.7,9.7,1.0,4.9,2.8,1.4,2.1,4.5,0.3,3.8,3.5,100.0,87.2,55.9,37.5,10.8,22.2,13.5,40.6,11.8,10.4,1.7,3.5,1.0,2.1,4.9,0.3,3.8,3.5
投票所までの時間別30分以内,21,12,7,5,2,4,1,3,1,-,-,1,-,1,2,2,-,2,2,21,13,7,5,2,5,1,3,2,-,-,-,1,1,2,-,2,2
投票所までの時間別30分以内,100.0,57.1,33.3,23.8,9.5,19.0,4.8,14.3,4.8,-,-,4.8,-,4.8,9.5,9.5,-,9.5,9.5,100.0,61.9,33.3,23.8,9.5,23.8,4.8,14.3,9.5,-,-,-,4.8,4.8,9.5,-,9.5,9.5
投票所までの時間別30分を超える,3,3,2,2,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,3,3,3,2,1,-,1,3,1,1,1,-,1,-,-,-,-,-
投票所までの時間別30分を超える,100.0,100.0,66.7,66.7,33.3,-,33.3,66.7,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,66.7,33.3,-,33.3,100.0,33.3,33.3,33.3,-,33.3,-,-,-,-,-
投票所までの時間別わからない,11,4,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,5,11,5,-,1,-,-,-,1,-,-,-,-,1,-,-,-,1,4
投票所までの時間別わからない,100.0,36.4,-,9.1,-,-,-,9.1,-,-,-,-,-,9.1,-,-,-,9.1,45.5,100.0,45.5,-,9.1,-,-,-,9.1,-,-,-,-,9.1,-,-,-,9.1,36.4
地域別区部（計）,1381,1203,678,551,336,371,302,709,168,188,16,136,89,61,26,75,2,57,53,1381,1216,684,568,335,327,309,735,263,224,20,133,65,14,60,1,52,49
地域別区部（計）,100.0,87.1,49.1,39.9,24.3,26.9,21.9,51.3,12.2,13.6,1.2,9.8,6.4,4.4,1.9,5.4,0.1,4.1,3.8,100.0,88.1,49.5,41.1,24.3,23.7,22.4,53.2,19.0,16.2,1.4,9.6,4.7,1.0,4.3,0.1,3.8,3.5
地域別センターコア,388,349,186,137,122,136,85,218,47,58,4,69,53,23,9,19,1,15,10,388,353,192,143,119,125,88,227,70,66,6,69,24,6,14,1,14,7
地域別センターコア,100.0,89.9,47.9,35.3,31.4,35.1,21.9,56.2,12.1,14.9,1.0,17.8,13.7,5.9,2.3,4.9,0.3,3.9,2.6,100.0,91.0,49.5,36.9,30.7,32.2,22.7,58.5,18.0,17.0,1.5,17.8,6.2,1.5,3.6,0.3,3.6,1.8
地域別区部東部・北部エリア,398,349,211,179,78,91,91,201,45,56,4,22,12,16,8,22,-,16,17,398,351,212,184,81,81,93,210,86,68,5,21,16,4,24,-,15,17
地域別区部東部・北部エリア,100.0,87.7,53.0,45.0,19.6,22.9,22.9,50.5,11.3,14.1,1.0,5.5,3.0,4.0,2.0,5.5,-,4.0,4.3,100.0,88.2,53.3,46.2,20.4,20.4,23.4,52.8,21.6,17.1,1.3,5.3,4.0,1.0,6.0,-,3.8,4.3
地域別区部西部・南部エリア,595,505,281,235,136,144,126,290,76,74,8,45,24,22,9,34,1,26,26,595,512,280,241,135,121,128,298,107,90,9,43,25,4,22,-,23,25
地域別区部西部・南部エリア,100.0,84.9,47.2,39.5,22.9,24.2,21.2,48.7,12.8,12.4,1.3,7.6,4.0,3.7,1.5,5.7,0.2,4.4,4.4,100.0,86.1,47.1,40.5,22.7,20.3,21.5,50.1,18.0,15.1,1.5,7.2,4.2,0.7,3.7,-,3.9,4.2
地域別市郡部（計）,442,388,290,171,64,102,53,162,45,58,7,33,19,18,17,33,1,13,4,442,387,289,170,64,94,50,161,52,52,7,30,20,14,25,1,15,4
地域別市郡部（計）,100.0,87.8,65.6,38.7,14.5,23.1,12.0,36.7,10.2,13.1,1.6,7.5,4.3,4.1,3.8,7.5,0.2,2.9,0.9,100.0,87.6,65.4,38.5,14.5,21.3,11.3,36.4,11.8,11.8,1.6,6.8,4.5,3.2,5.7,0.2,3.4,0.9
地域別多摩東部エリア,132,115,70,38,12,30,13,38,11,11,5,15,6,9,4,5,-,8,-,132,113,68,43,14,32,15,40,12,9,3,15,10,4,5,-,10,-
地域別多摩東部エリア,100.0,87.1,53.0,28.8,9.1,22.7,9.8,28.8,8.3,8.3,3.8,11.4,4.5,6.8,3.0,3.8,-,6.1,-,100.0,85.6,51.5,32.6,10.6,24.2,11.4,30.3,9.1,6.8,2.3,11.4,7.6,3.0,3.8,-,7.6,-
地域別多摩中央部北エリア,70,58,33,25,15,31,13,34,11,12,2,4,5,5,1,8,1,2,-,70,58,34,26,15,24,11,34,13,10,2,3,6,1,7,1,2,-
地域別多摩中央部北エリア,100.0,82.9,47.1,35.7,21.4,44.3,18.6,48.6,15.7,17.1,2.9,5.7,7.1,7.1,1.4,11.4,1.4,2.9,-,100.0,82.9,48.6,37.1,21.4,34.3,15.7,48.6,18.6,14.3,2.9,4.3,8.6,1.4,10.0,1.4,2.9,-
地域別多摩中央部南エリア,201,177,160,94,31,37,25,66,13,16,-,12,7,3,9,17,-,2,4,201,178,160,87,29,33,22,64,14,12,1,10,3,6,11,-,2,4
地域別多摩中央部南エリア,100.0,88.1,79.6,46.8,15.4,18.4,12.4,32.8,6.5,8.0,-,6.0,3.5,1.5,4.5,8.5,-,1.0,2.0,100.0,88.6,79.6,43.3,14.4,16.4,10.9,31.8,7.0,6.0,0.5,5.0,1.5,3.0,5.5,-,1.0,2.0
地域別多摩西部エリア,39,38,27,14,6,4,2,24,10,19,-,2,1,1,3,3,-,1,-,39,38,27,14,6,5,2,23,13,21,1,2,1,3,2,-,1,-
地域別多摩西部エリア,100.0,97.4,69.2,35.9,15.4,10.3,5.1,61.5,25.6,48.7,-,5.1,2.6,2.6,7.7,7.7,-,2.6,-,100.0,97.4,69.2,35.9,15.4,12.8,5.1,59.0,33.3,53.8,2.6,5.1,2.6,7.7,5.1,-,2.6,-
選挙への関心度別関心があった（計）,1283,1178,812,652,284,419,310,697,184,205,22,149,100,68,36,69,3,15,13,1424,1310,874,699,329,392,327,770,281,242,25,147,77,25,67,2,23,14
選挙への関心度別関心があった（計）,100.0,91.8,63.3,50.8,22.1,32.7,24.2,54.3,14.3,16.0,1.7,11.6,7.8,5.3,2.8,5.4,0.2,1.2,1.0,100.0,92.0,61.4,49.1,23.1,27.5,23.0,54.1,19.7,17.0,1.8,10.3,5.4,1.8,4.7,0.1,1.6,1.0
選挙への関心度別関心があった,633,571,450,367,98,238,150,322,111,115,12,59,49,33,27,34,3,8,7,769,699,524,424,126,242,174,389,181,146,15,57,40,24,31,2,14,10
選挙への関心度別関心があった,100.0,90.2,71.1,58.0,15.5,37.6,23.7,50.9,17.5,18.2,1.9,9.3,7.7,5.2,4.3,5.4,0.5,1.3,1.1,100.0,90.9,68.1,55.1,16.4,31.5,22.6,50.6,23.5,19.0,2.0,7.4,5.2,3.1,4.0,0.3,1.8,1.3
選挙への関心度別やや関心があった,650,607,362,285,186,181,160,375,73,90,10,90,51,35,9,35,-,7,6,655,611,350,275,203,150,153,381,100,96,10,90,37,1,36,-,9,4
選挙への関心度別やや関心があった,100.0,93.4,55.7,43.8,28.6,27.8,24.6,57.7,11.2,13.8,1.5,13.8,7.8,5.4,1.4,5.4,-,1.1,0.9,100.0,93.3,53.4,42.0,31.0,22.9,23.4,58.2,15.3,14.7,1.5,13.7,5.6,0.2,5.5,-,1.4,0.6
選挙への関心度別関心がなかった（計）,227,153,48,22,22,18,7,48,10,21,-,3,1,6,3,11,-,36,28,175,112,36,14,13,9,5,33,13,15,1,3,5,2,8,-,31,23
選挙への関心度別関心がなかった（計）,100.0,67.4,21.1,9.7,9.7,7.9,3.1,21.1,4.4,9.3,-,1.3,0.4,2.6,1.3,4.8,-,15.9,12.3,100.0,64.0,20.6,8.0,7.4,5.1,2.9,18.9,7.4,8.6,0.6,1.7,2.9,1.1,4.6,-,17.7,13.1
選挙への関心度別あまり関心がなかった,125,99,39,19,18,15,6,40,8,14,-,2,-,4,2,8,-,11,7,89,66,25,11,9,6,3,26,9,9,-,2,3,1,4,-,9,7
選挙への関心度別あまり関心がなかった,100.0,79.2,31.2,15.2,14.4,12.0,4.8,32.0,6.4,11.2,-,1.6,-,3.2,1.6,6.4,-,8.8,5.6,100.0,74.2,28.1,12.4,10.1,6.7,3.4,29.2,10.1,10.1,-,2.2,3.4,1.1,4.5,-,10.1,7.9
選挙への関心度別関心がなかった,102,54,9,3,4,3,1,8,2,7,-,1,1,2,1,3,-,25,21,86,46,11,3,4,3,2,7,4,6,1,1,2,1,4,-,22,16
選挙への関心度別関心がなかった,100.0,52.9,8.8,2.9,3.9,2.9,1.0,7.8,2.0,6.9,-,1.0,1.0,2.0,1.0,2.9,-,24.5,20.6,100.0,53.5,12.8,3.5,4.7,3.5,2.3,8.1,4.7,7.0,1.2,1.2,2.3,1.2,4.7,-,25.6,18.6
選挙への関心度別どちらともいえない,298,257,106,48,94,36,38,126,19,20,1,16,7,5,4,28,-,14,9,209,178,61,25,57,20,27,93,21,19,1,12,3,1,10,-,8,9
選挙への関心度別どちらともいえない,100.0,86.2,35.6,16.1,31.5,12.1,12.8,42.3,6.4,6.7,0.3,5.4,2.3,1.7,1.3,9.4,-,4.7,3.0,100.0,85.2,29.2,12.0,27.3,9.6,12.9,44.5,10.0,9.1,0.5,5.7,1.4,0.5,4.8,-,3.8,4.3
選挙への関心度別わからない,15,3,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5,7,15,3,2,-,-,-,-,-,-,-,-,1,-,-,-,-,5,7
選挙への関心度別わからない,100.0,20.0,13.3,-,-,-,-,-,-,-,-,6.7,-,-,-,-,-,33.3,46.7,100.0,20.0,13.3,-,-,-,-,-,-,-,-,6.7,-,-,-,-,33.3,46.7
投票への意識別投票するべき（計）,1434,1313,863,675,328,434,331,781,195,217,23,160,105,74,40,87,2,18,15,1443,1326,863,686,329,386,332,791,287,247,25,155,75,28,63,2,22,15
投票への意識別投票するべき（計）,100.0,91.6,60.2,47.1,22.9,30.3,23.1,54.5,13.6,15.1,1.6,11.2,7.3,5.2,2.8,6.1,0.1,1.3,1.0,100.0,91.9,59.8,47.5,22.8,26.7,23.0,54.8,19.9,17.1,1.7,10.7,5.2,1.9,4.4,0.1,1.5,1.0
投票への意識別必ず投票するべき,596,548,422,358,94,250,136,321,99,114,11,56,41,34,31,34,1,5,7,615,568,434,364,94,218,142,331,157,143,12,50,35,24,25,1,8,8
投票への意識別必ず投票するべき,100.0,91.9,70.8,60.1,15.8,41.9,22.8,53.9,16.6,19.1,1.8,9.4,6.9,5.7,5.2,5.7,0.2,0.8,1.2,100.0,92.4,70.6,59.2,15.3,35.4,23.1,53.8,25.5,23.3,2.0,8.1,5.7,3.9,4.1,0.2,1.3,1.3
投票への意識別可能な限り投票するべき,838,765,441,317,234,184,195,460,96,103,12,104,64,40,9,53,1,13,8,828,758,429,322,235,168,190,460,130,104,13,105,40,4,38,1,14,7
投票への意識別可能な限り投票するべき,100.0,91.3,52.6,37.8,27.9,22.0,23.3,54.9,11.5,12.3,1.4,12.4,7.6,4.8,1.1,6.3,0.1,1.6,1.0,100.0,91.5,51.8,38.9,28.4,20.3,22.9,55.6,15.7,12.6,1.6,12.7,4.8,0.5,4.6,0.1,1.7,0.8
投票への意識別投票するのもしないのも自由,344,264,101,47,72,39,24,82,17,24,-,8,3,5,3,19,1,39,27,335,261,105,51,70,35,27,97,26,23,2,8,10,-,20,-,33,24
投票への意識別投票するのもしないのも自由,100.0,76.7,29.4,13.7,20.9,11.3,7.0,23.8,4.9,7.0,-,2.3,0.9,1.5,0.9,5.5,0.3,11.3,7.8,100.0,77.9,31.3,15.2,20.9,10.4,8.1,29.0,7.8,6.9,0.6,2.4,3.0,-,6.0,-,9.9,7.2
投票への意識別その他,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,44,13,3,-,-,-,-,8,1,5,-,1,-,-,-,2,-,13,15,44,15,4,1,-,-,-,8,2,6,-,-,-,-,2,-,12,14
投票への意識別わからない,100.0,29.5,6.8,-,-,-,-,18.2,2.3,11.4,-,2.3,-,-,-,4.5,-,29.5,34.1,100.0,34.1,9.1,2.3,-,-,-,18.2,4.5,13.6,-,-,-,-,4.5,-,27.3,31.8
投票への参加状況別投票した（計）,1435,1319,859,681,325,450,324,797,197,228,22,156,104,70,40,97,3,15,16,1491,1379,887,709,357,400,345,836,300,258,24,155,81,24,77,2,18,15
投票への参加状況別投票した（計）,100.0,91.9,59.9,47.5,22.6,31.4,22.6,55.5,13.7,15.9,1.5,10.9,7.2,4.9,2.8,6.8,0.2,1.0,1.1,100.0,92.5,59.5,47.6,23.9,26.8,23.1,56.1,20.1,17.3,1.6,10.4,5.4,1.6,5.2,0.1,1.2,1.0
投票への参加状況別投票日に投票した,1226,1131,744,576,274,381,282,688,161,192,18,143,84,51,29,80,1,13,15,1254,1163,753,589,302,327,293,703,249,223,18,141,55,18,63,-,14,14
投票への参加状況別投票日に投票した,100.0,92.3,60.7,47.0,22.3,31.1,23.0,56.1,13.1,15.7,1.5,11.7,6.9,4.2,2.4,6.5,0.1,1.1,1.2,100.0,92.7,60.0,47.0,24.1,26.1,23.4,56.1,19.9,17.8,1.4,11.2,4.4,1.4,5.0,-,1.1,1.1
投票への参加状況別期日前投票（又は不在者投票等）をした,209,188,115,105,51,69,42,109,36,36,4,13,20,19,11,17,2,2,1,237,216,134,120,55,73,52,133,51,35,6,14,26,6,14,2,4,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,90.0,55.0,50.2,24.4,33.0,20.1,52.2,17.2,17.2,1.9,6.2,9.6,9.1,5.3,8.1,1.0,1.0,0.5,100.0,91.1,56.5,50.6,23.2,30.8,21.9,56.1,21.5,14.8,2.5,5.9,11.0,2.5,5.9,0.8,1.7,0.4
投票への参加状況別投票しなかった,377,266,107,40,71,23,31,72,15,18,1,13,4,9,3,11,-,54,37,321,218,84,28,39,21,14,58,15,18,3,8,4,4,8,-,48,34
投票への参加状況別投票しなかった,100.0,70.6,28.4,10.6,18.8,6.1,8.2,19.1,4.0,4.8,0.3,3.4,1.1,2.4,0.8,2.9,-,14.3,9.8,100.0,67.9,26.2,8.7,12.1,6.5,4.4,18.1,4.7,5.6,0.9,2.5,1.2,1.2,2.5,-,15.0,10.6
投票への参加状況別答えたくない,11,6,2,1,4,-,-,2,1,-,-,-,-,-,-,-,-,1,4,11,6,2,1,3,-,-,2,-,-,-,-,-,-,-,-,1,4
投票への参加状況別答えたくない,100.0,54.5,18.2,9.1,36.4,-,-,18.2,9.1,-,-,-,-,-,-,-,-,9.1,36.4,100.0,54.5,18.2,9.1,27.3,-,-,18.2,-,-,-,-,-,-,-,-,9.1,36.4
新聞の定期購読別定期購読している,1240,1134,843,596,280,373,325,650,160,187,16,146,87,33,34,63,2,26,14,1240,1142,843,608,280,325,327,663,235,214,20,143,37,24,51,1,25,13
新聞の定期購読別定期購読している,100.0,91.5,68.0,48.1,22.6,30.1,26.2,52.4,12.9,15.1,1.3,11.8,7.0,2.7,2.7,5.1,0.2,2.1,1.1,100.0,92.1,68.0,49.0,22.6,26.2,26.4,53.5,19.0,17.3,1.6,11.5,3.0,1.9,4.1,0.1,2.0,1.0
新聞の定期購読別定期購読していない,583,457,125,126,120,100,30,221,53,59,7,23,21,46,9,45,1,44,43,583,461,130,130,119,96,32,233,80,62,7,20,48,4,34,1,42,40
新聞の定期購読別定期購読していない,100.0,78.4,21.4,21.6,20.6,17.2,5.1,37.9,9.1,10.1,1.2,3.9,3.6,7.9,1.5,7.7,0.2,7.5,7.4,100.0,79.1,22.3,22.3,20.4,16.5,5.5,40.0,13.7,10.6,1.2,3.4,8.2,0.7,5.8,0.2,7.2,6.9
インターネットの利用有無別インターネットを利用している,1055,938,506,395,276,259,194,556,148,172,14,110,82,71,27,73,2,23,32,1055,945,509,405,275,218,198,568,216,184,17,102,77,17,50,2,22,30
インターネットの利用有無別インターネットを利用している,100.0,88.9,48.0,37.4,26.2,24.5,18.4,52.7,14.0,16.3,1.3,10.4,7.8,6.7,2.6,6.9,0.2,2.2,3.0,100.0,89.6,48.2,38.4,26.1,20.7,18.8,53.8,20.5,17.4,1.6,9.7,7.3,1.6,4.7,0.2,2.1,2.8
インターネットの利用有無別インターネットを利用していない,768,653,462,327,124,214,161,315,65,74,9,59,26,8,16,35,1,47,25,768,658,464,333,124,203,161,328,99,92,10,61,8,11,35,-,45,23
インターネットの利用有無別インターネットを利用していない,100.0,85,60.2,42.6,16.1,27.9,21.0,41.0,8.5,9.6,1.2,7.7,3.4,1.0,2.1,4.6,0.1,6.1,3.3,100.0,85.7,60.4,43.4,16.1,26.4,21,42.7,12.9,12.0,1.3,7.9,1.0,1.4,4.6,-,5.9,3.0
