NO.,政治団体の名称,事務所の所在地,座標L(経度),座標B(緯度),座標系,代表者,会計責任者,設立届出日,国会議員関係1,国会議員関係2,資金管理
428,江戸川区を愛する会,江戸川区北小岩２－８－９,139.882910,35.742317,座標系（JGD2011）,多田正見,高崎賢一,H11.2.5,,,
429,江戸川・生活者ネットワーク,江戸川区東小松川３－３５－１３,139.867496,35.693103,座標系（JGD2011）,藤居阿紀子,原田真佐子,H2.3.19,,,
430,江戸川南税理士政治連盟,江戸川区中葛西７－４－９,139.864303,35.657500,座標系（JGD2011）,豊島賢二郎,権田誠,H7.8.8,,,
431,江戸川みんなの会,江戸川区南葛西４－２１－３,139.874140,35.647615,座標系（JGD2011）,桝秀行,桝秀行,H22.7.30,,,
432,ＮＨＫから国民を守る会,渋谷区桜丘町２７－１,139.699503,35.655747,座標系（JGD2011）,小林崇央,薬袋一久,H31.4.5,,,
433,ＮＨＫを正す地方議員の会,江東区富岡１－１０－３,139.798316,35.671217,座標系（JGD2011）,二瓶文隆,富永雄二,R1.10.29,,,
434,エネルギー政策を考える芝浦の会（通称；芝浦会）,港区浜松町１－２１－２,139.757247,35.657730,座標系（JGD2011）,片山修,深山敏顕,H21.9.2,,,
435,えのき秀隆後援会,新宿区中落合４－６－１１,139.685736,35.719042,座標系（JGD2011）,榎美奈子,榎民子,H6.7.26,,,
436,えのさわ誠後援会,青梅市本町１３０－２４,139.258485,35.789243,座標系（JGD2011）,榎澤誠,榎澤千鶴子,H15.2.14,,,有
437,榎本あゆみ後援会,港区芝浦４－４－２７,139.744712,35.640173,座標系（JGD2011）,榎本あゆみ,榎本雅美,H27.4.7,,,有
438,榎本はじめ後援会,北区滝野川２－６－１１,139.734995,35.750024,座標系（JGD2011）,榎本一,上田建一,H29.12.1,,,
439,荏原税理士政治連盟,品川区中延１－２－９,139.710897,35.613588,座標系（JGD2011）,豊島正純,坂井晴行,S57.1.25,,,
440,えびさわけいこ「ひまわり会」,文京区春日１－９－２７,139.746158,35.708856,座標系（JGD2011）,海老澤敬子,田中智子,H18.9.12,,,有
441,えびさわ圭介の会,大田区仲池上１－１０－２,139.701089,35.586850,座標系（JGD2011）,海老澤圭介,君嶋廣幸,H22.10.28,,,
442,恵比寿総研,渋谷区恵比寿西２－４－８,139.707387,35.650994,座標系（JGD2011）,藤村雄志,仙石博美,H30.12.7,,,
443,海老原たかさと後援会,中央区日本橋堀留町１－６－９,139.779954,35.687159,座標系（JGD2011）,海老原崇智,海老原麗子,H26.2.12,,,
444,ＭＫＳ政策研究会,港区西新橋２－１８－２,139.751294,35.666234,座標系（JGD2011）,坂倉徹,中野谷昌司,H26.12.5,,,
445,えもと博晃と未来を創る会,府中市緑町２－１９－２,139.489841,35.673226,座標系（JGD2011）,榎元博晃,榎元博晃,H30.3.27,,,
446,冤罪１１０番,渋谷区桜丘町２７－１,139.699503,35.655747,座標系（JGD2011）,小林崇央,薬袋一久,H31.3.5,,,
447,遠田むねお後援会,府中市晴見町１－２３－２７,139.477312,35.681878,座標系（JGD2011）,遠田宗雄,小川勝,H10.10.30,,,有
448,遠藤源太郎後援会,西東京市向台町４－１５－３４,139.535179,35.719887,座標系（JGD2011）,遠藤源太郎,大森隆一,S61.11.13,,,有
449,遠藤茂後援会,日野市大坂上２－６－２３,139.387867,35.675599,座標系（JGD2011）,遠藤茂,遠藤久美子,H29.10.25,,,
450,遠藤直弘後援会,国立市谷保５１１０－２,139.445689,35.680165,座標系（JGD2011）,平石春夫,宮野裕美,H26.6.27,,,
451,遠藤まさお励ます会,武蔵村山市学園３－３０－１４,139.406309,35.747814,座標系（JGD2011）,遠藤政雄,橋本健三,H26.11.14,,,有
452,遠藤守後援会,大田区千鳥３－２２－５,139.690652,35.570714,座標系（JGD2011）,遠藤守,渡部登志雄,H17.2.7,,,有
453,遠藤百合子後援会,小金井市貫井南町４－１３－９,139.493187,35.694794,座標系（JGD2011）,遠藤百合子,遠藤和彦,H17.1.7,,,
454,及川賢一後援会,八王子市長沼町１３０２－９,139.363153,35.646289,座標系（JGD2011）,及川賢一,及川裕子,H22.12.6,,,
455,及川妙子後援会,国分寺市泉町３－３２－５,139.465867,35.698397,座標系（JGD2011）,及川妙子,及川敏章,H18.10.16,,,有
456,王子税理士政治連盟,北区王子１－１１－１,139.736324,35.755256,座標系（JGD2011）,遠田晴雄,遠田晴雄,S53.1.28,,,
457,青梅・生活者ネットワーク,青梅市野上町３－４－２４,139.289025,35.790194,座標系（JGD2011）,畝高篤子,河内真理子,H7.1.20,,,
458,青梅税理士政治連盟,青梅市東青梅１－７－７,139.273652,35.788182,座標系（JGD2011）,渡辺晃,古川和史,S51.11.2,,,
459,青梅の未来をつくる会,青梅市今寺４－７－４,139.298630,35.796338,座標系（JGD2011）,宮崎精一,宮崎精一,H27.9.10,,,
460,大泉地域日本共産党後援会,練馬区東大泉１－１２－２２,139.592249,35.747899,座標系（JGD2011）,菊池紘,内藤靖夫,S57.3.16,,,
461,大泉やすまさ後援会,杉並区永福２－５１－１４,139.643306,35.675424,座標系（JGD2011）,大泉泰政,大泉宣子,H27.3.6,,,有
462,大内しんごの会,中野区野方６－２２－３,139.651556,35.722360,座標系（JGD2011）,大内慎吾,大内準子,H10.10.16,,,有
463,大川元後援会,東大和市蔵敷３－７６６,139.419908,35.748480,座標系（JGD2011）,大川元,大川元,H30.11.8,,,
464,大木慶一後援会,中野区弥生町６－１０－１,139.660376,35.684694,座標系（JGD2011）,大木慶一,大木克夫,H30.12.25,,,
465,おおきしんいち後援会,国分寺市東元町１－３８－４,139.486278,35.697019,座標系（JGD2011）,大木慎一,大木恭子,H30.5.15,,,有
466,大久保けんいち後援会,八王子市千人町３－６－４,139.309596,35.658735,座標系（JGD2011）,大久保賢一,鈴木靖夫,H23.2.14,,,
467,大久保まさよ友の会,あきる野市牛沼４７８－１６,139.285919,35.715095,座標系（JGD2011）,大久保昌代,寺田篤司,H29.1.6,,,有
468,大倉あき子友の会,三鷹市野崎２－１６－３０,139.546146,35.685722,座標系（JGD2011）,大倉朗子,浜田弘光,H26.10.7,,,有
469,大倉たかひろ後援会,品川区小山１－８－４,139.710784,35.622660,座標系（JGD2011）,大倉考裕,大倉早苗,H22.9.7,,,
470,大串ひろやす後援会,千代田区麹町２－１４,139.741351,35.685352,座標系（JGD2011）,大串博康,川島宏之,H11.1.25,,,有
471,おおこし勝広励ます会,墨田区八広１－９－３,139.823430,35.721930,座標系（JGD2011）,大越勝広,大越勝広,H15.1.28,,,有
472,大坂隆洋後援会,千代田区神田三崎町３－１０－２１,139.752282,35.699116,座標系（JGD2011）,大坂隆洋,大坂隆一,H26.8.21,,,
473,おおさわあきひこ後援会,北区志茂３－１－１８,139.734048,35.775732,座標系（JGD2011）,森元主税,東野至男,H26.8.19,,,
474,大沢真一後援会,品川区小山３－２５－９,139.704135,35.619063,座標系（JGD2011）,大澤真一,市川郁雄,H14.9.27,,,有
475,大沢じゅんいち励ます会,立川市一番町４－３５－２１,139.383295,35.729190,座標系（JGD2011）,大澤純一,島田英男,H26.3.7,,,有
476,大沢たかし後援会,北区赤羽西１－５－１,139.720419,35.777258,座標系（JGD2011）,大澤敬,大澤敬,H23.2.14,,,有
477,大島ひろし後援会,昭島市宮沢町５１５－１２,139.374607,35.715155,座標系（JGD2011）,大嶋博,嘉村啓介,H14.9.10,,,有
478,大島実後援会,北区堀船２－３１－２,139.745492,35.755861,座標系（JGD2011）,大島実,田川善一,H14.10.18,,,有
479,大城美幸後援会,三鷹市井の頭５－８－１７,139.575767,35.695700,座標系（JGD2011）,久保田有子,渡辺勝正,H7.3.14,,,
480,大須賀ひろすけ後援会,調布市飛田給１－２４－１,139.522896,35.661160,座標系（JGD2011）,大須賀浩裕,大須賀邦彰,H31.4.9,,,
481,大瀬康介後援会,墨田区吾妻橋２－２０－７,139.803576,35.710656,座標系（JGD2011）,佐藤多門,上原宏,H17.10.11,,,
482,大勢待利明後援会,青梅市新町８－１３－２０,139.315570,35.782403,座標系（JGD2011）,大勢待利明,大勢待めぐみ,H22.6.9,,,
483,太田あきひろ後援会,北区王子２－３２－７,139.738500,35.756237,座標系（JGD2011）,大木田守,後藤憲司,H14.12.10,2,衆,
484,太田あきひろ励ます会,北区王子２－３２－７,139.738500,35.756237,座標系（JGD2011）,今井悦豊,後藤憲司,H24.2.22,2,衆,
485,太田あきひろを囲む税理士の会,北区昭和町１－９－５,139.757188,35.747250,座標系（JGD2011）,山口三美,山口三美,H15.10.28,,,
486,大高哲史後援会,多摩市貝取１－１４－６,139.442242,35.630100,座標系（JGD2011）,柿沢繁,柿沢繁,H17.11.22,,,
487,大高まもる東京後援会,国分寺市本町２－２３－５,139.481136,35.702707,座標系（JGD2011）,込山雄茂,奈良部義彦,H19.1.18,,,
488,太田公弘後援会,江戸川区平井６－３２－２,139.841390,35.709984,座標系（JGD2011）,太田公弘,荘司洋一郎,H22.10.8,,,有
489,大田区から日本を創新する会,大田区南馬込６－７－３,139.707831,35.583239,座標系（JGD2011）,須藤英児,須藤英児,H23.2.16,,,
490,大田区の未来を考える会,大田区上池台３－２５－３,139.696422,35.597392,座標系（JGD2011）,松原元,松原ひろみ,H26.12.25,,,
491,太田久美子後援会,狛江市中和泉１－２－１８,139.577019,35.634450,座標系（JGD2011）,太田久美子,五井正明,H23.1.6,,,有
492,大田区をピカイチにする会,大田区池上３－３０－１０,139.703351,35.574314,座標系（JGD2011）,後藤展行,小野隆士郎,H19.2.27,,,
493,大田区を、未来につなごう。,大田区北千束１－５０－２,139.685095,35.608845,座標系（JGD2011）,岸泰裕,山口智子,H31.1.22,,,
494,大竹さよこ後援会,足立区加賀１－１９－１６,139.760476,35.789534,座標系（JGD2011）,大竹小夜子,青木信夫,H26.9.30,,,有
495,おおたけ貴恵とエコにこ会議,昭島市昭和町２－７－１４,139.358791,35.713482,座標系（JGD2011）,大嶽貴恵,指田みゆき,H18.10.11,,,有
496,大田伸一後援会,板橋区前野町２－２７－８,139.688195,35.767699,座標系（JGD2011）,藤田耕平,伊藤順子,H2.9.12,,,
497,太田順子後援会,北区中十条１－１３－９,139.729301,35.759433,座標系（JGD2011）,太田順子,太田百合子,H24.11.20,1・2,衆,有
498,大田・生活者ネットワーク,大田区蒲田４－４２－３,139.718970,35.558901,座標系（JGD2011）,桝本悦子,山本和恵,H3.9.6,,,
499,太田哲二後援会,杉並区西荻南４－１２－５,139.605709,35.700904,座標系（JGD2011）,太田哲二,太田真樹子,H26.8.19,,,
500,太田哲郎と新しい渋谷をつくる会,渋谷区恵比寿１－２４－１４,139.715116,35.646736,座標系（JGD2011）,太田哲郎,太田哲郎,H26.8.25,,,
501,大谷としき後援会,国立市富士見台３－２－４,139.439765,35.687580,座標系（JGD2011）,大谷俊樹,大谷俊樹,H26.8.28,,,有
502,大田ひろしを励ます会,板橋区成増１－１８－１４,139.630095,35.773227,座標系（JGD2011）,大田博,高橋みさ子,H14.12.12,,,有
503,太田太後援会,中央区佃２－２－１１,139.786512,35.668028,座標系（JGD2011）,太田太,太田沙里,H23.3.7,,,
504,太田まさひさ元気塾,台東区東上野６－３－４,139.783432,35.711998,座標系（JGD2011）,太田雅久,林浩美,H14.11.6,,,有
505,大田無所属の会,大田区東雪谷５－２４－１３,139.692085,35.591605,座標系（JGD2011）,馬橋靖世,樋口哲也,H26.10.31,,,
506,大塚あかね後援会,羽村市羽中２－１９－２８,139.306238,35.763309,座標系（JGD2011）,大塚あかね,春原克美,H18.8.4,,,
507,大塚たかあきサポーターズ・クラブ,港区北青山３－３－７,139.714894,35.668385,座標系（JGD2011）,大塚隆朗,大塚由夏,H14.4.26,,,有
508,おおつか智和励ます会,日野市程久保１－１９－３２,139.411559,35.654238,座標系（JGD2011）,大塚智和,鈴木文雄,H21.11.2,,,有
509,大つきかおり後援会,江東区千石２－８－１６,139.815779,35.679129,座標系（JGD2011）,中野幸則,佐藤五郎,H6.3.18,,,
510,おおつき真也後援会,調布市国領町１－１８－４８,139.553709,35.651983,座標系（JGD2011）,北林噴造,黒田幸子,H31.1.9,,,
511,おおつき城一後援会,杉並区成田西３－９－１２,139.630884,35.693574,座標系（JGD2011）,大槻城一,皆川雅志,H18.10.3,,,有
512,大津つとむ後援会,中野区白鷺２－１２－９,139.633882,35.718500,座標系（JGD2011）,大津勉,大津典子,H27.1.26,,,
513,大津ひろ子・ネット,渋谷区笹塚２－１１－２,139.668446,35.674989,座標系（JGD2011）,大津浩子,矢部英子,H15.10.31,,,有
514,おおつぼ冬彦後援会,日野市万願寺２－３－１８,139.423207,35.673324,座標系（JGD2011）,大坪冬彦,田中勝,H25.3.7,,,
515,大西さとると歩む会,足立区西新井栄町１－１９－３１,139.787384,35.775188,座標系（JGD2011）,大西智,石原憲治,H16.12.8,,,有
516,おおにし順子後援会,渋谷区松濤１－２６－１６,139.692540,35.659120,座標系（JGD2011）,大西順子,大西順子,H27.3.9,,,
517,大西のぶや後援会,町田市野津田町１５９４－１,139.449599,35.590955,座標系（JGD2011）,春畑陞,倉橋幸二,H25.12.27,,,
518,大西英男後援会,江戸川区松島２－８－３,139.858906,35.708410,座標系（JGD2011）,松下彰男,亀本正城,H7.2.22,2,衆,
519,大西洋平後援会,江戸川区篠崎町２－１－１０,139.905876,35.704666,座標系（JGD2011）,大西洋平,大西文代,H22.12.10,,,有
520,大野あつ子友の会,武蔵野市八幡町４－４－６,139.555640,35.719210,座標系（JGD2011）,大野厚子,岡本伸夫,H27.1.9,,,有
521,大野悦子後援会,福生市加美平３－３１－１５,139.321683,35.749719,座標系（JGD2011）,大野悦子,戸倉弘,H2.12.10,,,有
522,大野治彦後援会,板橋区小茂根４－４－１０,139.676482,35.749003,座標系（JGD2011）,竹内康郎,張替和子,S51.6.5,,,
523,大野まさきサポーターズ,多摩市落合４－６－２,139.430102,35.613782,座標系（JGD2011）,大野正樹,大野正樹,H21.12.11,,,
524,大野ゆうじ後援会,調布市国領町７－３８－１５,139.560464,35.643992,座標系（JGD2011）,大野祐司,大野雅弘,H30.5.21,,,有
525,大橋たけし後援会,大田区大森西２－２５－５,139.730513,35.575757,座標系（JGD2011）,大橋武司,渡部登志雄,H22.10.5,,,有
526,大橋みえ子後援会,江戸川区中葛西１－３６－２,139.870096,35.671031,座標系（JGD2011）,千葉邦彦,飯島新二,H23.3.30,,,
527,大畑おさむ励ます会,北区中十条３－８－９,139.722684,35.763420,座標系（JGD2011）,峯弘光,栗原勝,S61.2.24,,,
528,大林みつあき励ます会,西東京市芝久保町１－１２－６６,139.527360,35.724262,座標系（JGD2011）,大林光昭,大林順子,H22.7.23,,,有
529,大場やすのぶ後援会,世田谷区桜新町２－１６－２,139.642235,35.631874,座標系（JGD2011）,大場康宣,大場一代,H6.10.3,,,有
530,大松あきら後援会,北区上十条３－４－１０,139.718317,35.760850,座標系（JGD2011）,大松成,樋園洋一,H16.12.27,,,有
531,大村小太郎と練馬区の政治を国民の手に取り戻す会,練馬区高松４－２６－１０,139.624971,35.752227,座標系（JGD2011）,川村慶太郎,川村早苗,H30.6.7,,,
532,大森あきひこを励ます会,大田区東蒲田１－１２－１６,139.728608,35.564863,座標系（JGD2011）,宮島紀典,大森昭彦,H10.11.25,,,
533,大森税理士政治連盟,大田区中央７－４－５,139.713526,35.576128,座標系（JGD2011）,根本文雄,林田和久,S53.4.14,,,
534,大森大後援会,三鷹市下連雀３－４１－１２,139.559316,35.698654,座標系（JGD2011）,大森大,山田アキ菜,H30.10.19,,,有
535,大森地区の税理士による平将明後援会,大田区大森北５－５－８,139.727024,35.581711,座標系（JGD2011）,長與和彦,川名康祐,H20.10.23,2,衆,
536,大森ゆきこ後援会,葛飾区宝町１－２－２９,139.836259,35.740991,座標系（JGD2011）,大森有希子,土屋由希子,H29.7.19,,,有
537,おおやね匠後援会,江東区塩浜２－７－５,139.807241,35.661854,座標系（JGD2011）,大矢根匠,大矢根眞理,H23.2.18,,,
538,大山とも子後援会,新宿区住吉町１１－２５,139.720431,35.694488,座標系（JGD2011）,横田和俊,笠井艶子,H5.3.4,,,
539,大和田伸君を育てる会,杉並区梅里１－１６－４,139.652044,35.696327,座標系（JGD2011）,大和田伸,夏目健市,H23.2.4,,,
540,岡崎よしあきを励ます会,文京区本郷３－２３－５,139.764194,35.705806,座標系（JGD2011）,岡崎義顕,青木昭一,H10.12.2,,,有
541,岡田ひろし後援会,新宿区北新宿１－２０－１,139.693955,35.697564,座標系（JGD2011）,岡田洋,川井徹郎,H30.12.18,,,有
542,岡田まなぶ後援会,多摩市貝取１－１４－６,139.442242,35.630100,座標系（JGD2011）,岡田テツ子,柴田麗子,H15.2.25,,,
543,岡部ひろあき後援会,国分寺市内藤２－１７－１９,139.458105,35.698827,座標系（JGD2011）,川合洋行,楠本洋司,H22.9.27,,,
544,岡みちると学ぶ会,渋谷区西原１－１２－５,139.680440,35.674809,座標系（JGD2011）,浦田司,小野里雅司,H31.4.12,,,
545,岡村みきお八王子未来の会,八王子市大船町３７８－１４,139.313509,35.623960,座標系（JGD2011）,岡村幹雄,岡村和代,H29.5.24,,,有
546,おかもと秋彦後援会,府中市宮町１－９－８,139.480998,35.670331,座標系（JGD2011）,岡本秋彦,岡本秋彦,H22.12.27,,,
547,岡本貴士後援会,江戸川区松江２－５－１０,139.871617,35.697488,座標系（JGD2011）,岡本貴士,岡本貴士,H27.3.20,,,
548,岡本のぶ子後援会,世田谷区桜丘４－２５－１７,139.620648,35.638813,座標系（JGD2011）,岡本宣子,松井正,H18.10.5,,,有
549,岡本のぶ子励ます会,世田谷区桜丘４－２５－１７,139.620648,35.638813,座標系（JGD2011）,岡本宣子,蜂谷英明,H26.11.12,,,
550,岡本みつなり励ます会,北区王子２－３２－７,139.738500,35.756237,座標系（JGD2011）,友利春久,上川晃,R1.11.28,,,
551,岡本介伸後援会,狛江市東和泉１－２１－６,139.577797,35.631373,座標系（JGD2011）,岡本介伸,岡本介伸,H27.4.7,,,
552,岡元由美後援会,大田区山王１－４１－５,139.721792,35.592061,座標系（JGD2011）,岡元由美,秋元建男,H19.1.29,,,有
553,岡安隆志後援会,足立区青井３－６－３,139.819353,35.770469,座標系（JGD2011）,岡安隆志,岡安伸子,H18.8.2,,,有
554,小笠原未来創造塾,小笠原村父島字清瀬,142.197204,27.099818,座標系（JGD2011）,一木重夫,一木重夫,H27.5.22,,,
555,小川あきお後援会,府中市若松町２－１１－６,139.498400,35.672790,座標系（JGD2011）,小川暁男,大河弘,H22.2.15,,,有
556,小川あずさ後援会,大田区南久が原２－２２－１３,139.686940,35.576532,座標系（JGD2011）,小川あずさ,望月伸介,H30.10.26,,,
557,小川克美政策研究会,狛江市猪方３－２３－６,139.575495,35.626336,座標系（JGD2011）,小川正道,小川良一,H27.4.2,,,
558,小川きょうこ後援会,東村山市美住町２－５－１,139.464393,35.755198,座標系（JGD2011）,小川恭子,小川恭子,H30.4.26,,,
559,小川けいこ後援会,練馬区豊玉北６－２０－９,139.649391,35.735953,座標系（JGD2011）,小川佳子,小林佑吉,H15.2.12,,,
560,小川こうじ後援会,練馬区石神井台８－１８－３４,139.577843,35.735548,座標系（JGD2011）,小川幸治,塩田正照,H26.9.16,,,有
561,小川宗次郎を育てる会,杉並区松ノ木３－３－１２,139.644641,35.693177,座標系（JGD2011）,小川宗次郎,小川生恵,H10.12.10,,,
562,小川たつみ励ます会,西多摩郡瑞穂町南平２－４３－８,139.339604,35.764763,座標系（JGD2011）,小川龍美,伊東利夫,H14.9.12,,,有
563,小川敏夫を応援する会,練馬区豊玉北４－４－１２,139.659937,35.735503,座標系（JGD2011）,小川敏夫,今井陽子,H7.6.22,1・2,参,有
564,小川ひろみと耕す未来＠くにたち,国立市北３－１－１,139.432662,35.699365,座標系（JGD2011）,小川宏美,矢田冨士子,H30.8.7,,,
565,沖浦あつし後援会,小金井市前原町３－４０－２０,139.506032,35.698153,座標系（JGD2011）,沖浦厚,山本剛資,H28.11.14,,,有
566,興津秀憲後援会,国分寺市本多２－１－１,139.481089,35.703795,座標系（JGD2011）,興津秀憲,興津玉美,H11.2.26,,,有
567,おきの清子後援会,武蔵村山市中藤５－６７－１５,139.407960,35.759834,座標系（JGD2011）,沖野清子,玉置邦夫,H19.1.22,,,有
568,沖山仁後援会,墨田区京島１－５２－１１,139.822271,35.716857,座標系（JGD2011）,沖山仁,中村加代子,H1.2.2,,,有
569,荻窪税理士政治連盟,杉並区荻窪５－１６－１２,139.617611,35.703814,座標系（JGD2011）,久保木浩志,粟澤元博,S53.9.13,,,
570,おぎた米蔵後援会,八王子市大和田町３－７－１６,139.354293,35.662130,座標系（JGD2011）,荻田米蔵,大森正三,H14.9.18,,,有
571,おぎのけんじ後援会,世田谷区上野毛４－１３－１１,139.639570,35.618087,座標系（JGD2011）,荻野健司,荻野聖絵,H27.1.27,,,
572,おぎの稔後援会,大田区矢口２－１１－２６,139.691373,35.563150,座標系（JGD2011）,荻野稔,薗田貢,H27.2.12,,,有
573,奥秋利郎後援会,あきる野市五日市３８５,139.222093,35.730403,座標系（JGD2011）,奥秋利郎,鈴木賢,S62.6.26,,,有
574,奥栄一後援会,町田市三輪町２０２－２,139.497164,35.580726,座標系（JGD2011）,奥栄一,松村嘉幸,H17.11.25,,,有
575,おくざわ高広後援会,町田市森野２－２－３７,139.440000,35.547146,座標系（JGD2011）,奥澤高広,福田梓,H29.6.21,,,有
576,奥住まさひと後援会,日野市落川６１１－２,139.435068,35.657129,座標系（JGD2011）,大塚政雄,稲葉進,H21.3.11,,,
577,奥田雅子とポレポレ倶楽部,杉並区阿佐谷南１－１５－６,139.635782,35.699558,座標系（JGD2011）,奥田雅子,佐々木庸子,H27.1.28,,,有
578,奥富喜一後援会,福生市福生９４７,139.326979,35.746028,座標系（JGD2011）,長崎進,森本瑞枝,H14.7.15,,,
579,奥村さち子と街づくりの会,府中市宮町２－１５－１,139.480957,35.669798,座標系（JGD2011）,奥村幸子,重田益美,H31.1.4,,,有
580,奥村ひろし後援会,昭島市緑町３－３－１２,139.350250,35.707625,座標系（JGD2011）,赤羽目和人,永川勝則,R1.12.19,,,
581,おくもとゆり後援会,大田区山王２－１－８,139.728521,35.590520,座標系（JGD2011）,奥本有里,栗下善行,H31.3.15,,,
582,奥山幸子後援会,八丈島八丈町大賀郷２５３９,139.788612,33.110822,座標系（JGD2011）,菊池武倫,山入端幸子,H14.1.18,,,
583,奥山たえこと杉並を耕す会,杉並区高円寺南３－６２－１０,139.646305,35.704907,座標系（JGD2011）,奥山妙子,奥山妙子,H10.6.2,,,有
584,奥山貞三と新宿☆街を創る会,新宿区北町２４－１,139.733545,35.699430,座標系（JGD2011）,奥山貞三,奥山貞三,H26.10.27,,,
585,小倉まさのぶ後援会,町田市原町田５－４－７,139.450001,35.545326,座標系（JGD2011）,小倉將信,桐原ちづる,H23.11.24,1・2,衆,
586,小倉將信を囲む公認会計士の会,町田市鶴川４－２５－２,139.462470,35.594984,座標系（JGD2011）,今村了,岡部雅人,H28.12.14,,,
587,小倉里枝子後援会,港区麻布十番１－８－７,139.735722,35.655888,座標系（JGD2011）,小倉里枝子,小倉和男,H26.7.4,,,有
588,おぐり智恵子後援会,中央区入船３－４－２,139.776400,35.670523,座標系（JGD2011）,澤田俊史,澤田俊史,H3.2.26,,,
589,おさむら敏明後援会,町田市南町田２－１３－１,139.469523,35.520739,座標系（JGD2011）,長村敏明,長村香織,H5.9.20,,,有
590,尾崎あや子後援会,東村山市青葉町２－２９－２,139.493002,35.763069,座標系（JGD2011）,小松恭子,林光二,H21.6.10,,,
591,尾崎大介後援会,調布市菊野台１－２０－１,139.567249,35.655702,座標系（JGD2011）,尾崎大介,阿部哲史,H16.3.2,,,有
592,尾崎保夫後援会,東大和市高木２－１３５－１,139.436025,35.753135,座標系（JGD2011）,尾崎保夫,尾崎博子,H10.12.11,,,
593,尾崎保夫の会,東大和市高木２－１３５－１,139.436025,35.753135,座標系（JGD2011）,尾崎保夫,尾崎博子,H10.12.11,,,有
594,おざく義明を応援する会,国分寺市南町３－９－１５,139.480699,35.698969,座標系（JGD2011）,尾作義明,尾作恵子,H23.3.1,,,有
595,尾澤しゅう後援会,国分寺市西町３－３－３,139.436647,35.712096,座標系（JGD2011）,尾澤脩,尾澤健,H23.3.30,,,
596,小沢まさや後援会,墨田区立花１－２４－１,139.831522,35.705636,座標系（JGD2011）,小澤昌也,小澤圭子,H17.3.23,,,有
597,小沢よしてる後援会,福生市福生６５５－２,139.323070,35.741182,座標系（JGD2011）,小澤芳輝,小澤康男,H30.10.17,,,
598,押見隆太後援会連合会,大田区鵜の木２－４１－２,139.677809,35.573867,座標系（JGD2011）,押見隆太,押見隆太,H23.3.31,,,
599,押本修後援会,東大和市南街４－１５－５,139.435048,35.736003,座標系（JGD2011）,渡部和也,鈴木輝美,H18.8.3,,,
600,小田切かずのぶ後援会,北区中十条３－２０－１９,139.724032,35.765041,座標系（JGD2011）,小田切和信,田畑克己,H23.1.19,,,有
601,おだひろ応援会,渋谷区東１－８－１,139.709876,35.655572,座標系（JGD2011）,小田浩美,松川浩子,H30.11.14,,,
602,小田原きよし連合後援会,千代田区永田町２－１－２,139.742871,35.675505,座標系（JGD2011）,三田敏哉,水成直也,H24.9.4,2,衆,
603,小田原きよしを囲む公認会計士の会,国立市中１－７－３９,139.442315,35.698709,座標系（JGD2011）,一法師信武,後藤康彦,H30.11.30,,,
604,落合勝利を励ます会,武蔵野市中町２－２４－１５,139.567299,35.706215,座標系（JGD2011）,落合勝利,渡部一,H18.11.2,,,有
605,落合貴之を育てる会,世田谷区世田谷１－１２－１４,139.652925,35.642296,座標系（JGD2011）,上杉孝久,野村利恵子,H25.11.29,,,
606,おちたかお政策研究会,世田谷区若林１－７－２,139.663899,35.643462,座標系（JGD2011）,越智隆雄,小林隆,H15.8.4,1・2,衆,有
607,越智隆雄を囲む公認会計士の会,世田谷区世田谷１－１９－１６,139.649394,35.641928,座標系（JGD2011）,毛利優,冨田建,H28.3.29,,,
608,おっさん東大生２５年の行政と介護経験を政治に活かす会,江東区大島６－１－２,139.833434,35.690292,座標系（JGD2011）,猪野隆,猪野隆,H27.3.20,,,
609,音喜多駿後援会,千代田区永田町２－１－１,139.742487,35.676618,座標系（JGD2011）,音喜多駿,音喜多誠,H25.2.4,1・2,参,有
610,おなだか勝後援会,板橋区幸町５１－９,139.695874,35.742379,座標系（JGD2011）,尾名高勝,尾名高和弘,H15.4.9,1・2,衆,有
611,小野高一後援会,小平市小川町２－１８７９,139.474287,35.732131,座標系（JGD2011）,小野勝利,加藤一史,H23.1.7,,,
612,おのせ康裕後援会,目黒区上目黒４－１８－１２,139.691343,35.640816,座標系（JGD2011）,小野瀬康裕,小野瀬早苗,H10.11.20,,,
613,小野卓也後援会,板橋区仲町３０－１０,139.697512,35.753558,座標系（JGD2011）,小野卓也,前原千津子,H26.8.27,,,有
614,小野田紀美政経フォーラム,千代田区永田町２－１－１,139.742487,35.676618,座標系（JGD2011）,小野田紀美,山口栄利香,H28.10.19,1・2,参,有
615,小野田みか後援会,板橋区中丸町４－７,139.706158,35.739959,座標系（JGD2011）,小野田実佳,小田村玲奈,H31.3.27,,,
616,小野寺かつき友の会,狛江市中和泉２－２４－１２,139.570503,35.637611,座標系（JGD2011）,小野寺克己,山本健二,H22.11.17,,,有
617,小野なりこ後援会,千代田区一番町１３－５,139.740599,35.686692,座標系（JGD2011）,小野名利子,小野正輝,H31.1.4,,,有
618,小野裕次郎応援団,新宿区下落合４－９－１７,139.698043,35.718448,座標系（JGD2011）,小野裕次郎,小野裕次郎,H10.11.4,,,有
619,おばた和仁後援会,三鷹市上連雀９－１８－９,139.553547,35.683988,座標系（JGD2011）,小幡和仁,吉田和子,H31.1.4,,,
