№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
１０２４,2015/1/21,2015/1/28,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．２）ＮＤ,
１０２５,2015/1/21,2015/1/28,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．２）ＮＤ,
１０２６,2015/1/21,2015/1/28,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．５）ＮＤ,
１０２７,2015/1/21,2015/1/28,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,そうざい（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜６）ＮＤ,
１０２８,2015/1/21,2015/1/28,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜８）ＮＤ,
１０２９,2015/1/21,2015/1/28,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜７）ＮＤ,
１０３０,2015/1/21,2015/1/28,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,加熱済みそうざいＲｅａｄｙｔｏｅａｔｆｏｏｄ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜８）ＮＤ,
１０３１,2015/1/21,2015/1/28,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,清涼飲料水（ベビーフード）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜８）ＮＤ,
１０３２,2015/1/29,2015/1/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,釜ゆでイカ（惣菜）,その他のそうざい類Ｒｅａｄｙｔｏｅａｔｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３３,2015/1/29,2015/1/30,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,魚介類加工品,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３４,2015/1/29,2015/1/30,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,魚介類加工品,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３５,2015/1/29,2015/1/30,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,魚介類加工品,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０３６,2015/1/29,2015/1/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,魚肉ねり製品,魚肉ねり製品Ｆｉｓｈ－ｐａｓｔｅｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３７,2015/1/29,2015/1/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,氷菓,氷菓Ｆｌａｖｏｕｒｅｄｉｃｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３８,2015/1/29,2015/1/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,氷菓,氷菓Ｆｌａｖｏｕｒｅｄｉｃｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０３９,2015/1/29,2015/1/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,タコ焼（冷凍食品）,加熱後摂取冷凍食品（凍結前加熱）Ｆｒｏｚｅｎｆｏｏｄｔｏｂｅｃｏｎｓｕｍｅｄａｆｔｅｒｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０４０,2015/1/29,2015/1/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ミートソース,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０４１,2015/1/29,2015/1/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,パスタソース,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０４２,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．９）ＮＤ,検出せず（＜１．７）ＮＤ,
１０４３,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,加工乳,加工乳Ｐｒｏｃｅｓｓｅｄｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．２）ＮＤ,
１０４４,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．５）ＮＤ,
１０４５,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
１０４６,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
１０４７,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,ほしいも,その他の農産物加工品Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆａｒｍｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０４８,2015/1/28,2015/2/4,加工者Ｐｒｏｃｅｓｓｏｒ,山形県Ｙａｍａｇａｔａ,豆菓子,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１５）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０４９,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,からつき落花生,種実類加工品Ｎｕｔｓａｎｄｓｅｅｄｓｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜７）ＮＤ,検出せず（＜２５）ＮＤ,
１０５０,2015/1/28,2015/2/4,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ゆであずき,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０５１,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,惣菜（ナメタケ）,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０５２,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,ミカンジュース（濃縮還元）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５３,2015/1/28,2015/2/4,販売者Ｓｅｌｌｅｒ,静岡県Ｓｈｉｚｕｏｋａ,白モモ・シラップづけ（ヘビー）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５４,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,ダイコン塩漬（刻み）,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５５,2015/1/28,2015/2/4,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,ダイコン塩漬,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５６,2015/1/28,2015/2/4,販売者Ｓｅｌｌｅｒ,神奈川県Ｋａｎａｇａｗａ,ハクサイ塩漬,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５７,2015/1/28,2015/2/4,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道・青森県沖太平洋ｏｆｆＨｏｋｋａｉｄｏ・ＡｏｍｏｒｉＴｈｅＰａｃｉｆｉｃ,スルメイカ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５８,2015/1/28,2015/2/4,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,マダラ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０５９,2015/1/28,2015/2/4,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道・青森県沖太平洋ｏｆｆＨｏｋｋａｉｄｏ・ＡｏｍｏｒｉＴｈｅＰａｃｉｆｉｃ,サンマ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０６０,2015/1/28,2015/2/4,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,アカカレイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０６１,2015/1/28,2015/2/4,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,神奈川県Ｋａｎａｇａｗａ,ゴマサバ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０６２,2015/2/5,2015/2/6,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,豚モモうす切り,豚肉Ｐｏｒｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０６３,2015/2/5,2015/2/6,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,豚モモうす切り,豚肉Ｐｏｒｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０６４,2015/2/5,2015/2/6,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,秋田県Ａｋｉｔａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０６５,2015/2/5,2015/2/6,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,青森県Ａｏｍｏｒｉ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０６６,2015/2/5,2015/2/6,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,埼玉県Ｓａｉｔａｍａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１０６７,2015/2/5,2015/2/6,生産・出荷者Ｆａｒｍｅｒ,埼玉県Ｓａｉｔａｍａ,サトイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０６８,2015/2/5,2015/2/6,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,ナガイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０６９,2015/2/5,2015/2/6,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,ヤマトイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０７０,2015/2/5,2015/2/6,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,エノキタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０７１,2015/2/5,2015/2/6,生産・出荷者Ｆａｒｍｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,ナメコ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０７２,2015/2/4,2015/2/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,砂糖（テンサイ含蜜糖）,砂糖及びその代替食品Ｓｕｇａｒａｎｄｓｕｂｓｔｉｔｕｔｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０７３,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,鍋用スープ（ストレートタイプ）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０７４,2015/2/4,2015/2/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,大阪府Ｏｓａｋａ,シチュールウ,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０７５,2015/2/4,2015/2/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,ハヤシルウ,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０７６,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,しょうゆ加工品,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０７７,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,北海道Ｈｏｋｋａｉｄｏ,米飯類（リゾット）（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜７）ＮＤ,
１０７８,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,野菜煮物（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
１０７９,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
１０８０,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,肉・野菜煮物（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜６）ＮＤ,
１０８１,2015/2/4,2015/2/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜６）ＮＤ,
１０８２,2015/2/12,2015/2/13,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,千葉県Ｃｈｉｂａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０８３,2015/2/12,2015/2/13,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,神奈川県Ｋａｎａｇａｗａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
