№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
258,2013/6/20,2013/6/21,販売者　　　　Seller,神奈川県Kanagawa,ロースハム(ブロック),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<8)　 ND,検出せず(<25) ND,―
259,2013/6/20,2013/6/21,販売者　　　　Seller,東京都Tokyo,チルドハンバーグ,加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
260,2013/6/20,2013/6/21,販売者　　　　Seller,大阪府Osaka,無塩せきウインナーソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<8)　 ND,検出せず(<25) ND,―
261,2013/6/24,2013/6/27,採取地　　Sampling point,房総沖Boso oki,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
262,2013/6/24,2013/6/27,採取地　　Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
263,2013/6/24,2013/6/27,採取地　　Sampling point,青森県Aomori,ブリ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
264,2013/6/24,2013/6/27,製造者Manufacturer,北海道Hokkaidou,スイートコーン,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
265,2013/6/24,2013/6/27,製造者Manufacturer,群馬県Gunma,ぬか漬け(きゅうり),その他のつけ物Pickled vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
266,2013/6/24,2013/6/27,製造者Manufacturer,愛知県Aichi,キムチ(刻み),その他のつけ物Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
267,2013/6/24,2013/6/27,製造者Manufacturer,新潟県Niigata,べったら漬け,その他のつけ物Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
268,2013/6/24,2013/6/27,販売者　　　　Seller,東京都Tokyo,しょうゆ漬け(大根), しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
269,2013/6/24,2013/6/27,採取地　　Sampling point,岩手県Iwate,ワカメ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
270,2013/6/24,2013/6/27,採取地　　Sampling point,宮城県Miyagi,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
271,2013/6/24,2013/6/27,製造者Manufacturer,青森県Aomori,さば味付,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
272,2013/6/24,2013/6/27,製造者Manufacturer,青森県Aomori,さんまみそ煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
273,2013/6/24,2013/6/27,販売者　　　　Seller,東京都Tokyo,生菓子,和生菓子Japanese type fresh sweets,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
274,2013/6/24,2013/6/27,販売者　　　　Seller,千葉県Chiba,トマトケチャップ,ケチャップKetchup,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
275,2013/6/24,2013/6/27,販売者　　　　Seller,愛知県Aichi,米酢, 酢Vinegar,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
276,2013/6/24,2013/6/27,製造者Manufacturer,長野県Nagano,甘味りんご酢,酢Vinegar,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
277,2013/6/24,2013/6/27,製造者Manufacturer,兵庫県Hyogo,スープ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
278,2013/6/24,2013/6/27,製造者Manufacturer,北海道Hokkaidou,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5 ),―
279,2013/6/24,2013/6/27,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.7) ND,検出せず(<0.4) ND,検出せず(<1.1) ND,―
280,2013/6/24,2013/6/27,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.6) ND,検出せず(<1.2) ND,―
281,2013/7/1,2013/7/5,製造者Manufacturer,長野県Nagano,えのきたけ・味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
282,2013/7/1,2013/7/5,製造者Manufacturer,埼玉県Saitama,こんにゃく,その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
283,2013/7/1,2013/7/5,製造者Manufacturer,茨城県Ibaraki,とうふ,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
284,2013/7/1,2013/7/5,加工者　Processor,福島県Fukushima,乾しいたけ(こうしん),その他の農産物加工品(きのこ類)Other processed fungi product,一般食品　General foods,Ge,検出せず(<5) 　ND,8,8,―
285,2013/7/1,2013/7/5,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5) ND,―
286,2013/7/1,2013/7/5,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<1.1) ND,検出せず(<1.9) ND,―
287,2013/7/1,2013/7/5,製造者Manufacturer,東京都Tokyo,調製粉乳(ベビーフード),調整粉乳Formulated milk powder,乳児用食品　Infant foods,Ge,検出せず(<1.2) ND,検出せず(<1.2) ND,検出せず(<2.4),―
288,2013/7/1,2013/7/5,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
289,2013/7/1,2013/7/5,販売者　　　　Seller,東京都Tokyo,魚介・野菜煮物(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<3) 　ND,検出せず(<7) 　ND,―
290,2013/7/1,2013/7/5,販売者　　　　Seller,東京都Tokyo,肉・野菜煮物(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
291,2013/7/1,2013/7/5,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
292,2013/7/1,2013/7/5,製造者Manufacturer,千葉県Chiba,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
293,2013/7/1,2013/7/5,製造者Manufacturer,神奈川県Kanagawa,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
294,2013/7/1,2013/7/5,製造者Manufacturer,新潟県Niigata,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
295,2013/7/1,2013/7/5,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
296,2013/7/1,2013/7/5,採取地　　Sampling point,北海道Hokkaidou,タコ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
297,2013/7/1,2013/7/5,採取地　　Sampling point,千葉県Chiba,カツオ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
298,2013/7/1,2013/7/5,採取地　　Sampling point,北海道Hokkaidou,ホッケ,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25 ),―
299,2013/7/1,2013/7/5,採取地　　Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
300,2013/7/1,2013/7/5,採取地　　Sampling point,青森県Aomori,イカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
301,2013/7/4,2013/7/5,販売者　　　　Seller,大阪府Osaka,グラタンソース,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
302,2013/7/4,2013/7/5,製造者Manufacturer,山形県Yamagata,カステラ,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<8)　 ND,検出せず(<7) 　ND,検出せず(<25) ND,―
303,2013/7/4,2013/7/5,製造者Manufacturer,千葉県Chiba,チルドしゅうまい,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
304,2013/7/4,2013/7/5,製造者Manufacturer,茨城県Ibaraki,そうざい(しゅうまい),その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<8)　 ND,検出せず(<25) ND,―
305,2013/7/4,2013/7/5,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
306,2013/7/4,2013/7/5,生産・出荷者Farmer,千葉県Chiba,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
307,2013/7/4,2013/7/5,生産・出荷者Farmer,千葉県Chiba,エダマメ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
308,2013/7/4,2013/7/5,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25 ),―
309,2013/7/4,2013/7/5,製造者Manufacturer,静岡県Shizuoka,汁物用野菜水煮,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<10) ND,検出せず(<25) ND,―
310,2013/7/4,2013/7/9,生産・出荷者Farmer,青森県Aomori,ソラマメ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,Ge,検出せず(<3) 　ND,検出せず(<4) 　ND,検出せず(<7) 　ND,―
311,2013/7/8,2013/7/11,製造者Manufacturer,宮城県Miyagi,ボンレスハム(スライス),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
312,2013/7/8,2013/7/11,製造者Manufacturer,宮城県Miyagi,焼豚,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
313,2013/7/8,2013/7/11,製造者Manufacturer,宮城県Miyagi,ロースハム(スライス),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
314,2013/7/8,2013/7/11,製造者Manufacturer,静岡県Shizuoka,やきとり(塩味),加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
315,2013/7/8,2013/7/11,製造者Manufacturer,群馬県Gunma,温泉たまご,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
316,2013/7/8,2013/7/11,製造者Manufacturer,宮城県Miyagi,米みそ,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
317,2013/7/8,2013/7/11,販売者　　　　Seller,東京都Tokyo,黒大豆きな粉,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
318,2013/7/8,2013/7/11,製造者Manufacturer,群馬県Gunma,よせとうふ,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
319,2013/7/8,2013/7/11,製造者Manufacturer,福島県Fukushima,干しそば,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
320,2013/7/8,2013/7/11,製造者Manufacturer,長野県Nagano,えのきたけ・味付,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
321,2013/7/8,2013/7/11,製造者Manufacturer,長野県Nagano,ぶどうジュース(濃縮還元),その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
322,2013/7/8,2013/7/11,製造者Manufacturer,愛知県Aichi,トマトジュース(濃縮トマト還元),その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
323,2013/7/8,2013/7/11,製造者Manufacturer,長野県Nagano,トマトケチャップ,ケチャップKetchup,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
324,2013/7/8,2013/7/11,販売者　　　　Seller,東京都Tokyo,ボトルドウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.4) ND,検出せず(<1.2) ND,―
325,2013/7/8,2013/7/11,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.5) ND,検出せず(<1.1) ND,―
326,2013/7/8,2013/7/11,販売者　　　　Seller,東京都Tokyo,ほうじ茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.5) ND,検出せず(<0.7) ND,検出せず(<1.2) ND,―
327,2013/7/8,2013/7/11,採取地　　Sampling point,宮城県Miyagi,生ギンサケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
328,2013/7/8,2013/7/11,採取地　　Sampling point,北海道Hokkaidou,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25 ),―
329,2013/7/8,2013/7/11,採取地　　Sampling point,北海道Hokkaidou,マカレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
330,2013/7/8,2013/7/11,採取地　　Sampling point,宮城県Miyagi,モウカサメ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
331,2013/7/11,2013/7/12,製造者Manufacturer,静岡県Shizuoka,さば味噌煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
332,2013/7/11,2013/7/12,製造者Manufacturer,宮城県Miyagi,めかぶ(たれ付き),その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
333,2013/7/11,2013/7/12,採取地　　Sampling point,三陸Sanriku,湯通し塩蔵わかめ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
334,2013/7/11,2013/7/12,採取地　　Sampling point,岩手県Iwate,湯通し塩蔵わかめ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
335,2013/7/11,2013/7/12,製造者Manufacturer,北海道Hokkaidou,さけ味付け(フレーク),その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
336,2013/7/11,2013/7/12,販売者　　　　Seller,千葉県Chiba,ピーナッツペースト,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
337,2013/7/11,2013/7/12,製造者Manufacturer,千葉県Chiba,豆菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
338,2013/7/11,2013/7/12,販売者　　　　Seller,長野県Nagano,ぜんざい,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25 ),―
339,2013/7/11,2013/7/12,製造者Manufacturer,茨城県Ibaraki,そうざい(しゅうまい),未加熱そうざいReady to eat food,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
340,2013/7/11,2013/7/12,製造者Manufacturer,茨城県Ibaraki,生餃子,未加熱そうざいReady to eat food,一般食品　General foods,NaI,検出せず(<8)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
341,2013/7/16,2013/7/19,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<1.2) ND,2.9,2.9,―
342,2013/7/16,2013/7/19,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5) ND,―
343,2013/7/16,2013/7/19,製造者Manufacturer,北海道Hokkaidou,牛乳(常温保存可能品),牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.5) ND,検出せず(<1.2) ND,―
344,2013/7/16,2013/7/19,製造者Manufacturer,群馬県Gunma,低脂肪牛乳,低脂肪牛乳Low fat milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5) ND,―
345,2013/7/16,2013/7/19,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.6) ND,検出せず(<1.4) ND,―
346,2013/7/16,2013/7/19,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.4) ND,検出せず(<1.2) ND,―
347,2013/7/16,2013/7/19,販売者　　　　Seller,千葉県Chiba,めかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
348,2013/7/16,2013/7/19,製造者Manufacturer,大阪府Osaka,のり佃煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<5) 　ND,検出せず(<25) ND,―
349,2013/7/16,2013/7/19,製造者Manufacturer,福島県Fukushima,そうざい,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
350,2013/7/16,2013/7/19,製造者Manufacturer,福島県Fukushima,そうざい,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
351,2013/7/16,2013/7/19,製造者Manufacturer,群馬県Gunma,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
352,2013/7/16,2013/7/19,製造者Manufacturer,長野県Nagano,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
353,2013/7/16,2013/7/19,製造者Manufacturer,岩手県Iwate,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
354,2013/7/16,2013/7/19,製造者Manufacturer,北海道Hokkaidou,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
355,2013/7/16,2013/7/19,製造者Manufacturer,栃木県Tochigi,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
356,2013/7/16,2013/7/19,生産・出荷者Farmer,山形県Yamagata,メロン,うり科果実Cucurbitaceous fruit,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
357,2013/7/16,2013/7/19,生産・出荷者Farmer,茨城県Ibaraki,コダマスイカ,うり科果実Cucurbitaceous fruit,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
358,2013/7/16,2013/7/19,生産・出荷者Farmer,群馬県Gunma,ナス,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
359,2013/7/16,2013/7/19,生産・出荷者Farmer,静岡県Shizuoka,バレイショ,ばれいしょPotato,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
360,2013/7/16,2013/7/19,生産・出荷者Farmer,茨城県Ibaraki,キュウリ,うり科野菜Cucurbitaceous vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
361,2013/7/18,2013/7/19,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
362,2013/7/18,2013/7/19,製造者Manufacturer,新潟県Niigata,惣菜,煮豆・きんとんCooked beans/ sweetened sweet potato paste,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
363,2013/7/18,2013/7/19,製造者Manufacturer,宮城県Miyagi,味付めかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
364,2013/7/18,2013/7/19,採取地　　Sampling point,宮城県Miyagi,マカジキ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<9)ND,検出せず(<25) ND,―
365,2013/7/18,2013/7/19,採取地　　Sampling point,宮城県Miyagi,ギンサケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
366,2013/7/18,2013/7/19,生産・出荷者Farmer,新潟県Niigata,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,3.5,7.3,<25,―
367,2013/7/18,2013/7/19,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
368,2013/7/18,2013/7/19,生産・出荷者Farmer,静岡県Shizuoka,ジャガイモ,ばれいしょPotato,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
369,2013/7/18,2013/7/19,採取地　　Sampling point,千葉県Chiba,カツオ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
370,2013/7/18,2013/7/19,採取地　　Sampling point,神奈川県Kanagawa,ゴマサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
371,2013/7/22,2013/7/25,輸入者　　　Importer,東京都Tokyo,マスタード,種実類加工品Nuts and seeds processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
372,2013/7/22,2013/7/25,輸入者　　　Importer,奈良県Nara,トマト・ジュースづけ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
373,2013/7/22,2013/7/25,輸入者　　　Importer,神奈川県Kanagawa,トマト・ジュースづけ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
374,2013/7/22,2013/7/25,輸入者　　　Importer,東京都Tokyo,オリーブ(種ぬき),その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,原産国：スペインCountry of origin：Spain
375,2013/7/22,2013/7/25,加工者　Processor,東京都Tokyo,乾燥トマト,その他の野菜加工品Other vegetable processed product,一般食品　General foods,Ge,検出せず(<4) 　ND,検出せず(<3) 　ND,検出せず(<7) 　ND,原産国：イタリアCountry of origin：Italy
