№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
404,2015/8/5,2015/8/11,製造者Manufacturer,埼玉県Saitama,しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
405,2015/8/5,2015/8/11,製造者Manufacturer,東京都Tokyo,たくあん漬,たくあん漬Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
406,2015/8/5,2015/8/11,販売者Seller,埼玉県Saitama,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.3)ND,検出せず(<0.8)ND,―
407,2015/8/5,2015/8/11,製造者Manufacturer,埼玉県Saitama,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.9)ND,検出せず(<1.4)ND,―
408,2015/8/5,2015/8/11,販売者Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
409,2015/8/5,2015/8/11,販売者Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.4)ND,検出せず(<0.9)ND,―
410,2015/8/5,2015/8/11,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
411,2015/8/13,2015/8/14,製造者Manufacturer,新潟県Niigata,しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
412,2015/8/13,2015/8/14,製造者Manufacturer,栃木県Tochigi,ナス塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
413,2015/8/13,2015/8/14,販売者Seller,青森県Aomori,リンゴジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
