№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1000,2016/1/13,2016/1/19,販売者Seller,東京都Tokyo,生菓子（ベビーフード）,その他の生菓子Other fresh sweets,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<3)ND,検出せず(<6)ND,―
1001,2016/1/21,2016/1/22,販売者Seller,静岡県Shizuoka,鍋つゆ（ストレートタイプ）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1002,2016/1/21,2016/1/22,製造者Manufacturer,千葉県Chiba,スープ（ポタージュ）,その他の食品Other food,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1003,2016/1/21,2016/1/22,製造者Manufacturer,東京都Tokyo,乳化液状ドレッシング,ドレッシングDressing,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
1004,2016/1/21,2016/1/22,製造者Manufacturer,東京都Tokyo,中華まんじゅう,"その他の菓子・製菓材料Other confection, confectionary material",一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1005,2016/1/21,2016/1/22,販売者Seller,千葉県Chiba,つゆ（希釈用）,つゆLiquid seasoning,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
1006,2016/1/21,2016/1/22,生産・出荷者Farmer,青森県Aomori,ゴボウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1007,2016/1/21,2016/1/22,生産・出荷者Farmer,茨城県Ibaraki,ハクサイ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1008,2016/1/21,2016/1/22,生産・出荷者Farmer,神奈川県Kanagawa,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1009,2016/1/21,2016/1/22,生産・出荷者Farmer,埼玉県Saitama,ネギ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1010,2016/1/21,2016/1/22,生産・出荷者Farmer,青森県Aomori,リンゴ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1011,2016/1/20,2016/1/26,製造者Manufacturer,福島県Fukushima,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1012,2016/1/20,2016/1/26,製造者Manufacturer,福島県Fukushima,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1013,2016/1/20,2016/1/26,製造者Manufacturer,宮城県Miyagi,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1014,2016/1/20,2016/1/26,製造者Manufacturer,岩手県Iwate,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1015,2016/1/20,2016/1/26,製造者Manufacturer,山形県Yamagata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1016,2016/1/20,2016/1/26,販売者Seller,東京都Tokyo,果物・野菜加工品（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1017,2016/1/20,2016/1/26,販売者Seller,東京都Tokyo,果物・野菜加工品（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<3)ND,検出せず(<6)ND,―
1018,2016/1/20,2016/1/26,販売者Seller,東京都Tokyo,惣菜（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1019,2016/1/20,2016/1/26,製造者Manufacturer,新潟県Niigata,有機米飯類（ベビーフード）,その他の穀類加工品Other grain product,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7)ND,―
1020,2016/1/20,2016/1/26,販売者Seller,東京都Tokyo,野菜加工品（ベビーフード）,その他の野菜加工品Other vegetable processed product,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7)ND,―
1021,2016/1/20,2016/1/26,生産・出荷者Farmer,埼玉県Saitama,ブロッコリー,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1022,2016/1/20,2016/1/26,生産・出荷者Farmer,千葉県Chiba,ニンジン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<7)ND,検出せず(<25)ND,―
1023,2016/1/20,2016/1/26,生産・出荷者Farmer,千葉県Chiba,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1024,2016/1/20,2016/1/26,生産・出荷者Farmer,神奈川県Kanagawa,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1025,2016/1/20,2016/1/26,生産・出荷者Farmer,北海道Hokkaido,タマネギ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1026,2016/1/20,2016/1/26,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1027,2016/1/20,2016/1/26,販売者Seller,千葉県Chiba,ダイズ,大豆（乾燥）Dried soybean,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1028,2016/1/20,2016/1/26,製造者Manufacturer,北海道Hokkaido,ダイズ,大豆（乾燥）Dried soybean,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1029,2016/1/20,2016/1/26,製造者Manufacturer,北海道Hokkaido,インゲンマメ,その他の豆類乾燥品Other dried bean,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1030,2016/1/20,2016/1/26,製造者Manufacturer,山梨県Yamanashi,押麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
1031,2016/1/28,2016/1/29,製造者Manufacturer,宮城県Miyagi,イワシつみれ,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1032,2016/1/28,2016/1/29,製造者Manufacturer,静岡県Shizuoka,カツオなまりぶし,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
1033,2016/1/28,2016/1/29,販売者Seller,千葉県Chiba,アジつみれ,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1034,2016/1/28,2016/1/29,加工者Processor,東京都Tokyo,スルメイカボイルスライス,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1035,2016/1/28,2016/1/29,製造者Manufacturer,静岡県Shizuoka,マグロ味付（フレーク）,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1036,2016/1/28,2016/1/29,製造者Manufacturer,大阪府Osaka,シチュールウ,その他の食品Other food,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1037,2016/1/28,2016/1/29,製造者Manufacturer,千葉県Chiba,和生菓子,和生菓子Japanese type fresh sweets,一般食品General foods,NaI,検出せず(<7)ND,検出せず(<6)ND,検出せず(<25)ND,―
1038,2016/1/28,2016/1/29,製造者Manufacturer,福島県Fukushima,あま酒,その他の食品Other food,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1039,2016/1/28,2016/1/29,販売者Seller,山口県Yamaguchi,中華まんじゅう,その他の食品Other food,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
1040,2016/1/28,2016/1/29,販売者Seller,千葉県Chiba,鍋つゆ（ストレートタイプ）,つゆLiquid seasoning,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1041,2016/1/27,2016/2/3,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<1.0)ND,検出せず(<1.9)ND,―
1042,2016/1/27,2016/2/3,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.7)ND,検出せず(<1.6)ND,―
1043,2016/1/27,2016/2/3,製造者Manufacturer,北海道Hokkaido,低脂肪牛乳,低脂肪牛乳Low fat milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.9)ND,検出せず(<1.8)ND,―
1044,2016/1/27,2016/2/3,製造者Manufacturer,神奈川県Kanagawa,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
1045,2016/1/27,2016/2/3,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.4)ND,検出せず(<1)ND,―
1046,2016/1/27,2016/2/3,製造者Manufacturer,東京都Tokyo,ダイズ（煎り）,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1047,2016/1/27,2016/2/3,加工者Processor,山形県Yamagata,豆菓子,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1048,2016/1/27,2016/2/3,製造者Manufacturer,埼玉県Saitama,木綿豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1049,2016/1/27,2016/2/3,販売者Seller,東京都Tokyo,しらたき,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1050,2016/1/27,2016/2/3,販売者Seller,静岡県Shizuoka,ゆであずき,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1051,2016/1/27,2016/2/3,採取地Sampling point,房総沖off Boso,マサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1052,2016/1/27,2016/2/3,採取地Sampling point,宮城県Miyagi,ヒイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1053,2016/1/27,2016/2/3,採取地Sampling point,岩手県Iwate,キチジ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1054,2016/1/27,2016/2/3,採取地Sampling point,三陸北部沖off northern Sanriku,モウカザメ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1055,2016/1/27,2016/2/3,採取地Sampling point,千葉県Chiba,セグロイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1056,2016/1/27,2016/2/3,販売者Seller,長野県Nagano,アンズジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1057,2016/1/27,2016/2/3,製造者Manufacturer,山形県Yamagata,ゼンマイ水煮,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1058,2016/1/27,2016/2/3,製造者Manufacturer,山形県Yamagata,ヤマブキ水煮,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1059,2016/1/27,2016/2/3,製造者Manufacturer,山形県Yamagata,山菜ミックス水煮,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1060,2016/1/27,2016/2/3,製造者Manufacturer,埼玉県Saitama,しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1061,2016/2/4,2016/2/5,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<6)ND,検出せず(<25)ND,―
1062,2016/2/4,2016/2/5,生産・出荷者Farmer,茨城県Ibaraki,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<12)ND,検出せず(<25)ND,―
1063,2016/2/4,2016/2/5,生産・出荷者Farmer,群馬県Gunma,ナメコ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1064,2016/2/4,2016/2/5,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<4)ND,検出せず(<25)ND,―
1065,2016/2/4,2016/2/5,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1066,2016/2/4,2016/2/5,加工者Processor,岩手県Iwate,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
1067,2016/2/4,2016/2/5,加工者Processor,青森県Aomori,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1068,2016/2/4,2016/2/5,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1069,2016/2/4,2016/2/5,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1070,2016/2/4,2016/2/5,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1071,2016/2/3,2016/2/10,販売者Seller,兵庫県Hyogo,ナタデココ,その他の食品Other food,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
1072,2016/2/3,2016/2/10,販売者Seller,東京都Tokyo,肉じゃが（惣菜）,その他のそうざい類Ready to eat food,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1073,2016/2/3,2016/2/10,製造者Manufacturer,東京都Tokyo,ところてん,その他の食品Other food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1074,2016/2/3,2016/2/10,製造者Manufacturer,千葉県Chiba,清涼飲料水,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1075,2016/2/3,2016/2/10,販売者Seller,大阪府Osaka,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1076,2016/2/3,2016/2/10,販売者Seller,東京都Tokyo,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7)ND,―
1077,2016/2/3,2016/2/10,販売者Seller,東京都Tokyo,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7)ND,―
1078,2016/2/3,2016/2/10,販売者Seller,東京都Tokyo,シチュー（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8)ND,―
1079,2016/2/3,2016/2/10,販売者Seller,東京都Tokyo,清涼飲料水（ベビーフード）,その他の清涼飲料水Other soft drink beverages,乳児用食品Infant foods,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1080,2016/2/3,2016/2/10,製造者Manufacturer,東京都Tokyo,調製粉乳（ベビーフード）,調製粉乳Formulated milk powder,乳児用食品Infant foods,Ge,検出せず(<1.3)ND,検出せず(<1.1)ND,検出せず(<2.4)ND,―
1081,2016/2/10,2016/2/17,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<1.0)ND,検出せず(<1.5)ND,―
1082,2016/2/10,2016/2/17,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.9)ND,検出せず(<1.5)ND,―
1083,2016/2/10,2016/2/17,製造者Manufacturer,東京都Tokyo,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.5)ND,検出せず(<1.4)ND,―
1084,2016/2/10,2016/2/17,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1085,2016/2/10,2016/2/17,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1086,2016/2/10,2016/2/17,生産・出荷者Farmer,新潟県Niigata,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1087,2016/2/10,2016/2/17,生産・出荷者Farmer,茨城県Ibaraki,エリンギ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1088,2016/2/10,2016/2/17,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1089,2016/2/10,2016/2/17,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1090,2016/2/10,2016/2/17,生産・出荷者Farmer,福島県Fukushima,ナメコ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1091,2016/2/18,2016/2/19,販売者Seller,神奈川県Kanagawa,鍋の素（ストレートタイプ）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1092,2016/2/18,2016/2/19,製造者Manufacturer,山梨県Yamanashi,焼肉のたれ,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1093,2016/2/18,2016/2/19,販売者Seller,東京都Tokyo,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1094,2016/2/18,2016/2/19,製造者Manufacturer,埼玉県Saitama,ピーナッツスプレッド,"その他の菓子・製菓材料Other confection, confectionary material",一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1095,2016/2/18,2016/2/19,販売者Seller,千葉県Chiba,羊羹,和生菓子Japanese type fresh sweets,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1096,2016/2/18,2016/2/19,選別包装者Grading packager,青森県Aomori,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1097,2016/2/18,2016/2/19,選別包装者Grading packager,岩手県Iwate,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1098,2016/2/18,2016/2/19,製造者Manufacturer,神奈川県Kanagawa,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1099,2016/2/18,2016/2/19,製造者Manufacturer,神奈川県Kanagawa,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1100,2016/2/18,2016/2/19,製造者Manufacturer,神奈川県Kanagawa,豚肉,豚肉Pork,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1101,2016/2/17,2016/2/24,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<0.5)ND,検出せず(<1)ND,―
1102,2016/2/17,2016/2/24,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
1103,2016/2/17,2016/2/24,製造者Manufacturer,長野県Nagano,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
1104,42417,42424,販売者Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.3)ND,検出せず(<0.8)ND,検出せず(<1.1)ND,―
1105,42417,42424,製造者Manufacturer,千葉県Chiba,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.3)ND,検出せず(<0.3)ND,検出せず(<0.6)ND,―
1106,42417,42424,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.4)ND,検出せず(<0.8)ND,検出せず(<1.2)ND,―
1107,42417,42424,製造者Manufacturer,福島県Fukushima,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
1108,42417,42424,販売者Seller,岐阜県Gifu,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1109,42417,42424,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.4)ND,検出せず(<0.7)ND,検出せず(<1.1)ND,―
1110,42417,42424,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.3)ND,検出せず(<0.8)ND,―
1111,42425,42426,採取地Sampling point,静岡県Shizuoka,アジ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<6)ND,検出せず(<10)ND,検出せず(<25)ND,―
1112,42425,42426,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<5)ND,検出せず(<10)ND,検出せず(<25)ND,―
1113,42425,42426,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<5)ND,検出せず(<9)ND,検出せず(<25)ND,―
1114,42425,42426,採取地Sampling point,神奈川県Kanagawa,ワカメ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<6)ND,検出せず(<10)ND,検出せず(<25)ND,―
1115,42425,42426,採取地Sampling point,神奈川県Kanagawa,メカブ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<7)ND,検出せず(<12)ND,検出せず(<25)ND,―
1116,42425,42426,生産・出荷者Farmer,千葉県Chiba,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<5)ND,検出せず(<10)ND,検出せず(<25)ND,―
1117,42425,42426,生産・出荷者Farmer,千葉県Chiba,ニラ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<6)ND,検出せず(<11)ND,検出せず(<25)ND,―
1118,42425,42426,生産・出荷者Farmer,茨城県Ibaraki,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<6)ND,検出せず(<10)ND,検出せず(<25)ND,―
1119,42425,42426,生産・出荷者Farmer,千葉県Chiba,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<6)ND,検出せず(<10)ND,検出せず(<25)ND,―
1120,42425,42426,生産・出荷者Farmer,青森県Aomori,リンゴ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<5)ND,検出せず(<9)ND,検出せず(<25)ND,―
1121,42424,42432,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
