"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"Ｓａｌｏｎ　Ｈａｎａｎｏ（サロン　ハナノ）","107-0062","東京都港区南青山一丁目3番24号","トムズ南青山 1階","2015/1/30","26港み生環き第174号"
"美容室　ロンド","107-0062","東京都港区南青山一丁目10番5号","南青山クリプトメリア 1階A号","2004/6/1","16港み生環き第14号"
"ＡＩｎｏａ　ＲＵＡＮＡ　青山","107-0062","東京都港区南青山一丁目10番10号","I&T Minamiaoyama 3階","2023/8/15","5港み生環き第95号"
"Ｂｌｕ＋１","107-0062","東京都港区南青山一丁目13番6号","大塚マンション201号","2013/7/30","25港み生環き第71号"
"フラム　リングス","107-0062","東京都港区南青山一丁目15番18号","リーラ乃木坂","1993/3/22","4港赤総衛環き第30号"
"レピス","107-0062","東京都港区南青山一丁目15番26号","紙音館 1階","2008/8/13","20港み生環き第79号"
"ＥＹＥ　ＧＬＩＴＴＥＲ　ＨＡＩＲ　ＧＬＩＴＴＥＲ（アイ　グリッター　ヘア　グリッター）","107-0062","東京都港区南青山一丁目17番2号","Y'z cube C","2010/4/22","22港み生環き第8号"
"ブロウバートーキョーメゾン","107-0062","東京都港区南青山一丁目19番14号","2階2A","2022/12/22","4港み生環き第170号"
"ＲＯＰＰＯＮＧＩ　ＢＥＡＵＴＹＭＡＫＥ","107-0062","東京都港区南青山一丁目22番1号","La Glycine南青山201","2023/7/14","5港み生環き第62号"
"Ｂｒｏｗ　Ｂａｒ　Ｔｏｋｙｏ","107-0062","東京都港区南青山一丁目22番3号","グラン南青山202","2020/2/17","31港み生環き第245号"
"ヘアーメイクオフィスステップ","107-0062","東京都港区南青山二丁目2番15号","ウィン青山437","2011/12/13","23港み生環き第113号"
"Ｒｏｓｅ　Ｌａｓｈ（ローズラッシュ）","107-0062","東京都港区南青山二丁目2番15号","ウィン青山1116","2015/5/25","27港み生環き第35号"
"Ｒｏｓｅ　Ｌａｓｈ","107-0062","東京都港区南青山二丁目2番15号","ウィン青山1141","2023/5/25","5港み生環き第33号"
"Ｓｉｉ（シー）","107-0062","東京都港区南青山二丁目7番8号","1階、地下1階","2021/3/17","2港み生環き第224号"
"ラーリー美容室","107-0062","東京都港区南青山二丁目7番24号",,"1991/4/26","3港赤総衛環き第2号"
"ＲＯＷ","107-0062","東京都港区南青山二丁目7番24号","Le Noble Minami Aoyama 2階","2021/9/16","3港み生環き第110号"
"シープ　スリープ","107-0062","東京都港区南青山二丁目9番27号","青山ビルマンション 地下2階","2003/4/24","15港み生環き第14号"
"クラン・シュプール表参道店","107-0062","東京都港区南青山二丁目9番30号","南青山2丁目ハウス1階","2022/1/4","3港み生環き第201号"
"エレーヌ・エ　ピエール","107-0062","東京都港区南青山二丁目10番11号","A青山ビル 1階","2009/12/4","21港み生環き第116号"
"ＴＨＥ　ＣＯＮＲＡＴ","107-0062","東京都港区南青山二丁目11番11号","アリスト南青山3階","2023/4/17","4港み生環き第254号"
"レガロ","107-0062","東京都港区南青山二丁目11番13号","南青山ビル 5階","2010/7/15","22港み生環き第47号"
"ＣＵＴ　純","107-0062","東京都港区南青山二丁目11番13号","青山サクセスビル2階","2023/12/19","5港み生環き第193号"
"ｂｉｏ　ｔｏｋｙｏ（ビオトウキョウ）","107-0062","東京都港区南青山二丁目11番14号","AOYAMA KOSHI Buil 701","2018/3/15","29港み生環き第235号"
"ｐｈｉｌｏｓ（フィロス）","107-0062","東京都港区南青山二丁目12番14号","ユニマット青山ビル10階","2018/9/6","30港み生環き第86号"
"ｇｌａｍｓ（グラムス）","107-0062","東京都港区南青山二丁目12番15号","南青山2丁目ビル 6階","2013/11/12","25港み生環き第132号"
"Ａｋｕａ","107-0062","東京都港区南青山二丁目12番15号","南青山2丁目ビル3階","2023/3/30","4港み生環き第248号"
"イマクマ　サロン　ヘア　デザイン","107-0062","東京都港区南青山二丁目13番16号","NLビル 1階","2013/7/4","25港み生環き第39号"
"アートメイク・トキサロン","107-0062","東京都港区南青山二丁目14番17号","ジョワレ南青山 2階","2015/1/26","26港み生環き第178号"
"Ａｋｉ　Ｗａｔａｎａｂｅ","107-0062","東京都港区南青山二丁目14番19号","センチュリーハイツ南青山パート1・103","2022/5/30","4港み生環き第16号"
"Ｓｐｉｎ","107-0062","東京都港区南青山二丁目14番20号",,"1997/9/5","9港赤総衛環き第28号"
"エスパー","107-0062","東京都港区南青山二丁目15番17号","2階","2018/6/8","30港み生環き第32号"
"ＫＩＮＤ（カインド）","107-0062","東京都港区南青山二丁目17番7号","南青山若山ハウス1階","2018/6/29","30港み生環き第48号"
"ＫＩＮＤ　Ｕ　ｃａｒｅ（カインドユーケア）","107-0062","東京都港区南青山二丁目17番7号","南青山若山ハウス地下1階","2018/6/29","30港み生環き第49号"
"＠ｍａｋｅｈａｉｒ＋（アットメイクヘアープラス）","107-0062","東京都港区南青山二丁目18番17号","第5竹中ビル 2階","2016/6/10","28港み生環き第34号"
"ＫＳ　ＳＡＬＯＮ","107-0062","東京都港区南青山二丁目18番20号","南青山コンパウンド303","2022/4/13","3港み生環き第259号"
"ル・パレ美容室","107-0062","東京都港区南青山二丁目20番1号","平野ビル2階","2018/6/1","30港み生環き第26号"
"ティアンドティ・ヘレン美容室","107-0062","東京都港区南青山二丁目20番1号","平野ビル 2階","1985/7/1","60港赤保衛環き第10号"
"Ｌ’ｅａ表参道　ｍｉｌｍｉｌ　ｂｙＬ’ｅａ","107-0062","東京都港区南青山二丁目22番2号","KS南青山2階3階","2022/8/19","4港み生環き第70号"
"Ｊｅｎｎｉｆｅｒ　Ｌａｓｈ（ジェニファー　ラッシュ）","107-0062","東京都港区南青山二丁目22番19号","三和青山ビル 12階","2015/7/23","27港み生環き第81号"
"ｍａｃｈｕ（マチュ）","107-0062","東京都港区南青山二丁目24番5号","直井ビル2C","2008/8/1","20港み生環き第73号"
"ＨＵＬＬＯ　ＫＳ’美容室","107-0062","東京都港区南青山二丁目25番10号",,"1993/8/12","5港赤総衛環き第21号"
"Ｂｏｒｄｅｒ（ボーダー）","107-0062","東京都港区南青山二丁目26番34号","NBM南青山ビル 8階","2015/7/29","27港み生環き第87号"
"ＶＥＩＮ","107-0062","東京都港区南青山二丁目26番35号","青山kkビル 5階","2021/6/9","3港み生環き第48号"
"ル・パレ美容室","107-0062","東京都港区南青山二丁目26番36号","イーグルビル 2階","2001/5/2","13港み生環き第6号"
"ＣＲＥＢＩＡ　ＢＥＡＵＴＥ　ＬＡＢＯ","107-0062","東京都港区南青山二丁目26番37号","VORT外苑前1-801","2024/3/25","5港み生環き第263号"
"ｐｅｔｉｔ　ｈａｉｒ＆ｍａｋｅ","107-0062","東京都港区南青山二丁目27番6号","Reve南青山4階ルームD","2021/5/31","3港み生環き第32号"
"ａｔｅｌｉｅｒ　ＭＯＺＡＩ","107-0062","東京都港区南青山二丁目27番6号","Rave南青山4階 Room a","2021/7/30","3港み生環き第79号"
"ｅｒｉｃａ","107-0062","東京都港区南青山二丁目27番6号","Reve南青山4階 Room b","2021/10/4","3港み生環き第134号"
"ｓｖａｎ","107-0062","東京都港区南青山二丁目27番6号","Reve南青山4階RoomC","2021/12/8","3港み生環き第190号"
"Ｖｉ　Ｂｅｌｌｅ","107-0062","東京都港区南青山二丁目27番7号","2階","2022/7/15","4港み生環き第44号"
"ｏｒ","107-0062","東京都港区南青山二丁目27番16号","篠塚ビル 2階","2019/7/24","31港み生環き第69号"
"ラヴィーテ","107-0062","東京都港区南青山二丁目27番18号","パサージュ青山 2階","2013/1/10","24港み生環き第131号"
"Ａｒｍ’ｓ","107-0062","東京都港区南青山二丁目27番20号","植村ビル 3階","2020/1/29","31港み生環き第235号"
"ａｒｅａｓ（エリアス）","107-0062","東京都港区南青山二丁目27番21号","ジークス青山ビル 8階、9階","2008/7/4","20港み生環き第42号"
"アンジェ・ガラ・ボー・ヘアー・ビューティーサロン","107-0062","東京都港区南青山二丁目27番21号","青山エムエービルディング801","2012/3/16","23港み生環き第160号"
"美人公司","107-0062","東京都港区南青山二丁目27番22号","KILA青山ビル 5階","1986/6/10","61港赤保衛環き第7号"
"ＡＧＡＴＥＳ","107-0062","東京都港区南青山二丁目27番22号","青山安田ビル6階","2022/3/2","3港み生環き第237号"
"ａｃｏｔｅ（アコテ）","107-0062","東京都港区南青山二丁目27番27号","丸八青山ビル 3階","2017/7/27","29港み生環き第62号"
"ａｃｏｔｅ","107-0062","東京都港区南青山二丁目27番27号","丸八青山ビル3階","2023/6/16","5港み生環き第50号"
"レ・ラーブル","107-0062","東京都港区南青山二丁目28番5号","NIKKO APARTMENT HOUSE 504","2016/3/30","27港み生環き第228号"
"ｓｏｌａ","107-0062","東京都港区南青山二丁目29番8号","フロンティアビルディング南青山402号室","2021/6/22","3港み生環き第8号"
"Ｅｌｓｏｌｕｎａ","107-0062","東京都港区南青山二丁目29番8号","フロンティアビルディング701","2022/4/27","4港み生環き第8号"
"ＫＡＩＮＯ　南青山店","107-0062","東京都港区南青山三丁目2番2号","MRビル2階","2021/3/30","2港み生環き第227号"
"ヘアー・メイクアップ　アティック","107-0062","東京都港区南青山三丁目2番3号","ダイアンクレストビル 3階","1983/10/11","58港赤保衛環き第22号"
"ｓｅａＱｕｅｎｃｅ（シークエンス）","107-0062","東京都港区南青山三丁目2番6号","関口ビル 2階","2016/1/27","27港み生環き第184号"
"ＶＯＩＣＥ（ヴォイス）","107-0062","東京都港区南青山三丁目2番6号","セントラル第5青山地下1階","2018/8/22","30港み生環き第40号"
"縮毛矯正専門店　ＮＵＡ　ＡＯＹＡＭＡ店","107-0062","東京都港区南青山三丁目2番6号","セントラル第五青山 3B","2021/9/6","3港み生環き第112号"
"ＫＡＩＮＯ南青山店","107-0062","東京都港区南青山三丁目2番7号","ブラック青山 3階","2014/4/8","26港み生環き第3号"
"美容室　ほそき","107-0062","東京都港区南青山三丁目2番18号",,"1981/3/31","55港赤保衛環き第41号"
"Ｄｏｕｂｌｅ＆ＳＯＮＳ","107-0062","東京都港区南青山三丁目3番3号","リビエラA館 地下1階","2022/4/21","4港み生環き第3号"
"ＫＡＺ　ＳＡＬＯＮ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山三丁目3番5号","MINAMIAOYAMA A'BLDG 1階","2022/11/4","4港み生環き第122号"
"ＡＭＡＮＩ．ＨＡＩＲ　ＨＯＳＰＩＴＡＬ　表参道／青山","107-0062","東京都港区南青山三丁目3番6号","クアルソ南青山1階","2021/1/19","2港み生環き第190号"
"Ｌｏｕｗｅ青山","107-0062","東京都港区南青山三丁目3番6号","クアルソ南青山1階","2022/10/31","4港み生環き第126号"
"ＲＥＳＡＬＯＮ表参道","107-0062","東京都港区南青山三丁目3番14号","チェリーズガーデン南青山3階","2019/7/3","31港み生環き第53号"
"ＥＮＯＲＥ表参道店","107-0062","東京都港区南青山三丁目3番16号","IQビル2階","2021/9/22","3港み生環き第115号"
"エアーストレート／エクステ／イルミナカラー／ｃｌｕｅ","107-0062","東京都港区南青山三丁目3番16号","南青山IQビル1階","2023/11/28","5港み生環き第156号"
"フェブライオ　ディ　アレス","107-0062","東京都港区南青山三丁目3番18号",,"1977/11/1","52港赤保衛環き第19号"
"ａ．ｏｏ．ｉ．（あおい）","107-0062","東京都港区南青山三丁目3番21号","竹本ビル101","2016/8/23","28港み生環き第85号"
"Ｂａｒ・Ｎ－ＣＲＹＳＴＡＬ（ベーア・エヌークリスタル）","107-0062","東京都港区南青山三丁目3番23号","Sta-Bld 1階","2009/12/8","21港み生環き第114号"
"ＫＥＬＬＹ　ＪＡＰＡＮ","107-0062","東京都港区南青山三丁目3番23号","MDBビル201","2019/10/4","31港み生環き第126号"
"素髪東京","107-0062","東京都港区南青山三丁目3番23号","南青山MBDビル201号室","2021/6/30","3港み生環き第64号"
"ＴＨＥ　ＶＩＴＡＥ","107-0062","東京都港区南青山三丁目3番23号","南青山MBDビル201","2022/11/10","4港み生環き第117号"
"Ｇａｌｌｉｃａ　ｍｉｎａｍｉａｏｙａｍａ","107-0062","東京都港区南青山三丁目4番5号","KOKOROビル101","2020/3/23","31港み生環き第252号"
"ＩＪＫ　ＯＭＯＴＥＳＡＮＤＯ","107-0062","東京都港区南青山三丁目4番5号","KOKORO南青山101・201","2023/8/3","5港み生環き第85号"
"ＳＡＫＵＲＡ","107-0062","東京都港区南青山三丁目4番12号","SASAKI BLD 2階","2021/3/30","2港み生環き第229号"
"アルファ　タッチ","107-0062","東京都港区南青山三丁目4番14号",,"2001/9/27","13港み生環き第62号"
"Ｈ＆Ｍ　ＳｃｈＯ”ｎ　（シャン）","107-0062","東京都港区南青山三丁目5番1号","O&K 南青山地下1階","1999/11/1","11港み生環き第101号"
"Ｈａｒｒｉｓ表参道・青山・外苑前　（ハリス表参道・青山・外苑前）　表参道本店","107-0062","東京都港区南青山三丁目5番1号","O&K南青山ビル 地下1階","2013/12/5","25港み生環き第136号"
"アクロス表参道スタジオ","107-0062","東京都港区南青山三丁目5番1号","O&K南青山 地下1階","2006/7/21","18港み生環き第71号"
"ＺｅＬｏ","107-0062","東京都港区南青山三丁目5番1号","O&K南青山ビル 地下1階","2019/7/10","31港み生環き第51号"
"ＶＩＮＧＴ　ＮＡＩＬ（ヴァンネイル）","107-0062","東京都港区南青山三丁目5番6号","ディアテックビル 地下1階","2017/6/1","29港み生環き第32号"
"Ａｇｕｅｒａ（アグエラ）","107-0062","東京都港区南青山三丁目5番6号","ディアテックビル 2階","2015/9/14","27港み生環き第114号"
"ｒｅｌｉａｎ青山（リリアン）","107-0062","東京都港区南青山三丁目5番6号","ディアテックビル 2階","2017/5/2","29港み生環き第11号"
"ＢＥＡＣＨ（ビーチ）","107-0062","東京都港区南青山三丁目5番6号","アール南青山 2階","2006/10/18","18港み生環き第92号"
"ＪＥＡＮＡＨＡＲＢＯＲ　ジーナハーバー　表参道","107-0062","東京都港区南青山三丁目5番6号","R南青山 3階","2016/8/9","28港み生環き第73号"
"ｉｎｇ（イング）","107-0062","東京都港区南青山三丁目6番7号","b-town 2階-D","2006/4/19","17港み生環き第172号"
"さくら田","107-0062","東京都港区南青山三丁目7番3号","アロバール南青山 2階","2000/3/9","11港み生環き第163号"
"ＴＨＥ　ＯＶＥＲＳＥＡ（オーバーシー）","107-0062","東京都港区南青山三丁目7番16号","キラキラビル 1階、地下1階","2016/9/28","28港み生環き第113号"
"ｖｉｒｔｈ＋ＬＩＭ（ヴァースプラスリム）","107-0062","東京都港区南青山三丁目7番16号","キラキラビル 3階、4階","2013/5/28","25港み生環き第27号"
"Ｅｙｅ　Ｂｅａｕｔｙ　Ｈａｎａ（アイ　ビューティー　ハナ）","107-0062","東京都港区南青山三丁目7番16号","コア南青山 2、3階","2010/5/20","22港み生環き第22号"
"ｍａｔｓｕｒｉｃａ（マツリカ）","107-0062","東京都港区南青山三丁目7番16号","コア南青山 3、4階","2013/11/29","25港み生環き第140号"
"ＲＡＩＺ","107-0062","東京都港区南青山三丁目7番16号","コア南青山2階","2020/12/2","2港み生環き第166号"
"Ｈｉｇｄｅｎ","107-0062","東京都港区南青山三丁目7番16号","コア南青山1階、地下1階","2024/2/5","5港み生環き第222号"
"ｈａｉｒ　ｍａｋｅ　ＣＵＯＲＥ　（ヘアー　メイク　クオーレ）","107-0062","東京都港区南青山三丁目8番2号","OGビル 4階","2002/5/29","14港み生環き第22号"
"Ｇｅｎｕｉｎｅ","107-0062","東京都港区南青山三丁目8番2号","青山OGビル2階","2021/1/27","2港み生環き第193号"
"ＳＯＬ．ＯＭＯＴＥＳＡＮＤＯ","107-0062","東京都港区南青山三丁目8番2号","OGビル 2階","2023/1/20","4港み生環き第177号"
"ＡＩＮ．","107-0062","東京都港区南青山三丁目8番2号","青山OGビル4階","2023/8/1","5港み生環き第76号"
"ｍｅｒ　ｂｙ　ＰＵＵＲ（メル　バイ　ピュール）","107-0062","東京都港区南青山三丁目8番5号","アーバンプレム南青山 1階","2014/5/23","26港み生環き第27号"
"ＣＬＥＯ（クレオ）","107-0062","東京都港区南青山三丁目8番5号","アーバンプレム南青山 2階","2009/8/20","21港み生環き第64号"
"ＣＬＥＯ（クレオ）","107-0062","東京都港区南青山三丁目8番5号","アーバンプレム南青山 2階","2022/10/20","4港み生環き第118号"
"Ｇｒａｃｅ（グレイス）","107-0062","東京都港区南青山三丁目8番7号","ラトゥール南青山 503","2013/11/18","25港み生環き第134号"
"ＳＨＥＡ　ａｏｙａｍａ","107-0062","東京都港区南青山三丁目8番7号","ラ・トゥール2階","2022/3/31","3港み生環き第271号"
"ｎｕｕｒ（ヌール）","107-0062","東京都港区南青山三丁目8番9号","ルーム青山302","2019/5/30","31港み生環き第36号"
"ＶＩＮＧＴ　Ｅｙｅｌａｓｈ（ヴァン　アイラッシュ）","107-0062","東京都港区南青山三丁目8番9号","Room青山1階101号","2022/11/18","4港み生環き第134号"
"ｃｈａｒｄｏｕｘ（シャルドゥ）","107-0062","東京都港区南青山三丁目8番13号","F・S南青山 305","2017/11/9","29港み生環き第143号"
"ＮＡＺ（ナーズ）","107-0062","東京都港区南青山三丁目8番13号","FS南青山3階-N8","2018/8/1","30港み生環き第73号"
"ｐｅｐｉｎ　ぺパン　表参道店","107-0062","東京都港区南青山三丁目8番13号","FS南青山303","2023/12/25","5港み生環き第206号"
"ＭＥＭＥＷ（マミュ）","107-0062","東京都港区南青山三丁目8番14号","パーク青山 102","2014/5/1","26港み生環き第22号"
"ｍａｍｕ（マムー）","107-0062","東京都港区南青山三丁目8番18号","フェリース203","2018/6/8","30港み生環き第30号"
"ネイル　ラ　ルーチェ","107-0062","東京都港区南青山三丁目8番18号","フェリース201","2020/8/25","2港み生環き第112号"
"ＳＡＬＯＮ　ｄｅ　ＬＵＰＩＡ（サロン　ド　ルピア）","107-0062","東京都港区南青山三丁目8番25号","リモード南青山 203","2018/8/8","30港み生環き第75号"
"ＣＨＥＲｉＳＨ（チェリッシュ）","107-0062","東京都港区南青山三丁目8番26号","パートナーズ表参道 1階","2008/4/30","20港み生環き第8号"
"サロン・ド・グレイシー","107-0062","東京都港区南青山三丁目8番36号",,"1995/11/10","7港赤総衛環き第23号"
"ＦＡ　Ｈａｉｒ　ｄｒｅｓｓｉｎｇ（エフエー　ヘアー　ドレッシング）","107-0062","東京都港区南青山三丁目8番39号","西野ビル 4階","2016/6/2","28港み生環き第31号"
"ｖｉｃｃａ（ヴィッカ）","107-0062","東京都港区南青山三丁目9番1号","アブリム 2階","2012/12/27","24港み生環き第152号"
"ＬＡＵＬＥＡ（ラウレア）","107-0062","東京都港区南青山三丁目9番12号","佐藤ビル 1階","2010/1/19","21港み生環き第127号"
"Ｒｅｇｉｌｏ（レジーロ）","107-0062","東京都港区南青山三丁目10番7号","青山ホワイトテラス 2階-B","2015/1/20","26港み生環き第175号"
"ＭＡＩＳＯＮ　ＤＥ　ＰＲＩＭＡ","107-0062","東京都港区南青山三丁目10番7号","ホワイトテラス2A","2021/11/1","3港み生環き第151号"
"ＣＡＬＥＩＤＯ（カレイド）","107-0062","東京都港区南青山三丁目10番11号","中屋ビル 1階","2010/12/15","22港み生環き第140号"
"ＭＡＮＨＯＯＤ","107-0062","東京都港区南青山三丁目10番12号","ミヨビル地下1階","2020/10/2","2港み生環き第136号"
"Ｉｎｎｏｃｅｎｔ（イノセント）","107-0062","東京都港区南青山三丁目10番17号","opera 1階","2009/11/5","21港み生環き第102号"
"メンズグルーミングサロンアオヤマ","107-0062","東京都港区南青山三丁目10番17号","OPERAビル 1階","2014/10/24","26港み生環き第126号"
"Ｒｏｕｇｙ（ロージ）","107-0062","東京都港区南青山三丁目10番32号","青山MORITAビル 1F","2012/1/31","23港み生環き第134号"
"ＶＩＴＡ　ＡＯＹＡＭＡ（ヴィータ　アオヤマ）","107-0062","東京都港区南青山三丁目10番34号","1階","2012/6/7","24港み生環き第23号"
"ＵＲ　ＣＯＲＥ（ユーアール　コア）","107-0062","東京都港区南青山三丁目10番40号",,"2008/5/9","20港み生環き第22号"
"ＳＨＥＥＲ．","107-0062","東京都港区南青山三丁目12番9号","THE CITY南青山4階","2023/10/11","5港み生環き第134号"
"ＩＭＩＵ","107-0062","東京都港区南青山三丁目12番9号","THE CITY 南青山3階","2024/2/26","5港み生環き第217号"
"Ｂａｒ・ＨＡＩＲ　ＬＯＯＰＳ　ＲＥＤ","107-0062","東京都港区南青山三丁目12番10号","K246ビル 地下1階","2015/2/20","26港み生環き第188号"
"Ａｍｐｈｉ　ＴＯＫＹＯ　ｂｙ　ＳＯＰＨＩＥ　２（アンフィ　トーキョウ　バイ　ソフィ）","107-0062","東京都港区南青山三丁目12番10号","K246ビル 4階","2017/11/1","29港み生環き第137号"
"Ａｍｐｈｉ　ＴＯＫＹＯ　ｂｙ　ＳＯＰＨＩＥ（アンフィ　トーキョウ　バイ　ソフィ）","107-0062","東京都港区南青山三丁目12番10号","K246ビル 5階","2016/6/15","28港み生環き第36号"
"ｐａｍｓ（パムス）","107-0062","東京都港区南青山三丁目12番10号","K246ビル 6階","2011/7/25","23港み生環き第45号"
"ＭＥＤＥＲＵ　ｅｙｅｌａｓｈ（メデル　アイラッシュ）","107-0062","東京都港区南青山三丁目12番11号","ボワゼ青山5階","2018/12/27","30港み生環き第149号"
"Ａｍｂｅｌｌｉｒ（アンベリール）","107-0062","東京都港区南青山三丁目12番11号","ボワゼ青山 6階","2015/1/27","26港み生環き第173号"
"ＴＨＥ　ＢＲＯＷ","107-0062","東京都港区南青山三丁目12番11号","ボワゼ青山10階","2023/6/8","5港み生環き第40号"
"閨匠ビューティサロン","107-0062","東京都港区南青山三丁目12番12号","紅谷ビル 5階","2019/9/10","31港み生環き第112号"
"Ｅｙｅ　ｐｅｒｆｅｃｔ　ｙｏ表参道店（アイ・パーフェクト・ヨー）","107-0062","東京都港区南青山三丁目12番12号","紅谷ビル 6階","2013/9/3","25港み生環き第91号"
"ｉｒｏ．（イロ）","107-0062","東京都港区南青山三丁目12番12号","紅谷ビル 6階","2018/12/21","30港み生環き第148号"
"ＫＡＺＵ（カズ）","107-0062","東京都港区南青山三丁目12番12号","101","2008/1/17","19港み生環き第113号"
"ｈａｉｒ　ｓａｌｏｎ　四季（ヘア　サロン　シキ）","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル 101号室","2014/9/24","26港み生環き第104号"
"Ｈａｉｒ　＆　Ｍａｋｅ　ＳＡＣＨＩ（ヘアーアンドメイク　サチ）","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル403","2008/10/2","20港み生環き第104号"
"Ｓｉｎｃｅｒｅｌｙ（シンシアリー）","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル501","2013/10/7","25港み生環き第108号"
"Ａｎｉ（アニ）","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル603","2016/11/24","28港み生環き第145号"
"ＢＥＲＹＬ　ｓｐａ　ｔｒｅａｔｍｅｎｔ","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル601","2020/2/12","31港み生環き第240号"
"ｃｒｅｓｔ","107-0062","東京都港区南青山三丁目12番12号","202","2020/9/15","2港み生環き第122号"
"ｃｒｅｓｔ２","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル203号室","2021/5/31","3港み生環き第6号"
"髪質改善　縮毛矯正　Ｔｈｉｓ　ＯＭＯＴＥＳＡＮＤＯ","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル101","2021/11/15","3港み生環き第164号"
"ｅｎ　アイラッシュ＆アイブロウ　表参道店","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル 903号室","2022/6/17","4港み生環き第26号"
"アイブロウサロン＆α表参道","107-0062","東京都港区南青山三丁目12番12号","南青山312ビル402","2023/9/4","5港み生環き第115号"
"ｆａｍｉｌｌｅ（ファミーユ）","107-0062","東京都港区南青山三丁目13番3号","南青山YMビル 1階","2015/4/22","26港み生環き第218号"
"Ｂｌｅｓｓｉｎｇ　Ａｏｙａｍａ（ブレッシング　アオヤマ）","107-0062","東京都港区南青山三丁目13番8号","青山Brick 201","2015/7/10","27港み生環き第60号"
"ＬＡＮＤ（ランド）","107-0062","東京都港区南青山三丁目13番9号","青山パティオ2階","2023/2/1","4港み生環き第188号"
"ａｎｃｒｅａ　Ａｏｙａｍａ","107-0062","東京都港区南青山三丁目13番9号","青山パティオ3階","2023/2/17","4港み生環き第201号"
"ラ　マリアージュ表参道","107-0062","東京都港区南青山三丁目13番9号","青山パティオ4階","2023/3/3","4港み生環き第218号"
"ａｍ　ｏｍｏｔｅｓａｎｄｏ","107-0062","東京都港区南青山三丁目13番9号","青山パティオ4階B","2023/3/10","4港み生環き第235号"
"ＭＡＲＩＳ　ＨａｉｒＳａｌｏｎ　Ｌｉｋｏ（マリス　ヘアーサロン　リコ）","107-0062","東京都港区南青山三丁目13番22号","善光堂ビル 2階","2014/12/3","26港み生環き第148号"
"サロンドヒロコ","107-0062","東京都港区南青山三丁目13番22号","善光堂ビル3階","2023/3/23","4港み生環き第233号"
"Ｌｉｖｉｎｇｕ　ｏｍｏｔｅｓａｎｄｏ（リビング　オモテサンドウ）","107-0062","東京都港区南青山三丁目13番23号","青山パティオビル 5階","2012/1/19","23港み生環き第127号"
"ＰＲＥＶＥＳＴ　Ｌａｐｉｓ（プレベスト　ラピス）","107-0062","東京都港区南青山三丁目13番24号","サウス青山テックビル 4階","2014/9/10","26港み生環き第81号"
"イヴァンカ青山","107-0062","東京都港区南青山三丁目13番24号","サウス青山テックビル 4階","2016/1/20","27港み生環き第182号"
"ａｒｃ","107-0062","東京都港区南青山三丁目13番24号","サウス青山テックビル5階","2022/9/26","4港み生環き第96号"
"キ　スペース","107-0062","東京都港区南青山三丁目14番1号","安岡ビル地下1階","2009/9/8","21港み生環き第77号"
"美容室ビアンフェ","107-0062","東京都港区南青山三丁目14番2号","ラゲット青山 地下1階","1993/8/13","5港赤総衛環き第22号"
"ｒａｄｉｃｅ（ラディーチェ）","107-0062","東京都港区南青山三丁目14番2号","ラゲット青山 2階","2012/7/30","24港み生環き第69号"
"Ｅｌｍｅ（エルメ）","107-0062","東京都港区南青山三丁目14番4号","YTK南青山 地下1階","2019/1/21","30港み生環き第160号"
"ｓｏｌ・ｅａ・ｔｅｒｒａ（ソル・エ・テラ）","107-0062","東京都港区南青山三丁目14番7号","クレール南青山 1階","2017/9/4","29港み生環き第92号"
"ＢＡＧＵＳ（バグース）","107-0062","東京都港区南青山三丁目14番9号","2階","2009/7/27","21港み生環き第59号"
"Ｃａｐｌｉｓ（カプリス）","107-0062","東京都港区南青山三丁目14番9号","2階","2018/5/15","30港み生環き第9号"
"ｓａｌｏｎ　ｄｅ　ｂｅａｕｔｅ　Ｄｏｒｌｔｅｒ（サロン　ド　ボーテ　ドルロテ）","107-0062","東京都港区南青山三丁目14番10号","カシェート南青山 1階","2015/9/29","27港み生環き第120号"
"Ａｃａｌｉ（アカリ）","107-0062","東京都港区南青山三丁目14番10号","ティゲレ101","2016/4/18","28港み生環き第1号"
"ＨＡＮＡＲＥ＋ｄ（ハナレプラスディー）","107-0062","東京都港区南青山三丁目14番10号","ティゲレ-102","2014/9/5","26港み生環き第85号"
"ＤＡＭＡＮＩ（ダマーニ）","107-0062","東京都港区南青山三丁目14番10号","ティゲレ102","2019/3/15","30港み生環き第208号"
"Ｌｅ　ＭＵＳＥ　Ｈａｉｒ　Ｓａｌｏｎ（ミューズ　ヘアサロン）","107-0062","東京都港区南青山三丁目14番10号","表参道エムジェイビル 2階","2006/12/20","18港み生環き第115号"
"Ｏｕｉ（ウィ）","107-0062","東京都港区南青山三丁目14番10号","シプレ南青山 2階","2011/9/30","23港み生環き第75号"
"Ｒｉｓｅ　ＳＡＬＯＮ","107-0062","東京都港区南青山三丁目14番10号","カシェート南青山1階","2020/4/30","2港み生環き第15号"
